,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha
Georgia,65653,27345.0,33775.4,27782.8,23698.0,34386.0,,23398.4,13418.0,27743.6,,19203.0,27400.0,21631.7,35337.6,20079.3,16932.2,21355.9,30652.8,27750.0,33539.0,,33932.5,531.6,20981.4,33757.3,26487.0,-38308.0,-31877.6,-37870.2,-41955.0,-31267.0,,-42254.6,-52235.0,-37909.4,,-46450.0,-38253.0,-44021.3,-30315.4,-45573.7,-48720.8,-44297.1,-35000.2,-37903.0,-32114.0,,-31720.5,-65121.4,-44671.6,-31895.7,-39166.0,True,True,False,True,,False,False,True,,False,True,False,True,False,False,False,True,True,True,,True,False,False,True,False
Hawaii,1908,1734.0,1684.3,1727.6,1703.0,1557.0,,1876.7,403.0,1318.9,,,2348.4,1921.0,2085.8,3268.7,1691.4,1419.7,1762.5,2362.2,1554.0,,1394.2,1356.9,1173.9,1571.6,1273.0,-174.0,-223.7,-180.4,-205.0,-351.0,,-31.3,-1505.0,-589.1,,,440.4,13.0,177.8,1360.7,-216.6,-488.3,-145.5,454.2,-354.0,,-513.8,-551.1,-734.1,-336.4,-635.0,False,False,False,False,,True,False,False,,,False,True,False,False,False,False,True,False,False,,False,False,False,False,False
Idaho,19730,14643.0,11756.4,14611.6,14346.0,15528.0,,12228.9,3752.0,22136.9,,9354.0,14093.0,17285.7,16959.3,6270.8,25283.4,11535.9,16811.2,14267.4,22523.0,,17271.9,2494.8,8735.1,14007.1,15358.0,-5087.0,-7973.6,-5118.4,-5384.0,-4202.0,,-7501.1,-15978.0,2406.9,,-10376.0,-5637.0,-2444.3,-2770.7,-13459.2,5553.4,-8194.1,-2918.8,-5462.6,2793.0,,-2458.1,-17235.2,-10994.9,-5722.9,-4372.0,False,False,False,True,,False,False,True,,False,False,True,True,False,False,False,True,False,True,,True,False,False,False,True
Illinois,134592,71805.0,109487.1,71157.2,68008.0,88217.0,,62265.1,16702.0,84409.0,,49760.0,57829.8,56412.6,64322.5,46583.4,91169.2,71626.9,95742.6,53700.2,99540.0,,99089.2,53525.7,52358.4,69759.4,92451.0,-62787.0,-25104.9,-63434.8,-66584.0,-46375.0,,-72326.9,-117890.0,-50183.0,,-84832.0,-76762.2,-78179.4,-70269.5,-88008.6,-43422.8,-62965.1,-38849.4,-80891.8,-35052.0,,-35502.8,-81066.3,-82233.6,-64832.6,-42141.0,True,False,False,True,,False,False,True,,False,False,False,False,False,True,False,True,False,True,,True,False,False,False,True
Indiana,59745,37698.0,57150.3,37875.4,37274.0,50978.0,,33289.4,15404.0,40810.3,,26470.0,32622.6,35542.9,40090.5,31761.1,47607.0,30265.4,44114.3,31343.1,55314.0,,44278.4,27903.6,26358.1,58513.7,54076.0,-22047.0,-2594.7,-21869.6,-22471.0,-8767.0,,-26455.6,-44341.0,-18934.7,,-33275.0,-27122.4,-24202.1,-19654.5,-27983.9,-12138.0,-29479.6,-15630.7,-28401.9,-4431.0,,-15466.6,-31841.4,-33386.9,-1231.3,-5669.0,True,True,False,True,,False,False,True,,False,False,False,True,False,True,False,True,False,True,,True,False,False,True,True
Iowa,43556,22968.0,20128.5,22896.5,22733.0,26194.0,,21734.1,12897.0,30179.3,,18491.0,24588.2,26558.1,28498.9,9977.1,25801.7,14666.5,23335.3,22066.6,31792.0,,25856.2,4386.9,14140.0,22887.9,26878.0,-20588.0,-23427.5,-20659.5,-20823.0,-17362.0,,-21821.9,-30659.0,-13376.7,,-25065.0,-18967.8,-16997.9,-15057.1,-33578.9,-17754.3,-28889.5,-20220.7,-21489.4,-11764.0,,-17699.8,-39169.1,-29416.0,-20668.1,-16678.0,False,False,False,True,,False,False,True,,False,True,True,True,False,True,False,True,False,True,,True,False,False,False,True
Kansas,27107,14952.0,16844.4,15075.0,14636.0,15323.0,,13418.7,8876.0,17817.0,,15876.0,15968.1,25557.8,18019.9,7989.7,13775.9,8582.6,14297.8,15197.0,20312.0,,17249.4,10746.8,11295.3,15584.3,12503.0,-12155.0,-10262.6,-12032.0,-12471.0,-11784.0,,-13688.3,-18231.0,-9290.0,,-11231.0,-11138.9,-1549.2,-9087.1,-19117.3,-13331.1,-18524.4,-12809.2,-11910.0,-6795.0,,-9857.6,-16360.2,-15811.7,-11522.7,-14604.0,True,True,False,True,,False,False,True,,True,True,True,True,False,False,False,False,True,True,,True,False,False,True,False
Kentucky,32864,22056.0,38135.2,21987.8,22082.0,28917.0,,21748.8,20417.0,41576.6,,21600.0,25113.7,22185.6,23569.1,13483.5,31232.9,16709.7,23819.4,23685.9,31502.0,,27515.3,16358.2,13571.4,23781.4,25905.0,-10808.0,5271.2,-10876.2,-10782.0,-3947.0,,-11115.2,-12447.0,8712.6,,-11264.0,-7750.3,-10678.4,-9294.9,-19380.5,-1631.1,-16154.3,-9044.6,-9178.1,-1362.0,,-5348.7,-16505.8,-19292.6,-9082.6,-6959.0,True,False,True,True,,False,False,True,,False,True,True,True,False,True,False,True,True,True,,True,False,False,True,True
Louisiana,13989,11280.0,8404.2,11401.1,9425.0,12158.0,,9594.0,3534.0,29640.1,,9910.0,9833.5,8939.7,15357.3,10079.4,7751.5,9939.3,12133.0,12190.1,11035.0,,8846.5,0.0,7395.7,15794.7,7477.0,-2709.0,-5584.8,-2587.9,-4564.0,-1831.0,,-4395.0,-10455.0,15651.1,,-4079.0,-4155.5,-5049.3,1368.3,-3909.6,-6237.5,-4049.7,-1856.0,-1798.9,-2954.0,,-5142.5,-13989.0,-6593.3,1805.7,-6512.0,False,True,False,True,,False,False,False,,False,False,False,True,False,False,False,True,True,False,,False,False,False,True,False
Maine,1688,651.0,2665.5,650.7,665.0,726.0,,564.2,350.0,854.9,,854.0,742.7,759.8,715.6,1095.4,853.1,478.7,660.3,1190.5,757.0,,675.4,460.3,528.1,636.9,632.0,-1037.0,977.5,-1037.3,-1023.0,-962.0,,-1123.8,-1338.0,-833.1,,-834.0,-945.3,-928.2,-972.4,-592.6,-834.9,-1209.3,-1027.7,-497.5,-931.0,,-1012.6,-1227.7,-1159.9,-1051.1,-1056.0,True,False,True,True,,False,False,True,,True,True,True,True,True,True,False,True,True,True,,True,False,False,False,False
Maryland,17788,12996.0,18071.0,12964.9,11925.0,14185.0,,11824.2,3809.0,16471.6,,10973.0,13091.2,9203.4,14088.6,14027.7,11395.5,10109.0,14602.7,14026.1,16444.0,,14978.1,10589.4,10466.7,14795.8,14139.0,-4792.0,283.0,-4823.1,-5863.0,-3603.0,,-5963.8,-13979.0,-1316.4,,-6815.0,-4696.8,-8584.6,-3699.4,-3760.3,-6392.5,-7679.0,-3185.3,-3761.9,-1344.0,,-2809.9,-7198.6,-7321.3,-2992.2,-3649.0,True,False,False,True,,False,False,True,,False,True,False,True,True,False,False,True,True,True,,True,False,False,True,True
Massachusetts,26646,13770.0,18693.6,13835.6,12807.0,13718.0,,11512.2,3252.0,22126.1,,9106.0,13405.6,10859.2,14264.4,16428.5,19276.9,10204.9,14808.4,13394.0,14981.0,,13268.9,8233.8,9840.5,10110.0,13930.0,-12876.0,-7952.4,-12810.4,-13839.0,-12928.0,,-15133.8,-23394.0,-4519.9,,-17540.0,-13240.4,-15786.8,-12381.6,-10217.5,-7369.1,-16441.1,-11837.6,-13252.0,-11665.0,,-13377.1,-18412.2,-16805.5,-16536.0,-12716.0,True,True,False,False,,False,False,True,,False,False,False,True,True,True,False,True,False,True,,False,False,False,False,True
Michigan,67968,34956.0,61494.5,34493.9,34400.0,49723.0,,29294.7,2932.0,30078.7,,24740.0,29411.5,27283.8,38448.9,45979.4,48988.9,15881.9,37624.5,29754.5,51933.0,,46353.2,30983.2,26589.1,19347.0,46219.0,-33012.0,-6473.5,-33474.1,-33568.0,-18245.0,,-38673.3,-65036.0,-37889.3,,-43228.0,-38556.5,-40684.2,-29519.1,-21988.6,-18979.1,-52086.1,-30343.5,-38213.5,-16035.0,,-21614.8,-36984.8,-41378.9,-48621.0,-21749.0,True,False,False,True,,False,False,False,,False,False,False,True,True,True,False,True,False,True,,True,False,False,False,True
Minnesota,53864,30786.0,47132.3,30813.5,30795.0,38522.0,,26490.4,28014.0,35700.9,,30111.0,29329.0,27754.6,33930.6,16467.0,34344.8,29417.8,35895.8,28526.0,44823.0,,33807.0,17292.3,22203.8,37547.5,32415.0,-23078.0,-6731.7,-23050.5,-23069.0,-15342.0,,-27373.6,-25850.0,-18163.1,,-23753.0,-24535.0,-26109.4,-19933.4,-37397.0,-19519.2,-24446.2,-17968.2,-25338.0,-9041.0,,-20057.0,-36571.7,-31660.2,-16316.5,-21449.0,True,True,True,True,,False,False,True,,False,False,False,True,False,True,False,True,False,True,,True,False,False,True,True
Mississippi,15879,16104.0,18888.0,16437.4,15605.0,17625.0,,11852.3,4817.0,11718.0,,11594.0,13748.1,13163.3,19362.5,6121.5,25379.4,9344.5,15902.1,15329.3,21949.0,,19701.5,834.6,10450.2,16341.6,15582.0,225.0,3009.0,558.4,-274.0,1746.0,,-4026.7,-11062.0,-4161.0,,-4285.0,-2130.9,-2715.7,3483.5,-9757.5,9500.4,-6534.5,23.1,-549.7,6070.0,,3822.5,-15044.4,-5428.8,462.6,-297.0,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False
Missouri,52178,34278.0,40429.6,34737.9,35537.0,36228.0,,35343.2,25527.0,42214.0,,34206.0,37744.0,47013.3,39412.5,16850.4,50387.0,35198.5,36718.0,36519.9,60622.0,,40194.8,22865.1,19950.2,38844.8,32102.0,-17900.0,-11748.4,-17440.1,-16641.0,-15950.0,,-16834.8,-26651.0,-9964.0,,-17972.0,-14434.0,-5164.7,-12765.5,-35327.6,-1791.0,-16979.5,-15460.0,-15658.1,8444.0,,-11983.2,-29312.9,-32227.8,-13333.2,-20076.0,True,True,True,True,,True,False,True,,False,True,True,True,False,True,True,True,True,True,,True,False,False,True,False
Montana,16723,12324.0,20046.5,12437.4,12527.0,10270.0,,13059.3,7672.0,11836.1,,13558.0,14887.6,36648.2,13557.4,2259.6,12711.3,11385.6,13608.3,12257.6,20768.0,,15683.1,16433.5,6356.1,19079.9,10946.0,-4399.0,3323.5,-4285.6,-4196.0,-6453.0,,-3663.7,-9051.0,-4886.9,,-3165.0,-1835.4,19925.2,-3165.6,-14463.4,-4011.7,-5337.4,-3114.7,-4465.4,4045.0,,-1039.9,-289.5,-10366.9,2356.9,-5777.0,True,True,True,False,,True,False,False,,True,True,False,True,False,True,False,True,False,True,,True,True,False,True,False
Nebraska,25063,16335.0,29173.7,16374.9,16382.0,18403.0,,15379.1,15109.0,24416.3,,12580.0,14590.3,23825.4,20074.0,9923.7,21036.4,13687.5,19535.6,15756.1,25827.0,,20944.0,4894.0,11266.2,22563.4,19210.0,-8728.0,4110.7,-8688.1,-8681.0,-6660.0,,-9683.9,-9954.0,-646.7,,-12483.0,-10472.7,-1237.6,-4989.0,-15139.3,-4026.6,-11375.5,-5527.4,-9306.9,764.0,,-4119.0,-20169.0,-13796.8,-2499.6,-5853.0,True,True,True,True,,False,False,True,,False,False,True,True,False,True,False,True,False,True,,True,False,False,True,True
Nevada,19094,12759.0,18176.9,12766.2,11979.0,17268.0,,11777.9,2961.0,12235.3,,8461.0,12677.7,10732.2,11395.2,7152.7,21473.8,10977.1,16146.1,14061.4,20772.0,,14767.4,0.0,8219.8,14435.4,15286.0,-6335.0,-917.1,-6327.8,-7115.0,-1826.0,,-7316.1,-16133.0,-6858.7,,-10633.0,-6416.3,-8361.8,-7698.8,-11941.3,2379.8,-8116.9,-2947.9,-5032.6,1678.0,,-4326.6,-19094.0,-10874.2,-4658.6,-3808.0,True,True,False,True,,False,False,False,,False,False,False,False,False,True,False,True,True,True,,True,False,False,True,True
New Hampshire,2616,1599.0,961.7,1621.6,1602.0,2025.0,,1632.0,2411.0,1855.5,,1429.0,1648.6,1869.3,1938.7,2212.7,2682.2,923.4,1393.7,1996.2,2789.0,,2165.9,1081.7,1235.0,1582.6,1976.0,-1017.0,-1654.3,-994.4,-1014.0,-591.0,,-984.0,-205.0,-760.5,,-1187.0,-967.4,-746.7,-677.3,-403.3,66.2,-1692.6,-1222.3,-619.8,173.0,,-450.1,-1534.3,-1381.0,-1033.4,-640.0,False,True,True,True,,True,True,True,,False,True,True,True,True,True,False,False,True,True,,True,False,False,False,True
New Jersey,42360,17583.0,17452.6,17585.1,17583.0,21338.0,,15050.1,6082.0,28501.8,,16087.0,16996.5,11692.1,19674.4,32222.5,26199.5,13846.5,20710.3,17548.0,17660.0,,19470.5,8959.0,13494.6,12967.2,18772.0,-24777.0,-24907.4,-24774.9,-24777.0,-21022.0,,-27309.9,-36278.0,-13858.2,,-26273.0,-25363.5,-30667.9,-22685.6,-10137.5,-16160.5,-28513.5,-21649.7,-24812.0,-24700.0,,-22889.5,-33401.0,-28865.4,-29392.8,-23588.0,False,True,False,True,,False,False,True,,False,False,False,True,True,True,False,True,False,True,,True,False,False,False,True
New Mexico,17328,10863.0,16249.8,10932.5,10766.0,13621.0,,9663.6,1492.0,11295.3,,9385.0,8197.9,10776.2,10689.9,6132.8,22566.5,9545.5,13710.1,10767.2,17935.0,,14472.1,3535.7,6432.7,16230.9,12574.0,-6465.0,-1078.2,-6395.5,-6562.0,-3707.0,,-7664.4,-15836.0,-6032.7,,-7943.0,-9130.1,-6551.8,-6638.1,-11195.2,5238.5,-7782.5,-3617.9,-6560.8,607.0,,-2855.9,-13792.3,-10895.3,-1097.1,-4754.0,True,True,False,True,,False,False,True,,False,False,False,False,False,True,False,True,False,True,,True,False,False,True,True
New York,44011,29244.0,12757.2,28320.5,28067.0,33126.0,,13210.2,11820.0,43843.8,,19195.0,28916.5,25176.6,30628.2,59943.2,55514.9,23180.2,33129.5,27664.9,33143.0,,29472.2,16189.1,17796.4,22430.2,27924.0,-14767.0,-31253.8,-15690.5,-15944.0,-10885.0,,-30800.8,-32191.0,-167.2,,-24816.0,-15094.5,-18834.4,-13382.8,15932.2,11503.9,-20830.8,-10881.5,-16346.1,-10868.0,,-14538.8,-27821.9,-26214.6,-21580.8,-16087.0,False,False,False,True,,False,False,True,,False,False,False,True,False,True,False,True,False,True,,True,False,False,False,False
North Carolina,47520,41919.0,82761.0,41851.4,41981.0,48498.0,,37179.9,17979.0,46146.9,,36044.0,41271.6,41143.5,48522.2,24446.8,49668.5,37624.7,52098.3,39559.5,66770.0,,49072.1,12779.1,27474.1,38434.8,44187.0,-5601.0,35241.0,-5668.6,-5539.0,978.0,,-10340.1,-29541.0,-1373.1,,-11476.0,-6248.4,-6376.5,1002.2,-23073.2,2148.5,-9895.3,4578.3,-7960.5,19250.0,,1552.1,-34740.9,-20045.9,-9085.2,-3333.0,False,False,True,True,,False,False,True,,False,False,False,True,False,True,False,True,False,False,,True,False,False,False,True
North Dakota,21943,13902.0,14250.6,13742.7,13710.0,12460.0,,11441.7,8328.0,16430.1,,11114.0,12770.4,19548.8,14479.9,2699.5,15646.4,13124.9,16803.3,12254.8,19329.0,,16816.3,7340.1,8507.1,17484.0,16981.0,-8041.0,-7692.4,-8200.3,-8233.0,-9483.0,,-10501.3,-13615.0,-5512.9,,-10829.0,-9172.6,-2394.2,-7463.1,-19243.5,-6296.6,-8818.1,-5139.7,-9688.2,-2614.0,,-5126.7,-14602.9,-13435.9,-4459.0,-4962.0,True,False,False,False,,False,False,True,,False,False,True,True,False,True,False,True,False,True,,True,False,False,True,True
Ohio,65502,38301.0,20777.1,39194.2,37281.0,53809.0,,34537.9,15320.0,40730.0,,32599.0,32961.8,37844.2,39428.4,44963.1,58063.0,29914.5,49242.1,35109.0,59185.0,,49821.8,7472.3,25599.5,40804.0,41651.0,-27201.0,-44724.9,-26307.8,-28221.0,-11693.0,,-30964.1,-50182.0,-24772.0,,-32903.0,-32540.2,-27657.8,-26073.6,-20538.9,-7439.0,-35587.5,-16259.9,-30393.0,-6317.0,,-15680.2,-58029.7,-39902.5,-24698.0,-23851.0,False,True,False,True,,False,False,True,,False,False,False,True,True,True,False,True,False,True,,True,False,False,True,True
Oklahoma,25283,23541.0,49896.0,23645.2,24150.0,24655.0,,22577.0,14983.0,28999.1,,24519.0,29618.2,25806.6,25909.5,13752.2,29446.2,16806.0,24593.8,27971.7,32156.0,,26205.9,14289.0,12858.2,25065.9,21116.0,-1742.0,24613.0,-1637.8,-1133.0,-628.0,,-2706.0,-10300.0,3716.1,,-764.0,4335.2,523.6,626.5,-11530.8,4163.2,-8477.0,-689.2,2688.7,6873.0,,922.9,-10994.0,-12424.8,-217.1,-4167.0,False,True,True,True,,False,False,False,,True,False,True,True,False,False,False,True,False,False,,True,False,False,True,False
Oregon,10272,7173.0,5394.6,7163.5,6934.0,8225.0,,6976.6,2432.0,7096.4,,6559.0,8096.8,9500.9,8583.6,8684.5,6015.3,5287.0,7258.0,8437.6,10651.0,,7382.4,2944.9,4090.8,7261.8,7988.0,-3099.0,-4877.4,-3108.5,-3338.0,-2047.0,,-3295.4,-7840.0,-3175.6,,-3713.0,-2175.2,-771.1,-1688.4,-1587.5,-4256.7,-4985.0,-3014.0,-1834.4,379.0,,-2889.6,-7327.1,-6181.2,-3010.2,-2284.0,False,False,False,True,,False,False,False,,False,True,True,True,True,False,False,True,True,True,,True,False,False,True,True
