,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Georgia,82868,41480.0,35936.0,,39902.6,25555.0,23637.0,27082.0,34096.4,31785.8,32507.7,25943.0,,17547.0,28113.8,25857.0,-41388.0,-46932.0,,-42965.4,-57313.0,-59231.0,-55786.0,-48771.6,-51082.2,-50360.3,-56925.0,,-65321.0,-54754.2,-57011.0,False,,False,False,False,False,False,False,False,False,,False,False,False
Hawaii,3130,3580.0,2990.0,,3306.5,1253.0,,2785.6,3189.2,7223.5,2434.4,2351.0,,1074.4,2287.3,2375.0,450.0,-140.0,,176.5,-1877.0,,-344.4,59.2,4093.5,-695.6,-779.0,,-2055.6,-842.7,-755.0,True,,True,False,,True,True,False,False,False,,False,False,False
Idaho,28610,17030.0,22477.0,,17711.4,6755.0,11401.0,26259.1,20823.7,10444.5,9996.9,9925.0,,6769.7,8353.4,13414.0,-11580.0,-6133.0,,-10898.6,-21855.0,-17209.0,-2350.9,-7786.3,-18165.5,-18613.1,-18685.0,,-21840.3,-20256.6,-15196.0,True,,True,False,False,True,True,False,False,False,,False,False,False
Illinois,175196,70045.0,73655.0,,63816.3,16515.0,54020.0,93382.9,55536.5,60185.2,55120.5,42262.5,,34803.2,50093.2,68551.0,-105151.0,-101541.0,,-111379.7,-158681.0,-121176.0,-81813.1,-119659.5,-115010.8,-120075.5,-132933.5,,-140392.8,-125102.8,-106645.0,True,,False,False,False,True,False,False,False,False,,False,False,False
Indiana,81663,37550.0,51708.0,,38687.8,20727.0,29247.0,33888.6,30274.6,50681.0,32890.6,27694.6,,33503.4,24980.1,56633.0,-44113.0,-29955.0,,-42975.2,-60936.0,-52416.0,-47774.4,-51388.4,-30982.0,-48772.4,-53968.4,,-48159.6,-56682.9,-25030.0,True,,True,False,False,False,False,True,False,False,,False,False,True
Iowa,57953,31965.0,35556.0,,35323.3,23701.0,24466.0,40613.2,32743.3,19444.9,42110.9,15563.8,,11616.3,23867.8,34417.0,-25988.0,-22397.0,,-22629.7,-34252.0,-33487.0,-17339.8,-25209.7,-38508.1,-15842.1,-42389.2,,-46336.7,-34085.2,-23536.0,True,,True,False,False,True,True,False,True,False,,False,False,True
Kansas,37140,20360.0,18162.0,,21221.5,17415.0,17322.0,18530.0,23838.9,16227.6,22446.7,9673.6,,6623.6,16332.3,12246.0,-16780.0,-18978.0,,-15918.5,-19725.0,-19818.0,-18610.0,-13301.1,-20912.4,-14693.3,-27466.4,,-30516.3,-20807.7,-24894.0,False,,True,False,False,False,True,False,True,False,,False,False,False
Kentucky,47660,29825.0,38374.0,,28284.4,23312.0,23712.0,34974.6,27124.0,23722.1,25798.8,20322.3,,18397.8,19011.9,40732.0,-17835.0,-9286.0,,-19375.6,-24348.0,-23948.0,-12685.4,-20536.0,-23937.9,-21861.2,-27337.7,,-29262.2,-28648.1,-6928.0,True,,False,False,False,True,False,False,False,False,,False,False,True
Louisiana,22889,17365.0,18676.0,,15741.6,7685.0,14244.0,17199.8,15143.9,25966.6,12870.1,11712.7,,14824.4,9300.4,9308.0,-5524.0,-4213.0,,-7147.4,-15204.0,-8645.0,-5689.2,-7745.1,3077.6,-10018.9,-11176.3,,-8064.6,-13588.6,-13581.0,True,,False,False,False,False,False,True,False,False,,False,False,False
Maine,2116,1130.0,1595.0,,1123.7,597.0,785.0,1144.7,1211.2,2153.6,1405.0,802.7,,709.2,904.1,1017.0,-986.0,-521.0,,-992.3,-1519.0,-1331.0,-971.3,-904.8,37.6,-711.0,-1313.3,,-1406.8,-1211.9,-1099.0,True,,False,False,False,True,True,True,True,False,,False,False,False
Maryland,26096,19235.0,26820.0,,18548.5,2455.0,13648.0,17073.4,14477.6,38503.6,18654.8,12474.1,,12493.8,15339.0,22026.0,-6861.0,724.0,,-7547.5,-23641.0,-12448.0,-9022.6,-11618.4,12407.6,-7441.2,-13621.9,,-13602.2,-10757.0,-4070.0,True,,False,False,False,False,False,False,False,False,,False,False,True
Massachusetts,35273,21265.0,33091.0,,26610.3,3952.0,11460.0,31607.2,16538.2,25083.7,24768.1,14730.4,,18884.9,16161.8,29527.0,-14008.0,-2182.0,,-8662.7,-31321.0,-23813.0,-3665.8,-18734.8,-10189.3,-10504.9,-20542.6,,-16388.1,-19111.2,-5746.0,True,,True,False,False,True,False,True,True,False,,False,False,True
Michigan,87802,34490.0,47049.0,,34199.2,5538.0,40030.0,43607.0,29908.1,52173.6,31672.8,15317.2,,7378.6,32406.9,39409.0,-53312.0,-40753.0,,-53602.8,-82264.0,-47772.0,-44195.0,-57893.9,-35628.4,-56129.2,-72484.8,,-80423.4,-55395.1,-48393.0,True,,False,False,True,True,False,True,False,False,,False,False,True
Minnesota,72167,35640.0,42432.0,,30422.4,11915.0,44996.0,50666.8,30805.3,23253.0,32230.6,26335.7,,20331.7,26753.0,37760.0,-36527.0,-29735.0,,-41744.6,-60252.0,-27171.0,-21500.2,-41361.7,-48914.0,-39936.4,-45831.3,,-51835.3,-45414.0,-34407.0,True,,False,False,True,True,False,False,False,False,,False,False,True
Mississippi,25718,17450.0,20896.0,,17174.0,6720.0,14606.0,22001.9,16820.4,10411.8,8624.2,10926.2,,7509.4,10966.6,15915.0,-8268.0,-4822.0,,-8544.0,-18998.0,-11112.0,-3716.1,-8897.6,-15306.2,-17093.8,-14791.8,,-18208.6,-14751.4,-9803.0,True,,False,False,False,True,False,False,False,False,,False,False,False
Missouri,76311,45620.0,53440.0,,51473.4,43235.0,36597.0,50709.3,43653.6,31348.7,48647.4,118653.3,,44997.7,22097.1,32770.0,-30691.0,-22871.0,,-24837.6,-33076.0,-39714.0,-25601.7,-32657.4,-44962.3,-27663.6,42342.3,,-31313.3,-54213.9,-43541.0,True,,True,False,False,True,False,False,True,False,,False,False,False
Montana,24592,12245.0,15562.0,,13870.5,7211.0,15005.0,21260.1,19116.0,3598.2,12513.6,9908.2,,5400.1,5744.9,16488.0,-12347.0,-9030.0,,-10721.5,-17381.0,-9587.0,-3331.9,-5476.0,-20993.8,-12078.4,-14683.8,,-19191.9,-18847.1,-8104.0,True,,True,False,True,True,True,False,True,False,,False,False,True
Nebraska,34992,19035.0,19205.0,,17826.8,8332.0,12850.0,18461.9,19872.3,17709.5,16929.2,11755.6,,10190.0,18212.9,16219.0,-15957.0,-15787.0,,-17165.2,-26660.0,-22142.0,-16530.1,-15119.7,-17282.5,-18062.8,-23236.4,,-24802.0,-16779.1,-18773.0,True,,False,False,False,False,True,False,False,False,,False,False,False
Nevada,27038,16765.0,16481.0,,16741.2,3894.0,7587.0,23151.6,14338.1,13385.8,12805.5,10618.6,,13181.4,10041.5,17305.0,-10273.0,-10557.0,,-10296.8,-23144.0,-19451.0,-3886.4,-12699.9,-13652.2,-14232.5,-16419.4,,-13856.6,-16996.5,-9733.0,False,,False,False,False,True,False,False,False,False,,False,False,True
New Hampshire,3644,2380.0,2823.0,,2003.1,168.0,1128.0,1909.6,1912.3,3452.4,3430.1,1709.8,,1081.7,1766.1,5268.0,-1264.0,-821.0,,-1640.9,-3476.0,-2516.0,-1734.4,-1731.7,-191.6,-213.9,-1934.2,,-2562.3,-1877.9,1624.0,True,,False,False,False,False,False,True,True,False,,False,False,False
New Jersey,45006,23630.0,35959.0,,19982.9,6409.0,14921.0,31026.3,15150.0,75885.4,30970.0,15601.0,,16090.1,18904.6,36545.0,-21376.0,-9047.0,,-25023.1,-38597.0,-30085.0,-13979.7,-29856.0,30879.4,-14036.0,-29405.0,,-28915.9,-26101.4,-8461.0,True,,False,False,False,True,False,False,True,False,,False,False,True
New Mexico,23375,8020.0,12687.0,,8823.8,1717.0,5928.0,13678.2,7949.0,9115.1,3787.3,5691.6,,3534.6,6071.5,9801.0,-15355.0,-10688.0,,-14551.2,-21658.0,-17447.0,-9696.8,-15426.0,-14259.9,-19587.7,-17683.4,,-19840.4,-17303.5,-13574.0,True,,True,False,False,True,False,True,False,False,,False,False,True
New York,63911,43000.0,75489.0,,70767.3,6917.0,16220.0,44262.3,27963.4,76384.1,91788.9,29456.0,,42217.3,37988.9,64112.0,-20911.0,11578.0,,6856.3,-56994.0,-47691.0,-19648.7,-35947.6,12473.1,27877.9,-34455.0,,-21693.7,-25922.1,201.0,True,,True,False,False,True,False,True,False,False,,False,False,True
North Carolina,74359,45560.0,83642.0,,46986.3,25984.0,44087.0,49675.6,39834.9,49838.5,34129.6,25117.7,,24761.8,29718.8,43509.0,-28799.0,9283.0,,-27372.7,-48375.0,-30272.0,-24683.4,-34524.1,-24520.5,-40229.4,-49241.3,,-49597.2,-44640.2,-30850.0,True,,True,False,False,True,False,True,False,False,,False,False,False
North Dakota,30070,13770.0,11766.0,,13694.1,10700.0,13150.0,18523.2,17845.3,5035.7,24380.7,10550.6,,7565.4,10583.2,14449.0,-16300.0,-18304.0,,-16375.9,-19370.0,-16920.0,-11546.8,-12224.7,-25034.3,-5689.3,-19519.4,,-22504.6,-19486.8,-15621.0,False,,False,False,False,True,True,False,True,False,,False,False,True
Ohio,87761,39785.0,56248.0,,34210.6,27517.0,31761.0,40851.9,37792.4,82448.2,29715.1,24638.3,,24088.3,29353.6,46283.0,-47976.0,-31513.0,,-53550.4,-60244.0,-56000.0,-46909.1,-49968.6,-5312.8,-58045.9,-63122.7,,-63672.7,-58407.4,-41478.0,True,,False,False,False,True,False,True,False,False,,False,False,True
Oklahoma,41003,36190.0,38832.0,,38309.3,28899.0,32513.0,44168.0,36780.3,25752.3,48055.8,12648.7,,4951.7,15752.1,23922.0,-4813.0,-2171.0,,-2693.7,-12104.0,-8490.0,3165.0,-4222.7,-15250.7,7052.8,-28354.3,,-36051.3,-25250.9,-17081.0,True,,True,False,False,True,True,False,False,False,,False,False,False
Oregon,15076,9650.0,10438.0,,9725.3,5208.0,7125.0,14486.0,10945.0,16140.9,7886.1,6621.5,,5314.2,4615.0,8769.0,-5426.0,-4638.0,,-5350.7,-9868.0,-7951.0,-590.0,-4131.0,1064.9,-7189.9,-8454.5,,-9761.8,-10461.0,-6307.0,True,,True,False,False,True,True,True,False,False,,False,False,False
Pennsylvania,66255,31525.0,38150.0,,33786.9,4494.0,21239.0,35449.6,33997.3,77797.9,25581.5,24745.4,,34178.5,31719.6,33298.0,-34730.0,-28105.0,,-32468.1,-61761.0,-45016.0,-30805.4,-32257.7,11542.9,-40673.5,-41509.6,,-32076.5,-34535.4,-32957.0,True,,True,False,False,True,True,True,False,False,,True,True,True
Rhode Island,11304,4475.0,3969.0,,4205.8,433.0,3241.0,6691.6,4100.7,5679.6,4600.5,2010.7,,274.2,3579.3,3578.0,-6829.0,-7335.0,,-7098.2,-10871.0,-8063.0,-4612.4,-7203.3,-5624.4,-6703.5,-9293.3,,-11029.8,-7724.7,-7726.0,False,,False,False,False,True,False,True,True,False,,False,False,False
South Carolina,33851,28090.0,31681.0,,27556.5,15585.0,24862.0,33541.8,22654.8,11780.7,41332.0,17885.1,,15284.7,12927.2,22256.0,-5761.0,-2170.0,,-6294.5,-18266.0,-8989.0,-309.2,-11196.2,-22070.3,7481.0,-15965.9,,-18566.3,-20923.8,-11595.0,True,,False,False,False,True,False,False,False,False,,False,False,False
South Dakota,29990,14265.0,15241.0,,15052.8,9380.0,17580.0,18238.4,19253.1,2283.8,12555.4,11978.2,,7828.3,10883.1,12363.0,-15725.0,-14749.0,,-14937.2,-20610.0,-12410.0,-11751.6,-10736.9,-27706.2,-17434.6,-18011.8,,-22161.7,-19106.9,-17627.0,True,,True,False,True,True,True,False,False,False,,False,False,False
Tennessee,78620,43520.0,41971.0,,48161.8,26288.0,38202.0,39728.7,42274.4,25902.2,29340.9,30877.1,,24272.1,21744.6,32295.0,-35100.0,-36649.0,,-30458.2,-52332.0,-40418.0,-38891.3,-36345.6,-52717.8,-49279.1,-47742.9,,-54347.9,-56875.4,-46325.0,False,,True,False,False,False,False,False,False,False,,False,False,False
Texas,238534,165570.0,319412.0,,174239.0,61857.0,159944.0,207513.8,142834.3,150744.3,131938.1,79096.9,,102168.2,92696.8,128599.0,-72964.0,80878.0,,-64295.0,-176677.0,-78590.0,-31020.2,-95699.7,-87789.7,-106595.9,-159437.1,,-136365.8,-145837.2,-109935.0,False,,True,False,False,True,False,False,False,False,,False,False,False
Utah,54010,33390.0,21598.0,,30811.0,14760.0,29475.0,50743.2,19909.8,17122.3,46375.1,31449.8,,18082.1,12770.8,23466.0,-20620.0,-32412.0,,-23199.0,-39250.0,-24535.0,-3266.8,-34100.2,-36887.7,-7634.9,-22560.2,,-35927.9,-41239.2,-30544.0,False,,False,False,False,True,False,False,True,False,,False,False,False
Vermont,569,195.0,197.0,,300.0,84.0,70.0,183.9,923.6,618.1,150.8,146.9,,55.8,229.3,484.0,-374.0,-372.0,,-269.0,-485.0,-499.0,-385.1,354.6,49.1,-418.2,-422.1,,-513.2,-339.7,-85.0,True,,True,False,False,False,True,True,False,False,,False,True,True
Virginia,40070,26580.0,27607.0,,24185.6,7771.0,17280.0,28402.0,30779.5,29278.6,28878.7,20524.0,,19597.5,19600.2,25640.0,-13490.0,-12463.0,,-15884.4,-32299.0,-22790.0,-11668.0,-9290.5,-10791.4,-11191.3,-19546.0,,-20472.5,-20469.8,-14430.0,True,,False,False,False,True,True,True,True,False,,False,False,False
Washington,28931,17945.0,21480.0,,29501.4,23350.0,11433.0,22965.4,17750.0,20918.5,12079.8,12386.6,,21081.2,14479.2,25808.0,-10986.0,-7451.0,,570.4,-5581.0,-17498.0,-5965.6,-11181.0,-8012.5,-16851.2,-16544.4,,-7849.8,-14451.8,-3123.0,True,,True,True,False,True,False,True,False,False,,True,False,True
West Virginia,11128,6570.0,8384.0,,5627.2,7326.0,3860.0,6230.3,10288.7,7768.8,7725.2,4304.1,,2759.7,3604.4,5070.0,-4558.0,-2744.0,,-5500.8,-3802.0,-7268.0,-4897.7,-839.3,-3359.2,-3402.8,-6823.9,,-8368.3,-7523.6,-6058.0,True,,False,True,False,False,True,True,True,False,,False,False,False
Wisconsin,146705,85765.0,95929.0,,94473.6,47025.0,74264.0,140198.7,82213.4,36627.5,97776.2,52601.6,,50839.6,78931.9,85663.0,-60940.0,-50776.0,,-52231.4,-99680.0,-72441.0,-6506.3,-64491.6,-110077.5,-48928.8,-94103.4,,-95865.4,-67773.1,-61042.0,True,,True,False,False,True,False,False,True,False,,False,False,False
Wyoming,10232,4500.0,4742.0,,6922.5,2807.0,4494.0,8885.7,6304.2,1680.4,4049.3,3789.9,,2733.5,3070.4,5899.0,-5732.0,-5490.0,,-3309.5,-7425.0,-5738.0,-1346.3,-3927.8,-8551.6,-6182.7,-6442.1,,-7498.5,-7161.6,-4333.0,True,,True,False,False,True,True,False,False,False,,False,False,True
US,2570585,1512690.0,1848909.0,2200196.0,1592490.4,697057.0,1190269.0,1821005.3,1360794.3,1481888.9,1391230.6,902579.8,1566463.4,904940.7,1049402.1,1448411.0,-1057895.0,-721676.0,-370389.0,-978094.6,-1873528.0,-1380316.0,-749579.7,-1209790.7,-1088696.1,-1179354.4,-1668005.2,-1004121.6,-1665644.3,-1521182.9,-1122174.0,True,True,True,False,False,True,False,False,False,False,True,False,False,False
