,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF,beat_baseline-UVA-Ensemble
01043,369,341.0,,347.1,,344.0,414.0,,,,,,337.6,,,203.0,,332.3,32.1,303.0,,476.0,390.2,,383.0,265.0,,,,294.5,,,315.0,,355.0,-28.0,,-21.9,,-25.0,45.0,,,,,,-31.4,,,-166.0,,-36.7,-336.9,-66.0,,107.0,21.2,,14.0,-104.0,,,,-74.5,,,-54.0,,-14.0,,True,,True,False,,,,,,False,,,False,,False,False,False,,False,True,,True,False,,,,False,,,False,,True
01045,117,155.0,,174.5,,152.0,89.0,,,,,,191.4,,,86.0,,181.3,32.9,130.5,,184.0,149.7,,186.0,161.0,,,,133.8,,,168.0,,186.3,38.0,,57.5,,35.0,-28.0,,,,,,74.4,,,-31.0,,64.3,-84.1,13.5,,67.0,32.7,,69.0,44.0,,,,16.8,,,51.0,,69.3,,False,,True,True,,,,,,False,,,True,,False,False,True,,False,True,,False,False,,,,True,,,False,,False
01047,78,41.0,,42.0,,40.0,20.0,,,,,,62.4,,,71.0,,20.3,12.9,32.0,,44.0,31.9,,39.0,43.0,,,,38.6,,,37.0,,42.7,-37.0,,-36.0,,-38.0,-58.0,,,,,,-15.6,,,-7.0,,-57.7,-65.1,-46.0,,-34.0,-46.1,,-39.0,-35.0,,,,-39.4,,,-41.0,,-35.3,,True,,False,False,,,,,,True,,,True,,False,False,False,,True,False,,False,True,,,,False,,,False,,True
01049,203,270.0,,271.5,,265.0,256.0,,,,,,334.7,,,215.0,,260.1,46.8,287.0,,303.0,277.7,,315.0,54.0,,,,209.3,,,220.0,,350.6,67.0,,68.5,,62.0,53.0,,,,,,131.7,,,12.0,,57.1,-156.2,84.0,,100.0,74.7,,112.0,-149.0,,,,6.3,,,17.0,,147.6,,False,,True,True,,,,,,False,,,True,,True,False,False,,False,False,,False,False,,,,True,,,True,,False
01051,144,109.0,,108.6,,106.0,104.0,,,,,,136.8,,,114.0,,126.9,51.5,123.0,,101.0,100.8,,117.0,48.0,,,,94.6,,,88.0,,149.9,-35.0,,-35.4,,-38.0,-40.0,,,,,,-7.2,,,-30.0,,-17.1,-92.5,-21.0,,-43.0,-43.2,,-27.0,-96.0,,,,-49.4,,,-56.0,,5.9,,False,,False,False,,,,,,True,,,True,,True,False,True,,False,False,,True,False,,,,False,,,False,,True
01053,55,41.0,,41.2,,39.0,0.0,,,,,,48.9,,,103.0,,36.6,14.7,35.0,,43.0,26.4,,40.0,36.0,,,,40.0,,,37.0,,37.2,-14.0,,-13.8,,-16.0,-55.0,,,,,,-6.1,,,48.0,,-18.4,-40.3,-20.0,,-12.0,-28.6,,-15.0,-19.0,,,,-15.0,,,-18.0,,-17.8,,True,,False,False,,,,,,True,,,False,,False,False,False,,True,False,,False,False,,,,False,,,False,,False
01055,361,247.0,,239.0,,242.0,336.0,,,,,,316.8,,,244.0,,225.7,66.8,239.0,,288.0,240.2,,338.0,146.0,,,,201.3,,,201.0,,284.0,-114.0,,-122.0,,-119.0,-25.0,,,,,,-44.2,,,-117.0,,-135.3,-294.2,-122.0,,-73.0,-120.8,,-23.0,-215.0,,,,-159.7,,,-160.0,,-77.0,,False,,False,True,,,,,,True,,,False,,False,False,False,,True,False,,True,False,,,,False,,,False,,True
01057,53,34.0,,36.5,,34.0,23.0,,,,,,33.7,,,34.0,,38.2,14.1,,,31.0,28.2,,38.0,19.0,,,,,,,24.0,,45.7,-19.0,,-16.5,,-19.0,-30.0,,,,,,-19.3,,,-19.0,,-14.8,-38.9,,,-22.0,-24.8,,-15.0,-34.0,,,,,,,-29.0,,-7.3,,True,,False,False,,,,,,False,,,False,,True,False,,,False,False,,True,False,,,,,,,False,,True
01059,71,68.0,,70.8,,69.0,43.0,,,,,,83.0,,,99.0,,57.3,30.3,71.0,,127.0,163.2,,81.0,73.0,,,,62.5,,,177.0,,76.4,-3.0,,-0.2,,-2.0,-28.0,,,,,,12.0,,,28.0,,-13.7,-40.7,0.0,,56.0,92.2,,10.0,2.0,,,,-8.5,,,106.0,,5.4,,True,,True,False,,,,,,False,,,False,,False,False,True,,False,False,,False,True,,,,False,,,False,,False
01061,53,71.0,,72.4,,66.0,54.0,,,,,,80.5,,,55.0,,99.6,34.0,,,66.0,60.1,,101.0,99.0,,,,,,,66.0,,87.1,18.0,,19.4,,13.0,1.0,,,,,,27.5,,,2.0,,46.6,-19.0,,,13.0,7.1,,48.0,46.0,,,,,,,13.0,,34.1,,False,,True,True,,,,,,False,,,True,,False,False,,,True,True,,False,False,,,,,,,True,,False
