,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF
Georgia,44247,11185.0,9320.1,11211.9,10838.0,10524.0,,11049.9,4590.0,11113.4,13134.6,11954.9,,12051.0,13688.0,11010.5,10431.3,11282.0,6375.4,13964.5,12323.7,10819.0,11434.8,12242.0,12927.0,,10616.2,6271.9,9785.8,11286.6,12831.3,12186.0,12801.7,-33062.0,-34926.9,-33035.1,-33409.0,-33723.0,,-33197.1,-39657.0,-33133.6,-31112.4,-32292.1,,-32196.0,-30559.0,-33236.5,-33815.7,-32965.0,-37871.6,-30282.5,-31923.3,-33428.0,-32812.2,-32005.0,-31320.0,,-33630.8,-37975.1,-34461.2,-32960.4,-31415.7,-32061.0,-31445.3,False,True,False,False,,False,False,False,True,True,,True,True,False,False,True,False,True,True,False,True,True,True,,False,False,False,True,True,True,True
Hawaii,767,518.0,885.5,520.1,520.0,494.0,,588.1,316.0,448.0,440.1,482.5,,,,570.1,632.8,519.0,608.9,562.0,528.7,468.0,536.7,626.2,531.0,,526.0,530.8,436.2,570.9,457.2,288.0,568.5,-249.0,118.5,-246.9,-247.0,-273.0,,-178.9,-451.0,-319.0,-326.9,-284.5,,,,-196.9,-134.2,-248.0,-158.1,-205.0,-238.3,-299.0,-230.3,-140.8,-236.0,,-241.0,-236.2,-330.8,-196.1,-309.8,-479.0,-198.5,True,True,True,False,,True,False,False,False,False,,,,True,True,True,True,True,True,False,True,True,True,,True,True,False,True,False,False,True
Idaho,7704,5914.0,11373.0,5880.1,6221.0,5852.0,,6210.4,3130.0,7536.9,5793.7,6642.9,,6268.0,6231.0,7124.2,7622.9,6791.0,2353.2,6500.0,8953.8,5734.0,5664.2,6618.8,7056.0,,6978.6,7248.0,4560.5,7717.1,6273.4,5450.0,6766.7,-1790.0,3669.0,-1823.9,-1483.0,-1852.0,,-1493.6,-4574.0,-167.1,-1910.3,-1061.1,,-1436.0,-1473.0,-579.8,-81.1,-913.0,-5350.8,-1204.0,1249.8,-1970.0,-2039.8,-1085.2,-648.0,,-725.4,-456.0,-3143.5,13.1,-1430.6,-2254.0,-937.3,False,False,True,False,,True,False,True,False,True,,True,True,True,True,True,False,True,True,False,False,True,True,,True,True,False,True,True,False,True
Illinois,61431,33747.0,39245.7,34195.8,37809.0,43092.0,,37809.1,23269.0,61196.9,49024.9,21080.1,,32428.0,37814.0,36515.4,35902.6,,17799.4,38065.5,53792.3,60265.5,59929.7,46693.7,36941.0,,43107.6,17972.4,31288.7,36513.6,35903.1,33175.0,33300.3,-27684.0,-22185.3,-27235.2,-23622.0,-18339.0,,-23621.9,-38162.0,-234.1,-12406.1,-40350.9,,-29003.0,-23617.0,-24915.6,-25528.4,,-43631.6,-23365.5,-7638.7,-1165.5,-1501.3,-14737.3,-24490.0,,-18323.4,-43458.6,-30142.3,-24917.4,-25527.9,-28256.0,-28130.7,True,True,True,True,,True,False,True,True,False,,False,True,True,True,,False,True,True,True,True,True,True,,True,False,False,True,True,False,False
Indiana,26364,18904.0,17406.0,18822.0,18897.0,21029.0,,17313.0,25098.0,23258.8,21719.6,20177.4,,20005.0,18314.0,18889.6,19401.1,19018.0,10853.8,18486.0,24898.3,21512.0,22913.3,21000.7,20461.0,,20189.6,9398.7,17379.0,17408.2,22804.1,20923.0,21009.8,-7460.0,-8958.0,-7542.0,-7467.0,-5335.0,,-9051.0,-1266.0,-3105.2,-4644.4,-6186.6,,-6359.0,-8050.0,-7474.4,-6962.9,-7346.0,-15510.2,-7878.0,-1465.7,-4852.0,-3450.7,-5363.3,-5903.0,,-6174.4,-16965.3,-8985.0,-8955.8,-3559.9,-5441.0,-5354.2,False,False,False,True,,False,True,True,True,True,,True,False,False,True,True,False,False,True,True,True,True,True,,True,False,False,False,True,True,True
Iowa,21744,13674.0,10067.2,14025.5,11501.0,13266.0,,11321.6,8014.0,17024.9,18611.0,14256.7,,14189.0,11040.0,11681.1,11813.7,11470.0,3806.0,11502.0,9743.0,15953.0,19454.8,14433.3,13817.0,,11113.3,4852.6,12155.6,9913.6,14184.0,15296.0,14058.6,-8070.0,-11676.8,-7718.5,-10243.0,-8478.0,,-10422.4,-13730.0,-4719.1,-3133.0,-7487.3,,-7555.0,-10704.0,-10062.9,-9930.3,-10274.0,-17938.0,-10242.0,-12001.0,-5791.0,-2289.2,-7310.7,-7927.0,,-10630.7,-16891.4,-9588.4,-11830.4,-7560.0,-6448.0,-7685.4,False,True,False,False,,False,False,True,True,True,,True,False,False,False,False,False,False,False,True,True,True,True,,False,False,False,False,True,True,True
Kansas,12829,7245.0,6012.1,7221.0,7116.0,7460.0,,6343.8,7373.0,8110.3,8300.2,7380.6,,7275.0,7294.0,7011.9,7591.2,7003.0,2695.5,6605.5,5227.2,8056.0,7696.2,7456.4,7578.0,,5182.1,5651.0,6713.4,6715.4,7800.7,6522.0,7343.3,-5584.0,-6816.9,-5608.0,-5713.0,-5369.0,,-6485.2,-5456.0,-4718.7,-4528.8,-5448.4,,-5554.0,-5535.0,-5817.1,-5237.8,-5826.0,-10133.5,-6223.5,-7601.8,-4773.0,-5132.8,-5372.6,-5251.0,,-7646.9,-7178.0,-6115.6,-6113.6,-5028.3,-6307.0,-5485.7,False,False,False,True,,False,True,True,True,True,,True,True,False,True,False,False,False,False,True,True,True,True,,False,False,False,False,True,False,True
Kentucky,12442,11739.0,10684.6,11925.8,11503.0,12945.0,,10888.5,7233.0,22571.9,14102.8,13149.7,,12179.0,12339.0,11170.5,17433.7,11869.0,4714.1,11135.5,11773.6,13402.5,13313.1,12355.1,13133.0,,11409.6,5882.3,10954.7,10709.9,11601.4,12957.0,12106.4,-703.0,-1757.4,-516.2,-939.0,503.0,,-1553.5,-5209.0,10129.9,1660.8,707.7,,-263.0,-103.0,-1271.5,4991.7,-573.0,-7727.9,-1306.5,-668.4,960.5,871.1,-86.9,691.0,,-1032.4,-6559.7,-1487.3,-1732.1,-840.6,515.0,-335.6,False,True,False,True,,False,False,False,False,False,,True,True,False,False,True,False,False,True,False,False,True,True,,False,False,False,False,False,True,True
Louisiana,5066,3400.0,3811.3,3535.6,3737.0,3148.0,,3856.5,1386.0,6319.2,2219.4,2251.5,,2791.0,4151.0,3913.7,3889.1,3620.0,2851.5,4430.5,3904.9,3597.0,3828.1,4281.5,3353.0,,3673.7,1877.8,2960.5,4771.8,4351.0,2584.0,3986.1,-1666.0,-1254.7,-1530.4,-1329.0,-1918.0,,-1209.5,-3680.0,1253.2,-2846.6,-2814.5,,-2275.0,-915.0,-1152.3,-1176.9,-1446.0,-2214.5,-635.5,-1161.1,-1469.0,-1237.9,-784.5,-1713.0,,-1392.3,-3188.2,-2105.5,-294.2,-715.0,-2482.0,-1079.9,True,True,True,False,,True,False,True,False,False,,False,True,True,True,True,False,True,True,True,True,True,False,,True,False,False,True,True,False,True
Maine,938,526.0,70.3,545.2,456.0,711.0,,302.2,219.0,397.7,640.4,515.4,,487.0,643.0,290.5,687.2,556.0,460.1,390.0,302.0,495.0,569.6,594.4,539.0,,429.7,286.3,481.4,271.2,492.6,602.0,458.5,-412.0,-867.7,-392.8,-482.0,-227.0,,-635.8,-719.0,-540.3,-297.6,-422.6,,-451.0,-295.0,-647.5,-250.8,-382.0,-477.9,-548.0,-636.0,-443.0,-368.4,-343.6,-399.0,,-508.3,-651.7,-456.6,-666.8,-445.4,-336.0,-479.5,False,True,False,True,,False,False,False,True,False,,False,True,False,True,True,False,False,False,False,True,True,True,,False,False,False,False,False,True,False
Maryland,7634,5794.0,4645.8,5621.0,5561.0,6608.0,,5395.7,1794.0,7065.0,6909.4,5823.5,,5718.0,5949.0,5155.7,4647.2,6180.0,4568.5,5172.5,6437.8,5972.5,6651.7,6725.6,6258.0,,4596.8,2760.6,5571.1,5298.5,5546.0,6148.0,6225.8,-1840.0,-2988.2,-2013.0,-2073.0,-1026.0,,-2238.3,-5840.0,-569.0,-724.6,-1810.5,,-1916.0,-1685.0,-2478.3,-2986.8,-1454.0,-3065.5,-2461.5,-1196.2,-1661.5,-982.3,-908.4,-1376.0,,-3037.2,-4873.4,-2062.9,-2335.5,-2088.0,-1486.0,-1408.2,False,False,False,True,,False,False,True,True,True,,False,True,False,False,True,False,False,True,True,True,True,True,,False,False,False,False,False,True,True
Massachusetts,11000,9088.0,6196.3,9079.3,8564.0,10711.0,,8446.0,6014.0,11912.1,11344.3,9932.3,,7914.0,8258.0,8315.4,7538.2,8636.0,5805.8,7906.0,10742.0,10748.0,10326.8,10110.4,8126.0,,11201.2,7650.9,8478.0,7819.0,5721.0,9764.0,9729.7,-1912.0,-4803.7,-1920.7,-2436.0,-289.0,,-2554.0,-4986.0,912.1,344.3,-1067.7,,-3086.0,-2742.0,-2684.6,-3461.8,-2364.0,-5194.2,-3094.0,-258.0,-252.0,-673.2,-889.6,-2874.0,,201.2,-3349.1,-2522.0,-3181.0,-5279.0,-1236.0,-1270.3,False,False,False,True,,False,False,True,True,True,,False,False,False,False,False,False,False,True,True,True,True,False,,True,False,False,False,False,True,True
Michigan,31667,21794.0,19952.8,21758.9,20208.0,25535.0,,19846.2,16449.0,17713.4,28653.6,23677.3,,22424.0,22222.0,20478.2,19938.0,21194.0,13535.4,19188.0,29557.8,26031.0,22232.1,21666.7,22670.0,,16869.6,10690.8,20203.7,17703.5,26648.9,25198.0,22547.6,-9873.0,-11714.2,-9908.1,-11459.0,-6132.0,,-11820.8,-15218.0,-13953.6,-3013.4,-7989.7,,-9243.0,-9445.0,-11188.8,-11729.0,-10473.0,-18131.6,-12479.0,-2109.2,-5636.0,-9434.9,-10000.3,-8997.0,,-14797.4,-20976.2,-11463.3,-13963.5,-5018.1,-6469.0,-9119.4,False,False,False,True,,False,False,False,True,True,,True,True,False,False,False,False,False,True,True,True,False,True,,False,False,False,False,True,True,True
Minnesota,26482,16350.0,13316.4,16695.7,16276.0,18361.0,,13985.7,16202.0,19330.6,21357.1,17288.7,,18147.0,17693.0,15637.2,14088.9,16349.0,6043.3,14829.0,18297.5,17253.0,19778.9,16816.5,17008.0,,13905.4,9830.9,14359.1,13749.9,21324.4,17185.0,17036.8,-10132.0,-13165.6,-9786.3,-10206.0,-8121.0,,-12496.3,-10280.0,-7151.4,-5124.9,-9193.3,,-8335.0,-8789.0,-10844.8,-12393.1,-10133.0,-20438.7,-11653.0,-8184.5,-9229.0,-6703.1,-9665.5,-9474.0,,-12576.6,-16651.1,-12122.9,-12732.1,-5157.6,-9297.0,-9445.2,False,True,False,True,,False,False,True,True,True,,True,True,False,False,False,False,False,True,True,True,True,True,,False,False,False,False,True,True,True
Mississippi,5725,5072.0,5308.5,5024.0,5163.0,4715.0,,5230.5,2389.0,5974.1,5556.3,6080.7,,5648.0,5267.0,5461.4,5606.7,5350.0,2118.5,5254.0,6255.7,5017.0,5094.8,6055.5,5853.0,,4444.6,386.1,4749.9,6513.4,5277.1,5342.0,5654.7,-653.0,-416.5,-701.0,-562.0,-1010.0,,-494.5,-3336.0,249.1,-168.7,355.7,,-77.0,-458.0,-263.6,-118.3,-375.0,-3606.5,-471.0,530.7,-708.0,-630.2,330.5,128.0,,-1280.4,-5338.9,-975.1,788.4,-447.9,-383.0,-70.3,True,False,True,False,,True,False,True,True,True,,True,True,True,True,True,False,True,True,False,True,True,True,,False,False,False,False,True,True,True
Missouri,22949,16163.0,13008.5,16313.4,15288.0,15576.0,,14462.1,10826.0,17101.7,19751.9,16293.6,,16215.0,15481.0,16367.3,15125.7,15035.0,5921.1,15799.0,16459.7,14660.0,17229.1,16939.1,17683.0,,15053.5,13809.8,15777.6,15339.1,14920.9,15476.0,16902.1,-6786.0,-9940.5,-6635.6,-7661.0,-7373.0,,-8486.9,-12123.0,-5847.3,-3197.1,-6655.4,,-6734.0,-7468.0,-6581.7,-7823.3,-7914.0,-17027.9,-7150.0,-6489.3,-8289.0,-5719.9,-6009.9,-5266.0,,-7895.5,-9139.2,-7171.4,-7609.9,-8028.1,-7473.0,-6046.9,False,True,False,False,,False,False,True,True,True,,True,False,True,False,False,False,False,True,False,True,True,True,,False,False,False,False,False,False,True
Montana,6147,5659.0,5549.7,5597.6,5580.0,4983.0,,5364.1,4227.0,6164.4,6576.5,6668.5,,6596.0,5290.0,6896.2,8559.2,5608.0,804.8,6331.0,6926.3,5577.0,6130.2,6312.7,6206.0,,5311.4,9800.9,4677.3,6423.3,6093.5,5362.0,6421.6,-488.0,-597.3,-549.4,-567.0,-1164.0,,-782.9,-1920.0,17.4,429.5,521.5,,449.0,-857.0,749.2,2412.2,-539.0,-5342.2,184.0,779.3,-570.0,-16.8,165.7,59.0,,-835.6,3653.9,-1469.7,276.3,-53.5,-785.0,274.6,False,False,False,False,,False,False,True,True,False,,True,False,False,False,False,False,True,False,False,True,True,True,,False,False,False,True,True,False,True
Nebraska,11663,7517.0,10004.7,7548.6,7533.0,7622.0,,6748.4,7362.0,11321.2,9566.5,8565.2,,8255.0,7441.0,7379.8,7665.6,7088.0,2764.6,7356.0,9216.4,8314.5,8967.3,8033.9,8341.0,,5341.0,8100.8,6942.7,7620.2,8434.8,7099.0,7615.6,-4146.0,-1658.3,-4114.4,-4130.0,-4041.0,,-4914.6,-4301.0,-341.8,-2096.5,-3097.8,,-3408.0,-4222.0,-4283.2,-3997.4,-4575.0,-8898.4,-4307.0,-2446.6,-3348.5,-2695.7,-3629.1,-3322.0,,-6322.0,-3562.2,-4720.3,-4042.8,-3228.2,-4564.0,-4047.4,True,True,True,True,,False,False,True,True,True,,True,False,False,True,False,False,False,True,True,True,True,True,,False,True,False,True,True,False,True
Nevada,7985,5949.0,3388.1,5942.3,5949.0,6208.0,,5700.6,1799.0,6245.7,6501.3,6171.4,,6277.0,5670.0,6004.0,4923.2,,3079.9,5785.5,7373.7,6332.0,6307.9,6920.8,6919.0,,6758.7,2152.2,5049.8,6499.6,6090.7,6512.0,6752.8,-2036.0,-4596.9,-2042.7,-2036.0,-1777.0,,-2284.4,-6186.0,-1739.3,-1483.7,-1813.6,,-1708.0,-2315.0,-1981.0,-3061.8,,-4905.1,-2199.5,-611.3,-1653.0,-1677.1,-1064.2,-1066.0,,-1226.3,-5832.8,-2935.2,-1485.4,-1894.3,-1473.0,-1232.2,False,False,False,True,,False,False,True,True,True,,True,False,True,False,,False,False,True,True,True,True,True,,True,False,False,True,True,True,True
New Hampshire,1157,846.0,225.1,840.5,843.0,950.0,,756.4,877.0,1143.5,1096.9,949.0,,832.0,700.0,715.8,742.9,892.0,832.8,757.5,999.2,881.0,1078.8,985.1,957.0,,672.1,1124.0,847.1,833.3,747.4,944.0,788.1,-311.0,-931.9,-316.5,-314.0,-207.0,,-400.6,-280.0,-13.5,-60.1,-208.0,,-325.0,-457.0,-441.2,-414.1,-265.0,-324.2,-399.5,-157.8,-276.0,-78.2,-171.9,-200.0,,-484.9,-33.0,-309.9,-323.7,-409.6,-213.0,-368.9,False,False,False,True,,False,True,True,True,True,,False,False,False,False,True,False,False,True,True,True,True,True,,False,True,True,False,False,True,False
