,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
New Mexico,26159,5957.0,,4733.7,1602.0,,8021.0,5414.5,3292.9,2106.6,4157.7,6615.8,5622.0,-20202.0,,-21425.3,-24557.0,,-18138.0,-20744.5,-22866.1,-24052.4,-22001.3,-19543.2,-20537.0,,False,False,,True,False,False,False,False,True,False
New York,78563,37786.0,,10038.8,27.0,,15514.0,46070.2,20204.5,35953.3,31600.0,33224.5,40784.0,-40777.0,,-68524.2,-78536.0,,-63049.0,-32492.8,-58358.5,-42609.7,-46963.0,-45338.5,-37779.0,,False,False,,False,True,False,False,False,False,True
North Carolina,92979,59563.0,,46735.2,70856.0,,61061.0,50199.7,35042.0,34324.0,42633.3,58108.5,38727.0,-33416.0,,-46243.8,-22123.0,,-31918.0,-42779.3,-57937.0,-58655.0,-50345.7,-34870.5,-54252.0,,False,True,,True,False,False,False,False,False,False
North Dakota,35597,17192.0,,16888.4,25.0,,17726.0,14307.8,11909.8,9530.3,9745.4,13954.8,7410.0,-18405.0,,-18708.6,-35572.0,,-17871.0,-21289.2,-23687.2,-26066.7,-25851.6,-21642.2,-28187.0,,False,False,,True,False,False,False,False,False,False
Ohio,102180,48853.0,,42012.8,36929.0,,37115.0,48774.1,23584.2,20050.0,32418.9,34267.6,36034.0,-53327.0,,-60167.2,-65251.0,,-65065.0,-53405.9,-78595.8,-82130.0,-69761.1,-67912.4,-66146.0,,False,False,,False,False,False,False,False,False,False
Oklahoma,55947,50015.0,,39200.3,32210.0,,38689.0,65723.1,31424.9,32932.8,24128.5,57223.6,31248.0,-5932.0,,-16746.7,-23737.0,,-17258.0,9776.1,-24522.1,-23014.2,-31818.5,1276.6,-24699.0,,False,False,,False,False,False,False,False,True,False
Oregon,18988,8302.0,,10263.8,5642.0,,7308.0,8989.4,6683.2,5544.6,4586.6,19743.4,10238.0,-10686.0,,-8724.2,-13346.0,,-11680.0,-9998.6,-12304.8,-13443.4,-14401.4,755.4,-8750.0,,True,False,,False,True,False,False,False,True,True
Pennsylvania,78257,39207.0,,38523.3,2163.0,,33308.0,53289.8,18117.1,17856.8,26605.4,33140.2,34585.0,-39050.0,,-39733.7,-76094.0,,-44949.0,-24967.2,-60139.9,-60400.2,-51651.6,-45116.8,-43672.0,,False,False,,False,True,False,False,False,False,False
Rhode Island,12890,5005.0,,4792.4,0.0,,5362.0,7098.9,1721.9,591.6,4408.3,2236.9,3043.0,-7885.0,,-8097.6,-12890.0,,-7528.0,-5791.1,-11168.1,-12298.4,-8481.7,-10653.1,-9847.0,,False,False,,True,True,False,False,False,False,False
South Carolina,47502,50834.0,,40489.3,13544.0,,38911.0,41819.4,19319.0,7762.0,28595.4,23476.6,25921.0,3332.0,,-7012.7,-33958.0,,-8591.0,-5682.6,-28183.0,-39740.0,-18906.6,-24025.4,-21581.0,,False,False,,False,False,False,False,False,False,False
South Dakota,35532,14049.0,,10985.4,146.0,,14462.0,15713.2,10183.6,7981.6,9928.5,17614.9,7465.0,-21483.0,,-24546.6,-35386.0,,-21070.0,-19818.8,-25348.4,-27550.4,-25603.5,-17917.1,-28067.0,,False,False,,True,True,False,False,False,True,False
Tennessee,96776,73836.0,,55299.4,30740.0,,63953.0,36085.4,49259.1,40857.8,36399.0,58893.2,45484.0,-22940.0,,-41476.6,-66036.0,,-32823.0,-60690.6,-47516.9,-55918.2,-60377.0,-37882.8,-51292.0,,False,False,,False,False,False,False,False,False,False
Texas,319402,212205.0,,116173.1,78521.0,,219920.0,98485.4,114118.5,52745.8,145161.7,188718.8,165513.0,-107197.0,,-203228.9,-240881.0,,-99482.0,-220916.6,-205283.5,-266656.2,-174240.3,-130683.2,-153889.0,,False,False,,True,False,False,False,False,False,False
Utah,67383,39235.0,,36259.2,8623.0,,27310.0,39916.8,28562.5,28973.1,18380.1,86932.9,33787.0,-28148.0,,-31123.8,-58760.0,,-40073.0,-27466.2,-38820.5,-38409.9,-49002.9,19549.9,-33596.0,,False,False,,False,True,False,False,False,True,False
Vermont,637,231.0,,435.6,85.0,,239.0,87.7,53.3,177.4,349.9,155.3,167.0,-406.0,,-201.4,-552.0,,-398.0,-549.3,-583.7,-459.6,-287.1,-481.7,-470.0,,True,False,,True,False,False,False,True,False,False
Virginia,51218,46746.0,,42362.3,5132.0,,28245.0,47386.5,25264.4,27394.0,30708.5,35428.2,849.0,-4472.0,,-8855.7,-46086.0,,-22973.0,-3831.5,-25953.6,-23824.0,-20509.5,-15789.8,-50369.0,,False,False,,False,True,False,False,False,False,False
Washington,36599,19061.0,,13017.6,33479.0,,9253.0,17120.5,10781.1,8411.0,14355.0,22382.7,15412.0,-17538.0,,-23581.4,-3120.0,,-27346.0,-19478.5,-25817.9,-28188.0,-22244.0,-14216.3,-21187.0,,False,True,,False,False,False,False,False,True,False
West Virginia,13720,9527.0,,10765.3,8004.0,,6199.0,14160.6,6342.8,4428.8,4341.9,11508.6,8928.0,-4193.0,,-2954.7,-5716.0,,-7521.0,440.6,-7377.2,-9291.2,-9378.1,-2211.4,-4792.0,,True,False,,False,True,False,False,False,True,False
Wisconsin,177941,67732.0,,76659.8,40912.0,,50996.0,74694.1,124586.3,62445.8,42764.1,195900.7,84755.0,-110209.0,,-101281.2,-137029.0,,-126945.0,-103246.9,-53354.7,-115495.2,-135176.9,17959.7,-93186.0,,True,False,,False,True,True,False,False,True,True
Wyoming,11816,3388.0,,3176.9,732.0,,3722.0,2746.2,2565.3,2404.2,1802.2,10164.9,4413.0,-8428.0,,-8639.1,-11084.0,,-8094.0,-9069.8,-9250.7,-9411.8,-10013.8,-1651.1,-7403.0,,False,False,,True,False,False,False,False,True,True
US,3194187,1958929.0,1643593.0,921339.2,826770.0,1964890.0,1635937.0,1653353.4,1056769.8,911521.7,1357915.3,2057400.0,1533211.0,-1235258.0,-1550594.0,-2272847.8,-2367417.0,-1229297.0,-1558250.0,-1540833.6,-2137417.2,-2282665.3,-1836271.7,-1136787.0,-1660976.0,False,False,False,True,False,False,False,False,False,True,False
