,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,112132,90856.0,,71897.8,,77712.0,95968.6,83408.1,30372.2,48904.7,49140.0,48712.0,-21276.0,,-40234.2,,-34420.0,-16163.4,-28723.9,-81759.8,-63227.3,-62992.0,-63420.0,,False,,False,True,False,False,False,False,False
Hawaii,5329,7160.0,,4999.7,,,1848.7,10226.2,1714.8,7654.6,1983.4,2638.0,1831.0,,-329.3,,,-3480.3,4897.2,-3614.2,2325.6,-3345.6,-2691.0,,True,,,False,False,False,False,False,False
Idaho,37145,13544.0,,13523.5,,17561.0,13958.8,19216.7,2337.9,8079.8,17433.4,7542.0,-23601.0,,-23621.5,,-19584.0,-23186.2,-17928.3,-34807.1,-29065.2,-19711.6,-29603.0,,False,,True,True,True,False,False,True,False
Illinois,215979,95176.0,,74112.9,,91956.0,117563.3,99507.0,62560.4,64972.6,54564.0,61480.0,-120803.0,,-141866.1,,-124023.0,-98415.7,-116472.0,-153418.6,-151006.4,-161415.0,-154499.0,,False,,False,True,True,False,False,False,False
Indiana,101161,44800.0,,43928.7,,41378.0,37630.9,49701.0,21929.9,25704.8,62595.7,25952.0,-56361.0,,-57232.3,,-59783.0,-63530.1,-51460.0,-79231.1,-75456.2,-38565.3,-75209.0,,False,,False,False,True,False,False,True,False
Iowa,76049,36120.0,,33352.7,,35541.0,19156.7,46055.2,15125.5,18382.8,12194.7,13213.0,-39929.0,,-42696.3,,-40508.0,-56892.3,-29993.8,-60923.5,-57666.2,-63854.3,-62836.0,,False,,False,False,True,False,False,False,False
Kansas,51114,24016.0,,22377.4,,26211.0,16715.2,43857.2,6551.9,13650.2,5733.4,7962.0,-27098.0,,-28736.6,,-24903.0,-34398.8,-7256.8,-44562.1,-37463.8,-45380.6,-43152.0,,False,,True,False,True,False,False,False,False
Kentucky,63246,31608.0,,34748.3,,40917.0,38394.7,43940.4,14864.6,15397.9,27876.4,14850.0,-31638.0,,-28497.7,,-22329.0,-24851.3,-19305.6,-48381.4,-47848.1,-35369.6,-48396.0,,True,,True,True,True,False,False,False,False
Louisiana,34606,37608.0,,16806.0,,40918.0,12273.8,23031.7,11446.4,30015.0,25043.3,11347.0,3002.0,,-17800.0,,6312.0,-22332.2,-11574.3,-23159.6,-4591.0,-9562.7,-23259.0,,False,,False,False,False,False,False,False,False
Maine,2766,1608.0,,1302.9,,3107.0,2157.6,2770.1,749.7,1442.7,3188.3,1269.0,-1158.0,,-1463.1,,341.0,-608.4,4.1,-2016.3,-1323.3,422.3,-1497.0,,False,,True,True,True,False,False,True,False
Maryland,37382,31408.0,,38410.8,,26342.0,34133.8,23387.6,17354.2,24782.5,26607.0,23451.0,-5974.0,,1028.8,,-11040.0,-3248.2,-13994.4,-20027.8,-12599.5,-10775.0,-13931.0,,True,,False,True,False,False,False,False,False
Massachusetts,45036,18752.0,,5221.2,,12526.0,18099.7,1036.8,3944.8,12302.9,122238.4,16596.0,-26284.0,,-39814.8,,-32510.0,-26936.3,-43999.2,-41091.2,-32733.1,77202.4,-28440.0,,False,,False,False,False,False,False,False,False
Michigan,106015,46936.0,,40895.8,,39687.0,50494.1,37334.3,3989.9,65305.1,33411.0,52839.0,-59079.0,,-65119.2,,-66328.0,-55520.9,-68680.7,-102025.1,-40709.9,-72604.0,-53176.0,,False,,False,True,False,False,True,False,True
Minnesota,91366,29664.0,,37185.6,,41856.0,15840.2,35989.7,17314.1,16497.7,16931.3,10988.0,-61702.0,,-54180.4,,-49510.0,-75525.8,-55376.3,-74051.9,-74868.3,-74434.7,-80378.0,,True,,True,False,True,False,False,False,False
Mississippi,36265,25136.0,,19665.4,,28350.0,11149.0,19568.0,9298.1,11477.4,9053.6,8697.0,-11129.0,,-16599.6,,-7915.0,-25116.0,-16697.0,-26966.9,-24787.6,-27211.4,-27568.0,,False,,True,False,False,False,False,False,False
Missouri,106651,72952.0,,74282.0,,54675.0,83757.0,89186.8,32053.9,34752.3,78772.1,39937.0,-33699.0,,-32369.0,,-51976.0,-22894.0,-17464.2,-74597.1,-71898.7,-27878.9,-66714.0,,True,,False,True,True,False,False,True,False
Montana,30023,6088.0,,6371.8,,9555.0,7324.3,11020.9,2258.5,1356.6,4411.4,3429.0,-23935.0,,-23651.2,,-20468.0,-22698.7,-19002.1,-27764.5,-28666.4,-25611.6,-26594.0,,True,,True,True,True,False,False,False,False
Nebraska,44275,18520.0,,16664.0,,15427.0,19659.6,23609.5,5891.9,13617.4,11140.0,14200.0,-25755.0,,-27611.0,,-28848.0,-24615.4,-20665.5,-38383.1,-30657.6,-33135.0,-30075.0,,False,,False,True,True,False,False,False,False
Nevada,35526,16944.0,,15908.3,,13399.0,6069.6,13657.4,5823.0,10843.1,6932.0,6288.0,-18582.0,,-19617.7,,-22127.0,-29456.4,-21868.6,-29703.0,-24682.9,-28594.0,-29238.0,,False,,False,False,False,False,False,False,False
New Hampshire,4589,1824.0,,2159.6,,1705.0,2758.6,1820.6,1075.5,1558.3,7774.3,5836.0,-2765.0,,-2429.4,,-2884.0,-1830.4,-2768.4,-3513.5,-3030.7,3185.3,1247.0,,True,,False,True,False,False,False,False,True
New Jersey,56245,20720.0,,11578.8,,18829.0,27066.0,12377.8,19176.3,23949.0,13622.2,22659.0,-35525.0,,-44666.2,,-37416.0,-29179.0,-43867.2,-37068.7,-32296.0,-42622.8,-33586.0,,False,,False,True,False,False,True,False,True
New Mexico,27010,4904.0,,5774.4,,5928.0,4199.8,5964.4,1726.8,2663.8,3483.8,2170.0,-22106.0,,-21235.6,,-21082.0,-22810.2,-21045.6,-25283.2,-24346.2,-23526.2,-24840.0,,True,,True,False,True,False,False,False,False
New York,81968,38944.0,,14658.2,,17328.0,54426.8,34182.3,28485.7,45551.1,46433.4,29897.0,-43024.0,,-67309.8,,-64640.0,-27541.2,-47785.7,-53482.3,-36416.9,-35534.6,-52071.0,,False,,False,True,False,False,True,True,False
North Carolina,102300,63384.0,,54126.5,,72383.0,41505.0,76258.0,36009.0,29209.8,31464.2,23626.0,-38916.0,,-48173.5,,-29917.0,-60795.0,-26042.0,-66291.0,-73090.2,-70835.8,-78674.0,,False,,True,False,True,False,False,False,False
North Dakota,38053,14536.0,,24154.5,,12508.0,17115.7,13911.1,12494.5,10150.2,15824.0,8083.0,-23517.0,,-13898.5,,-25545.0,-20937.3,-24141.9,-25558.5,-27902.8,-22229.0,-29970.0,,True,,False,True,False,False,False,True,False
Ohio,109159,54264.0,,56504.1,,51144.0,63814.8,59661.1,17587.9,23458.1,44373.3,36921.0,-54895.0,,-52654.9,,-58015.0,-45344.2,-49497.9,-91571.1,-85700.9,-64785.7,-72238.0,,True,,False,True,True,False,False,False,False
Oklahoma,63092,43776.0,,43486.0,,40874.0,51467.6,62977.7,20574.3,18976.2,38410.2,25371.0,-19316.0,,-19606.0,,-22218.0,-11624.4,-114.3,-42517.7,-44115.8,-24681.8,-37721.0,,False,,False,True,True,False,False,False,False
Oregon,20431,10400.0,,10557.8,,8475.0,11117.4,14663.1,4361.3,4893.0,9992.4,8034.0,-10031.0,,-9873.2,,-11956.0,-9313.6,-5767.9,-16069.7,-15538.0,-10438.6,-12397.0,,True,,False,True,True,False,False,False,False
Pennsylvania,83858,42840.0,,49053.2,,35048.0,58765.8,37803.4,4937.5,21712.8,23884.8,46862.0,-41018.0,,-34804.8,,-48810.0,-25092.2,-46054.6,-78920.5,-62145.2,-59973.2,-36996.0,,True,,False,True,False,False,False,False,True
Rhode Island,13605,5296.0,,2793.7,,8236.0,2706.3,2861.0,1863.7,5264.1,2789.0,2825.0,-8309.0,,-10811.3,,-5369.0,-10898.7,-10744.0,-11741.3,-8340.9,-10816.0,-10780.0,,False,,True,False,False,False,False,False,False
South Carolina,54764,45512.0,,42881.7,,38127.0,49543.3,40322.8,16170.6,18302.3,83211.6,22043.0,-9252.0,,-11882.3,,-16637.0,-5220.7,-14441.2,-38593.4,-36461.7,28447.6,-32721.0,,False,,False,True,False,False,False,False,False
South Dakota,37539,12384.0,,13925.4,,14881.0,15018.6,13973.8,4938.6,7130.8,6706.6,3577.0,-25155.0,,-23613.6,,-22658.0,-22520.4,-23565.2,-32600.4,-30408.2,-30832.4,-33962.0,,True,,True,True,True,False,False,False,False
Tennessee,107324,68232.0,,62791.2,,60099.0,68313.2,98200.7,21176.8,24742.7,39545.3,29527.0,-39092.0,,-44532.8,,-47225.0,-39010.8,-9123.3,-86147.2,-82581.3,-67778.7,-77797.0,,False,,False,True,True,False,False,False,False
Texas,315931,175208.0,,125959.3,,254394.0,91379.5,174902.8,62394.4,95273.2,113977.6,63729.0,-140723.0,,-189971.7,,-61537.0,-224551.5,-141028.2,-253536.6,-220657.8,-201953.4,-252202.0,,False,,True,False,False,False,False,False,False
Utah,72988,23800.0,,31397.6,,21423.0,28267.4,23067.5,16896.2,12224.2,38957.6,22813.0,-49188.0,,-41590.4,,-51565.0,-44720.6,-49920.5,-56091.8,-60763.8,-34030.4,-50175.0,,True,,False,True,False,False,False,True,False
Vermont,670,240.0,,390.7,,469.0,242.9,1496.3,147.2,414.7,288.0,120.0,-430.0,,-279.3,,-201.0,-427.1,826.3,-522.8,-255.3,-382.0,-550.0,,True,,True,True,False,False,True,True,False
Virginia,58005,57496.0,,64013.3,,33468.0,63009.5,76384.1,28887.8,37407.1,54837.4,0.0,-509.0,,6008.3,,-24537.0,5004.5,18379.1,-29117.2,-20597.9,-3167.6,-58005.0,,False,,False,False,False,False,False,False,False
Washington,36535,21120.0,,25734.6,,13781.0,24083.0,18719.5,9108.5,14862.6,18316.5,16008.0,-15415.0,,-10800.4,,-22754.0,-12452.0,-17815.5,-27426.5,-21672.4,-18218.5,-20527.0,,True,,False,True,False,False,False,False,False
West Virginia,15081,9880.0,,18647.0,,8409.0,15227.7,19141.0,6702.5,7042.3,17295.6,8584.0,-5201.0,,3566.0,,-6672.0,146.7,4060.0,-8378.5,-8038.7,2214.6,-6497.0,,True,,False,True,True,False,False,True,False
Wisconsin,189900,58424.0,,79026.2,,49719.0,72437.8,87665.9,44224.6,38656.9,137256.6,46748.0,-131476.0,,-110873.8,,-140181.0,-117462.2,-102234.1,-145675.4,-151243.1,-52643.4,-143152.0,,True,,False,True,True,False,False,True,False
Wyoming,12300,2456.0,,1790.8,,2236.0,2737.9,13673.0,1812.1,1688.4,5737.0,2391.0,-9844.0,,-10509.2,,-10064.0,-9562.1,1373.0,-10487.9,-10611.6,-6563.0,-9909.0,,False,,False,True,True,False,False,True,False
US,3423244,1921952.0,1892415.0,1333840.6,1703244.0,2054400.0,1822903.3,2005247.0,801411.2,969335.5,1607555.3,1033028.0,-1501292.0,-1530829.0,-2089403.4,-1720000.0,-1368844.0,-1600340.7,-1417997.0,-2621832.8,-2453908.5,-1815688.7,-2390216.0,False,False,False,True,False,True,False,False,False,False
