,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01021,290,292.0,312.7,,235.0,197.0,,,,,843.5,,161.0,,225.1,120.8,,139.2,248.5,,,,,288.3,,,,208.0,263.5,2.0,22.7,,-55.0,-93.0,,,,,553.5,,-129.0,,-64.9,-169.2,,-150.8,-41.5,,,,,-1.7,,,,-82.0,-26.5,False,,False,False,,,,,False,,False,,False,False,,False,False,,,,,True,,,,False,False
01023,33,56.0,52.0,,46.0,28.0,,,,,210.3,,55.0,,46.0,19.5,,9.8,44.0,,,,,,,,,96.0,37.5,23.0,19.0,,13.0,-5.0,,,,,177.3,,22.0,,13.0,-13.5,,-23.2,11.0,,,,,,,,,63.0,4.5,True,,True,True,,,,,False,,True,,True,True,,False,True,,,,,,,,,False,True
01025,228,292.0,304.8,,208.0,222.0,,,,,259.4,,137.0,,214.5,35.9,,167.4,201.7,,,,,254.0,,,,143.0,160.3,64.0,76.8,,-20.0,-6.0,,,,,31.4,,-91.0,,-13.5,-192.1,,-60.6,-26.3,,,,,26.0,,,,-85.0,-67.7,False,,True,True,,,,,True,,False,,True,False,,True,True,,,,,True,,,,False,False
01027,171,132.0,68.7,,105.0,119.0,,,,,189.0,,39.0,,101.4,36.8,,60.3,112.4,,,,,,,,,122.0,489.4,-39.0,-102.3,,-66.0,-52.0,,,,,18.0,,-132.0,,-69.6,-134.2,,-110.7,-58.6,,,,,,,,,-49.0,318.4,False,,False,False,,,,,True,,False,,False,False,,False,False,,,,,,,,,False,False
01029,158,172.0,158.5,,121.0,124.0,,,,,211.1,,54.0,,119.0,38.5,,66.1,122.4,,,,,,,,,55.0,162.0,14.0,0.5,,-37.0,-34.0,,,,,53.1,,-104.0,,-39.0,-119.5,,-91.9,-35.6,,,,,,,,,-103.0,4.0,True,,False,False,,,,,False,,False,,False,False,,False,False,,,,,,,,,False,True
01031,455,276.0,411.5,,253.0,371.0,,,,,382.7,,174.0,,271.9,178.4,,140.9,241.2,,,,,177.4,,,,369.0,1435.6,-179.0,-43.5,,-202.0,-84.0,,,,,-72.3,,-281.0,,-183.1,-276.6,,-314.1,-213.8,,,,,-277.6,,,,-86.0,980.6,True,,False,True,,,,,True,,False,,False,False,,False,False,,,,,False,,,,True,False
01033,646,328.0,353.5,,319.0,456.0,,,,,399.5,,305.0,,238.9,101.0,,162.6,333.1,,,,,294.2,,,,321.0,2460.0,-318.0,-292.5,,-327.0,-190.0,,,,,-246.5,,-341.0,,-407.1,-545.0,,-483.4,-312.9,,,,,-351.8,,,,-325.0,1814.0,True,,False,True,,,,,True,,False,,False,False,,False,True,,,,,False,,,,False,False
01035,59,28.0,65.1,,24.0,0.0,,,,,158.8,,36.0,,22.5,13.1,,4.1,20.4,0.0,,,,,,,,12.0,40.2,-31.0,6.1,,-35.0,-59.0,,,,,99.8,,-23.0,,-36.5,-45.9,,-54.9,-38.6,-59.0,,,,,,,,-47.0,-18.8,True,,False,False,,,,,False,,True,,False,False,,False,False,False,,,,,,,,False,True
01037,44,32.0,49.0,,25.0,16.0,,,,,187.6,,20.0,,34.7,20.3,,8.0,23.5,0.0,,,,,,,,49.0,1258.0,-12.0,5.0,,-19.0,-28.0,,,,,143.6,,-24.0,,-9.3,-23.7,,-36.0,-20.5,-44.0,,,,,,,,5.0,1214.0,True,,False,False,,,,,False,,False,,True,False,,False,False,False,,,,,,,,True,False
01039,386,256.0,56.3,,214.0,354.0,,,,,384.0,,166.0,,266.3,123.3,,216.5,245.1,0.2,,,,127.5,,,,259.0,1211.2,-130.0,-329.7,,-172.0,-32.0,,,,,-2.0,,-220.0,,-119.7,-262.7,,-169.5,-140.9,-385.8,,,,-258.5,,,,-127.0,825.2,False,,False,True,,,,,True,,False,,True,False,,False,False,False,,,,False,,,,True,False
01041,75,64.0,112.0,,46.0,4.0,,,,,178.3,,43.0,,47.0,28.8,,29.3,59.1,0.0,,,,,,,,34.0,63.7,-11.0,37.0,,-29.0,-71.0,,,,,103.3,,-32.0,,-28.0,-46.2,,-45.7,-15.9,-75.0,,,,,,,,-41.0,-11.3,False,,False,False,,,,,False,,False,,False,False,,False,False,False,,,,,,,,False,False
01043,1154,360.0,648.7,,307.0,507.0,,,,,618.0,,462.0,,289.8,136.7,,136.9,286.8,127.6,,,,241.8,,,,423.0,324.5,-794.0,-505.3,,-847.0,-647.0,,,,,-536.0,,-692.0,,-864.2,-1017.3,,-1017.1,-867.2,-1026.4,,,,-912.2,,,,-731.0,-829.5,True,,False,True,,,,,True,,True,,False,False,,False,False,False,,,,False,,,,True,False
01045,503,152.0,202.8,,143.0,508.0,,,,,456.3,,152.0,,143.9,115.4,,54.5,119.9,0.4,,,,139.1,,,,358.0,209.7,-351.0,-300.2,,-360.0,5.0,,,,,-46.7,,-351.0,,-359.1,-387.6,,-448.5,-383.1,-502.6,,,,-363.9,,,,-145.0,-293.3,True,,False,True,,,,,True,,False,,False,False,,False,False,False,,,,False,,,,True,True
01047,162,92.0,102.9,,71.0,66.0,,,,,392.9,,118.0,,79.1,45.1,,28.0,65.0,0.2,,,,63.3,,,,51.0,213.6,-70.0,-59.1,,-91.0,-96.0,,,,,230.9,,-44.0,,-82.9,-116.9,,-134.0,-97.0,-161.8,,,,-98.7,,,,-111.0,51.6,True,,False,False,,,,,False,,True,,False,False,,False,False,False,,,,False,,,,False,True
01049,1049,968.0,986.1,,779.0,2322.0,,,,,630.8,,455.0,,839.6,137.0,,819.3,831.3,23.4,,,,663.4,,,,1170.0,389.5,-81.0,-62.9,,-270.0,1273.0,,,,,-418.2,,-594.0,,-209.4,-912.0,,-229.7,-217.7,-1025.6,,,,-385.6,,,,121.0,-659.5,True,,False,False,,,,,False,,False,,False,False,,False,False,False,,,,False,,,,False,False
01051,510,512.0,630.0,,418.0,621.0,,,,,1279.4,,192.0,,408.2,145.7,,373.4,432.8,6.4,,,,371.2,,,,505.0,4335.7,2.0,120.0,,-92.0,111.0,,,,,769.4,,-318.0,,-101.8,-364.3,,-136.6,-77.2,-503.6,,,,-138.8,,,,-5.0,3825.7,False,,False,False,,,,,False,,False,,False,False,,False,False,False,,,,False,,,,False,False
01053,146,136.0,191.7,,102.0,7.0,,,,,319.5,,198.0,,132.5,78.7,,45.4,84.6,0.2,,,,67.7,,,,182.0,258.8,-10.0,45.7,,-44.0,-139.0,,,,,173.5,,52.0,,-13.5,-67.3,,-100.6,-61.4,-145.8,,,,-78.3,,,,36.0,112.8,False,,False,False,,,,,False,,False,,False,False,,False,False,False,,,,False,,,,False,False
01055,1110,400.0,416.7,,334.0,222.0,,,,,929.2,,568.0,,333.2,282.8,,308.8,391.0,5.7,,,,286.2,,,,294.0,469.1,-710.0,-693.3,,-776.0,-888.0,,,,,-180.8,,-542.0,,-776.8,-827.2,,-801.2,-719.0,-1104.3,,,,-823.8,,,,-816.0,-640.9,True,,False,False,,,,,True,,True,,False,False,,False,False,False,,,,False,,,,False,True
01057,148,84.0,79.2,,68.0,63.0,,,,,182.7,,72.0,,43.3,40.8,,54.6,100.3,0.4,,,,,,,,21.0,109.2,-64.0,-68.8,,-80.0,-85.0,,,,,34.7,,-76.0,,-104.7,-107.2,,-93.4,-47.7,-147.6,,,,,,,,-127.0,-38.8,False,,False,False,,,,,True,,False,,False,False,,False,True,False,,,,,,,,False,True
01059,363,200.0,184.8,,145.0,122.0,,,,,410.7,,213.0,,129.1,60.3,,67.0,178.7,8.3,,,,145.3,,,,273.0,407.5,-163.0,-178.2,,-218.0,-241.0,,,,,47.7,,-150.0,,-233.9,-302.7,,-296.0,-184.3,-354.7,,,,-217.7,,,,-90.0,44.5,False,,False,False,,,,,True,,True,,False,False,,False,False,False,,,,False,,,,True,True
01061,238,220.0,253.6,,179.0,446.0,,,,,247.4,,108.0,,294.0,107.2,,79.7,172.4,0.1,,,,,,,,334.0,138.2,-18.0,15.6,,-59.0,208.0,,,,,9.4,,-130.0,,56.0,-130.8,,-158.3,-65.6,-237.9,,,,,,,,96.0,-99.8,True,,False,False,,,,,True,,False,,False,False,,False,False,False,,,,,,,,False,False
01063,34,76.0,53.7,,29.0,0.0,,,,,172.4,,19.0,,62.3,9.9,,20.0,38.1,0.0,,,,,,,,124.0,56.4,42.0,19.7,,-5.0,-34.0,,,,,138.4,,-15.0,,28.3,-24.1,,-14.0,4.1,-34.0,,,,,,,,90.0,22.4,True,,True,True,,,,,False,,True,,True,True,,True,True,True,,,,,,,,False,True
01065,122,124.0,137.9,,64.0,37.0,,,,,205.7,,59.0,,108.5,29.7,,32.7,92.4,0.7,,,,,,,,92.0,58.6,2.0,15.9,,-58.0,-85.0,,,,,83.7,,-63.0,,-13.5,-92.3,,-89.3,-29.6,-121.3,,,,,,,,-30.0,-63.4,False,,False,False,,,,,False,,False,,False,False,,False,False,False,,,,,,,,False,False
01067,181,144.0,201.2,,103.0,101.0,,,,,199.1,,51.0,,162.6,48.1,,35.5,104.9,0.1,,,,,,,,218.0,307.3,-37.0,20.2,,-78.0,-80.0,,,,,18.1,,-130.0,,-18.4,-132.9,,-145.5,-76.1,-180.9,,,,,,,,37.0,126.3,True,,False,False,,,,,True,,False,,True,False,,False,False,False,,,,,,,,False,False
01069,988,604.0,444.5,,409.0,508.0,,,,,1341.4,,345.0,,860.1,356.4,,235.8,388.7,1.2,,,,404.4,,,,1590.0,,-384.0,-543.5,,-579.0,-480.0,,,,,353.4,,-643.0,,-127.9,-631.6,,-752.2,-599.3,-986.8,,,,-583.6,,,,602.0,,False,,False,False,,,,,True,,False,,True,False,,False,False,False,,,,False,,,,False,
01071,678,516.0,554.2,,428.0,782.0,,,,,358.2,,376.0,,427.4,117.6,,433.8,479.5,1.7,,,,288.2,,,,538.0,370.5,-162.0,-123.8,,-250.0,104.0,,,,,-319.8,,-302.0,,-250.6,-560.4,,-244.2,-198.5,-676.3,,,,-389.8,,,,-140.0,-307.5,True,,False,True,,,,,False,,False,,False,False,,False,False,False,,,,False,,,,True,False
01073,4463,3004.0,2400.0,2567.3,2410.0,3519.0,,,,,5279.9,,2058.0,,2129.1,1414.7,,2433.1,2888.4,220.4,,,,1983.2,1992.0,,,2239.0,2849.4,-1459.0,-2063.0,-1895.7,-2053.0,-944.0,,,,,816.9,,-2405.0,,-2333.9,-3048.3,,-2029.9,-1574.6,-4242.6,,,,-2479.8,-2471.0,,,-2224.0,-1613.6,False,False,False,True,,,,,True,,False,,False,False,,False,False,False,,,,False,False,,,False,False
01075,134,64.0,41.6,,53.0,39.0,,,,,197.9,,66.0,,42.4,25.9,,42.7,86.6,0.2,,,,,,,,38.0,240.7,-70.0,-92.4,,-81.0,-95.0,,,,,63.9,,-68.0,,-91.6,-108.1,,-91.3,-47.4,-133.8,,,,,,,,-96.0,106.7,False,,False,False,,,,,True,,True,,False,False,,False,True,False,,,,,,,,False,False
01077,1017,428.0,391.3,,369.0,515.0,,,,,620.6,,501.0,,352.2,136.1,,222.1,399.1,175.1,,,,342.1,,,,442.0,170.9,-589.0,-625.7,,-648.0,-502.0,,,,,-396.4,,-516.0,,-664.8,-880.9,,-794.9,-617.9,-841.9,,,,-674.9,,,,-575.0,-846.1,False,,False,True,,,,,True,,True,,False,False,,False,False,False,,,,False,,,,True,False
01079,280,236.0,233.4,,186.0,209.0,,,,,760.2,,170.0,,192.0,69.1,,141.7,199.5,86.4,,,,,,,,77.0,115.7,-44.0,-46.6,,-94.0,-71.0,,,,,480.2,,-110.0,,-88.0,-210.9,,-138.3,-80.5,-193.6,,,,,,,,-203.0,-164.3,False,,False,False,,,,,False,,False,,False,False,,False,False,False,,,,,,,,False,False
01081,650,656.0,447.8,,493.0,837.0,,,,,4916.0,,455.0,,564.9,522.0,,436.1,463.3,4.4,,,,494.4,168.0,,,491.0,,6.0,-202.2,,-157.0,187.0,,,,,4266.0,,-195.0,,-85.1,-128.0,,-213.9,-186.7,-645.6,,,,-155.6,-482.0,,,-159.0,,False,,False,False,,,,,False,,False,,False,False,,False,False,False,,,,False,False,,,False,
01083,831,996.0,943.4,,814.0,1363.0,,,,,729.9,,470.0,,868.5,143.0,,797.6,869.5,533.4,,,,520.1,,,,1209.0,959.0,165.0,112.4,,-17.0,532.0,,,,,-101.1,,-361.0,,37.5,-688.0,,-33.4,38.5,-297.6,,,,-310.9,,,,378.0,128.0,True,,True,False,,,,,True,,False,,True,False,,True,True,False,,,,False,,,,False,True
01085,64,68.0,31.3,,30.0,0.0,,,,,192.5,,17.0,,45.2,9.9,,16.5,61.8,0.1,,,,,,,,0.0,39.2,4.0,-32.7,,-34.0,-64.0,,,,,128.5,,-47.0,,-18.8,-54.1,,-47.5,-2.2,-63.9,,,,,,,,-64.0,-24.8,False,,False,False,,,,,False,,False,,False,False,,False,True,False,,,,,,,,False,False
01087,100,84.0,54.6,,44.0,28.0,,,,,223.0,,25.0,,63.7,23.8,,16.8,67.9,0.0,,,,,,,,163.0,45.2,-16.0,-45.4,,-56.0,-72.0,,,,,123.0,,-75.0,,-36.3,-76.2,,-83.2,-32.1,-100.0,,,,,,,,63.0,-54.8,False,,False,False,,,,,False,,False,,False,False,,False,False,False,,,,,,,,False,False
01089,1890,1204.0,1217.2,1419.0,1119.0,1284.0,,,,,2062.2,,1277.0,,955.8,782.5,,1022.1,1428.2,167.4,,,,676.3,896.0,,,832.0,995.0,-686.0,-672.8,-471.0,-771.0,-606.0,,,,,172.2,,-613.0,,-934.2,-1107.5,,-867.9,-461.8,-1722.6,,,,-1213.7,-994.0,,,-1058.0,-895.0,True,True,False,True,,,,,True,,True,,False,False,,False,True,False,,,,False,False,,,False,False
01091,223,540.0,524.3,,251.0,5.0,,,,,279.2,,94.0,,369.5,26.7,,424.0,205.9,71.6,,,,,,,,248.0,465.7,317.0,301.3,,28.0,-218.0,,,,,56.2,,-129.0,,146.5,-196.3,,201.0,-17.1,-151.4,,,,,,,,25.0,242.7,True,,True,True,,,,,True,,True,,True,True,,True,True,True,,,,,,,,True,True
01093,202,112.0,20.5,,77.0,75.0,,,,,355.8,,140.0,,100.3,58.9,,35.8,72.5,0.3,,,,,,,,128.0,189.0,-90.0,-181.5,,-125.0,-127.0,,,,,153.8,,-62.0,,-101.7,-143.1,,-166.2,-129.5,-201.7,,,,,,,,-74.0,-13.0,False,,False,False,,,,,False,,True,,False,False,,False,False,False,,,,,,,,True,True
01095,721,448.0,434.3,,399.0,599.0,,,,,756.2,,558.0,,351.5,202.4,,340.0,413.0,9.5,,,,298.0,,,,469.0,478.3,-273.0,-286.7,,-322.0,-122.0,,,,,35.2,,-163.0,,-369.5,-518.6,,-381.0,-308.0,-711.5,,,,-423.0,,,,-252.0,-242.7,False,,False,True,,,,,True,,True,,False,False,,False,False,False,,,,False,,,,True,True
01097,3847,912.0,1023.3,921.8,855.0,727.0,,,,,1918.3,,1903.0,,655.3,677.9,,683.4,936.1,21.5,,,,806.6,670.0,,,553.0,2034.6,-2935.0,-2823.7,-2925.2,-2992.0,-3120.0,,,,,-1928.7,,-1944.0,,-3191.7,-3169.1,,-3163.6,-2910.9,-3825.5,,,,-3040.4,-3177.0,,,-3294.0,-1812.4,True,True,False,False,,,,,True,,True,,False,False,,False,True,False,,,,False,False,,,False,True
01099,84,52.0,13.3,,33.0,0.0,,,,,225.8,,79.0,,44.3,18.4,,6.0,34.8,0.0,,,,,,,,44.0,42.5,-32.0,-70.7,,-51.0,-84.0,,,,,141.8,,-5.0,,-39.7,-65.6,,-78.0,-49.2,-84.0,,,,,,,,-40.0,-41.5,False,,False,False,,,,,False,,True,,False,False,,False,False,False,,,,,,,,False,False
01101,1892,888.0,1080.3,754.4,681.0,901.0,,,,,1816.0,,520.0,,576.0,309.5,,494.3,981.2,32.3,,,,741.4,583.0,,,989.0,948.2,-1004.0,-811.7,-1137.6,-1211.0,-991.0,,,,,-76.0,,-1372.0,,-1316.0,-1582.5,,-1397.7,-910.8,-1859.7,,,,-1150.6,-1309.0,,,-903.0,-943.8,True,False,False,True,,,,,True,,False,,False,False,,False,True,False,,,,False,False,,,True,True
01103,1193,848.0,888.9,,657.0,1534.0,,,,,938.1,,567.0,,659.6,169.7,,503.4,807.7,22.7,,,,489.1,,,,1101.0,971.8,-345.0,-304.1,,-536.0,341.0,,,,,-254.9,,-626.0,,-533.4,-1023.3,,-689.6,-385.3,-1170.3,,,,-703.9,,,,-92.0,-221.2,True,,False,True,,,,,True,,False,,False,False,,False,False,False,,,,False,,,,True,True
01105,48,92.0,22.9,,43.0,0.0,,,,,150.7,,17.0,,71.5,5.8,,44.8,51.8,0.0,,,,,,,,289.0,57.4,44.0,-25.1,,-5.0,-48.0,,,,,102.7,,-31.0,,23.5,-42.2,,-3.2,3.8,-48.0,,,,,,,,241.0,9.4,True,,True,False,,,,,False,,True,,True,True,,True,True,False,,,,,,,,False,True
01107,277,132.0,137.6,,93.0,56.0,,,,,269.8,,80.0,,83.9,45.4,,105.4,128.7,0.5,,,,,,,,75.0,92.1,-145.0,-139.4,,-184.0,-221.0,,,,,-7.2,,-197.0,,-193.1,-231.6,,-171.6,-148.3,-276.5,,,,,,,,-202.0,-184.9,True,,False,False,,,,,True,,False,,False,False,,False,False,False,,,,,,,,False,False
01109,168,128.0,34.0,,94.0,124.0,,,,,509.4,,110.0,,91.2,64.3,,23.3,91.1,0.0,,,,99.7,,,,67.0,,-40.0,-134.0,,-74.0,-44.0,,,,,341.4,,-58.0,,-76.8,-103.7,,-144.7,-76.9,-168.0,,,,-68.3,,,,-101.0,,False,,False,False,,,,,False,,False,,False,False,,False,False,False,,,,False,,,,False,
01111,152,180.0,170.9,,137.0,211.0,,,,,267.0,,76.0,,145.5,70.1,,70.8,137.9,0.8,,,,,,,,137.0,128.6,28.0,18.9,,-15.0,59.0,,,,,115.0,,-76.0,,-6.5,-81.9,,-81.2,-14.1,-151.2,,,,,,,,-15.0,-23.4,True,,True,False,,,,,False,,False,,True,False,,False,True,False,,,,,,,,True,True
01113,181,116.0,114.1,,119.0,162.0,,,,,635.3,,162.0,,106.7,70.5,,59.3,162.8,0.3,,,,82.4,,,,109.0,202.5,-65.0,-66.9,,-62.0,-19.0,,,,,454.3,,-19.0,,-74.3,-110.5,,-121.7,-18.2,-180.7,,,,-98.6,,,,-72.0,21.5,False,,True,True,,,,,False,,True,,False,False,,False,True,False,,,,False,,,,False,True
01115,901,504.0,466.3,,410.0,642.0,,,,,1096.3,,283.0,,451.0,198.3,,316.2,403.6,18.0,,,,377.0,,,,391.0,464.5,-397.0,-434.7,,-491.0,-259.0,,,,,195.3,,-618.0,,-450.0,-702.7,,-584.8,-497.4,-883.0,,,,-524.0,,,,-510.0,-436.5,False,,False,True,,,,,True,,False,,False,False,,False,False,False,,,,False,,,,False,False
01117,1573,1264.0,1115.7,,957.0,1335.0,,,,,2472.0,,540.0,,996.7,761.7,,908.3,969.0,152.4,,,,662.0,733.0,,,957.0,1103.5,-309.0,-457.3,,-616.0,-238.0,,,,,899.0,,-1033.0,,-576.3,-811.3,,-664.7,-604.0,-1420.6,,,,-911.0,-840.0,,,-616.0,-469.5,False,,False,True,,,,,False,,False,,False,False,,False,False,False,,,,False,False,,,False,False
01119,49,68.0,93.2,,45.0,0.0,,,,,226.6,,40.0,,52.3,12.0,,10.6,58.6,0.0,,,,,,,,87.0,64.8,19.0,44.2,,-4.0,-49.0,,,,,177.6,,-9.0,,3.3,-37.0,,-38.4,9.6,-49.0,,,,,,,,38.0,15.8,False,,True,False,,,,,False,,True,,True,False,,False,True,False,,,,,,,,False,True
