,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,91164,53112.0,76066.0,,42742.0,33673.0,,58106.0,42689.8,45106.0,35932.3,22523.5,25446.0,31004.5,31937.0,33084.0,-38052.0,-15098.0,,-48422.0,-57491.0,,-33058.0,-48474.2,-46058.0,-55231.7,-68640.5,-65718.0,-60159.5,-59227.0,-58080.0,True,,False,False,,True,False,False,False,False,False,False,False,False
Hawaii,3846,4152.0,12678.0,,3581.9,1873.0,,,1304.3,3908.0,7114.9,3033.8,1327.1,3040.3,4145.5,2647.0,306.0,8832.0,,-264.1,-1973.0,,,-2541.7,62.0,3268.9,-812.2,-2518.9,-805.7,299.5,-1199.0,False,,True,False,,,False,True,False,False,False,False,True,False
Idaho,32016,18294.0,43151.0,,15436.0,7086.0,,10982.0,23225.7,23409.8,10528.0,9844.9,4963.5,9381.4,17753.8,13047.0,-13722.0,11135.0,,-16580.0,-24930.0,,-21034.0,-8790.3,-8606.2,-21488.0,-22171.1,-27052.5,-22634.6,-14262.2,-18969.0,True,,False,False,,False,True,True,False,False,False,False,False,False
Illinois,189205,82392.0,135353.0,,63302.7,9750.0,,67464.0,93104.3,65480.8,67563.4,47744.4,49071.8,81675.5,79557.7,60705.0,-106813.0,-53852.0,,-125902.3,-179455.0,,-121741.0,-96100.7,-123724.2,-121641.6,-141460.6,-140133.1,-107529.5,-109647.3,-128500.0,True,,False,False,,False,True,False,False,False,False,False,False,False
Indiana,89173,34740.0,64133.0,,34062.1,24596.0,,21137.0,31571.5,26793.6,39783.4,24994.2,18617.2,24113.5,42062.9,28059.0,-54433.0,-25040.0,,-55110.9,-64577.0,,-68036.0,-57601.5,-62379.4,-49389.6,-64178.8,-70555.9,-65059.5,-47110.1,-61114.0,True,,False,False,,False,False,False,True,False,False,False,True,False
Iowa,64346,36624.0,41656.0,,30994.8,25930.0,,38914.0,32884.9,40910.3,22112.1,22491.5,15102.2,29024.0,31164.6,18407.0,-27722.0,-22690.0,,-33351.2,-38416.0,,-25432.0,-31461.1,-23435.7,-42233.9,-41854.5,-49243.8,-35322.0,-33181.4,-45939.0,True,,False,False,,True,False,True,False,False,False,False,False,False
Kansas,41667,25002.0,25331.0,,20158.6,20958.0,,20251.0,15825.8,32430.0,17200.0,12056.3,6555.6,24644.0,16740.6,24667.0,-16665.0,-16336.0,,-21508.4,-20709.0,,-21416.0,-25841.2,-9237.0,-24467.0,-29610.7,-35111.4,-17023.0,-24926.4,-17000.0,True,,False,False,,False,False,True,False,False,False,False,False,False
Kentucky,53625,29580.0,77950.0,,25575.9,25316.0,,30619.0,31120.6,31486.7,24832.8,16974.3,14215.8,22181.3,30664.6,25676.0,-24045.0,24325.0,,-28049.1,-28309.0,,-23006.0,-22504.4,-22138.3,-28792.2,-36650.7,-39409.2,-31443.7,-22960.4,-27949.0,False,,False,False,,True,True,True,False,False,False,False,True,False
Louisiana,26563,21870.0,28200.0,,13611.5,10307.0,,32094.0,18054.8,16829.7,29667.0,12555.3,10517.8,10648.2,12005.7,10273.0,-4693.0,1637.0,,-12951.5,-16256.0,,5531.0,-8508.2,-9733.3,3104.0,-14007.7,-16045.2,-15914.8,-14557.3,-16290.0,True,,False,False,,False,False,False,True,False,False,False,False,False
Maine,2342,1344.0,3015.0,,1237.0,333.0,,1101.0,1806.8,1885.7,2350.2,673.0,623.9,1409.4,1137.5,1670.0,-998.0,673.0,,-1105.0,-2009.0,,-1241.0,-535.2,-456.3,8.2,-1669.0,-1718.1,-932.6,-1204.5,-672.0,True,,False,False,,False,True,True,True,False,False,True,False,True
Maryland,29943,19368.0,15577.0,,16837.8,855.0,,18233.0,19696.0,13528.1,42071.8,11516.8,7785.6,11375.0,12989.8,12739.0,-10575.0,-14366.0,,-13105.2,-29088.0,,-11710.0,-10247.0,-16414.9,12128.8,-18426.2,-22157.4,-18568.0,-16953.2,-17204.0,False,,False,False,,False,True,False,False,False,False,False,False,False
Massachusetts,39526,17214.0,23687.0,,14205.3,304.0,,9828.0,26827.3,10544.9,19533.1,13404.7,16568.6,16020.1,34288.4,24371.0,-22312.0,-15839.0,,-25320.7,-39222.0,,-29698.0,-12698.7,-28981.1,-19992.9,-26121.3,-22957.4,-23505.9,-5237.6,-15155.0,True,,False,False,,False,True,False,True,False,False,False,True,True
Michigan,94700,37716.0,86832.0,,27944.1,4143.0,,39576.0,46710.8,32827.0,55674.2,15688.0,2697.2,46629.1,24306.6,31901.0,-56984.0,-7868.0,,-66755.9,-90557.0,,-55124.0,-47989.2,-61873.0,-39025.8,-79012.0,-92002.8,-48070.9,-70393.4,-62799.0,True,,False,False,,True,True,False,True,False,False,True,False,False
Minnesota,79295,41628.0,195767.0,,27743.0,3483.0,,52266.0,28227.2,34146.1,24022.3,30234.3,26578.6,33767.6,75506.1,40417.0,-37667.0,116472.0,,-51552.0,-75812.0,,-27029.0,-51067.8,-45148.9,-55272.7,-49060.7,-52716.4,-45527.4,-3788.9,-38878.0,False,,False,False,,True,False,False,False,False,False,False,True,False
Mississippi,29208,21540.0,26402.0,,16662.6,8112.0,,18473.0,16159.3,18387.0,11650.5,11161.5,8267.1,14256.4,15446.5,12165.0,-7668.0,-2806.0,,-12545.4,-21096.0,,-10735.0,-13048.7,-10821.0,-17557.5,-18046.5,-20940.9,-14951.6,-13761.5,-17043.0,True,,False,False,,False,False,False,False,False,False,False,False,False
Missouri,85435,63852.0,89260.0,,63945.7,45184.0,,44844.0,71683.8,66531.4,35447.3,43411.6,29610.7,34439.0,60032.0,36999.0,-21583.0,3825.0,,-21489.3,-40251.0,,-40591.0,-13751.2,-18903.6,-49987.7,-42023.4,-55824.3,-50996.0,-25403.0,-48436.0,True,,True,False,,False,True,True,False,False,False,False,False,False
Montana,27041,10464.0,12419.0,,9116.3,2827.0,,13253.0,11529.5,16374.8,3999.7,7965.0,4572.5,4967.1,20174.8,10493.0,-16577.0,-14622.0,,-17924.7,-24214.0,,-13788.0,-15511.5,-10666.2,-23041.3,-19076.0,-22468.5,-22073.9,-6866.2,-16548.0,True,,False,False,,True,True,True,False,False,False,False,True,True
Nebraska,38799,16794.0,74053.0,,17333.0,1789.0,,12470.0,23294.4,19633.4,17357.3,11447.4,8580.2,11806.0,18853.8,10636.0,-22005.0,35254.0,,-21466.0,-37010.0,,-26329.0,-15504.6,-19165.6,-21441.7,-27351.6,-30218.8,-26993.0,-19945.2,-28163.0,False,,True,False,,False,True,True,True,False,False,False,True,False
Nevada,30391,17616.0,39612.0,,12508.6,5228.0,,7553.0,15070.7,13820.1,8384.5,11487.2,7972.6,10714.5,24996.6,15552.0,-12775.0,9221.0,,-17882.4,-25163.0,,-22838.0,-15320.3,-16570.9,-22006.5,-18903.8,-22418.4,-19676.5,-5394.4,-14839.0,True,,False,False,,False,False,False,False,False,False,False,True,False
New Hampshire,4120,1206.0,1455.0,,1329.3,1.0,,1429.0,1860.7,1144.9,3303.6,877.4,668.7,1134.5,1934.2,949.0,-2914.0,-2665.0,,-2790.7,-4119.0,,-2691.0,-2259.3,-2975.1,-816.4,-3242.6,-3451.3,-2985.5,-2185.8,-3171.0,True,,True,False,,True,True,False,True,False,False,False,True,False
New Jersey,49732,21246.0,100171.0,,11422.8,47.0,,13954.0,24654.0,12376.3,79998.2,14447.6,16722.4,20253.5,36555.2,29175.0,-28486.0,50439.0,,-38309.2,-49685.0,,-35778.0,-25078.0,-37355.7,30266.2,-35284.4,-33009.6,-29478.5,-13176.8,-20557.0,False,,False,False,,False,True,False,False,False,False,False,True,True
New Mexico,24979,7080.0,19558.0,,5412.8,1499.0,,10541.0,8970.1,6929.8,11128.3,5090.5,,4550.9,20750.0,9439.0,-17899.0,-5421.0,,-19566.2,-23480.0,,-14438.0,-16008.9,-18049.2,-13850.7,-19888.5,,-20428.1,-4229.0,-15540.0,True,,False,False,,True,True,False,True,False,,False,True,True
New York,70848,34332.0,52659.0,,11036.0,27.0,,14118.0,41453.3,22878.6,71778.0,20051.6,20338.8,19829.4,39814.0,36141.0,-36516.0,-18189.0,,-59812.0,-70821.0,,-56730.0,-29394.7,-47969.4,930.0,-50796.4,-50509.2,-51018.6,-31034.0,-34707.0,True,,False,False,,False,True,False,True,False,False,False,True,True
North Carolina,83471,82878.0,115114.0,,62679.1,58332.0,,56277.0,48560.6,81175.7,63059.5,41256.2,31292.3,48093.8,195183.6,78365.0,-593.0,31643.0,,-20791.9,-25139.0,,-27194.0,-34910.4,-2295.3,-20411.5,-42214.8,-52178.7,-35377.2,111712.6,-5106.0,False,,False,False,,False,False,False,False,False,False,False,False,False
North Dakota,32824,16638.0,13812.0,,14625.8,14.0,,21345.0,19351.6,20826.2,4686.9,12155.1,8519.3,12594.0,11749.1,6281.0,-16186.0,-19012.0,,-18198.2,-32810.0,,-11479.0,-13472.4,-11997.8,-28137.1,-20668.9,-24304.7,-20230.0,-21074.9,-26543.0,False,,False,False,,True,True,True,False,False,False,False,False,False
Ohio,95718,38772.0,64566.0,,31432.3,31624.0,,28899.0,31434.6,33220.9,50661.8,23409.6,16616.2,19664.9,34040.5,28645.0,-56946.0,-31152.0,,-64285.7,-64094.0,,-66819.0,-64283.4,-62497.1,-45056.2,-72308.4,-79101.8,-76053.1,-61677.5,-67073.0,True,,False,False,,False,False,False,True,False,False,False,False,False
Oklahoma,48241,46236.0,56965.0,,41860.3,30446.0,,38529.0,58458.4,61680.1,27285.6,24857.6,19440.7,21625.6,30386.7,27673.0,-2005.0,8724.0,,-6380.7,-17795.0,,-9712.0,10217.4,13439.1,-20955.4,-23383.4,-28800.3,-26615.4,-17854.3,-20568.0,False,,False,False,,False,False,False,False,False,False,False,False,False
Oregon,17006,11892.0,31474.0,,9787.5,5128.0,,9537.0,12787.9,14023.5,15710.6,7396.2,6587.0,6600.4,23674.8,15344.0,-5114.0,14468.0,,-7218.5,-11878.0,,-7469.0,-4218.1,-2982.5,-1295.4,-9609.8,-10419.0,-10405.6,6668.8,-1662.0,False,,False,False,,False,True,True,True,False,False,False,False,True
Pennsylvania,72560,34182.0,40767.0,,27848.9,3097.0,,23611.0,40577.1,30926.6,87858.6,20073.0,15517.9,30395.4,35514.8,27259.0,-38378.0,-31793.0,,-44711.1,-69463.0,,-48949.0,-31982.9,-41633.4,15298.6,-52487.0,-57042.1,-42164.6,-37045.2,-45301.0,True,,False,False,,False,True,False,True,False,False,False,True,False
Rhode Island,12199,3366.0,4537.0,,3593.8,0.0,,5726.0,6337.0,2862.3,5514.2,1122.8,346.9,2952.7,2280.3,1171.0,-8833.0,-7662.0,,-8605.2,-12199.0,,-6473.0,-5862.0,-9336.7,-6684.8,-11076.2,-11852.1,-9246.3,-9918.7,-11028.0,True,,True,False,,True,True,False,True,False,False,False,False,False
South Carolina,39469,48198.0,53217.0,,32335.5,13830.0,,34848.0,41380.5,42441.1,11814.5,21807.7,,26000.7,28629.2,26928.0,8729.0,13748.0,,-7133.5,-25639.0,,-4621.0,1911.5,2972.1,-27654.5,-17661.3,,-13468.3,-10839.8,-12541.0,False,,True,False,,True,True,True,False,False,,False,False,False
South Dakota,32843,16134.0,14066.0,,12394.3,103.0,,14844.0,15805.7,22684.7,2323.6,13799.8,10865.6,13519.6,20131.4,8089.0,-16709.0,-18777.0,,-20448.7,-32740.0,,-17999.0,-17037.3,-10158.3,-30519.4,-19043.2,-21977.4,-19323.4,-12711.6,-24754.0,False,,False,False,,False,False,True,False,False,False,False,True,False
Tennessee,87324,56712.0,64872.0,,50612.6,28195.0,,51624.0,40418.5,51526.2,29973.3,46497.9,33784.8,23097.6,45954.9,33872.0,-30612.0,-22452.0,,-36711.4,-59129.0,,-35700.0,-46905.5,-35797.8,-57350.7,-40826.1,-53539.2,-64226.4,-41369.1,-53452.0,True,,False,False,,False,False,False,False,False,False,False,False,False
Texas,238556,278226.0,152950.0,,198512.4,70510.0,,294624.0,167758.7,224408.0,97883.2,88778.2,42868.8,194350.4,135564.8,128206.0,39670.0,-85606.0,,-40043.6,-168046.0,,56068.0,-70797.3,-14148.0,-140672.8,-149777.8,-195687.2,-44205.6,-102991.2,-110350.0,False,,False,False,,False,False,True,False,False,False,False,False,False
Utah,60688,40170.0,34022.0,,40229.0,13315.0,,37968.0,64653.5,36744.4,16825.7,31162.1,23209.9,17924.1,48039.9,40358.0,-20518.0,-26666.0,,-20459.0,-47373.0,,-22720.0,3965.5,-23943.6,-43862.3,-29525.9,-37478.1,-42763.9,-12648.1,-20330.0,False,,True,False,,False,True,False,False,False,False,False,True,True
Vermont,608,174.0,205.0,,247.7,64.0,,51.0,78.9,884.1,588.7,84.3,67.6,270.2,144.9,120.0,-434.0,-403.0,,-360.3,-544.0,,-557.0,-529.1,276.1,-19.3,-523.7,-540.4,-337.8,-463.1,-488.0,True,,True,False,,False,False,True,True,False,False,True,False,False
Virginia,45465,34326.0,32010.0,,27026.2,4593.0,,31331.0,32800.1,40110.5,33258.4,19483.3,17303.6,24308.0,24135.0,0.0,-11139.0,-13455.0,,-18438.8,-40872.0,,-14134.0,-12664.9,-5354.5,-12206.6,-25981.7,-28161.4,-21157.0,-21330.0,-45465.0,False,,False,False,,False,False,True,False,False,False,False,False,False
Washington,30181,21786.0,104586.0,,15219.7,28367.0,,9953.0,22406.1,20712.6,23735.1,14573.7,7679.8,14490.4,56299.9,31731.0,-8395.0,74405.0,,-14961.3,-1814.0,,-20228.0,-7774.9,-9468.4,-6445.9,-15607.3,-22501.2,-15690.6,26118.9,1550.0,False,,False,True,,False,True,False,True,False,False,False,False,True
West Virginia,12442,7668.0,9169.0,,7324.2,8143.0,,4315.0,10586.7,12080.0,8816.1,5014.4,3210.3,3164.7,7468.7,5571.0,-4774.0,-3273.0,,-5117.8,-4299.0,,-8127.0,-1855.3,-362.0,-3625.9,-7427.6,-9231.7,-9277.3,-4973.3,-6871.0,True,,False,True,,False,True,True,True,False,False,False,False,False
Wisconsin,163858,84498.0,188120.0,,87978.2,38175.0,,71783.0,129257.4,114114.2,36558.9,67404.0,46835.5,83709.9,106046.1,76357.0,-79360.0,24262.0,,-75879.8,-125683.0,,-92075.0,-34600.6,-49743.8,-127299.1,-96454.0,-117022.5,-80148.1,-57811.9,-87501.0,True,,True,False,,False,True,True,False,False,False,False,True,False
Wyoming,11132,4104.0,6664.0,,5334.1,588.0,,7134.0,5124.6,8194.4,1726.9,3815.9,2414.7,2502.8,10348.6,6272.0,-7028.0,-4468.0,,-5797.9,-10544.0,,-3998.0,-6007.4,-2937.6,-9405.1,-7316.1,-8717.3,-8629.2,-783.4,-4860.0,True,,True,False,,True,True,True,False,False,False,False,True,True
US,2834916,1859820.0,2765578.0,2453603.0,1060585.6,706592.0,1697071.0,1637970.0,1787974.9,1722624.0,1509418.4,925889.0,,1271758.3,1737106.0,1425839.0,-975096.0,-69338.0,-381313.0,-1774330.4,-2128324.0,-1137845.0,-1196946.0,-1046941.1,-1112292.0,-1325497.6,-1909027.0,,-1563157.7,-1097810.0,-1409077.0,True,True,False,False,False,False,False,False,False,False,,False,False,False
