,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01031,358,282.0,,344.5,,236.0,274.0,,,,,218.1,,126.0,,222.6,155.6,,228.3,284.4,,,265.0,,,,221.8,,,241.0,180.6,-76.0,,-13.5,,-122.0,-84.0,,,,,-139.9,,-232.0,,-135.4,-202.4,,-129.7,-73.6,,,-93.0,,,,-136.2,,,-117.0,-177.4,,True,,False,False,,,,,False,,False,,False,False,,False,True,,,False,,,,False,,,False,False
01033,569,237.0,,243.1,,234.0,303.0,,,,,212.3,,247.0,,197.6,81.5,,132.2,254.1,,,322.0,,,,149.7,,,250.0,105.4,-332.0,,-325.9,,-335.0,-266.0,,,,,-356.7,,-322.0,,-371.4,-487.5,,-436.8,-314.9,,,-247.0,,,,-419.3,,,-319.0,-463.6,,True,,False,True,,,,,False,,True,,False,False,,False,True,,,True,,,,False,,,True,False
01035,51,21.0,,36.9,,16.0,0.0,,,,,57.7,,33.0,,16.8,10.3,,3.1,18.4,0.0,,24.0,,,,,,,25.0,29.2,-30.0,,-14.1,,-35.0,-51.0,,,,,6.7,,-18.0,,-34.2,-40.7,,-47.9,-32.6,-51.0,,-27.0,,,,,,,-26.0,-21.8,,True,,False,False,,,,,True,,True,,False,False,,False,False,False,,True,,,,,,,True,True
01037,35,27.0,,30.8,,21.0,14.0,,,,,30.5,,19.0,,26.7,14.7,,10.3,25.4,0.0,,30.0,,,,,,,21.0,23.4,-8.0,,-4.2,,-14.0,-21.0,,,,,-4.5,,-16.0,,-8.3,-20.3,,-24.7,-9.6,-35.0,,-5.0,,,,,,,-14.0,-11.6,,True,,False,False,,,,,True,,False,,False,False,,False,False,False,,True,,,,,,,False,False
01039,302,297.0,,173.0,,171.0,344.0,,,,,234.8,,121.0,,224.2,86.0,,114.7,228.4,0.1,,387.0,,,,200.0,,,181.0,134.8,-5.0,,-129.0,,-131.0,42.0,,,,,-67.2,,-181.0,,-77.8,-216.0,,-187.3,-73.6,-301.9,,85.0,,,,-102.0,,,-121.0,-167.2,,False,,False,False,,,,,False,,False,,False,False,,False,False,False,,False,,,,False,,,False,False
01041,55,63.0,,90.3,,34.0,7.0,,,,,56.5,,33.0,,54.8,31.8,,29.0,72.6,0.0,,98.0,,,,,,,63.0,50.4,8.0,,35.3,,-21.0,-48.0,,,,,1.5,,-22.0,,-0.2,-23.2,,-26.0,17.6,-55.0,,43.0,,,,,,,8.0,-4.6,,False,,False,False,,,,,True,,False,,True,False,,False,False,False,,False,,,,,,,False,True
01043,961,528.0,,686.6,,398.0,1281.0,,,,,350.5,,369.0,,405.3,117.5,,296.2,587.8,2.6,,835.0,,,,337.0,,,815.0,577.7,-433.0,,-274.4,,-563.0,320.0,,,,,-610.5,,-592.0,,-555.7,-843.5,,-664.8,-373.2,-958.4,,-126.0,,,,-624.0,,,-146.0,-383.3,,True,,False,True,,,,,False,,False,,False,False,,False,True,False,,True,,,,False,,,True,True
01045,431,186.0,,244.4,,152.0,204.0,,,,,251.0,,115.0,,102.5,94.4,,127.3,184.5,0.2,,120.0,,,,178.8,,,100.0,200.6,-245.0,,-186.6,,-279.0,-227.0,,,,,-180.0,,-316.0,,-328.5,-336.6,,-303.7,-246.5,-430.8,,-311.0,,,,-252.2,,,-331.0,-230.4,,True,,False,True,,,,,True,,False,,False,False,,False,False,False,,False,,,,False,,,False,True
01047,146,48.0,,65.9,,44.0,41.0,,,,,142.9,,108.0,,47.8,30.8,,8.3,56.6,0.1,,42.0,,,,36.6,,,62.0,68.4,-98.0,,-80.1,,-102.0,-105.0,,,,,-3.1,,-38.0,,-98.2,-115.2,,-137.7,-89.4,-145.9,,-104.0,,,,-109.4,,,-84.0,-77.6,,True,,False,False,,,,,True,,True,,False,False,,False,True,False,,False,,,,False,,,True,True
01049,758,876.0,,884.4,,773.0,1774.0,,,,,619.8,,355.0,,802.7,116.5,,728.5,853.6,259.1,,1352.0,,,,606.0,,,769.0,507.6,118.0,,126.4,,15.0,1016.0,,,,,-138.2,,-403.0,,44.7,-641.5,,-29.5,95.6,-498.9,,594.0,,,,-152.0,,,11.0,-250.4,,False,,True,False,,,,,False,,False,,True,False,,True,True,False,,False,,,,False,,,True,False
01051,378,387.0,,433.2,,320.0,397.0,,,,,572.7,,165.0,,357.9,164.1,,218.2,369.6,2.8,,415.0,,,,288.1,,,385.0,388.1,9.0,,55.2,,-58.0,19.0,,,,,194.7,,-213.0,,-20.1,-213.9,,-159.8,-8.4,-375.2,,37.0,,,,-89.9,,,7.0,10.1,,False,,False,False,,,,,False,,False,,False,False,,False,True,False,,False,,,,False,,,True,False
01053,123,54.0,,54.3,,43.0,0.0,,,,,167.8,,151.0,,57.7,50.0,,10.6,69.5,0.1,,45.0,,,,36.9,,,35.0,86.0,-69.0,,-68.7,,-80.0,-123.0,,,,,44.8,,28.0,,-65.3,-73.0,,-112.4,-53.5,-122.9,,-78.0,,,,-86.1,,,-88.0,-37.0,,True,,False,False,,,,,True,,True,,True,False,,False,True,False,,False,,,,False,,,False,True
01055,913,546.0,,492.8,,453.0,458.0,,,,,669.2,,448.0,,391.9,214.7,,474.9,647.2,3.9,,641.0,,,,426.0,,,511.0,371.1,-367.0,,-420.2,,-460.0,-455.0,,,,,-243.8,,-465.0,,-521.1,-698.3,,-438.1,-265.8,-909.1,,-272.0,,,,-487.0,,,-402.0,-541.9,,False,,False,False,,,,,True,,False,,False,False,,False,True,False,,True,,,,False,,,False,False
01057,120,117.0,,122.6,,80.0,82.0,,,,,63.9,,62.0,,90.8,38.0,,38.0,81.3,0.3,,150.0,,,,,,,173.0,66.1,-3.0,,2.6,,-40.0,-38.0,,,,,-56.1,,-58.0,,-29.2,-82.0,,-82.0,-38.7,-119.7,,30.0,,,,,,,53.0,-53.9,,True,,False,False,,,,,False,,False,,False,False,,False,False,False,,False,,,,,,,False,False
01059,273,264.0,,254.5,,171.0,121.0,,,,,187.1,,168.0,,126.1,75.8,,173.4,249.9,6.1,,325.0,,,,199.7,,,249.0,145.2,-9.0,,-18.5,,-102.0,-152.0,,,,,-85.9,,-105.0,,-146.9,-197.2,,-99.6,-23.1,-266.9,,52.0,,,,-73.3,,,-24.0,-127.8,,False,,False,False,,,,,False,,False,,False,False,,False,False,False,,False,,,,False,,,False,False
01061,201,114.0,,135.0,,111.0,193.0,,,,,115.1,,78.0,,146.2,76.8,,40.8,113.7,0.0,,76.0,,,,,,,60.0,139.3,-87.0,,-66.0,,-90.0,-8.0,,,,,-85.9,,-123.0,,-54.8,-124.2,,-160.2,-87.3,-201.0,,-125.0,,,,,,,-141.0,-61.7,,True,,False,True,,,,,True,,False,,True,False,,False,False,False,,False,,,,,,,False,True
01063,26,9.0,,1.9,,5.0,0.0,,,,,33.0,,21.0,,42.0,6.2,,5.9,31.6,0.0,,,,,,,,,48.0,16.8,-17.0,,-24.1,,-21.0,-26.0,,,,,7.0,,-5.0,,16.0,-19.8,,-20.1,5.6,-26.0,,,,,,,,,22.0,-9.2,,False,,False,False,,,,,True,,True,,True,False,,False,True,False,,,,,,,,,False,True
01065,84,114.0,,120.8,,53.0,40.0,,,,,68.6,,53.0,,90.3,34.5,,30.7,97.1,0.4,,166.0,,,,,,,69.0,56.3,30.0,,36.8,,-31.0,-44.0,,,,,-15.4,,-31.0,,6.3,-49.5,,-53.3,13.1,-83.6,,82.0,,,,,,,-15.0,-27.7,,False,,False,False,,,,,True,,False,,True,False,,False,True,False,,False,,,,,,,True,True
01067,148,84.0,,101.9,,54.0,54.0,,,,,66.4,,36.0,,102.1,51.0,,34.7,85.3,0.0,,55.0,,,,,,,73.0,53.8,-64.0,,-46.1,,-94.0,-94.0,,,,,-81.6,,-112.0,,-45.9,-97.0,,-113.3,-62.7,-148.0,,-93.0,,,,,,,-75.0,-94.2,,True,,False,False,,,,,False,,False,,True,False,,False,True,False,,False,,,,,,,False,False
01069,852,351.0,,275.6,,273.0,107.0,,,,,1229.7,,261.0,,327.1,268.7,,259.1,389.9,0.6,,306.0,,,,287.9,,,181.0,612.5,-501.0,,-576.4,,-579.0,-745.0,,,,,377.7,,-591.0,,-524.9,-583.3,,-592.9,-462.1,-851.4,,-546.0,,,,-564.1,,,-671.0,-239.5,,False,,False,False,,,,,True,,False,,False,False,,False,True,False,,False,,,,False,,,False,True
01071,514,495.0,,521.0,,422.0,697.0,,,,,337.1,,287.0,,438.4,84.5,,401.2,446.6,164.1,,806.0,,,,300.9,,,541.0,258.3,-19.0,,7.0,,-92.0,183.0,,,,,-176.9,,-227.0,,-75.6,-429.5,,-112.8,-67.4,-349.9,,292.0,,,,-213.1,,,27.0,-255.7,,True,,False,False,,,,,False,,False,,False,False,,False,False,False,,False,,,,False,,,False,False
01073,3582,2577.0,,2300.6,2368.0,2249.0,3268.0,,,,,2635.4,,1594.0,,2056.4,1005.5,,2167.0,2783.7,160.6,,2901.0,,,,1957.1,2613.0,,3019.0,1864.9,-1005.0,,-1281.4,-1214.0,-1333.0,-314.0,,,,,-946.6,,-1988.0,,-1525.6,-2576.5,,-1415.0,-798.3,-3421.4,,-681.0,,,,-1624.9,-969.0,,-563.0,-1717.1,,False,False,False,True,,,,,True,,False,,False,False,,False,True,False,,True,,,,False,True,,True,False
01075,101,99.0,,91.8,,65.0,59.0,,,,,60.1,,55.0,,64.6,20.8,,72.2,95.6,0.2,,149.0,,,,,,,120.0,76.3,-2.0,,-9.2,,-36.0,-42.0,,,,,-40.9,,-46.0,,-36.4,-80.2,,-28.8,-5.4,-100.8,,48.0,,,,,,,19.0,-24.7,,False,,False,False,,,,,False,,False,,False,False,,False,False,False,,False,,,,,,,False,False
01077,887,345.0,,329.7,,313.0,324.0,,,,,366.4,,417.0,,237.7,109.7,,292.9,405.7,14.8,,491.0,,,,297.0,,,269.0,178.4,-542.0,,-557.3,,-574.0,-563.0,,,,,-520.6,,-470.0,,-649.3,-777.3,,-594.1,-481.3,-872.2,,-396.0,,,,-590.0,,,-618.0,-708.6,,False,,False,False,,,,,True,,True,,False,False,,False,True,False,,True,,,,False,,,False,False
01079,209,213.0,,217.4,,188.0,257.0,,,,,253.9,,141.0,,222.1,45.4,,133.5,187.8,63.2,,390.0,,,,,,,48.0,126.2,4.0,,8.4,,-21.0,48.0,,,,,44.9,,-68.0,,13.1,-163.6,,-75.5,-21.2,-145.8,,181.0,,,,,,,-161.0,-82.8,,False,,False,False,,,,,False,,False,,False,False,,False,False,False,,False,,,,,,,False,False
01081,492,420.0,,393.6,,306.0,250.0,,,,,1336.5,,378.0,,301.2,303.8,,248.4,445.0,3.7,,291.0,,,,360.7,146.0,,281.0,644.0,-72.0,,-98.4,,-186.0,-242.0,,,,,844.5,,-114.0,,-190.8,-188.2,,-243.6,-47.0,-488.3,,-201.0,,,,-131.3,-346.0,,-211.0,152.0,,False,,False,False,,,,,False,,False,,False,False,,False,True,False,,False,,,,False,False,,False,False
01083,655,540.0,,491.5,,497.0,664.0,,,,,680.7,,376.0,,682.6,119.2,,468.9,553.1,381.6,,735.0,,,,262.8,,,479.0,489.9,-115.0,,-163.5,,-158.0,9.0,,,,,25.7,,-279.0,,27.6,-535.8,,-186.1,-101.9,-273.4,,80.0,,,,-392.2,,,-176.0,-165.1,,False,,False,True,,,,,True,,False,,True,False,,False,True,False,,True,,,,False,,,False,False
01085,47,51.0,,34.2,,18.0,0.0,,,,,56.0,,18.0,,36.6,17.6,,12.8,53.6,0.1,,57.0,,,,,,,0.0,68.8,4.0,,-12.8,,-29.0,-47.0,,,,,9.0,,-29.0,,-10.4,-29.4,,-34.2,6.6,-46.9,,10.0,,,,,,,-47.0,21.8,,False,,False,False,,,,,False,,False,,False,False,,False,False,False,,False,,,,,,,False,False
01087,84,45.0,,31.1,,26.0,21.0,,,,,52.0,,26.0,,53.9,19.1,,6.6,50.0,0.0,,67.0,,,,,,,42.0,49.3,-39.0,,-52.9,,-58.0,-63.0,,,,,-32.0,,-58.0,,-30.1,-64.9,,-77.4,-34.0,-84.0,,-17.0,,,,,,,-42.0,-34.7,,False,,False,False,,,,,True,,False,,True,False,,False,True,False,,True,,,,,,,False,True
01089,1478,1230.0,,1204.4,1269.3,1141.0,1818.0,,,,,1534.8,,1036.0,,888.5,463.1,,1082.9,1289.8,54.5,,1414.0,,,,765.8,1444.0,,721.0,831.6,-248.0,,-273.6,-208.7,-337.0,340.0,,,,,56.8,,-442.0,,-589.5,-1014.9,,-395.1,-188.2,-1423.5,,-64.0,,,,-712.2,-34.0,,-757.0,-646.4,,False,True,False,False,,,,,True,,False,,False,False,,False,True,False,,True,,,,False,True,,False,False
01091,138,240.0,,237.1,,112.0,13.0,,,,,104.8,,80.0,,438.6,23.4,,111.4,199.8,70.6,,500.0,,,,,,,191.0,316.4,102.0,,99.1,,-26.0,-125.0,,,,,-33.2,,-58.0,,300.6,-114.6,,-26.6,61.8,-67.4,,362.0,,,,,,,53.0,178.4,,True,,True,False,,,,,True,,True,,False,False,,True,True,True,,False,,,,,,,True,False
01093,177,51.0,,11.6,,35.0,34.0,,,,,99.0,,121.0,,36.1,34.7,,23.8,67.4,0.2,,34.0,,,,39.3,,,34.0,52.0,-126.0,,-165.4,,-142.0,-143.0,,,,,-78.0,,-56.0,,-140.9,-142.3,,-153.2,-109.6,-176.8,,-143.0,,,,-137.7,,,-143.0,-125.0,,False,,False,False,,,,,True,,True,,False,False,,False,True,False,,False,,,,False,,,False,True
01095,618,309.0,,298.0,,280.0,381.0,,,,,419.7,,437.0,,262.2,103.7,,206.6,355.9,5.9,,515.0,,,,182.5,,,363.0,250.3,-309.0,,-320.0,,-338.0,-237.0,,,,,-198.3,,-181.0,,-355.8,-514.3,,-411.4,-262.1,-612.1,,-103.0,,,,-435.5,,,-255.0,-367.7,,False,,False,True,,,,,True,,True,,False,False,,False,True,False,,True,,,,False,,,True,False
01097,3522,891.0,,919.8,957.6,842.0,853.0,,,,,1047.8,,1487.0,,597.7,464.0,,811.3,1128.9,13.5,,1095.0,,,,783.6,719.0,,1077.0,581.9,-2631.0,,-2602.2,-2564.4,-2680.0,-2669.0,,,,,-2474.2,,-2035.0,,-2924.3,-3058.0,,-2710.7,-2393.1,-3508.5,,-2427.0,,,,-2738.4,-2803.0,,-2445.0,-2940.1,,True,True,False,False,,,,,True,,True,,False,False,,False,True,False,,True,,,,False,False,,True,False
01099,67,48.0,,29.6,,26.0,0.0,,,,,67.6,,67.0,,37.3,14.5,,7.4,47.9,0.0,,50.0,,,,,,,65.0,64.0,-19.0,,-37.4,,-41.0,-67.0,,,,,0.6,,0.0,,-29.7,-52.5,,-59.6,-19.1,-67.0,,-17.0,,,,,,,-2.0,-3.0,,False,,False,False,,,,,True,,True,,False,False,,False,False,False,,True,,,,,,,True,True
01101,1513,1122.0,,1233.1,987.4,1025.0,1444.0,,,,,754.0,,437.0,,760.3,300.0,,701.6,1188.5,25.9,,1673.0,,,,1076.8,1299.0,,2072.0,784.1,-391.0,,-279.9,-525.6,-488.0,-69.0,,,,,-759.0,,-1076.0,,-752.7,-1213.0,,-811.4,-324.5,-1487.1,,160.0,,,,-436.2,-214.0,,559.0,-728.9,,True,False,False,True,,,,,False,,False,,False,False,,False,True,False,,True,,,,False,True,,False,False
01103,928,759.0,,769.3,,618.0,1039.0,,,,,624.9,,455.0,,641.9,147.9,,586.6,899.5,335.5,,1276.0,,,,520.9,,,962.0,437.0,-169.0,,-158.7,,-310.0,111.0,,,,,-303.1,,-473.0,,-286.1,-780.1,,-341.4,-28.5,-592.5,,348.0,,,,-407.1,,,34.0,-491.0,,True,,False,True,,,,,False,,False,,False,False,,False,True,False,,False,,,,False,,,True,False
01105,39,33.0,,2.7,,5.0,0.0,,,,,52.0,,19.0,,58.2,6.7,,4.0,33.8,0.0,,,,,,,,,129.0,67.4,-6.0,,-36.3,,-34.0,-39.0,,,,,13.0,,-20.0,,19.2,-32.3,,-35.0,-5.2,-39.0,,,,,,,,,90.0,28.4,,False,,False,False,,,,,False,,False,,False,False,,False,True,False,,,,,,,,,False,False
01107,202,198.0,,203.5,,155.0,74.0,,,,,78.8,,73.0,,158.2,39.2,,157.3,188.6,46.1,,287.0,,,,,,,230.0,176.2,-4.0,,1.5,,-47.0,-128.0,,,,,-123.2,,-129.0,,-43.8,-162.8,,-44.7,-13.4,-155.9,,85.0,,,,,,,28.0,-25.8,,True,,False,False,,,,,False,,False,,False,False,,False,False,False,,False,,,,,,,False,False
01109,130,99.0,,48.6,,84.0,87.0,,,,,148.4,,88.0,,87.3,57.4,,21.7,97.6,0.0,,100.0,,,,144.1,,,116.0,78.4,-31.0,,-81.4,,-46.0,-43.0,,,,,18.4,,-42.0,,-42.7,-72.6,,-108.3,-32.4,-130.0,,-30.0,,,,14.1,,,-14.0,-51.6,,False,,False,False,,,,,True,,False,,False,False,,False,False,False,,True,,,,True,,,True,False
