,actual_deaths,Baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,Geneva-DetGrowth,Google_Harvard-CPF,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Iowa,1164,1178.1,1169.5,1174.0,1167.0,1172.0,1213.0,,1193.7,1196.0,1184.0,1164.8,,1195.0,1162.5,1172.8,1189.0,1169.1,1184.1,1175.0,1178.0,1180.0,1182.7,1165.0,,1150.8,1180.0,1181.0,,1166.5,1144.7,,1173.0,1195.0,1163.4,,1190.0,1148.2,1162.5,1168.0,,1179.8,1125.0,14.1,5.5,10.0,3.0,8.0,49.0,,29.7,32.0,20.0,0.8,,31.0,-1.5,8.8,25.0,5.1,20.1,11.0,14.0,16.0,18.7,1.0,,-13.2,16.0,17.0,,2.5,-19.3,,9.0,31.0,-0.6,,26.0,-15.8,-1.5,4.0,,15.8,-39.0,True,True,True,True,False,,False,False,False,True,,False,True,True,False,True,False,True,True,False,False,True,,True,False,False,,True,False,,True,False,True,,False,False,True,True,,False,False
Kansas,481,468.7,472.6,472.0,472.0,474.0,513.0,,475.6,476.0,468.6,474.6,,481.7,485.5,464.4,476.0,473.7,477.9,489.0,474.7,462.8,473.2,477.1,,467.7,475.5,479.0,,,459.9,,471.0,474.0,472.0,,468.0,457.2,479.3,474.0,,468.6,466.0,-12.3,-8.4,-9.0,-9.0,-7.0,32.0,,-5.4,-5.0,-12.4,-6.4,,0.7,4.5,-16.6,-5.0,-7.3,-3.1,8.0,-6.3,-18.2,-7.8,-3.9,,-13.3,-5.5,-2.0,,,-21.1,,-10.0,-7.0,-9.0,,-13.0,-23.8,-1.7,-7.0,,-12.4,-15.0,True,True,True,True,False,,True,True,False,True,,True,True,False,True,True,True,True,True,False,True,True,,False,True,True,,,False,,True,True,True,,False,False,True,True,,False,False
Kentucky,993,977.9,973.0,971.0,970.0,974.0,974.0,,991.0,978.0,975.8,,,968.6,983.8,1008.3,967.0,976.0,974.2,970.5,975.8,970.3,977.6,965.3,965.0,978.9,975.9,989.0,,,952.6,,977.0,980.0,971.5,,975.0,949.4,999.4,970.0,,971.1,932.0,-15.1,-20.0,-22.0,-23.0,-19.0,-19.0,,-2.0,-15.0,-17.2,,,-24.4,-9.2,15.3,-26.0,-17.0,-18.8,-22.5,-17.2,-22.7,-15.4,-27.7,-28.0,-14.1,-17.1,-4.0,,,-40.4,,-16.0,-13.0,-21.5,,-18.0,-43.6,6.4,-23.0,,-21.9,-61.0,False,False,False,False,False,,True,True,False,,,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,,,False,,False,True,False,,False,False,True,False,,False,False
Louisiana,5035,5089.6,5123.6,5072.0,5121.0,5089.0,4968.0,,5093.0,5065.0,5109.3,5084.3,,5130.2,5052.5,5067.8,5109.0,5089.4,4984.7,4866.1,5043.9,5134.0,5060.7,4999.3,,5027.7,5092.1,5234.0,,5164.8,4992.0,,5119.0,5103.0,5118.8,,5064.0,4951.9,5126.6,5062.0,,5091.6,4917.0,54.6,88.6,37.0,86.0,54.0,-67.0,,58.0,30.0,74.3,49.3,,95.2,17.5,32.8,74.0,54.4,-50.3,-168.9,8.9,99.0,25.7,-35.7,,-7.3,57.1,199.0,,129.8,-43.0,,84.0,68.0,83.8,,29.0,-83.1,91.6,27.0,,56.6,-118.0,False,True,False,True,False,,False,True,False,True,,False,True,True,False,True,True,False,True,False,True,True,,True,False,False,,False,True,,False,False,False,,True,False,False,True,,False,False
Maine,134,132.9,134.2,134.0,134.0,134.0,132.0,,135.7,134.0,134.8,135.8,,132.2,134.0,131.5,140.0,135.4,134.0,137.4,134.1,135.1,132.0,134.0,,132.9,133.1,134.0,,,133.3,,135.0,134.0,133.9,,134.0,134.3,135.2,135.0,,133.8,,-1.1,0.2,0.0,0.0,0.0,-2.0,,1.7,0.0,0.8,1.8,,-1.8,0.0,-2.5,6.0,1.4,-0.0,3.4,0.1,1.1,-2.0,-0.0,,-1.1,-0.9,0.0,,,-0.7,,1.0,0.0,-0.1,,0.0,0.3,1.2,1.0,,-0.2,,True,True,True,True,False,,False,True,True,False,,False,True,False,False,False,True,False,True,True,False,True,,True,True,True,,,True,,True,True,True,,True,True,False,True,,True,
Maryland,3796,3804.3,3806.8,3807.0,3807.0,3800.0,3812.0,,3803.4,3784.0,3801.6,3801.8,,3807.5,3807.2,3761.8,3771.0,3799.5,3797.4,3790.4,3793.4,3789.5,3800.7,3772.9,,3805.5,3803.4,3801.0,,3800.0,3799.1,,3798.0,3828.0,3802.6,,3797.0,,3891.7,3795.0,,3801.2,3852.0,8.3,10.8,11.0,11.0,4.0,16.0,,7.4,-12.0,5.6,5.8,,11.5,11.2,-34.2,-25.0,3.5,1.4,-5.6,-2.6,-6.5,4.7,-23.1,,9.5,7.4,5.0,,4.0,3.1,,2.0,32.0,6.6,,1.0,,95.7,-1.0,,5.2,56.0,False,False,False,True,False,,True,False,True,True,,False,False,False,False,True,True,True,True,True,True,False,,False,True,True,,True,True,,True,False,True,,True,,False,True,,True,False
Massachusetts,9116,9158.7,9153.3,9151.0,9151.0,9135.0,9102.0,,9168.5,9116.0,9138.1,9123.3,,9140.6,9085.0,9138.2,9178.0,9149.4,9102.8,9103.8,9138.3,9128.0,9127.9,9140.4,,9104.9,9150.1,9114.0,,9146.9,9116.1,,9145.0,9186.0,9139.7,,9137.0,,9084.4,9141.0,,9130.8,9036.0,42.7,37.3,35.0,35.0,19.0,-14.0,,52.5,0.0,22.1,7.3,,24.6,-31.0,22.2,62.0,33.4,-13.2,-12.2,22.3,12.0,11.9,24.4,,-11.1,34.1,-2.0,,30.9,0.1,,29.0,70.0,23.7,,21.0,,-31.6,25.0,,14.8,-80.0,True,True,True,True,True,,False,True,True,True,,True,True,True,False,True,True,True,True,True,True,True,,True,True,True,,True,True,,True,False,True,,True,,True,True,,True,False
Michigan,6806,6824.3,6770.3,6770.0,6769.0,6800.0,6789.0,,6823.6,6828.0,6811.8,6784.8,,6783.9,6779.6,6799.2,6820.0,6787.8,6907.5,6781.7,6783.2,6815.5,6807.9,6756.9,6992.5,6776.1,6797.0,6820.0,,6707.5,6837.9,,6776.0,6871.0,6765.1,,6820.0,,6992.5,6775.0,,6805.4,6682.0,18.3,-35.7,-36.0,-37.0,-6.0,-17.0,,17.6,22.0,5.8,-21.2,,-22.1,-26.4,-6.8,14.0,-18.2,101.5,-24.3,-22.8,9.5,1.9,-49.1,186.5,-29.9,-9.0,14.0,,-98.5,31.9,,-30.0,65.0,-40.9,,14.0,,186.5,-31.0,,-0.6,-124.0,False,False,False,True,True,,True,False,True,False,,False,False,True,True,True,False,False,False,True,True,False,False,False,True,True,,False,False,,False,False,False,,True,,False,False,,True,False
Minnesota,1903,1909.6,1915.0,1917.0,1919.0,1922.0,1933.0,,1938.3,1887.0,1928.0,1910.9,,1911.9,1930.3,1930.9,1909.0,1920.6,1943.9,1877.8,1920.1,1926.1,1916.1,1915.5,1921.0,1939.8,1917.1,1952.0,,1930.1,1903.0,,1922.0,1906.0,1918.6,,1908.0,1921.9,1959.5,1927.0,,1914.4,1910.0,6.6,12.0,14.0,16.0,19.0,30.0,,35.3,-16.0,25.0,7.9,,8.9,27.3,27.9,6.0,17.6,40.9,-25.2,17.1,23.1,13.1,12.5,18.0,36.8,14.1,49.0,,27.1,-0.0,,19.0,3.0,15.6,,5.0,18.9,56.5,24.0,,11.4,7.0,False,False,False,False,False,,False,False,False,False,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,True,,False,True,False,,True,False,False,False,,False,False
Mississippi,2569,2613.3,2613.2,2609.0,2617.0,2577.0,2499.0,,2609.6,2558.0,2603.5,2549.3,,2571.9,2575.5,2536.0,2617.0,2598.3,2487.0,2542.2,2576.2,2565.9,2575.7,2627.3,,2645.6,2633.3,2551.0,,2602.3,2516.0,,2599.0,2622.0,2607.2,,2566.0,2550.0,2576.9,2574.0,,2568.9,2403.0,44.3,44.2,40.0,48.0,8.0,-70.0,,40.6,-11.0,34.5,-19.7,,2.9,6.5,-33.0,48.0,29.3,-82.0,-26.8,7.2,-3.1,6.7,58.3,,76.6,64.3,-18.0,,33.3,-53.0,,30.0,53.0,38.2,,-3.0,-19.0,7.9,5.0,,-0.1,-166.0,True,True,False,True,False,,True,True,True,True,,True,True,True,False,True,False,True,True,True,True,False,,False,False,True,,True,False,,True,False,True,,True,True,True,True,,True,False
