,actual_deaths,Baseline,Auquan-SEIR,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Indiana,3362,3295.6,3397.0,3281.0,3367.0,3299.2,3350.0,3528.0,,3329.0,3311.8,3430.6,,3376.7,3535.7,3399.3,3552.2,3287.6,3326.5,3177.7,3390.5,3150.0,3350.4,3441.0,,3318.8,4395.3,,3477.0,3233.9,,3442.0,3333.7,4148.4,3343.0,3446.4,3190.0,-66.4,35.0,-81.0,5.0,-62.8,-12.0,166.0,,-33.0,-50.2,68.6,,14.7,173.7,37.3,190.2,-74.4,-35.5,-184.3,28.5,-212.0,-11.6,79.0,,-43.2,1033.3,,115.0,-128.1,,80.0,-28.3,786.4,-19.0,84.4,-172.0,True,False,True,True,True,False,,True,True,False,,True,False,True,False,False,True,False,True,False,True,False,,True,False,,False,False,,False,True,False,True,False,False
Iowa,1164,1135.4,1169.0,1148.2,1109.0,1138.9,1114.0,1052.0,,983.0,1531.2,1111.1,,1074.0,1100.7,1262.2,1115.3,1048.4,1097.5,1156.7,,1167.5,1148.7,1252.0,,1182.4,1015.9,,1230.0,1081.1,,1071.0,1078.8,1173.5,1140.0,1128.6,1105.0,-28.6,5.0,-15.8,-55.0,-25.1,-50.0,-112.0,,-181.0,367.2,-52.9,,-90.0,-63.3,98.2,-48.7,-115.6,-66.5,-7.3,,3.5,-15.3,88.0,,18.4,-148.1,,66.0,-82.9,,-93.0,-85.2,9.5,-24.0,-35.4,-59.0,True,True,False,True,False,False,,False,False,False,,False,False,False,False,False,False,True,,True,True,False,,True,False,,False,False,,False,False,True,True,False,False
Kansas,480,453.3,531.0,463.5,499.0,467.9,474.0,550.0,,472.0,529.9,570.6,,580.3,500.4,675.5,517.6,430.3,459.3,506.7,,504.7,448.4,514.0,,,452.9,,478.0,430.5,,429.0,422.3,504.8,456.0,478.7,,-26.7,51.0,-16.5,19.0,-12.1,-6.0,70.0,,-8.0,49.9,90.6,,100.3,20.4,195.5,37.6,-49.7,-20.7,26.7,,24.7,-31.6,34.0,,,-27.1,,-2.0,-49.5,,-51.0,-57.7,24.8,-24.0,-1.3,,False,True,True,True,True,False,,True,False,False,,False,True,False,False,False,True,True,,True,False,False,,,False,,True,False,,False,False,True,True,True,
Kentucky,993,892.6,945.0,908.9,939.0,899.6,933.0,998.0,,954.0,1027.5,992.1,,1103.1,1024.5,1199.8,999.3,860.4,877.7,916.1,938.0,1009.1,923.3,906.0,,951.9,1024.4,,919.0,871.8,,910.0,881.9,1104.5,907.0,938.2,,-100.4,-48.0,-84.1,-54.0,-93.4,-60.0,5.0,,-39.0,34.5,-0.9,,110.1,31.5,206.8,6.3,-132.6,-115.3,-76.9,-55.0,16.1,-69.7,-87.0,,-41.1,31.4,,-74.0,-121.2,,-83.0,-111.1,111.5,-86.0,-54.8,,True,True,True,True,True,True,,True,True,True,,False,True,False,True,False,False,True,True,True,True,True,,True,True,,True,False,,True,False,False,True,True,
Louisiana,5035,5250.4,5002.0,5196.5,5254.0,5239.1,5142.0,4979.0,,4799.0,5803.6,5187.3,,5136.4,5332.7,5000.6,5957.2,4968.9,5137.2,5338.5,,4668.1,5044.3,5971.5,,5635.3,7087.1,,5325.0,5001.6,,5078.0,,5733.7,4741.0,5013.7,4961.0,215.4,-33.0,161.5,219.0,204.1,107.0,-56.0,,-236.0,768.6,152.3,,101.4,297.7,-34.4,922.2,-66.1,102.2,303.5,,-366.9,9.3,936.5,,600.3,2052.1,,290.0,-33.4,,43.0,,698.7,-294.0,-21.3,-74.0,True,True,False,True,True,True,,False,False,True,,True,False,True,False,True,True,False,,False,True,False,,False,False,,False,True,,True,,False,False,True,True
Maine,134,132.7,144.0,131.8,134.0,133.9,132.0,125.0,,128.0,145.9,138.5,,133.1,133.5,155.7,135.7,130.5,125.5,130.9,,155.6,131.4,131.0,,,142.3,,141.0,129.0,,130.0,133.5,139.1,131.0,132.9,,-1.3,10.0,-2.2,0.0,-0.1,-2.0,-9.0,,-6.0,11.9,4.5,,-0.9,-0.5,21.7,1.7,-3.5,-8.5,-3.1,,21.6,-2.6,-3.0,,,8.3,,7.0,-5.0,,-4.0,-0.5,5.1,-3.0,-1.1,,False,False,True,True,False,False,,False,False,False,,True,True,False,False,False,False,False,,False,False,False,,,False,,False,False,,False,True,False,False,True,
Maryland,3796,3855.0,4041.0,3862.7,3906.0,3862.7,3858.0,3890.0,,3838.0,3891.6,3858.2,,3871.5,3991.7,3925.6,4054.5,3741.3,3851.9,3718.9,,3726.4,3858.1,3764.0,,4007.1,3872.5,,3899.0,3801.4,,3854.0,3837.2,4404.6,3808.0,3972.9,3783.0,59.0,245.0,66.7,110.0,66.7,62.0,94.0,,42.0,95.6,62.2,,75.5,195.7,129.6,258.5,-54.7,55.9,-77.1,,-69.6,62.1,-32.0,,211.1,76.5,,103.0,5.4,,58.0,41.2,608.6,12.0,176.9,-13.0,False,False,False,False,False,False,,True,False,False,,False,False,False,False,True,True,False,,False,False,True,,False,False,,False,True,,True,True,False,True,False,True
Massachusetts,9116,9109.1,9287.0,9079.4,9062.0,9146.2,9079.0,9170.0,,8752.0,9055.6,9193.9,,9016.6,9262.7,9141.1,9015.3,9032.6,9043.2,9063.2,,8770.3,9198.5,8817.0,,9204.9,10970.3,,9244.0,8986.0,,9096.0,8931.3,9512.5,9265.0,9180.0,8737.0,-6.9,171.0,-36.6,-54.0,30.2,-37.0,54.0,,-364.0,-60.4,77.9,,-99.4,146.7,25.1,-100.7,-83.4,-72.8,-52.8,,-345.7,82.5,-299.0,,88.9,1854.3,,128.0,-130.0,,-20.0,-184.7,396.5,149.0,64.0,-379.0,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,,False,False,False,False,False,False
Michigan,6806,6758.1,6966.0,6785.4,6781.0,6799.3,6749.0,6804.0,,6768.0,6711.7,6908.6,,6761.2,6774.7,7182.4,6724.2,6656.2,6771.4,6588.7,7386.0,6614.5,6781.1,6591.0,,6639.1,7523.0,,6748.0,6734.0,,6749.0,6688.7,7742.6,6739.0,6785.3,6572.0,-47.9,160.0,-20.6,-25.0,-6.7,-57.0,-2.0,,-38.0,-94.3,102.6,,-44.8,-31.3,376.4,-81.8,-149.8,-34.6,-217.3,580.0,-191.5,-24.9,-215.0,,-166.9,717.0,,-58.0,-72.0,,-57.0,-117.3,936.6,-67.0,-20.7,-234.0,False,True,True,True,False,True,,True,False,False,,True,True,False,False,False,True,False,False,False,True,False,,False,False,,False,False,,False,False,False,False,True,False
Minnesota,1903,1867.7,1994.0,1863.0,1902.0,1861.0,1870.0,2019.0,,1777.0,1877.5,1954.4,,1809.4,1898.8,2038.4,1948.3,1821.9,1873.6,1933.1,1821.0,1716.1,1869.5,1719.0,,1910.3,1788.0,,1945.0,1854.6,,1896.0,1892.9,2250.6,1874.0,1911.0,,-35.3,91.0,-40.0,-1.0,-42.0,-33.0,116.0,,-126.0,-25.5,51.4,,-93.6,-4.2,135.4,45.3,-81.1,-29.4,30.1,-82.0,-186.9,-33.5,-184.0,,7.3,-115.0,,42.0,-48.4,,-7.0,-10.1,347.6,-29.0,8.0,,False,False,True,False,True,False,,False,True,False,,False,True,False,False,False,True,True,False,False,True,False,,True,False,,False,False,,True,True,False,True,True,
Mississippi,2569,2640.4,2647.0,2586.9,2614.0,2597.6,2546.0,2298.0,,2534.0,3864.4,2550.1,,2694.1,2785.3,2540.6,2560.6,2289.8,2481.9,2461.8,,2603.1,2453.1,3086.0,,3108.2,2508.6,,2540.0,2374.6,,2432.0,2628.9,2679.0,2448.0,2573.9,2429.0,71.4,78.0,17.9,45.0,28.6,-23.0,-271.0,,-35.0,1295.4,-18.9,,125.1,216.3,-28.4,-8.4,-279.2,-87.1,-107.2,,34.1,-115.9,517.0,,539.2,-60.4,,-29.0,-194.4,,-137.0,59.9,110.0,-121.0,4.9,-140.0,False,True,True,True,True,False,,True,False,True,,False,False,True,True,False,False,False,,True,False,False,,False,True,,True,False,,False,True,False,False,True,False
Missouri,1668,1557.7,1630.0,1526.4,1681.0,1531.0,1572.0,1565.0,,1743.0,1770.6,1578.9,,1949.0,1864.2,1876.0,1715.7,1462.2,1579.5,1565.1,,1545.1,1567.3,1572.0,,1525.6,1658.4,,1417.0,1571.2,,1508.0,1540.1,1933.1,1577.0,1610.8,1522.0,-110.3,-38.0,-141.6,13.0,-137.0,-96.0,-103.0,,75.0,102.6,-89.1,,281.0,196.2,208.0,47.7,-205.8,-88.5,-102.9,,-122.9,-100.7,-96.0,,-142.4,-9.6,,-251.0,-96.8,,-160.0,-127.9,265.1,-91.0,-57.2,-146.0,True,False,True,False,True,True,,True,True,True,,False,False,False,True,False,True,True,,False,True,True,,False,True,,False,True,,False,False,False,True,True,False
Montana,116,129.0,130.0,128.6,114.0,131.0,131.0,98.0,,107.0,286.3,132.2,,113.1,144.2,197.1,178.1,110.0,109.8,195.7,,175.6,132.7,167.5,,,127.5,,142.0,105.1,,123.0,168.6,122.3,141.0,131.2,,13.0,14.0,12.6,-2.0,15.0,15.0,-18.0,,-9.0,170.3,16.2,,-2.9,28.2,81.1,62.1,-6.0,-6.2,79.7,,59.6,16.7,51.5,,,11.5,,26.0,-10.9,,7.0,52.6,6.3,25.0,15.2,,False,True,True,False,False,False,,True,False,False,,True,False,False,False,True,True,False,,False,False,False,,,True,,False,True,,True,False,True,False,False,
Nebraska,404,395.1,484.0,392.4,422.0,397.1,401.0,411.0,,375.0,457.9,,,409.4,426.0,509.8,417.6,373.7,391.5,393.1,,426.9,406.0,367.0,,,409.9,,413.0,380.3,,391.0,409.0,431.2,398.0,409.1,,-8.9,80.0,-11.6,18.0,-6.9,-3.0,7.0,,-29.0,53.9,,,5.4,22.0,105.8,13.6,-30.3,-12.5,-10.9,,22.9,2.0,-37.0,,,5.9,,9.0,-23.7,,-13.0,5.0,27.2,-6.0,5.1,,False,False,False,True,True,True,,False,False,,,True,False,False,False,False,False,False,,False,True,False,,,True,,False,False,,False,True,False,True,True,
Nevada,1388,1439.1,1348.0,1419.6,1320.0,1417.2,1370.0,1224.0,,1226.0,2143.5,1300.3,,1364.3,1391.2,1480.4,1501.0,1229.5,1346.7,1506.9,,1421.7,1566.9,1971.0,,1820.9,1459.9,,1373.0,1306.0,,1267.0,1310.9,1370.0,1335.0,1379.1,1326.0,51.1,-40.0,31.6,-68.0,29.2,-18.0,-164.0,,-162.0,755.5,-87.7,,-23.7,3.2,92.4,113.0,-158.5,-41.3,118.9,,33.7,178.9,583.0,,432.9,71.9,,-15.0,-82.0,,-121.0,-77.1,-18.0,-53.0,-8.9,-62.0,True,True,False,True,True,False,,False,False,False,,True,True,False,False,False,True,False,,True,False,False,,False,False,,True,False,,False,False,True,False,True,False
New Hampshire,432,426.7,450.0,438.8,442.0,436.6,439.0,432.0,,430.0,451.3,464.9,,453.6,458.0,459.2,432.7,446.8,421.2,481.9,,433.6,434.1,422.0,,,427.6,,445.0,438.6,,435.0,477.5,463.9,433.0,456.1,,-5.3,18.0,6.8,10.0,4.6,7.0,0.0,,-2.0,19.3,32.9,,21.6,26.0,27.2,0.7,14.8,-10.8,49.9,,1.6,2.1,-10.0,,,-4.4,,13.0,6.6,,3.0,45.5,31.9,1.0,24.1,,False,False,False,True,False,True,,True,False,False,,False,False,False,True,False,False,False,,True,True,False,,,True,,False,False,,True,False,False,True,False,
New Jersey,15985,16020.6,16700.0,16009.1,16126.0,16227.5,16083.0,16255.0,,15914.0,16094.2,16457.1,,16124.1,16147.6,16129.2,16135.8,16231.5,15990.8,16057.8,,16119.7,16016.0,15940.0,,16161.0,16077.2,,16268.0,16048.1,,16048.0,17028.7,16804.2,16138.0,16066.3,16038.0,35.6,715.0,24.1,141.0,242.5,98.0,270.0,,-71.0,109.2,472.1,,139.1,162.6,144.2,150.8,246.5,5.8,72.8,,134.7,31.0,-45.0,,176.0,92.2,,283.0,63.1,,63.0,1043.7,819.2,153.0,81.3,53.0,False,True,False,False,False,False,,False,False,False,,False,False,False,False,False,True,False,,False,True,False,,False,False,,False,False,,False,False,False,False,False,False
