,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Massachusetts,9116,9103.0,,8585.5,8586.0,9381.3,8760.0,9206.8,8468.4,,8703.3,8608.0,,,8910.3,9791.1,9312.0,8963.3,-13.0,,-530.5,-530.0,265.3,-356.0,90.8,-647.6,,-412.7,-508.0,,,-205.7,675.1,196.0,-152.7,,False,False,False,False,False,False,,False,False,,,False,False,False,False
Michigan,6806,6599.1,,6816.1,6727.0,6921.6,6797.0,6675.3,7473.7,16181.5,6988.6,6456.0,,,6605.2,8547.4,6559.0,6617.9,-206.9,,10.1,-79.0,115.6,-9.0,-130.7,667.7,9375.5,182.6,-350.0,,,-200.8,1741.4,-247.0,-188.1,,True,True,True,True,True,False,False,True,False,,,True,False,False,True
Minnesota,1903,1807.3,,2001.2,1723.0,1774.2,1866.0,1797.6,1847.3,1819.0,1661.9,1637.0,,,1803.0,2735.9,1847.0,1899.9,-95.7,,98.2,-180.0,-128.8,-37.0,-105.4,-55.7,-84.0,-241.1,-266.0,,,-100.0,832.9,-56.0,-3.1,,False,False,False,True,False,True,True,False,False,,,False,False,True,True
Mississippi,2569,2301.3,,2479.9,2429.0,2107.3,2013.0,2077.9,2144.2,,2184.7,2681.0,,,2172.2,2979.0,2389.0,2366.2,-267.7,,-89.1,-140.0,-461.7,-556.0,-491.1,-424.8,,-384.3,112.0,,,-396.8,410.0,-180.0,-202.8,,True,True,False,False,False,False,,False,True,,,False,False,True,True
Missouri,1668,1636.6,,1892.4,1988.0,1442.8,1408.0,1545.7,1564.1,,1415.6,1459.0,,,1762.9,2919.3,1923.0,1745.7,-31.4,,224.4,320.0,-225.2,-260.0,-122.3,-103.9,,-252.4,-209.0,,,94.9,1251.3,255.0,77.7,,False,False,False,False,False,False,,False,False,,,False,False,False,False
Montana,116,98.7,,137.9,77.0,97.1,68.0,89.6,140.2,,220.9,371.5,,,67.4,118.8,83.0,115.3,-17.3,,21.9,-39.0,-18.9,-48.0,-26.4,24.2,,104.9,255.5,,,-48.6,2.8,-33.0,-0.7,,False,False,False,False,False,False,,False,False,,,False,True,False,True
Nebraska,404,403.9,,456.5,353.0,327.3,368.0,371.7,388.8,,409.9,326.0,,,379.5,469.4,430.0,408.7,-0.1,,52.5,-51.0,-76.7,-36.0,-32.3,-15.2,,5.9,-78.0,,,-24.5,65.4,26.0,4.7,,False,False,False,False,False,False,,False,False,,,False,False,False,False
Nevada,1388,1243.6,,1384.7,1353.0,1174.0,1241.0,1013.0,932.3,,1315.9,2549.0,,,1214.7,1347.7,1172.0,1421.2,-144.4,,-3.3,-35.0,-214.0,-147.0,-375.0,-455.7,,-72.1,1161.0,,,-173.3,-40.3,-216.0,33.2,,True,True,False,False,False,False,,True,False,,,False,True,False,True
New Hampshire,432,473.4,,454.4,432.0,432.3,415.0,481.7,472.6,,501.9,422.0,,,521.7,510.2,516.0,468.3,41.4,,22.4,0.0,0.3,-17.0,49.7,40.6,,69.9,-10.0,,,89.7,78.2,84.0,36.3,,True,True,True,True,False,True,,False,True,,,False,False,False,True
New Jersey,15985,16261.4,,16290.5,16094.0,17078.4,16008.0,16861.0,16157.3,,16269.7,16119.0,,,15839.7,16889.9,16483.0,16245.5,276.4,,305.5,109.0,1093.4,23.0,876.0,172.3,,284.7,134.0,,,-145.3,904.9,498.0,260.5,,False,True,False,True,False,True,,False,True,,,True,False,False,True
