,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
New Mexico,800,718.7,743.8,744.4,763.0,,617.5,656.8,622.8,812.9,-81.3,-56.2,-55.6,-37.0,,-182.5,-143.2,-177.2,12.9,True,True,True,,False,False,False,True
New York,32987,34078.1,31896.9,33027.5,32039.0,,31804.4,32698.2,31940.5,32979.4,1772.1,-409.1,721.5,-267.0,,-501.6,392.2,-365.5,673.4,True,True,True,,True,True,True,True
North Carolina,2889,2623.6,2834.7,2046.3,2511.0,,2100.7,2438.1,2271.2,2906.8,-265.4,-54.3,-842.7,-378.0,,-788.3,-450.9,-617.8,17.8,True,False,False,,False,False,False,True
North Dakota,155,98.7,101.3,88.4,112.0,,95.9,91.4,105.9,110.8,-56.3,-53.7,-66.6,-43.0,,-59.1,-63.6,-49.1,-44.2,True,False,True,,False,False,True,True
Ohio,4256,3861.7,3670.1,3896.7,3364.0,,3794.6,4166.0,5174.3,4367.7,-394.3,-585.9,-359.3,-892.0,,-461.4,-90.0,918.3,111.7,False,True,False,,False,True,False,True
Oklahoma,850,542.7,1104.1,476.5,511.0,,497.3,951.2,851.5,611.7,-307.3,254.1,-373.5,-339.0,,-352.7,101.2,1.5,-238.3,True,False,False,,False,True,True,True
Oregon,480,320.3,561.3,393.7,450.0,,295.5,530.1,538.8,388.5,-159.7,81.3,-86.3,-30.0,,-184.5,50.1,58.8,-91.5,True,True,True,,False,True,True,True
Pennsylvania,7750,8409.9,7609.5,7854.6,7629.0,,7385.1,7454.8,7116.2,8671.0,659.9,-140.5,104.6,-121.0,,-364.9,-295.2,-633.8,921.0,True,True,True,,True,True,True,False
Rhode Island,1069,1252.3,1058.8,1259.9,1208.0,,1100.1,849.6,977.7,1303.9,183.3,-10.2,190.9,139.0,,31.1,-219.4,-91.3,234.9,True,False,True,,True,False,True,False
South Carolina,2877,1337.0,2712.8,1234.1,982.0,,915.4,2375.1,1715.3,1675.3,-1540.0,-164.2,-1642.9,-1895.0,,-1961.6,-501.9,-1161.7,-1201.7,True,False,False,,False,True,True,True
South Dakota,173,189.6,150.6,193.0,121.0,,107.1,113.9,117.9,181.2,16.6,-22.4,20.0,-52.0,,-65.9,-59.1,-55.1,8.2,False,False,False,,False,False,False,True
Tennessee,1862,1155.7,1558.3,1355.0,1737.0,,805.6,995.4,1239.2,1422.5,-706.3,-303.7,-507.0,-125.0,,-1056.4,-866.6,-622.8,-439.5,True,True,True,,False,False,True,True
Texas,13582,4481.9,9784.0,7119.7,4108.0,5308.0,4422.6,8365.6,10989.6,5830.7,-8870.1,-3568.0,-6232.3,-9244.0,-8044.0,-8929.4,-4986.4,-2362.4,-7521.3,True,True,False,True,False,True,True,True
Utah,420,255.7,775.5,334.5,248.0,,239.8,416.3,316.4,399.8,-164.3,355.5,-85.5,-172.0,,-180.2,-3.7,-103.6,-20.2,False,True,False,,False,True,True,True
Vermont,58,56.0,64.0,67.4,56.0,,62.1,51.2,58.3,67.5,-2.0,6.0,9.4,-2.0,,4.1,-6.8,0.3,9.5,False,False,False,,False,False,True,False
Virginia,2677,2924.7,2088.6,2163.7,2227.0,,1904.4,1950.9,1872.6,2493.9,247.7,-588.4,-513.3,-450.0,,-772.6,-726.1,-804.4,-183.1,False,False,False,,False,False,False,True
Washington,1953,1704.3,1831.7,1800.9,1383.0,,1411.8,1828.4,1922.7,1979.2,-248.7,-121.3,-152.1,-570.0,,-541.2,-124.6,-30.3,26.2,True,True,False,,False,True,True,True
West Virginia,246,132.4,129.5,128.7,98.0,,126.7,156.4,229.1,126.0,-113.6,-116.5,-117.3,-148.0,,-119.3,-89.6,-16.9,-120.0,False,False,False,,False,True,True,False
Wisconsin,1218,1102.3,1140.4,1161.1,1027.0,,886.2,995.7,1420.0,1370.9,-79.7,-41.6,-20.9,-155.0,,-295.8,-186.3,238.0,188.9,True,True,False,,False,False,False,False
Wyoming,42,20.0,68.9,22.9,22.0,,21.6,44.1,27.6,31.8,-22.0,26.9,-19.1,-20.0,,-20.4,2.1,-14.4,-10.2,False,True,True,,True,True,True,True
US,188610,183211.0,180923.9,162519.4,137776.0,139616.0,151074.9,176835.3,192301.6,173186.0,-4441.0,-6728.1,-25132.6,-49876.0,-48036.0,-36577.1,-10816.7,4649.6,-14466.0,False,False,False,False,False,False,False,False
