,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,MITCovAlliance-SIR,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-MITCovAlliance-SIR,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-MITCovAlliance-SIR,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Tennessee,1862,1495.3,,2000.8,1844.0,2139.0,1163.4,,1285.3,1581.1,2196.5,2052.4,-366.7,,138.8,-18.0,277.0,-698.6,,-576.7,-280.9,334.5,190.4,,True,True,True,False,,False,True,True,True
Texas,13576,7733.9,,11959.9,9047.0,10834.0,4236.4,3551.0,7449.7,9803.3,14243.0,9148.9,-5319.1,,-1093.1,-4006.0,-2219.0,-8816.6,-9502.0,-5603.3,-3249.7,1190.0,-3904.1,,True,True,True,False,False,False,True,True,True
Utah,420,458.6,,697.8,575.0,524.0,323.1,,433.5,471.5,453.6,583.7,38.6,,277.8,155.0,104.0,-96.9,,13.5,51.5,33.6,163.7,,False,False,False,False,,True,False,True,False
Vermont,58,56.0,,59.9,56.0,57.0,59.7,,56.8,56.0,59.4,63.1,-2.0,,1.9,-2.0,-1.0,1.7,,-1.2,-2.0,1.4,5.1,,True,False,True,True,,True,True,True,False
Virginia,2677,2853.9,,2295.7,2165.0,2546.0,2373.4,,2453.2,2396.0,2348.3,2943.0,176.9,,-381.3,-512.0,-131.0,-303.6,,-223.8,-281.0,-328.7,266.0,,False,False,True,False,,False,False,False,False
Washington,1953,2058.7,,1996.4,1877.0,2002.0,1721.6,,1846.6,2221.1,1908.5,1978.9,105.7,,43.4,-76.0,49.0,-231.4,,-106.4,268.1,-44.5,25.9,,True,True,True,False,,False,False,True,True
West Virginia,246,111.7,,212.3,210.0,144.0,329.0,,119.4,291.5,310.8,123.1,-134.3,,-33.7,-36.0,-102.0,83.0,,-126.6,45.5,64.8,-122.9,,True,True,True,True,,True,True,True,True
Wisconsin,1168,1008.6,,1342.7,1041.0,1099.0,1248.2,,1029.0,1320.9,1684.6,1222.9,-159.4,,174.7,-127.0,-69.0,80.2,,-139.0,152.9,516.6,54.9,,False,True,True,True,,True,True,False,True
Wyoming,42,28.9,,59.5,37.0,34.0,40.2,,26.1,42.6,27.4,33.1,-13.1,,17.5,-5.0,-8.0,-1.8,,-15.9,0.6,-14.6,-8.9,,False,True,True,True,,False,True,False,True
US,188538,176415.7,200005.0,183815.5,182359.0,172682.0,156570.2,135580.0,168691.0,183474.0,249547.5,182962.5,-11554.3,12035.0,-4154.5,-5611.0,-15288.0,-31399.8,-52390.0,-19279.0,-4496.0,61577.5,-5007.5,False,True,True,False,False,False,False,True,False,True
