,actual_deaths,Baseline,Auquan-SEIR,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,Google_Harvard-CPF,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Google_Harvard-CPF,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Google_Harvard-CPF,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,5977,5930.6,6043.0,5937.7,5879.0,5938.2,5800.0,5668.0,,5207.5,5774.0,6322.0,5548.5,5880.7,5584.4,6177.5,5564.0,5864.5,5576.9,5880.2,5696.8,5856.2,5555.6,,5975.3,5871.0,5886.5,,6385.5,5549.6,,5962.0,6022.3,5812.0,5876.3,,5702.0,5661.1,5946.1,5901.0,6199.5,,5809.4,5387.0,-46.4,66.0,-39.3,-98.0,-38.8,-177.0,-309.0,,-769.5,-203.0,345.0,-428.5,-96.3,-392.6,200.5,-413.0,-112.5,-400.1,-96.8,-280.2,-120.8,-421.4,,-1.7,-106.0,-90.5,,408.5,-427.4,,-15.0,45.3,-165.0,-100.7,,-275.0,-315.9,-30.9,-76.0,222.5,,-167.6,-590.0,False,True,False,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,False,,False,False,,True,True,False,False,,False,False,True,False,False,,False,False
Hawaii,84,60.0,71.0,60.9,59.0,61.0,63.0,90.0,,85.3,71.0,59.9,,,127.0,62.0,,71.2,83.9,73.7,61.9,62.1,67.0,,61.6,63.5,78.0,,,57.0,,62.0,39.0,71.0,60.5,,67.0,50.4,65.1,64.0,72.0,,62.8,53.0,-24.0,-13.0,-23.1,-25.0,-23.0,-21.0,6.0,,1.3,-13.0,-24.1,,,43.0,-22.0,,-12.8,-0.1,-10.3,-22.1,-21.9,-17.0,,-22.4,-20.5,-6.0,,,-27.0,,-22.0,-45.0,-13.0,-23.5,,-17.0,-33.6,-18.9,-20.0,-12.0,,-21.2,-31.0,True,True,False,True,True,True,,True,True,False,,,False,True,,True,True,True,True,True,True,,True,True,True,,,False,,True,False,True,True,,True,False,True,True,True,,True,False
Idaho,384,377.6,411.0,386.4,393.0,380.0,367.0,344.0,,367.6,364.0,394.5,376.4,,379.7,345.8,346.0,379.1,431.6,374.7,344.8,351.5,388.8,,413.0,365.5,356.0,,,330.1,,381.0,398.1,365.0,371.0,,347.0,354.1,369.1,375.0,380.0,,373.2,333.0,-6.4,27.0,2.4,9.0,-4.0,-17.0,-40.0,,-16.4,-20.0,10.5,-7.6,,-4.3,-38.2,-38.0,-4.9,47.6,-9.3,-39.2,-32.5,4.8,,29.0,-18.5,-28.0,,,-53.9,,-3.0,14.1,-19.0,-13.0,,-37.0,-29.9,-14.9,-9.0,-4.0,,-10.8,-51.0,False,True,False,True,False,False,,False,False,False,False,,True,False,False,True,False,False,False,False,True,,False,False,False,,,False,,True,False,False,False,,False,False,False,False,True,,False,False
Illinois,8385,8337.9,8840.0,8371.9,8350.0,8375.0,8347.0,8520.0,,8255.9,8377.0,8337.8,8304.9,,8419.2,8064.5,8352.0,8384.6,8253.1,8348.3,8299.5,8370.5,8636.8,8450.0,8230.2,8401.3,8193.0,,8317.0,8186.0,,8326.0,10041.4,8372.0,8334.7,,8349.0,8473.0,8912.0,8406.0,8345.5,,8353.9,7968.0,-47.1,455.0,-13.1,-35.0,-10.0,-38.0,135.0,,-129.1,-8.0,-47.2,-80.1,,34.2,-320.5,-33.0,-0.4,-131.9,-36.7,-85.5,-14.5,251.8,65.0,-154.8,16.3,-192.0,,-68.0,-199.0,,-59.0,1656.4,-13.0,-50.3,,-36.0,88.0,527.0,21.0,-39.5,,-31.1,-417.0,False,True,True,True,True,False,,False,True,False,False,,True,False,True,True,False,True,False,True,False,False,False,True,False,,False,False,,False,False,True,False,,True,False,False,True,True,,True,False
Indiana,3362,3381.6,3511.0,3387.5,3405.0,3398.0,3399.0,3366.0,,3284.5,3374.0,3394.9,3409.9,,3383.2,3430.1,3354.0,3402.0,3218.2,3412.2,3329.9,3379.7,3403.4,3387.5,3385.5,3413.8,3482.0,,3402.1,3359.0,,3400.0,3386.3,3399.0,3374.9,,3375.0,3439.3,3655.0,3405.0,3408.0,,3415.3,3297.0,19.6,149.0,25.5,43.0,36.0,37.0,4.0,,-77.5,12.0,32.9,47.9,,21.2,68.1,-8.0,40.0,-143.8,50.2,-32.1,17.7,41.4,25.5,23.5,51.8,120.0,,40.1,-3.0,,38.0,24.3,37.0,12.9,,13.0,77.3,293.0,43.0,46.0,,53.3,-65.0,False,False,False,False,False,True,,False,True,False,False,,False,False,True,False,False,False,False,True,False,False,False,False,False,,False,True,,False,False,False,True,,True,False,False,False,False,,False,False
Iowa,1164,1152.1,1232.0,1149.6,1153.0,1149.0,1139.0,1189.0,,1100.3,1064.0,1159.1,1150.6,,1120.2,1141.0,1125.0,1142.0,1169.4,1139.0,1136.0,1136.6,1148.5,,1093.4,1173.3,1182.0,,1177.2,1109.3,,1139.0,1287.0,1146.0,1137.6,,1128.0,1134.3,1149.1,1139.0,1161.0,,1141.9,1090.0,-11.9,68.0,-14.4,-11.0,-15.0,-25.0,25.0,,-63.7,-100.0,-4.9,-13.4,,-43.8,-23.0,-39.0,-22.0,5.4,-25.0,-28.0,-27.4,-15.5,,-70.6,9.3,18.0,,13.2,-54.7,,-25.0,123.0,-18.0,-26.4,,-36.0,-29.7,-14.9,-25.0,-3.0,,-22.1,-74.0,False,False,True,False,False,False,,False,False,True,False,,False,False,False,False,True,False,False,False,False,,False,True,False,,False,False,,False,False,False,False,,False,False,False,False,True,,False,False
Kansas,481,463.1,558.0,467.2,465.0,466.0,468.0,565.0,,529.5,484.0,469.2,483.4,,498.2,473.5,482.0,475.7,529.8,473.1,464.5,471.9,484.5,,483.2,474.0,488.0,,,458.9,,462.0,470.1,460.0,467.0,,468.0,458.1,489.0,469.0,463.0,,467.8,449.0,-17.9,77.0,-13.8,-16.0,-15.0,-13.0,84.0,,48.5,3.0,-11.8,2.4,,17.2,-7.5,1.0,-5.3,48.8,-7.9,-16.5,-9.1,3.5,,2.2,-7.0,7.0,,,-22.1,,-19.0,-10.9,-21.0,-14.0,,-13.0,-22.9,8.0,-12.0,-18.0,,-13.2,-32.0,False,True,True,True,True,False,,False,True,True,True,,True,True,True,True,False,True,True,True,True,,True,True,True,,,False,,False,True,False,True,,True,False,True,True,False,,True,False
Kentucky,993,987.1,1022.0,1001.0,997.0,996.0,964.0,983.0,,958.5,979.0,965.3,1004.7,,1009.4,943.7,948.0,979.0,991.2,972.1,919.4,969.1,945.9,980.0,1016.5,1001.2,956.0,,964.7,928.5,,964.0,1124.3,1089.0,995.8,,963.0,939.8,1025.1,985.0,987.0,,959.7,919.0,-5.9,29.0,8.0,4.0,3.0,-29.0,-10.0,,-34.5,-14.0,-27.7,11.7,,16.4,-49.3,-45.0,-14.0,-1.8,-20.9,-73.6,-23.9,-47.1,-13.0,23.5,8.2,-37.0,,-28.3,-64.5,,-29.0,131.3,96.0,2.8,,-30.0,-53.2,32.1,-8.0,-6.0,,-33.3,-74.0,False,False,True,True,False,False,,False,False,False,False,,False,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,,False,False,False,True,,False,False,False,False,False,,False,False
Louisiana,5035,5189.9,5229.0,5205.9,5155.0,5201.4,5081.0,4844.0,,4590.2,5079.0,5234.6,5067.0,,4865.8,5068.5,5021.0,5061.4,4860.1,4984.7,5080.8,5060.5,4968.3,,5129.8,5093.2,5139.0,,5359.6,5024.8,,5148.0,5195.2,5041.0,5175.2,,5048.0,,5290.1,4981.0,5208.0,,5095.1,4808.0,154.9,194.0,170.9,120.0,166.4,46.0,-191.0,,-444.8,44.0,199.6,32.0,,-169.2,33.5,-14.0,26.4,-174.9,-50.3,45.8,25.5,-66.7,,94.8,58.2,104.0,,324.6,-10.2,,113.0,160.2,6.0,140.2,,13.0,,255.1,-54.0,173.0,,60.1,-227.0,False,False,True,False,True,False,,False,True,False,True,,False,True,True,True,False,True,True,True,True,,True,True,True,,False,True,,True,False,True,True,,True,,False,True,False,,True,False
Maine,134,138.4,145.0,135.9,135.0,136.0,138.0,130.0,,130.9,133.0,138.7,136.9,,134.9,129.0,144.0,134.4,143.6,133.9,135.9,131.9,134.6,,149.5,138.6,131.0,,,141.1,,138.0,154.2,144.0,134.9,,138.0,138.3,137.7,133.0,155.0,,135.4,,4.4,11.0,1.9,1.0,2.0,4.0,-4.0,,-3.1,-1.0,4.7,2.9,,0.9,-5.0,10.0,0.4,9.6,-0.1,1.9,-2.1,0.6,,15.5,4.6,-3.0,,,7.1,,4.0,20.2,10.0,0.9,,4.0,4.3,3.7,-1.0,21.0,,1.4,,False,True,True,True,True,True,,True,True,False,True,,True,False,False,True,False,True,True,True,True,,False,False,True,,,False,,True,False,False,True,,True,True,True,True,False,,True,
Maryland,3796,3787.6,4041.0,3779.5,3781.0,3783.1,3785.0,3819.0,,3786.5,3779.0,3814.3,3800.1,,3886.7,3810.4,3758.0,3796.0,3789.2,3789.8,3765.9,3770.9,3749.4,,3757.2,3774.6,3739.0,,3827.4,3812.3,,3793.0,5139.5,3817.0,3777.1,,3784.0,,4011.0,3771.0,3867.5,,3797.2,3789.0,-8.4,245.0,-16.5,-15.0,-12.9,-11.0,23.0,,-9.5,-17.0,18.3,4.1,,90.7,14.4,-38.0,-0.0,-6.8,-6.2,-30.1,-25.1,-46.6,,-38.8,-21.4,-57.0,,31.4,16.3,,-3.0,1343.5,21.0,-18.9,,-12.0,,215.0,-25.0,71.5,,1.2,-7.0,False,False,False,False,False,False,,False,False,False,True,,False,False,False,True,True,True,False,False,False,,False,False,False,,False,False,,True,False,False,False,,False,,False,False,False,,True,True
Massachusetts,9116,9075.1,9324.0,9103.9,9091.0,9115.7,9092.0,8970.0,,8692.9,9087.0,9113.5,9116.3,,9013.1,9134.2,9121.0,9130.2,9031.1,9130.0,9012.8,9035.9,9185.6,,9056.4,9077.3,9031.0,,9124.1,8979.5,,9113.0,9272.0,9117.0,9078.9,,9054.0,,9042.5,9104.0,9161.0,,9091.9,8886.0,-40.9,208.0,-12.1,-25.0,-0.3,-24.0,-146.0,,-423.1,-29.0,-2.5,0.3,,-102.9,18.2,5.0,14.2,-84.9,14.0,-103.2,-80.1,69.6,,-59.6,-38.7,-85.0,,8.1,-136.5,,-3.0,156.0,1.0,-37.1,,-62.0,,-73.5,-12.0,45.0,,-24.1,-230.0,False,True,True,True,True,False,,False,True,True,True,,False,True,True,True,False,True,False,False,False,,False,True,False,,True,False,,True,False,True,True,,False,,False,True,False,,True,False
Michigan,6806,6783.4,7010.0,6798.3,6791.0,6794.3,6797.0,6780.0,,6742.9,6837.0,6806.5,6807.9,,6981.4,6803.6,6832.0,6794.5,6838.1,6802.3,6753.8,6788.2,6718.1,7115.0,6740.8,6796.7,6672.0,,6695.8,6767.9,,6790.0,7486.1,6819.0,6771.3,,6779.0,,7214.0,6806.0,6834.0,,6779.8,6692.0,-22.6,204.0,-7.7,-15.0,-11.7,-9.0,-26.0,,-63.1,31.0,0.5,1.9,,175.4,-2.4,26.0,-11.5,32.1,-3.7,-52.2,-17.8,-87.9,309.0,-65.2,-9.3,-134.0,,-110.2,-38.1,,-16.0,680.1,13.0,-34.7,,-27.0,,408.0,0.0,28.0,,-26.2,-114.0,False,True,True,True,True,False,,False,False,True,True,,False,True,False,True,False,True,False,True,False,False,False,True,False,,False,False,,True,False,True,False,,False,,False,True,False,,False,False
Minnesota,1903,1926.3,2051.0,2018.9,1931.0,2010.9,1925.0,1935.0,,1925.9,1865.0,1939.1,1902.6,,1959.3,1938.1,1870.0,1914.8,1900.2,1914.2,1897.8,1944.6,1900.4,1940.5,1890.7,1912.8,1868.0,,1952.4,1895.1,,1925.0,2097.8,1918.0,1985.9,,1904.0,1951.6,2032.8,1960.0,2053.0,,1920.3,1959.0,23.3,148.0,115.9,28.0,107.9,22.0,32.0,,22.9,-38.0,36.1,-0.4,,56.3,35.1,-33.0,11.8,-2.8,11.2,-5.2,41.6,-2.6,37.5,-12.3,9.8,-35.0,,49.4,-7.9,,22.0,194.8,15.0,82.9,,1.0,48.6,129.8,57.0,150.0,,17.3,56.0,False,False,False,False,True,False,,True,False,False,True,,False,False,False,True,True,True,True,False,True,False,True,True,False,,False,True,,True,False,True,False,,True,False,False,False,False,,True,False
