,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Montana,116,30.9,30.0,35.9,35.0,,23.9,20.6,33.3,-85.1,-86.0,-80.1,-81.0,,-92.1,-95.4,-82.7,False,True,True,,False,False,True
Nebraska,404,558.9,383.2,494.2,306.0,,343.6,266.9,585.4,154.9,-20.8,90.2,-98.0,,-60.4,-137.1,181.4,True,True,True,,True,True,False
Nevada,1388,747.6,753.6,754.0,674.0,,671.2,922.2,817.2,-640.4,-634.4,-634.0,-714.0,,-716.8,-465.8,-570.8,True,True,False,,False,True,True
New Hampshire,432,545.3,514.9,629.1,342.0,,518.9,445.1,609.4,113.3,82.9,197.1,-90.0,,86.9,13.1,177.4,True,False,True,,True,True,False
New Jersey,15985,15979.0,13502.1,13793.4,13936.0,,14092.3,13002.0,13827.1,1857.0,-619.9,-328.6,-186.0,,-29.7,-1120.0,-294.9,True,True,True,,True,True,True
New Mexico,800,838.1,726.8,794.4,542.0,,615.1,573.1,819.9,38.1,-73.2,-5.6,-258.0,,-184.9,-226.9,19.9,False,True,False,,False,False,True
New York,32987,34382.1,31798.1,31843.6,32338.0,,31925.5,32722.7,31984.9,2124.1,-459.9,-414.4,80.0,,-332.5,464.7,-273.1,True,True,True,,True,True,True
North Carolina,2889,2116.1,3129.1,1870.5,2435.0,,2313.7,2789.5,2481.9,-742.9,270.1,-988.5,-424.0,,-545.3,-69.5,-377.1,True,False,True,,True,True,True
North Dakota,155,109.6,101.6,91.1,99.0,,98.7,88.6,134.3,-45.4,-53.4,-63.9,-56.0,,-56.3,-66.4,-20.7,False,False,False,,False,False,True
Ohio,4256,4230.9,3514.0,3624.0,3216.0,,3426.6,3525.8,4562.6,-25.1,-742.0,-632.0,-1040.0,,-829.4,-730.2,306.6,False,False,False,,False,False,False
Oklahoma,850,477.6,523.6,513.2,1001.0,,431.5,907.6,575.6,-372.4,-326.4,-336.8,151.0,,-418.5,57.6,-274.4,True,True,True,,False,True,True
Oregon,480,318.3,319.3,629.4,264.0,,255.3,515.8,340.9,-159.7,-158.7,151.4,-214.0,,-222.7,37.8,-137.1,True,True,False,,False,True,True
Pennsylvania,7750,8681.3,8031.8,7609.8,6762.0,,7471.0,7493.0,7945.6,931.3,281.8,-140.2,-988.0,,-279.0,-257.0,195.6,True,True,False,,True,True,True
Rhode Island,1069,1556.3,1093.2,1119.1,1013.0,,1108.0,799.3,1297.0,501.3,38.2,64.1,-42.0,,53.0,-255.7,242.0,True,True,True,,True,True,True
South Carolina,2877,1228.4,2177.8,1104.9,1213.0,,1338.5,2898.4,1622.0,-1648.6,-699.2,-1772.1,-1664.0,,-1538.5,21.4,-1255.0,True,False,False,,True,True,True
South Dakota,173,146.1,133.8,167.5,97.0,,101.5,106.2,172.2,-26.9,-39.2,-5.5,-76.0,,-71.5,-66.8,-0.8,False,True,False,,False,False,True
Tennessee,1862,1090.6,1011.2,936.6,1461.0,,762.7,978.8,1239.8,-771.4,-850.8,-925.4,-401.0,,-1099.3,-883.2,-622.2,False,False,True,,False,False,True
Texas,13582,4438.4,5016.5,8943.8,6277.0,7366.0,3869.6,6636.6,5557.7,-8964.6,-8386.5,-4459.2,-7126.0,-6037.0,-9533.4,-6766.4,-7845.3,True,True,True,True,False,True,True
Utah,420,364.3,856.7,351.7,345.0,,232.3,443.4,431.8,-55.7,436.7,-68.3,-75.0,,-187.7,23.4,11.8,False,False,False,,False,True,True
Vermont,58,66.9,68.7,64.3,57.0,,64.3,52.2,67.6,8.9,10.7,6.3,-1.0,,6.3,-5.8,9.6,False,True,True,,True,True,False
Virginia,2677,2316.7,2147.1,1777.6,1899.0,,1867.1,1850.1,2335.3,-360.3,-529.9,-899.4,-778.0,,-809.9,-826.9,-341.7,False,False,False,,False,False,True
Washington,1953,1845.4,1705.2,1731.8,1495.0,,1382.1,1814.9,2031.0,-107.6,-247.8,-221.2,-458.0,,-570.9,-138.1,78.0,False,False,False,,False,False,True
West Virginia,246,99.9,113.8,109.8,89.0,,128.8,149.6,124.7,-146.1,-132.2,-136.2,-157.0,,-117.2,-96.4,-121.3,True,True,False,,True,True,True
Wisconsin,1218,1308.6,1089.4,1032.0,1029.0,,878.8,930.5,1396.5,126.6,-92.6,-150.0,-153.0,,-303.2,-251.5,214.5,True,False,False,,False,False,False
Wyoming,42,41.7,34.6,20.7,18.0,,21.7,42.0,51.5,-0.3,-7.4,-21.3,-24.0,,-20.3,0.0,9.5,False,False,False,,False,True,False
US,188609,165938.1,158441.3,164750.0,149999.0,138667.0,134892.5,162909.3,165666.8,-19806.9,-27303.7,-20995.0,-35746.0,-47078.0,-50852.5,-22835.7,-20078.2,False,False,False,False,False,False,False
