,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Illinois,8385,8316.3,,8414.3,7752.0,7965.7,8227.0,8806.0,8325.0,8106.8,8806.2,9361.0,7803.3,7998.0,,,8340.1,,10018.0,8444.0,8495.8,-68.7,,29.3,-633.0,-419.3,-158.0,421.0,-60.0,-278.2,421.2,976.0,-581.7,-387.0,,,-44.9,,1633.0,59.0,110.8,,True,False,False,False,False,True,False,False,False,False,False,,,True,,False,True,False
Indiana,3362,3324.7,,3371.7,3337.0,3437.0,3113.0,3476.2,3704.9,3220.1,3524.6,3092.0,3065.0,3211.0,,,3288.9,,4163.0,3429.0,3491.3,-37.3,,9.7,-25.0,75.0,-249.0,114.2,342.9,-141.9,162.6,-270.0,-297.0,-151.0,,,-73.1,,801.0,67.0,129.3,,True,True,False,False,False,False,False,False,False,False,False,,,False,,False,False,False
Iowa,1164,1116.0,,1116.9,975.0,1145.2,929.0,1311.0,1316.5,996.1,1018.9,,983.0,1353.0,,,1059.1,,1212.3,1063.0,1122.0,-48.0,,-47.1,-189.0,-18.8,-235.0,147.0,152.5,-167.9,-145.1,,-181.0,189.0,,,-104.9,,48.3,-101.0,-42.0,,True,False,True,False,False,False,False,False,,False,False,,,False,,False,False,True
Kansas,480,506.7,,569.8,406.0,450.5,528.0,735.1,511.0,404.0,454.0,,383.6,515.0,,,474.9,,513.1,479.0,512.7,26.7,,89.8,-74.0,-29.5,48.0,255.1,31.0,-76.0,-26.0,,-96.4,35.0,,,-5.1,,33.1,-1.0,32.7,,False,False,False,False,False,False,False,True,,False,False,,,True,,False,True,False
Kentucky,993,946.0,,1060.1,990.0,900.4,883.0,1449.9,1058.4,875.0,1058.5,1007.0,1040.4,1014.0,,,971.2,,1194.5,1048.0,1016.6,-47.0,,67.1,-3.0,-92.6,-110.0,456.9,65.4,-118.0,65.5,14.0,47.4,21.0,,,-21.8,,201.5,55.0,23.6,,False,True,False,False,False,False,False,False,True,False,True,,,True,,False,False,True
Louisiana,5035,5192.1,,4902.5,4944.0,4987.0,4843.0,4926.0,5994.2,5191.2,4196.0,,4160.7,6077.0,,,4856.4,,5948.0,4606.0,4935.9,157.1,,-132.5,-91.0,-48.0,-192.0,-109.0,959.2,156.2,-839.0,,-874.3,1042.0,,,-178.6,,913.0,-429.0,-99.1,,True,True,True,False,True,False,True,False,,False,False,,,False,,False,False,True
Maine,134,142.4,,131.4,127.0,133.5,157.0,167.3,136.7,132.6,140.1,,133.2,153.0,,,141.1,,146.4,136.0,144.4,8.4,,-2.6,-7.0,-0.5,23.0,33.3,2.7,-1.4,6.1,,-0.8,19.0,,,7.1,,12.4,2.0,10.4,,True,True,True,False,False,True,True,True,,True,False,,,True,,False,True,False
Maryland,3796,3879.3,,3955.0,3813.0,3757.8,3726.0,3959.0,3972.1,3760.5,3890.8,,3682.9,3603.0,,,3859.6,,4698.1,4046.0,4046.0,83.3,,159.0,17.0,-38.2,-70.0,163.0,176.1,-35.5,94.8,,-113.1,-193.0,,,63.6,,902.1,250.0,250.0,,False,True,True,True,False,False,True,False,,False,False,,,True,,False,False,False
Massachusetts,9116,9167.4,,8753.6,8670.0,9156.4,8814.0,9174.9,8769.3,9195.0,8524.9,,8702.9,8713.0,,,9138.1,,9768.4,9493.0,9208.3,51.4,,-362.4,-446.0,40.4,-302.0,58.9,-346.7,79.0,-591.1,,-413.1,-403.0,,,22.1,,652.4,377.0,92.3,,False,False,True,False,False,False,False,False,,False,False,,,True,,False,False,False
Michigan,6806,6733.9,,6801.2,6754.0,6623.9,6822.0,7474.0,6707.6,6629.7,7413.1,6828.0,6988.4,6499.0,,,6763.0,,8180.2,6675.0,6790.7,-72.1,,-4.8,-52.0,-182.1,16.0,668.0,-98.4,-176.3,607.1,22.0,182.4,-307.0,,,-43.0,,1374.2,-131.0,-15.3,,True,True,False,True,False,False,False,False,True,False,False,,,True,,False,False,True
Minnesota,1903,1848.3,,1997.1,1782.0,1832.5,1703.0,2116.0,1882.1,1799.0,1845.3,1806.0,1661.9,1682.0,,,1821.1,,2356.3,1863.0,1912.9,-54.7,,94.1,-121.0,-70.5,-200.0,213.0,-20.9,-104.0,-57.7,-97.0,-241.1,-221.0,,,-81.9,,453.3,-40.0,9.9,,False,False,False,False,False,True,False,False,False,False,False,,,False,,False,True,True
Mississippi,2569,2723.0,,2251.3,2545.0,2357.9,2111.0,2548.6,2206.3,2142.1,2218.0,,2184.3,2911.0,,,2685.1,,2694.3,2642.0,2763.4,154.0,,-317.7,-24.0,-211.1,-458.0,-20.4,-362.7,-426.9,-351.0,,-384.7,342.0,,,116.1,,125.3,73.0,194.4,,False,True,False,False,True,False,False,False,,False,False,,,True,,True,True,False
Missouri,1668,1601.4,,2025.4,1941.0,1668.7,1486.0,2098.3,1717.9,1427.9,1618.6,,1415.4,1943.0,,,1827.6,,2156.9,2123.0,1746.2,-66.6,,357.4,273.0,0.7,-182.0,430.3,49.9,-240.1,-49.4,,-252.6,275.0,,,159.6,,488.9,455.0,78.2,,False,False,True,False,False,True,False,True,,False,False,,,False,,False,False,False
Montana,116,133.9,,128.2,100.0,77.1,119.0,200.4,135.1,115.4,155.0,,220.8,350.0,,,110.7,,121.5,145.0,133.6,17.9,,12.2,-16.0,-38.9,3.0,84.4,19.1,-0.6,39.0,,104.8,234.0,,,-5.3,,5.5,29.0,17.6,,True,True,False,True,False,False,True,False,,False,False,,,True,,True,False,True
Nebraska,404,409.7,,465.2,359.0,520.9,377.0,594.8,421.6,383.0,402.6,,410.0,354.0,,,394.4,,455.8,409.0,425.7,5.7,,61.2,-45.0,116.9,-27.0,190.8,17.6,-21.0,-1.4,,6.0,-50.0,,,-9.6,,51.8,5.0,21.7,,False,False,False,False,False,False,False,True,,False,False,,,False,,False,True,False
Nevada,1388,1308.0,,1338.8,1248.0,1361.7,1340.0,1545.5,1353.3,1184.9,1088.3,,1315.7,2168.5,,,1201.5,,1435.0,1291.0,1277.2,-80.0,,-49.2,-140.0,-26.3,-48.0,157.5,-34.7,-203.1,-299.7,,-72.3,780.5,,,-186.5,,47.0,-97.0,-110.8,,True,False,True,True,False,True,False,False,,True,False,,,False,,True,False,False
New Hampshire,432,455.9,,428.9,433.0,445.3,425.0,481.4,438.0,457.3,456.0,,501.8,429.0,,,450.6,,494.4,466.0,483.7,23.9,,-3.1,1.0,13.3,-7.0,49.4,6.0,25.3,24.0,,69.8,-3.0,,,18.6,,62.4,34.0,51.7,,True,True,True,True,False,True,False,False,,False,True,,,True,,False,False,False
New Jersey,15985,16074.0,,15914.4,16036.0,16470.3,16141.0,16246.1,16346.3,16787.9,16033.6,,16269.7,15833.0,,,16071.8,,17130.9,16734.0,16293.5,89.0,,-70.6,51.0,485.3,156.0,261.1,361.3,802.9,48.6,,284.7,-152.0,,,86.8,,1145.9,749.0,308.5,,True,True,False,False,False,False,False,True,,False,False,,,True,,False,False,False
New Mexico,800,848.3,,790.2,794.0,775.2,898.0,1026.9,825.5,746.6,811.0,,696.7,1034.0,,,837.2,,896.7,882.0,864.9,48.3,,-9.8,-6.0,-24.8,98.0,226.9,25.5,-53.4,11.0,,-103.3,234.0,,,37.2,,96.7,82.0,64.9,,True,True,True,False,False,True,False,True,,False,False,,,True,,False,False,False
New York,32987,33098.6,,32876.8,32742.0,33584.9,33084.0,33565.8,25437.6,33085.1,28496.5,,32439.1,32886.0,,,32908.8,,34565.1,33081.0,33073.5,98.6,,-123.2,-258.0,584.9,84.0,565.8,-7562.4,85.1,-4503.5,,-560.9,-114.0,,,-91.2,,1565.1,81.0,73.5,,False,False,False,True,False,False,True,False,,False,False,,,True,,False,True,True
North Carolina,2889,2789.3,,2840.0,3219.0,2661.3,2522.0,3986.0,3851.9,2431.5,2448.3,,2208.2,2447.0,,,2649.4,,2855.6,2793.0,2712.7,-99.7,,-49.0,330.0,-227.7,-367.0,1097.0,962.9,-457.5,-440.7,,-680.8,-442.0,,,-239.6,,-33.4,-96.0,-176.3,,True,False,False,False,False,False,False,False,,False,False,,,False,,True,True,False
North Dakota,155,134.1,,170.3,123.0,139.6,116.0,211.5,156.5,121.8,160.4,,118.0,233.0,,,123.9,,161.1,149.0,140.8,-20.9,,15.3,-32.0,-15.4,-39.0,56.5,1.5,-33.2,5.4,,-37.0,78.0,,,-31.1,,6.1,-6.0,-14.2,,True,False,True,False,False,True,False,True,,False,False,,,False,,True,True,True
Ohio,4256,4607.3,,4104.8,4359.0,4355.9,3961.0,5484.2,4475.7,4021.4,4395.2,3679.5,3683.0,5096.5,,,4472.8,,5129.3,4512.0,4347.9,351.3,,-151.2,103.0,99.9,-295.0,1228.2,219.7,-234.6,139.2,-576.5,-573.0,840.5,,,216.8,,873.3,256.0,91.9,,True,True,True,True,False,True,True,True,False,False,False,,,True,,False,True,True
Oklahoma,850,812.3,,964.0,887.0,793.8,797.0,1315.0,1012.8,678.3,740.6,,581.8,1513.5,,,743.8,,945.5,984.0,810.2,-37.7,,114.0,37.0,-56.2,-53.0,465.0,162.8,-171.7,-109.4,,-268.2,663.5,,,-106.2,,95.5,134.0,-39.8,,False,True,False,False,False,False,False,False,,False,False,,,False,,False,False,False
Oregon,480,505.7,,476.2,486.0,439.7,433.0,866.6,525.9,441.4,637.8,,498.3,628.0,,,482.8,,516.5,533.0,554.1,25.7,,-3.8,6.0,-40.3,-47.0,386.6,45.9,-38.6,157.8,,18.3,148.0,,,2.8,,36.5,53.0,74.1,,True,True,False,False,False,False,False,False,,True,False,,,True,,False,False,False
Pennsylvania,7750,7689.3,,7658.3,7438.0,7742.3,7499.0,8386.2,7697.8,7487.4,7859.1,,7510.6,7517.0,,,7642.6,,8926.9,7748.0,7707.7,-60.7,,-91.7,-312.0,-7.7,-251.0,636.2,-52.2,-262.6,109.1,,-239.4,-233.0,,,-107.4,,1176.9,-2.0,-42.3,,False,False,True,False,False,True,False,False,,False,False,,,False,,False,True,True
Rhode Island,1069,1031.3,,1049.6,1028.0,1031.5,1089.0,1011.9,1092.3,1050.8,1031.6,,1040.8,1024.0,,,1037.6,,1136.0,1038.0,1054.8,-24.7,,-6.4,-28.0,-24.5,33.0,-44.1,36.3,-5.2,-24.4,,-15.2,-32.0,,,-18.4,,80.0,-18.0,-1.2,,True,False,True,False,False,False,True,True,,True,False,,,True,,False,True,True
South Carolina,2877,3166.1,,2402.8,2733.0,2876.1,2520.0,3109.1,3423.0,2727.0,2409.5,,3190.1,6218.0,,,2568.3,,2732.4,2942.0,3068.6,289.1,,-474.2,-144.0,-0.9,-357.0,232.1,546.0,-150.0,-467.5,,313.1,3341.0,,,-308.7,,-144.6,65.0,191.6,,False,True,True,False,True,False,True,False,,False,False,,,False,,True,True,True
South Dakota,173,193.3,,165.3,158.0,161.8,174.0,203.1,191.5,171.4,176.6,,189.3,166.0,,,204.9,,176.1,161.0,176.3,20.3,,-7.7,-15.0,-11.2,1.0,30.1,18.5,-1.6,3.6,,16.3,-7.0,,,31.9,,3.1,-12.0,3.3,,True,True,True,True,False,True,True,True,,True,True,,,False,,True,True,True
Tennessee,1862,1587.9,,2120.8,1819.0,1652.4,1573.0,2399.6,2305.7,1364.0,1714.4,,1625.3,2153.5,,,1453.2,,1747.4,1730.0,1637.7,-274.1,,258.8,-43.0,-209.6,-289.0,537.6,443.7,-498.0,-147.6,,-236.7,291.5,,,-408.8,,-114.6,-132.0,-224.3,,True,True,True,False,False,False,False,True,,True,False,,,False,,True,True,True
Texas,13576,15630.6,,10646.2,11314.0,12224.6,14746.0,12651.0,13366.0,9178.2,8715.7,,11938.6,36899.5,,11304.0,14923.2,,10649.9,12333.0,12563.2,2757.6,,-2226.8,-1559.0,-648.4,1873.0,-222.0,493.0,-3694.8,-4157.3,,-934.4,24026.5,,-1569.0,2050.2,,-2223.1,-540.0,-309.8,,True,True,True,True,True,True,False,False,,True,False,,True,True,,True,True,True
Utah,420,490.7,,516.7,460.0,402.7,432.0,782.2,488.2,392.6,403.8,,568.8,637.0,,,467.8,,412.9,447.0,512.4,70.7,,96.7,40.0,-17.3,12.0,362.2,68.2,-27.4,-16.2,,148.8,217.0,,,47.8,,-7.1,27.0,92.4,,False,True,True,True,False,True,True,True,,False,False,,,True,,True,True,False
Vermont,58,61.9,,59.4,57.0,56.5,57.0,72.5,60.3,57.8,59.3,,64.7,57.0,,,62.5,,64.0,57.0,62.0,3.9,,1.4,-1.0,-1.5,-1.0,14.5,2.3,-0.2,1.3,,6.7,-1.0,,,4.5,,6.0,-1.0,4.0,,True,True,True,True,False,True,True,True,,False,True,,,False,,False,True,False
Virginia,2677,2898.0,,2750.5,2408.0,2205.3,2384.0,3388.3,3276.7,2452.6,2529.0,,2402.1,2428.0,,,2948.0,,2982.8,2439.0,2904.2,221.0,,73.5,-269.0,-471.7,-293.0,711.3,599.7,-224.4,-148.0,,-274.9,-249.0,,,271.0,,305.8,-238.0,227.2,,True,False,False,False,False,False,False,True,,False,False,,,False,,False,False,False
Washington,1953,2057.4,,1999.8,2035.0,1764.9,1894.0,2410.8,2010.9,1804.3,2111.0,,1761.9,2121.0,,,2049.1,,2380.9,1993.0,2050.2,104.4,,46.8,82.0,-188.1,-59.0,457.8,57.9,-148.7,158.0,,-191.1,168.0,,,96.1,,427.9,40.0,97.2,,True,True,False,True,False,True,False,False,,False,False,,,True,,False,True,True
West Virginia,246,185.0,,177.9,163.0,117.1,136.0,271.4,162.6,137.6,149.6,,132.4,834.0,,,182.4,,199.0,181.0,169.4,-61.0,,-68.1,-83.0,-128.9,-110.0,25.4,-83.4,-108.4,-96.4,,-113.6,588.0,,,-63.6,,-47.0,-65.0,-76.6,,False,False,False,False,True,False,False,False,,False,False,,,False,,True,False,False
Wisconsin,1168,1220.0,,1376.7,1186.0,1319.6,1095.0,1887.5,1266.8,1103.7,1159.0,1228.0,971.8,1019.0,,,1169.6,,1482.0,1261.0,1265.1,52.0,,208.7,18.0,151.6,-73.0,719.5,98.8,-64.3,-9.0,60.0,-196.2,-149.0,,,1.6,,314.0,93.0,97.1,,False,True,False,False,False,False,False,True,False,False,False,,,True,,False,False,False
Wyoming,42,30.9,,47.0,38.0,33.3,31.0,84.3,52.3,31.1,38.6,,90.2,34.5,,,30.2,,39.6,27.0,31.6,-11.1,,5.0,-4.0,-8.7,-11.0,42.3,10.3,-10.9,-3.4,,48.2,-7.5,,,-11.8,,-2.4,-15.0,-10.4,,True,True,True,True,False,True,True,True,,False,True,,,False,,True,False,True
US,188552,193352.9,183393.0,184750.4,184267.0,186548.4,184210.0,204484.5,191334.7,175169.4,172249.2,,177261.7,240375.5,194320.3,237952.0,190803.5,179387.0,199887.4,193816.0,189600.3,5505.9,-4454.0,-3096.6,-3580.0,-1298.6,-3637.0,16637.5,3487.7,-12677.6,-15597.8,,-10585.3,52528.5,6473.3,50105.0,2956.5,-8460.0,12040.4,5969.0,1753.3,True,True,True,True,True,False,True,False,False,,False,False,False,False,True,False,False,False,True
