,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Michigan,6806,6722.6,,6779.6,6692.0,7149.8,6863.0,6766.8,7591.0,,6697.3,8143.4,7889.5,6988.4,-83.4,,-26.4,-114.0,343.8,57.0,-39.2,785.0,,-108.7,1337.4,1083.5,182.4,,True,False,False,True,True,False,,False,False,False,False
Minnesota,1903,1862.1,,1975.5,1709.0,1698.5,1962.0,1786.5,1888.9,,1815.2,1943.9,1740.9,2010.7,-40.9,,72.5,-194.0,-204.5,59.0,-116.5,-14.1,,-87.8,40.9,-162.1,107.7,,False,False,False,False,False,True,,False,False,False,False
Mississippi,2569,2081.9,,2237.6,1936.0,2381.8,1869.0,1862.5,2427.0,,1933.0,2041.1,2393.5,2114.9,-487.1,,-331.4,-633.0,-187.2,-700.0,-706.5,-142.0,,-636.0,-527.9,-175.5,-454.1,,True,False,True,False,False,True,,False,False,True,True
Missouri,1668,1437.7,,1668.3,1682.0,1471.0,1266.0,1423.7,1675.7,,1726.4,1918.2,2092.5,1574.9,-230.3,,0.3,14.0,-197.0,-402.0,-244.3,7.7,,58.4,250.2,424.5,-93.1,,True,True,True,False,False,True,,True,False,False,True
Montana,116,91.9,,140.9,80.0,97.1,74.0,85.6,123.6,,71.3,151.9,202.0,97.4,-24.1,,24.9,-36.0,-18.9,-42.0,-30.4,7.6,,-44.7,35.9,86.0,-18.6,,False,False,True,False,False,True,,False,False,False,True
Nebraska,404,410.7,,409.5,313.0,296.0,350.0,342.2,368.2,,370.3,651.2,396.3,401.2,6.7,,5.5,-91.0,-108.0,-54.0,-61.8,-35.8,,-33.7,247.2,-7.7,-2.8,,True,False,False,False,False,False,,False,False,False,True
Nevada,1388,1017.3,,1545.7,1295.0,1685.1,1073.0,1033.4,853.1,,939.9,3146.4,1218.2,1267.5,-370.7,,157.7,-93.0,297.1,-315.0,-354.6,-534.9,,-448.1,1758.4,-169.8,-120.5,,True,True,True,True,True,False,,False,False,True,True
New Hampshire,432,446.0,,448.4,431.0,438.0,401.0,453.2,462.6,,460.0,469.8,423.4,434.9,14.0,,16.4,-1.0,6.0,-31.0,21.2,30.6,,28.0,37.8,-8.6,2.9,,False,True,True,False,False,False,,False,False,True,True
New Jersey,15985,16947.1,,16290.9,16112.0,17447.7,16191.0,16191.8,16011.7,,16234.0,15983.6,16470.8,16461.9,962.1,,305.9,127.0,1462.7,206.0,206.8,26.7,,249.0,-1.4,485.8,476.9,,True,True,False,True,True,True,,True,True,True,True
New Mexico,800,749.3,,782.7,720.0,880.3,738.0,701.2,824.1,,746.0,731.4,802.9,859.6,-50.7,,-17.3,-80.0,80.3,-62.0,-98.8,24.1,,-54.0,-68.6,2.9,59.6,,True,False,False,False,False,True,,False,False,True,False
New York,32987,33489.3,,32758.5,32632.0,34112.8,33328.0,33156.5,28309.4,,33062.5,33785.2,33422.7,33190.8,523.3,,-207.5,-334.0,1146.8,362.0,190.5,-4656.6,,96.5,819.2,456.7,224.8,,True,True,False,True,True,False,,True,False,True,True
North Carolina,2889,2543.4,,2829.6,4292.0,2050.6,2206.0,2114.3,2138.3,,2511.5,6742.6,3190.1,2525.0,-345.6,,-59.4,1403.0,-838.4,-683.0,-774.7,-750.7,,-377.5,3853.6,301.1,-364.0,,True,False,False,False,False,False,,False,False,True,False
North Dakota,155,126.3,,152.0,99.0,184.6,100.0,123.6,139.9,,134.8,258.5,240.5,127.2,-28.7,,-3.0,-56.0,29.6,-55.0,-31.4,-15.1,,-20.2,103.5,85.5,-27.8,,True,False,False,False,False,True,,True,False,False,True
Ohio,4256,3969.4,,4299.9,4197.0,3946.7,3547.0,3648.3,4389.8,,4026.6,4224.9,5025.7,4535.8,-286.6,,43.9,-59.0,-309.3,-709.0,-607.7,133.8,,-229.4,-31.1,769.7,279.8,,True,True,False,False,False,True,,True,True,False,True
Oklahoma,850,649.9,,952.1,819.0,677.9,749.0,532.4,616.0,,583.4,1204.7,933.2,680.8,-200.1,,102.1,-31.0,-172.1,-101.0,-317.6,-234.0,,-266.6,354.7,83.2,-169.2,,True,True,True,True,False,False,,False,False,True,True
Oregon,480,438.3,,471.7,463.0,400.8,350.0,382.0,659.8,,366.5,1087.3,532.3,497.8,-41.7,,-8.3,-17.0,-79.2,-130.0,-98.0,179.8,,-113.5,607.3,52.3,17.8,,True,True,False,False,False,False,,False,False,False,True
Pennsylvania,7750,7831.1,,7754.8,7534.0,7824.2,7409.0,7546.6,8081.5,,7711.2,8327.5,7795.8,7976.1,81.1,,4.8,-216.0,74.2,-341.0,-203.4,331.5,,-38.8,577.5,45.8,226.1,,True,False,True,False,False,False,,True,False,True,False
Rhode Island,1069,1086.0,,1105.7,1037.0,1025.2,1153.0,1096.0,1032.4,,1068.0,1119.3,1034.2,1071.0,18.0,,37.7,-31.0,-42.8,85.0,28.0,-35.6,,-0.0,51.3,-33.8,3.0,,False,False,False,False,False,False,,True,False,False,True
South Carolina,2877,2485.3,,2486.8,2107.0,2624.1,1740.0,2288.6,1301.3,,2093.7,4275.4,2349.5,2358.3,-391.7,,-390.2,-770.0,-252.9,-1137.0,-588.4,-1575.7,,-783.3,1398.4,-527.5,-518.7,,True,False,True,False,False,False,,False,False,False,False
South Dakota,173,179.7,,138.5,141.0,176.5,180.0,156.5,166.5,,221.2,261.4,225.8,164.9,6.7,,-34.5,-32.0,3.5,7.0,-16.5,-6.5,,48.2,88.4,52.8,-8.1,,False,False,True,False,False,True,,False,False,False,False
Tennessee,1862,1542.4,,2252.0,1938.0,1537.0,1396.0,1298.5,1926.3,,1396.8,3038.8,1832.8,1641.1,-319.6,,390.0,76.0,-325.0,-466.0,-563.5,64.3,,-465.2,1176.8,-29.2,-220.9,,False,True,False,False,False,True,,False,False,True,True
Texas,13681,9470.3,,11206.1,9997.0,13688.4,11290.0,7196.2,4806.4,16148.0,8142.6,18308.2,12079.4,9672.7,-3411.7,,-1675.9,-2885.0,806.4,-1592.0,-5685.8,-8075.6,3266.0,-4739.4,5426.2,-802.6,-3209.3,,True,True,True,True,False,False,True,False,False,True,True
Utah,420,435.0,,635.9,553.0,626.6,377.0,392.8,307.0,,419.6,879.7,465.4,496.7,15.0,,215.9,133.0,206.6,-43.0,-27.2,-113.0,,-0.4,459.7,45.4,76.7,,False,False,False,False,False,False,,True,False,False,False
Vermont,58,56.0,,60.6,56.0,56.5,56.0,59.4,59.5,,56.8,70.3,56.0,63.1,-2.0,,2.6,-2.0,-1.5,-2.0,1.4,1.5,,-1.2,12.3,-2.0,5.1,,False,False,True,False,True,True,,True,False,True,False
Virginia,2677,2445.3,,2467.8,2265.0,2987.9,2212.0,2492.6,2674.7,,2385.1,3491.1,2335.0,2616.4,-231.7,,-209.2,-412.0,310.9,-465.0,-184.4,-2.3,,-291.9,814.1,-342.0,-60.6,,True,False,False,False,True,True,,False,False,False,True
Washington,1942,1508.7,,1973.0,1901.0,2001.8,1680.0,1692.2,2395.5,,1603.3,2184.0,2178.4,1782.4,-423.3,,41.0,-31.0,69.8,-252.0,-239.8,463.5,,-328.7,252.0,246.4,-149.6,,True,True,True,True,True,False,,True,True,True,True
West Virginia,246,127.4,,221.5,174.0,111.2,112.0,118.2,143.2,,122.8,205.9,190.1,124.5,-118.6,,-24.5,-72.0,-134.8,-134.0,-127.8,-102.8,,-123.2,-40.1,-55.9,-121.5,,True,True,False,False,False,True,,False,True,True,False
Wisconsin,1218,1008.6,,1413.5,1070.0,931.5,934.0,988.8,1110.1,,1052.4,2834.7,1221.0,1160.8,-167.4,,237.5,-106.0,-244.5,-242.0,-187.2,-65.9,,-123.6,1658.7,45.0,-15.2,,False,True,False,False,False,True,,True,False,True,True
Wyoming,42,52.4,,53.2,39.0,21.5,27.0,31.3,41.9,,37.8,58.5,45.7,39.5,10.4,,11.2,-3.0,-20.5,-15.0,-10.7,-0.1,,-4.2,16.5,3.7,-2.5,,False,True,False,False,False,True,,True,False,True,True
US,188698,177075.7,179174.0,186055.2,182236.0,184499.3,171802.0,163323.1,161210.7,174032.0,173075.4,239944.7,177809.6,181733.4,-10749.3,-8651.0,-1769.8,-5589.0,-3325.7,-16023.0,-24501.9,-26614.3,-13793.0,-14749.6,52119.7,-10015.4,-6091.6,True,True,True,True,False,False,False,False,False,False,True,True
