,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IUPUI-HkPrMobiDyR,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IUPUI-HkPrMobiDyR,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IUPUI-HkPrMobiDyR,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Georgia,20440,20939.0,18361.1,21351.8,17019.0,17171.0,16621.0,,20960.5,13866.0,17039.5,,18100.8,14193.4,,16449.5,20617.8,15948.0,13328.0,20303.0,18936.3,8156.0,15854.4,12951.5,17416.8,16001.5,20994.1,15913.2,17164.0,19482.0,,13656.1,20014.0,26207.3,,22459.6,17111.2,30153.1,20222.0,19265.4,,499.0,-2078.9,911.8,-3421.0,-3269.0,-3819.0,,520.5,-6574.0,-3400.5,,-2339.2,-6246.6,,-3990.5,177.8,-4492.0,-7112.0,-137.0,-1503.7,-12284.0,-4585.6,-7488.5,-3023.2,-4438.5,554.1,-4526.8,-3276.0,-958.0,,-6783.9,-426.0,5767.3,,2019.6,-3328.8,9713.1,-218.0,-1174.6,,False,False,False,False,False,,False,False,False,,False,False,,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,,False,True,False,,False,False,False,True,False,
Hawaii,408,282.0,660.9,282.7,275.0,343.0,210.0,,284.9,204.0,303.0,,139.0,623.6,,227.8,324.7,,259.4,290.0,792.9,214.0,274.1,237.0,274.7,252.5,248.6,365.2,207.0,549.0,,197.2,227.0,974.7,,390.1,245.2,527.0,277.0,194.6,,-126.0,252.9,-125.3,-133.0,-65.0,-198.0,,-123.1,-204.0,-105.0,,-269.0,215.6,,-180.2,-83.3,,-148.6,-118.0,384.9,-194.0,-133.9,-171.0,-133.3,-155.5,-159.4,-42.8,-201.0,141.0,,-210.8,-181.0,566.7,,-17.9,-162.8,119.0,-131.0,-213.4,,False,True,False,True,False,,True,False,True,,False,False,,False,True,,False,True,False,False,False,False,False,False,False,True,False,False,,False,False,False,,True,False,True,False,False,
Idaho,1990,1667.0,1254.5,1666.3,1459.0,1664.0,1332.0,,1628.1,1098.0,5132.5,,1474.0,186.5,,1432.9,1732.5,2027.0,1403.2,1605.0,2094.3,1469.5,1305.1,757.0,1296.0,875.2,1647.8,1453.0,1453.0,2257.0,,1254.8,1419.0,1609.4,,1627.9,1430.5,2667.0,1540.0,1450.8,,-323.0,-735.5,-323.7,-531.0,-326.0,-658.0,,-361.9,-892.0,3142.5,,-516.0,-1803.5,,-557.1,-257.5,37.0,-586.8,-385.0,104.3,-520.5,-684.9,-1233.0,-694.0,-1114.8,-342.2,-537.0,-537.0,267.0,,-735.2,-571.0,-380.6,,-362.1,-559.5,677.0,-450.0,-539.2,,False,False,False,False,False,,False,False,False,,False,False,,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,,False,False,False,,False,False,False,False,False,
Illinois,12631,12213.0,10835.7,11997.5,10896.0,12369.0,10508.0,,12436.5,10408.0,12140.1,,8588.0,12351.8,,10358.4,12279.6,12782.0,8961.4,10033.0,15796.3,5495.0,9182.3,8469.5,10977.1,24260.8,11592.3,10663.8,9889.0,12937.0,,9934.1,10139.0,19224.9,,11640.2,11214.7,21345.7,11555.0,11379.5,,-418.0,-1795.3,-633.5,-1735.0,-262.0,-2123.0,,-194.5,-2223.0,-490.9,,-4043.0,-279.2,,-2272.6,-351.4,151.0,-3669.6,-2598.0,3165.3,-7136.0,-3448.7,-4161.5,-1653.9,11629.8,-1038.7,-1967.2,-2742.0,306.0,,-2696.9,-2492.0,6593.9,,-990.8,-1416.3,8714.7,-1076.0,-1251.5,,False,False,False,True,False,,True,False,False,,False,True,,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,,False,False,False,False,False,
Indiana,6282,7003.0,7515.7,7063.9,6166.0,7344.0,6059.0,,7358.8,7387.0,6639.1,,4187.4,6923.4,,5594.3,6836.8,7988.0,4684.2,5483.0,8014.4,3135.5,5248.7,4507.5,5996.2,4807.3,6273.2,5858.8,5443.0,8596.0,,8137.8,5742.0,3943.3,,10106.5,6821.4,13355.7,6460.0,5039.9,,721.0,1233.7,781.9,-116.0,1062.0,-223.0,,1076.8,1105.0,357.1,,-2094.6,641.4,,-687.7,554.8,1706.0,-1597.8,-799.0,1732.4,-3146.5,-1033.3,-1774.5,-285.8,-1474.7,-8.8,-423.2,-839.0,2314.0,,1855.8,-540.0,-2338.7,,3824.5,539.4,7073.7,178.0,-1242.1,,False,False,True,False,True,,False,False,True,,False,True,,True,True,False,False,False,False,False,False,False,True,False,True,True,False,False,,False,True,False,,False,True,False,True,False,
Iowa,4100,30305.0,2904.5,4759.5,5721.0,8728.0,2682.0,,6465.6,2947.0,6577.4,,8707.3,0.0,,2837.7,34257.2,5229.0,2676.3,3241.0,8686.5,10781.5,2952.1,1099.5,9052.3,,3251.6,13741.9,11469.0,16117.0,,7174.0,,382.4,,27091.6,18488.3,20361.0,5148.0,26090.0,,26205.0,-1195.5,659.5,1621.0,4628.0,-1418.0,,2365.6,-1153.0,2477.4,,4607.3,-4100.0,,-1262.3,30157.2,1129.0,-1423.7,-859.0,4586.5,6681.5,-1147.9,-3000.5,4952.3,,-848.4,9641.9,7369.0,12017.0,,3074.0,,-3717.6,,22991.6,14388.3,16261.0,1048.0,21990.0,,True,True,True,True,True,,True,True,True,,True,True,,True,False,True,True,True,True,True,True,True,True,,True,True,True,True,,True,,True,,True,True,True,True,True,
Kansas,2782,4740.0,3675.1,4832.3,3896.0,3921.0,3975.0,,4348.9,1076.0,4084.4,,3349.8,0.0,,4570.9,4326.7,4565.0,2178.7,4683.0,4534.0,1982.5,3229.4,1867.0,2824.3,2097.6,4142.1,3677.9,3876.0,5413.0,,3649.1,4736.0,1686.2,,4516.0,3948.7,,4371.0,4325.3,,1958.0,893.1,2050.3,1114.0,1139.0,1193.0,,1566.9,-1706.0,1302.4,,567.8,-2782.0,,1788.9,1544.7,1783.0,-603.3,1901.0,1752.0,-799.5,447.4,-915.0,42.3,-684.4,1360.1,895.9,1094.0,2631.0,,867.1,1954.0,-1095.8,,1734.0,1166.7,,1589.0,1543.3,,True,False,True,True,True,,True,True,True,,True,False,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,,True,True,True,,True,True,,True,True,
Kentucky,7929,8928.0,7278.2,8988.7,7467.0,8027.0,6840.0,,8632.7,5374.0,34980.4,,5570.1,8172.0,,6720.9,8174.0,6642.0,8235.1,6608.0,8126.5,4100.5,7607.7,5626.5,7244.8,5100.1,7975.2,6733.1,6860.0,9537.0,,7623.3,8541.0,3604.6,,8576.4,7150.6,21247.9,7311.0,8983.3,,999.0,-650.8,1059.7,-462.0,98.0,-1089.0,,703.7,-2555.0,27051.4,,-2358.9,243.0,,-1208.1,245.0,-1287.0,306.1,-1321.0,197.5,-3828.5,-321.3,-2302.5,-684.2,-2828.9,46.2,-1195.9,-1069.0,1608.0,,-305.7,612.0,-4324.4,,647.4,-778.4,13318.9,-618.0,1054.3,,True,False,True,True,False,,True,False,False,,False,True,,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,,True,True,False,,True,True,False,True,False,
Louisiana,6305,3702.0,4667.8,8964.1,4432.0,5318.0,3129.0,,4683.5,4964.0,144358.9,,1002.3,26145.6,,3547.2,5189.1,4554.0,3470.7,1933.0,6775.9,1842.0,4722.9,4053.5,4310.0,2965.3,4773.2,4587.7,2707.0,5965.0,,3061.0,2842.0,10416.7,,5598.8,3593.5,9692.2,2607.0,3234.4,,-2603.0,-1637.2,2659.1,-1873.0,-987.0,-3176.0,,-1621.5,-1341.0,138053.9,,-5302.7,19840.6,,-2757.8,-1115.9,-1751.0,-2834.3,-4372.0,470.9,-4463.0,-1582.1,-2251.5,-1995.0,-3339.7,-1531.8,-1717.3,-3598.0,-340.0,,-3244.0,-3463.0,4111.7,,-706.2,-2711.5,3387.2,-3698.0,-3070.6,,True,False,True,True,False,,True,True,False,,False,False,,False,True,True,False,False,True,False,True,True,True,False,True,True,False,True,,False,False,False,,True,False,False,False,False,
Maine,1126,942.0,618.1,910.8,839.0,976.0,727.0,,894.4,552.0,1283.1,,474.6,1243.4,,713.4,951.8,996.0,828.3,716.0,1300.0,1159.0,808.8,652.0,866.0,656.8,1095.3,869.7,683.0,1019.0,,601.1,650.0,3006.5,,1308.8,682.8,1177.4,850.0,573.5,,-184.0,-507.9,-215.2,-287.0,-150.0,-399.0,,-231.6,-574.0,157.1,,-651.4,117.4,,-412.6,-174.2,-130.0,-297.7,-410.0,174.0,33.0,-317.2,-474.0,-260.0,-469.2,-30.7,-256.3,-443.0,-107.0,,-524.9,-476.0,1880.5,,182.8,-443.2,51.4,-276.0,-552.5,,False,False,False,True,False,,False,False,True,,False,True,,False,True,True,False,False,True,True,False,False,False,False,True,False,False,True,,False,False,False,,True,False,True,False,False,
Maryland,5535,5601.0,5210.2,8001.3,4737.0,5193.0,4667.0,,5853.2,5895.0,4816.0,,4027.3,4277.1,,4516.1,5297.7,6102.0,4853.3,4877.0,7029.0,2313.0,4401.3,3661.0,4504.0,5735.6,5842.0,4617.4,4384.0,2515.0,,4346.0,4759.0,9848.3,,5696.6,5006.3,2423.2,5305.0,4529.0,,66.0,-324.8,2466.3,-798.0,-342.0,-868.0,,318.2,360.0,-719.0,,-1507.7,-1257.9,,-1018.9,-237.3,567.0,-681.7,-658.0,1494.0,-3222.0,-1133.7,-1874.0,-1031.0,200.6,307.0,-917.6,-1151.0,-3020.0,,-1189.0,-776.0,4313.3,,161.6,-528.7,-3111.8,-230.0,-1006.0,,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,
Massachusetts,11916,11869.0,11670.4,11841.2,9786.0,8607.0,9867.0,,11742.1,8968.0,19264.7,,8637.0,12674.2,,9653.0,11194.3,11520.0,8909.6,11104.0,8399.2,4902.5,8618.6,7611.0,9705.5,8366.1,11036.6,9155.0,8831.0,9549.0,,10940.1,10251.0,16417.6,,9478.4,8718.0,9905.0,11425.0,8626.3,,-47.0,-245.6,-74.8,-2130.0,-3309.0,-2049.0,,-173.9,-2948.0,7348.7,,-3279.0,758.2,,-2263.0,-721.7,-396.0,-3006.4,-812.0,-3516.8,-7013.5,-3297.4,-4305.0,-2210.5,-3549.9,-879.4,-2761.0,-3085.0,-2367.0,,-975.9,-1665.0,4501.6,,-2437.6,-3198.0,-2011.0,-491.0,-3289.7,,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,
Michigan,9281,7313.0,5220.7,7270.1,6377.0,7730.0,6726.0,,6955.0,1557.0,72725.9,,5741.0,373.1,,5746.8,6510.1,7869.0,5122.5,6719.0,9599.0,2910.5,5888.4,5315.0,5925.6,1110.7,5902.3,6247.1,6028.0,7916.0,,6082.2,6741.0,2804.1,,8895.7,7153.4,8252.3,7216.0,7108.2,,-1968.0,-4060.3,-2010.9,-2904.0,-1551.0,-2555.0,,-2326.0,-7724.0,63444.9,,-3540.0,-8907.9,,-3534.2,-2770.9,-1412.0,-4158.5,-2562.0,318.0,-6370.5,-3392.6,-3966.0,-3355.4,-8170.3,-3378.7,-3033.9,-3253.0,-1365.0,,-3198.8,-2540.0,-6476.9,,-385.3,-2127.6,-1028.7,-2065.0,-2172.8,,False,False,False,True,False,,False,False,False,,False,False,,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,,False,False,False,,True,False,True,False,False,
Minnesota,5633,5366.0,2989.3,5412.0,5052.0,5290.0,4198.0,,5026.4,1712.0,6138.9,,5218.0,5398.3,,5078.5,5584.4,4831.0,4657.2,5552.0,6426.5,2192.5,4731.0,4709.5,5435.1,2678.3,4115.8,5271.1,4998.0,6335.0,,3797.5,5253.0,1798.1,,5582.8,4903.0,7129.0,5672.0,5165.8,,-267.0,-2643.7,-221.0,-581.0,-343.0,-1435.0,,-606.6,-3921.0,505.9,,-415.0,-234.7,,-554.5,-48.6,-802.0,-975.8,-81.0,793.5,-3440.5,-902.0,-923.5,-197.9,-2954.7,-1517.2,-361.9,-635.0,702.0,,-1835.5,-380.0,-3834.9,,-50.2,-730.0,1496.0,39.0,-467.2,,False,True,False,False,False,,False,False,False,,False,True,,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,,False,False,False,,True,False,False,True,False,
