,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01025,456,920.0,1293.0,,,,,,394.0,622.1,462.6,,926.0,,,439.5,,,464.0,837.0,,,,,,-62.0,166.1,6.6,,470.0,,,-16.5,,,False,,,,,,True,True,True,,False,,,True,,
01027,141,180.0,59.0,,,,,,243.0,59.7,133.8,,212.0,,,,,,39.0,-82.0,,,,,,102.0,-81.3,-7.2,,71.0,,,,,,False,,,,,,False,False,True,,False,,,,,
01029,160,215.0,43.0,,,,,,287.0,137.9,170.5,,222.0,,,,,,55.0,-117.0,,,,,,127.0,-22.1,10.5,,62.0,,,,,,False,,,,,,False,True,True,,False,,,,,
01031,632,1130.0,1090.0,,,,,,836.0,391.3,845.3,,743.0,,,612.5,,,498.0,458.0,,,,,,204.0,-240.7,213.3,,111.0,,,-19.5,,,True,,,,,,True,True,True,,True,,,True,,
01033,519,940.0,644.0,,,,,,1145.0,414.0,692.4,,580.0,,,475.4,,,421.0,125.0,,,,,,626.0,-105.0,173.4,,61.0,,,-43.6,,,True,,,,,,False,True,True,,True,,,True,,
01035,89,180.0,141.0,,,,,,163.0,98.8,128.6,,140.0,,,,,,91.0,52.0,,,,,,74.0,9.8,39.6,,51.0,,,,,,True,,,,,,True,True,True,,True,,,,,
01037,254,145.0,41.0,,,,,,145.0,23.5,90.3,,72.0,,,,,,-109.0,-213.0,,,,,,-109.0,-230.5,-163.7,,-182.0,,,,,,False,,,,,,False,False,False,,False,,,,,
01039,575,580.0,419.0,,,,,,604.0,132.3,474.1,,495.0,,,668.1,,,5.0,-156.0,,,,,,29.0,-442.7,-100.9,,-80.0,,,93.1,,,False,,,,,,False,False,False,,False,,,False,,
01041,206,255.0,61.0,,,,,,208.0,62.4,225.3,,195.0,,,,,,49.0,-145.0,,,,,,2.0,-143.6,19.3,,-11.0,,,,,,False,,,,,,True,False,True,,True,,,,,
01043,635,1290.0,1189.0,,,,,,1994.0,532.0,1045.7,,782.5,,,1495.3,,,655.0,554.0,,,,,,1359.0,-103.0,410.7,,147.5,,,860.3,,,True,,,,,,False,True,True,,True,,,False,,
01045,541,765.0,180.0,,,,,,807.0,486.0,662.5,,514.5,,,555.8,,,224.0,-361.0,,,,,,266.0,-55.0,121.5,,-26.5,,,14.8,,,False,,,,,,False,True,True,,True,,,True,,
01047,276,505.0,652.0,,,,,,502.0,646.8,365.3,,371.0,,,446.5,,,229.0,376.0,,,,,,226.0,370.8,89.3,,95.0,,,170.5,,,False,,,,,,True,False,True,,True,,,True,,
01049,570,1000.0,1203.0,,,,,,1657.0,610.0,827.1,,746.0,,,847.1,,,430.0,633.0,,,,,,1087.0,40.0,257.1,,176.0,,,277.1,,,False,,,,,,False,True,True,,True,,,True,,
01051,1188,2000.0,1377.0,,,,,,1295.0,647.1,1260.1,,1146.0,,,795.2,,,812.0,189.0,,,,,,107.0,-540.9,72.1,,-42.0,,,-392.8,,,True,,,,,,True,True,True,,True,,,True,,
01053,429,920.0,180.0,,,,,,625.0,539.1,561.4,,937.5,,,577.3,,,491.0,-249.0,,,,,,196.0,110.1,132.4,,508.5,,,148.3,,,True,,,,,,True,True,True,,False,,,True,,
01055,1093,1915.0,2549.0,,,,,,2257.0,1064.3,1508.8,,1205.0,,,1601.7,,,822.0,1456.0,,,,,,1164.0,-28.7,415.8,,112.0,,,508.7,,,False,,,,,,False,True,True,,True,,,True,,
01057,224,535.0,488.0,,,,,,368.0,342.8,308.7,,511.0,,,,,,311.0,264.0,,,,,,144.0,118.8,84.7,,287.0,,,,,,True,,,,,,True,True,True,,True,,,,,
01059,248,445.0,196.0,,,,,,803.0,162.0,443.5,,266.0,,,243.1,,,197.0,-52.0,,,,,,555.0,-86.0,195.5,,18.0,,,-4.9,,,True,,,,,,False,True,True,,True,,,True,,
01061,289,535.0,252.0,,,,,,438.0,202.1,374.5,,464.0,,,,,,246.0,-37.0,,,,,,149.0,-86.9,85.5,,175.0,,,,,,True,,,,,,True,True,True,,True,,,,,
01063,98,110.0,24.0,,,,,,116.0,30.0,84.2,,21.0,,,,,,12.0,-74.0,,,,,,18.0,-68.0,-13.8,,-77.0,,,,,,False,,,,,,False,False,False,,False,,,,,
01065,250,475.0,228.0,,,,,,259.0,107.3,283.4,,274.0,,,,,,225.0,-22.0,,,,,,9.0,-142.7,33.4,,24.0,,,,,,True,,,,,,True,True,True,,True,,,,,
01067,230,340.0,68.0,,,,,,245.0,188.1,236.5,,205.0,,,,,,110.0,-162.0,,,,,,15.0,-41.9,6.5,,-25.0,,,,,,False,,,,,,True,True,True,,True,,,,,
01069,1085,2160.0,1632.0,,,,,,1635.0,849.0,1430.8,,1568.0,,,1000.7,,,1075.0,547.0,,,,,,550.0,-236.0,345.8,,483.0,,,-84.3,,,True,,,,,,True,True,True,,True,,,True,,
01071,501,1015.0,1050.0,,,,,,1089.0,245.4,741.8,,623.5,,,745.9,,,514.0,549.0,,,,,,588.0,-255.6,240.8,,122.5,,,244.9,,,False,,,,,,False,True,True,,True,,,True,,
01073,6469,13410.0,9263.0,,,,,,11368.0,4445.9,11222.8,,9124.5,,,7081.0,5925.0,,6941.0,2794.0,,,,,,4899.0,-2023.1,4753.8,,2655.5,,,612.0,-544.0,,True,,,,,,True,True,True,,True,,,True,True,
01075,127,120.0,32.0,,,,,,267.0,46.1,126.6,,58.0,,,,,,-7.0,-95.0,,,,,,140.0,-80.9,-0.4,,-69.0,,,,,,False,,,,,,False,False,True,,False,,,,,
01077,747,1595.0,1118.0,,,,,,1796.0,679.9,1193.6,,1004.5,,,758.4,,,848.0,371.0,,,,,,1049.0,-67.1,446.6,,257.5,,,11.4,,,True,,,,,,False,True,True,,True,,,True,,
01079,293,540.0,286.0,,,,,,774.0,136.8,393.3,,313.0,,,274.7,,,247.0,-7.0,,,,,,481.0,-156.2,100.3,,20.0,,,-18.3,,,True,,,,,,False,True,True,,True,,,True,,
01081,1813,3720.0,1868.0,,,,,,2331.0,2595.4,2752.2,,3177.0,,,2387.8,1968.0,,1907.0,55.0,,,,,,518.0,782.4,939.2,,1364.0,,,574.8,155.0,,True,,,,,,True,True,True,,True,,,True,True,
01083,1033,1790.0,1121.0,,,,,,1777.0,755.4,1205.2,,1152.5,,,1790.5,,,757.0,88.0,,,,,,744.0,-277.6,172.2,,119.5,,,757.5,,,True,,,,,,True,True,True,,True,,,False,,
01085,161,265.0,165.0,,,,,,105.0,64.9,175.5,,222.0,,,,,,104.0,4.0,,,,,,-56.0,-96.1,14.5,,61.0,,,,,,True,,,,,,True,True,True,,True,,,,,
01087,198,380.0,484.0,,,,,,188.0,225.4,236.5,,319.0,,,,,,182.0,286.0,,,,,,-10.0,27.4,38.5,,121.0,,,,,,False,,,,,,True,True,True,,True,,,,,
01089,4197,6530.0,14026.0,,,,,,6529.0,2662.4,5590.8,,4620.5,,,4364.4,6229.0,,2333.0,9829.0,,,,,,2332.0,-1534.6,1393.8,,423.5,,,167.4,2032.0,,False,,,,,,True,True,True,,True,,,True,True,
01091,372,520.0,310.0,,,,,,356.0,94.7,289.1,,480.0,,,,,,148.0,-62.0,,,,,,-16.0,-277.3,-82.9,,108.0,,,,,,True,,,,,,True,False,True,,True,,,,,
01093,286,425.0,102.0,,,,,,599.0,277.9,344.5,,265.0,,,131.8,,,139.0,-184.0,,,,,,313.0,-8.1,58.5,,-21.0,,,-154.2,,,False,,,,,,False,True,True,,True,,,False,,
01095,830,1310.0,749.0,,,,,,2145.0,520.6,1173.9,,696.5,,,1078.4,,,480.0,-81.0,,,,,,1315.0,-309.4,343.9,,-133.5,,,248.4,,,True,,,,,,False,True,True,,True,,,True,,
01097,4609,6885.0,7353.0,,,,,,7228.0,1707.4,5810.5,,6299.5,,,5146.6,4419.0,,2276.0,2744.0,,,,,,2619.0,-2901.6,1201.5,,1690.5,,,537.6,-190.0,,False,,,,,,False,False,True,,True,,,True,True,
01099,142,350.0,84.0,,,,,,303.0,92.6,280.4,,283.0,,,,,,208.0,-58.0,,,,,,161.0,-49.4,138.4,,141.0,,,,,,True,,,,,,True,True,True,,True,,,,,
01101,2663,4985.0,11993.0,,,,,,3039.0,1782.9,3805.5,,4036.0,,,4599.7,3451.0,,2322.0,9330.0,,,,,,376.0,-880.1,1142.5,,1373.0,,,1936.7,788.0,,False,,,,,,True,True,True,,True,,,True,True,
01103,1047,2095.0,1914.0,,,,,,2572.0,783.9,1541.2,,1218.0,,,1201.3,,,1048.0,867.0,,,,,,1525.0,-263.1,494.2,,171.0,,,154.3,,,True,,,,,,False,True,True,,True,,,True,,
01105,95,150.0,77.0,,,,,,122.0,172.9,125.0,,100.0,,,,,,55.0,-18.0,,,,,,27.0,77.9,30.0,,5.0,,,,,,True,,,,,,True,False,True,,True,,,,,
01107,255,165.0,50.0,,,,,,389.0,66.1,227.9,,44.0,,,,,,-90.0,-205.0,,,,,,134.0,-188.9,-27.1,,-211.0,,,,,,False,,,,,,False,False,True,,False,,,,,
01109,309,740.0,176.0,,,,,,482.0,202.6,477.8,,570.0,,,480.2,,,431.0,-133.0,,,,,,173.0,-106.4,168.8,,261.0,,,171.2,,,True,,,,,,True,True,True,,True,,,True,,
01111,181,335.0,322.0,,,,,,353.0,148.5,240.2,,280.0,,,,,,154.0,141.0,,,,,,172.0,-32.5,59.2,,99.0,,,,,,True,,,,,,False,True,True,,True,,,,,
01113,497,1370.0,1705.0,,,,,,820.0,1825.0,871.6,,1689.5,,,1036.7,,,873.0,1208.0,,,,,,323.0,1328.0,374.6,,1192.5,,,539.7,,,False,,,,,,True,False,True,,False,,,True,,
01115,1005,1530.0,647.0,,,,,,1552.0,588.4,1174.2,,1199.0,,,732.9,,,525.0,-358.0,,,,,,547.0,-416.6,169.2,,194.0,,,-272.1,,,True,,,,,,False,True,True,,True,,,True,,
01117,2644,4135.0,7778.0,,,,,,3869.0,1627.8,2818.3,,2909.5,,,2436.8,2522.0,,1491.0,5134.0,,,,,,1225.0,-1016.2,174.3,,265.5,,,-207.2,-122.0,,False,,,,,,True,True,True,,True,,,True,True,
01119,79,85.0,0.0,,,,,,175.0,1.4,99.6,,19.0,,,,,,6.0,-79.0,,,,,,96.0,-77.6,20.6,,-60.0,,,,,,False,,,,,,False,False,False,,False,,,,,
01121,1066,1500.0,390.0,,,,,,1403.0,785.9,1086.3,,1373.0,,,1256.9,,,434.0,-676.0,,,,,,337.0,-280.1,20.3,,307.0,,,190.9,,,False,,,,,,True,True,True,,True,,,True,,
01123,491,2680.0,154.0,,,,,,561.0,60.2,1060.4,,171.0,,,1258.3,,,2189.0,-337.0,,,,,,70.0,-430.8,569.4,,-320.0,,,767.3,,,True,,,,,,True,True,True,,True,,,True,,
01125,2601,4200.0,3148.0,,,,,,3790.0,695.3,2772.4,,2231.5,,,3589.0,1915.0,,1599.0,547.0,,,,,,1189.0,-1905.7,171.4,,-369.5,,,988.0,-686.0,,True,,,,,,True,False,True,,True,,,True,True,
01127,486,740.0,119.0,,,,,,1372.0,154.1,719.4,,347.0,,,920.6,,,254.0,-367.0,,,,,,886.0,-331.9,233.4,,-139.0,,,434.6,,,False,,,,,,False,False,True,,True,,,False,,
01129,156,235.0,71.0,,,,,,319.0,76.9,165.5,,185.0,,,,,,79.0,-85.0,,,,,,163.0,-79.1,9.5,,29.0,,,,,,False,,,,,,False,False,True,,True,,,,,
01131,137,265.0,250.0,,,,,,113.0,143.7,178.3,,240.0,,,,,,128.0,113.0,,,,,,-24.0,6.7,41.3,,103.0,,,,,,True,,,,,,True,True,True,,True,,,,,
01133,137,390.0,162.0,,,,,,511.0,125.4,309.0,,174.0,,,131.3,,,253.0,25.0,,,,,,374.0,-11.6,172.0,,37.0,,,-5.7,,,True,,,,,,False,True,True,,True,,,True,,
02013,291,155.0,,,,,,,,2.7,95.5,,5.0,,,,,,-136.0,,,,,,,,-288.3,-195.5,,-286.0,,,,,,,,,,,,,False,False,,False,,,,,
02016,264,240.0,,,,,,,,362.4,209.6,,119.0,,,,,,-24.0,,,,,,,,98.4,-54.4,,-145.0,,,,,,,,,,,,,False,False,,False,,,,,
02020,1567,2255.0,1485.0,,,,,,,637.0,1964.3,,1188.0,,,3500.0,1229.0,,688.0,-82.0,,,,,,,-930.0,397.3,,-379.0,,,1933.0,-338.0,,True,,,,,,,False,True,,True,,,False,True,
02050,421,1040.0,0.0,,,,,,,250.3,405.5,,643.0,,,,,,619.0,-421.0,,,,,,,-170.7,-15.5,,222.0,,,,,,True,,,,,,,True,True,,True,,,,,
02060,0,0.0,0.0,,,,,,,0.1,0.0,,,,,,,,0.0,0.0,,,,,,,0.1,0.0,,,,,,,,True,,,,,,,False,True,,,,,,,
02068,9,5.0,0.0,,,,,,,4.5,6.8,,8.0,,,,,,-4.0,-9.0,,,,,,,-4.5,-2.2,,-1.0,,,,,,False,,,,,,,False,True,,True,,,,,
02070,41,65.0,,,,,,,,4.0,31.7,,12.0,,,,,,24.0,,,,,,,,-37.0,-9.3,,-29.0,,,,,,,,,,,,,False,True,,False,,,,,
02090,463,885.0,,,,,,,,390.1,594.1,,492.0,,,531.0,,,422.0,,,,,,,,-72.9,131.1,,29.0,,,68.0,,,,,,,,,,True,True,,True,,,True,,
02100,3,5.0,0.0,,,,,,,52.9,6.1,,0.0,,,,,,2.0,-3.0,,,,,,,49.9,3.1,,-3.0,,,,,,False,,,,,,,False,False,,False,,,,,
02105,0,0.0,0.0,,,,,,,0.2,0.0,,,,,,,,0.0,0.0,,,,,,,0.2,0.0,,,,,,,,True,,,,,,,False,True,,,,,,,
02110,118,160.0,37.0,,,,,,,120.9,85.4,,95.0,,,,,,42.0,-81.0,,,,,,,2.9,-32.6,,-23.0,,,,,,False,,,,,,,True,True,,True,,,,,
02122,121,280.0,275.0,,,,,,,112.6,231.4,,156.0,,,275.2,,,159.0,154.0,,,,,,,-8.4,110.4,,35.0,,,154.2,,,True,,,,,,,True,True,,True,,,True,,
02130,89,25.0,1.0,,,,,,,6.8,35.0,,20.0,,,,,,-64.0,-88.0,,,,,,,-82.2,-54.0,,-69.0,,,,,,False,,,,,,,False,True,,False,,,,,
02150,34,120.0,,,,,,,,53.2,110.2,,65.0,,,,,,86.0,,,,,,,,19.2,76.2,,31.0,,,,,,,,,,,,,True,True,,True,,,,,
02158,124,505.0,,,,,,,,224.2,219.9,,571.0,,,,,,381.0,,,,,,,,100.2,95.9,,447.0,,,,,,,,,,,,,True,True,,False,,,,,
02164,12,35.0,,,,,,,,110.8,16.9,,14.0,,,,,,23.0,,,,,,,,98.8,4.9,,2.0,,,,,,,,,,,,,False,True,,True,,,,,
02170,1236,1075.0,901.0,,,,,,,346.4,713.2,,705.0,,,1802.7,,,-161.0,-335.0,,,,,,,-889.6,-522.8,,-531.0,,,566.7,,,False,,,,,,,False,False,,False,,,False,,
02180,21,55.0,,,,,,,,178.2,28.6,,10.0,,,,,,34.0,,,,,,,,157.2,7.6,,-11.0,,,,,,,,,,,,,False,True,,True,,,,,
02185,34,95.0,0.0,,,,,,,404.4,155.6,,8.0,,,,,,61.0,-34.0,,,,,,,370.4,121.6,,-26.0,,,,,,True,,,,,,,False,False,,True,,,,,
02188,31,210.0,,,,,,,,43.4,152.4,,142.0,,,,,,179.0,,,,,,,,12.4,121.4,,111.0,,,,,,,,,,,,,True,True,,True,,,,,
02195,38,5.0,2.0,,,,,,,18.6,17.2,,14.0,,,,,,-33.0,-36.0,,,,,,,-19.4,-20.8,,-24.0,,,,,,False,,,,,,,True,True,,True,,,,,
02198,3,0.0,0.0,,,,,,,0.3,4.8,,5.0,,,,,,-3.0,-3.0,,,,,,,-2.7,1.8,,2.0,,,,,,False,,,,,,,True,True,,True,,,,,
02220,18,40.0,0.0,,,,,,,89.3,28.4,,5.0,,,,,,22.0,-18.0,,,,,,,71.3,10.4,,-13.0,,,,,,True,,,,,,,False,True,,True,,,,,
02230,4,0.0,0.0,,,,,,,0.0,3.5,,0.0,,,,,,-4.0,-4.0,,,,,,,-4.0,-0.5,,-4.0,,,,,,False,,,,,,,True,True,,False,,,,,
02240,29,60.0,,,,,,,,22.1,13.7,,36.0,,,,,,31.0,,,,,,,,-6.9,-15.3,,7.0,,,,,,,,,,,,,True,True,,True,,,,,
02261,50,60.0,,,,,,,,45.6,62.9,,26.0,,,,,,10.0,,,,,,,,-4.4,12.9,,-24.0,,,,,,,,,,,,,True,False,,False,,,,,
02275,3,5.0,0.0,,,,,,,730.5,12.0,,0.0,,,,,,2.0,-3.0,,,,,,,727.5,9.0,,-3.0,,,,,,False,,,,,,,False,False,,False,,,,,
02282,4,15.0,0.0,,,,,,,0.9,6.2,,10.0,,,,,,11.0,-4.0,,,,,,,-3.1,2.2,,6.0,,,,,,True,,,,,,,True,True,,True,,,,,
02290,76,45.0,,,,,,,,20.6,39.4,,11.0,,,,,,-31.0,,,,,,,,-55.4,-36.6,,-65.0,,,,,,,,,,,,,False,False,,False,,,,,
04001,1544,1655.0,1840.0,,,,,,1991.0,504.7,1270.7,,1535.5,,,816.9,,,111.0,296.0,,,,,,447.0,-1039.3,-273.3,,-8.5,,,-727.1,,,False,,,,,,False,False,False,,True,,,False,,
04003,1109,2730.0,2053.0,,,,,,2447.0,664.8,2190.0,,1402.5,,,2348.1,,,1621.0,944.0,,,,,,1338.0,-444.2,1081.0,,293.5,,,1239.1,,,True,,,,,,True,True,True,,True,,,True,,
04005,1881,4125.0,4203.0,,,,,,2482.0,2497.4,3000.3,,2715.0,,,2351.0,2768.0,,2244.0,2322.0,,,,,,601.0,616.4,1119.3,,834.0,,,470.0,887.0,,False,,,,,,True,True,True,,True,,,True,True,
04007,690,1855.0,1541.0,,,,,,1614.0,520.0,1078.4,,1656.0,,,960.1,,,1165.0,851.0,,,,,,924.0,-170.0,388.4,,966.0,,,270.1,,,True,,,,,,True,True,True,,True,,,True,,
04009,521,2315.0,2039.0,,,,,,1041.0,307.0,1172.6,,1143.0,,,1089.9,,,1794.0,1518.0,,,,,,520.0,-214.0,651.6,,622.0,,,568.9,,,True,,,,,,True,True,True,,True,,,True,,
04011,50,145.0,,,,,,,300.0,25.1,86.5,,70.0,,,,,,95.0,,,,,,,250.0,-24.9,36.5,,20.0,,,,,,,,,,,,False,True,True,,True,,,,,
04012,260,725.0,574.0,,,,,,873.0,202.7,459.1,,490.0,,,,,,465.0,314.0,,,,,,613.0,-57.3,199.1,,230.0,,,,,,True,,,,,,False,True,True,,True,,,,,
04013,65252,155745.0,281328.0,,,,,,138376.0,65317.6,129975.5,,111827.0,,,75398.9,91625.0,,90493.0,216076.0,,,,,,73124.0,65.6,64723.5,,46575.0,,,10146.9,26373.0,,False,,,,,,True,True,True,,True,,,True,True,
04015,3035,7395.0,5857.0,,,,,,3014.0,1518.7,4472.7,,4333.5,,,2441.9,5151.0,,4360.0,2822.0,,,,,,-21.0,-1516.3,1437.7,,1298.5,,,-593.1,2116.0,,True,,,,,,True,True,True,,True,,,True,True,
04017,1707,3520.0,1510.0,,,,,,3176.0,3279.2,2238.9,,2407.0,,,2040.2,,,1813.0,-197.0,,,,,,1469.0,1572.2,531.9,,700.0,,,333.2,,,True,,,,,,True,True,True,,True,,,True,,
04019,13600,34210.0,57841.0,,,,,,29156.0,17515.7,25213.6,,27012.0,,,28508.6,19374.0,,20610.0,44241.0,,,,,,15556.0,3915.7,11613.6,,13412.0,,,14908.6,5774.0,,False,,,,,,True,True,True,,True,,,True,True,
04021,6664,14570.0,9886.0,,,,,,13201.0,5153.0,11089.5,,15445.0,,,10405.6,9131.0,,7906.0,3222.0,,,,,,6537.0,-1511.0,4425.5,,8781.0,,,3741.6,2467.0,,True,,,,,,True,True,True,,False,,,True,True,
04023,381,1275.0,567.0,,,,,,1951.0,468.8,849.2,,890.0,,,688.0,,,894.0,186.0,,,,,,1570.0,87.8,468.2,,509.0,,,307.0,,,True,,,,,,False,True,True,,True,,,True,,
04025,1447,4995.0,2871.0,,,,,,3860.0,2189.8,4311.4,,3661.0,,,1917.0,2147.0,,3548.0,1424.0,,,,,,2413.0,742.8,2864.4,,2214.0,,,470.0,700.0,,True,,,,,,True,True,True,,True,,,True,True,
04027,2271,7020.0,1360.0,,,,,,7422.0,2201.4,5066.7,,3336.0,,,2745.1,2752.0,,4749.0,-911.0,,,,,,5151.0,-69.6,2795.7,,1065.0,,,474.1,481.0,,True,,,,,,False,True,True,,True,,,True,True,
05001,303,640.0,570.0,,,,,,338.0,241.9,322.5,,471.5,,,,,,337.0,267.0,,,,,,35.0,-61.1,19.5,,168.5,,,,,,True,,,,,,True,True,True,,True,,,,,
05003,207,460.0,498.0,,,,,,416.0,154.3,262.8,,439.0,,,,,,253.0,291.0,,,,,,209.0,-52.7,55.8,,232.0,,,,,,False,,,,,,True,True,True,,True,,,,,
05005,287,395.0,68.0,,,,,,431.0,97.0,377.3,,265.0,,,,,,108.0,-219.0,,,,,,144.0,-190.0,90.3,,-22.0,,,,,,False,,,,,,False,False,True,,True,,,,,
05007,3101,5555.0,1276.0,,,,,,4775.0,1333.6,4921.1,,3324.0,,,6838.7,1984.0,,2454.0,-1825.0,,,,,,1674.0,-1767.4,1820.1,,223.0,,,3737.7,-1117.0,,True,,,,,,True,True,True,,True,,,False,True,
05009,481,795.0,488.0,,,,,,420.0,252.8,438.7,,795.0,,,,,,314.0,7.0,,,,,,-61.0,-228.2,-42.3,,314.0,,,,,,True,,,,,,True,True,True,,False,,,,,
05011,124,220.0,94.0,,,,,,241.0,71.4,176.8,,109.0,,,,,,96.0,-30.0,,,,,,117.0,-52.6,52.8,,-15.0,,,,,,True,,,,,,False,True,True,,True,,,,,
05013,80,125.0,32.0,,,,,,134.0,53.1,71.3,,109.0,,,,,,45.0,-48.0,,,,,,54.0,-26.9,-8.7,,29.0,,,,,,False,,,,,,False,True,True,,True,,,,,
05015,245,375.0,88.0,,,,,,326.0,143.0,338.8,,224.0,,,,,,130.0,-157.0,,,,,,81.0,-102.0,93.8,,-21.0,,,,,,False,,,,,,True,True,True,,True,,,,,
05017,57,155.0,,,,,,,183.0,27.0,117.7,,151.0,,,,,,98.0,,,,,,,126.0,-30.0,60.7,,94.0,,,,,,,,,,,,False,True,True,,True,,,,,
05019,295,480.0,162.0,,,,,,483.0,238.5,264.0,,482.0,,,,,,185.0,-133.0,,,,,,188.0,-56.5,-31.0,,187.0,,,,,,True,,,,,,False,True,True,,False,,,,,
