,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Georgia,142029,262475.0,365481.0,,229398.1,286565.0,,,263087.0,126366.5,183186.0,216380.0,209660.5,,,250761.7,225579.0,120446.0,223452.0,,87369.1,144536.0,,,121058.0,-15662.5,41157.0,74351.0,67631.5,,,108732.7,83550.0,False,,True,False,,,False,True,True,True,True,,,True,True
Hawaii,2469,3810.0,3521.0,,4425.8,10824.0,,,,1797.9,8379.5,6619.5,3049.0,,,2837.5,2776.0,1341.0,1052.0,,1956.8,8355.0,,,,-671.1,5910.5,4150.5,580.0,,,368.5,307.0,True,,False,False,,,,True,False,False,True,,,True,True
Idaho,11815,20245.0,12676.0,,20848.3,9357.0,,,20521.0,6411.9,18231.6,15921.8,9963.0,,,13555.1,17110.0,8430.0,861.0,,9033.3,-2458.0,,,8706.0,-5403.1,6416.6,4106.8,-1852.0,,,1740.1,5295.0,True,,False,True,,,False,True,True,True,True,,,True,True
Illinois,86840,169300.0,152164.0,,149310.0,27177.0,,,143596.0,48589.4,139325.5,113525.2,117822.5,,,106371.0,118530.0,82460.0,65324.0,,62470.0,-59663.0,,,56756.0,-38250.6,52485.5,26685.2,30982.5,,,19531.0,31690.0,True,,True,True,,,True,True,True,True,True,,,True,True
Indiana,52423,107350.0,78297.0,,100267.6,60939.0,,,103134.0,24024.4,90516.5,97896.0,65701.0,,,146237.4,72997.0,54927.0,25874.0,,47844.6,8516.0,,,50711.0,-28398.6,38093.5,45473.0,13278.0,,,93814.4,20574.0,True,,True,True,,,True,True,True,True,True,,,False,True
Iowa,23660,39370.0,38086.0,,36911.8,362128.0,,,30068.0,7454.4,30803.7,37342.0,29063.0,,,27375.0,26826.0,15710.0,14426.0,,13251.8,338468.0,,,6408.0,-16205.6,7143.7,13682.0,5403.0,,,3715.0,3166.0,True,,True,False,,,True,False,True,True,True,,,True,True
Kansas,27089,52770.0,43385.0,,52309.7,30417.0,,,45309.0,23868.2,37382.6,45033.1,32905.5,,,28421.5,25284.0,25681.0,16296.0,,25220.7,3328.0,,,18220.0,-3220.8,10293.6,17944.1,5816.5,,,1332.5,-1805.0,True,,True,True,,,True,True,True,True,True,,,True,True
Kentucky,59380,101215.0,108813.0,,108695.0,41359.0,,,94601.0,46483.0,72482.6,95601.8,70626.5,,,63553.4,75472.0,41835.0,49433.0,,49315.0,-18021.0,,,35221.0,-12897.0,13102.6,36221.8,11246.5,,,4173.4,16092.0,False,,False,True,,,True,True,True,True,True,,,True,True
Louisiana,48337,77010.0,46088.0,,72072.3,62805.0,,,86351.0,40662.4,69457.5,52711.2,53813.0,,,72766.5,31084.0,28673.0,-2249.0,,23735.3,14468.0,,,38014.0,-7674.6,21120.5,4374.2,5476.0,,,24429.5,-17253.0,True,,True,True,,,False,True,True,True,True,,,True,True
Maine,7895,16895.0,12525.0,,17855.3,10635.0,,,18418.0,13741.8,18155.8,20524.2,14915.5,,,15293.3,11489.0,9000.0,4630.0,,9960.3,2740.0,,,10523.0,5846.8,10260.8,12629.2,7020.5,,,7398.3,3594.0,True,,False,True,,,False,True,False,False,True,,,True,True
Maryland,41965,76380.0,58322.0,,79694.5,835432.0,,,69687.0,35373.8,76841.0,89130.0,56083.5,,,61783.8,60009.0,34415.0,16357.0,,37729.5,793467.0,,,27722.0,-6591.2,34876.0,47165.0,14118.5,,,19818.8,18044.0,True,,False,False,,,True,True,False,False,True,,,True,True
Massachusetts,83587,151835.0,169095.0,,150820.3,107623.0,,,164093.0,62516.7,85118.6,133375.0,104047.0,,,196776.9,111210.0,68248.0,85508.0,,67233.3,24036.0,,,80506.0,-21070.3,1531.6,49788.0,20460.0,,,113189.9,27623.0,False,,True,True,,,False,True,True,True,True,,,False,True
Michigan,48804,74805.0,95963.0,,62785.3,19188.0,,,78720.0,20673.5,100996.6,46748.3,50667.0,,,82509.5,46580.0,26001.0,47159.0,,13981.3,-29616.0,,,29916.0,-28130.5,52192.6,-2055.7,1863.0,,,33705.5,-2224.0,False,,True,False,,,False,False,False,True,True,,,False,True
Minnesota,29982,43805.0,53941.0,,41971.1,5967.0,,,50320.0,9715.2,46630.0,26880.1,29563.5,,,26717.2,29856.0,13823.0,23959.0,,11989.1,-24015.0,,,20338.0,-20266.8,16648.0,-3101.9,-418.5,,,-3264.8,-126.0,False,,True,False,,,False,False,False,True,True,,,True,True
Mississippi,31068,60770.0,44074.0,,64155.7,43738.0,,,59222.0,29721.7,43773.8,46970.8,39216.5,,,40394.9,59567.0,29702.0,13006.0,,33087.7,12670.0,,,28154.0,-1346.3,12705.8,15902.8,8148.5,,,9326.9,28499.0,True,,False,True,,,True,True,True,True,True,,,True,True
Missouri,46150,59035.0,35659.0,,57956.2,40081.0,,,55824.0,13494.6,51799.2,52707.1,43156.0,,,57793.5,38284.0,12885.0,-10491.0,,11806.2,-6069.0,,,9674.0,-32655.4,5649.2,6557.1,-2994.0,,,11643.5,-7866.0,True,,True,True,,,True,False,True,True,True,,,True,True
Montana,8427,11770.0,7408.0,,11487.3,4367.0,,,13541.0,2937.9,8989.2,8001.6,7435.5,,,5861.5,9848.0,3343.0,-1019.0,,3060.3,-4060.0,,,5114.0,-5489.1,562.2,-425.4,-991.5,,,-2565.5,1421.0,True,,True,False,,,False,False,True,True,True,,,True,True
Nebraska,13866,29720.0,62420.0,,24888.5,2607.0,,,19797.0,5365.6,25111.7,16100.3,25559.0,,,39884.2,20881.0,15854.0,48554.0,,11022.5,-11259.0,,,5931.0,-8500.4,11245.7,2234.3,11693.0,,,26018.2,7015.0,False,,True,True,,,True,True,True,True,True,,,False,True
Nevada,23775,48115.0,70701.0,,48753.7,27648.0,,,45414.0,17367.2,40179.8,42718.7,31799.0,,,41200.5,30175.0,24340.0,46926.0,,24978.7,3873.0,,,21639.0,-6407.8,16404.8,18943.7,8024.0,,,17425.5,6400.0,False,,False,True,,,True,True,True,True,True,,,True,True
New Hampshire,13171,28155.0,37751.0,,25147.9,10136.0,,,27162.0,14808.8,19771.3,23913.1,24856.0,,,21649.3,24255.0,14984.0,24580.0,,11976.9,-3035.0,,,13991.0,1637.8,6600.3,10742.1,11685.0,,,8478.3,11084.0,False,,True,True,,,True,True,True,True,True,,,True,True
New Jersey,129431,177235.0,197517.0,,186583.3,122282.0,,,172567.0,107778.2,129318.2,174358.8,165375.0,,,120466.9,143281.0,47804.0,68086.0,,57152.3,-7149.0,,,43136.0,-21652.8,-112.8,44927.8,35944.0,,,-8964.1,13850.0,False,,False,True,,,True,True,True,True,True,,,True,True
New Mexico,16309,28430.0,17011.0,,26928.2,20434.0,,,29732.0,11086.5,21930.2,25217.7,19669.5,,,23285.6,18720.0,12121.0,702.0,,10619.2,4125.0,,,13423.0,-5222.5,5621.2,8908.7,3360.5,,,6976.6,2411.0,True,,True,True,,,False,True,True,True,True,,,True,True
New York,312728,472225.0,709665.0,,340295.2,601085.0,,,430161.0,361774.5,402169.5,595700.4,379603.0,,,401010.4,389478.0,159497.0,396937.0,,27567.2,288357.0,,,117433.0,49046.5,89441.5,282972.4,66875.0,,,88282.4,76750.0,False,,True,False,,,True,True,True,False,True,,,True,True
North Carolina,145832,224450.0,235510.0,,223808.7,145122.0,,,246801.0,111505.4,172432.6,235736.9,229970.5,,,200347.7,236424.0,78618.0,89678.0,,77976.7,-710.0,,,100969.0,-34326.6,26600.6,89904.9,84138.5,,,54515.7,90592.0,False,,True,True,,,False,True,True,False,False,,,True,False
North Dakota,3069,5030.0,2553.0,,5254.8,376.0,,,6318.0,1796.4,4957.9,2209.9,2948.5,,,9717.9,3495.0,1961.0,-516.0,,2185.8,-2693.0,,,3249.0,-1272.6,1888.9,-859.1,-120.5,,,6648.9,426.0,True,,False,False,,,False,True,True,True,True,,,False,True
Ohio,106313,191670.0,156160.0,,184115.0,68608.0,,,200593.0,79527.0,135326.5,169953.5,130598.0,,,170611.3,134195.0,85357.0,49847.0,,77802.0,-37705.0,,,94280.0,-26786.0,29013.5,63640.5,24285.0,,,64298.3,27882.0,True,,True,True,,,False,True,True,True,True,,,True,True
Oklahoma,53653,92420.0,77171.0,,99036.6,71301.0,,,95706.0,36109.8,58108.9,57490.4,61042.5,,,72375.5,64670.0,38767.0,23518.0,,45383.6,17648.0,,,42053.0,-17543.2,4455.9,3837.4,7389.5,,,18722.5,11017.0,True,,False,True,,,False,True,True,True,True,,,True,True
Oregon,17715,25940.0,16235.0,,28311.9,22339.0,,,27892.0,18702.8,28675.1,22505.6,13726.5,,,20836.1,16282.0,8225.0,-1480.0,,10596.9,4624.0,,,10177.0,987.8,10960.1,4790.6,-3988.5,,,3121.1,-1433.0,True,,False,True,,,False,True,False,True,True,,,True,True
Pennsylvania,127946,190480.0,201965.0,,166582.1,67576.0,,,193690.0,78529.1,181759.0,149339.4,127367.0,,,164365.3,141828.0,62534.0,74019.0,,38636.1,-60370.0,,,65744.0,-49416.9,53813.0,21393.4,-579.0,,,36419.3,13882.0,False,,True,True,,,False,True,True,True,True,,,True,True
Rhode Island,15887,26460.0,41263.0,,23588.4,4125.0,,,31175.0,4316.9,18216.8,22378.8,22784.0,,,14436.5,6736.0,10573.0,25376.0,,7701.4,-11762.0,,,15288.0,-11570.1,2329.8,6491.8,6897.0,,,-1450.5,-9151.0,False,,True,False,,,False,False,True,True,True,,,True,True
South Carolina,101283,156835.0,141901.0,,156792.1,309472.0,,,157986.0,102043.8,95161.9,185203.8,122550.0,,,157513.5,137519.0,55552.0,40618.0,,55509.1,208189.0,,,56703.0,760.8,-6121.1,83920.8,21267.0,,,56230.5,36236.0,True,,True,False,,,False,True,True,False,True,,,False,True
South Dakota,5330,8425.0,3782.0,,8582.3,6455.0,,,8916.0,2636.1,7816.6,4972.0,4329.0,,,7953.2,5959.0,3095.0,-1548.0,,3252.3,1125.0,,,3586.0,-2693.9,2486.6,-358.0,-1001.0,,,2623.2,629.0,True,,False,True,,,False,True,True,True,True,,,True,True
Tennessee,68011,125145.0,89015.0,,112037.6,80684.0,,,123073.0,28981.9,96153.1,77244.8,67268.5,,,114312.9,81461.0,57134.0,21004.0,,44026.6,12673.0,,,55062.0,-39029.1,28142.1,9233.8,-742.5,,,46301.9,13450.0,True,,True,True,,,True,True,True,True,True,,,True,True
Texas,406890,649055.0,792984.0,,682468.4,641112.0,,,725200.0,608637.4,545979.4,619031.4,457598.0,,,471025.5,441153.0,242165.0,386094.0,,275578.4,234222.0,,,318310.0,201747.4,139089.4,212141.4,50708.0,,,64135.5,34263.0,False,,False,True,,,False,True,True,True,True,,,True,True
Utah,35881,63185.0,52798.0,,70290.7,151913.0,,,67032.0,15442.3,41782.7,64132.0,41911.0,,,33986.3,38521.0,27304.0,16917.0,,34409.7,116032.0,,,31151.0,-20438.7,5901.7,28251.0,6030.0,,,-1894.7,2640.0,True,,False,False,,,False,True,True,False,True,,,True,True
Vermont,4190,4965.0,3728.0,,6282.2,9921.0,,,5501.0,3903.4,5834.3,6081.7,4443.0,,,1510.0,4492.0,775.0,-462.0,,2092.2,5731.0,,,1311.0,-286.6,1644.3,1891.7,253.0,,,-2680.0,302.0,True,,False,False,,,False,True,False,False,True,,,False,True
Virginia,105659,196320.0,189785.0,,214678.6,196500.0,,,133953.0,219956.3,142337.6,198938.1,121674.0,,,109202.6,156695.0,90661.0,84126.0,,109019.6,90841.0,,,28294.0,114297.3,36678.6,93279.1,16015.0,,,3543.6,51036.0,True,,False,False,,,True,False,True,False,True,,,True,True
Washington,39575,71140.0,123022.0,,55208.8,55090.0,,,60265.0,21421.5,71207.1,65454.0,55057.5,,,54018.5,37945.0,31565.0,83447.0,,15633.8,15515.0,,,20690.0,-18153.5,31632.1,25879.0,15482.5,,,14443.5,-1630.0,False,,True,True,,,True,True,False,True,True,,,True,True
West Virginia,16828,33140.0,24829.0,,31170.1,33995.0,,,34599.0,15844.7,23206.9,22697.7,20633.0,,,23301.4,24007.0,16312.0,8001.0,,14342.1,17167.0,,,17771.0,-983.3,6378.9,5869.7,3805.0,,,6473.4,7179.0,True,,True,False,,,False,True,True,True,True,,,True,True
Wisconsin,36883,68640.0,57980.0,,68358.5,25068.0,,,65182.0,23213.2,69148.3,43287.2,42057.0,,,44718.2,44109.0,31757.0,21097.0,,31475.5,-11815.0,,,28299.0,-13669.8,32265.3,6404.2,5174.0,,,7835.2,7226.0,True,,True,True,,,True,True,False,True,True,,,True,True
Wyoming,3767,7575.0,6361.0,,8656.4,13156.0,,,9181.0,2914.6,4960.0,4222.7,6321.0,,,5554.5,4061.0,3808.0,2594.0,,4889.4,9389.0,,,5414.0,-852.4,1193.0,455.7,2554.0,,,1787.5,294.0,True,,False,False,,,False,True,True,True,True,,,True,True
US,3523233,6178040.0,6428178.0,5774771.0,4958305.1,8251981.0,5664314.5,5844974.0,5837745.0,3422943.0,5037165.6,5460769.2,4079562.5,5995651.0,5112863.0,5753842.3,4531796.0,2654807.0,2904945.0,2251538.0,1435072.1,4728748.0,2141081.5,2321741.0,2314512.0,-100290.0,1513932.6,1937536.2,556329.5,2472418.0,1589630.0,2230609.3,1008563.0,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True
