,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU
Georgia,66785,94632.0,83548.1,95559.9,79078.0,77876.0,68271.0,,88766.5,73461.0,109022.9,,67373.9,,65377.8,90496.0,115614.5,69519.0,74638.4,87971.0,66068.2,56537.0,67887.2,178602.7,80928.8,70737.0,96604.0,76117.0,,71160.7,76126.0,115227.1,,78622.1,109897.7,74162.0,,27847.0,16763.1,28774.9,12293.0,11091.0,1486.0,,21981.5,6676.0,42237.9,,588.9,,-1407.2,23711.0,48829.5,2734.0,7853.4,21186.0,-716.8,-10248.0,1102.2,111817.7,14143.8,3952.0,29819.0,9332.0,,4375.7,9341.0,48442.1,,11837.1,43112.7,7377.0,,True,False,True,True,True,,True,True,False,,True,,True,True,False,True,True,True,True,True,True,False,True,True,False,True,,True,True,False,,True,False,True,
Hawaii,1094,1851.0,1660.1,1865.5,1658.0,2376.0,1614.0,,1667.0,762.0,2257.0,,1947.0,,1416.6,,1136.6,1999.0,3466.1,1365.0,1412.8,1591.5,1506.6,1486.8,2744.6,1584.1,1951.0,2845.0,,1051.4,1756.0,3733.9,,1845.6,2219.4,1653.0,,757.0,566.1,771.5,564.0,1282.0,520.0,,573.0,-332.0,1163.0,,853.0,,322.6,,42.6,905.0,2372.1,271.0,318.8,497.5,412.6,392.8,1650.6,490.1,857.0,1751.0,,-42.6,662.0,2639.9,,751.6,1125.4,559.0,,True,False,True,False,True,,True,True,False,,False,,True,,True,False,False,True,True,True,True,True,False,True,False,False,,True,True,False,,True,False,True,
Idaho,5931,7578.0,4312.4,7566.0,6318.0,8776.0,6190.0,,7290.4,4079.0,16310.0,,6007.4,,5291.4,7260.0,4123.6,7350.0,7645.6,6595.0,4976.2,3291.0,5482.2,5025.1,10439.9,4798.6,6762.0,11096.0,,5372.3,8571.0,6117.9,,6446.4,7918.5,6829.0,,1647.0,-1618.6,1635.0,387.0,2845.0,259.0,,1359.4,-1852.0,10379.0,,76.4,,-639.6,1329.0,-1807.4,1419.0,1714.6,664.0,-954.8,-2640.0,-448.8,-905.9,4508.9,-1132.4,831.0,5165.0,,-558.7,2640.0,186.9,,515.4,1987.5,898.0,,True,True,True,False,True,,True,False,False,,True,,True,True,False,True,False,True,True,False,True,True,False,True,True,False,,True,False,True,,True,False,True,
Illinois,41086,61224.0,36457.7,60846.5,49164.0,61783.0,56435.0,,55104.4,24353.0,55483.6,,41167.2,,41071.1,51672.0,27524.0,58217.0,70209.4,41799.0,49866.4,34490.0,46501.5,27600.7,51426.2,40390.5,52145.0,71674.0,,46376.4,50800.0,57464.6,,48281.0,68775.3,48427.0,,20138.0,-4628.3,19760.5,8078.0,20697.0,15349.0,,14018.4,-16733.0,14397.6,,81.2,,-14.9,10586.0,-13562.0,17131.0,29123.4,713.0,8780.4,-6596.0,5415.5,-13485.3,10340.2,-695.5,11059.0,30588.0,,5290.4,9714.0,16378.6,,7195.0,27689.3,7341.0,,True,True,True,False,True,,True,True,True,,True,,True,True,True,True,False,True,True,True,True,True,True,True,True,False,,True,True,True,,True,False,True,
Indiana,22955,39084.0,32366.2,37900.2,30162.0,36306.0,27632.0,,37120.7,29221.0,38424.7,,39753.2,,26276.5,37002.0,13195.3,32820.0,35852.2,27486.5,23521.2,23064.5,35011.0,20969.1,28783.7,24846.5,29518.0,42218.0,,30659.4,31858.0,46980.1,,67592.4,24034.2,30062.0,,16129.0,9411.2,14945.2,7207.0,13351.0,4677.0,,14165.7,6266.0,15469.7,,16798.2,,3321.5,14047.0,-9759.7,9865.0,12897.2,4531.5,566.2,109.5,12056.0,-1985.9,5828.7,1891.5,6563.0,19263.0,,7704.4,8903.0,24025.1,,44637.4,1079.2,7107.0,,True,True,True,True,True,,True,True,True,,False,,True,True,True,True,True,True,True,True,True,True,True,True,True,False,,True,True,False,,False,True,True,
Iowa,11976,15588.0,12270.7,14854.1,12465.0,19160.0,14568.0,,15319.3,19346.0,12507.7,,19697.8,,10582.5,17284.0,11586.8,17223.0,14895.6,10552.5,11814.9,9149.0,11710.3,9191.9,11897.4,11453.0,13514.0,24989.0,,9864.5,13920.0,6303.1,,12381.6,,13327.0,,3612.0,294.7,2878.1,489.0,7184.0,2592.0,,3343.3,7370.0,531.7,,7721.8,,-1393.5,5308.0,-389.2,5247.0,2919.6,-1423.5,-161.1,-2827.0,-265.7,-2784.1,-78.6,-523.0,1538.0,13013.0,,-2111.5,1944.0,-5672.9,,405.6,,1351.0,,True,True,True,False,True,,True,False,True,,False,,True,False,True,False,True,True,True,True,True,True,True,True,True,False,,True,True,False,,True,,True,
Kansas,12071,20910.0,12757.5,20631.8,15044.0,17971.0,23759.0,,19111.4,4929.0,9034.7,,16076.3,,17548.6,18902.0,7890.9,18865.0,15647.8,10289.5,13075.0,9300.0,12548.0,8403.6,22872.0,14414.1,17528.0,21862.0,,14650.8,19412.0,6161.1,,20944.8,25348.4,14133.0,,8839.0,686.5,8560.8,2973.0,5900.0,11688.0,,7040.4,-7142.0,-3036.3,,4005.3,,5477.6,6831.0,-4180.1,6794.0,3576.8,-1781.5,1004.0,-2771.0,477.0,-3667.4,10801.0,2343.1,5457.0,9791.0,,2579.8,7341.0,-5909.9,,8873.8,13277.4,2062.0,,True,True,True,True,False,,True,True,True,,True,,True,True,True,True,True,True,True,True,True,True,False,True,True,False,,True,True,True,,False,False,True,
Kentucky,27694,45414.0,32136.2,45893.1,39009.0,39018.0,42356.0,,42148.7,20215.0,1339660.4,,32580.2,,36508.6,40755.0,39943.3,45013.0,30773.6,34450.0,33154.6,30815.0,30472.3,18110.5,75904.9,31271.2,46492.0,42181.0,,27715.3,44070.0,14571.1,,35439.6,60031.7,39868.0,,17720.0,4442.2,18199.1,11315.0,11324.0,14662.0,,14454.7,-7479.0,1311966.4,,4886.2,,8814.6,13061.0,12249.3,17319.0,3079.6,6756.0,5460.6,3121.0,2778.3,-9583.5,48210.9,3577.2,18798.0,14487.0,,21.3,16376.0,-13122.9,,7745.6,32337.7,12174.0,,True,False,True,True,True,,True,True,False,,True,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,,True,True,True,,True,False,True,
Louisiana,18731,37755.0,27642.6,37524.4,31942.0,33596.0,38989.0,,33704.9,36058.0,1640706.2,,39668.4,,26601.5,39588.0,29102.1,33242.0,29443.9,29986.0,25211.9,24556.0,25473.1,37306.2,27444.5,26433.5,33694.0,38753.0,,25358.7,16915.0,36552.0,,41058.5,37481.0,22032.0,,19024.0,8911.6,18793.4,13211.0,14865.0,20258.0,,14973.9,17327.0,1621975.2,,20937.4,,7870.5,20857.0,10371.1,14511.0,10712.9,11255.0,6480.9,5825.0,6742.1,18575.2,8713.5,7702.5,14963.0,20022.0,,6627.7,-1816.0,17821.0,,22327.5,18750.0,3301.0,,True,True,True,True,False,,True,True,False,,False,,True,False,True,True,True,True,True,True,True,True,True,True,True,False,,True,True,True,,False,True,True,
Maine,3428,5691.0,4829.4,5503.3,4717.0,6704.0,4426.0,,5443.3,3191.0,6968.6,,4885.9,,3504.5,5827.0,5100.3,4441.0,5718.1,6823.5,3813.0,3492.5,3965.1,3716.3,4614.8,4299.5,6926.0,8397.0,,3995.3,6715.0,12320.3,,5255.7,2001.1,3905.0,,2263.0,1401.4,2075.3,1289.0,3276.0,998.0,,2015.3,-237.0,3540.6,,1457.9,,76.5,2399.0,1672.3,1013.0,2290.1,3395.5,385.0,64.5,537.1,288.3,1186.8,871.5,3498.0,4969.0,,567.3,3287.0,8892.3,,1827.7,-1426.9,477.0,,True,True,True,False,True,,True,True,False,,True,,True,False,True,True,False,False,True,True,True,True,True,True,False,False,,True,False,False,,True,True,True,
Maryland,19188,28074.0,21398.0,28615.7,24453.0,27063.0,20944.0,,27807.1,31615.0,32004.0,,22541.8,,20457.9,30511.0,19932.4,25090.0,28644.7,31148.0,18324.2,18323.0,23025.7,24276.5,30628.7,20272.9,27408.0,29302.0,,26018.9,17372.0,33703.0,,22750.3,34506.8,23456.0,,8886.0,2210.0,9427.7,5265.0,7875.0,1756.0,,8619.1,12427.0,12816.0,,3353.8,,1269.9,11323.0,744.4,5902.0,9456.7,11960.0,-863.8,-865.0,3837.7,5088.5,11440.7,1084.9,8220.0,10114.0,,6830.9,-1816.0,14515.0,,3562.3,15318.8,4268.0,,True,False,True,True,True,,True,False,False,,True,,True,False,True,True,False,False,True,True,True,True,False,True,True,False,,True,True,False,,True,False,True,
Massachusetts,38853,58401.0,41587.7,57300.0,47198.0,41680.0,60482.0,,51919.9,45783.0,91823.7,,44592.4,,42259.2,51985.0,33888.8,53865.0,31639.1,40687.0,39192.1,39850.5,45470.4,38203.5,46211.6,42771.7,53401.0,48218.0,,50021.1,48741.0,59619.9,,89842.4,83900.8,51290.0,,19548.0,2734.7,18447.0,8345.0,2827.0,21629.0,,13066.9,6930.0,52970.7,,5739.4,,3406.2,13132.0,-4964.2,15012.0,-7213.9,1834.0,339.1,997.5,6617.4,-649.5,7358.6,3918.7,14548.0,9365.0,,11168.1,9888.0,20766.9,,50989.4,45047.8,12437.0,,True,True,True,True,False,,True,True,False,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,False,,False,False,True,
Michigan,24865,31641.0,19939.7,31053.3,25371.0,40181.0,27308.0,,28530.0,7605.0,118840.8,,25287.2,,24093.4,28904.0,20697.1,27155.0,36052.9,29801.0,23107.6,19901.0,25302.4,7373.6,24887.8,21170.1,28520.0,50577.0,,20653.0,,12119.8,,42087.2,40730.3,24929.0,,6776.0,-4925.3,6188.3,506.0,15316.0,2443.0,,3665.0,-17260.0,93975.8,,422.2,,-771.6,4039.0,-4167.9,2290.0,11187.9,4936.0,-1757.4,-4964.0,437.4,-17491.4,22.8,-3694.9,3655.0,25712.0,,-4212.0,,-12745.2,,17222.2,15865.3,64.0,,True,True,True,False,True,,True,False,False,,True,,True,True,True,True,False,True,True,True,True,False,True,True,True,False,,True,,False,,False,False,True,
Minnesota,16573,19194.0,8081.5,19549.8,15479.0,24810.0,20001.0,,18759.8,5596.0,16083.3,,12874.7,,15468.5,20287.0,6676.4,18649.0,21746.2,13345.0,10575.3,12661.0,15539.5,9591.3,13135.2,14436.9,16147.0,32999.0,,13320.4,21574.0,5431.8,,27138.5,15134.3,18317.0,,2621.0,-8491.5,2976.8,-1094.0,8237.0,3428.0,,2186.8,-10977.0,-489.7,,-3698.3,,-1104.5,3714.0,-9896.6,2076.0,5173.2,-3228.0,-5997.7,-3912.0,-1033.5,-6981.7,-3437.8,-2136.1,-426.0,16426.0,,-3252.6,5001.0,-11141.2,,10565.5,-1438.7,1744.0,,False,False,True,False,False,,True,False,True,,False,,True,False,False,True,False,False,False,False,True,False,False,True,True,False,,False,False,False,,False,True,True,
Mississippi,13313,19764.0,18233.2,20452.7,17588.0,20518.0,15869.0,,21270.7,19666.0,25586.4,,14786.2,,14842.7,24529.0,19679.6,18465.0,17211.5,18973.0,14080.8,11963.5,16064.9,15572.3,20840.9,16179.1,20345.0,23412.0,,16871.4,14673.0,15704.8,,17954.4,17817.7,15590.0,,6451.0,4920.2,7139.7,4275.0,7205.0,2556.0,,7957.7,6353.0,12273.4,,1473.2,,1529.7,11216.0,6366.6,5152.0,3898.5,5660.0,767.8,-1349.5,2751.9,2259.3,7527.9,2866.1,7032.0,10099.0,,3558.4,1360.0,2391.8,,4641.4,4504.7,2277.0,,True,False,True,False,True,,False,True,False,,True,,True,False,True,True,True,True,True,True,True,True,False,True,False,False,,True,True,True,,True,True,True,
Missouri,19232,24723.0,18714.8,24720.9,20146.0,30241.0,23464.0,,23141.0,20201.0,25115.7,,20551.8,,15095.9,19584.0,15337.7,25477.0,22378.4,24517.0,22204.6,13672.5,19411.7,8005.5,32970.1,16633.5,22124.0,39740.0,,20939.9,24540.0,19434.3,,15728.1,26458.0,19478.0,,5491.0,-517.2,5488.9,914.0,11009.0,4232.0,,3909.0,969.0,5883.7,,1319.8,,-4136.1,352.0,-3894.3,6245.0,3146.4,5285.0,2972.6,-5559.5,179.7,-11226.5,13738.1,-2598.5,2892.0,20508.0,,1707.9,5308.0,202.3,,-3503.9,7226.0,246.0,,True,True,True,False,True,,True,True,False,,True,,True,True,True,False,True,True,True,False,True,False,False,True,True,False,,True,True,True,,True,False,True,
Montana,4120,5865.0,4387.3,5734.3,4576.0,7248.0,4130.0,,5724.3,3681.0,3911.3,,6917.2,,4702.7,6714.0,11238.4,6451.0,4064.9,4907.0,3955.8,3890.0,4562.6,1267.1,5719.6,4096.8,5831.0,9611.0,,3656.2,,1445.5,,3543.7,6715.5,5728.0,,1745.0,267.3,1614.3,456.0,3128.0,10.0,,1604.3,-439.0,-208.7,,2797.2,,582.7,2594.0,7118.4,2331.0,-55.1,787.0,-164.2,-230.0,442.6,-2852.9,1599.6,-23.2,1711.0,5491.0,,-463.8,,-2674.5,,-576.3,2595.5,1608.0,,True,True,True,False,True,,True,True,True,,False,,True,False,False,False,True,True,True,True,True,False,True,True,True,False,,True,,False,,True,False,True,
Nebraska,7299,8553.0,3117.5,7692.2,7426.0,9521.0,5951.0,,8527.9,4898.0,8685.0,,7639.4,,5841.2,7104.0,4669.8,8765.0,10710.2,7733.0,6890.4,4967.5,6466.2,7783.5,7164.6,6303.8,7816.0,11159.0,,7817.1,6990.0,2212.7,,8507.5,11051.7,8076.0,,1254.0,-4181.5,393.2,127.0,2222.0,-1348.0,,1228.9,-2401.0,1386.0,,340.4,,-1457.8,-195.0,-2629.2,1466.0,3411.2,434.0,-408.6,-2331.5,-832.8,484.5,-134.4,-995.2,517.0,3860.0,,518.1,-309.0,-5086.3,,1208.5,3752.7,777.0,,False,True,True,False,False,,True,False,False,,True,,False,True,False,False,False,True,True,False,True,True,True,True,True,False,,True,True,False,,True,False,True,
