,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU
01039,228,600.0,,632.5,,376.0,372.0,737.0,,,,,256.8,,258.7,,,329.0,956.8,,293.4,153.0,,387.0,353.3,,,,488.0,396.0,451.5,,,,,,493.3,,,,316.3,372.0,,404.5,,148.0,144.0,509.0,,,,,28.8,,30.7,,,101.0,728.8,,65.4,-75.0,,159.0,125.3,,,,260.0,168.0,223.5,,,,,,265.3,,,,88.3,,False,,True,True,False,,,,,True,,True,,,True,False,,True,True,,True,True,,,,True,True,True,,,,,,True,,,,True
01041,92,174.0,,219.9,,122.0,111.0,127.0,,,,,94.6,,109.5,,,118.0,160.8,,102.4,,,61.0,100.9,,,,130.0,131.0,55.9,,,,,,,,,,190.0,82.0,,127.9,,30.0,19.0,35.0,,,,,2.6,,17.5,,,26.0,68.8,,10.4,,,-31.0,8.9,,,,38.0,39.0,-36.1,,,,,,,,,,98.0,,False,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,True,True,,,,,,,,,,False
01043,169,657.0,,677.4,,489.0,488.0,466.0,,,,,461.4,,376.9,,,887.0,697.1,,456.1,150.0,,359.0,419.7,,,,435.0,511.0,389.7,,,,,,828.0,,,,663.3,488.0,,508.4,,320.0,319.0,297.0,,,,,292.4,,207.9,,,718.0,528.1,,287.1,-19.0,,190.0,250.7,,,,266.0,342.0,220.7,,,,,,659.0,,,,494.3,,False,,True,True,True,,,,,True,,True,,,False,False,,True,True,,True,True,,,,True,True,True,,,,,,False,,,,False
01045,242,402.0,,410.6,,308.0,274.0,291.0,,,,,300.3,,269.7,,,464.0,343.3,,262.4,172.0,,197.0,282.6,,,,321.0,321.0,238.1,,,,,,235.3,,,,434.8,160.0,,168.6,,66.0,32.0,49.0,,,,,58.3,,27.7,,,222.0,101.3,,20.4,-70.0,,-45.0,40.6,,,,79.0,79.0,-3.9,,,,,,-6.7,,,,192.8,,False,,True,True,True,,,,,True,,True,,,False,True,,True,True,,True,True,,,,True,True,True,,,,,,True,,,,False
01047,137,219.0,,221.0,,165.0,149.0,198.0,,,,,187.8,,126.1,,,316.0,129.1,,190.9,74.5,,64.0,112.9,,,,154.0,161.0,122.7,,,,,,157.1,,,,230.5,82.0,,84.0,,28.0,12.0,61.0,,,,,50.8,,-10.9,,,179.0,-7.9,,53.9,-62.5,,-73.0,-24.1,,,,17.0,24.0,-14.3,,,,,,20.1,,,,93.5,,False,,True,True,True,,,,,True,,True,,,False,True,,True,True,,True,True,,,,True,True,True,,,,,,True,,,,False
01049,181,513.0,,542.5,,441.0,361.0,504.0,,,,,464.6,,314.4,,,713.0,525.3,,415.0,150.5,,261.0,352.4,,,,350.0,443.0,305.7,,,,,,226.9,,,,538.7,332.0,,361.5,,260.0,180.0,323.0,,,,,283.6,,133.4,,,532.0,344.3,,234.0,-30.5,,80.0,171.4,,,,169.0,262.0,124.7,,,,,,45.9,,,,357.7,,False,,True,True,True,,,,,True,,True,,,False,False,,True,True,,True,True,,,,True,True,True,,,,,,True,,,,False
01051,502,1005.0,,1005.3,,716.0,661.0,828.0,,,,,648.4,,634.7,,,664.0,832.6,,629.3,283.0,,658.0,672.0,,,,738.0,787.0,325.6,,,,,,821.5,,,,835.1,503.0,,503.3,,214.0,159.0,326.0,,,,,146.4,,132.7,,,162.0,330.6,,127.3,-219.0,,156.0,170.0,,,,236.0,285.0,-176.4,,,,,,319.5,,,,333.1,,False,,True,True,True,,,,,True,,True,,,True,True,,True,True,,True,True,,,,True,True,True,,,,,,True,,,,True
01053,147,405.0,,401.8,,268.0,255.0,205.0,,,,,261.3,,215.9,,,340.0,423.1,,245.2,148.0,,185.0,231.6,,,,354.0,290.0,321.8,,,,,,179.3,,,,380.1,258.0,,254.8,,121.0,108.0,58.0,,,,,114.3,,68.9,,,193.0,276.1,,98.2,1.0,,38.0,84.6,,,,207.0,143.0,174.8,,,,,,32.3,,,,233.1,,True,,True,True,True,,,,,True,,True,,,True,False,,True,True,,True,True,,,,True,True,True,,,,,,True,,,,True
01055,383,1068.0,,1094.4,,833.0,807.0,1082.0,,,,,756.3,,366.7,,,968.0,1147.3,,683.6,314.5,,503.5,680.7,,,,630.0,814.0,556.9,,,,,,965.2,,,,952.1,685.0,,711.4,,450.0,424.0,699.0,,,,,373.3,,-16.3,,,585.0,764.3,,300.6,-68.5,,120.5,297.7,,,,247.0,431.0,173.9,,,,,,582.2,,,,569.1,,False,,True,True,False,,,,,True,,True,,,True,False,,True,True,,True,True,,,,True,True,True,,,,,,True,,,,True
01057,86,204.0,,200.4,,137.0,124.0,138.0,,,,,114.0,,107.4,,,161.0,136.8,,124.7,,,59.0,122.4,,,,133.0,145.0,116.7,,,,,,,,,,208.7,118.0,,114.4,,51.0,38.0,52.0,,,,,28.0,,21.4,,,75.0,50.8,,38.7,,,-27.0,36.4,,,,47.0,59.0,30.7,,,,,,,,,,122.7,,True,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,True,True,,,,,,,,,,False
01059,86,213.0,,223.4,,189.0,165.0,143.0,,,,,212.2,,123.7,,,340.0,183.9,,160.6,74.0,,108.0,154.5,,,,140.0,217.0,131.2,,,,,,148.7,,,,210.4,127.0,,137.4,,103.0,79.0,57.0,,,,,126.2,,37.7,,,254.0,97.9,,74.6,-12.0,,22.0,68.5,,,,54.0,131.0,45.2,,,,,,62.7,,,,124.4,,False,,True,True,True,,,,,True,,True,,,False,True,,True,True,,True,True,,,,True,False,True,,,,,,True,,,,True
01061,73,255.0,,230.5,,233.0,192.0,260.0,,,,,170.7,,86.9,,,255.0,520.2,,177.4,,,150.0,154.8,,,,210.0,249.0,226.8,,,,,,151.9,,,,240.7,182.0,,157.5,,160.0,119.0,187.0,,,,,97.7,,13.9,,,182.0,447.2,,104.4,,,77.0,81.8,,,,137.0,176.0,153.8,,,,,,78.9,,,,167.7,,True,,True,True,False,,,,,True,,True,,,False,False,,True,,,True,True,,,,True,True,True,,,,,,True,,,,True
01063,51,87.0,,90.6,,51.0,50.0,46.0,,,,,48.5,,42.9,,,69.0,49.6,,46.0,,,61.0,44.9,,,,71.0,46.0,28.9,,,,,,,,,,72.1,36.0,,39.6,,0.0,-1.0,-5.0,,,,,-2.5,,-8.1,,,18.0,-1.4,,-5.0,,,10.0,-6.1,,,,20.0,-5.0,-22.1,,,,,,,,,,21.1,,False,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,True,True,,,,,,,,,,True
01065,97,216.0,,230.6,,145.0,124.0,171.0,,,,,135.0,,40.6,,,147.0,265.5,,131.1,,,54.0,103.4,,,,153.0,125.0,97.4,,,,,,,,,,201.0,119.0,,133.6,,48.0,27.0,74.0,,,,,38.0,,-56.4,,,50.0,168.5,,34.1,,,-43.0,6.4,,,,56.0,28.0,0.4,,,,,,,,,,104.0,,False,,True,True,True,,,,,True,,True,,,True,False,,True,,,True,True,,,,True,True,True,,,,,,,,,,True
01067,83,258.0,,251.0,,157.0,167.0,73.0,,,,,122.8,,89.3,,,160.0,96.7,,133.9,,,206.0,152.5,,,,211.0,198.0,125.5,,,,,,,,,,226.1,175.0,,168.0,,74.0,84.0,-10.0,,,,,39.8,,6.3,,,77.0,13.7,,50.9,,,123.0,69.5,,,,128.0,115.0,42.5,,,,,,,,,,143.1,,True,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,True,True,,,,,,,,,,True
01069,373,993.0,,1045.4,,950.0,819.0,1018.0,,,,,724.7,,607.8,,,913.0,4129.7,,719.7,290.5,,293.5,618.9,,,,762.0,994.0,1228.9,,,,,,762.5,,,,939.5,620.0,,672.4,,577.0,446.0,645.0,,,,,351.7,,234.8,,,540.0,3756.7,,346.7,-82.5,,-79.5,245.9,,,,389.0,621.0,855.9,,,,,,389.5,,,,566.5,,False,,True,True,False,,,,,True,,True,,,True,False,,True,True,,True,True,,,,True,False,False,,,,,,True,,,,True
01071,140,456.0,,421.3,,391.0,358.0,422.0,,,,,348.3,,140.6,,,479.0,842.4,,313.8,134.0,,221.5,303.4,,,,394.0,382.0,414.9,,,,,,558.5,,,,615.3,316.0,,281.3,,251.0,218.0,282.0,,,,,208.3,,0.6,,,339.0,702.4,,173.8,-6.0,,81.5,163.4,,,,254.0,242.0,274.9,,,,,,418.5,,,,475.3,,True,,True,True,True,,,,,True,,True,,,False,False,,True,True,,True,True,,,,True,True,True,,,,,,False,,,,False
01073,2584,5997.0,,5800.8,4844.1,3795.0,3768.0,4895.0,,,,,4175.9,,3537.6,,3384.6,5260.0,3768.8,,4237.7,2406.0,,2603.5,3567.5,,,,4080.0,3846.0,3006.0,,,,,,4889.0,2490.0,,,4395.6,3413.0,,3216.8,2260.1,1211.0,1184.0,2311.0,,,,,1591.9,,953.6,,800.6,2676.0,1184.8,,1653.7,-178.0,,19.5,983.5,,,,1496.0,1262.0,422.0,,,,,,2305.0,-94.0,,,1811.6,,True,True,True,True,True,,,,,True,,True,,True,True,True,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,True
01075,59,96.0,,89.1,,77.0,67.0,48.0,,,,,65.5,,58.7,,,132.0,102.6,,56.8,,,33.0,52.6,,,,72.0,87.0,83.0,,,,,,,,,,114.7,37.0,,30.1,,18.0,8.0,-11.0,,,,,6.5,,-0.3,,,73.0,43.6,,-2.2,,,-26.0,-6.4,,,,13.0,28.0,24.0,,,,,,,,,,55.7,,True,,True,True,True,,,,,True,,True,,,False,False,,True,,,True,True,,,,True,True,True,,,,,,,,,,False
01077,244,648.0,,660.7,,599.0,451.0,667.0,,,,,493.3,,434.2,,,858.0,774.7,,431.5,215.5,,351.0,486.6,,,,449.0,693.0,272.7,,,,,,434.1,,,,611.6,404.0,,416.7,,355.0,207.0,423.0,,,,,249.3,,190.2,,,614.0,530.7,,187.5,-28.5,,107.0,242.6,,,,205.0,449.0,28.7,,,,,,190.1,,,,367.6,,False,,True,True,False,,,,,True,,True,,,False,False,,True,True,,True,True,,,,True,False,True,,,,,,True,,,,True
01079,109,267.0,,265.7,,226.0,181.0,230.0,,,,,171.4,,155.7,,,355.0,331.5,,152.8,77.0,,157.5,182.0,,,,173.0,247.0,126.6,,,,,,165.3,,,,245.2,158.0,,156.7,,117.0,72.0,121.0,,,,,62.4,,46.7,,,246.0,222.5,,43.8,-32.0,,48.5,73.0,,,,64.0,138.0,17.6,,,,,,56.3,,,,136.2,,True,,True,True,True,,,,,True,,True,,,False,False,,True,True,,True,True,,,,True,True,True,,,,,,True,,,,True
01081,673,1794.0,,1733.6,,1172.0,1259.0,1523.0,,,,,1132.5,,1022.5,,1189.9,1206.0,1203.9,,1265.4,770.5,,1110.0,1125.4,,,,1544.0,1268.0,806.9,,,,,,1455.6,735.0,,,2359.4,1121.0,,1060.6,,499.0,586.0,850.0,,,,,459.5,,349.5,,516.9,533.0,530.9,,592.4,97.5,,437.0,452.4,,,,871.0,595.0,133.9,,,,,,782.6,62.0,,,1686.4,,True,,True,True,True,,,,,True,,True,,True,True,True,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,False
01083,439,888.0,,835.2,,631.0,707.0,584.0,,,,,579.4,,621.4,,,835.0,653.0,,504.8,380.0,,545.0,600.9,,,,666.0,844.0,678.5,,,,,,1038.2,,,,755.9,449.0,,396.2,,192.0,268.0,145.0,,,,,140.4,,182.4,,,396.0,214.0,,65.8,-59.0,,106.0,161.9,,,,227.0,405.0,239.5,,,,,,599.2,,,,316.9,,True,,True,True,True,,,,,True,,True,,,True,True,,True,True,,True,True,,,,True,True,True,,,,,,False,,,,True
