,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01035,125,222.0,274.0,,,,,248.0,193.1,146.2,211.0,,,,,97.0,149.0,,,,,123.0,68.1,21.2,86.0,,,,,False,,,,,False,True,True,True,,,,
01037,283,162.0,90.0,,,,,207.0,168.6,128.2,49.0,,,,,-121.0,-193.0,,,,,-76.0,-114.4,-154.8,-234.0,,,,,False,,,,,True,True,False,False,,,,
01039,691,744.0,462.0,,,,,992.0,967.0,547.0,588.5,,542.0,,,53.0,-229.0,,,,,301.0,276.0,-144.0,-102.5,,-149.0,,,False,,,,,False,False,False,False,,False,,
01041,257,402.0,112.0,,,,,301.0,1298.0,368.3,180.0,,,,,145.0,-145.0,,,,,44.0,1041.0,111.3,-77.0,,,,,False,,,,,True,False,True,True,,,,
01043,893,1998.0,2591.0,,,,,3310.0,734.8,1515.7,1476.5,,1652.5,,,1105.0,1698.0,,,,,2417.0,-158.2,622.7,583.5,,759.5,,,False,,,,,False,True,True,True,,True,,
01045,694,1536.0,1852.0,,,,,1338.0,1300.6,1081.1,1548.5,,737.8,,,842.0,1158.0,,,,,644.0,606.6,387.1,854.5,,43.8,,,False,,,,,True,True,True,False,,True,,
01047,377,672.0,676.0,,,,,838.0,99.2,568.5,464.0,,350.8,,,295.0,299.0,,,,,461.0,-277.8,191.5,87.0,,-26.2,,,False,,,,,False,True,True,True,,True,,
01049,770,1914.0,5420.0,,,,,2953.0,1233.4,1165.4,1510.5,,875.3,,,1144.0,4650.0,,,,,2183.0,463.4,395.4,740.5,,105.3,,,False,,,,,False,True,True,True,,True,,
01051,1588,2694.0,1222.0,,,,,1877.0,1616.3,2087.9,2089.5,,1587.1,,,1106.0,-366.0,,,,,289.0,28.3,499.9,501.5,,-0.9,,,True,,,,,True,True,True,True,,True,,
01053,613,1248.0,438.0,,,,,1046.0,1038.6,974.9,1216.5,,655.8,,,635.0,-175.0,,,,,433.0,425.6,361.9,603.5,,42.8,,,True,,,,,True,True,True,True,,True,,
01055,1476,3774.0,6930.0,,,,,3478.0,2500.7,2309.0,2928.0,,984.0,,,2298.0,5454.0,,,,,2002.0,1024.7,833.0,1452.0,,-492.0,,,False,,,,,True,True,True,True,,True,,
01057,331,660.0,733.0,,,,,533.0,581.1,338.2,746.5,,,,,329.0,402.0,,,,,202.0,250.1,7.2,415.5,,,,,False,,,,,True,True,True,False,,,,
01059,337,828.0,601.0,,,,,1356.0,667.4,602.3,587.0,,469.8,,,491.0,264.0,,,,,1019.0,330.4,265.3,250.0,,132.8,,,True,,,,,False,True,True,True,,True,,
01061,396,678.0,323.0,,,,,797.0,700.4,535.6,868.0,,,,,282.0,-73.0,,,,,401.0,304.4,139.6,472.0,,,,,True,,,,,False,False,True,False,,,,
01063,120,186.0,44.0,,,,,159.0,52.3,140.2,147.0,,,,,66.0,-76.0,,,,,39.0,-67.7,20.2,27.0,,,,,False,,,,,True,False,True,True,,,,
01065,345,588.0,353.0,,,,,404.0,752.4,397.3,418.0,,,,,243.0,8.0,,,,,59.0,407.4,52.3,73.0,,,,,True,,,,,True,False,True,True,,,,
01067,298,618.0,166.0,,,,,447.0,430.9,343.6,560.0,,,,,320.0,-132.0,,,,,149.0,132.9,45.6,262.0,,,,,True,,,,,True,True,True,True,,,,
01069,1517,2664.0,1046.0,,,,,2709.0,1873.7,2042.1,2199.0,,3218.4,,,1147.0,-471.0,,,,,1192.0,356.7,525.1,682.0,,1701.4,,,True,,,,,False,True,True,True,,False,,
01071,704,1326.0,1897.0,,,,,1852.0,785.7,893.2,713.0,,1378.7,,,622.0,1193.0,,,,,1148.0,81.7,189.2,9.0,,674.7,,,False,,,,,False,True,True,True,,False,,
01073,9151,20166.0,12695.0,,,,,19533.0,13175.3,14126.3,14608.5,,11568.7,9385.0,,11015.0,3544.0,,,,,10382.0,4024.3,4975.3,5457.5,,2417.7,234.0,,True,,,,,True,True,True,True,,True,True,
01075,151,258.0,107.0,,,,,420.0,174.0,177.5,225.0,,,,,107.0,-44.0,,,,,269.0,23.0,26.5,74.0,,,,,True,,,,,False,True,True,True,,,,
01077,1066,2274.0,1399.0,,,,,3227.0,1127.2,1726.9,1664.0,,814.8,,,1208.0,333.0,,,,,2161.0,61.2,660.9,598.0,,-251.2,,,True,,,,,False,True,True,True,,True,,
01079,401,660.0,143.0,,,,,1225.0,711.1,650.7,563.5,,287.8,,,259.0,-258.0,,,,,824.0,310.1,249.7,162.5,,-113.2,,,True,,,,,False,False,True,True,,True,,
01081,2557,5370.0,2732.0,,,,,3990.0,6331.7,3638.8,5768.0,,3475.2,7511.0,,2813.0,175.0,,,,,1433.0,3774.7,1081.8,3211.0,,918.2,4954.0,,True,,,,,True,False,True,False,,True,False,
01083,1391,2484.0,3680.0,,,,,3012.0,1703.4,1618.3,1921.0,,1880.1,,,1093.0,2289.0,,,,,1621.0,312.4,227.3,530.0,,489.1,,,False,,,,,False,True,True,True,,True,,
01085,214,294.0,255.0,,,,,149.0,884.5,252.7,326.0,,,,,80.0,41.0,,,,,-65.0,670.5,38.7,112.0,,,,,True,,,,,True,False,True,False,,,,
01087,274,366.0,329.0,,,,,285.0,295.5,246.6,313.0,,,,,92.0,55.0,,,,,11.0,21.5,-27.4,39.0,,,,,True,,,,,True,True,True,True,,,,
01089,5503,9798.0,3385.0,,,,,10617.0,5972.9,7705.2,7428.5,,5633.5,5964.0,,4295.0,-2118.0,,,,,5114.0,469.9,2202.2,1925.5,,130.5,461.0,,True,,,,,False,True,True,True,,True,True,
01091,476,264.0,106.0,,,,,500.0,381.6,361.1,153.0,,,,,-212.0,-370.0,,,,,24.0,-94.4,-114.9,-323.0,,,,,False,,,,,True,True,True,False,,,,
01093,371,852.0,783.0,,,,,907.0,500.5,559.3,631.0,,247.9,,,481.0,412.0,,,,,536.0,129.5,188.3,260.0,,-123.1,,,True,,,,,False,True,True,True,,True,,
01095,1092,2034.0,2306.0,,,,,3483.0,1379.2,1606.2,1546.5,,1747.5,,,942.0,1214.0,,,,,2391.0,287.2,514.2,454.5,,655.5,,,False,,,,,False,True,True,True,,True,,
01097,5986,10752.0,15126.0,,,,,11199.0,4051.5,7200.7,11157.0,,5696.3,5945.0,,4766.0,9140.0,,,,,5213.0,-1934.5,1214.7,5171.0,,-289.7,-41.0,,False,,,,,False,True,True,False,,True,True,
01099,212,432.0,97.0,,,,,488.0,470.5,361.8,128.0,,,,,220.0,-115.0,,,,,276.0,258.5,149.8,-84.0,,,,,True,,,,,False,False,True,True,,,,
01101,3660,5760.0,2905.0,,,,,5003.0,9896.5,5112.6,5629.5,,5023.9,4437.0,,2100.0,-755.0,,,,,1343.0,6236.5,1452.6,1969.5,,1363.9,777.0,,True,,,,,True,False,True,True,,True,True,
01103,1466,3246.0,3043.0,,,,,4199.0,1535.7,2107.2,2323.0,,1670.3,,,1780.0,1577.0,,,,,2733.0,69.7,641.2,857.0,,204.3,,,True,,,,,False,True,True,True,,True,,
01105,125,264.0,325.0,,,,,189.0,59.8,152.8,246.0,,,,,139.0,200.0,,,,,64.0,-65.2,27.8,121.0,,,,,False,,,,,True,True,True,True,,,,
01107,289,510.0,329.0,,,,,566.0,319.8,382.3,326.5,,,,,221.0,40.0,,,,,277.0,30.8,93.3,37.5,,,,,True,,,,,False,True,True,True,,,,
01109,457,888.0,535.0,,,,,756.0,4063.1,781.1,816.0,,456.5,,,431.0,78.0,,,,,299.0,3606.1,324.1,359.0,,-0.5,,,True,,,,,True,False,True,True,,True,,
01111,248,324.0,289.0,,,,,570.0,308.5,235.4,311.0,,,,,76.0,41.0,,,,,322.0,60.5,-12.6,63.0,,,,,True,,,,,False,True,True,True,,,,
01113,771,1296.0,1344.0,,,,,1204.0,986.6,1088.8,1711.5,,1065.0,,,525.0,573.0,,,,,433.0,215.6,317.8,940.5,,294.0,,,False,,,,,True,True,True,False,,True,,
01115,1311,2010.0,588.0,,,,,2239.0,957.6,1420.7,1432.0,,822.7,,,699.0,-723.0,,,,,928.0,-353.4,109.7,121.0,,-488.3,,,False,,,,,False,True,True,True,,True,,
01117,3471,5832.0,2929.0,,,,,5981.0,4236.1,4039.9,3465.0,,3226.7,3091.0,,2361.0,-542.0,,,,,2510.0,765.1,568.9,-6.0,,-244.3,-380.0,,True,,,,,False,True,True,True,,True,True,
01119,96,6.0,9.0,,,,,260.0,11.1,121.5,2.0,,,,,-90.0,-87.0,,,,,164.0,-84.9,25.5,-94.0,,,,,True,,,,,False,True,True,False,,,,
01121,1366,2274.0,669.0,,,,,2129.0,2853.6,1583.2,2305.0,,1694.2,,,908.0,-697.0,,,,,763.0,1487.6,217.2,939.0,,328.2,,,True,,,,,True,False,True,False,,True,,
01123,1027,402.0,88.0,,,,,868.0,472.5,467.3,335.0,,328.4,,,-625.0,-939.0,,,,,-159.0,-554.5,-559.7,-692.0,,-698.6,,,False,,,,,True,True,True,False,,False,,
01125,3441,3540.0,971.0,,,,,6418.0,2063.6,3887.7,2632.0,,3160.9,1105.0,,99.0,-2470.0,,,,,2977.0,-1377.4,446.7,-809.0,,-280.1,-2336.0,,False,,,,,False,False,False,False,,False,False,
01127,634,996.0,245.0,,,,,2154.0,1024.2,1071.1,824.0,,820.5,,,362.0,-389.0,,,,,1520.0,390.2,437.1,190.0,,186.5,,,False,,,,,False,False,False,True,,True,,
01129,203,348.0,176.0,,,,,557.0,524.7,294.2,292.0,,,,,145.0,-27.0,,,,,354.0,321.7,91.2,89.0,,,,,True,,,,,False,False,True,True,,,,
01131,190,372.0,501.0,,,,,166.0,686.9,225.6,400.0,,,,,182.0,311.0,,,,,-24.0,496.9,35.6,210.0,,,,,False,,,,,True,False,True,False,,,,
01133,215,480.0,194.0,,,,,830.0,386.5,394.5,398.0,,121.9,,,265.0,-21.0,,,,,615.0,171.5,179.5,183.0,,-93.1,,,True,,,,,False,True,True,True,,True,,
02013,322,6.0,0.0,,,,,,0.0,1.3,0.0,,,,,-316.0,-322.0,,,,,,-322.0,-320.7,-322.0,,,,,False,,,,,,False,False,False,,,,
02016,312,126.0,,,,,,,47.6,194.1,382.0,,,,,-186.0,,,,,,,-264.4,-117.9,70.0,,,,,,,,,,,False,True,True,,,,
02020,2018,3570.0,1710.0,,,,,,2127.2,2762.6,2545.5,,5040.9,1724.0,,1552.0,-308.0,,,,,,109.2,744.6,527.5,,3022.9,-294.0,,True,,,,,,True,True,True,,False,True,
02050,629,978.0,0.0,,,,,,72.4,468.1,780.0,,,,,349.0,-629.0,,,,,,-556.6,-160.9,151.0,,,,,False,,,,,,False,True,True,,,,
02060,0,0.0,0.0,,,,,,0.8,0.0,,,,,,0.0,0.0,,,,,,0.8,0.0,,,,,,True,,,,,,False,True,,,,,
02068,10,18.0,0.0,,,,,,381.8,7.2,6.0,,,,,8.0,-10.0,,,,,,371.8,-2.8,-4.0,,,,,False,,,,,,False,True,True,,,,
02070,54,12.0,0.0,,,,,,677.5,35.1,45.0,,,,,-42.0,-54.0,,,,,,623.5,-18.9,-9.0,,,,,False,,,,,,False,True,True,,,,
02090,640,1578.0,,,,,,,1945.5,1065.1,1619.5,,733.6,,,938.0,,,,,,,1305.5,425.1,979.5,,93.6,,,,,,,,,False,True,False,,True,,
02100,4,0.0,0.0,,,,,,14.7,7.0,1.0,,,,,-4.0,-4.0,,,,,,10.7,3.0,-3.0,,,,,False,,,,,,False,True,True,,,,
02105,0,0.0,0.0,,,,,,1.0,0.0,,,,,,0.0,0.0,,,,,,1.0,0.0,,,,,,True,,,,,,False,True,,,,,
02110,150,168.0,22.0,,,,,,21.5,105.8,166.0,,,,,18.0,-128.0,,,,,,-128.5,-44.2,16.0,,,,,False,,,,,,False,False,True,,,,
02122,177,468.0,650.0,,,,,,430.9,329.2,274.0,,241.8,,,291.0,473.0,,,,,,253.9,152.2,97.0,,64.8,,,False,,,,,,True,True,True,,True,,
02130,94,66.0,,,,,,,131.7,38.3,73.0,,,,,-28.0,,,,,,,37.7,-55.7,-21.0,,,,,,,,,,,False,False,True,,,,
02150,59,210.0,0.0,,,,,,79.0,127.3,86.0,,,,,151.0,-59.0,,,,,,20.0,68.3,27.0,,,,,True,,,,,,True,True,True,,,,
02158,225,324.0,,,,,,,39.9,206.1,699.0,,,,,99.0,,,,,,,-185.1,-18.9,474.0,,,,,,,,,,,False,True,False,,,,
02164,19,0.0,0.0,,,,,,4.8,7.3,27.0,,,,,-19.0,-19.0,,,,,,-14.2,-11.7,8.0,,,,,False,,,,,,True,True,True,,,,
02170,1451,1602.0,1636.0,,,,,,1184.1,854.8,1210.5,,1736.1,,,151.0,185.0,,,,,,-266.9,-596.2,-240.5,,285.1,,,False,,,,,,False,False,False,,False,,
02180,32,66.0,,,,,,,6.1,26.4,26.0,,,,,34.0,,,,,,,-25.9,-5.6,-6.0,,,,,,,,,,,True,True,True,,,,
02185,55,600.0,0.0,,,,,,357.0,245.3,610.0,,,,,545.0,-55.0,,,,,,302.0,190.3,555.0,,,,,True,,,,,,True,True,False,,,,
02188,73,222.0,0.0,,,,,,1938.5,201.5,398.0,,,,,149.0,-73.0,,,,,,1865.5,128.5,325.0,,,,,True,,,,,,False,True,False,,,,
02195,39,48.0,8.0,,,,,,380.0,38.4,17.0,,,,,9.0,-31.0,,,,,,341.0,-0.6,-22.0,,,,,False,,,,,,False,True,False,,,,
02198,3,6.0,0.0,,,,,,11.3,18.9,12.0,,,,,3.0,-3.0,,,,,,8.3,15.9,9.0,,,,,False,,,,,,False,False,False,,,,
02220,26,78.0,0.0,,,,,,798.3,34.7,104.0,,,,,52.0,-26.0,,,,,,772.3,8.7,78.0,,,,,True,,,,,,False,True,False,,,,
02230,4,0.0,0.0,,,,,,0.1,7.8,0.0,,,,,-4.0,-4.0,,,,,,-3.9,3.8,-4.0,,,,,False,,,,,,True,True,False,,,,
02240,41,0.0,0.0,,,,,,7.1,13.7,1.0,,,,,-41.0,-41.0,,,,,,-33.9,-27.3,-40.0,,,,,False,,,,,,True,True,True,,,,
02261,62,108.0,,,,,,,44.4,108.0,68.0,,,,,46.0,,,,,,,-17.6,46.0,6.0,,,,,,,,,,,True,False,True,,,,
02275,4,0.0,0.0,,,,,,0.7,10.0,0.0,,,,,-4.0,-4.0,,,,,,-3.3,6.0,-4.0,,,,,False,,,,,,True,False,False,,,,
02282,7,0.0,0.0,,,,,,121.6,6.0,12.0,,,,,-7.0,-7.0,,,,,,114.6,-1.0,5.0,,,,,False,,,,,,False,True,True,,,,
02290,85,90.0,,,,,,,1212.4,73.7,144.0,,,,,5.0,,,,,,,1127.4,-11.3,59.0,,,,,,,,,,,False,False,False,,,,
04001,1875,2208.0,2989.0,,,,,3582.0,1389.4,1701.6,2216.5,,1840.2,,,333.0,1114.0,,,,,1707.0,-485.6,-173.4,341.5,,-34.8,,,False,,,,,False,False,True,False,,True,,
04003,1655,4818.0,3354.0,,,,,3999.0,5399.3,3555.6,2669.0,,2697.2,,,3163.0,1699.0,,,,,2344.0,3744.3,1900.6,1014.0,,1042.2,,,True,,,,,True,False,True,True,,True,,
04005,2706,7152.0,6290.0,,,,,4606.0,5586.8,4243.3,6517.0,,4526.5,5981.0,,4446.0,3584.0,,,,,1900.0,2880.8,1537.3,3811.0,,1820.5,3275.0,,True,,,,,True,True,True,True,,True,True,
04007,1061,1962.0,2062.0,,,,,2410.0,1322.4,1276.6,1871.0,,1073.8,,,901.0,1001.0,,,,,1349.0,261.4,215.6,810.0,,12.8,,,False,,,,,False,True,True,True,,True,,
04009,984,1824.0,2280.0,,,,,1698.0,5323.7,1130.9,1280.5,,805.1,,,840.0,1296.0,,,,,714.0,4339.7,146.9,296.5,,-178.9,,,False,,,,,True,False,True,True,,True,,
04011,79,120.0,,,,,,459.0,288.6,98.3,122.0,,,,,41.0,,,,,,380.0,209.6,19.3,43.0,,,,,,,,,,False,False,True,False,,,,
04012,405,1044.0,998.0,,,,,1544.0,651.3,640.1,970.0,,,,,639.0,593.0,,,,,1139.0,246.3,235.1,565.0,,,,,True,,,,,False,True,True,True,,,,
04013,96401,231252.0,374790.0,,,,,207081.0,198012.3,150754.7,196032.0,,160862.5,170763.0,,134851.0,278389.0,,,,,110680.0,101611.3,54353.7,99631.0,,64461.5,74362.0,,False,,,,,True,True,True,True,,True,True,
04015,4514,9576.0,9408.0,,,,,6368.0,4072.1,6706.6,5996.5,,2520.7,5589.0,,5062.0,4894.0,,,,,1854.0,-441.9,2192.6,1482.5,,-1993.3,1075.0,,True,,,,,True,True,True,True,,True,True,
04017,2411,4938.0,2328.0,,,,,4982.0,1847.6,3114.9,3507.5,,3165.4,,,2527.0,-83.0,,,,,2571.0,-563.4,703.9,1096.5,,754.4,,,True,,,,,False,True,True,True,,True,,
04019,20442,49416.0,83982.0,,,,,43954.0,31870.4,33832.6,42326.5,,31216.1,33715.0,,28974.0,63540.0,,,,,23512.0,11428.4,13390.6,21884.5,,10774.1,13273.0,,False,,,,,True,True,True,True,,True,True,
04021,9578,21552.0,18966.0,,,,,19383.0,26122.9,15167.6,17201.0,,12221.6,16900.0,,11974.0,9388.0,,,,,9805.0,16544.9,5589.6,7623.0,,2643.6,7322.0,,True,,,,,True,False,True,True,,True,True,
04023,636,2286.0,1230.0,,,,,2647.0,838.0,1339.8,1571.0,,1775.7,,,1650.0,594.0,,,,,2011.0,202.0,703.8,935.0,,1139.7,,,True,,,,,False,True,True,True,,True,,
04025,2446,7854.0,5822.0,,,,,7328.0,5043.4,6243.8,5535.0,,3658.6,5171.0,,5408.0,3376.0,,,,,4882.0,2597.4,3797.8,3089.0,,1212.6,2725.0,,True,,,,,True,True,True,True,,True,True,
04027,3675,11334.0,2564.0,,,,,10995.0,7065.9,6997.4,6974.5,,3223.9,7587.0,,7659.0,-1111.0,,,,,7320.0,3390.9,3322.4,3299.5,,-451.1,3912.0,,True,,,,,True,True,True,True,,True,True,
05001,431,552.0,451.0,,,,,651.0,397.8,322.7,531.5,,,,,121.0,20.0,,,,,220.0,-33.2,-108.3,100.5,,,,,True,,,,,False,True,True,True,,,,
05003,299,516.0,604.0,,,,,732.0,272.4,291.9,491.0,,,,,217.0,305.0,,,,,433.0,-26.6,-7.1,192.0,,,,,False,,,,,False,True,True,True,,,,
05005,366,804.0,423.0,,,,,806.0,293.1,558.8,527.5,,,,,438.0,57.0,,,,,440.0,-72.9,192.8,161.5,,,,,True,,,,,False,True,True,True,,,,
05007,4212,14598.0,5588.0,,,,,8965.0,10695.4,7290.8,7638.0,,5266.6,3902.0,,10386.0,1376.0,,,,,4753.0,6483.4,3078.8,3426.0,,1054.6,-310.0,,True,,,,,True,True,True,True,,True,True,
05009,640,1080.0,1072.0,,,,,841.0,500.4,602.3,901.0,,,,,440.0,432.0,,,,,201.0,-139.6,-37.7,261.0,,,,,True,,,,,True,True,True,True,,,,
05011,168,474.0,365.0,,,,,391.0,268.6,239.9,456.0,,,,,306.0,197.0,,,,,223.0,100.6,71.9,288.0,,,,,True,,,,,True,True,True,True,,,,
05013,105,132.0,31.0,,,,,202.0,52.3,92.0,133.0,,,,,27.0,-74.0,,,,,97.0,-52.7,-13.0,28.0,,,,,False,,,,,False,False,True,False,,,,
05015,320,870.0,1195.0,,,,,558.0,448.3,475.5,645.0,,,,,550.0,875.0,,,,,238.0,128.3,155.5,325.0,,,,,False,,,,,True,True,True,True,,,,
05017,88,210.0,,,,,,323.0,68.3,169.3,168.0,,,,,122.0,,,,,,235.0,-19.7,81.3,80.0,,,,,,,,,,False,True,True,True,,,,
05019,391,762.0,213.0,,,,,827.0,217.6,382.4,595.0,,,,,371.0,-178.0,,,,,436.0,-173.4,-8.6,204.0,,,,,True,,,,,False,True,True,True,,,,
05021,205,390.0,293.0,,,,,388.0,131.2,227.2,292.0,,,,,185.0,88.0,,,,,183.0,-73.8,22.2,87.0,,,,,True,,,,,True,True,True,True,,,,
05023,274,660.0,131.0,,,,,756.0,364.0,377.5,789.0,,,,,386.0,-143.0,,,,,482.0,90.0,103.5,515.0,,,,,True,,,,,False,True,True,False,,,,
05025,235,324.0,180.0,,,,,309.0,107.0,138.3,250.0,,,,,89.0,-55.0,,,,,74.0,-128.0,-96.7,15.0,,,,,True,,,,,True,False,False,True,,,,
05027,365,534.0,484.0,,,,,950.0,201.7,397.5,431.5,,,,,169.0,119.0,,,,,585.0,-163.3,32.5,66.5,,,,,True,,,,,False,True,True,True,,,,
05029,378,924.0,433.0,,,,,784.0,613.0,519.6,589.5,,,,,546.0,55.0,,,,,406.0,235.0,141.6,211.5,,,,,True,,,,,True,True,True,True,,,,
05031,1252,3360.0,1611.0,,,,,3727.0,1563.5,2262.6,2747.0,,2034.2,,,2108.0,359.0,,,,,2475.0,311.5,1010.6,1495.0,,782.2,,,True,,,,,False,True,True,True,,True,,
05033,1213,3060.0,4443.0,,,,,2885.0,1791.3,1815.9,2605.0,,,,,1847.0,3230.0,,,,,1672.0,578.3,602.9,1392.0,,,,,False,,,,,True,True,True,True,,,,
05035,646,1902.0,1747.0,,,,,1189.0,1312.7,1095.4,1735.5,,1249.8,,,1256.0,1101.0,,,,,543.0,666.7,449.4,1089.5,,603.8,,,True,,,,,True,True,True,True,,True,,
05037,204,636.0,442.0,,,,,584.0,222.3,374.4,494.0,,,,,432.0,238.0,,,,,380.0,18.3,170.4,290.0,,,,,True,,,,,True,True,True,True,,,,
05039,117,384.0,456.0,,,,,252.0,262.2,156.8,293.0,,,,,267.0,339.0,,,,,135.0,145.2,39.8,176.0,,,,,False,,,,,True,True,True,True,,,,
05041,246,324.0,74.0,,,,,299.0,94.1,207.4,168.0,,,,,78.0,-172.0,,,,,53.0,-151.9,-38.6,-78.0,,,,,False,,,,,True,False,True,False,,,,
05043,253,582.0,676.0,,,,,725.0,316.0,290.6,596.0,,,,,329.0,423.0,,,,,472.0,63.0,37.6,343.0,,,,,False,,,,,False,True,True,False,,,,
05045,2143,4176.0,1843.0,,,,,4101.0,2314.1,2594.0,2972.5,,6055.7,,,2033.0,-300.0,,,,,1958.0,171.1,451.0,829.5,,3912.7,,,True,,,,,True,True,True,True,,False,,
05047,300,660.0,857.0,,,,,685.0,564.8,345.5,611.0,,,,,360.0,557.0,,,,,385.0,264.8,45.5,311.0,,,,,False,,,,,False,True,True,True,,,,
