,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FAIR-NRAR,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01021,150,218.0,,222.7,,180.0,395.0,178.0,,,,118.1,,214.8,,,194.0,52.2,,127.8,45.0,,178.0,178.9,,,,189.0,135.0,305.3,,,,,,,,,212.8,184.7,68.0,,72.7,,30.0,245.0,28.0,,,,-31.9,,64.8,,,44.0,-97.8,,-22.2,-105.0,,28.0,28.9,,,,39.0,-15.0,155.3,,,,,,,,,62.8,34.7,,False,,True,False,True,,,,True,,True,,,True,False,,True,False,,True,True,,,,True,True,False,,,,,,,,,True,True
01023,7,6.0,,5.5,,9.0,60.0,7.0,,,,16.4,,16.5,,,51.0,12.7,,20.4,,,0.0,3.2,,,,5.0,11.0,13.3,,,,,,,,,14.3,32.1,-1.0,,-1.5,,2.0,53.0,0.0,,,,9.4,,9.5,,,44.0,5.7,,13.4,,,-7.0,-3.8,,,,-2.0,4.0,6.3,,,,,,,,,7.3,25.1,,False,,False,False,True,,,,False,,False,,,False,False,,False,,,False,False,,,,False,False,False,,,,,,,,,False,False
01025,52,114.0,,111.8,,100.0,319.0,145.0,,,,126.7,,70.6,,,96.0,82.9,,152.2,,,50.0,86.4,,,,142.0,95.0,59.7,,,,,,,,,145.3,242.5,62.0,,59.8,,48.0,267.0,93.0,,,,74.7,,18.6,,,44.0,30.9,,100.2,,,-2.0,34.4,,,,90.0,43.0,7.7,,,,,,,,,93.3,190.5,,True,,True,False,False,,,,False,,True,,,True,True,,False,,,True,True,,,,False,True,True,,,,,,,,,False,False
01027,48,72.0,,73.6,,46.0,155.0,34.0,,,,39.4,,28.5,,,58.0,27.7,,40.9,,,29.0,44.7,,,,55.0,46.0,65.4,,,,,,,,,67.7,80.9,24.0,,25.6,,-2.0,107.0,-14.0,,,,-8.6,,-19.5,,,10.0,-20.3,,-7.1,,,-19.0,-3.3,,,,7.0,-2.0,17.4,,,,,,,,,19.7,32.9,,False,,True,False,True,,,,True,,True,,,True,True,,True,,,True,True,,,,True,True,True,,,,,,,,,True,False
01029,39,32.0,,20.9,,40.0,140.0,46.0,,,,39.7,,24.2,,,74.0,60.0,,62.4,,,1.0,26.3,,,,32.0,36.0,75.9,,,,,,,,,41.5,67.3,-7.0,,-18.1,,1.0,101.0,7.0,,,,0.7,,-14.8,,,35.0,21.0,,23.4,,,-38.0,-12.7,,,,-7.0,-3.0,36.9,,,,,,,,,2.5,28.3,,False,,True,False,False,,,,True,,False,,,False,False,,False,,,False,False,,,,False,True,False,,,,,,,,,True,False
01031,91,154.0,,170.8,,161.0,429.0,210.0,,,,165.4,,127.9,,,207.0,216.2,,242.3,67.5,,45.0,111.9,,,,164.0,146.0,154.0,,,,,,,,,170.7,330.7,63.0,,79.8,,70.0,338.0,119.0,,,,74.4,,36.9,,,116.0,125.2,,151.3,-23.5,,-46.0,20.9,,,,73.0,55.0,63.0,,,,,,,,,79.7,239.7,,False,,False,False,False,,,,False,,True,,,False,False,,False,True,,True,True,,,,False,True,False,,,,,,,,,False,False
01033,78,120.0,,137.6,,117.0,354.0,128.0,,,,168.4,,94.9,,,278.0,92.1,,237.1,51.5,,23.0,92.4,,,,128.0,120.0,164.5,,,,,,,,,111.0,273.9,42.0,,59.6,,39.0,276.0,50.0,,,,90.4,,16.9,,,200.0,14.1,,159.1,-26.5,,-55.0,14.4,,,,50.0,42.0,86.5,,,,,,,,,33.0,195.9,,False,,True,False,False,,,,False,,True,,,False,True,,False,True,,False,True,,,,False,False,False,,,,,,,,,True,False
01035,17,38.0,,40.0,,33.0,111.0,43.0,,,,30.5,,26.9,,,41.0,28.2,,35.3,,,17.0,24.1,,,,42.0,29.0,66.0,,,,,,,,,15.8,53.2,21.0,,23.0,,16.0,94.0,26.0,,,,13.5,,9.9,,,24.0,11.2,,18.3,,,0.0,7.1,,,,25.0,12.0,49.0,,,,,,,,,-1.2,36.2,,False,,True,False,False,,,,True,,True,,,False,True,,True,,,True,True,,,,False,True,False,,,,,,,,,True,False
01037,52,180.0,,175.5,,110.0,304.0,106.0,,,,31.8,,112.8,,,39.0,236.6,,51.1,,,167.0,108.4,,,,214.0,100.0,69.3,,,,,,,,,186.4,152.1,128.0,,123.5,,58.0,252.0,54.0,,,,-20.2,,60.8,,,-13.0,184.6,,-0.9,,,115.0,56.4,,,,162.0,48.0,17.3,,,,,,,,,134.4,100.1,,True,,True,False,True,,,,True,,True,,,True,False,,True,,,True,True,,,,False,True,True,,,,,,,,,False,True
01039,138,180.0,,216.0,,146.0,414.0,256.0,,,,123.0,,92.2,,,146.0,391.7,,150.6,43.0,,124.0,131.2,,,,190.0,157.0,146.9,,,,,,,,,188.5,222.5,42.0,,78.0,,8.0,276.0,118.0,,,,-15.0,,-45.8,,,8.0,253.7,,12.6,-95.0,,-14.0,-6.8,,,,52.0,19.0,8.9,,,,,,,,,50.5,84.5,,False,,True,False,False,,,,True,,False,,,True,False,,True,False,,True,True,,,,False,True,True,,,,,,,,,False,False
01041,53,78.0,,86.5,,60.0,189.0,67.0,,,,45.2,,44.3,,,51.0,54.7,,55.7,,,45.0,62.0,,,,67.0,60.0,55.7,,,,,,,,,81.1,126.8,25.0,,33.5,,7.0,136.0,14.0,,,,-7.8,,-8.7,,,-2.0,1.7,,2.7,,,-8.0,9.0,,,,14.0,7.0,2.7,,,,,,,,,28.1,73.8,,False,,True,False,True,,,,True,,True,,,True,True,,True,,,True,True,,,,True,True,True,,,,,,,,,False,False
01043,104,130.0,,166.0,,151.0,486.0,160.0,,,,232.9,,108.6,,,492.0,158.7,,315.4,161.5,,35.0,113.9,,,,135.0,108.0,306.6,,,,,,,,,37.3,320.8,26.0,,62.0,,47.0,382.0,56.0,,,,128.9,,4.6,,,388.0,54.7,,211.4,57.5,,-69.0,9.9,,,,31.0,4.0,202.6,,,,,,,,,-66.7,216.8,,False,,False,False,False,,,,False,,True,,,False,False,,False,False,,False,True,,,,False,True,False,,,,,,,,,False,False
01045,128,228.0,,233.7,,174.0,409.0,144.0,,,,146.5,,222.1,,,212.0,120.8,,185.4,55.0,,144.0,170.6,,,,193.0,177.0,170.2,,,,,,,,,179.2,266.2,100.0,,105.7,,46.0,281.0,16.0,,,,18.5,,94.1,,,84.0,-7.2,,57.4,-73.0,,16.0,42.6,,,,65.0,49.0,42.2,,,,,,,,,51.2,138.2,,False,,True,False,True,,,,True,,True,,,True,True,,True,True,,True,True,,,,True,True,True,,,,,,,,,True,False
01047,123,20.0,,18.9,,38.0,231.0,51.0,,,,90.1,,62.1,,,130.0,58.9,,102.1,47.5,,10.0,34.6,,,,,20.0,96.3,,,,,,,,,21.6,120.6,-103.0,,-104.1,,-85.0,108.0,-72.0,,,,-32.9,,-60.9,,,7.0,-64.1,,-20.9,-75.5,,-113.0,-88.4,,,,,-103.0,-26.7,,,,,,,,,-101.4,-2.4,,False,,True,False,True,,,,True,,True,,,True,True,,True,True,,False,True,,,,,False,True,,,,,,,,,True,True
01049,98,166.0,,178.2,,152.0,543.0,235.0,,,,230.5,,98.1,,,414.0,123.5,,273.6,123.0,,59.0,132.5,,,,134.0,142.0,216.2,,,,,,,,,93.6,252.1,68.0,,80.2,,54.0,445.0,137.0,,,,132.5,,0.1,,,316.0,25.5,,175.6,25.0,,-39.0,34.5,,,,36.0,44.0,118.2,,,,,,,,,-4.4,154.1,,False,,True,False,False,,,,False,,True,,,False,True,,False,True,,True,True,,,,True,True,False,,,,,,,,,True,False
01051,283,438.0,,440.5,,312.0,754.0,362.0,,,,326.1,,258.5,,,304.0,303.7,,380.3,96.0,,223.0,280.8,,,,371.0,346.0,246.0,,,,,,,,,305.3,507.8,155.0,,157.5,,29.0,471.0,79.0,,,,43.1,,-24.5,,,21.0,20.7,,97.3,-187.0,,-60.0,-2.2,,,,88.0,63.0,-37.0,,,,,,,,,22.3,224.8,,False,,True,False,True,,,,True,,True,,,True,True,,True,False,,True,True,,,,True,True,True,,,,,,,,,True,False
01053,71,152.0,,146.6,,127.0,326.0,129.0,,,,120.3,,108.6,,,150.0,88.8,,177.7,76.5,,58.0,99.6,,,,151.0,114.0,165.4,,,,,,,,,156.1,202.7,81.0,,75.6,,56.0,255.0,58.0,,,,49.3,,37.6,,,79.0,17.8,,106.7,5.5,,-13.0,28.6,,,,80.0,43.0,94.4,,,,,,,,,85.1,131.7,,True,,True,False,True,,,,True,,True,,,True,True,,False,True,,True,True,,,,True,True,False,,,,,,,,,False,False
01055,227,312.0,,366.9,,302.0,847.0,278.0,,,,374.7,,195.8,,,548.0,496.8,,384.2,76.0,,131.0,261.2,,,,251.0,290.0,396.9,,,,,,,,,267.5,517.4,85.0,,139.9,,75.0,620.0,51.0,,,,147.7,,-31.2,,,321.0,269.8,,157.2,-151.0,,-96.0,34.2,,,,24.0,63.0,169.9,,,,,,,,,40.5,290.4,,False,,True,False,True,,,,False,,True,,,False,False,,False,False,,False,True,,,,True,True,False,,,,,,,,,True,False
01057,63,46.0,,45.8,,45.0,180.0,33.0,,,,54.2,,18.4,,,85.0,39.7,,86.4,,,13.0,36.6,,,,50.0,44.0,80.3,,,,,,,,,31.5,119.5,-17.0,,-17.2,,-18.0,117.0,-30.0,,,,-8.8,,-44.6,,,22.0,-23.3,,23.4,,,-50.0,-26.4,,,,-13.0,-19.0,17.3,,,,,,,,,-31.5,56.5,,False,,False,False,False,,,,True,,False,,,False,False,,False,,,False,False,,,,True,False,False,,,,,,,,,False,False
01059,44,84.0,,89.8,,68.0,264.0,59.0,,,,108.2,,36.8,,,187.0,44.5,,124.5,5.5,,34.0,57.9,,,,67.0,82.0,86.8,,,,,,,,,43.5,115.4,40.0,,45.8,,24.0,220.0,15.0,,,,64.2,,-7.2,,,143.0,0.5,,80.5,-38.5,,-10.0,13.9,,,,23.0,38.0,42.8,,,,,,,,,-0.5,71.4,,False,,True,False,True,,,,False,,True,,,False,True,,False,True,,True,True,,,,True,True,False,,,,,,,,,True,False
01061,46,54.0,,43.8,,66.0,212.0,97.0,,,,73.2,,62.3,,,113.0,69.2,,139.8,,,18.0,50.2,,,,53.0,52.0,152.0,,,,,,,,,55.6,167.4,8.0,,-2.2,,20.0,166.0,51.0,,,,27.2,,16.3,,,67.0,23.2,,93.8,,,-28.0,4.2,,,,7.0,6.0,106.0,,,,,,,,,9.6,121.4,,True,,False,False,False,,,,False,,False,,,False,False,,False,,,False,True,,,,True,True,False,,,,,,,,,False,False
01063,26,50.0,,51.3,,37.0,135.0,40.0,,,,26.4,,44.1,,,27.0,49.7,,31.1,,,38.0,34.3,,,,49.0,26.0,21.8,,,,,,,,,47.9,43.6,24.0,,25.3,,11.0,109.0,14.0,,,,0.4,,18.1,,,1.0,23.7,,5.1,,,12.0,8.3,,,,23.0,0.0,-4.2,,,,,,,,,21.9,17.6,,False,,True,False,True,,,,True,,True,,,True,True,,True,,,True,True,,,,True,True,True,,,,,,,,,True,True
01065,73,38.0,,46.3,,41.0,183.0,33.0,,,,63.0,,35.9,,,61.0,44.7,,79.0,,,23.0,37.4,,,,43.0,29.0,55.4,,,,,,,,,14.5,120.7,-35.0,,-26.7,,-32.0,110.0,-40.0,,,,-10.0,,-37.1,,,-12.0,-28.3,,6.0,,,-50.0,-35.6,,,,-30.0,-44.0,-17.6,,,,,,,,,-58.5,47.7,,True,,True,False,False,,,,True,,False,,,True,True,,True,,,False,False,,,,True,False,True,,,,,,,,,False,False
01067,49,68.0,,64.2,,64.0,209.0,75.0,,,,55.6,,39.1,,,68.0,153.4,,71.8,,,54.0,60.4,,,,74.0,61.0,77.3,,,,,,,,,66.8,119.6,19.0,,15.2,,15.0,160.0,26.0,,,,6.6,,-9.9,,,19.0,104.4,,22.8,,,5.0,11.4,,,,25.0,12.0,28.3,,,,,,,,,17.8,70.6,,True,,True,False,False,,,,True,,True,,,False,False,,False,,,True,True,,,,False,True,False,,,,,,,,,True,False
01069,200,346.0,,376.0,,303.0,750.0,219.0,,,,325.1,,312.0,,,417.0,339.8,,508.0,196.0,,155.0,249.8,,,,308.0,277.0,588.8,,,,,,,,,206.5,613.9,146.0,,176.0,,103.0,550.0,19.0,,,,125.1,,112.0,,,217.0,139.8,,308.0,-4.0,,-45.0,49.8,,,,108.0,77.0,388.8,,,,,,,,,6.5,413.9,,False,,True,False,True,,,,True,,True,,,False,True,,False,True,,True,True,,,,True,True,False,,,,,,,,,True,False
01071,83,108.0,,94.1,,107.0,435.0,187.0,,,,172.0,,68.4,,,283.0,93.9,,220.4,39.0,,17.0,90.1,,,,110.0,97.0,250.7,,,,,,,,,9.8,248.9,25.0,,11.1,,24.0,352.0,104.0,,,,89.0,,-14.6,,,200.0,10.9,,137.4,-44.0,,-66.0,7.1,,,,27.0,14.0,167.7,,,,,,,,,-73.2,165.9,,True,,True,False,False,,,,False,,True,,,False,True,,False,False,,False,True,,,,False,True,False,,,,,,,,,False,False
01073,1542,2084.0,,2083.8,1917.7,1614.0,3768.0,1470.0,,,,2028.6,,2191.8,,1503.8,2625.0,1643.6,,2604.3,1239.5,,1236.0,1647.5,,,,1829.0,1459.0,2430.4,,,,,,1081.0,,,1258.1,3289.4,542.0,,541.8,375.7,72.0,2226.0,-72.0,,,,486.6,,649.8,,-38.2,1083.0,101.6,,1062.3,-302.5,,-306.0,105.5,,,,287.0,-83.0,888.4,,,,,,-461.0,,,-283.9,1747.4,,True,True,True,False,True,,,,True,,False,,True,False,True,,False,True,,True,True,,,,True,True,False,,,,,,True,,,True,False
01075,49,20.0,,17.2,,22.0,117.0,21.0,,,,32.1,,19.1,,,70.0,31.3,,38.4,,,16.0,21.2,,,,20.0,23.0,54.7,,,,,,,,,10.3,46.3,-29.0,,-31.8,,-27.0,68.0,-28.0,,,,-16.9,,-29.9,,,21.0,-17.7,,-10.6,,,-33.0,-27.8,,,,-29.0,-26.0,5.7,,,,,,,,,-38.7,-2.7,,False,,True,False,True,,,,True,,False,,,True,True,,True,,,False,True,,,,False,True,True,,,,,,,,,False,True
01077,134,220.0,,226.0,,174.0,612.0,163.0,,,,237.7,,256.6,,,475.0,165.4,,332.2,50.0,,132.0,179.3,,,,185.0,210.0,164.9,,,,,,,,,84.6,408.9,86.0,,92.0,,40.0,478.0,29.0,,,,103.7,,122.6,,,341.0,31.4,,198.2,-84.0,,-2.0,45.3,,,,51.0,76.0,30.9,,,,,,,,,-49.4,274.9,,False,,True,False,True,,,,False,,False,,,False,True,,False,True,,True,True,,,,True,True,True,,,,,,,,,True,False
01079,55,108.0,,108.1,,90.0,263.0,91.0,,,,88.3,,109.9,,,201.0,72.1,,114.6,48.5,,79.0,85.2,,,,88.0,90.0,117.8,,,,,,,,,29.3,146.3,53.0,,53.1,,35.0,208.0,36.0,,,,33.3,,54.9,,,146.0,17.1,,59.6,-6.5,,24.0,30.2,,,,33.0,35.0,62.8,,,,,,,,,-25.7,91.3,,False,,True,False,True,,,,True,,False,,,False,True,,False,True,,True,True,,,,True,True,False,,,,,,,,,True,False
01081,387,572.0,,534.1,,480.0,1085.0,413.0,,,,539.1,,412.6,,481.9,620.0,524.9,,827.3,268.5,,264.0,434.6,,,,625.0,391.0,370.3,,,,,,293.0,,,597.1,1212.8,185.0,,147.1,,93.0,698.0,26.0,,,,152.1,,25.6,,94.9,233.0,137.9,,440.3,-118.5,,-123.0,47.6,,,,238.0,4.0,-16.7,,,,,,-94.0,,,210.1,825.8,,True,,True,False,True,,,,True,,True,,True,False,True,,False,True,,True,True,,,,False,True,True,,,,,,True,,,False,False
01083,201,476.0,,457.2,,364.0,765.0,388.0,,,,304.8,,377.4,,,477.0,281.2,,365.2,166.5,,300.0,338.6,,,,407.0,362.0,396.5,,,,,,,,,304.6,497.1,275.0,,256.2,,163.0,564.0,187.0,,,,103.8,,176.4,,,276.0,80.2,,164.2,-34.5,,99.0,137.6,,,,206.0,161.0,195.5,,,,,,,,,103.6,296.1,,True,,True,False,True,,,,True,,True,,,False,True,,True,True,,True,True,,,,True,True,True,,,,,,,,,True,False
