,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Georgia,41379,50812.0,38014.4,50674.4,38578.0,71741.0,38699.0,,45230.0,36365.0,,46526.5,,36091.1,48327.0,36529.7,45075.0,49371.3,20155.5,36669.9,26780.5,33938.0,22909.1,61305.8,34695.0,48738.0,32747.0,,35098.9,45761.0,55339.3,,47879.4,42505.0,43478.1,,9433.0,-3364.6,9295.4,-2801.0,30362.0,-2680.0,,3851.0,-5014.0,,5147.5,,-5287.9,6948.0,-4849.3,3696.0,7992.3,-21223.5,-4709.1,-14598.5,-7441.0,-18469.9,19926.8,-6684.0,7359.0,-8632.0,,-6280.1,4382.0,13960.3,,6500.4,1126.0,2099.1,,True,True,True,False,True,,True,True,,True,,True,True,True,True,True,False,True,False,True,False,False,True,True,True,,True,True,False,,True,True,True,
Hawaii,690,808.0,524.3,800.1,749.0,4887.0,554.0,,816.3,457.0,,1069.0,,667.4,,2828.2,869.0,2212.8,761.5,682.0,514.0,607.6,708.1,1485.1,812.2,896.0,1756.0,,675.5,575.0,1950.4,,1269.3,777.0,724.5,,118.0,-165.7,110.1,59.0,4197.0,-136.0,,126.3,-233.0,,379.0,,-22.6,,2138.2,179.0,1522.8,71.5,-8.0,-176.0,-82.4,18.1,795.1,122.2,206.0,1066.0,,-14.5,-115.0,1260.4,,579.3,87.0,34.5,,False,True,True,False,False,,False,False,,False,,True,,False,False,False,True,True,False,True,True,False,False,False,False,,True,True,False,,False,True,True,
Idaho,3657,4548.0,2295.9,4646.5,3689.0,9688.0,3661.0,,4298.7,2596.0,,3349.3,,3359.6,5054.0,2099.9,4299.0,4988.3,3159.5,2592.8,1946.0,3408.8,3358.5,4631.0,3468.3,3962.0,6809.0,,2623.2,4303.0,3618.6,,4640.7,4264.0,3222.7,,891.0,-1361.1,989.5,32.0,6031.0,4.0,,641.7,-1061.0,,-307.7,,-297.4,1397.0,-1557.1,642.0,1331.3,-497.5,-1064.2,-1711.0,-248.2,-298.5,974.0,-188.7,305.0,3152.0,,-1033.8,646.0,-38.4,,983.7,607.0,-434.3,,False,False,True,False,True,,True,False,,True,,True,False,False,True,False,True,False,False,True,True,False,True,True,False,,False,True,True,,False,True,True,
Illinois,24844,32484.0,20064.5,31707.5,26322.0,57661.0,27455.0,,30977.3,21597.0,,18442.4,,23977.8,30091.0,14070.3,30579.0,46013.4,12520.5,29485.0,19396.0,24890.5,11310.5,34660.5,24004.7,29123.0,30432.0,,20370.2,27139.0,11759.0,,25118.7,28835.0,21153.6,,7640.0,-4779.5,6863.5,1478.0,32817.0,2611.0,,6133.3,-3247.0,,-6401.6,,-866.2,5247.0,-10773.7,5735.0,21169.4,-12323.5,4641.0,-5448.0,46.5,-13533.5,9816.5,-839.3,4279.0,5588.0,,-4473.8,2295.0,-13085.0,,274.7,3991.0,-3690.4,,True,True,True,False,True,,True,True,,True,,True,True,False,True,False,False,True,True,True,False,False,True,True,True,,True,True,False,,True,True,True,
Indiana,13285,19340.0,19020.3,19681.8,15580.0,32600.0,16483.0,,18240.1,17085.0,,17235.0,,14022.9,22143.0,11353.3,18119.0,20796.8,7144.0,12726.5,11404.5,14215.7,11292.2,20033.3,13343.3,16140.0,16377.0,,14162.9,15477.0,9684.0,,12249.9,17096.0,11855.9,,6055.0,5735.3,6396.8,2295.0,19315.0,3198.0,,4955.1,3800.0,,3950.0,,737.9,8858.0,-1931.7,4834.0,7511.8,-6141.0,-558.5,-1880.5,930.7,-1992.8,6748.3,58.3,2855.0,3092.0,,877.9,2192.0,-3601.0,,-1035.1,3811.0,-1429.1,,True,False,True,False,True,,True,True,,True,,True,False,True,True,False,False,True,True,True,True,False,True,True,True,,True,True,True,,True,True,True,
Iowa,7243,9466.0,9427.5,9502.3,7683.0,18031.0,6519.0,,7496.9,5998.0,,5891.2,,7227.1,7169.0,9078.3,9152.0,9781.4,5572.5,6758.6,5718.0,8016.4,5874.8,8162.3,6854.6,8199.0,11580.0,,7001.7,9180.0,995.8,,24588.8,7682.0,7553.2,,2223.0,2184.5,2259.3,440.0,10788.0,-724.0,,253.9,-1245.0,,-1351.8,,-15.9,-74.0,1835.3,1909.0,2538.4,-1670.5,-484.4,-1525.0,773.4,-1368.2,919.3,-388.4,956.0,4337.0,,-241.3,1937.0,-6247.2,,17345.8,439.0,310.2,,True,False,True,False,True,,True,True,,True,,True,True,True,True,False,True,True,True,True,True,True,True,True,False,,True,True,False,,False,True,True,
Kansas,7522,9098.0,10802.2,9394.6,8786.0,21426.0,7131.0,,9332.1,2450.0,,7456.8,,9203.0,11633.0,8661.0,8302.0,10841.2,4880.0,5897.5,3737.0,5901.8,5038.0,12600.3,7482.7,8417.0,10987.0,,8452.7,9188.0,3925.4,,12988.5,6483.0,9148.2,,1576.0,3280.2,1872.6,1264.0,13904.0,-391.0,,1810.1,-5072.0,,-65.2,,1681.0,4111.0,1139.0,780.0,3319.2,-2642.0,-1624.5,-3785.0,-1620.2,-2484.0,5078.3,-39.3,895.0,3465.0,,930.7,1666.0,-3596.6,,5466.5,-1039.0,1626.2,,False,False,True,False,True,,False,False,,True,,False,False,True,True,False,False,False,False,False,False,False,True,True,False,,True,False,False,,False,True,False,
Kentucky,16857,21674.0,18964.2,21706.8,20056.0,33625.0,17825.0,,21413.4,12672.0,,24003.9,,17919.2,22574.0,24899.9,20332.0,21385.9,17320.5,17965.1,14846.0,18913.9,24905.3,22462.4,18089.7,22261.0,20924.0,,18622.3,19949.0,8425.8,,28602.7,18200.0,21203.5,,4817.0,2107.2,4849.8,3199.0,16768.0,968.0,,4556.4,-4185.0,,7146.9,,1062.2,5717.0,8042.9,3475.0,4528.9,463.5,1108.1,-2011.0,2056.9,8048.3,5605.4,1232.7,5404.0,4067.0,,1765.3,3092.0,-8431.2,,11745.7,1343.0,4346.5,,True,False,True,False,True,,True,True,,False,,True,False,False,True,True,True,True,True,True,False,False,True,False,True,,True,True,False,,False,True,True,
Louisiana,10007,17448.0,12139.8,17962.0,14269.0,29167.0,12255.0,,15087.9,20161.0,,15336.8,,12624.7,18127.0,13684.0,12353.0,19526.6,9708.0,13723.5,10847.5,12235.1,16759.4,16838.9,13740.4,15377.0,16577.0,,13189.9,16372.0,22570.5,,18436.7,10323.0,15546.2,,7441.0,2132.8,7955.0,4262.0,19160.0,2248.0,,5080.9,10154.0,,5329.8,,2617.7,8120.0,3677.0,2346.0,9519.6,-299.0,3716.5,840.5,2228.1,6752.4,6831.9,3733.4,5370.0,6570.0,,3182.9,6365.0,12563.5,,8429.7,316.0,5539.2,,True,False,True,False,True,,True,False,,True,,True,False,True,True,False,True,True,True,True,True,True,True,True,True,,True,True,False,,False,True,True,
Maine,2068,2720.0,1290.7,2713.7,2087.0,5711.0,2043.0,,2839.1,1529.0,,2347.2,,1807.1,3233.0,1740.6,2300.0,4118.7,2645.5,1986.9,1600.5,2021.0,1971.7,3942.1,2100.2,3050.0,2496.0,,1277.9,,6216.0,,1540.6,2307.0,2691.3,,652.0,-777.3,645.7,19.0,3643.0,-25.0,,771.1,-539.0,,279.2,,-260.9,1165.0,-327.4,232.0,2050.7,577.5,-81.1,-467.5,-47.0,-96.3,1874.1,32.2,982.0,428.0,,-790.1,,4148.0,,-527.4,239.0,623.3,,False,True,True,False,True,,False,True,,True,,True,False,True,True,False,True,True,True,True,True,False,True,False,True,,False,,False,,True,True,True,
Maryland,11136,16104.0,10898.5,16255.3,13050.0,28347.0,13230.0,,14858.3,14130.0,,10042.2,,11130.3,15046.0,7505.2,15950.0,19136.3,11277.5,10688.9,9383.0,10889.3,13486.9,19760.6,11454.7,14475.0,12248.0,,9432.9,15111.0,21064.3,,11279.6,13923.0,12758.3,,4968.0,-237.5,5119.3,1914.0,17211.0,2094.0,,3722.3,2994.0,,-1093.8,,-5.7,3910.0,-3630.8,4814.0,8000.3,141.5,-447.1,-1753.0,-246.7,2350.9,8624.6,318.7,3339.0,1112.0,,-1703.1,3975.0,9928.3,,143.6,2787.0,1622.3,,True,False,True,False,True,,True,True,,True,,True,True,True,True,False,True,True,True,True,True,False,True,True,True,,True,True,False,,True,True,True,
Massachusetts,23785,30136.0,23156.3,29509.3,22556.0,44516.0,22366.0,,24321.6,24677.0,,23883.8,,22269.5,30972.0,18084.1,28292.0,20761.0,11836.5,21179.5,17599.5,21138.7,25038.0,41279.0,21269.0,27211.0,20474.0,,20549.6,24669.0,36501.5,,32479.6,29866.0,21291.1,,6351.0,-628.7,5724.3,-1229.0,20731.0,-1419.0,,536.6,892.0,,98.8,,-1515.5,7187.0,-5700.9,4507.0,-3024.0,-11948.5,-2605.5,-6185.5,-2646.3,1253.0,17494.0,-2516.0,3426.0,-3311.0,,-3235.4,884.0,12716.5,,8694.6,6081.0,-2493.9,,True,True,True,False,True,,True,True,,True,,True,False,True,True,True,False,True,True,True,True,False,True,True,True,,True,True,False,,False,True,True,
Michigan,16594,16542.0,10731.0,16119.5,13310.0,36435.0,12685.0,,15567.9,4086.0,,4772.9,,13215.3,23242.0,10343.4,13805.0,24737.4,12607.0,13531.1,10538.0,13197.7,2815.9,14073.9,12841.6,15213.0,16378.0,,12874.2,13005.0,5353.7,,22325.5,14033.0,12721.8,,-52.0,-5863.0,-474.5,-3284.0,19841.0,-3909.0,,-1026.1,-12508.0,,-11821.1,,-3378.7,6648.0,-6250.6,-2789.0,8143.4,-3987.0,-3062.9,-6056.0,-3396.3,-13778.1,-2520.1,-3752.4,-1381.0,-216.0,,-3719.8,-3589.0,-11240.3,,5731.5,-2561.0,-3872.2,,False,False,False,False,False,,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,
Minnesota,10999,11148.0,4680.9,11107.5,9843.0,24337.0,8836.0,,11646.8,3469.0,,9942.9,,9990.5,12283.0,5938.2,10201.0,15964.9,3905.5,9270.4,7686.5,9969.3,5192.9,9336.0,9753.0,10192.0,14013.0,,10006.8,10008.0,2340.9,,12894.3,10689.0,8864.4,,149.0,-6318.1,108.5,-1156.0,13338.0,-2163.0,,647.8,-7530.0,,-1056.1,,-1008.5,1284.0,-5060.8,-798.0,4965.9,-7093.5,-1728.6,-3312.5,-1029.7,-5806.1,-1663.0,-1246.0,-807.0,3014.0,,-992.2,-991.0,-8658.1,,1895.3,-310.0,-2134.6,,False,True,False,False,False,,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,
Mississippi,7748,11130.0,8095.7,11989.1,9850.0,19284.0,8408.0,,10068.1,10331.0,,16504.6,,8681.4,12506.0,5178.0,10675.0,11870.3,8870.5,7900.8,7054.5,9298.3,10447.0,17433.5,8662.2,9822.0,11239.0,,8036.8,10880.0,9514.8,,9842.0,10223.0,8938.6,,3382.0,347.7,4241.1,2102.0,11536.0,660.0,,2320.1,2583.0,,8756.6,,933.4,4758.0,-2570.0,2927.0,4122.3,1122.5,152.8,-693.5,1550.3,2699.0,9685.5,914.2,2074.0,3491.0,,288.8,3132.0,1766.8,,2094.0,2475.0,1190.6,,True,False,True,False,True,,True,True,,False,,True,False,True,True,False,True,True,True,True,True,False,True,True,False,,True,True,True,,True,True,True,
Missouri,11652,11330.0,11677.1,11425.7,10104.0,29542.0,8753.0,,10970.3,12244.0,,8818.1,,7851.7,13900.0,8604.8,10469.0,15048.6,8809.5,8610.9,6144.5,8796.6,5398.5,15283.5,8171.7,10307.0,17161.0,,10016.4,10421.0,6058.4,,16618.8,9595.0,8770.4,,-322.0,25.1,-226.3,-1548.0,17890.0,-2899.0,,-681.7,592.0,,-2833.9,,-3800.3,2248.0,-3047.2,-1183.0,3396.6,-2842.5,-3041.1,-5507.5,-2855.4,-6253.5,3631.5,-3480.3,-1345.0,5509.0,,-1635.6,-1231.0,-5593.6,,4966.8,-2057.0,-2881.6,,True,True,False,False,False,,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,
Montana,2540,3160.0,2505.6,3115.8,2887.0,7049.0,2377.0,,2920.2,2551.0,,2444.1,,2630.2,3290.0,4252.6,3202.0,2925.9,2690.5,2416.2,1859.5,2628.1,3606.4,3075.9,2773.7,3129.0,4530.0,,2748.8,3063.0,730.8,,4834.2,2947.0,3072.6,,620.0,-34.4,575.8,347.0,4509.0,-163.0,,380.2,11.0,,-95.9,,90.2,750.0,1712.6,662.0,385.9,150.5,-123.8,-680.5,88.1,1066.4,535.9,233.7,589.0,1990.0,,208.8,523.0,-1809.2,,2294.2,407.0,532.6,,True,True,True,False,True,,True,True,,True,,True,False,False,False,True,True,True,False,True,False,True,True,True,False,,True,True,False,,False,True,True,
Nebraska,3693,7212.0,2438.9,7617.7,5213.0,11320.0,3233.0,,5970.6,3385.0,,6636.0,,5940.9,5000.0,2426.1,5691.0,7421.2,4434.0,4090.9,2560.0,5178.0,4078.8,5539.4,5480.4,6514.0,7163.0,,2882.0,7119.0,1463.6,,7196.7,5148.0,5060.3,,3519.0,-1254.1,3924.7,1520.0,7627.0,-460.0,,2277.6,-308.0,,2943.0,,2247.9,1307.0,-1266.9,1998.0,3728.2,741.0,397.9,-1133.0,1485.0,385.8,1846.4,1787.4,2821.0,3470.0,,-811.0,3426.0,-2229.4,,3503.7,1455.0,1367.3,,True,False,True,False,True,,True,True,,True,,True,True,True,True,False,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,True,
Nevada,5652,8890.0,6875.0,8346.6,6900.0,13468.0,7290.0,,8197.5,6738.0,,7399.9,,6493.0,9602.0,6832.8,8092.0,8988.6,2920.5,5744.0,4796.5,6956.6,6563.3,7524.9,5867.2,7458.0,3552.0,,4660.9,7835.0,7156.6,,1281.6,8003.0,6926.8,,3238.0,1223.0,2694.6,1248.0,7816.0,1638.0,,2545.5,1086.0,,1747.9,,841.0,3950.0,1180.8,2440.0,3336.6,-2731.5,92.0,-855.5,1304.6,911.3,1872.9,215.2,1806.0,-2100.0,,-991.1,2183.0,1504.6,,-4370.4,2351.0,1274.8,,True,True,True,False,True,,True,True,,True,,True,False,True,True,False,True,True,True,True,True,True,True,True,True,,True,True,True,,False,True,True,
