,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Kansas,66046,138600.0,,103696.2,,84565.0,254770.3,,142118.4,46952.0,72554.0,,37650.2,,18519.0,188724.3,,76072.4,-19094.0,,True,,True,False,,False,True
Kentucky,129977,147264.0,,117544.3,,129749.0,211041.2,,89242.8,69469.0,17287.0,,-12432.7,,-228.0,81064.2,,-40734.2,-60508.0,,True,,True,False,,False,False
Louisiana,113317,150208.0,,156167.9,,140834.0,203576.8,,157759.4,44239.0,36891.0,,42850.9,,27517.0,90259.8,,44442.4,-69078.0,,False,,True,False,,False,False
Maine,19248,29584.0,,35566.0,,25545.0,31403.0,,20135.9,19438.0,10336.0,,16318.0,,6297.0,12155.0,,887.9,190.0,,False,,True,False,,True,True
Maryland,98101,141848.0,,149126.8,,126150.0,154889.2,,142022.9,69154.0,43747.0,,51025.8,,28049.0,56788.2,,43921.9,-28947.0,,False,,True,False,,False,True
Massachusetts,195499,276632.0,,282454.6,,277543.0,294234.0,,325947.9,149591.0,81133.0,,86955.6,,82044.0,98735.0,,130448.9,-45908.0,,False,,False,False,,False,True
Michigan,107429,174360.0,,132675.4,,149897.0,168384.8,,283980.9,66948.0,66931.0,,25246.4,,42468.0,60955.8,,176551.9,-40481.0,,True,,True,True,,False,True
Minnesota,65958,90296.0,,72794.3,,95265.0,46418.0,,72137.5,39380.0,24338.0,,6836.3,,29307.0,-19540.0,,6179.5,-26578.0,,True,,False,True,,True,False
Mississippi,73814,122032.0,,106352.7,,113819.0,104249.8,,75128.3,54837.0,48218.0,,32538.7,,40005.0,30435.8,,1314.3,-18977.0,,True,,True,True,,True,True
Missouri,114237,158712.0,,138733.2,,137735.0,103058.5,,145020.3,64975.0,44475.0,,24496.2,,23498.0,-11178.5,,30783.3,-49262.0,,True,,True,True,,True,False
Montana,17893,20088.0,,17974.8,,22625.0,17807.5,,11739.3,6985.0,2195.0,,81.8,,4732.0,-85.5,,-6153.7,-10908.0,,True,,False,True,,False,False
Nebraska,32458,55400.0,,49633.3,,41749.0,35271.8,,76351.5,23513.0,22942.0,,17175.3,,9291.0,2813.8,,43893.5,-8945.0,,True,,True,True,,False,True
Nevada,64617,105744.0,,94676.9,,96614.0,53488.7,,96606.7,50659.0,41127.0,,30059.9,,31997.0,-11128.3,,31989.7,-13958.0,,True,,True,True,,True,True
New Hampshire,28552,42184.0,,40316.5,,43910.0,73669.6,,29194.4,23335.0,13632.0,,11764.5,,15358.0,45117.6,,642.4,-5217.0,,True,,False,False,,True,True
New Jersey,245765,235768.0,,273691.9,,213399.0,204052.1,,138213.6,116036.0,-9997.0,,27926.9,,-32366.0,-41712.9,,-107551.4,-129729.0,,False,,False,False,,False,False
New Mexico,39509,65224.0,,55825.3,,58264.0,55224.5,,22763.1,28036.0,25715.0,,16316.3,,18755.0,15715.5,,-16745.9,-11473.0,,True,,True,True,,True,True
New York,624375,701208.0,,1017858.5,,563521.0,1237641.0,,1691237.3,333521.0,76833.0,,393483.5,,-60854.0,613266.0,,1066862.3,-290854.0,,False,,True,False,,False,False
North Carolina,300111,356056.0,,350109.3,,373555.0,398215.2,,317227.5,149059.0,55945.0,,49998.3,,73444.0,98104.2,,17116.5,-151052.0,,True,,False,False,,True,False
North Dakota,6898,12296.0,,9300.2,,16673.0,6165.2,,15646.2,4237.0,5398.0,,2402.2,,9775.0,-732.8,,8748.2,-2661.0,,True,,False,True,,False,True
Ohio,251481,400040.0,,383681.5,,390326.0,256602.5,,213776.5,212735.0,148559.0,,132200.5,,138845.0,5121.5,,-37704.5,-38746.0,,True,,True,True,,True,True
Oklahoma,127747,156376.0,,132772.5,,159571.0,114878.0,,118903.7,80945.0,28629.0,,5025.5,,31824.0,-12869.0,,-8843.3,-46802.0,,True,,False,True,,True,False
Oregon,38967,64176.0,,49256.7,,51972.0,50526.7,,55122.8,34250.0,25209.0,,10289.7,,13005.0,11559.7,,16155.8,-4717.0,,True,,True,True,,True,True
Pennsylvania,270951,414504.0,,375116.0,,405599.0,263092.1,,456078.6,202610.0,143553.0,,104165.0,,134648.0,-7858.9,,185127.6,-68341.0,,True,,True,True,,False,True
Rhode Island,37673,47064.0,,41487.0,,35159.0,45989.1,,31840.2,8441.0,9391.0,,3814.0,,-2514.0,8316.1,,-5832.8,-29232.0,,True,,True,True,,True,False
South Carolina,202354,190608.0,,202426.8,,175605.0,231326.4,,218131.7,70278.0,-11746.0,,72.8,,-26749.0,28972.4,,15777.7,-132076.0,,True,,False,False,,False,False
South Dakota,12464,22928.0,,19670.3,,22001.0,7719.8,,21608.8,8424.0,10464.0,,7206.3,,9537.0,-4744.2,,9144.8,-4040.0,,True,,True,True,,True,True
Tennessee,169755,345920.0,,332676.9,,323503.0,94464.1,,250843.1,177956.0,176165.0,,162921.9,,153748.0,-75290.9,,81088.1,8201.0,,True,,True,True,,True,True
Texas,848182,1002520.0,,906215.5,,880312.0,1861922.7,,824034.5,393245.0,154338.0,,58033.5,,32130.0,1013740.7,,-24147.5,-454937.0,,True,,True,False,,True,False
Utah,89116,140608.0,,138484.5,,125628.0,84010.2,,82585.8,62089.0,51492.0,,49368.5,,36512.0,-5105.8,,-6530.2,-27027.0,,True,,True,True,,True,True
Vermont,7409,5784.0,,5322.9,,5829.0,18131.5,,10009.4,3041.0,-1625.0,,-2086.1,,-1580.0,10722.5,,2600.4,-4368.0,,False,,True,False,,False,False
Virginia,215559,233424.0,,227022.3,,195950.0,258343.5,,91455.1,92583.0,17865.0,,11463.3,,-19609.0,42784.5,,-124103.9,-122976.0,,True,,False,False,,False,False
Washington,93021,80264.0,,131521.9,,105744.0,119353.3,,66146.5,46557.0,-12757.0,,38500.9,,12723.0,26332.3,,-26874.5,-46464.0,,False,,True,False,,False,False
West Virginia,42253,73200.0,,65402.0,,61865.0,67947.9,,56709.9,34118.0,30947.0,,23149.0,,19612.0,25694.9,,14456.9,-8135.0,,True,,True,True,,True,True
Wisconsin,93234,141040.0,,108559.2,,134015.0,83350.5,,144544.6,50769.0,47806.0,,15325.2,,40781.0,-9883.5,,51310.6,-42465.0,,True,,True,True,,False,True
Wyoming,9777,11416.0,,10339.5,,12791.0,12071.4,,13776.7,4765.0,1639.0,,562.5,,3014.0,2294.4,,3999.7,-5012.0,,True,,False,False,,False,False
US,8042408,11472464.0,8165970.0,11787537.1,12239290.0,9460704.0,11118625.2,11450070.0,8518708.9,5308133.0,3430056.0,123562.0,3745129.1,4196882.0,1418296.0,3076217.2,3407662.0,476300.9,-2734275.0,True,False,False,True,True,True,True,True
