,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Maryland,57241,124002.0,89825.0,,123281.4,949951.0,,127217.0,95348.6,108717.1,129488.0,,97791.0,84743.0,66761.0,32584.0,,66040.4,892710.0,,69976.0,38107.6,51476.1,72247.0,,40550.0,27502.0,True,,True,False,,False,True,True,False,,True,True
Massachusetts,113954,231546.0,204217.0,,230080.3,116821.0,,261411.0,241922.0,142137.1,211321.5,,103700.4,163948.0,117592.0,90263.0,,116126.3,2867.0,,147457.0,127968.0,28183.1,97367.5,,-10253.6,49994.0,True,,True,True,,False,False,True,True,,True,True
Michigan,63765,115392.0,122438.0,,95187.1,15251.0,,134350.0,118912.1,153225.9,74957.5,,120517.3,72684.0,51627.0,58673.0,,31422.1,-48514.0,,70585.0,55147.1,89460.9,11192.5,,56752.3,8919.0,False,,True,True,,False,False,False,True,,False,True
Minnesota,38743,63804.0,39543.0,,65266.7,7018.0,,88759.0,49059.7,62785.7,36247.5,,32260.1,39312.0,25061.0,800.0,,26523.7,-31725.0,,50016.0,10316.7,24042.7,-2495.5,,-6482.9,569.0,True,,False,False,,False,True,True,True,,True,True
Mississippi,43222,84006.0,72503.0,,88810.9,56879.0,,105520.0,63931.9,59127.9,71944.0,,64766.2,53908.0,40784.0,29281.0,,45588.9,13657.0,,62298.0,20709.9,15905.9,28722.0,,21544.2,10686.0,True,,False,True,,False,True,True,True,,True,True
Missouri,62758,95988.0,50813.0,,102929.6,38120.0,,110536.0,77065.6,77462.0,74207.5,,63044.6,63241.0,33230.0,-11945.0,,40171.6,-24638.0,,47778.0,14307.6,14704.0,11449.5,,286.6,483.0,True,,False,True,,False,True,True,True,,True,True
Montana,10781,17724.0,18901.0,,17455.2,2965.0,,23507.0,41338.8,11342.9,16260.0,,7617.3,10753.0,6943.0,8120.0,,6674.2,-7816.0,,12726.0,30557.8,561.9,5479.0,,-3163.7,-28.0,False,,True,False,,False,False,True,True,,True,True
Nebraska,19810,31740.0,15895.0,,37486.0,2211.0,,37528.0,24784.6,34151.5,40035.0,,27090.6,20108.0,11930.0,-3915.0,,17676.0,-17599.0,,17718.0,4974.6,14341.5,20225.0,,7280.6,298.0,True,,False,False,,False,True,False,False,,True,True
Nevada,33398,82686.0,159544.0,,83341.6,29332.0,,89756.0,83394.2,56626.1,70933.5,,64134.6,51508.0,49288.0,126146.0,,49943.6,-4066.0,,56358.0,49996.2,23228.1,37535.5,,30736.6,18110.0,False,,False,True,,False,False,True,True,,True,True
New Hampshire,17561,30444.0,20618.0,,27600.2,8719.0,,36907.0,28670.2,27060.6,26443.0,,19726.3,20580.0,12883.0,3057.0,,10039.2,-8842.0,,19346.0,11109.2,9499.6,8882.0,,2165.3,3019.0,True,,True,True,,False,True,True,True,,True,True
New Jersey,164878,257034.0,416796.0,,226292.8,110435.0,,228164.0,196585.0,192649.2,263345.0,,250130.6,168153.0,92156.0,251918.0,,61414.8,-54443.0,,63286.0,31707.0,27771.2,98467.0,,85252.6,3275.0,False,,True,True,,True,True,True,False,,True,True
New Mexico,21995,47634.0,37353.0,,46697.6,10913.0,,48872.0,40595.9,29447.7,41223.0,,40669.0,29115.0,25639.0,15358.0,,24702.6,-11082.0,,26877.0,18600.9,7452.7,19228.0,,18674.0,7120.0,True,,True,True,,False,True,True,True,,True,True
New York,407173,657498.0,837896.0,,486913.0,739493.0,,578721.0,782051.1,605574.9,728949.5,,567223.8,441487.0,250325.0,430723.0,,79740.0,332320.0,,171548.0,374878.1,198401.9,321776.5,,160050.8,34314.0,False,,True,False,,True,False,True,False,,True,True
North Carolina,190722,320826.0,225999.0,,328501.5,162622.0,,356561.0,329878.7,251634.3,328017.5,,310190.4,235972.0,130104.0,35277.0,,137779.5,-28100.0,,165839.0,139156.7,60912.3,137295.5,,119468.4,45250.0,True,,False,True,,False,False,True,False,,True,True
North Dakota,4075,6936.0,3849.0,,6729.8,521.0,,12452.0,2246.1,6320.6,6379.0,,2778.5,3505.0,2861.0,-226.0,,2654.8,-3554.0,,8377.0,-1828.9,2245.6,2304.0,,-1296.5,-570.0,True,,True,False,,False,True,True,True,,True,True
Ohio,144647,303180.0,227973.0,,281697.1,54697.0,,323816.0,206965.4,197150.1,320562.5,,234598.2,204112.0,158533.0,83326.0,,137050.1,-89950.0,,179169.0,62318.4,52503.1,175915.5,,89951.2,59465.0,True,,True,True,,False,True,True,False,,True,True
Oklahoma,72137,160740.0,124442.0,,176545.9,67034.0,,179156.0,164017.9,82316.5,115886.0,,97470.8,106126.0,88603.0,52305.0,,104408.9,-5103.0,,107019.0,91880.9,10179.5,43749.0,,25333.8,33989.0,True,,False,True,,False,False,True,True,,True,True
Oregon,22903,47616.0,41149.0,,50019.8,21517.0,,48773.0,36443.4,46815.9,39925.5,,30630.2,34893.0,24713.0,18246.0,,27116.8,-1386.0,,25870.0,13540.4,23912.9,17022.5,,7727.2,11990.0,True,,False,True,,False,True,True,True,,True,True
Pennsylvania,166042,289272.0,221485.0,,261816.7,75300.0,,323136.0,226101.3,259227.9,247207.5,,195940.4,196514.0,123230.0,55443.0,,95774.7,-90742.0,,157094.0,60059.3,93185.9,81165.5,,29898.4,30472.0,True,,True,True,,False,True,True,True,,True,True
Rhode Island,21179,40974.0,68865.0,,37989.0,6626.0,,41174.0,23676.1,30074.9,39524.0,,29208.7,19672.0,19795.0,47686.0,,16810.0,-14553.0,,19995.0,2497.1,8895.9,18345.0,,8029.7,-1507.0,False,,True,True,,False,True,True,True,,True,True
South Carolina,132650,194028.0,167598.0,,191344.6,423524.0,,189859.0,215380.7,117818.9,209990.0,,188955.0,133706.0,61378.0,34948.0,,58694.6,290874.0,,57209.0,82730.7,-14831.1,77340.0,,56305.0,1056.0,True,,True,False,,True,False,True,False,,True,True
South Dakota,7015,14262.0,8278.0,,13206.6,7906.0,,15657.0,6267.0,9781.5,10483.0,,11249.7,6978.0,7247.0,1263.0,,6191.6,891.0,,8642.0,-748.0,2766.5,3468.0,,4234.7,-37.0,True,,True,True,,False,True,True,True,,True,True
Tennessee,93040,206382.0,185657.0,,188683.2,130534.0,,231212.0,121107.8,138190.9,143723.5,,150862.2,133567.0,113342.0,92617.0,,95643.2,37494.0,,138172.0,28067.8,45150.9,50683.5,,57822.2,40527.0,True,,True,True,,False,True,True,True,,True,True
Texas,536701,964482.0,1245342.0,,944900.5,579468.0,,961578.0,943217.4,744382.6,962964.0,,640322.9,588499.0,427781.0,708641.0,,408199.5,42767.0,,424877.0,406516.4,207681.6,426263.0,,103621.9,51798.0,False,,True,True,,True,True,True,True,,True,True
Utah,48518,111174.0,50116.0,,114574.8,166760.0,,125630.0,74927.0,58552.6,73997.5,,48573.5,64976.0,62656.0,1598.0,,66056.8,118242.0,,77112.0,26409.0,10034.6,25479.5,,55.5,16458.0,True,,False,False,,False,True,True,True,,True,True
Vermont,5183,6750.0,8236.0,,7422.0,4687.0,,7867.0,24542.3,7536.0,6929.0,,1605.5,5813.0,1567.0,3053.0,,2239.0,-496.0,,2684.0,19359.3,2353.0,1746.0,,-3577.5,630.0,False,,False,True,,False,False,False,False,,False,True
Virginia,144923,214056.0,235113.0,,235531.5,121574.0,,196023.0,187272.7,175300.7,247336.5,,191802.7,101190.0,69133.0,90190.0,,90608.5,-23349.0,,51100.0,42349.7,30377.7,102413.5,,46879.7,-43733.0,False,,False,True,,True,True,True,False,,True,True
Washington,53803,86250.0,39504.0,,170473.6,50409.0,,105676.0,254778.7,87146.8,108705.5,,99820.0,68661.0,32447.0,-14299.0,,116670.6,-3394.0,,51873.0,200975.7,33343.8,54902.5,,46017.0,14858.0,True,,False,True,,False,False,False,False,,False,True
West Virginia,23456,50076.0,38935.0,,45588.2,43037.0,,51939.0,35419.9,34753.8,39123.5,,29777.1,35495.0,26620.0,15479.0,,22132.2,19581.0,,28483.0,11963.9,11297.8,15667.5,,6321.1,12039.0,True,,True,True,,False,True,True,True,,True,True
Wisconsin,50611,108846.0,136543.0,,119406.9,9515.0,,106316.0,81421.7,74552.3,95580.5,,78668.2,62658.0,58235.0,85932.0,,68795.9,-41096.0,,55705.0,30810.7,23941.3,44969.5,,28057.2,12047.0,False,,False,True,,True,True,True,True,,True,True
Wyoming,5282,14094.0,14077.0,,13977.4,657.0,,15304.0,23780.8,7371.2,12618.5,,13889.7,6838.0,8812.0,8795.0,,8695.4,-4625.0,,10022.0,18498.8,2089.2,7336.5,,8607.7,1556.0,True,,True,True,,False,False,True,True,,True,True
US,4759408,9390468.0,9910536.0,10529996.0,8299203.5,9473362.0,9233620.7,9494416.0,8192026.9,7044194.2,8674692.0,7920214.0,7805463.6,6099836.0,4631060.0,5151128.0,5770588.0,3539795.5,4713954.0,4474212.7,4735008.0,3432618.9,2284786.2,3915284.0,3160806.0,3046055.6,1340428.0,False,False,True,False,True,False,True,True,True,True,True,True
