,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Georgia,98329,174800.0,174281.9,170497.1,162232.0,139279.0,149371.0,,169185.2,198017.0,172937.4,,179472.4,,126596.6,163752.0,172967.5,175218.0,122134.8,141504.5,104418.7,120357.5,115551.6,144453.9,151108.3,146055.2,120139.0,,109174.0,182534.0,146888.3,,165269.6,193123.6,153705.0,164258.7,,76471.0,75952.9,72168.1,63903.0,40950.0,51042.0,,70856.2,99688.0,74608.4,,81143.4,,28267.6,65423.0,74638.5,76889.0,23805.8,43175.5,6089.7,22028.5,17222.6,46124.9,52779.3,47726.2,21810.0,,10845.0,84205.0,48559.3,,66940.6,94794.6,55376.0,65929.7,,True,True,True,True,True,,True,False,True,,False,,True,True,True,False,True,True,True,True,True,True,True,True,True,,True,False,True,,True,False,True,True,
Hawaii,1711,3032.0,3241.5,3045.3,2846.0,4054.0,2798.0,,2884.9,7045.0,2316.5,,3154.8,,2139.9,,1501.1,3381.0,5719.9,2382.5,1984.9,2285.0,2110.5,3692.9,4789.2,3019.9,4610.0,,1897.3,3180.0,4916.8,,2475.5,3448.8,2297.0,2581.8,,1321.0,1530.5,1334.3,1135.0,2343.0,1087.0,,1173.9,5334.0,605.5,,1443.8,,428.9,,-209.9,1670.0,4008.9,671.5,273.9,574.0,399.5,1981.9,3078.2,1308.9,2899.0,,186.3,1469.0,3205.8,,764.5,1737.8,586.0,870.8,,False,False,True,False,True,,True,False,True,,False,,True,,True,False,False,True,True,True,True,False,False,True,False,,True,False,False,,True,False,True,True,
Idaho,8457,13432.0,11453.4,13903.8,10574.0,14990.0,9357.0,,12936.5,6503.0,33655.7,,14168.7,,7745.3,11437.0,8370.5,12089.0,12076.1,10769.5,10784.2,7752.5,8383.7,7999.2,12686.6,11455.9,18032.0,,11025.3,12443.0,9210.1,,10060.3,16841.6,9191.0,9077.3,,4975.0,2996.4,5446.8,2117.0,6533.0,900.0,,4479.5,-1954.0,25198.7,,5711.7,,-711.7,2980.0,-86.5,3632.0,3619.1,2312.5,2327.2,-704.5,-73.3,-457.8,4229.6,2998.9,9575.0,,2568.3,3986.0,753.1,,1603.3,8384.6,734.0,620.3,,True,False,True,False,True,,True,True,False,,False,,True,True,True,True,True,True,True,True,True,True,True,True,False,,True,True,True,,True,False,True,True,
Illinois,61494,101384.0,80436.3,101471.0,78765.0,108172.0,77920.0,,99103.0,27417.0,76039.2,,78359.1,,65253.0,98301.0,42479.9,92154.0,114643.3,83610.0,80917.8,57394.5,66050.0,93318.5,55890.8,91836.7,131308.0,,79278.1,82428.0,25139.3,,71980.5,83650.7,85241.0,66000.1,,39890.0,18942.3,39977.0,17271.0,46678.0,16426.0,,37609.0,-34077.0,14545.2,,16865.1,,3759.0,36807.0,-19014.1,30660.0,53149.3,22116.0,19423.8,-4099.5,4556.0,31824.5,-5603.2,30342.7,69814.0,,17784.1,20934.0,-36354.7,,10486.5,22156.7,23747.0,4506.1,,True,False,True,False,True,,True,True,True,,True,,True,True,True,True,False,True,True,True,True,True,True,True,False,,True,True,True,,True,True,True,True,
Indiana,35983,65760.0,51287.8,68248.0,47079.0,63734.0,49376.0,,62348.6,43592.0,52555.9,,57416.3,,38594.6,64641.0,24089.4,57796.0,59178.3,46783.0,35185.9,36835.5,43744.9,21356.0,33215.8,61432.8,69350.0,,39597.3,45231.0,24368.1,,105043.6,60951.6,49826.0,32766.2,,29777.0,15304.8,32265.0,11096.0,27751.0,13393.0,,26365.6,7609.0,16572.9,,21433.3,,2611.6,28658.0,-11893.6,21813.0,23195.3,10800.0,-797.1,852.5,7761.9,-14627.0,-2767.2,25449.8,33367.0,,3614.3,9248.0,-11614.9,,69060.6,24968.6,13843.0,-3216.8,,True,False,True,True,True,,True,True,True,,True,,True,True,True,True,True,True,True,True,True,True,True,True,False,,True,True,True,,False,True,True,True,
Iowa,17172,25952.0,15341.0,24417.0,18555.0,35836.0,21331.0,,26631.0,90556.0,17480.4,,30051.9,,17336.9,22805.0,12494.1,23720.0,22574.9,16806.0,17225.5,16520.0,18043.1,9213.9,10292.5,19502.3,47776.0,,17296.8,22512.0,2564.3,,13668.3,38091.2,20162.0,21938.1,,8780.0,-1831.0,7245.0,1383.0,18664.0,4159.0,,9459.0,73384.0,308.4,,12879.9,,164.9,5633.0,-4677.9,6548.0,5402.9,-366.0,53.5,-652.0,871.1,-7958.1,-6879.5,2330.3,30604.0,,124.8,5340.0,-14607.7,,-3503.7,20919.2,2990.0,4766.1,,True,True,True,False,True,,False,False,True,,False,,True,True,True,True,True,True,True,True,True,True,True,True,False,,True,True,False,,True,False,True,True,
Kansas,19041,32192.0,27213.3,31273.3,23475.0,35660.0,22395.0,,33369.6,12078.0,18885.9,,44047.4,,29208.7,31417.0,10693.1,26962.0,24816.4,18438.5,17419.0,14506.5,19708.7,13288.1,22640.8,34122.5,42063.0,,21946.2,32192.0,10166.1,,28668.2,35601.7,19045.0,27509.9,,13151.0,8172.3,12232.3,4434.0,16619.0,3354.0,,14328.6,-6963.0,-155.1,,25006.4,,10167.7,12376.0,-8347.9,7921.0,5775.4,-602.5,-1622.0,-4534.5,667.7,-5752.9,3599.8,15081.5,23022.0,,2905.2,13151.0,-8874.9,,9627.2,16560.7,4.0,8468.9,,True,True,True,False,True,,False,True,True,,False,,True,True,True,True,True,True,True,True,True,True,True,False,False,,True,False,True,,True,False,True,True,
Kentucky,42832,66192.0,64831.9,69684.8,61655.0,60457.0,63892.0,,69213.6,28321.0,125882.1,,62178.8,,46803.2,61018.0,43637.6,71474.0,48193.2,53154.5,48103.8,46910.5,43492.8,67930.8,79192.5,60188.5,63379.0,,49782.7,85903.0,22854.9,,44813.4,83340.8,60434.0,60988.4,,23360.0,21999.9,26852.8,18823.0,17625.0,21060.0,,26381.6,-14511.0,83050.1,,19346.8,,3971.2,18186.0,805.6,28642.0,5361.2,10322.5,5271.8,4078.5,660.8,25098.8,36360.5,17356.5,20547.0,,6950.7,43071.0,-19977.1,,1981.4,40508.8,17602.0,18156.4,,True,False,True,True,True,,False,True,False,,True,,True,True,True,False,True,True,True,True,True,False,False,True,True,,True,False,True,,True,False,True,True,
Louisiana,31316,68084.0,48557.5,68471.5,54908.0,63533.0,72505.0,,59717.3,48883.0,2549488.5,,43117.2,,45896.6,62622.0,23241.8,71304.0,46787.5,53130.0,35925.4,44425.0,42320.2,52103.1,43747.0,54682.5,68545.0,,39582.4,68084.0,52365.2,,77107.6,63164.3,54027.0,65939.7,,36768.0,17241.5,37155.5,23592.0,32217.0,41189.0,,28401.3,17567.0,2518172.5,,11801.2,,14580.6,31306.0,-8074.2,39988.0,15471.5,21814.0,4609.4,13109.0,11004.2,20787.1,12431.0,23366.5,37229.0,,8266.4,36768.0,21049.2,,45791.6,31848.3,22711.0,34623.7,,True,False,True,True,False,,True,True,False,,True,,True,True,True,False,True,True,True,True,True,True,True,True,False,,True,False,True,,False,True,True,True,
Maine,5325,10280.0,11812.6,10307.9,10200.0,12490.0,8250.0,,10746.6,6339.0,7561.0,,11189.0,,6410.8,12517.0,13734.5,10924.0,9467.1,12042.5,6690.6,9284.0,7536.3,9796.2,10315.4,11679.2,12751.0,,11803.7,8411.0,16639.1,,9527.4,11352.0,8965.0,11745.2,,4955.0,6487.6,4982.9,4875.0,7165.0,2925.0,,5421.6,1014.0,2236.0,,5864.0,,1085.8,7192.0,8409.5,5599.0,4142.1,6717.5,1365.6,3959.0,2211.3,4471.2,4990.4,6354.2,7426.0,,6478.7,3086.0,11314.1,,4202.4,6027.0,3640.0,6420.2,,False,False,True,False,True,,False,True,True,,False,,True,False,False,False,True,False,True,True,True,True,False,False,False,,False,True,False,,True,False,True,False,
Maryland,28546,53676.0,48290.6,51846.7,48834.0,55890.0,60683.0,,53234.7,566827.0,50580.0,,41149.4,,38807.7,49346.0,26201.9,56303.0,47207.0,57201.0,37234.9,37943.5,38182.9,34459.3,36818.0,49309.0,45819.0,,46301.5,53464.0,49387.6,,45525.9,67684.6,50212.0,49015.0,,25130.0,19744.6,23300.7,20288.0,27344.0,32137.0,,24688.7,538281.0,22034.0,,12603.4,,10261.7,20800.0,-2344.1,27757.0,18661.0,28655.0,8688.9,9397.5,9636.9,5913.3,8272.0,20763.0,17273.0,,17755.5,24918.0,20841.6,,16979.9,39138.6,21666.0,20469.0,,True,True,True,False,False,,True,False,True,,True,,True,True,True,False,True,False,True,True,True,True,True,True,True,,True,True,True,,True,False,True,True,
Massachusetts,58320,101068.0,85951.9,93977.1,80284.0,81669.0,101721.0,,95409.8,74692.0,114537.7,,67737.5,,69227.1,95682.0,48665.9,94199.0,50713.3,84102.0,61195.6,57421.0,64470.4,62623.3,96983.3,83384.1,74494.0,,70183.0,93776.0,87348.9,,160917.9,141513.2,79489.0,73132.7,,42748.0,27631.9,35657.1,21964.0,23349.0,43401.0,,37089.8,16372.0,56217.7,,9417.5,,10907.1,37362.0,-9654.1,35879.0,-7606.7,25782.0,2875.6,-899.0,6150.4,4303.3,38663.3,25064.1,16174.0,,11863.0,35456.0,29028.9,,102597.9,83193.2,21169.0,14812.7,,True,True,True,True,False,,True,True,False,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,False,False,True,True,
Michigan,35412,53568.0,37831.0,55875.0,40171.0,56970.0,59806.0,,45997.6,11564.0,268175.9,,57681.8,,32897.4,52310.0,22754.8,59746.0,57524.5,39070.0,34688.5,33912.5,37609.1,20997.0,41547.1,43463.7,70152.0,,29250.3,47350.0,14594.7,,67512.4,60380.1,40344.0,34799.2,,18156.0,2419.0,20463.0,4759.0,21558.0,24394.0,,10585.6,-23848.0,232763.9,,22269.8,,-2514.6,16898.0,-12657.2,24334.0,22112.5,3658.0,-723.5,-1499.5,2197.1,-14415.0,6135.1,8051.7,34740.0,,-6161.7,11938.0,-20817.3,,32100.4,24968.1,4932.0,-612.8,,True,False,True,False,False,,True,False,False,,False,,True,True,True,False,False,True,True,True,True,True,True,True,False,,True,True,False,,False,False,True,True,
Minnesota,22971,28044.0,17867.7,26303.4,20775.0,37656.0,28808.0,,29491.3,7465.0,27209.1,,23732.2,,18350.0,37638.0,8197.1,23334.0,35246.7,20549.5,16139.1,16712.5,21762.1,13373.7,16988.3,22721.5,51927.0,,20278.7,21964.0,5956.9,,22349.9,20869.4,25573.0,16326.6,,5073.0,-5103.3,3332.4,-2196.0,14685.0,5837.0,,6520.3,-15506.0,4238.1,,761.2,,-4621.0,14667.0,-14773.9,363.0,12275.7,-2421.5,-6831.9,-6258.5,-1208.9,-9597.3,-5982.7,-249.5,28956.0,,-2692.3,-1007.0,-17014.1,,-621.1,-2101.6,2602.0,-6644.4,,False,True,True,False,False,,False,False,True,,True,,True,False,False,True,False,True,False,False,True,False,False,True,False,,True,True,False,,True,True,True,False,
Mississippi,19901,44668.0,35160.4,44241.7,35714.0,40212.0,32863.0,,41618.9,31951.0,43330.9,,34684.0,,31406.3,42704.0,30066.0,41602.0,29768.4,37762.0,35543.4,28234.5,30175.5,34473.9,30094.4,37414.9,43037.0,,29503.2,40889.0,22999.4,,32085.7,44812.2,40855.0,39042.4,,24767.0,15259.4,24340.7,15813.0,20311.0,12962.0,,21717.9,12050.0,23429.9,,14783.0,,11505.3,22803.0,10165.0,21701.0,9867.4,17861.0,15642.4,8333.5,10274.5,14572.9,10193.4,17513.9,23136.0,,9602.2,20988.0,3098.4,,12184.7,24911.2,20954.0,19141.4,,True,True,True,True,True,,True,True,True,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,False,True,True,
Missouri,31074,44536.0,32248.1,45492.1,34060.0,48208.0,39050.0,,40173.3,29684.0,34639.1,,34834.1,,33616.3,39325.0,14086.8,40568.0,34227.2,31406.5,33798.3,25219.5,29722.1,32187.8,37397.2,36145.2,57151.0,,29921.9,43598.0,15946.7,,47398.4,68710.6,33368.0,29643.9,,13462.0,1174.1,14418.1,2986.0,17134.0,7976.0,,9099.3,-1390.0,3565.1,,3760.1,,2542.3,8251.0,-16987.2,9494.0,3153.2,332.5,2724.3,-5854.5,-1351.9,1113.8,6323.2,5071.2,26077.0,,-1152.1,12524.0,-15127.3,,16324.4,37636.6,2294.0,-1430.1,,True,False,True,False,True,,True,True,True,,True,,True,True,False,True,True,True,True,True,True,True,True,True,False,,True,True,False,,False,False,True,True,
Montana,6075,9408.0,6743.5,8914.0,6822.0,10810.0,6569.0,,8706.7,3711.0,6772.4,,8687.6,,6172.0,8970.0,4024.2,10495.0,6266.1,6313.0,5645.5,6075.0,5817.8,10203.8,7599.2,8276.0,14341.0,,5552.9,9408.0,2376.4,,5652.4,9928.2,7764.0,8259.4,,3333.0,668.5,2839.0,747.0,4735.0,494.0,,2631.7,-2364.0,697.4,,2612.6,,97.0,2895.0,-2050.8,4420.0,191.1,238.0,-429.5,0.0,-257.2,4128.8,1524.2,2201.0,8266.0,,-522.1,3333.0,-3698.6,,-422.6,3853.2,1689.0,2184.4,,True,True,True,False,True,,True,True,True,,True,,True,True,True,False,True,True,True,True,True,False,True,True,False,,True,False,False,,True,False,True,True,
Nebraska,10150,14864.0,10322.5,13713.2,11418.0,20744.0,10455.0,,15498.9,3896.0,11704.3,,16961.5,,9507.8,15381.0,7820.3,12605.0,15582.4,12851.5,10215.2,8456.5,10314.9,13047.7,9882.9,15868.7,26877.0,,7527.8,13703.0,3715.0,,24117.4,31371.7,13275.0,9705.2,,4714.0,172.5,3563.2,1268.0,10594.0,305.0,,5348.9,-6254.0,1554.3,,6811.5,,-642.2,5231.0,-2329.7,2455.0,5432.4,2701.5,65.2,-1693.5,164.9,2897.7,-267.1,5718.7,16727.0,,-2622.2,3553.0,-6435.0,,13967.4,21221.7,3125.0,-444.8,,True,True,True,False,True,,False,False,True,,False,,True,False,True,True,False,True,True,True,True,True,True,False,False,,True,True,False,,False,False,True,True,
