,actual_deaths,Baseline,COVIDhub-baseline,COVIDhub-ensemble,CU-select,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,UMass-MechBayes,UT-Mobility,YYG-ParamSearch,error-Baseline,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-UMass-MechBayes,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-UMass-MechBayes,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Oregon,137,143.4,132.0,150.2,142.0,151.0,122.6,142.0,,140.0,135.5,165.0,148.9,145.8,6.4,-5.0,13.2,5.0,14.0,-14.4,5.0,,3.0,-1.5,28.0,11.9,8.8,True,False,True,False,False,True,,True,True,False,False,False
Pennsylvania,4480,3358.9,4047.0,3578.1,3907.0,3856.0,2313.9,3445.0,,3205.8,,4790.0,3212.5,3230.0,-1121.1,-433.0,-901.9,-573.0,-624.0,-2166.1,-1035.0,,-1274.2,,310.0,-1267.5,-1250.0,True,True,True,True,False,True,,False,,True,False,False
Rhode Island,548,443.1,449.0,672.5,1113.0,613.0,558.6,563.0,,444.3,313.2,984.0,422.4,446.4,-104.9,-99.0,124.5,565.0,65.0,10.6,15.0,,-103.7,-234.8,436.0,-125.6,-101.6,True,False,False,True,True,True,,True,False,False,False,True
South Carolina,380,328.3,307.0,298.6,273.0,285.0,314.7,348.0,,290.7,328.9,323.0,290.3,285.3,-51.7,-73.0,-81.4,-107.0,-95.0,-65.3,-32.0,,-89.3,-51.1,-57.0,-89.7,-94.7,False,False,False,False,False,True,,False,True,False,False,False
South Dakota,44,22.4,19.0,50.8,123.0,34.0,25.6,143.0,,17.5,32.3,37.0,44.6,32.9,-21.6,-25.0,6.8,79.0,-10.0,-18.4,99.0,,-26.5,-11.7,-7.0,0.6,-11.1,False,True,False,True,True,False,,False,True,True,True,True
Tennessee,295,275.3,282.0,360.4,429.0,372.0,246.7,654.0,,332.9,375.7,433.0,276.4,272.3,-19.7,-13.0,65.4,134.0,77.0,-48.3,359.0,,37.9,80.7,138.0,-18.6,-22.7,True,False,False,False,False,False,,False,False,False,True,False
Texas,1460,1111.0,1124.0,1188.3,1292.0,1151.0,1306.3,1726.0,,1062.2,1170.6,1462.0,1045.1,1048.6,-214.0,-201.0,-136.7,-33.0,-174.0,-18.7,401.0,,-262.8,-154.4,137.0,-279.9,-276.4,True,True,True,True,True,False,,False,True,True,False,False
Utah,78,81.0,89.0,115.2,283.0,60.0,249.9,206.0,,69.9,69.7,100.0,103.6,76.1,3.0,11.0,37.2,205.0,-18.0,171.9,128.0,,-8.1,-8.3,22.0,25.6,-1.9,False,False,False,False,False,False,,False,False,False,False,True
Vermont,53,68.9,70.0,62.7,51.0,59.0,54.2,52.0,,49.3,79.8,65.0,81.9,70.0,15.9,17.0,9.7,-2.0,6.0,1.2,-1.0,,-3.7,26.8,12.0,28.9,17.0,False,True,True,True,True,True,,True,False,True,False,False
Virginia,1003,940.4,973.9,1088.6,983.0,1264.0,631.5,883.0,,1013.0,645.4,1582.0,829.9,869.2,-62.6,-29.1,85.6,-20.0,261.0,-371.5,-120.0,,10.0,-357.6,579.0,-173.1,-133.8,True,False,True,False,False,False,,True,False,False,False,False
Washington,1024,1071.9,1108.8,992.8,1131.0,848.0,856.4,1203.0,,1024.6,1139.7,1043.0,932.0,977.4,97.9,134.8,18.8,157.0,-126.0,-117.6,229.0,,50.6,165.7,69.0,-42.0,3.4,False,True,False,False,False,False,,True,False,True,True,True
West Virginia,64,79.7,80.0,63.8,35.0,51.0,38.4,50.0,,45.0,52.0,98.0,91.6,80.0,15.7,16.0,-0.2,-29.0,-13.0,-25.6,-14.0,,-19.0,-12.0,34.0,27.6,16.0,False,True,False,True,False,True,,False,True,False,False,False
Wisconsin,488,420.6,428.0,535.5,761.0,555.0,330.9,431.0,,457.6,435.9,599.0,419.8,396.6,-29.4,-22.0,85.5,311.0,105.0,-119.1,-19.0,,7.6,-14.1,149.0,-30.2,-53.4,True,False,False,False,False,True,,True,True,False,False,False
Wyoming,7,21.3,22.0,12.2,1.0,6.0,59.7,12.0,,7.5,9.5,19.0,15.6,24.3,14.3,15.0,5.2,-6.0,-1.0,52.7,5.0,,0.5,2.5,12.0,8.6,17.3,False,True,True,True,False,True,,True,True,True,True,False
US,91893,94698.1,95761.2,82882.6,91603.0,,70370.7,,167896.0,97700.1,75509.3,,70387.7,87045.3,5342.1,6405.2,-6473.4,2247.0,,-18985.3,,78540.0,8344.1,-13846.7,,-18968.3,-2310.7,False,False,True,,False,,False,False,False,,False,True
