,actual_deaths,Baseline,COVIDhub-baseline,COVIDhub-ensemble,CU-select,CovidAnalytics-DELPHI,GT-DeepCOVID,Geneva-DetGrowth,IHME-CurveFit,Imperial-ensemble1,Imperial-ensemble2,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,Quantori-Multiagents,UCLA-SuEIR,UChicago-CovidIL,UChicago-CovidIL_100,UChicago-CovidIL_40,UChicago-CovidIL_60,UChicago-CovidIL_80,UMass-MechBayes,UT-Mobility,YYG-ParamSearch,error-Baseline,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-IHME-CurveFit,error-Imperial-ensemble1,error-Imperial-ensemble2,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-Quantori-Multiagents,error-UCLA-SuEIR,error-UChicago-CovidIL,error-UChicago-CovidIL_100,error-UChicago-CovidIL_40,error-UChicago-CovidIL_60,error-UChicago-CovidIL_80,error-UMass-MechBayes,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-Imperial-ensemble1,beat_baseline-Imperial-ensemble2,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-Quantori-Multiagents,beat_baseline-UCLA-SuEIR,beat_baseline-UChicago-CovidIL,beat_baseline-UChicago-CovidIL_100,beat_baseline-UChicago-CovidIL_40,beat_baseline-UChicago-CovidIL_60,beat_baseline-UChicago-CovidIL_80,beat_baseline-UMass-MechBayes,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Oklahoma,288,301.1,302.0,303.3,288.0,318.0,296.6,,314.7,,,304.4,304.7,,,310.8,,,,,,304.0,296.3,301.0,13.1,14.0,15.3,0.0,30.0,8.6,,26.7,,,16.4,16.7,,,22.8,,,,,,16.0,8.3,13.0,False,False,True,False,True,,False,,,False,False,,,False,,,,,,False,True,True
Oregon,137,142.4,145.0,143.9,142.0,147.0,,,144.7,,,146.0,145.1,,,142.2,,,,,,145.0,142.3,140.8,5.4,8.0,6.9,5.0,10.0,,,7.7,,,9.0,8.1,,,5.2,,,,,,8.0,5.3,3.8,False,False,True,False,,,False,,,False,False,,,True,,,,,,False,True,True
Pennsylvania,4480,4736.9,4863.0,4596.1,4172.0,4704.0,5016.2,,5097.9,,,4540.1,4968.3,,,4122.2,,,,,,4657.0,4455.9,4560.0,256.9,383.0,116.1,-308.0,224.0,536.2,,617.9,,,60.1,488.3,,,-357.8,,,,,,177.0,-24.1,80.0,False,True,False,True,False,,False,,,True,False,,,False,,,,,,True,True,True
Rhode Island,548,509.4,540.0,538.5,697.0,480.0,547.5,,501.3,,,498.9,557.1,,,501.8,,,,,,512.0,492.7,508.1,19.4,50.0,48.5,207.0,-10.0,57.5,,11.3,,,8.9,67.1,,,11.8,,,,,,22.0,2.7,18.1,False,False,False,True,False,,True,,,True,False,,,True,,,,,,False,True,True
South Carolina,380,379.0,393.0,388.9,389.0,412.0,,,461.7,,,392.8,395.7,,,366.5,,,,,,386.0,392.3,380.9,-1.0,13.0,8.9,9.0,32.0,,,81.7,,,12.8,15.7,,,-13.5,,,,,,6.0,12.3,0.9,False,False,False,False,,,False,,,False,False,,,False,,,,,,False,False,True
South Dakota,44,45.1,47.0,47.7,54.0,37.0,,,43.5,,,50.5,51.5,,,38.8,,,,,,49.0,58.7,42.9,1.1,3.0,3.7,10.0,-7.0,,,-0.5,,,6.5,7.5,,,-5.2,,,,,,5.0,14.7,-1.1,False,False,False,False,,,True,,,False,False,,,False,,,,,,False,False,True
Tennessee,295,271.3,275.0,281.1,299.0,333.0,265.1,,300.3,,,257.0,267.9,,,287.9,,,,,,275.0,272.4,265.1,-23.7,-20.0,-13.9,4.0,38.0,-29.9,,5.3,,,-38.0,-27.1,,,-7.1,,,,,,-20.0,-22.6,-29.9,True,True,True,False,False,,True,,,False,False,,,True,,,,,,True,True,False
Texas,1422,1279.1,1269.0,1280.1,1368.0,1218.0,1248.1,,1310.0,,,1245.7,1276.2,,,1271.1,,,,,,1336.0,1284.1,1281.2,-54.9,-65.0,-53.9,34.0,-116.0,-85.9,,-24.0,,,-88.3,-57.8,,,-62.9,,,,,,2.0,-49.9,-52.8,False,True,True,False,False,,True,,,False,False,,,False,,,,,,True,True,True
Utah,78,81.6,83.0,83.2,108.0,74.0,,,76.1,,,77.8,78.7,,,75.9,,,,,,88.0,88.7,80.2,3.6,5.0,5.2,30.0,-4.0,,,-1.9,,,-0.2,0.7,,,-2.1,,,,,,10.0,10.7,2.2,False,False,False,False,,,True,,,True,True,,,True,,,,,,False,False,True
Vermont,53,53.0,55.0,56.5,55.0,58.0,,,52.3,,,54.3,57.9,,,57.8,,,,,,56.0,57.9,56.4,0.0,2.0,3.5,2.0,5.0,,,-0.7,,,1.3,4.9,,,4.8,,,,,,3.0,4.9,3.4,False,False,False,False,,,False,,,False,False,,,False,,,,,,False,False,False
Virginia,1003,992.4,1037.0,1051.9,1138.0,1133.0,1017.2,,1008.0,,,1016.4,1054.3,,,996.3,,,,,,1057.0,1018.7,1001.3,-10.6,34.0,48.9,135.0,130.0,14.2,,5.0,,,13.4,51.3,,,-6.7,,,,,,54.0,15.7,-1.7,False,False,False,False,False,,True,,,False,False,,,True,,,,,,False,False,True
Washington,1024,1014.1,1012.0,1003.6,1038.0,953.0,,,984.3,,,1009.4,995.5,,,1013.9,,,,,,1020.0,1018.4,999.9,27.1,25.0,16.6,51.0,-34.0,,,-2.7,,,22.4,8.5,,,26.9,,,,,,33.0,31.4,12.9,True,True,False,False,,,True,,,True,True,,,True,,,,,,False,False,True
West Virginia,64,59.1,56.0,62.0,55.0,66.0,,,58.2,,,63.0,61.5,,,58.7,,,,,,62.0,65.4,61.0,-4.9,-8.0,-2.0,-9.0,2.0,,,-5.8,,,-1.0,-2.5,,,-5.3,,,,,,-2.0,1.4,-3.0,False,True,False,True,,,False,,,True,True,,,False,,,,,,True,True,True
Wisconsin,488,452.3,462.0,479.3,521.0,547.0,,,456.0,,,447.7,456.6,429.5,,467.3,,,,,,470.0,457.1,445.9,11.3,21.0,38.3,80.0,106.0,,,15.0,,,6.7,15.6,-11.5,,26.3,,,,,,29.0,16.1,4.9,False,False,False,False,,,False,,,True,False,False,,False,,,,,,False,False,True
Wyoming,7,7.0,7.0,8.8,7.0,11.0,,,6.0,,,7.9,8.7,,,8.2,,,,,,8.0,7.7,8.2,0.0,0.0,1.8,0.0,4.0,,,-1.0,,,0.9,1.7,,,1.2,,,,,,1.0,0.7,1.2,True,False,True,False,,,False,,,False,False,,,False,,,,,,False,False,False
US,91855,89678.0,91221.0,88769.9,88250.0,91849.0,88658.1,85545.0,91986.4,91528.0,91176.0,87021.8,88921.8,,,88421.4,,,,,,,87666.1,88767.3,1075.0,2618.0,166.9,-353.0,3246.0,55.1,-3058.0,3383.4,2925.0,2573.0,-1581.2,318.8,,,-181.6,,,,,,,-936.9,164.3,False,True,True,False,True,False,False,False,False,False,True,,,True,,,,,,,True,True
