,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,CovidAnalytics-DELPHI,GT-DeepCOVID,Geneva-DetGrowth,IHME-CurveFit,Imperial-ensemble1,Imperial-ensemble2,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,PSI-DRAFT,UCLA-SuEIR,UChicago-CovidIL,UChicago-CovidIL_100,UChicago-CovidIL_10_+,UChicago-CovidIL_30_+,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-IHME-CurveFit,error-Imperial-ensemble1,error-Imperial-ensemble2,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-PSI-DRAFT,error-UCLA-SuEIR,error-UChicago-CovidIL,error-UChicago-CovidIL_100,error-UChicago-CovidIL_10_+,error-UChicago-CovidIL_30_+,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-Imperial-ensemble1,beat_baseline-Imperial-ensemble2,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-PSI-DRAFT,beat_baseline-UCLA-SuEIR,beat_baseline-UChicago-CovidIL,beat_baseline-UChicago-CovidIL_100,beat_baseline-UChicago-CovidIL_10_+,beat_baseline-UChicago-CovidIL_30_+,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Maryland,2243,2290.3,2418.0,2300.0,2310.6,2179.0,2520.0,,,2258.1,,,2421.0,2462.7,2253.9,2305.4,,2301.0,2287.0,,,,,2285.0,2268.7,2278.9,2268.5,47.3,175.0,57.0,67.6,-64.0,277.0,,,15.1,,,178.0,219.7,10.9,62.4,,58.0,44.0,,,,,42.0,25.7,35.9,25.5,False,False,False,False,False,,,True,,,False,False,True,False,,False,True,,,,,True,True,True,True
Massachusetts,6304,6498.1,6893.0,6570.0,6568.6,6325.0,6767.0,,,6577.9,,,6855.0,7113.3,6435.1,6712.4,,6616.5,6498.8,,,,,6471.0,6081.3,6312.9,6442.3,194.1,589.0,266.0,264.6,21.0,463.0,,,273.9,,,551.0,809.3,131.1,408.4,,312.5,194.8,,,,,167.0,-222.7,8.9,138.3,False,False,False,True,False,,,False,,,False,False,True,False,,False,False,,,,,True,False,True,True
Michigan,5460,5179.0,5380.0,5232.0,5231.0,5135.0,5393.0,5207.2,,5264.5,,,5294.0,4997.1,5282.9,5261.1,4969.5,5002.0,5205.0,,,,,5136.0,4725.8,5074.6,5170.4,-48.0,153.0,5.0,4.0,-92.0,166.0,-19.8,,37.5,,,67.0,-229.9,55.9,34.1,-257.5,-225.0,-22.0,,,,,-91.0,-501.2,-152.4,-56.6,False,True,True,False,False,True,,True,,,False,False,False,True,False,False,True,,,,,False,False,False,False
Minnesota,861,862.1,1041.0,860.0,903.6,1013.0,1204.0,,,910.3,,,818.0,585.3,868.9,916.8,959.0,881.0,879.2,,,,,883.0,1000.5,899.3,864.5,1.1,180.0,-1.0,42.6,152.0,343.0,,,49.3,,,-43.0,-275.7,7.9,55.8,98.0,20.0,18.2,,,,,22.0,139.5,38.3,3.5,False,True,False,False,False,,,False,,,False,False,False,False,False,False,False,,,,,False,False,False,False
Mississippi,616,599.0,671.0,599.0,614.8,577.0,596.0,,,623.5,,,536.0,722.7,602.6,627.1,,640.0,593.2,,,,,611.0,587.5,596.9,606.1,-17.0,55.0,-17.0,-1.2,-39.0,-20.0,,,7.5,,,-80.0,106.7,-13.4,11.1,,24.0,-22.8,,,,,-5.0,-28.5,-19.1,-9.9,False,False,True,False,False,,,True,,,False,False,True,True,,False,False,,,,,True,False,False,True
Missouri,765,683.1,757.0,694.0,694.1,645.0,676.0,,,728.5,,,741.0,754.3,673.7,683.7,,704.0,664.0,,,,,682.0,631.5,682.1,687.3,16.1,90.0,27.0,27.1,-22.0,9.0,,,61.5,,,74.0,87.3,6.7,16.7,,37.0,-3.0,,,,,15.0,-35.5,15.1,20.3,False,False,False,False,True,,,False,,,False,False,True,False,,False,True,,,,,True,False,True,False
Montana,16,16.0,19.0,16.0,18.3,17.0,16.0,16.6,,12.0,,,16.0,34.4,16.2,17.2,,16.0,17.1,,,,,16.0,17.4,18.3,16.8,0.0,3.0,0.0,2.3,1.0,0.0,0.6,,-4.0,,,0.0,18.4,0.2,1.2,,0.0,1.1,,,,,0.0,1.4,2.3,0.8,False,True,False,False,True,False,,False,,,True,False,False,False,,True,False,,,,,True,False,False,False
Nebraska,147,151.3,209.0,156.0,170.0,191.0,186.0,,,134.8,,,203.5,233.5,134.9,156.8,,128.0,163.9,,,,,151.0,132.8,148.9,147.9,4.3,62.0,9.0,23.0,44.0,39.0,,,-12.2,,,56.5,86.5,-12.1,9.8,,-19.0,16.9,,,,,4.0,-14.2,1.9,0.9,False,False,False,False,False,,,False,,,False,False,False,False,,False,False,,,,,True,False,True,True
Nevada,387,384.3,409.0,381.0,393.3,375.0,380.0,,,400.9,,,433.0,207.4,393.6,384.4,,406.0,384.4,,,,,388.0,380.0,387.4,383.7,-2.7,22.0,-6.0,6.3,-12.0,-7.0,,,13.9,,,46.0,-179.6,6.6,-2.6,,19.0,-2.6,,,,,1.0,-7.0,0.4,-3.3,False,False,False,False,False,,,False,,,False,False,False,True,,False,True,,,,,True,False,True,False
New Hampshire,208,205.4,218.0,211.0,210.1,213.0,206.0,227.8,,212.1,,,206.0,266.0,197.4,230.3,,234.0,202.3,,,,,212.0,198.8,207.9,207.4,-2.6,10.0,3.0,2.1,5.0,-2.0,19.8,,4.1,,,-2.0,58.0,-10.6,22.3,,26.0,-5.7,,,,,4.0,-9.2,-0.1,-0.6,False,False,True,False,True,False,,False,,,True,False,False,False,,False,False,,,,,False,False,True,True
