,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting
Idaho,1725,1895.0,1587.1,1911.3,2021.0,1919.6,1753.0,,2234.1,2051.0,2189.3,1700.7,2106.9,1785.0,1897.0,,1675.5,2836.7,1543.8,170.0,-137.9,186.3,296.0,194.6,28.0,,509.1,326.0,464.3,-24.3,381.9,60.0,172.0,,-49.5,1111.7,-181.2,True,False,False,False,True,,False,False,False,True,False,True,False,,True,False,False
Illinois,21213,22662.4,27052.7,22894.8,21371.0,21356.9,20859.0,,24671.3,22010.0,24503.4,18919.3,21365.0,21237.5,20040.0,,20429.3,,18234.5,1449.4,5839.7,1681.8,158.0,143.9,-354.0,,3458.3,797.0,3290.4,-2293.7,152.0,24.5,-1173.0,,-783.7,,-2978.5,False,False,True,True,True,,False,True,False,False,True,True,True,,True,,False
Indiana,11262,10912.4,11318.2,10818.7,10253.0,10362.2,10379.0,,10691.2,11052.0,11785.2,8967.3,10430.5,10637.5,10447.5,,10541.7,11854.6,7992.0,626.4,1032.2,532.7,-33.0,76.2,93.0,,405.2,766.0,1499.2,-1318.7,144.5,351.5,161.5,,255.7,1568.6,-2294.0,False,True,True,True,True,,True,False,False,False,True,True,True,,True,False,False
Iowa,4651,5807.9,5525.7,5475.6,4684.0,4557.2,4724.0,,3760.1,6021.0,4895.4,3759.6,5065.3,5648.0,5973.0,,4677.7,11717.6,4254.2,1156.9,874.7,824.6,33.0,-93.8,73.0,,-890.9,1370.0,244.4,-891.4,414.3,997.0,1322.0,,26.7,7066.6,-396.8,True,True,True,True,True,,True,False,True,True,True,True,False,,True,False,True
Kansas,3767,3916.6,4167.4,3955.2,3596.0,3499.1,3636.0,,4808.2,4162.0,4350.3,3187.2,3702.8,3705.0,3495.0,,3592.2,4760.9,2771.6,149.6,400.4,188.2,-171.0,-267.9,-131.0,,1041.2,395.0,583.3,-579.8,-64.2,-62.0,-272.0,,-174.8,993.9,-995.4,False,False,False,False,True,,False,False,False,False,True,True,False,,False,False,False
Kentucky,3714,3509.9,3273.3,3445.0,3125.0,3365.2,3306.0,,3523.6,3445.0,3681.1,3043.6,4438.0,3235.0,3807.0,,3698.7,3400.4,2741.9,-204.1,-440.7,-269.0,-589.0,-348.8,-408.0,,-190.4,-269.0,-32.9,-670.4,724.0,-479.0,93.0,,-15.3,-313.6,-972.1,False,False,False,False,False,,True,False,True,False,False,False,True,,True,False,False
Louisiana,8801,8354.0,11816.9,8356.3,8067.0,8366.5,8456.0,,8645.1,8562.0,8769.4,8018.1,8737.9,8202.0,8102.0,,8349.1,11157.9,7542.2,-447.0,3015.9,-444.7,-734.0,-434.5,-345.0,,-155.9,-239.0,-31.6,-782.9,-63.1,-599.0,-699.0,,-451.9,2356.9,-1258.8,False,True,False,True,True,,True,True,True,False,True,False,False,,False,False,False
Maine,590,497.0,399.3,502.0,1344.0,655.7,515.0,,535.1,515.0,826.2,802.9,1056.2,641.5,808.5,,435.2,469.8,329.0,-93.0,-190.7,-88.0,754.0,65.7,-75.0,,-54.9,-75.0,236.2,212.9,466.2,51.5,218.5,,-154.8,-120.2,-261.0,False,True,False,True,True,,True,True,False,False,False,True,False,,False,False,False
Maryland,7107,7386.7,7289.5,7283.0,7278.0,7370.8,6707.0,,7725.2,7074.0,7911.4,6623.8,7466.6,7433.0,7805.0,,6781.0,7611.2,5733.5,279.7,182.5,176.0,171.0,263.8,-400.0,,618.2,-33.0,804.4,-483.2,359.6,326.0,698.0,,-326.0,504.2,-1373.5,True,True,True,True,False,,False,True,False,False,False,False,False,,False,False,False
Massachusetts,14531,13872.4,13935.1,13757.9,16974.0,14862.1,13976.0,,14980.5,14385.0,15654.6,14893.5,15439.8,13428.0,12635.0,,12995.5,14967.9,12201.7,-658.6,-595.9,-773.1,2443.0,331.1,-555.0,,449.5,-146.0,1123.6,362.5,908.8,-1103.0,-1896.0,,-1535.5,436.9,-2329.3,True,False,False,True,True,,True,True,False,True,False,False,False,,False,True,False
Michigan,15525,17222.4,17066.2,17347.4,14813.0,15759.9,14960.0,,17239.2,17164.0,17450.1,13352.7,16279.4,15612.0,16045.0,,14840.9,18254.3,13002.9,1697.4,1541.2,1822.4,-712.0,234.9,-565.0,,1714.2,1639.0,1925.1,-2172.3,754.4,87.0,520.0,,-684.1,2729.3,-2522.1,True,False,True,True,True,,False,True,False,False,True,True,True,,True,False,False
Minnesota,6255,7287.0,8587.9,7363.9,5869.0,6462.3,6934.0,,7385.8,8119.0,6996.7,5234.8,6838.3,6158.0,7053.5,,7030.6,8403.7,5581.2,1032.0,2332.9,1108.9,-386.0,207.3,679.0,,1130.8,1864.0,741.7,-1020.2,583.3,-97.0,798.5,,775.6,2148.7,-673.8,False,False,True,True,True,,False,False,True,True,True,True,True,,True,False,True
Mississippi,6018,5639.0,6063.0,5649.4,7252.0,6102.7,5732.0,,6052.5,5971.0,6527.6,6151.0,5594.7,6744.0,5182.5,,5536.0,9273.1,4830.3,-379.0,45.0,-368.6,1234.0,84.7,-286.0,,34.5,-47.0,509.6,133.0,-423.3,726.0,-835.5,,-482.0,3255.1,-1187.7,True,True,False,True,True,,True,True,False,True,False,False,False,,False,False,False
Missouri,7070,7811.3,7545.0,7725.4,6762.0,6582.7,6934.0,,7515.0,7226.0,7631.7,5842.6,7355.2,7191.0,8731.5,,5877.1,,5553.9,770.3,504.0,684.4,-279.0,-458.3,-107.0,,474.0,185.0,590.7,-1198.4,314.2,150.0,1690.5,,-1163.9,,-1487.1,True,True,True,True,True,,True,True,True,False,True,True,False,,False,,False
Montana,1232,1140.3,1204.2,1151.8,1029.0,1063.2,1015.0,,1192.6,1455.0,1102.1,982.1,1415.2,1091.0,1316.0,,1205.2,1238.5,1015.4,-91.7,-27.8,-80.2,-203.0,-168.8,-217.0,,-39.4,223.0,-129.9,-249.9,183.2,-141.0,84.0,,-26.8,6.5,-216.6,True,True,False,False,False,,True,False,False,False,False,False,True,,True,True,False
Nebraska,1920,2147.9,2272.3,2134.8,1817.0,2279.2,2090.0,,2526.2,2247.5,2319.2,1773.8,2439.7,1948.0,2487.0,,1648.5,2695.6,1800.6,227.9,352.3,214.8,-103.0,359.2,170.0,,606.2,327.5,399.2,-146.2,519.7,28.0,567.0,,-271.5,775.6,-119.4,False,True,True,False,True,,False,False,False,True,False,True,False,,False,False,True
Nevada,4264,4184.7,3221.4,4123.2,4003.0,4300.4,3583.0,,4376.1,4095.0,4929.2,3572.4,4096.1,4077.0,5256.5,,3941.3,,3109.9,-79.3,-1042.6,-140.8,-261.0,36.4,-681.0,,112.1,-169.0,665.2,-691.6,-167.9,-187.0,992.5,,-322.7,,-1154.1,False,False,False,True,False,,False,False,False,False,False,False,False,,False,,False
New Hampshire,1042,966.4,2043.1,950.0,1298.0,1074.7,834.0,,1467.6,1122.0,1226.9,1148.2,1463.0,912.0,1090.0,,758.9,1231.5,691.9,-75.6,1001.1,-92.0,256.0,32.7,-208.0,,425.6,80.0,184.9,106.2,421.0,-130.0,48.0,,-283.1,189.5,-350.1,False,False,False,True,False,,False,False,False,False,False,False,True,,False,False,False
New Jersey,21455,20788.7,19471.5,20825.9,20065.0,20691.9,19210.0,,21673.5,20714.0,21636.9,19939.6,22349.8,21537.0,20087.5,,20079.0,22535.7,18630.2,-666.3,-1983.5,-629.1,-1390.0,-763.1,-2245.0,,218.5,-741.0,181.9,-1515.4,894.8,82.0,-1367.5,,-1376.0,1080.7,-2824.8,False,True,False,False,False,,True,False,True,False,False,True,False,,False,False,False
New Mexico,3265,3424.4,2658.4,3606.4,2830.0,3008.1,3201.0,,3372.4,3458.0,3439.2,2586.1,2835.4,2980.0,4215.0,,3169.0,3546.1,2554.8,159.4,-606.6,341.4,-435.0,-256.9,-64.0,,107.4,193.0,174.2,-678.9,-429.6,-285.0,950.0,,-96.0,281.1,-710.2,False,False,False,False,True,,True,False,False,False,False,False,False,,True,False,False
New York,43453,41181.1,60167.6,41267.7,41237.0,42276.4,40670.0,,43837.9,40560.0,43645.7,42387.9,47176.4,45773.5,37297.0,,44413.7,41614.9,36569.6,-2271.9,16714.6,-2185.3,-2216.0,-1176.6,-2783.0,,384.9,-2893.0,192.7,-1065.1,3723.4,2320.5,-6156.0,,960.7,-1838.1,-6883.4,False,True,True,True,False,,True,False,True,True,False,False,False,,True,True,False
North Carolina,9287,8572.7,8149.5,8512.1,11139.0,8535.4,8951.0,,9350.9,8550.0,9904.7,8789.3,10490.1,9105.0,8400.0,,8705.1,8228.5,6975.3,-714.3,-1137.5,-774.9,1852.0,-751.6,-336.0,,63.9,-737.0,617.7,-497.7,1203.1,-182.0,-887.0,,-581.9,-1058.5,-2311.7,False,False,False,False,True,,True,False,True,True,False,True,False,,True,False,False
North Dakota,1447,1693.7,1580.1,1705.0,1472.0,1468.7,1463.0,,1766.9,2167.0,1539.8,1330.1,1588.0,1388.0,1526.0,,1384.2,2725.8,1475.6,246.7,133.1,258.0,25.0,21.7,16.0,,319.9,720.0,92.8,-116.9,141.0,-59.0,79.0,,-62.8,1278.8,28.6,True,False,True,True,True,,False,False,True,True,True,True,True,,True,False,True
Ohio,16951,11297.7,10601.9,11353.9,11636.0,12510.4,11272.0,,12043.4,12979.0,13353.9,10025.6,14555.1,10842.0,13915.0,,11546.8,11609.8,8963.7,-2087.3,-2783.1,-2031.1,-1749.0,-874.6,-2113.0,,-1341.6,-406.0,-31.1,-3359.4,1170.1,-2543.0,530.0,,-1838.2,-1775.2,-4421.3,False,True,True,True,False,,True,True,True,False,True,False,True,,True,True,False
Oklahoma,3504,3078.9,3052.3,3071.3,2901.0,3095.2,3121.0,,3382.8,3585.0,3400.9,2793.9,4107.9,3172.0,3551.0,,3136.6,3307.2,2542.3,-425.1,-451.7,-432.7,-603.0,-408.8,-383.0,,-121.2,81.0,-103.1,-710.1,603.9,-332.0,47.0,,-367.4,-196.8,-961.7,False,False,False,True,True,,True,True,True,False,False,True,True,,True,True,False
Oregon,1957,2430.4,1646.9,2479.9,1791.0,2344.0,2141.0,,2768.8,2356.0,2707.2,1774.6,3096.8,2119.0,2684.0,,2384.6,2550.5,1600.7,473.4,-310.1,522.9,-166.0,387.0,184.0,,811.8,399.0,750.2,-182.4,1139.8,162.0,727.0,,427.6,593.5,-356.3,True,False,True,True,True,,False,True,False,True,False,True,False,,True,False,True
Pennsylvania,21562,21706.0,24987.9,22048.8,24462.0,23922.8,21692.0,,24260.4,23027.0,27759.8,22608.7,22452.5,23388.0,21034.5,,19808.5,31406.3,15008.9,144.0,3425.9,486.8,2900.0,2360.8,130.0,,2698.4,1465.0,6197.8,1046.7,890.5,1826.0,-527.5,,-1753.5,9844.3,-6553.1,False,False,False,False,True,,False,False,False,False,False,False,False,,False,False,False
Rhode Island,2333,2304.4,2216.1,2320.5,2397.0,2271.3,2200.0,,2394.7,2259.0,2482.4,2071.8,2224.3,2360.0,2237.0,,2106.7,2976.7,1632.0,114.4,26.1,130.5,207.0,81.3,10.0,,204.7,69.0,292.4,-118.2,34.3,170.0,47.0,,-83.3,786.7,-558.0,True,False,False,True,True,,False,True,False,False,True,False,True,,True,False,False
South Carolina,7014,6083.0,7199.9,6155.6,9933.0,6355.7,5741.0,,6687.2,5990.0,7142.4,6859.8,6879.5,6313.0,6135.5,,6159.9,6299.5,5358.5,-931.0,185.9,-858.4,2919.0,-658.3,-1273.0,,-326.8,-1024.0,128.4,-154.2,-134.5,-701.0,-878.5,,-854.1,-714.5,-1655.5,True,True,False,True,False,,True,False,True,True,True,True,True,,True,True,False
South Dakota,1775,1958.4,1788.8,1992.2,1819.0,1966.4,1897.0,,1948.7,2325.0,2153.6,1578.6,1709.8,1674.0,1745.0,,1663.8,2070.0,1721.1,183.4,13.8,217.2,44.0,191.4,122.0,,173.7,550.0,378.6,-196.4,-65.2,-101.0,-30.0,,-111.2,295.0,-53.9,True,False,True,False,True,,True,False,False,False,True,True,True,,True,False,True
Tennessee,9574,9638.0,9378.4,9321.3,29203.0,9563.1,10179.0,,9678.3,9949.0,11462.3,18065.5,9353.8,18398.5,9972.5,,9609.8,14143.3,6917.1,64.0,-195.6,-252.7,19629.0,-10.9,605.0,,104.3,375.0,1888.3,8491.5,-220.2,8824.5,398.5,,35.8,4569.3,-2656.9,False,False,False,True,False,,False,False,False,False,False,False,False,,True,False,False
Texas,36924,34185.1,40231.6,34148.3,36875.0,33750.0,31599.0,,34849.0,33660.0,37599.9,32827.8,37166.1,34853.5,31722.5,,32728.2,37519.0,28640.9,-2531.9,3514.6,-2568.7,158.0,-2967.0,-5118.0,,-1868.0,-3057.0,882.9,-3889.2,449.1,-1863.5,-4994.5,,-3988.8,802.0,-8076.1,False,False,True,False,False,,True,False,True,False,True,True,False,,False,True,False
Utah,1663,1740.7,1429.2,1808.0,1564.0,1964.2,1470.0,,2075.4,1961.0,1842.3,1401.0,1657.7,1638.0,1976.0,,1692.7,2108.3,978.1,77.7,-233.8,145.0,-99.0,301.2,-193.0,,412.4,298.0,179.3,-262.0,-5.3,-25.0,313.0,,29.7,445.3,-684.9,False,False,False,False,False,,False,False,False,False,True,True,False,,True,False,False
Vermont,173,204.7,194.7,186.0,169.0,219.7,151.0,,203.5,244.0,252.6,198.6,361.3,214.0,136.0,,165.2,497.9,116.0,31.7,21.7,13.0,-4.0,46.7,-22.0,,30.5,71.0,79.6,25.6,188.3,41.0,-37.0,,-7.8,324.9,-57.0,True,True,True,False,True,,True,False,False,True,False,False,False,,True,False,False
Virginia,6449,6049.9,7030.0,6048.7,7058.0,6175.9,5975.0,,6718.6,6128.5,6994.6,6445.3,8222.6,6778.0,5341.0,,5732.7,6116.7,5093.5,-399.1,581.0,-400.3,609.0,-273.1,-474.0,,269.6,-320.5,545.6,-3.7,1773.6,329.0,-1108.0,,-716.3,-332.3,-1355.5,False,False,False,True,False,,True,True,False,True,False,True,False,,False,True,False
Washington,4285,4058.7,3416.8,4082.0,3319.0,3762.4,3898.0,,4438.1,4380.0,3825.0,3427.8,5266.1,3188.0,3723.0,,4012.0,,3390.9,-226.3,-868.2,-203.0,-966.0,-522.6,-387.0,,153.1,95.0,-460.0,-857.2,981.1,-1097.0,-562.0,,-273.0,,-894.1,False,True,False,False,False,,True,True,False,False,False,False,False,,False,,False
West Virginia,2015,2065.1,1990.1,2058.2,1946.0,1914.1,1880.0,,2237.7,2094.0,2609.5,1895.2,2318.8,2343.0,2048.0,,2143.7,4094.2,1405.0,50.1,-24.9,43.2,-69.0,-100.9,-135.0,,222.7,79.0,594.5,-119.8,303.8,328.0,33.0,,128.7,2079.2,-610.0,True,True,False,False,False,,False,False,False,False,False,False,True,,False,False,False
Wisconsin,6430,7109.3,7183.5,7110.8,6123.0,6256.0,6303.0,,7300.0,6890.0,7203.8,5374.5,7124.9,6777.0,6866.0,,6677.8,7025.9,5676.0,679.3,753.5,680.8,-307.0,-174.0,-127.0,,870.0,460.0,773.8,-1055.5,694.9,347.0,436.0,,247.8,595.9,-754.0,False,False,True,True,True,,False,True,False,False,False,True,True,,True,True,False
Wyoming,596,526.7,475.1,531.1,440.0,518.6,553.0,,559.9,724.0,497.9,393.7,586.6,606.0,585.0,,453.8,629.7,446.3,-69.3,-120.9,-64.9,-156.0,-77.4,-43.0,,-36.1,128.0,-98.1,-202.3,-9.4,10.0,-11.0,,-142.2,33.7,-149.7,False,True,False,False,True,,True,False,False,False,True,True,True,,False,True,False
US,447084,425293.0,545685.8,425696.7,507279.0,424885.6,415386.0,439418.0,452812.8,440776.0,475930.2,424531.2,468117.9,443563.5,417442.5,436552.1,415979.4,,347870.4,-16764.0,103628.8,-16360.3,65222.0,-17171.4,-26671.0,-2639.0,10755.8,-1281.0,33873.2,-17525.8,26060.9,1506.5,-24614.5,-5504.9,-26077.6,,-94186.6,False,True,False,False,False,True,True,True,False,False,False,True,False,True,False,,False
