,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,UCM_MESALab-FoGSEIR,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR
North Carolina,9287,8127.6,8217.1,8235.4,8281.0,8824.0,8952.0,,8867.4,8904.0,8763.8,8095.5,9969.3,9312.9,8772.0,8124.0,,8022.1,,-1159.4,-1069.9,-1051.6,-1006.0,-463.0,-335.0,,-419.6,-383.0,-523.2,-1191.5,682.3,25.9,-515.0,-1163.0,,-1264.9,,True,True,True,True,True,,True,True,True,False,True,True,True,False,,False,
North Dakota,1447,1436.0,1442.7,1429.1,1409.0,1507.1,1378.0,,1813.0,1746.0,1459.3,1269.7,1504.7,1429.5,1351.0,1526.0,,1358.0,,-11.0,-4.3,-17.9,-38.0,60.1,-69.0,,366.0,299.0,12.3,-177.3,57.7,-17.5,-96.0,79.0,,-89.0,,True,False,False,False,False,,False,False,False,False,False,False,False,False,,False,
Ohio,16951,10753.0,9833.0,10700.4,10348.0,11927.5,11591.0,,12040.4,12038.0,12039.6,9535.9,12752.1,10897.9,11003.0,11954.0,,10594.3,,-1909.0,-2829.0,-1961.6,-2314.0,-734.5,-1071.0,,-621.6,-624.0,-622.4,-3126.1,90.1,-1764.1,-1659.0,-708.0,,-2067.7,,False,False,False,True,True,,True,True,True,False,True,True,True,True,,False,
Oklahoma,3504,3137.4,3122.3,3197.2,3279.0,3159.3,3343.0,,3481.2,3538.0,3426.0,3194.5,3765.1,3181.8,3241.5,3383.0,,3317.4,,-366.6,-381.7,-306.8,-225.0,-344.7,-161.0,,-22.8,34.0,-78.0,-309.5,261.1,-322.2,-262.5,-121.0,,-186.6,,False,True,True,True,True,,True,True,True,True,True,True,True,True,,True,
Oregon,1957,1844.7,1476.5,1832.1,1724.0,2297.0,2025.0,,2585.3,2430.0,2102.8,1677.0,2461.1,1973.9,1951.0,2345.0,,1883.7,,-112.3,-480.5,-124.9,-233.0,340.0,68.0,,628.3,473.0,145.8,-280.0,504.1,16.9,-6.0,388.0,,-73.3,,False,False,False,False,True,,False,False,False,False,False,True,True,False,,True,
Pennsylvania,21562,20481.9,21404.0,20376.0,19095.0,24529.3,24252.0,,23843.3,22850.0,24960.4,17627.3,20935.8,21462.8,21573.5,18735.0,,18108.8,,-1080.1,-158.0,-1186.0,-2467.0,2967.3,2690.0,,2281.3,1288.0,3398.4,-3934.7,-626.2,-99.2,11.5,-2827.0,,-3453.2,,True,False,False,False,False,,False,False,False,False,True,True,True,False,,False,
Rhode Island,2333,2087.7,2256.4,2099.9,1895.0,2327.7,2032.0,,2424.9,2315.5,2239.4,1802.4,2055.5,2018.0,2232.0,2028.0,,1830.3,,-80.3,88.4,-68.1,-273.0,159.7,-136.0,,256.9,147.5,71.4,-365.6,-112.5,-150.0,64.0,-140.0,,-337.7,,False,True,False,False,False,,False,False,True,False,False,False,True,False,,False,
South Carolina,7014,6223.6,6971.0,6269.3,6760.0,6844.5,6226.0,,6584.8,6450.0,6614.3,6385.7,6675.5,7103.8,6566.0,5796.0,,6198.1,,-790.4,-43.0,-744.7,-254.0,-169.5,-788.0,,-429.2,-564.0,-399.7,-628.3,-338.5,89.8,-448.0,-1218.0,,-815.9,,True,True,True,True,True,,True,True,True,True,True,True,True,False,,False,
South Dakota,1775,1858.9,1748.3,1926.0,1750.0,1892.9,1923.0,,1801.1,1910.0,1962.2,1486.6,1698.2,1755.2,1681.0,1791.0,,1696.1,,83.9,-26.7,151.0,-25.0,117.9,148.0,,26.1,135.0,187.2,-288.4,-76.8,-19.8,-94.0,16.0,,-78.9,,True,False,True,False,False,,True,False,False,False,True,True,False,True,,True,
Tennessee,9574,8654.0,9268.6,8858.1,12282.0,11144.0,10743.0,,11473.3,10502.0,10750.5,10967.3,9169.8,9056.8,15082.5,8852.0,,8944.3,,-920.0,-305.4,-715.9,2708.0,1570.0,1169.0,,1899.3,928.0,1176.5,1393.3,-404.2,-517.2,5508.5,-722.0,,-629.7,,True,True,False,False,False,,False,False,False,False,True,True,False,True,,True,
Texas,36924,32498.3,37592.8,32925.8,37879.0,34163.1,31981.0,,35346.0,34983.0,35419.2,32960.1,35170.2,35752.5,37280.5,33354.0,,31140.4,,-4261.7,832.8,-3834.2,1119.0,-2596.9,-4779.0,,-1414.0,-1777.0,-1340.8,-3799.9,-1589.8,-1007.5,520.5,-3406.0,,-5619.6,,True,True,True,True,False,,True,True,True,True,True,True,True,True,,False,
Utah,1663,1500.6,1314.1,1531.8,1591.0,1864.9,1460.0,,2076.8,1874.0,1690.7,1469.2,1394.8,1592.6,1583.0,1841.5,,1480.6,,-162.4,-348.9,-131.2,-72.0,201.9,-203.0,,413.8,211.0,27.7,-193.8,-268.2,-70.4,-80.0,178.5,,-182.4,,False,True,True,False,False,,False,False,True,False,False,True,True,False,,False,
Vermont,173,204.7,236.4,186.0,182.0,249.0,194.0,,205.2,248.0,231.6,163.3,284.2,313.1,175.0,121.0,,141.2,,31.7,63.4,13.0,9.0,76.0,21.0,,32.2,75.0,58.6,-9.7,111.2,140.1,2.0,-52.0,,-31.8,,False,True,True,False,True,,False,False,False,True,False,False,True,False,,False,
Virginia,6449,5844.9,6613.9,5824.4,6431.0,6339.5,5937.0,,7299.8,6307.0,6568.5,5804.1,7364.0,5991.1,7028.5,6271.0,,5366.7,,-604.1,164.9,-624.6,-18.0,-109.5,-512.0,,850.8,-142.0,119.5,-644.9,915.0,-457.9,579.5,-178.0,,-1082.3,,True,False,True,True,True,,False,True,True,False,False,True,True,True,,False,
Washington,4285,3572.6,3679.6,3584.3,3587.0,3757.5,3728.0,,5132.3,4260.5,3538.6,3345.6,4624.1,3793.4,3276.0,3844.0,,3917.9,,-712.4,-605.4,-700.7,-698.0,-527.5,-557.0,,847.3,-24.5,-746.4,-939.4,339.1,-491.6,-1009.0,-441.0,,-367.1,,True,True,True,True,True,,False,True,False,False,True,True,False,True,,True,
West Virginia,2015,1866.0,2030.4,1908.2,2195.0,2100.9,2470.0,,2259.8,2133.0,2432.6,1668.6,2271.8,2140.6,1988.0,2472.5,,1858.2,,-149.0,15.4,-106.8,180.0,85.9,455.0,,244.8,118.0,417.6,-346.4,256.8,125.6,-27.0,457.5,,-156.8,,True,True,False,True,False,,False,True,False,False,False,True,True,False,,False,
Wisconsin,6430,6476.7,6814.4,6564.2,6420.0,6550.4,5264.0,,6578.9,7163.0,6713.9,5679.4,6580.8,6161.4,7126.0,7241.0,,6346.3,,46.7,384.4,134.2,-10.0,120.4,-1166.0,,148.9,733.0,283.9,-750.6,150.8,-268.6,696.0,811.0,,-83.7,,False,False,True,False,False,,False,False,False,False,False,False,False,False,,False,
Wyoming,596,479.9,503.0,483.0,453.0,513.9,515.0,,632.5,586.0,403.5,437.0,527.7,448.3,586.0,522.5,,457.8,,-116.1,-93.0,-113.0,-143.0,-82.1,-81.0,,36.5,-10.0,-192.5,-159.0,-68.3,-147.7,-10.0,-73.5,,-138.2,,True,True,False,True,True,,True,True,False,False,True,False,True,True,,False,
US,447084,408160.9,360194.9,410681.2,437415.0,434548.0,411531.0,423354.0,453118.6,434582.0,447511.9,395803.9,439634.2,428421.3,446710.5,417732.0,434619.2,370678.2,415844.0,-32980.1,-80946.1,-30459.8,-3726.0,-6593.0,-29610.0,-17787.0,11977.6,-6559.0,6370.9,-45337.1,-1506.8,-12719.7,5569.5,-23409.0,-6521.8,-70462.8,-25297.0,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True
