,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,14196,13852.3,13942.9,12995.5,13960.9,14006.0,13959.0,13830.0,12832.0,13389.6,13611.0,12374.9,13399.0,13511.8,13706.5,13788.1,,12771.7,14230.0,14133.0,13226.0,13578.7,14064.0,13965.6,13815.0,13057.5,13895.0,13807.5,14119.0,12852.5,,13891.9,14136.7,,13650.0,15057.3,13382.0,13955.0,,14509.1,13929.5,13832.3,13684.0,13206.3,14197.0,,12342.2,13027.0,-343.7,-253.1,-1200.5,-235.1,-190.0,-237.0,-366.0,-1364.0,-806.4,-585.0,-1821.1,-797.0,-684.2,-489.5,-407.9,,-1424.3,34.0,-63.0,-970.0,-617.3,-132.0,-230.4,-381.0,-1138.5,-301.0,-388.5,-77.0,-1343.5,,-304.1,-59.3,,-546.0,861.3,-814.0,-241.0,,313.1,-266.5,-363.7,-512.0,-989.7,1.0,,-1853.8,-1169.0,True,False,True,True,True,False,False,False,False,False,False,False,False,False,,False,True,True,False,False,True,True,False,False,True,False,True,False,,True,True,,False,False,False,True,,True,True,False,False,False,True,,False,False
Hawaii,406,345.1,346.8,333.7,341.7,349.0,343.0,349.0,335.0,347.1,349.0,322.5,362.0,351.7,,369.0,,345.9,,352.0,408.1,343.6,338.0,341.1,372.0,323.3,349.3,353.7,347.5,335.0,,,348.9,,349.0,358.4,351.0,338.9,,370.7,366.1,348.5,346.0,344.3,355.0,,331.6,354.0,-60.9,-59.2,-72.3,-64.3,-57.0,-63.0,-57.0,-71.0,-58.9,-57.0,-83.5,-44.0,-54.3,,-37.0,,-60.1,,-54.0,2.1,-62.4,-68.0,-64.9,-34.0,-82.7,-56.7,-52.3,-58.5,-71.0,,,-57.1,,-57.0,-47.6,-55.0,-67.1,,-35.3,-39.9,-57.5,-60.0,-61.7,-51.0,,-74.4,-52.0,True,False,False,True,False,True,False,True,True,False,True,True,,True,,True,,True,True,False,False,False,True,False,True,True,True,False,,,True,,True,True,True,False,,True,True,True,True,False,True,,False,True
Idaho,1725,1742.6,1740.2,1700.6,1759.4,1791.0,1759.0,1750.0,1677.0,1756.3,1724.0,1698.1,1766.0,1843.6,1738.4,1800.7,,1812.1,1791.0,1776.0,1800.1,1740.3,1738.0,1743.5,1786.0,,1768.6,1770.5,1754.0,1733.0,,,1709.2,,1755.0,1617.8,1715.0,1733.6,,1849.9,1791.1,1771.8,1718.0,1788.4,1739.0,,1711.4,1746.0,17.6,15.2,-24.4,34.4,66.0,34.0,25.0,-48.0,31.3,-1.0,-26.9,41.0,118.6,13.4,75.7,,87.1,66.0,51.0,75.1,15.3,13.0,18.5,61.0,,43.6,45.5,29.0,8.0,,,-15.8,,30.0,-107.2,-10.0,8.6,,124.9,66.1,46.8,-7.0,63.4,14.0,,-13.6,21.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,,False,False,False,False,True,True,False,False,,False,False,False,True,,,True,,False,False,True,True,,False,False,False,True,False,True,,True,False
Illinois,21213,21455.9,22175.1,21076.1,21575.3,21682.0,21639.8,21602.0,21386.0,21280.1,21847.0,20969.9,21875.0,21926.5,21367.7,21748.0,,22382.8,21616.0,21683.0,21312.9,21354.0,21487.0,21574.9,21762.0,21147.4,21584.4,21832.8,21658.6,21431.0,,22082.7,21314.8,,21777.0,20664.7,21487.0,21053.3,,22652.0,21587.9,21401.6,21381.0,22116.8,21685.0,,21058.2,21343.0,242.9,962.1,-136.9,362.3,469.0,426.8,389.0,173.0,67.1,634.0,-243.1,662.0,713.5,154.7,535.0,,1169.8,403.0,470.0,99.9,141.0,274.0,361.9,549.0,-65.6,371.4,619.8,445.6,218.0,,869.7,101.8,,564.0,-548.3,274.0,-159.7,,1439.0,374.9,188.6,168.0,903.8,472.0,,-154.8,130.0,False,True,False,False,False,False,True,True,False,False,False,False,True,False,,False,False,False,True,True,False,False,False,True,False,False,False,True,,False,True,,False,False,False,True,,False,False,True,True,False,False,,True,True
Indiana,9967,9913.6,10351.2,9982.6,9895.4,10148.0,9929.0,10096.0,9960.0,10014.2,10188.0,10119.8,10504.0,10227.1,9985.5,10263.9,,10944.5,10050.0,10187.0,9798.9,10111.4,10031.0,9980.1,10306.0,9873.4,10241.7,10323.0,9841.2,10099.0,,10521.3,9693.0,,10132.0,10104.2,9752.0,9760.3,,11030.5,10240.9,10022.4,10000.0,10074.4,10092.0,,9485.9,10099.0,-53.4,384.2,15.6,-71.6,181.0,-38.0,129.0,-7.0,47.2,221.0,152.8,537.0,260.1,18.5,296.9,,977.5,83.0,220.0,-168.1,144.4,64.0,13.1,339.0,-93.6,274.7,356.0,-125.8,132.0,,554.3,-274.0,,165.0,137.2,-215.0,-206.7,,1063.5,273.9,55.4,33.0,107.4,125.0,,-481.1,132.0,False,True,False,False,True,False,True,True,False,False,False,False,True,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,False,True,False,False,,False,False
Iowa,4651,4666.6,4649.7,4513.1,4705.7,4653.0,4709.0,4701.0,4479.0,4644.0,4794.0,4682.9,5627.0,4728.6,4634.2,4627.5,,4722.0,4794.0,4708.0,4686.7,4648.5,4507.0,4641.2,4685.0,4695.2,4691.5,4684.8,4708.9,4568.0,,4758.3,4447.4,,4707.0,4228.5,4620.0,4745.6,,4815.2,4709.5,4644.8,4580.0,4768.9,4735.0,,4604.5,4727.0,15.6,-1.3,-137.9,54.7,2.0,58.0,50.0,-172.0,-7.0,143.0,31.9,976.0,77.6,-16.8,-23.5,,71.0,143.0,57.0,35.7,-2.5,-144.0,-9.8,34.0,44.2,40.5,33.8,57.9,-83.0,,107.3,-203.6,,56.0,-422.5,-31.0,94.6,,164.2,58.5,-6.2,-71.0,117.9,84.0,,-46.5,76.0,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,False,False,False,False,True,False,True,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,True,False,False,False,,False,False
Kansas,3767,4135.3,4261.3,3976.6,4237.9,4199.0,4185.0,4095.0,4032.0,3848.3,4213.0,3827.1,4377.0,4344.7,4094.7,4208.5,,4402.5,4028.0,4104.0,3920.3,3952.9,3819.0,3960.6,4095.0,4206.9,4180.4,4127.3,4217.4,4141.0,,4420.7,3965.2,,4121.0,3891.6,3803.0,3929.2,,4303.8,4210.0,4117.3,4020.0,4091.1,4217.0,,3834.6,4002.0,368.3,494.3,209.6,470.9,432.0,418.0,328.0,265.0,81.3,446.0,60.1,610.0,577.7,327.7,441.5,,635.5,261.0,337.0,153.3,185.9,52.0,193.6,328.0,439.9,413.4,360.3,450.4,374.0,,653.7,198.2,,354.0,124.6,36.0,162.2,,536.8,443.0,350.3,253.0,324.1,450.0,,67.6,235.0,False,True,False,False,False,True,True,True,False,True,False,False,True,False,,False,True,True,True,True,True,True,True,False,False,True,False,False,,False,True,,True,True,True,True,,False,False,True,True,True,False,,True,True
Kentucky,3714,3546.7,3475.5,3384.4,3518.4,3599.0,3527.0,3535.0,3329.0,3581.6,3622.0,3341.9,3535.0,3519.3,3431.2,3576.4,,3465.4,3580.0,3538.0,3760.4,3462.1,3487.0,3544.9,3711.0,3533.2,3511.5,3589.0,3588.4,3474.0,,,3558.4,,3587.0,3632.5,3473.0,3593.6,,4130.4,3534.4,3670.9,3561.0,3515.6,3647.0,,3321.8,3562.0,-167.3,-238.5,-329.6,-195.6,-115.0,-187.0,-179.0,-385.0,-132.4,-92.0,-372.1,-179.0,-194.7,-282.8,-137.6,,-248.6,-134.0,-176.0,46.4,-251.9,-227.0,-169.1,-3.0,-180.8,-202.5,-125.0,-125.6,-240.0,,,-155.6,,-127.0,-81.5,-241.0,-120.4,,416.4,-179.6,-43.1,-153.0,-198.4,-67.0,,-392.2,-152.0,False,False,False,True,False,False,False,True,True,False,False,False,False,True,,False,True,False,True,False,False,False,True,False,False,True,True,False,,,True,,True,True,False,True,,False,False,True,True,False,True,,False,True
Louisiana,8801,8815.9,8649.5,8580.2,8575.2,8677.0,8574.0,8748.0,8748.0,8650.5,8904.0,8609.6,8916.0,9052.2,8760.1,8951.5,,8830.1,9006.0,8740.0,8608.9,8772.0,8776.0,8797.4,8831.0,8698.2,8659.6,8830.4,8708.4,8584.0,,8718.6,8696.4,,8797.0,9167.4,9128.0,8768.3,,9207.6,8664.5,8649.0,8864.0,8609.5,8719.0,,8435.1,8810.0,14.9,-151.5,-220.8,-225.8,-124.0,-227.0,-53.0,-53.0,-150.5,103.0,-191.4,115.0,251.2,-40.9,150.5,,29.1,205.0,-61.0,-192.1,-29.0,-25.0,-3.6,30.0,-102.8,-141.4,29.4,-92.6,-217.0,,-82.4,-104.6,,-4.0,366.4,327.0,-32.7,,406.6,-136.5,-152.0,63.0,-191.5,-82.0,,-365.9,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,,True,False,False,False,,False,False,False,False,False,False,,False,True
Maine,590,657.7,644.0,595.1,648.5,619.0,657.0,664.0,603.0,617.4,649.0,528.7,667.0,613.7,633.1,724.9,,564.1,636.0,655.0,750.1,672.0,684.5,638.6,681.0,,694.7,663.5,663.6,670.0,,,692.5,,648.0,589.7,670.0,634.9,,661.9,719.7,637.0,622.0,671.2,614.0,,558.9,736.0,67.7,54.0,5.1,58.5,29.0,67.0,74.0,13.0,27.4,59.0,-61.3,77.0,23.7,43.1,134.9,,-25.9,46.0,65.0,160.1,82.0,94.5,48.6,91.0,,104.7,73.5,73.6,80.0,,,102.5,,58.0,-0.3,80.0,44.9,,71.9,129.7,47.0,32.0,81.2,24.0,,-31.1,146.0,True,True,True,True,True,False,True,True,True,True,False,True,True,False,,True,True,True,False,False,False,True,False,,False,False,False,False,,,False,,True,True,False,True,,False,False,True,True,False,True,,True,False
