,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,14196,12024.7,11990.4,12615.2,12057.8,12675.0,12059.8,12447.0,11499.0,12842.3,12680.0,12366.6,12575.0,11955.8,12316.9,13002.1,,12554.0,13848.5,12835.2,13176.6,12284.0,12712.3,12270.9,12754.0,12702.2,12553.8,12722.2,11423.0,,12277.2,12038.0,12631.0,15057.3,12297.0,12132.4,,12615.6,12691.7,13087.0,11821.6,12364.0,,11300.8,12168.2,-2171.3,-2205.6,-1580.8,-2138.2,-1521.0,-2136.2,-1749.0,-2697.0,-1353.7,-1516.0,-1829.4,-1621.0,-2240.2,-1879.1,-1193.9,,-1642.0,-347.5,-1360.8,-1019.4,-1912.0,-1483.7,-1925.1,-1442.0,-1493.8,-1642.2,-1473.8,-2773.0,,-1918.8,-2158.0,-1565.0,861.3,-1899.0,-2063.6,,-1580.4,-1504.3,-1109.0,-2374.4,-1832.0,,-2895.2,-2027.8,False,True,True,True,True,True,False,True,True,True,True,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,False,,True,True,True,True,True,True,,True,True,True,False,True,,False,True
Hawaii,406,304.4,311.4,322.6,306.2,306.0,306.0,321.0,441.0,326.2,295.0,369.9,316.0,321.2,,331.7,,,298.4,528.7,320.4,315.0,301.4,317.4,419.0,341.3,329.4,314.2,336.0,,,290.9,330.0,351.7,342.0,315.2,,314.9,376.3,325.0,322.0,293.0,310.5,307.3,336.2,-101.6,-94.6,-83.4,-99.8,-100.0,-100.0,-85.0,35.0,-79.8,-111.0,-36.1,-90.0,-84.8,,-74.3,,,-107.6,122.7,-85.6,-91.0,-104.6,-88.6,13.0,-64.7,-76.6,-91.8,-70.0,,,-115.1,-76.0,-54.3,-64.0,-90.8,,-91.1,-29.7,-81.0,-84.0,-113.0,-95.5,-98.7,-69.8,True,True,True,True,True,True,True,True,False,True,True,True,,True,,,False,False,True,True,False,True,True,True,True,True,True,,,False,True,True,True,True,,True,True,True,True,False,True,True,True
Idaho,1725,1810.6,1706.2,1912.0,1832.0,1787.0,1824.0,1736.0,1613.0,1748.6,1558.0,1786.0,1694.0,1730.8,1690.6,1770.2,,1808.0,1628.2,1861.5,1694.8,1549.0,1675.7,1737.8,1843.0,1824.5,1759.2,1687.0,1766.0,,,1602.8,1810.0,1617.8,1714.0,1825.1,,1701.3,1871.5,1648.0,1812.2,1697.0,1658.7,1645.3,1765.0,85.6,-18.8,187.0,107.0,62.0,99.0,11.0,-112.0,23.6,-167.0,61.0,-31.0,5.8,-34.4,45.2,,83.0,-96.8,136.5,-30.2,-176.0,-49.3,12.8,118.0,99.5,34.2,-38.0,41.0,,,-122.2,85.0,-107.2,-11.0,100.1,,-23.7,146.5,-77.0,87.2,-28.0,-66.3,-79.7,40.0,True,False,False,True,False,True,False,True,False,True,True,True,True,True,,True,False,False,True,False,True,True,False,False,True,True,True,,,False,True,False,True,False,,True,False,True,False,True,True,True,True
Illinois,21213,22125.1,23836.6,22261.0,22165.3,21480.0,22172.9,21089.0,20770.0,20917.0,20724.0,21089.3,21199.0,21326.5,21424.3,21383.0,,21274.0,20284.2,20720.2,21223.0,21912.5,21027.1,20392.2,21114.0,21771.6,21389.6,20836.6,21063.0,,20575.2,21334.5,21018.0,19638.5,20858.0,21501.9,,20492.5,21823.0,21064.0,22314.0,21073.0,,19966.5,21909.6,912.1,2623.6,1048.0,952.3,267.0,959.9,-124.0,-443.0,-296.0,-489.0,-123.7,-14.0,113.5,211.3,170.0,,61.0,-928.8,-492.8,10.0,699.5,-185.9,-820.8,-99.0,558.6,176.6,-376.4,-150.0,,-637.8,121.5,-195.0,-1574.5,-355.0,288.9,,-720.5,610.0,-149.0,1101.0,-140.0,,-1246.5,696.6,False,False,False,True,False,True,True,True,True,True,True,True,True,True,,True,False,True,True,True,True,True,True,True,True,True,True,,True,True,True,False,True,True,,True,True,True,False,True,,False,True
Indiana,9967,10912.7,11195.9,10689.3,10853.6,10545.0,10845.7,10223.0,9028.0,10155.2,9550.0,10119.1,9332.0,9963.7,9984.6,10403.8,,10258.0,9664.0,9877.3,10286.4,10418.0,10429.9,9882.1,9959.0,10565.0,10478.3,10452.9,11160.0,,9567.8,10156.0,10191.0,10518.4,10111.0,10765.4,,10119.4,10596.8,10134.0,11256.8,10117.0,10482.7,9045.5,10462.6,945.7,1228.9,722.3,886.6,578.0,878.7,256.0,-939.0,188.2,-417.0,152.1,-635.0,-3.3,17.6,436.8,,291.0,-303.0,-89.7,319.4,451.0,462.9,-84.9,-8.0,598.0,511.3,485.9,1193.0,,-399.2,189.0,224.0,551.4,144.0,798.4,,152.4,629.8,167.0,1289.8,150.0,515.7,-921.5,495.6,False,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,False,,True,True,True,True,True,True,,True,True,True,False,True,True,True,True
Iowa,4651,4725.1,4503.3,4970.9,4738.1,4615.0,4758.8,4616.0,4101.0,4597.1,4966.0,5197.3,4852.0,4425.4,4548.0,4529.4,,4719.0,4617.5,4681.0,4502.2,4613.5,4390.9,4533.2,4678.0,4754.3,4508.6,4597.9,4986.0,,4505.9,4126.5,4603.0,3465.0,4335.0,4633.8,,4332.8,4772.3,4418.0,4731.1,4503.0,5163.3,4491.6,5451.8,74.1,-147.7,319.9,87.1,-36.0,107.8,-35.0,-550.0,-53.9,315.0,546.3,201.0,-225.6,-103.0,-121.6,,68.0,-33.5,30.0,-148.8,-37.5,-260.1,-117.8,27.0,103.3,-142.4,-53.1,335.0,,-145.1,-524.5,-48.0,-1186.0,-316.0,-17.2,,-318.2,121.3,-233.0,80.1,-148.0,512.3,-159.4,800.8,False,False,False,True,False,True,False,True,False,False,False,False,False,False,,True,True,True,False,True,False,False,True,False,False,True,False,,False,False,True,False,False,True,,False,False,False,False,False,False,False,False
Kansas,3767,4295.3,4313.5,3859.7,4281.2,3844.0,4347.9,3837.0,3907.0,3471.6,3660.0,3755.1,4068.0,4369.7,4178.3,4065.9,,3629.0,3837.1,3604.6,3704.2,3491.0,3740.7,3443.2,3805.0,4248.1,3815.3,3730.0,3757.0,,,3968.0,3889.0,3728.3,3698.0,3759.2,,3627.6,4353.6,3866.0,3684.7,3602.0,3970.1,3284.2,,528.3,546.5,92.7,514.2,77.0,580.9,70.0,140.0,-295.4,-107.0,-11.9,301.0,602.7,411.3,298.9,,-138.0,70.1,-162.4,-62.8,-276.0,-26.3,-323.8,38.0,481.1,48.3,-37.0,-10.0,,,201.0,122.0,-38.7,-69.0,-7.8,,-139.4,586.6,99.0,-82.3,-165.0,203.1,-482.8,,False,True,True,True,False,True,True,True,True,True,True,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,,True,False,True,True,True,True,True,
Kentucky,3714,3371.0,3382.5,3485.0,3375.3,3348.0,3354.3,3348.0,2871.0,3510.7,3060.0,3166.7,3039.0,3177.0,3298.5,3365.6,,3327.0,3605.9,3887.5,3304.8,3342.0,3284.8,3104.5,3639.0,3335.0,3454.2,3585.9,3580.0,,,3249.6,3210.0,3589.7,3321.0,3409.9,,3360.3,3383.8,3424.0,3321.6,3201.0,3820.0,3035.9,3564.0,-343.0,-331.5,-229.0,-338.7,-366.0,-359.7,-366.0,-843.0,-203.3,-654.0,-547.3,-675.0,-537.0,-415.5,-348.4,,-387.0,-108.1,173.5,-409.2,-372.0,-429.2,-609.5,-75.0,-379.0,-259.8,-128.1,-134.0,,,-464.4,-504.0,-124.3,-393.0,-304.1,,-353.7,-330.2,-290.0,-392.4,-513.0,106.0,-678.1,-150.0,True,True,True,False,False,False,False,True,False,False,False,False,False,False,,False,True,True,False,False,False,False,True,False,True,True,True,,,False,False,True,False,True,,False,True,True,False,False,True,False,True
Louisiana,8801,8485.9,8120.1,8570.0,8311.8,8437.0,8351.9,8479.0,8119.0,8430.9,8339.0,8535.8,8579.0,8688.2,8579.7,8780.9,,8577.0,8427.6,8390.3,8533.6,8468.0,8346.6,8248.7,8368.0,8464.0,8641.6,8573.0,8774.5,,8158.3,8085.8,8603.0,9314.4,8732.0,8244.4,,8529.0,8477.5,8468.0,8177.3,8058.0,8492.1,7942.2,8773.1,-315.1,-680.9,-231.0,-489.2,-364.0,-449.1,-322.0,-682.0,-370.1,-462.0,-265.2,-222.0,-112.8,-221.3,-20.1,,-224.0,-373.4,-410.7,-267.4,-333.0,-454.4,-552.3,-433.0,-337.0,-159.4,-228.0,-26.5,,-642.7,-715.2,-198.0,513.4,-69.0,-556.6,,-272.0,-323.5,-333.0,-623.7,-743.0,-308.9,-858.8,-27.9,False,True,False,False,False,False,False,False,False,True,True,True,True,True,,True,False,False,True,False,False,False,False,False,True,True,True,,False,False,True,False,True,False,,True,False,False,False,False,True,False,True
Maine,590,497.9,473.0,505.4,518.5,486.0,514.0,514.0,498.0,564.4,503.0,613.0,515.0,474.7,498.1,506.0,,541.0,476.7,851.8,471.1,513.0,490.7,447.4,646.0,596.5,541.4,555.0,546.0,,,488.0,537.0,599.9,476.0,491.9,,493.9,650.8,523.0,462.1,494.0,493.8,401.5,566.7,-92.1,-117.0,-84.6,-71.5,-104.0,-76.0,-76.0,-92.0,-25.6,-87.0,23.0,-75.0,-115.3,-91.9,-84.0,,-49.0,-113.3,261.8,-118.9,-77.0,-99.3,-142.6,56.0,6.5,-48.6,-35.0,-44.0,,,-102.0,-53.0,9.9,-114.0,-98.1,,-96.1,60.8,-67.0,-127.9,-96.0,-96.2,-188.5,-23.3,False,True,True,False,True,True,True,True,True,True,True,False,True,True,,True,False,False,False,True,False,False,True,True,True,True,True,,,False,True,True,False,False,,False,True,True,False,False,False,False,True
