,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,14196,14067.7,14250.5,14003.1,14189.4,14158.0,14201.0,14083.0,13697.0,14079.0,12940.6,13630.0,14011.7,,14065.5,14539.4,14094.6,,13978.3,14159.0,13753.3,14255.0,13373.8,13950.2,14623.0,14153.9,14095.0,14580.4,14118.4,14097.7,14247.5,13464.0,,14142.7,14039.8,,14145.0,15263.4,13863.0,14167.0,,13704.2,14135.6,14046.1,13862.0,13982.7,14273.0,14144.5,,13094.7,14146.0,-128.3,54.5,-192.9,-6.6,-38.0,5.0,-113.0,-499.0,-117.0,-1255.4,-566.0,-184.3,,-130.5,343.4,-101.4,,-217.7,-37.0,-442.7,59.0,-822.2,-245.8,427.0,-42.1,-101.0,384.4,-77.6,-98.3,51.5,-732.0,,-53.3,-156.2,,-51.0,1067.4,-333.0,-29.0,,-491.8,-60.4,-149.9,-334.0,-213.3,77.0,-51.5,,-1101.3,-50.0,True,False,True,True,True,True,False,True,False,False,False,,False,False,True,,False,True,False,True,False,False,False,True,True,False,True,True,True,False,,True,False,,True,False,False,True,,False,True,False,False,False,True,True,,False,True
Hawaii,406,358.1,349.3,346.8,350.4,349.0,351.0,350.0,345.0,346.0,326.8,354.0,358.1,,,364.4,353.2,,352.5,,339.3,351.0,378.5,347.6,360.0,354.1,361.0,342.5,348.3,349.7,350.9,345.0,,,348.3,,350.0,358.4,358.0,351.5,,346.8,349.2,352.7,353.0,349.0,350.0,357.0,,345.8,350.0,-47.9,-56.7,-59.2,-55.6,-57.0,-55.0,-56.0,-61.0,-60.0,-79.2,-52.0,-47.9,,,-41.6,-52.8,,-53.5,,-66.7,-55.0,-27.5,-58.4,-46.0,-51.9,-45.0,-63.5,-57.7,-56.3,-55.1,-61.0,,,-57.7,,-56.0,-47.6,-48.0,-54.5,,-59.2,-56.8,-53.3,-53.0,-57.0,-56.0,-49.0,,-60.2,-56.0,False,False,False,False,False,False,False,False,False,False,False,,,True,False,,False,,False,False,True,False,True,False,True,False,False,False,False,False,,,False,,False,True,False,False,,False,False,False,False,False,False,False,,False,False
Idaho,1725,1722.1,1730.7,1723.9,1731.5,1732.0,1731.0,1731.0,1701.0,1723.0,1684.5,1714.0,1789.8,,1726.4,1722.0,1737.1,,1748.7,1748.0,1745.1,1738.0,1742.7,1726.3,1703.0,1716.9,1742.0,,1737.8,1732.1,1719.7,1725.0,,,1718.1,,1731.0,1617.8,1712.0,1749.5,,1719.1,1744.9,1734.1,1712.0,1762.5,1733.0,1706.0,,1720.0,1732.0,-2.9,5.7,-1.1,6.5,7.0,6.0,6.0,-24.0,-2.0,-40.5,-11.0,64.8,,1.4,-3.0,12.1,,23.7,23.0,20.1,13.0,17.7,1.3,-22.0,-8.1,17.0,,12.8,7.1,-5.3,0.0,,,-6.9,,6.0,-107.2,-13.0,24.5,,-5.9,19.9,9.1,-13.0,37.5,8.0,-19.0,,-5.0,7.0,False,True,False,False,False,False,False,True,False,False,False,,True,False,False,,False,False,False,False,False,True,False,False,False,,False,False,False,True,,,False,,False,False,False,False,,False,False,False,False,False,False,False,,False,False
Illinois,21213,21220.0,21301.2,21254.9,21288.7,21316.0,21270.0,21269.0,21387.0,21398.0,20877.3,21212.0,21486.9,,21200.4,21128.9,21268.7,,21239.9,21379.0,21530.8,21317.0,21200.8,21283.9,21091.0,21288.6,21384.0,21155.4,21340.0,21288.5,21255.8,21248.5,,21402.2,21176.3,,21376.0,20677.8,21117.0,21152.2,,21266.1,21335.7,21241.9,21216.0,21539.1,21381.0,21131.5,,21224.5,21434.0,7.0,88.2,41.9,75.7,103.0,57.0,56.0,174.0,185.0,-335.7,-1.0,273.9,,-12.6,-84.1,55.7,,26.9,166.0,317.8,104.0,-12.2,70.9,-122.0,75.6,171.0,-57.6,127.0,75.5,42.8,35.5,,189.2,-36.7,,163.0,-535.2,-96.0,-60.8,,53.1,122.7,28.9,3.0,326.1,168.0,-81.5,,11.5,221.0,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,False,True,False,False,False,,False,False
Indiana,9967,10064.0,10109.5,10021.2,10117.8,10087.0,10099.0,10062.0,10021.0,10045.0,9948.6,10056.0,10151.9,,10021.2,10106.8,10063.9,,10129.5,10126.0,10147.1,10061.0,9692.0,10079.5,9978.0,10011.2,10129.0,10016.0,10094.4,10057.5,10005.9,10264.0,,10034.9,9995.2,,10028.0,10104.2,9932.0,10116.0,,9973.5,10095.8,10042.8,9999.0,10078.9,10104.0,9963.0,,9614.0,10114.0,97.0,142.5,54.2,150.8,120.0,132.0,95.0,54.0,78.0,-18.4,89.0,184.9,,54.2,139.8,96.9,,162.5,159.0,180.1,94.0,-275.0,112.5,11.0,44.2,162.0,49.0,127.4,90.5,38.9,297.0,,67.9,28.2,,61.0,137.2,-35.0,149.0,,6.5,128.8,75.8,32.0,111.9,137.0,-4.0,,-353.0,147.0,False,True,False,False,False,True,True,True,True,True,False,,True,False,True,,False,False,False,True,False,False,True,True,False,True,False,True,True,False,,True,True,,True,False,True,False,,True,False,True,True,False,False,True,,False,False
Iowa,4651,4627.6,4649.7,4616.5,4653.4,4696.0,4651.0,4638.0,4592.0,4677.0,4471.6,4679.0,4627.0,,4614.2,4992.3,4594.7,,4580.0,4701.0,4736.8,4664.0,4631.7,4633.6,4553.0,4633.6,4647.0,4581.3,4654.8,4646.2,4632.6,4594.0,,4676.0,4591.9,,4666.0,4223.7,4597.0,4643.6,,4574.1,4658.3,4635.2,4601.0,4692.1,4657.0,4581.0,,4620.9,4672.0,-23.4,-1.3,-34.5,2.4,45.0,0.0,-13.0,-59.0,26.0,-179.4,28.0,-24.0,,-36.8,341.3,-56.3,,-71.0,50.0,85.8,13.0,-19.3,-17.4,-98.0,-17.4,-4.0,-69.7,3.8,-4.8,-18.4,-57.0,,25.0,-59.1,,15.0,-427.3,-54.0,-7.4,,-76.9,7.3,-15.8,-50.0,41.1,6.0,-70.0,,-30.1,21.0,True,False,True,False,True,True,False,False,False,False,False,,False,False,False,,False,False,False,True,True,True,False,True,True,False,True,True,True,False,,False,False,,True,False,False,True,,False,True,True,False,False,True,False,,False,True
Kansas,3767,3671.0,3976.7,3805.6,3702.6,3689.0,3685.0,3812.0,3839.0,3867.0,3822.3,3835.0,3989.6,,3734.5,3615.8,3857.6,,3939.0,3972.0,3925.1,3827.0,3755.9,3800.9,3739.0,3686.1,3847.0,3763.6,3836.6,3805.8,3664.5,3833.0,,3935.0,3732.1,,3812.0,3892.3,3676.0,3759.6,,3796.8,3833.4,3715.2,3744.0,3819.7,3784.0,3750.5,,3744.0,3670.0,-96.0,209.7,38.6,-64.4,-78.0,-82.0,45.0,72.0,100.0,55.3,68.0,222.6,,-32.5,-151.2,90.6,,172.0,205.0,158.1,60.0,-11.1,33.9,-28.0,-80.9,80.0,-3.4,69.6,38.8,-102.5,66.0,,168.0,-34.9,,45.0,125.3,-91.0,-7.4,,29.8,66.4,-51.8,-23.0,52.7,17.0,-16.5,,-23.0,-97.0,False,True,True,True,True,True,True,False,True,True,False,,True,False,True,,False,False,False,True,True,True,True,True,True,True,True,True,False,True,,False,True,,True,False,True,True,,True,True,True,True,True,True,True,,True,False
Kentucky,3714,3673.0,3586.3,3595.5,3678.9,3659.0,3679.0,3650.0,3538.0,3646.0,3378.9,3560.0,3651.2,,3568.8,3743.5,3658.2,,3602.7,3679.0,3585.1,3694.0,3695.5,3593.9,3671.0,3662.7,3678.0,3639.5,3646.4,3648.5,3665.0,3778.0,,,3603.8,,3650.0,3632.5,3629.0,3698.2,,3576.2,3655.3,3666.0,3640.0,3634.1,3700.0,3695.0,,3533.0,3654.0,-41.0,-127.7,-118.5,-35.1,-55.0,-35.0,-64.0,-176.0,-68.0,-335.1,-154.0,-62.8,,-145.2,29.5,-55.8,,-111.3,-35.0,-128.9,-20.0,-18.5,-120.1,-43.0,-51.3,-36.0,-74.5,-67.6,-65.5,-49.0,64.0,,,-110.2,,-64.0,-81.5,-85.0,-15.8,,-137.8,-58.7,-48.0,-74.0,-79.9,-14.0,-19.0,,-181.0,-60.0,False,False,True,False,True,False,False,False,False,False,False,,False,True,False,,False,True,False,True,True,False,False,False,True,False,False,False,False,False,,,False,,False,False,False,True,,False,False,False,False,False,True,True,,False,False
Louisiana,8801,8875.3,8838.2,8787.5,8894.8,8878.0,8886.0,8826.0,8780.0,8843.0,8598.5,8807.0,9040.8,,8849.1,8947.8,8843.4,,8892.0,8898.0,8914.3,8801.0,8781.2,8788.0,8772.0,8849.8,8865.0,8850.8,8794.4,8848.6,8778.0,8815.0,,8800.8,8754.1,,8818.0,9167.4,8849.0,8918.1,,8679.9,8801.0,8796.5,8841.0,8838.4,8762.0,8862.0,,8692.7,9483.0,74.3,37.2,-13.5,93.8,77.0,85.0,25.0,-21.0,42.0,-202.5,6.0,239.8,,48.1,146.8,42.4,,91.0,97.0,113.3,0.0,-19.8,-13.0,-29.0,48.8,64.0,49.8,-6.6,47.6,-23.0,14.0,,-0.2,-46.9,,17.0,366.4,48.0,117.1,,-121.1,0.0,-4.5,40.0,37.4,-39.0,61.0,,-108.3,682.0,True,True,False,False,False,True,True,True,False,True,False,,True,False,True,,False,False,False,True,True,True,True,True,True,True,True,True,True,True,,True,True,,True,False,True,False,,False,True,True,True,True,True,True,,False,False
Maine,590,572.3,605.2,604.7,580.2,606.0,581.0,601.0,599.0,618.0,573.5,604.0,607.1,,587.0,609.5,611.3,,619.1,622.0,633.3,612.0,644.2,609.9,582.0,586.0,630.0,,592.8,605.3,578.1,625.0,,,584.0,,609.0,588.9,571.0,573.9,,596.1,601.2,583.6,579.0,618.1,593.0,586.0,,568.2,609.0,-17.7,15.2,14.7,-9.8,16.0,-9.0,11.0,9.0,28.0,-16.5,14.0,17.1,,-3.0,19.5,21.3,,29.1,32.0,43.3,22.0,54.2,19.9,-8.0,-4.0,40.0,,2.8,15.3,-11.9,35.0,,,-6.0,,19.0,-1.1,-19.0,-16.1,,6.1,11.2,-6.4,-11.0,28.1,3.0,-4.0,,-21.8,19.0,True,True,True,True,True,True,True,False,True,True,True,,True,False,False,,False,False,False,False,False,False,True,True,False,,True,True,True,False,,,True,,False,True,False,True,,True,True,True,True,False,True,True,,False,False
Maryland,7107,7120.4,7113.8,7092.6,7131.4,7132.0,7133.0,7132.0,7187.0,7136.0,6916.1,7210.0,7181.0,,7141.6,7138.2,7122.5,,7109.4,7133.0,7183.2,7130.0,7062.2,7143.5,7092.0,7122.8,7137.0,7072.7,7136.6,7137.5,7095.0,7105.0,,7133.2,7083.7,,7114.0,7014.1,7126.0,7118.4,,7020.5,7144.2,7082.1,7094.0,7157.1,7161.0,7162.0,,6929.0,7147.0,13.4,6.8,-14.4,24.4,25.0,26.0,25.0,80.0,29.0,-190.9,103.0,74.0,,34.6,31.2,15.5,,2.4,26.0,76.2,23.0,-44.8,36.5,-15.0,15.8,30.0,-34.3,29.6,30.5,-12.0,-2.0,,26.2,-23.3,,7.0,-92.9,19.0,11.4,,-86.5,37.2,-24.9,-13.0,50.1,54.0,55.0,,-178.0,40.0,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,,True,False,False,False,False,False,False,False,False,False,False,False,True,True,,False,False,,True,False,False,True,,False,False,False,True,False,False,False,,False,False
Massachusetts,14531,14545.3,14543.1,14517.3,14558.3,14542.0,14545.0,14547.0,14672.0,,14382.6,14630.0,14562.9,,14517.0,14542.3,14555.6,,14662.1,14539.0,14546.8,14565.0,14475.2,14536.3,14444.0,14536.6,14634.0,14649.4,14518.9,14594.5,14512.2,14573.0,,14586.3,14498.7,,14572.0,15302.7,14635.0,14488.0,,14472.7,14523.7,14466.5,14540.0,14606.4,14590.0,14616.0,,14282.5,14649.0,14.3,12.1,-13.7,27.3,11.0,14.0,16.0,141.0,,-148.4,99.0,31.9,,-14.0,11.3,24.6,,131.1,8.0,15.8,34.0,-55.8,5.3,-87.0,5.6,103.0,118.4,-12.1,63.5,-18.8,42.0,,55.3,-32.3,,41.0,771.7,104.0,-43.0,,-58.3,-7.3,-64.5,9.0,75.4,59.0,85.0,,-248.5,118.0,True,True,False,True,True,False,False,,False,False,False,,True,True,False,,False,True,False,False,False,True,False,True,False,False,True,False,False,False,,False,False,,False,False,False,False,,False,True,False,True,False,False,False,,False,False
Michigan,15525,15619.9,15695.0,15629.6,15636.6,15571.0,15693.0,15601.0,15679.0,15689.0,15256.3,15612.0,15840.0,,15593.1,15569.6,15541.6,,15685.8,15654.0,15561.8,15579.0,15387.2,15581.3,15551.0,15574.8,15703.0,15540.5,15681.6,15609.5,15639.5,16083.5,,15674.2,15591.3,,15564.0,14922.3,15478.0,15259.8,,15528.7,15701.7,15608.3,15579.0,15884.2,15739.0,15483.0,,15363.7,15684.0,94.9,170.0,104.6,111.6,46.0,168.0,76.0,154.0,164.0,-268.7,87.0,315.0,,68.1,44.6,16.6,,160.8,129.0,36.8,54.0,-137.8,56.3,26.0,49.8,178.0,15.5,156.6,84.5,114.5,558.5,,149.2,66.3,,39.0,-602.7,-47.0,-265.2,,3.7,176.7,83.3,54.0,359.2,214.0,-42.0,,-161.3,159.0,False,False,False,True,False,True,False,False,False,True,False,,True,True,True,,False,False,True,True,False,True,True,True,False,True,False,True,False,False,,False,True,,True,False,True,False,,True,False,True,True,False,False,True,,False,False
Minnesota,6255,6307.0,6294.3,6299.8,6307.7,6309.0,6307.0,6308.0,6293.0,6301.0,6211.7,6274.0,6339.9,,6307.0,6285.1,6290.0,,6276.2,6367.0,6349.7,6349.0,6253.5,6271.2,6279.0,6314.9,6345.0,6253.0,6318.7,6312.9,6282.1,6334.0,,6383.0,6270.8,,6308.0,5405.7,6310.0,6312.5,,6239.7,6324.7,6279.3,6301.0,6389.4,6307.0,6333.0,,6253.8,6325.0,52.0,39.3,44.8,52.7,54.0,52.0,53.0,38.0,46.0,-43.3,19.0,84.9,,52.0,30.1,35.0,,21.2,112.0,94.7,94.0,-1.5,16.2,24.0,59.9,90.0,-2.0,63.7,57.9,27.1,79.0,,128.0,15.8,,53.0,-849.3,55.0,57.5,,-15.3,69.7,24.3,46.0,134.4,52.0,78.0,,-1.2,70.0,True,True,False,False,False,False,True,True,True,True,False,,False,True,True,,True,False,False,False,True,True,True,False,False,True,False,False,True,False,,False,True,,False,False,False,False,,True,False,True,True,False,False,False,,True,False
Mississippi,6018,5987.1,5977.0,6032.1,6026.3,6049.0,6023.0,6012.0,5962.0,6049.0,5860.3,5951.0,6185.4,,5967.1,5940.5,6020.0,,6006.9,6065.0,6042.0,6035.0,5929.7,5998.9,5986.0,5992.3,6079.0,6069.9,6022.4,6037.6,5977.6,6034.0,,6102.4,6016.9,,6032.0,6064.2,5975.0,5992.4,,5953.7,6027.2,5997.4,5988.0,6040.8,6012.0,6015.0,,5910.4,6059.0,-30.9,-41.0,14.1,8.3,31.0,5.0,-6.0,-56.0,31.0,-157.7,-67.0,167.4,,-50.9,-77.5,2.0,,-11.1,47.0,24.0,17.0,-88.3,-19.1,-32.0,-25.7,61.0,51.9,4.4,19.6,-40.4,16.0,,84.4,-1.1,,14.0,46.2,-43.0,-25.6,,-64.3,9.2,-20.6,-30.0,22.8,-6.0,-3.0,,-107.6,41.0,False,True,True,False,True,True,False,False,False,False,False,,False,False,True,,True,False,True,True,False,True,False,True,False,False,True,True,False,True,,False,True,,True,False,False,True,,False,True,True,True,True,True,True,,False,False
Missouri,7040,7049.3,7095.5,7056.1,7087.6,7086.0,7081.0,7058.0,7069.0,7064.0,6871.2,7002.0,7152.7,,7033.6,7034.8,7060.1,,6408.5,7230.0,6636.5,7070.0,6619.4,7048.4,6988.0,7036.3,7084.0,6993.8,7099.9,7067.2,7014.1,7047.0,,7092.7,7042.9,,7063.0,6835.8,6933.0,6894.2,,6970.4,7115.0,7023.8,6990.0,7141.0,6979.0,7056.0,,6551.6,6982.0,46.3,92.5,53.1,84.6,83.0,78.0,55.0,66.0,61.0,-131.8,-1.0,149.7,,30.6,31.8,57.1,,-594.5,227.0,-366.5,67.0,-383.6,45.4,-15.0,33.3,81.0,-9.2,96.9,64.2,11.1,44.0,,89.7,39.9,,60.0,-167.2,-70.0,-108.8,,-32.6,112.0,20.8,-13.0,138.0,-24.0,53.0,,-451.4,-21.0,False,False,False,False,False,False,False,False,False,True,False,,True,True,False,,False,False,False,False,False,True,True,True,False,True,False,False,True,True,,False,True,,False,False,False,False,,True,False,True,True,False,True,False,,False,True
Montana,1232,1201.6,1176.3,1173.7,1189.7,1161.0,1194.0,1184.0,1178.0,1181.0,1155.5,1171.0,1212.2,,1183.7,1176.2,1174.5,,1148.4,1149.0,1159.6,1186.0,1200.4,1175.7,1171.0,1189.0,1200.0,1179.8,1183.4,1186.4,1204.5,1179.0,,,1172.0,,1183.0,1039.5,1191.0,1221.8,,1172.8,1192.8,1199.1,1181.0,1203.2,1169.0,1188.0,,1185.5,1212.0,-30.4,-55.7,-58.3,-42.3,-71.0,-38.0,-48.0,-54.0,-51.0,-76.5,-61.0,-19.8,,-48.3,-55.8,-57.5,,-83.6,-83.0,-72.4,-46.0,-31.6,-56.3,-61.0,-43.0,-32.0,-52.2,-48.6,-45.6,-27.5,-53.0,,,-60.0,,-49.0,-192.5,-41.0,-10.2,,-59.2,-39.2,-32.9,-51.0,-28.8,-63.0,-44.0,,-46.5,-20.0,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,False,,False,False,False,True,,False,False,False,False,True,False,False,,False,True
Nebraska,1920,1915.0,1924.3,1927.5,1928.5,1921.0,1921.0,1937.0,1953.0,1941.0,1879.1,1910.0,1963.3,,1932.0,1932.1,1946.9,,1959.1,1975.0,1976.4,1945.0,1956.8,1934.5,1907.0,1924.4,1972.0,,1925.2,1945.9,1930.0,1937.0,,,1929.7,,1926.0,1737.1,1925.0,1915.3,,1934.2,1932.7,1961.1,1924.0,1966.1,1940.0,1939.0,,1929.9,1952.0,-5.0,4.3,7.5,8.5,1.0,1.0,17.0,33.0,21.0,-40.9,-10.0,43.3,,12.0,12.1,26.9,,39.1,55.0,56.4,25.0,36.8,14.5,-13.0,4.4,52.0,,5.2,25.9,10.0,17.0,,,9.7,,6.0,-182.9,5.0,-4.7,,14.2,12.7,41.1,4.0,46.1,20.0,19.0,,9.9,32.0,True,False,False,True,True,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,True,False,,False,False,False,False,,,False,,False,False,False,True,,False,False,False,True,False,False,False,,False,False
Nevada,4264,4237.7,4272.9,4257.8,4255.1,4261.0,4261.0,4257.0,4240.0,4239.0,4046.1,4233.0,4505.3,,4250.3,4201.1,4259.4,,4361.6,4321.0,4189.2,4258.0,4159.6,4217.5,4271.0,4242.0,4327.0,4270.0,4280.7,4255.1,4213.8,4325.0,,4322.9,4222.6,,4252.0,4119.5,4263.0,4231.6,,4212.0,4284.0,4201.5,4208.0,4318.4,4264.0,4273.0,,4152.9,4278.0,-26.3,8.9,-6.2,-8.9,-3.0,-3.0,-7.0,-24.0,-25.0,-217.9,-31.0,241.3,,-13.7,-62.9,-4.6,,97.6,57.0,-74.8,-6.0,-104.4,-46.5,7.0,-22.0,63.0,6.0,16.7,-8.9,-50.2,61.0,,58.9,-41.4,,-12.0,-144.5,-1.0,-32.4,,-52.0,20.0,-62.5,-56.0,54.4,0.0,9.0,,-111.1,14.0,True,True,True,True,True,True,True,True,False,False,False,,True,False,True,,False,False,False,True,False,False,True,True,False,True,True,True,False,False,,False,False,,True,False,True,False,,False,True,False,False,False,True,True,,False,True
New Hampshire,1042,1033.3,1035.7,1042.9,1036.3,1044.0,1035.0,1046.0,1043.0,1053.0,1046.2,1048.0,1052.8,,1038.5,1010.9,1035.0,,1039.0,1046.0,1056.1,1051.0,1069.4,1049.0,1025.0,1038.3,1070.0,,1044.7,1051.7,1034.3,1094.0,,,1031.2,,1047.0,1079.8,1038.0,1027.2,,1044.0,1053.1,1042.9,1036.0,1049.3,1045.0,1043.0,,1009.7,1056.0,-8.7,-6.3,0.9,-5.7,2.0,-7.0,4.0,1.0,11.0,4.2,6.0,10.8,,-3.5,-31.1,-7.0,,-3.0,4.0,14.1,9.0,27.4,7.0,-17.0,-3.7,28.0,,2.7,9.7,-7.7,52.0,,,-10.8,,5.0,37.8,-4.0,-14.8,,2.0,11.1,0.9,-6.0,7.3,3.0,1.0,,-32.3,14.0,True,True,True,True,True,True,True,False,True,True,False,,True,False,True,,True,True,False,False,False,True,False,True,False,,True,False,True,False,,,False,,True,False,True,False,,True,False,True,True,True,True,True,,False,False
New Jersey,21455,21389.9,21581.5,21450.1,21464.9,21490.0,21454.0,21467.0,21785.0,21608.0,21216.8,21510.0,21513.9,,21559.2,21768.0,21439.0,,21443.9,21612.0,21644.3,21491.0,21360.4,21499.9,21469.0,21440.7,21536.0,21478.0,21519.0,21464.9,21417.9,21310.0,,21447.8,21402.5,,21458.0,20391.8,21328.0,21440.0,,21385.1,21519.0,21391.5,21398.0,21353.3,21502.0,21543.0,,21130.4,21530.0,-65.1,126.5,-4.9,9.9,35.0,-1.0,12.0,330.0,153.0,-238.2,55.0,58.9,,104.2,313.0,-16.0,,-11.1,157.0,189.3,36.0,-94.6,44.9,14.0,-14.3,81.0,23.0,64.0,9.9,-37.1,-145.0,,-7.2,-52.5,,3.0,-1063.2,-127.0,-15.0,,-69.9,64.0,-63.5,-57.0,-101.7,47.0,88.0,,-324.6,75.0,False,True,True,True,True,True,False,False,False,True,True,,False,False,True,,True,False,False,True,False,True,True,True,False,True,True,True,True,False,,True,True,,True,False,False,True,,False,True,True,True,False,True,False,,False,False
New Mexico,3265,3327.6,3283.1,3273.5,3323.7,3310.0,3320.0,3295.0,3263.0,3291.0,3126.5,3280.0,3338.9,,3296.8,3345.1,3285.4,,3265.5,3282.0,3251.2,3294.0,3241.6,3261.5,3312.0,3297.8,3290.0,3260.5,3292.0,3300.8,3295.1,3273.0,,,3272.3,,3296.0,3014.5,3322.0,3307.6,,3199.0,3300.6,3284.6,3299.0,3336.5,3329.0,3317.0,,3255.9,3300.0,62.6,18.1,8.5,58.7,45.0,55.0,30.0,-2.0,26.0,-138.5,15.0,73.9,,31.8,80.1,20.4,,0.5,17.0,-13.8,29.0,-23.4,-3.5,47.0,32.8,25.0,-4.5,27.0,35.8,30.1,8.0,,,7.3,,31.0,-250.5,57.0,42.6,,-66.0,35.6,19.6,34.0,71.5,64.0,52.0,,-9.1,35.0,True,True,True,True,True,True,True,True,False,True,False,,True,False,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,,True,False,True,True,,False,True,True,True,False,False,True,,True,True
