,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,14196,12869.4,12482.9,12618.4,12922.4,12694.0,12947.9,12918.0,12029.0,12816.5,,12201.8,12618.0,13036.9,12669.6,13047.7,,12764.0,13643.8,12857.0,12825.9,13388.7,12781.0,13273.0,12393.3,13098.0,13326.3,13060.7,13572.9,11887.0,,14248.1,12940.0,,12802.0,15057.3,12866.0,13174.1,,14171.2,13368.4,13249.0,12375.4,13335.0,12460.5,,11658.0,12229.0,-1326.6,-1713.1,-1577.6,-1273.6,-1502.0,-1248.1,-1278.0,-2167.0,-1379.5,,-1994.2,-1578.0,-1159.1,-1526.4,-1148.3,,-1432.0,-552.2,-1339.0,-1370.1,-807.3,-1415.0,-923.0,-1802.7,-1098.0,-869.7,-1135.3,-623.1,-2309.0,,52.1,-1256.0,,-1394.0,861.3,-1330.0,-1021.9,,-24.8,-827.6,-947.0,-1820.6,-861.0,-1735.5,,-2538.0,-1967.0,False,False,True,False,True,True,False,False,,False,False,True,False,True,,False,True,False,False,True,False,True,False,True,True,True,True,False,,True,True,,False,True,False,True,,True,True,True,False,True,False,,False,False
Hawaii,406,362.3,330.0,335.1,361.5,336.0,361.0,351.0,348.0,338.5,,329.7,334.0,342.5,,362.4,,,338.5,352.0,482.1,348.3,331.0,338.7,329.0,398.0,353.5,352.8,354.9,329.0,,,379.9,,343.0,355.8,352.0,332.7,,342.7,385.1,359.0,333.7,338.0,337.0,,323.9,355.0,-43.7,-76.0,-70.9,-44.5,-70.0,-45.0,-55.0,-58.0,-67.5,,-76.3,-72.0,-63.5,,-43.6,,,-67.5,-54.0,76.1,-57.7,-75.0,-67.3,-77.0,-8.0,-52.5,-53.2,-51.1,-77.0,,,-26.1,,-63.0,-50.2,-54.0,-73.3,,-63.3,-20.9,-47.0,-72.3,-68.0,-69.0,,-82.1,-51.0,False,False,False,False,False,False,False,False,,False,False,False,,True,,,False,False,False,False,False,False,False,True,False,False,False,False,,,True,,False,False,False,False,,False,True,False,False,False,False,,False,False
Idaho,1725,1779.7,1739.0,1889.9,1772.6,1753.0,1768.0,1768.0,1668.0,1764.9,,1701.7,1703.0,1929.9,1771.4,1817.9,,1837.0,1743.7,1783.0,1841.9,1755.0,1729.0,1754.8,1745.8,1813.0,1777.6,1802.2,1812.1,1736.0,,,1723.9,,1731.0,1617.8,1694.0,1743.4,,1873.9,1818.7,1712.0,1809.1,1714.0,1691.0,,1686.1,1773.0,54.7,14.0,164.9,47.6,28.0,43.0,43.0,-57.0,39.9,,-23.3,-22.0,204.9,46.4,92.9,,112.0,18.7,58.0,116.9,30.0,4.0,29.8,20.8,88.0,52.6,77.2,87.1,11.0,,,-1.1,,6.0,-107.2,-31.0,18.4,,148.9,93.7,-13.0,84.1,-11.0,-34.0,,-38.9,48.0,True,False,True,True,True,True,False,True,,True,True,False,True,False,,False,True,False,False,True,True,True,True,False,True,False,False,True,,,True,,True,False,True,True,,False,False,True,False,True,True,,True,True
Illinois,21213,22067.3,22691.7,22332.0,22280.6,22136.0,22197.9,21908.0,21089.0,21265.1,,20748.8,21567.0,22936.8,21950.7,22041.8,,21855.0,21521.8,21999.0,21059.8,21645.6,22503.0,22183.7,21143.2,21866.0,21887.6,21926.4,22112.8,21426.0,,22584.8,21788.6,,22010.0,19911.7,21189.0,21491.7,,22393.9,21907.7,21699.0,22651.5,22498.0,21632.0,,20685.6,21520.0,854.3,1478.7,1119.0,1067.6,923.0,984.9,695.0,-124.0,52.1,,-464.2,354.0,1723.8,737.7,828.8,,642.0,308.8,786.0,-153.2,432.6,1290.0,970.7,-69.8,653.0,674.6,713.4,899.8,213.0,,1371.8,575.6,,797.0,-1301.3,-24.0,278.7,,1180.9,694.7,486.0,1438.5,1285.0,419.0,,-527.4,307.0,False,False,False,False,False,True,True,True,,True,True,False,True,True,,True,True,True,True,True,False,False,True,True,True,True,False,True,,False,True,,True,False,True,True,,False,True,True,False,False,True,,True,True
Indiana,9967,10442.1,10777.7,10677.5,10577.2,10704.0,10634.1,10573.0,9545.0,10205.9,,9999.8,10213.0,10673.5,10468.1,10861.2,,10684.0,10689.1,10634.0,9945.3,10343.8,10860.0,10742.7,10231.8,10452.0,10606.9,10564.9,10687.4,10452.0,,11227.8,10390.9,,10524.0,10513.6,10573.0,10357.5,,11401.2,10651.0,10562.0,11099.0,10265.0,10175.5,,9441.2,10352.0,475.1,810.7,710.5,610.2,737.0,667.1,606.0,-422.0,238.9,,32.8,246.0,706.5,501.1,894.2,,717.0,722.1,667.0,-21.7,376.8,893.0,775.7,264.8,485.0,639.9,597.9,720.4,485.0,,1260.8,423.9,,557.0,546.6,606.0,390.5,,1434.2,684.0,595.0,1132.0,298.0,208.5,,-525.8,385.0,False,False,False,False,False,False,True,True,,True,True,False,False,False,,False,False,False,True,True,False,False,True,False,False,False,False,False,,False,True,,False,False,False,True,,False,False,False,False,True,True,,False,True
Iowa,4651,4686.6,4576.9,4908.3,4721.2,4572.0,4670.0,4701.0,4330.0,4617.7,,4940.5,5480.0,4758.2,4527.9,4674.3,,4859.0,5144.7,4741.0,4680.6,4609.6,4574.0,4644.0,4588.9,4660.0,4727.6,4618.3,4732.6,4533.0,,5039.3,4485.3,,4633.0,3979.8,4674.0,4770.8,,4697.6,4748.0,4562.0,4828.7,4733.0,4490.0,,4557.2,5170.0,35.6,-74.1,257.3,70.2,-79.0,19.0,50.0,-321.0,-33.3,,289.5,829.0,107.2,-123.1,23.3,,208.0,493.7,90.0,29.6,-41.4,-77.0,-7.0,-62.1,9.0,76.6,-32.7,81.6,-118.0,,388.3,-165.7,,-18.0,-671.2,23.0,119.8,,46.6,97.0,-89.0,177.7,82.0,-161.0,,-93.8,519.0,False,False,False,False,True,False,False,True,,False,False,False,False,True,,False,False,False,True,False,False,True,False,True,False,True,False,False,,False,False,,True,False,True,False,,False,False,False,False,False,False,,False,False
Kansas,3767,3909.6,4268.4,3984.6,3899.8,3771.0,3947.9,3899.0,3532.0,3623.0,,3740.4,4367.0,3898.0,3774.3,4255.3,,4004.0,4246.9,4107.0,3621.2,3799.5,3478.0,3725.0,3666.1,4013.0,4085.2,3863.4,4231.7,3871.0,,4433.4,3369.4,,3968.0,3728.6,3614.0,3791.0,,4366.7,4127.3,3858.0,4069.4,3772.0,3898.0,,3383.3,3677.0,142.6,501.4,217.6,132.8,4.0,180.9,132.0,-235.0,-144.0,,-26.6,600.0,131.0,7.3,488.3,,237.0,479.9,340.0,-145.8,32.5,-289.0,-42.0,-100.9,246.0,318.2,96.4,464.7,104.0,,666.4,-397.6,,201.0,-38.4,-153.0,24.0,,599.7,360.3,91.0,302.4,5.0,131.0,,-383.7,-90.0,False,False,True,True,False,True,False,False,,True,False,True,True,False,,False,False,False,False,True,False,True,True,False,False,True,False,True,,False,False,,False,True,False,True,,False,False,True,False,True,True,,False,True
Kentucky,3714,3409.6,3413.8,3480.7,3414.5,3436.0,3410.1,3469.0,3151.0,3570.5,,3210.4,3279.0,3425.7,3376.6,3515.8,,3622.0,4070.4,3632.0,3751.9,3390.5,3466.0,3473.0,3338.1,3688.0,3424.0,3526.3,3584.2,3524.0,,,3365.6,,3472.0,3587.8,3336.0,3486.7,,3821.1,3466.4,3550.0,3334.9,3267.0,3556.0,,3159.0,3515.0,-304.4,-300.2,-233.3,-299.5,-278.0,-303.9,-245.0,-563.0,-143.5,,-503.6,-435.0,-288.3,-337.4,-198.2,,-92.0,356.4,-82.0,37.9,-323.5,-248.0,-241.0,-375.9,-26.0,-290.0,-187.7,-129.8,-190.0,,,-348.4,,-242.0,-126.2,-378.0,-227.3,,107.1,-247.6,-164.0,-379.1,-447.0,-158.0,,-555.0,-199.0,True,True,True,True,True,True,False,True,,False,False,True,False,True,,True,False,True,True,False,True,True,False,True,True,True,True,True,,,False,,True,True,False,True,,True,True,True,False,False,True,,False,True
Louisiana,8801,8833.0,8504.0,8549.0,8829.6,8653.0,8867.9,8806.0,8277.0,8617.5,,8536.5,8600.0,9247.7,8997.4,9023.3,,8585.0,9015.3,8691.0,8528.0,8809.9,8704.0,8817.2,8429.5,8762.0,8891.0,8849.6,8969.1,8393.5,,8643.6,8722.5,,8766.0,9314.4,8935.0,8971.9,,8992.5,8942.5,8906.0,8559.3,8788.0,8792.5,,8205.3,8895.0,32.0,-297.0,-252.0,28.6,-148.0,66.9,5.0,-524.0,-183.5,,-264.5,-201.0,446.7,196.4,222.3,,-216.0,214.3,-110.0,-273.0,8.9,-97.0,16.2,-371.5,-39.0,90.0,48.6,168.1,-407.5,,-157.4,-78.5,,-35.0,513.4,134.0,170.9,,191.5,141.5,105.0,-241.7,-13.0,-8.5,,-595.7,94.0,False,False,True,False,False,True,False,False,,False,False,False,False,False,,False,False,False,False,True,False,True,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,True,True,,False,False
Maine,590,640.6,533.2,525.3,663.0,536.0,654.0,618.0,556.0,585.5,,510.8,552.0,558.9,611.3,639.1,,536.0,486.7,612.0,821.7,698.2,546.0,595.9,535.8,677.0,674.2,630.2,638.0,597.0,,,567.8,,605.0,599.9,671.0,478.5,,597.2,718.8,553.0,635.5,580.0,624.0,,481.5,618.0,50.6,-56.8,-64.7,73.0,-54.0,64.0,28.0,-34.0,-4.5,,-79.2,-38.0,-31.1,21.3,49.1,,-54.0,-103.3,22.0,231.7,108.2,-44.0,5.9,-54.2,87.0,84.2,40.2,48.0,7.0,,,-22.2,,15.0,9.9,81.0,-111.5,,7.2,128.8,-37.0,45.5,-10.0,34.0,,-108.5,28.0,False,False,False,False,False,True,True,True,,False,True,True,True,True,,False,False,True,False,False,True,True,False,False,False,True,True,True,,,True,,True,True,False,False,,True,False,True,True,True,True,,False,True
