,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01021,306,220.0,286.2,,160.0,134.0,,,,,157.0,,187.0,142.5,,152.1,228.7,,61.9,,137.6,,,100.0,424.4,-86.0,-19.8,,-146.0,-172.0,,,,,-149.0,,-119.0,-163.5,,-153.9,-77.3,,-244.1,,-168.4,,,-206.0,118.4,True,,False,False,,,,,False,,False,False,,False,True,,False,,False,,,False,False
01023,31,56.0,48.5,,45.0,25.0,,,,,49.0,,38.7,19.9,,22.2,55.2,,181.1,,46.5,,,47.0,28.9,25.0,17.5,,14.0,-6.0,,,,,18.0,,7.7,-11.1,,-8.8,24.2,,150.1,,15.5,,,16.0,-2.1,True,,True,True,,,,,True,,True,True,,True,True,,False,,True,,,True,True
01025,259,208.0,183.1,,163.0,149.0,,,,,134.0,,137.2,47.5,,161.9,182.7,,148.1,,177.2,,,85.0,179.6,-51.0,-75.9,,-96.0,-110.0,,,,,-125.0,,-121.8,-211.5,,-97.1,-76.3,,-110.9,,-81.8,,,-174.0,-79.4,False,,False,False,,,,,False,,False,False,,False,False,,False,,False,,,False,False
01027,167,92.0,89.4,,61.0,124.0,,,,,43.0,,62.6,42.2,,27.4,79.7,,18.1,,47.3,,,37.0,142.5,-75.0,-77.6,,-106.0,-43.0,,,,,-124.0,,-104.4,-124.8,,-139.6,-87.3,,-148.9,,-119.7,,,-130.0,-24.5,False,,False,True,,,,,False,,False,False,,False,False,,False,,False,,,False,True
01029,162,176.0,183.9,,127.0,129.0,,,,,61.0,,245.5,41.4,,72.7,132.1,,27.2,,97.8,,,181.0,277.7,14.0,21.9,,-35.0,-33.0,,,,,-101.0,,83.5,-120.6,,-89.3,-29.9,,-134.8,,-64.2,,,19.0,115.7,False,,False,False,,,,,False,,False,False,,False,False,,False,,False,,,False,False
01031,421,416.0,219.9,,276.0,486.0,,,,,164.0,,246.8,265.3,,309.9,287.1,,308.4,,282.6,,,434.0,499.5,-5.0,-201.1,,-145.0,65.0,,,,,-257.0,,-174.2,-155.7,,-111.1,-133.9,,-112.6,,-138.4,,,13.0,78.5,False,,False,False,,,,,False,,False,False,,False,False,,False,,False,,,False,False
01033,576,304.0,321.4,,271.0,396.0,,,,,354.0,,199.3,121.2,,163.4,265.7,,134.9,,303.2,,,265.0,238.3,-272.0,-254.6,,-305.0,-180.0,,,,,-222.0,,-376.7,-454.8,,-412.6,-310.3,,-441.1,,-272.8,,,-311.0,-337.7,True,,False,True,,,,,True,,False,False,,False,False,,False,,False,,,False,False
01035,41,20.0,28.9,,14.0,0.0,,,,,30.0,,13.9,17.4,,0.6,17.8,,2.0,,15.9,,,4.0,59.6,-21.0,-12.1,,-27.0,-41.0,,,,,-11.0,,-27.1,-23.6,,-40.4,-23.2,,-39.0,,-25.1,,,-37.0,18.6,True,,False,False,,,,,True,,False,False,,False,False,,False,,False,,,False,True
01037,44,32.0,41.9,,22.0,9.0,,,,,19.0,,21.7,18.4,,8.3,24.9,,20.9,,31.9,,,12.0,189.6,-12.0,-2.1,,-22.0,-35.0,,,,,-25.0,,-22.3,-25.6,,-35.7,-19.1,,-23.1,,-12.1,,,-32.0,145.6,True,,False,False,,,,,False,,False,False,,False,False,,False,,False,,,False,False
01039,422,304.0,477.9,,191.0,283.0,,,,,156.0,,198.7,130.4,,185.9,189.0,,24.4,,138.9,,,86.0,2083.0,-118.0,55.9,,-231.0,-139.0,,,,,-266.0,,-223.3,-291.6,,-236.1,-233.0,,-397.6,,-283.1,,,-336.0,1661.0,True,,False,False,,,,,False,,False,False,,False,False,,False,,False,,,False,False
01041,74,36.0,71.1,,34.0,7.0,,,,,41.0,,28.4,39.1,,4.2,31.5,,39.7,,61.8,,,7.0,75.4,-38.0,-2.9,,-40.0,-67.0,,,,,-33.0,,-45.6,-34.9,,-69.8,-42.5,,-34.3,,-12.2,,,-67.0,1.4,True,,False,False,,,,,True,,False,True,,False,False,,True,,True,,,False,True
01043,880,188.0,189.4,,157.0,157.0,,,,,448.0,,125.5,143.3,,72.4,178.2,,86.0,,138.7,,,45.0,314.0,-692.0,-690.6,,-723.0,-723.0,,,,,-432.0,,-754.5,-736.7,,-807.6,-701.8,,-794.0,,-741.3,,,-835.0,-566.0,True,,False,False,,,,,True,,False,False,,False,False,,False,,False,,,False,True
01045,430,472.0,277.8,,243.0,371.0,,,,,143.0,,203.2,185.5,,350.3,226.4,,47.0,,345.2,,,599.0,308.5,42.0,-152.2,,-187.0,-59.0,,,,,-287.0,,-226.8,-244.5,,-79.7,-203.6,,-383.1,,-84.8,,,169.0,-121.5,False,,False,False,,,,,False,,False,False,,False,False,,False,,False,,,False,False
01047,111,64.0,350.4,,63.0,77.0,,,,,141.0,,49.8,42.3,,12.2,66.2,,39.6,,40.7,,,16.0,232.7,-47.0,239.4,,-48.0,-34.0,,,,,30.0,,-61.2,-68.7,,-98.8,-44.8,,-71.4,,-70.3,,,-95.0,121.7,False,,False,True,,,,,True,,False,False,,False,True,,False,,False,,,False,False
01049,1080,580.0,572.7,,573.0,1041.0,,,,,391.0,,336.3,174.0,,744.2,604.9,,3590.3,,487.9,,,571.0,852.6,-500.0,-507.3,,-507.0,-39.0,,,,,-689.0,,-743.7,-906.0,,-335.8,-475.1,,2510.3,,-592.1,,,-509.0,-227.4,False,,False,True,,,,,False,,False,False,,True,True,,False,,False,,,False,True
01051,495,600.0,427.3,,425.0,788.0,,,,,208.0,,464.7,175.5,,371.7,428.5,,99.1,,452.7,,,307.0,1016.2,105.0,-67.7,,-70.0,293.0,,,,,-287.0,,-30.3,-319.5,,-123.3,-66.5,,-395.9,,-42.3,,,-188.0,521.2,True,,True,False,,,,,False,,True,False,,False,True,,False,,True,,,False,False
01053,129,168.0,218.0,,110.0,13.0,,,,,196.0,,101.2,90.1,,59.3,101.2,,122.9,,79.2,,,43.0,235.4,39.0,89.0,,-19.0,-116.0,,,,,67.0,,-27.8,-38.9,,-69.7,-27.8,,-6.1,,-49.8,,,-86.0,106.4,False,,True,False,,,,,False,,True,True,,False,True,,True,,False,,,False,False
01055,881,716.0,725.8,,539.0,855.0,,,,,535.0,,594.6,427.5,,510.2,489.8,,271.9,,452.0,,,576.0,673.1,-165.0,-155.2,,-342.0,-26.0,,,,,-346.0,,-286.4,-453.5,,-370.8,-391.2,,-609.1,,-429.0,,,-305.0,-207.9,True,,False,True,,,,,False,,False,False,,False,False,,False,,False,,,False,False
01057,121,76.0,56.1,,70.0,85.0,,,,,70.0,,73.8,48.8,,47.8,88.3,,49.3,,70.5,,,38.0,363.7,-45.0,-64.9,,-51.0,-36.0,,,,,-51.0,,-47.2,-72.2,,-73.2,-32.7,,-71.7,,-50.5,,,-83.0,242.7,False,,False,True,,,,,False,,False,False,,False,True,,False,,False,,,False,False
01059,344,260.0,295.8,,173.0,169.0,,,,,239.0,,159.5,94.2,,115.4,190.1,,147.8,,195.9,,,297.0,108.5,-84.0,-48.2,,-171.0,-175.0,,,,,-105.0,,-184.5,-249.8,,-228.6,-153.9,,-196.2,,-148.1,,,-47.0,-235.5,True,,False,False,,,,,False,,False,False,,False,False,,False,,False,,,True,False
01061,246,420.0,415.7,,206.0,716.0,,,,,89.0,,206.5,158.4,,197.6,201.5,,37.2,,264.4,,,364.0,370.0,174.0,169.7,,-40.0,470.0,,,,,-157.0,,-39.5,-87.6,,-48.4,-44.5,,-208.8,,18.4,,,118.0,124.0,True,,True,False,,,,,True,,True,True,,True,True,,False,,True,,,True,True
01063,41,16.0,31.9,,12.0,0.0,,,,,20.0,,20.4,12.5,,2.3,13.2,,16.9,,12.1,,,5.0,6.7,-25.0,-9.1,,-29.0,-41.0,,,,,-21.0,,-20.6,-28.5,,-38.7,-27.8,,-24.1,,-28.9,,,-36.0,-34.3,True,,False,False,,,,,True,,True,False,,False,False,,True,,False,,,False,False
01065,126,120.0,145.5,,69.0,28.0,,,,,69.0,,93.9,32.4,,16.6,70.4,,43.3,,88.6,,,55.0,165.3,-6.0,19.5,,-57.0,-98.0,,,,,-57.0,,-32.1,-93.6,,-109.4,-55.6,,-82.7,,-37.4,,,-71.0,39.3,False,,False,False,,,,,False,,False,False,,False,False,,False,,False,,,False,False
01067,183,208.0,262.7,,127.0,124.0,,,,,38.0,,91.9,73.2,,120.8,149.5,,70.6,,166.6,,,175.0,403.7,25.0,79.7,,-56.0,-59.0,,,,,-145.0,,-91.1,-109.8,,-62.2,-33.5,,-112.4,,-16.4,,,-8.0,220.7,False,,False,False,,,,,False,,False,False,,False,False,,False,,True,,,True,False
01069,973,1712.0,1530.0,,1039.0,3538.0,,,,,335.0,,433.2,602.3,,1252.4,689.2,,238.4,,1276.3,,,1667.0,2675.5,739.0,557.0,,66.0,2565.0,,,,,-638.0,,-539.8,-370.7,,279.4,-283.8,,-734.6,,303.3,,,694.0,1702.5,True,,True,False,,,,,True,,True,True,,True,True,,True,,True,,,True,False
01071,665,380.0,379.9,,337.0,438.0,,,,,332.0,,306.9,146.1,,361.3,397.2,,109.4,,226.1,,,308.0,275.9,-285.0,-285.1,,-328.0,-227.0,,,,,-333.0,,-358.1,-518.9,,-303.7,-267.8,,-555.6,,-438.9,,,-357.0,-389.1,False,,False,True,,,,,False,,False,False,,False,True,,False,,False,,,False,False
01073,3849,3632.0,2530.8,2884.0,2755.0,2590.0,,,,,2454.0,,2934.1,2011.9,,3188.1,2682.4,,2356.1,,2426.3,1750.0,,2821.0,3286.1,-217.0,-1318.2,-965.0,-1094.0,-1259.0,,,,,-1395.0,,-914.9,-1837.1,,-660.9,-1166.6,,-1492.9,,-1422.7,-2099.0,,-1028.0,-562.9,False,False,False,False,,,,,False,,False,False,,False,False,,False,,False,False,,False,False
01075,134,120.0,138.7,,78.0,36.0,,,,,66.0,,98.4,31.5,,40.4,99.1,,23.1,,91.7,,,62.0,115.7,-14.0,4.7,,-56.0,-98.0,,,,,-68.0,,-35.6,-102.5,,-93.6,-34.9,,-110.9,,-42.3,,,-72.0,-18.3,True,,False,False,,,,,False,,False,False,,False,False,,False,,False,,,False,False
01077,933,376.0,341.8,,308.0,776.0,,,,,549.0,,295.3,175.2,,220.2,302.0,,235.8,,319.3,,,329.0,291.0,-557.0,-591.2,,-625.0,-157.0,,,,,-384.0,,-637.7,-757.8,,-712.8,-631.0,,-697.2,,-613.7,,,-604.0,-642.0,False,,False,True,,,,,True,,False,False,,False,False,,False,,False,,,False,False
01079,287,128.0,110.9,,107.0,126.0,,,,,166.0,,113.9,64.2,,48.3,100.1,,26.3,,95.4,,,56.0,346.4,-159.0,-176.1,,-180.0,-161.0,,,,,-121.0,,-173.1,-222.8,,-238.7,-186.9,,-260.7,,-191.6,,,-231.0,59.4,False,,False,False,,,,,True,,False,False,,False,False,,False,,False,,,False,True
01081,612,880.0,1036.1,,646.0,2654.0,,,,,528.0,,621.8,648.6,,661.1,736.8,,560.2,,560.1,252.0,,142.0,,268.0,424.1,,34.0,2042.0,,,,,-84.0,,9.8,36.6,,49.1,124.8,,-51.8,,-51.9,-360.0,,-470.0,,False,,True,False,,,,,True,,True,True,,True,True,,True,,True,False,,False,
01083,812,512.0,491.6,,467.0,490.0,,,,,481.0,,406.8,192.5,,470.7,514.4,,93.1,,261.9,,,348.0,439.1,-300.0,-320.4,,-345.0,-322.0,,,,,-331.0,,-405.2,-619.5,,-341.3,-297.6,,-718.9,,-550.1,,,-464.0,-372.9,False,,False,False,,,,,False,,False,False,,False,True,,False,,False,,,False,False
01085,66,36.0,19.8,,20.0,0.0,,,,,20.0,,21.3,11.3,,1.9,22.9,,5.0,,36.1,,,0.0,269.5,-30.0,-46.2,,-46.0,-66.0,,,,,-46.0,,-44.7,-54.7,,-64.1,-43.1,,-61.0,,-29.9,,,-66.0,203.5,False,,False,False,,,,,False,,False,False,,False,False,,False,,True,,,False,False
01087,74,44.0,1.2,,25.0,24.0,,,,,27.0,,29.4,26.3,,5.3,33.1,,1.9,,42.7,,,8.0,47.8,-30.0,-72.8,,-49.0,-50.0,,,,,-47.0,,-44.6,-47.7,,-68.7,-40.9,,-72.1,,-31.3,,,-66.0,-26.2,False,,False,False,,,,,False,,False,False,,False,False,,False,,False,,,False,True
01089,1668,1204.0,950.5,1168.6,1044.0,958.0,,,,,1240.0,,954.6,1131.0,,1086.9,1107.0,,930.2,,613.9,599.0,,576.0,2481.8,-464.0,-717.5,-499.4,-624.0,-710.0,,,,,-428.0,,-713.4,-537.0,,-581.1,-561.0,,-737.8,,-1054.1,-1069.0,,-1092.0,813.8,False,False,False,False,,,,,True,,False,False,,False,False,,False,,False,False,,False,False
01091,329,84.0,84.9,,55.0,3.0,,,,,100.0,,54.0,34.3,,26.6,72.1,,28.0,,55.2,,,57.0,91.5,-245.0,-244.1,,-274.0,-326.0,,,,,-229.0,,-275.0,-294.7,,-302.4,-256.9,,-301.0,,-273.8,,,-272.0,-237.5,True,,False,False,,,,,True,,False,False,,False,False,,False,,False,,,False,True
01093,143,112.0,85.8,,90.0,97.0,,,,,135.0,,88.1,90.2,,57.9,95.7,,84.7,,70.5,,,30.0,197.1,-31.0,-57.2,,-53.0,-46.0,,,,,-8.0,,-54.9,-52.8,,-85.1,-47.3,,-58.3,,-72.5,,,-113.0,54.1,False,,False,False,,,,,True,,False,False,,False,False,,False,,False,,,False,False
01095,546,328.0,152.1,,225.0,606.0,,,,,505.0,,220.2,265.8,,161.2,223.2,,71.0,,219.0,,,126.0,484.9,-218.0,-393.9,,-321.0,60.0,,,,,-41.0,,-325.8,-280.2,,-384.8,-322.8,,-475.0,,-327.0,,,-420.0,-61.1,False,,False,True,,,,,True,,False,False,,False,False,,False,,False,,,False,True
01097,3567,1276.0,1256.7,1003.7,1117.0,1460.0,,,,,1732.0,,942.9,779.3,,977.8,1041.5,,892.9,,1183.0,723.0,,1004.0,1743.9,-2291.0,-2310.3,-2563.3,-2450.0,-2107.0,,,,,-1835.0,,-2624.1,-2787.7,,-2589.2,-2525.5,,-2674.1,,-2384.0,-2844.0,,-2563.0,-1823.1,False,False,False,True,,,,,True,,False,False,,False,False,,False,,False,False,,False,True
01099,70,24.0,71.0,,22.0,0.0,,,,,68.0,,26.4,22.6,,4.7,30.6,,16.5,,18.2,,,6.0,203.3,-46.0,1.0,,-48.0,-70.0,,,,,-2.0,,-43.6,-47.4,,-65.3,-39.4,,-53.5,,-51.8,,,-64.0,133.3,True,,False,False,,,,,True,,True,False,,False,True,,False,,False,,,False,False
01101,1721,616.0,461.1,651.8,487.0,457.0,,,,,695.0,,443.0,403.3,,351.6,535.3,,253.5,,578.0,272.0,,288.0,,-1105.0,-1259.9,-1069.2,-1234.0,-1264.0,,,,,-1026.0,,-1278.0,-1317.7,,-1369.4,-1185.7,,-1467.5,,-1143.0,-1449.0,,-1433.0,,False,True,False,False,,,,,True,,False,False,,False,False,,False,,False,False,,False,
01103,1058,512.0,597.2,,516.0,618.0,,,,,574.0,,360.8,177.7,,394.0,541.6,,736.8,,377.0,,,392.0,442.5,-546.0,-460.8,,-542.0,-440.0,,,,,-484.0,,-697.2,-880.3,,-664.0,-516.4,,-321.2,,-681.0,,,-666.0,-615.5,True,,True,True,,,,,True,,False,False,,False,True,,True,,False,,,False,False
01105,63,8.0,22.4,,8.0,0.0,,,,,18.0,,7.9,8.9,,1.6,11.2,,5.8,,9.3,,,1.0,39.4,-55.0,-40.6,,-55.0,-63.0,,,,,-45.0,,-55.1,-54.1,,-61.4,-51.8,,-57.2,,-53.7,,,-62.0,-23.6,True,,False,False,,,,,True,,False,True,,False,True,,False,,True,,,False,True
01107,250,68.0,8.7,,58.0,57.0,,,,,88.0,,59.1,50.8,,31.7,72.8,,54.7,,58.9,,,32.0,112.1,-182.0,-241.3,,-192.0,-193.0,,,,,-162.0,,-190.9,-199.2,,-218.3,-177.2,,-195.3,,-191.1,,,-218.0,-137.9,False,,False,False,,,,,True,,False,False,,False,True,,False,,False,,,False,True
01109,160,144.0,171.8,,122.0,175.0,,,,,144.0,,106.4,79.8,,29.8,101.7,,123.0,,97.3,,,33.0,656.4,-16.0,11.8,,-38.0,15.0,,,,,-16.0,,-53.6,-80.2,,-130.2,-58.3,,-37.0,,-62.7,,,-127.0,496.4,True,,False,True,,,,,False,,False,False,,False,False,,False,,False,,,False,False
01111,163,176.0,105.9,,136.0,123.0,,,,,85.0,,135.7,101.8,,92.7,169.4,,236.1,,112.5,,,82.0,274.0,13.0,-57.1,,-27.0,-40.0,,,,,-78.0,,-27.3,-61.2,,-70.3,6.4,,73.1,,-50.5,,,-81.0,111.0,False,,False,False,,,,,False,,False,False,,False,True,,False,,False,,,False,False
01113,199,216.0,204.0,,162.0,142.0,,,,,172.0,,182.1,94.8,,118.7,165.3,,80.5,,150.3,,,103.0,222.4,17.0,5.0,,-37.0,-57.0,,,,,-27.0,,-16.9,-104.2,,-80.3,-33.7,,-118.5,,-48.7,,,-96.0,23.4,True,,False,False,,,,,False,,True,False,,False,False,,False,,False,,,False,False
01115,780,500.0,494.3,,387.0,453.0,,,,,263.0,,385.4,280.6,,371.3,378.5,,337.2,,380.1,,,196.0,660.1,-280.0,-285.7,,-393.0,-327.0,,,,,-517.0,,-394.6,-499.4,,-408.7,-401.5,,-442.8,,-399.9,,,-584.0,-119.9,False,,False,False,,,,,False,,False,False,,False,False,,False,,False,,,False,True
01117,1438,1372.0,1283.3,,1131.0,959.0,,,,,553.0,,1196.2,1064.5,,1322.0,1118.0,,1407.7,,756.6,694.0,,622.0,1444.8,-66.0,-154.7,,-307.0,-479.0,,,,,-885.0,,-241.8,-373.5,,-116.0,-320.0,,-30.3,,-681.4,-744.0,,-816.0,6.8,False,,False,False,,,,,False,,False,False,,False,False,,True,,False,False,,False,True
01119,46,0.0,0.0,,2.0,0.0,,,,,43.0,,1.8,16.1,,1.3,23.9,,4.7,,13.2,,,1.0,29.4,-46.0,-46.0,,-44.0,-46.0,,,,,-3.0,,-44.2,-29.9,,-44.7,-22.1,,-41.3,,-32.8,,,-45.0,-16.6,False,,True,False,,,,,True,,True,True,,True,True,,True,,True,,,True,True
01121,569,324.0,1051.8,,235.0,238.0,,,,,302.0,,159.7,251.4,,184.2,241.1,,42.8,,207.1,,,73.0,1878.1,-245.0,482.8,,-334.0,-331.0,,,,,-267.0,,-409.3,-317.6,,-384.8,-327.9,,-526.2,,-361.9,,,-496.0,1309.1,False,,False,False,,,,,False,,False,False,,False,False,,False,,False,,,False,False
01123,213,120.0,197.8,,92.0,53.0,,,,,119.0,,84.5,99.9,,60.4,96.4,,92.7,,83.1,,,32.0,253.8,-93.0,-15.2,,-121.0,-160.0,,,,,-94.0,,-128.5,-113.1,,-152.6,-116.6,,-120.3,,-129.9,,,-181.0,40.8,True,,False,False,,,,,False,,False,False,,False,False,,False,,False,,,False,True
01125,1671,2040.0,1540.4,1628.5,1338.0,1014.0,,,,,1177.0,,1939.7,746.7,,1030.1,1449.3,,960.2,,2076.3,1216.0,,1201.0,,369.0,-130.6,-42.5,-333.0,-657.0,,,,,-494.0,,268.7,-924.3,,-640.9,-221.7,,-710.8,,405.3,-455.0,,-470.0,,True,True,True,False,,,,,False,,True,False,,False,True,,False,,False,False,,False,
01127,557,396.0,464.1,,317.0,567.0,,,,,319.0,,354.4,118.9,,143.1,303.0,,115.8,,242.1,,,212.0,326.4,-161.0,-92.9,,-240.0,10.0,,,,,-238.0,,-202.6,-438.1,,-413.9,-254.0,,-441.2,,-314.9,,,-345.0,-230.6,True,,False,True,,,,,False,,False,False,,False,False,,False,,False,,,False,False
01129,193,92.0,103.4,,42.0,0.0,,,,,80.0,,28.9,31.7,,17.9,51.3,,20.6,,55.5,,,90.0,51.0,-101.0,-89.6,,-151.0,-193.0,,,,,-113.0,,-164.1,-161.3,,-175.1,-141.7,,-172.4,,-137.5,,,-103.0,-142.0,True,,False,False,,,,,False,,False,False,,False,False,,False,,False,,,False,False
01131,41,24.0,38.1,,15.0,0.0,,,,,19.0,,13.7,10.3,,2.6,15.3,,1.2,,19.8,,,3.0,38.9,-17.0,-2.9,,-26.0,-41.0,,,,,-22.0,,-27.3,-30.7,,-38.4,-25.7,,-39.8,,-21.2,,,-38.0,-2.1,True,,False,False,,,,,False,,False,False,,False,False,,False,,False,,,False,True
