,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha
Georgia,38621,33184.0,35252.2,27903.0,28732.0,,32329.8,22033.0,36035.0,20371.0,23029.3,28114.8,49408.0,26687.2,27426.6,22575.2,27491.2,,15894.8,4258.9,24110.0,32538.2,22488.0,-5437.0,-3368.8,-10718.0,-9889.0,,-6291.2,-16588.0,-2586.0,-18250.0,-15591.7,-10506.2,10787.0,-11933.8,-11194.4,-16045.8,-11129.8,,-22726.2,-34362.1,-14511.0,-6082.8,-16133.0,True,False,False,,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,False,False
Hawaii,2363,2864.0,2883.1,2226.0,2413.0,,2648.7,1123.0,1940.3,,2375.1,2594.2,4371.4,5099.4,2071.3,2032.3,2578.1,,1031.9,698.4,2004.8,2768.9,2141.0,501.0,520.1,-137.0,50.0,,285.7,-1240.0,-422.7,,12.1,231.2,2008.4,2736.4,-291.7,-330.7,215.1,,-1331.1,-1664.6,-358.2,405.9,-222.0,False,True,True,,True,False,True,,True,True,False,False,True,True,True,,False,False,True,True,True
Idaho,20906,13624.0,13446.1,12496.0,17555.0,,13848.8,5648.0,21439.4,9517.0,19567.4,16432.3,13876.0,8651.1,8413.4,8586.5,13241.8,,6285.2,3625.3,7465.9,14027.1,11739.0,-7282.0,-7459.9,-8410.0,-3351.0,,-7057.2,-15258.0,533.4,-11389.0,-1338.6,-4473.7,-7030.0,-12254.9,-12492.6,-12319.5,-7664.2,,-14620.8,-17280.7,-13440.1,-6878.9,-9167.0,False,False,True,,True,False,True,False,True,True,True,False,False,False,False,,False,False,False,True,False
Illinois,113765,56036.0,57322.6,46364.0,58668.0,,51286.1,15623.0,62684.4,45226.0,72144.5,46170.6,54533.8,49396.4,45004.3,36812.7,49878.7,,30652.7,86291.0,42704.9,44482.9,56393.0,-57729.0,-56442.4,-67401.0,-55097.0,,-62478.9,-98142.0,-51080.6,-68539.0,-41620.5,-67594.4,-59231.2,-64368.6,-68760.7,-76952.3,-63886.3,,-83112.3,-27474.0,-71060.1,-69282.1,-57372.0,True,False,True,,False,False,True,False,True,False,False,False,False,False,False,,False,True,False,False,True
Indiana,55299,30040.0,30594.2,27466.0,40149.0,,29823.6,17169.0,27489.8,23823.0,27237.3,24991.0,43058.0,36831.6,26266.6,24055.1,33122.1,,30151.9,37723.5,21537.7,29140.7,42063.0,-25259.0,-24704.8,-27833.0,-15150.0,,-25475.4,-38130.0,-27809.2,-31476.0,-28061.7,-30308.0,-12241.0,-18467.4,-29032.4,-31243.9,-22176.9,,-25147.1,-17575.5,-33761.3,-26158.3,-13236.0,True,False,True,,False,False,False,False,False,False,True,True,False,False,True,,True,True,False,False,True
Iowa,36209,25572.0,25630.7,21265.0,28183.0,,27739.3,19502.0,22109.3,20006.0,32338.7,26479.6,24282.3,15798.2,32461.1,13670.8,21138.6,,10816.6,6740.4,20175.7,24967.8,27349.0,-10637.0,-10578.3,-14944.0,-8026.0,,-8469.7,-16707.0,-14099.7,-16203.0,-3870.3,-9729.4,-11926.7,-20410.8,-3747.9,-22538.2,-15070.4,,-25392.4,-29468.6,-16033.3,-11241.2,-8860.0,True,False,True,,True,False,False,False,True,True,False,False,True,False,False,,False,False,False,False,True
Kansas,24311,16288.0,15178.3,14746.0,14455.0,,16981.8,14142.0,20277.1,14708.0,15348.3,19112.8,,13435.6,17769.8,8455.0,13679.0,,6241.3,16362.7,13677.4,16458.0,10839.0,-8023.0,-9132.7,-9565.0,-9856.0,,-7329.2,-10169.0,-4033.9,-9603.0,-8962.7,-5198.2,,-10875.4,-6541.2,-15856.0,-10632.0,,-18069.7,-7948.3,-10633.6,-7853.0,-13472.0,False,False,False,,True,False,True,False,False,True,,False,True,False,False,,False,True,False,True,False
Kentucky,35218,23860.0,23600.9,21959.0,30032.0,,22449.8,18755.0,46452.0,19888.0,27440.8,22004.9,38003.7,19281.5,20489.6,17628.5,25285.7,,16000.7,22830.7,16431.8,24827.7,30929.0,-11358.0,-11617.1,-13259.0,-5186.0,,-12768.2,-16463.0,11234.0,-15330.0,-7777.2,-13213.1,2785.7,-15936.5,-14728.4,-17589.5,-9932.3,,-19217.3,-12387.3,-18786.2,-10390.3,-4289.0,False,False,True,,False,False,True,False,True,False,True,False,False,False,True,,False,False,False,True,True
Louisiana,17823,13892.0,13869.8,12334.0,14678.0,,12737.7,6684.0,52773.5,11466.0,14888.6,12545.0,6582.8,18722.8,10744.7,10302.7,12552.2,,13164.1,0.0,8223.0,21741.9,8244.0,-3931.0,-3953.2,-5489.0,-3145.0,,-5085.3,-11139.0,34950.5,-6357.0,-2934.4,-5278.0,-11240.2,899.8,-7078.3,-7520.3,-5270.8,,-4658.9,-17823.0,-9600.0,3918.9,-9579.0,False,False,True,,False,False,False,False,True,False,False,True,False,False,False,,False,False,False,True,False
Maine,1178,904.0,879.9,890.0,1239.0,,901.5,536.0,863.5,643.0,893.5,971.9,932.7,1722.7,1084.9,701.5,948.7,,612.6,384.1,740.9,831.6,825.0,-274.0,-298.1,-288.0,61.0,,-276.5,-642.0,-314.5,-535.0,-284.5,-206.1,-245.3,544.7,-93.1,-476.5,-229.3,,-565.4,-793.9,-437.1,-346.4,-353.0,False,False,True,,False,False,False,False,False,True,True,False,True,False,True,,False,False,False,False,False
Maryland,18462,15388.0,15336.4,15195.0,20838.0,,14740.4,2341.0,16074.3,11558.0,13960.5,12128.5,18634.2,28791.9,14989.7,10926.0,15511.5,,11106.0,17633.5,12931.2,18263.0,17576.0,-3074.0,-3125.6,-3267.0,2376.0,,-3721.6,-16121.0,-2387.7,-6904.0,-4501.5,-6333.5,172.2,10329.9,-3472.3,-7536.0,-2950.5,,-7356.0,-828.5,-5530.8,-199.0,-886.0,False,False,True,,False,False,True,False,False,False,True,False,False,False,True,,False,True,False,True,True
Massachusetts,24273,17012.0,16991.3,16916.0,25561.0,,19919.9,3721.0,20520.3,9808.0,23481.1,13722.5,21119.3,19985.2,18595.2,12879.7,20592.1,,17259.0,8642.3,13546.3,11576.0,22672.0,-7261.0,-7281.7,-7357.0,1288.0,,-4353.1,-20552.0,-3752.7,-14465.0,-791.9,-10550.5,-3153.7,-4287.8,-5677.8,-11393.3,-3680.9,,-7014.0,-15630.7,-10726.7,-12697.0,-1601.0,False,False,True,,True,False,True,False,True,False,True,True,True,False,True,,True,False,False,False,True
Michigan,56135,27592.0,26830.4,26455.0,36758.0,,27068.7,4882.0,27581.7,32503.0,33957.3,24694.5,37154.8,41921.9,25109.5,13232.3,24729.5,,6683.9,39457.0,26599.6,18150.2,30869.0,-28543.0,-29304.6,-29680.0,-19377.0,,-29066.3,-51253.0,-28553.3,-23632.0,-22177.7,-31440.5,-18980.2,-14213.1,-31025.5,-42902.7,-31405.5,,-49451.1,-16678.0,-29535.4,-37984.8,-25266.0,False,False,True,,False,False,False,True,True,False,True,True,False,False,False,,False,True,False,False,True
Minnesota,45685,28512.0,28693.7,26285.0,33535.0,,24698.9,10836.0,30207.0,35637.0,38359.9,25075.9,41806.8,19202.5,25415.7,22847.9,27827.8,,18261.1,25818.6,22337.1,27568.6,31258.0,-17173.0,-16991.3,-19400.0,-12150.0,,-20986.1,-34849.0,-15478.0,-10048.0,-7325.1,-20609.1,-3878.2,-26482.5,-20269.3,-22837.1,-17857.2,,-27423.9,-19866.4,-23347.9,-18116.4,-14427.0,True,False,True,,False,False,True,True,True,False,True,False,False,False,False,,False,False,False,False,True
Mississippi,19993,13960.0,13943.1,13232.0,16347.0,,13763.8,5860.0,14644.5,11754.0,18107.8,13709.7,20494.6,8285.1,7328.7,9582.2,13916.1,,6740.6,0.0,9498.8,16008.9,13358.0,-6033.0,-6049.9,-6761.0,-3646.0,,-6229.2,-14133.0,-5348.5,-8239.0,-1885.2,-6283.3,501.6,-11707.9,-12664.3,-10410.8,-6076.9,,-13252.4,-19993.0,-10494.2,-3984.1,-6635.0,False,False,True,,False,False,True,False,True,False,True,False,False,False,False,,False,False,False,True,False
Missouri,53362,36496.0,36400.5,36294.0,42461.0,,40607.1,35127.0,40910.0,31037.0,42232.6,34739.1,49465.8,26109.5,38907.8,100778.2,30740.6,,40131.8,32123.9,19793.0,42516.3,28657.0,-16866.0,-16961.5,-17068.0,-10901.0,,-12754.9,-18235.0,-12452.0,-22325.0,-11129.4,-18622.9,-3896.2,-27252.5,-14454.2,47416.2,-22621.4,,-13230.2,-21238.1,-33569.0,-10845.7,-24705.0,False,False,True,,True,False,True,False,True,False,True,False,True,False,False,,True,False,False,True,False
Montana,18445,9796.0,9870.9,9732.0,12010.0,,10523.5,5771.0,6895.0,11901.0,15440.9,14483.1,15247.6,3009.3,9949.4,8417.7,11039.2,,5121.9,16196.5,5145.4,16703.2,13135.0,-8649.0,-8574.1,-8713.0,-6435.0,,-7921.5,-12674.0,-11550.0,-6544.0,-3004.1,-3961.9,-3197.4,-15435.7,-8495.6,-10027.3,-7405.8,,-13323.0,-2248.5,-13299.6,-1741.8,-5310.0,True,False,True,,True,False,False,True,True,True,True,False,True,False,True,,False,True,False,True,True
Nebraska,23329,15228.0,15245.3,14043.0,15137.0,,14153.8,7401.0,14782.7,10524.0,14533.3,15919.7,15636.3,13707.1,13200.5,10183.0,14559.5,,9297.4,7128.2,14628.9,12963.7,13919.0,-8101.0,-8083.7,-9286.0,-8192.0,,-9175.2,-15928.0,-8546.3,-12805.0,-8795.7,-7409.3,-7692.7,-9621.9,-10128.5,-13146.0,-8769.5,,-14031.6,-16200.8,-8700.1,-10365.3,-9410.0,True,False,False,,False,False,False,False,False,True,True,False,False,False,False,,False,False,False,False,False
Nevada,19053,13412.0,13810.3,11862.0,13252.0,,13123.5,3435.0,12882.1,6667.0,17196.1,11820.6,17771.8,9814.2,10243.6,9251.2,14099.5,,11644.6,0.0,8718.7,18429.5,14398.0,-5641.0,-5242.7,-7191.0,-5801.0,,-5929.5,-15618.0,-6170.9,-12386.0,-1856.9,-7232.4,-1281.2,-9238.8,-8809.4,-9801.8,-4953.5,,-7408.4,-19053.0,-10334.3,-623.5,-4655.0,True,False,False,,False,False,False,False,True,False,True,False,False,False,True,,False,False,False,True,True
New Hampshire,2487,1904.0,1895.0,1594.0,2161.0,,1526.1,160.0,1511.8,912.0,1441.6,1587.5,2760.5,2725.3,2451.0,1482.8,1600.3,,965.0,62.1,1472.1,1587.1,3600.0,-583.0,-592.0,-893.0,-326.0,,-960.9,-2327.0,-975.2,-1575.0,-1045.4,-899.5,273.5,238.3,-36.0,-1004.2,-886.7,,-1522.0,-2424.9,-1014.9,-899.9,1113.0,False,False,True,,False,False,False,False,False,False,True,True,True,False,False,,False,False,False,False,False
New Jersey,30310,18904.0,18813.9,17689.0,27952.0,,16086.2,5880.0,19556.2,13043.0,22586.4,12865.4,28652.0,54663.7,22955.8,13634.9,21455.6,,14339.9,2705.1,15718.6,13832.9,27727.0,-11406.0,-11496.1,-12621.0,-2358.0,,-14223.8,-24430.0,-10753.8,-17267.0,-7723.6,-17444.6,-1658.0,24353.7,-7354.2,-16675.1,-8854.4,,-15970.1,-27604.9,-14591.4,-16477.1,-2583.0,False,False,True,,False,False,True,False,True,False,True,False,True,False,True,,False,False,False,False,True
New Mexico,16194,6416.0,6362.7,6043.0,9778.0,,6695.9,1486.0,5925.9,4967.0,9596.1,6386.6,12039.7,6890.9,3263.8,4947.9,7964.0,,3241.4,6561.9,5108.2,6513.9,7745.0,-9778.0,-9831.3,-10151.0,-6416.0,,-9498.1,-14708.0,-10268.1,-11227.0,-6597.9,-9807.4,-4154.3,-9303.1,-12930.2,-11246.1,-8230.0,,-12952.5,-9632.1,-11085.8,-9680.1,-8449.0,False,False,True,,True,False,False,False,True,False,True,True,False,False,True,,False,True,False,True,True
New York,44183,34400.0,35616.5,35209.0,57847.0,,47705.6,6492.0,35709.7,13738.0,33103.5,23648.1,56420.4,60416.0,63319.6,25785.2,42507.1,,37604.6,14650.2,31074.5,24027.4,48175.0,-9783.0,-8566.5,-8974.0,13664.0,,3522.6,-37691.0,-8473.3,-30445.0,-11079.5,-20534.9,12237.4,16233.0,19136.6,-18397.8,-1675.9,,-6578.4,-29532.8,-13108.5,-20155.6,3992.0,True,True,False,,True,False,True,False,False,False,False,False,False,False,True,,True,False,False,False,True
North Carolina,57749,36448.0,35738.8,33499.0,64043.0,,37208.6,22027.0,26122.9,35413.0,40370.1,32267.5,,39806.3,28042.4,22375.8,35623.9,,22244.8,21033.9,25530.4,45491.8,35461.0,-21301.0,-22010.2,-24250.0,6294.0,,-20540.4,-35722.0,-31626.1,-22336.0,-17378.9,-25481.5,,-17942.7,-29706.6,-35373.2,-22125.1,,-35504.2,-36715.1,-32218.6,-12257.2,-22288.0,False,False,True,,True,False,False,False,True,False,,True,False,False,False,,False,False,False,True,False
North Dakota,20782,11016.0,11163.2,10858.0,9428.0,,10978.8,8769.0,12823.4,10511.0,14323.2,13984.6,13919.4,4216.4,18280.0,9105.6,10926.1,,6951.6,9682.4,8840.6,16278.6,11684.0,-9766.0,-9618.8,-9924.0,-11354.0,,-9803.2,-12013.0,-7958.6,-10271.0,-6458.8,-6797.4,-6862.6,-16565.6,-2502.0,-11676.4,-9855.9,,-13830.4,-11099.6,-11941.4,-4503.4,-9098.0,True,False,False,,False,False,True,False,True,True,True,False,True,False,False,,False,False,False,True,True
Ohio,57731,31828.0,32409.4,30576.0,43614.0,,27407.3,22558.0,32290.0,25747.0,32675.9,30649.5,33422.0,58270.7,24145.4,21486.9,33588.2,,21949.8,12195.8,24785.2,31733.7,36688.0,-25903.0,-25321.6,-27155.0,-14117.0,,-30323.7,-35173.0,-25441.0,-31984.0,-25055.1,-27081.5,-24309.0,539.7,-33585.6,-36244.1,-24142.8,,-35781.2,-45535.2,-32945.8,-25997.3,-21043.0,True,False,True,,False,False,True,False,True,False,True,True,False,False,True,,False,False,False,False,True
Oklahoma,32014,28952.0,28794.5,26110.0,30911.0,,30673.7,23443.0,22902.8,26110.0,34888.4,29517.2,38380.5,21335.6,37176.4,11205.9,22438.3,,4627.0,19875.2,14326.1,31208.5,21155.0,-3062.0,-3219.5,-5904.0,-1103.0,,-1340.3,-8571.0,-9111.2,-5904.0,2874.4,-2496.8,6366.5,-10678.4,5162.4,-20808.1,-9575.7,,-27387.0,-12138.8,-17687.9,-805.5,-10859.0,False,False,True,,True,False,False,False,True,True,False,False,False,False,False,,False,False,False,True,False
Oregon,10410,7720.0,7458.1,7529.0,8299.0,,7799.7,4338.0,7267.1,6076.0,10618.0,8596.7,11023.7,13125.7,6539.6,5770.0,8510.4,,4755.9,2872.0,4108.8,8097.9,7253.0,-2690.0,-2951.9,-2881.0,-2111.0,,-2610.3,-6072.0,-3142.9,-4334.0,208.0,-1813.3,613.7,2715.7,-3870.4,-4640.0,-1899.6,,-5654.1,-7538.0,-6301.2,-2312.1,-3157.0,False,False,True,,True,False,False,False,True,True,True,False,False,False,True,,False,False,False,True,False
Pennsylvania,46553,25220.0,24944.6,25704.0,30030.0,,26582.9,4261.0,33028.9,17626.0,27560.9,27561.2,,54910.5,20567.1,21758.2,34036.9,,30814.9,26572.4,25806.7,22124.7,26546.0,-21333.0,-21608.4,-20849.0,-16523.0,,-19970.1,-42292.0,-13524.1,-28927.0,-18992.1,-18991.8,,8357.5,-25985.9,-24794.8,-12516.1,,-15738.1,-19980.6,-20746.3,-24428.3,-20007.0,False,True,True,,True,False,True,False,True,True,,True,False,False,True,,True,True,True,False,True
Rhode Island,7798,3580.0,3599.9,2950.0,3143.0,,3267.7,417.0,8275.1,2950.0,4934.7,3411.4,,4563.2,3606.8,1745.1,2798.9,,265.1,4580.2,2998.6,2754.5,2902.0,-4218.0,-4198.1,-4848.0,-4655.0,,-4530.3,-7381.0,477.1,-4848.0,-2863.3,-4386.6,,-3234.8,-4191.2,-6052.9,-4999.1,,-7532.9,-3217.8,-4799.4,-5043.5,-4896.0,True,False,False,,False,False,True,False,True,False,,True,True,False,False,,False,True,False,False,False
South Carolina,25721,22472.0,20758.3,19635.0,25352.0,,23035.2,13152.0,20747.2,20440.0,26529.7,18377.4,,10004.0,32502.5,15619.3,20258.9,,13729.1,14929.0,11577.2,26099.4,19152.0,-3249.0,-4962.7,-6086.0,-369.0,,-2685.8,-12569.0,-4973.8,-5281.0,808.7,-7343.6,,-15717.0,6781.5,-10101.7,-5462.1,,-11991.9,-10792.0,-14143.8,378.4,-6569.0,False,False,True,,True,False,False,False,True,False,,False,False,False,False,,False,False,False,True,False
South Dakota,22006,11412.0,11649.0,11442.0,12015.0,,11840.1,8010.0,7881.0,14011.0,14026.2,14954.5,15406.2,1912.1,10233.9,10281.4,11008.9,,6994.8,13035.0,9157.9,15792.8,10736.0,-10594.0,-10357.0,-10564.0,-9991.0,,-10165.9,-13996.0,-14125.0,-7995.0,-7979.8,-7051.5,-6599.8,-20093.9,-11772.1,-11724.6,-10997.1,,-15011.2,-8971.0,-12848.1,-6213.2,-11270.0,True,True,True,,True,False,False,True,True,True,True,False,False,False,False,,False,True,False,True,False
Tennessee,61077,34816.0,36073.8,31354.0,33501.0,,38435.9,22211.0,43795.4,30610.0,32873.6,34068.7,36546.4,21768.6,24853.1,26897.4,29614.8,,21705.8,14920.2,19310.6,33725.1,27682.0,-26261.0,-25003.2,-29723.0,-27576.0,,-22641.1,-38866.0,-17281.6,-30467.0,-28203.4,-27008.3,-24530.6,-39308.4,-36223.9,-34179.6,-31462.2,,-39371.2,-46156.8,-41766.4,-27351.9,-33395.0,True,False,False,,True,False,True,False,False,False,True,False,False,False,False,,False,False,False,False,False
Texas,148849,132456.0,115079.1,111867.0,241552.0,,142164.7,53802.0,122382.9,129954.0,159099.8,116975.7,168956.0,108493.1,105381.3,69147.1,100488.1,,93462.4,65660.7,81072.5,149172.3,109211.0,-16393.0,-33769.9,-36982.0,92703.0,,-6684.3,-95047.0,-26466.1,-18895.0,10250.8,-31873.3,20107.0,-40355.9,-43467.7,-79701.9,-48360.9,,-55386.6,-83188.3,-67776.5,323.3,-39638.0,False,False,False,,True,False,False,False,True,False,False,False,False,False,False,,False,False,False,True,False
Utah,38431,26712.0,25416.8,23300.0,17641.0,,24796.6,12073.0,24201.5,23945.0,38730.4,16930.2,32397.9,14113.2,35538.8,27090.3,28454.8,,16890.4,8681.3,11829.2,21912.1,20797.0,-11719.0,-13014.2,-15131.0,-20790.0,,-13634.4,-26358.0,-14229.5,-14486.0,299.4,-21500.8,-6033.1,-24317.8,-2892.2,-11340.7,-9976.2,,-21540.6,-29749.7,-26601.8,-16518.9,-17634.0,False,False,False,,False,False,False,False,True,False,True,False,True,True,True,,False,False,False,False,False
Vermont,401,156.0,151.4,155.0,151.0,,230.6,71.0,129.8,58.0,128.6,657.6,258.0,493.1,122.8,129.3,186.7,,47.6,151.4,182.4,166.9,326.0,-245.0,-249.6,-246.0,-250.0,,-170.4,-330.0,-271.2,-343.0,-272.4,256.6,-143.0,92.1,-278.2,-271.7,-214.3,,-353.4,-249.6,-218.6,-234.1,-75.0,False,False,False,,True,False,False,False,False,False,True,True,False,False,True,,False,False,True,True,True
