,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,LANL-GrowthRate,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01067,385,105.0,,,,,79.0,,238.9,25.1,54.8,51.3,,,,-280.0,,,,,-306.0,,-146.1,-359.9,-330.2,-333.7,,,,,,,,False,,True,False,False,False,,,
01069,2306,609.0,,,,,565.0,,610.3,344.1,442.2,154.4,669.8,,,-1697.0,,,,,-1741.0,,-1695.7,-1961.9,-1863.8,-2151.6,-1636.2,,,,,,,False,,True,False,False,False,True,,
01071,968,287.0,,,,,272.0,,449.3,136.4,166.7,56.7,172.5,,,-681.0,,,,,-696.0,,-518.7,-831.6,-801.3,-911.3,-795.5,,,,,,,False,,True,False,False,False,False,,
01073,7008,5537.0,,,,,3011.0,,4161.6,4566.8,848.0,1417.9,3269.6,,,-1471.0,,,,,-3997.0,,-2846.4,-2441.2,-6160.0,-5590.1,-3738.4,,,,,,,False,,False,False,False,False,False,,
01075,243,63.0,,,,,74.0,,231.6,22.2,30.7,1.6,,,,-180.0,,,,,-169.0,,-11.4,-220.8,-212.3,-241.4,,,,,,,,True,,True,False,False,False,,,
01077,947,357.0,,,,,588.0,,497.9,195.9,244.0,214.4,180.5,,,-590.0,,,,,-359.0,,-449.1,-751.1,-703.0,-732.6,-766.5,,,,,,,True,,True,False,False,False,False,,
01079,387,196.0,,,,,154.0,,474.3,109.4,124.4,71.9,,,,-191.0,,,,,-233.0,,87.3,-277.6,-262.6,-315.1,,,,,,,,False,,True,False,False,False,,,
01081,3109,889.0,,,,,1207.0,,1094.5,488.9,426.1,11.1,418.5,,,-2220.0,,,,,-1902.0,,-2014.5,-2620.1,-2682.9,-3097.9,-2690.5,,,,,,,True,,True,False,False,False,False,,
01083,1255,546.0,,,,,562.0,,652.8,448.4,276.8,216.1,312.5,,,-709.0,,,,,-693.0,,-602.2,-806.6,-978.2,-1038.9,-942.5,,,,,,,True,,True,False,False,False,False,,
01085,122,7.0,,,,,67.0,,33.1,0.3,0.2,8.9,,,,-115.0,,,,,-55.0,,-88.9,-121.7,-121.8,-113.1,,,,,,,,True,,True,False,False,True,,,
01087,141,77.0,,,,,51.0,,558.1,5.9,0.0,29.8,,,,-64.0,,,,,-90.0,,417.1,-135.1,-141.0,-111.2,,,,,,,,False,,False,False,False,False,,,
01089,2889,1722.0,,,,,1912.0,,1910.8,1500.3,598.7,83.1,766.9,,,-1167.0,,,,,-977.0,,-978.2,-1388.7,-2290.3,-2805.9,-2122.1,,,,,,,True,,True,False,False,False,False,,
01091,406,91.0,,,,,104.0,,288.7,27.4,0.3,41.4,,,,-315.0,,,,,-302.0,,-117.3,-378.6,-405.7,-364.6,,,,,,,,True,,True,False,False,False,,,
01093,343,343.0,,,,,138.0,,466.3,176.8,69.7,34.5,,,,0.0,,,,,-205.0,,123.3,-166.2,-273.3,-308.5,,,,,,,,False,,False,False,False,False,,,
01095,1001,308.0,,,,,665.0,,470.1,97.8,16.9,33.5,408.7,,,-693.0,,,,,-336.0,,-530.9,-903.2,-984.1,-967.5,-592.3,,,,,,,True,,True,False,False,False,True,,
01097,4783,1603.0,,,,,2021.0,,1723.9,1423.6,787.0,101.9,3086.0,,,-3180.0,,,,,-2762.0,,-3059.1,-3359.4,-3996.0,-4681.1,-1697.0,,,,,,,True,,True,False,False,False,True,,
01099,224,56.0,,,,,100.0,,212.7,2.9,16.6,3.1,,,,-168.0,,,,,-124.0,,-11.3,-221.1,-207.4,-220.9,,,,,,,,True,,True,False,False,False,,,
01101,2558,1435.0,,,,,1228.0,,1189.7,705.9,87.7,293.4,628.0,,,-1123.0,,,,,-1330.0,,-1368.3,-1852.1,-2470.3,-2264.6,-1930.0,,,,,,,False,,False,False,False,False,False,,
01103,1530,511.0,,,,,647.0,,728.2,195.6,195.7,225.7,361.4,,,-1019.0,,,,,-883.0,,-801.8,-1334.4,-1334.3,-1304.3,-1168.6,,,,,,,True,,True,False,False,False,False,,
01105,122,35.0,,,,,32.0,,38.0,4.3,0.0,4.3,,,,-87.0,,,,,-90.0,,-84.0,-117.7,-122.0,-117.7,,,,,,,,False,,True,False,False,False,,,
01107,355,140.0,,,,,94.0,,298.7,66.9,1.2,38.9,,,,-215.0,,,,,-261.0,,-56.3,-288.1,-353.8,-316.1,,,,,,,,False,,True,False,False,False,,,
01109,500,231.0,,,,,457.0,,404.5,43.0,0.2,85.8,,,,-269.0,,,,,-43.0,,-95.5,-457.0,-499.8,-414.2,,,,,,,,True,,True,False,False,False,,,
01111,357,77.0,,,,,145.0,,318.1,14.7,39.3,34.2,,,,-280.0,,,,,-212.0,,-38.9,-342.3,-317.7,-322.8,,,,,,,,True,,True,False,False,False,,,
01113,433,105.0,,,,,359.0,,376.7,19.7,41.5,40.2,163.0,,,-328.0,,,,,-74.0,,-56.3,-413.3,-391.5,-392.8,-270.0,,,,,,,True,,True,False,False,False,True,,
01115,1412,672.0,,,,,331.0,,890.7,606.1,178.8,44.9,466.4,,,-740.0,,,,,-1081.0,,-521.3,-805.9,-1233.2,-1367.0,-945.6,,,,,,,False,,True,False,False,False,False,,
01117,3140,2198.0,,,,,795.0,,1958.8,1821.9,488.9,240.4,750.2,,,-942.0,,,,,-2345.0,,-1181.2,-1318.1,-2651.1,-2899.6,-2389.8,,,,,,,False,,False,False,False,False,False,,
01119,87,7.0,,,,,59.0,,34.8,1.1,0.1,5.7,,,,-80.0,,,,,-28.0,,-52.2,-85.9,-86.9,-81.3,,,,,,,,True,,True,False,False,False,,,
01121,1446,385.0,,,,,319.0,,637.3,187.9,224.4,94.5,250.2,,,-1061.0,,,,,-1127.0,,-808.7,-1258.1,-1221.6,-1351.5,-1195.8,,,,,,,False,,True,False,False,False,False,,
01123,446,84.0,,,,,198.0,,300.3,41.0,29.3,25.7,,,,-362.0,,,,,-248.0,,-145.7,-405.0,-416.7,-420.3,,,,,,,,True,,True,False,False,False,,,
01125,5234,1526.0,,,,,1669.0,,1372.1,1197.5,369.5,1311.0,903.7,,,-3708.0,,,,,-3565.0,,-3861.9,-4036.5,-4864.5,-3923.0,-4330.3,,,,,,,True,,False,False,False,False,False,,
01127,942,693.0,,,,,325.0,,842.8,196.7,235.0,530.2,263.0,,,-249.0,,,,,-617.0,,-99.2,-745.3,-707.0,-411.8,-679.0,,,,,,,False,,True,False,False,False,False,,
01129,265,49.0,,,,,85.0,,244.9,3.3,0.0,6.8,,,,-216.0,,,,,-180.0,,-20.1,-261.7,-265.0,-258.2,,,,,,,,True,,True,False,False,False,,,
01131,95,35.0,,,,,39.0,,40.3,1.4,0.2,9.6,,,,-60.0,,,,,-56.0,,-54.7,-93.6,-94.8,-85.4,,,,,,,,True,,True,False,False,False,,,
01133,354,329.0,,,,,124.0,,414.1,189.0,108.1,451.4,,,,-25.0,,,,,-230.0,,60.1,-165.0,-245.9,97.4,,,,,,,,False,,False,False,False,False,,,
02013,6,0.0,,,,,,,0.0,,,0.0,,,,-6.0,,,,,,,-6.0,,,-6.0,,,,,,,,,,True,,,False,,,
02016,4,7.0,,,,,,,5.4,,,0.2,,,,3.0,,,,,,,1.4,,,-3.8,,,,,,,,,,True,,,False,,,
02020,4714,1890.0,,,,,,,1832.7,974.6,1337.9,752.8,803.1,,,-2824.0,,,,,,,-2881.3,-3739.4,-3376.1,-3961.2,-3910.9,,,,,,,,,False,False,False,False,False,,
02050,393,147.0,,,,,,,94.8,3.3,,39.5,,,,-246.0,,,,,,,-298.2,-389.7,,-353.5,,,,,,,,,,False,False,,False,,,
02060,0,0.0,,,,,,,0.0,0.2,,0.0,,,,0.0,,,,,,,0.0,0.2,,0.0,,,,,,,,,,True,False,,True,,,
02068,25,0.0,,,,,,,4.6,,,0.1,,,,-25.0,,,,,,,-20.4,,,-24.9,,,,,,,,,,True,,,True,,,
02070,33,7.0,,,,,,,0.3,0.1,,2.1,,,,-26.0,,,,,,,-32.7,-32.9,,-30.9,,,,,,,,,,False,False,,False,,,
02090,1350,882.0,,,,,,,1108.1,1155.7,573.6,634.7,,,,-468.0,,,,,,,-241.9,-194.3,-776.4,-715.3,,,,,,,,,,True,True,False,False,,,
02100,5,0.0,,,,,,,1.2,,,0.0,,,,-5.0,,,,,,,-3.8,,,-5.0,,,,,,,,,,True,,,False,,,
02105,0,0.0,,,,,,,1.3,,,0.0,,,,0.0,,,,,,,1.3,,,0.0,,,,,,,,,,False,,,True,,,
02110,264,301.0,,,,,,,427.2,130.1,2.4,369.4,,,,37.0,,,,,,,163.2,-133.9,-261.6,105.4,,,,,,,,,,False,False,False,False,,,
02122,485,49.0,,,,,,,275.4,1.7,300.9,4.6,,,,-436.0,,,,,,,-209.6,-483.3,-184.1,-480.4,,,,,,,,,,True,False,True,False,,,
02130,21,7.0,,,,,,,0.1,1.1,,0.0,,,,-14.0,,,,,,,-20.9,-19.9,,-21.0,,,,,,,,,,False,False,,False,,,
02150,57,14.0,,,,,,,19.1,0.3,,4.9,,,,-43.0,,,,,,,-37.9,-56.7,,-52.1,,,,,,,,,,True,False,,False,,,
02158,230,7.0,,,,,,,9.0,,,5.6,,,,-223.0,,,,,,,-221.0,,,-224.4,,,,,,,,,,True,,,False,,,
02164,28,0.0,,,,,,,1.0,,,0.0,,,,-28.0,,,,,,,-27.0,,,-28.0,,,,,,,,,,True,,,False,,,
02170,906,189.0,,,,,,,356.9,90.2,589.5,157.7,,,,-717.0,,,,,,,-549.1,-815.8,-316.5,-748.3,,,,,,,,,,True,False,True,False,,,
02180,84,42.0,,,,,,,25.8,1.0,,4.7,,,,-42.0,,,,,,,-58.2,-83.0,,-79.3,,,,,,,,,,False,False,,False,,,
02185,206,84.0,,,,,,,191.8,2.4,,26.0,,,,-122.0,,,,,,,-14.2,-203.6,,-180.0,,,,,,,,,,True,False,,False,,,
02188,183,21.0,,,,,,,23.1,3.2,,10.3,,,,-162.0,,,,,,,-159.9,-179.8,,-172.7,,,,,,,,,,True,False,,False,,,
02195,8,0.0,,,,,,,1.1,0.1,,0.0,,,,-8.0,,,,,,,-6.9,-7.9,,-8.0,,,,,,,,,,True,True,,False,,,
02198,5,14.0,,,,,,,17.3,1.8,,5.2,,,,9.0,,,,,,,12.3,-3.2,,0.2,,,,,,,,,,False,True,,True,,,
02220,26,14.0,,,,,,,8.0,0.8,,3.6,,,,-12.0,,,,,,,-18.0,-25.2,,-22.4,,,,,,,,,,False,False,,False,,,
02230,8,0.0,,,,,,,0.0,,,0.0,,,,-8.0,,,,,,,-8.0,,,-8.0,,,,,,,,,,False,,,False,,,
02240,52,14.0,,,,,,,13.2,0.3,,2.1,,,,-38.0,,,,,,,-38.8,-51.7,,-49.9,,,,,,,,,,False,False,,False,,,
02261,47,0.0,,,,,,,12.8,2.1,,17.3,,,,-47.0,,,,,,,-34.2,-44.9,,-29.7,,,,,,,,,,True,True,,True,,,
02275,1,0.0,,,,,,,2.3,,,0.2,,,,-1.0,,,,,,,1.3,,,-0.8,,,,,,,,,,False,,,True,,,
02282,13,7.0,,,,,,,3.9,,,0.8,,,,-6.0,,,,,,,-9.1,,,-12.2,,,,,,,,,,False,,,False,,,
02290,44,14.0,,,,,,,16.2,4.5,,0.2,,,,-30.0,,,,,,,-27.8,-39.5,,-43.8,,,,,,,,,,True,False,,False,,,
04001,630,175.0,,,,,557.0,,58.4,17.7,4.6,12.5,258.9,,,-455.0,,,,,-73.0,,-571.6,-612.3,-625.4,-617.5,-371.1,,,,,,,True,,False,False,False,False,True,,
04003,348,126.0,,,,,298.0,,429.0,15.7,226.0,9.9,106.2,,,-222.0,,,,,-50.0,,81.0,-332.3,-122.0,-338.1,-241.8,,,,,,,True,,True,False,True,False,False,,
04005,1909,693.0,,,,,1130.0,,394.2,892.7,24.4,4715.9,386.8,,,-1216.0,,,,,-779.0,,-1514.8,-1016.3,-1884.6,2806.9,-1522.2,,,,,,,True,,False,True,False,False,False,,
04007,819,273.0,,,,,83.0,,435.7,125.1,0.8,17.6,150.0,,,-546.0,,,,,-736.0,,-383.3,-693.9,-818.2,-801.4,-669.0,,,,,,,False,,True,False,False,False,False,,
04009,473,119.0,,,,,156.0,,324.0,13.3,0.0,56.5,,,,-354.0,,,,,-317.0,,-149.0,-459.7,-473.0,-416.5,,,,,,,,True,,True,False,False,False,,,
04011,49,7.0,,,,,22.0,,2.6,0.0,,2.0,,,,-42.0,,,,,-27.0,,-46.4,-49.0,,-47.0,,,,,,,,True,,False,False,,False,,,
04012,105,56.0,,,,,46.0,,924.8,3.0,0.0,4.8,,,,-49.0,,,,,-59.0,,819.8,-102.0,-105.0,-100.2,,,,,,,,False,,False,False,False,False,,,
04013,21469,10052.0,,,,,10658.0,,6683.0,7992.2,1609.2,1504.0,5575.7,,,-11417.0,,,,,-10811.0,,-14786.0,-13476.8,-19859.8,-19965.0,-15893.3,,,,,,,True,,False,False,False,False,False,,
04015,658,280.0,,,,,763.0,,737.9,44.9,294.5,143.0,253.7,,,-378.0,,,,,105.0,,79.9,-613.1,-363.5,-515.0,-404.3,,,,,,,True,,True,False,True,False,False,,
04017,861,231.0,,,,,689.0,,305.9,71.2,12.3,72.2,226.7,,,-630.0,,,,,-172.0,,-555.1,-789.8,-848.7,-788.8,-634.3,,,,,,,True,,True,False,False,False,False,,
04019,6241,3661.0,,,,,3127.0,,3085.3,1899.8,2437.3,848.2,1661.6,,,-2580.0,,,,,-3114.0,,-3155.7,-4341.2,-3803.7,-5392.8,-4579.4,,,,,,,False,,False,False,False,False,False,,
04021,1947,1617.0,,,,,1068.0,,2166.9,1056.8,480.1,516.9,1038.8,,,-330.0,,,,,-879.0,,219.9,-890.2,-1466.9,-1430.1,-908.2,,,,,,,False,,True,False,False,False,False,,
04023,267,77.0,,,,,166.0,,286.8,5.6,1.7,15.9,65.0,,,-190.0,,,,,-101.0,,19.8,-261.4,-265.3,-251.1,-202.0,,,,,,,True,,True,False,False,False,False,,
04025,604,448.0,,,,,612.0,,605.2,210.8,461.5,373.9,247.4,,,-156.0,,,,,8.0,,1.2,-393.2,-142.5,-230.1,-356.6,,,,,,,True,,True,False,True,False,False,,
04027,1553,469.0,,,,,868.0,,522.2,98.6,12.3,70.0,2376.0,,,-1084.0,,,,,-685.0,,-1030.8,-1454.4,-1540.7,-1483.0,823.0,,,,,,,True,,True,False,False,False,True,,
05001,398,119.0,,,,,178.0,,444.5,26.8,20.7,84.7,,,,-279.0,,,,,-220.0,,46.5,-371.2,-377.3,-313.3,,,,,,,,True,,True,False,False,False,,,
05003,165,63.0,,,,,100.0,,312.6,14.4,0.1,0.8,,,,-102.0,,,,,-65.0,,147.6,-150.6,-164.9,-164.2,,,,,,,,True,,False,False,False,False,,,
05005,550,364.0,,,,,186.0,,553.4,165.0,334.6,354.6,,,,-186.0,,,,,-364.0,,3.4,-385.0,-215.4,-195.4,,,,,,,,False,,True,False,False,False,,,
05007,2677,1631.0,,,,,3277.0,,1631.4,506.8,338.5,520.0,697.5,,,-1046.0,,,,,600.0,,-1045.6,-2170.2,-2338.5,-2157.0,-1979.5,,,,,,,True,,True,False,False,False,False,,
05009,611,588.0,,,,,427.0,,968.3,969.5,325.5,210.1,,,,-23.0,,,,,-184.0,,357.3,358.5,-285.5,-400.9,,,,,,,,False,,False,False,False,False,,,
05011,53,119.0,,,,,86.0,,90.9,6.5,0.0,24.4,,,,66.0,,,,,33.0,,37.9,-46.5,-53.0,-28.6,,,,,,,,True,,True,True,True,True,,,
05013,29,35.0,,,,,17.0,,20.5,,,0.1,,,,6.0,,,,,-12.0,,-8.5,,,-28.9,,,,,,,,False,,False,,,False,,,
05015,496,399.0,,,,,346.0,,700.1,135.2,159.5,172.8,,,,-97.0,,,,,-150.0,,204.1,-360.8,-336.5,-323.2,,,,,,,,False,,False,False,False,False,,,
05017,79,49.0,,,,,106.0,,37.8,3.3,0.7,11.5,,,,-30.0,,,,,27.0,,-41.2,-75.7,-78.3,-67.5,,,,,,,,True,,False,False,False,False,,,
05019,245,140.0,,,,,167.0,,1171.7,13.8,108.6,22.0,,,,-105.0,,,,,-78.0,,926.7,-231.2,-136.4,-223.0,,,,,,,,True,,False,False,False,False,,,
05021,281,182.0,,,,,147.0,,891.0,90.4,68.4,49.8,,,,-99.0,,,,,-134.0,,610.0,-190.6,-212.6,-231.2,,,,,,,,False,,False,False,False,False,,,
05023,183,203.0,,,,,183.0,,399.4,118.8,78.0,2.2,,,,20.0,,,,,0.0,,216.4,-64.2,-105.0,-180.8,,,,,,,,True,,False,False,False,False,,,
05025,97,112.0,,,,,32.0,,71.1,22.5,4.1,11.3,,,,15.0,,,,,-65.0,,-25.9,-74.5,-92.9,-85.7,,,,,,,,False,,False,False,False,False,,,
05027,408,154.0,,,,,103.0,,432.8,62.5,0.0,26.1,,,,-254.0,,,,,-305.0,,24.8,-345.5,-408.0,-381.9,,,,,,,,False,,True,False,False,False,,,
05029,128,105.0,,,,,319.0,,653.5,32.6,134.2,13.2,,,,-23.0,,,,,191.0,,525.5,-95.4,6.2,-114.8,,,,,,,,False,,False,False,True,False,,,
05031,2484,2205.0,,,,,1877.0,,2246.5,640.7,870.5,662.8,1252.7,,,-279.0,,,,,-607.0,,-237.5,-1843.3,-1613.5,-1821.2,-1231.3,,,,,,,False,,True,False,False,False,False,,
05033,1070,749.0,,,,,805.0,,1119.5,277.1,407.4,323.6,,,,-321.0,,,,,-265.0,,49.5,-792.9,-662.6,-746.4,,,,,,,,True,,True,False,False,False,,,
05035,714,672.0,,,,,599.0,,1613.6,116.2,8.2,143.9,543.3,,,-42.0,,,,,-115.0,,899.6,-597.8,-705.8,-570.1,-170.7,,,,,,,False,,False,False,False,False,False,,
05037,251,406.0,,,,,211.0,,783.6,61.0,113.0,173.9,,,,155.0,,,,,-40.0,,532.6,-190.0,-138.0,-77.1,,,,,,,,True,,False,False,True,True,,,
05039,32,126.0,,,,,30.0,,98.3,52.3,0.0,1.6,,,,94.0,,,,,-2.0,,66.3,20.3,-32.0,-30.4,,,,,,,,True,,True,True,True,True,,,
05041,164,56.0,,,,,89.0,,52.0,12.0,0.0,30.4,,,,-108.0,,,,,-75.0,,-112.0,-152.0,-164.0,-133.6,,,,,,,,True,,False,False,False,False,,,
05043,109,154.0,,,,,166.0,,338.7,19.5,0.0,6.9,,,,45.0,,,,,57.0,,229.7,-89.5,-109.0,-102.1,,,,,,,,False,,False,False,False,False,,,
05045,1538,1344.0,,,,,1523.0,,1068.0,1771.3,551.9,307.1,714.8,,,-194.0,,,,,-15.0,,-470.0,233.3,-986.1,-1230.9,-823.2,,,,,,,True,,False,False,False,False,False,,
05047,362,182.0,,,,,198.0,,787.1,142.2,98.1,131.4,,,,-180.0,,,,,-164.0,,425.1,-219.8,-263.9,-230.6,,,,,,,,True,,False,False,False,False,,,
05049,245,98.0,,,,,54.0,,165.8,28.0,,46.2,,,,-147.0,,,,,-191.0,,-79.2,-217.0,,-198.8,,,,,,,,False,,True,False,,False,,,
05051,1010,763.0,,,,,1018.0,,863.3,574.1,579.1,389.1,533.1,,,-247.0,,,,,8.0,,-146.7,-435.9,-430.9,-620.9,-476.9,,,,,,,True,,True,False,False,False,False,,
05053,159,133.0,,,,,67.0,,120.5,48.1,125.1,42.6,,,,-26.0,,,,,-92.0,,-38.5,-110.9,-33.9,-116.4,,,,,,,,False,,False,False,False,False,,,
