,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha
Georgia,21406,18230.0,21155.8,18618.8,16311.0,21865.0,,16011.7,9714.0,18440.7,,13803.0,18409.6,14711.9,22641.1,13102.8,11940.3,15608.4,19898.3,19030.5,21010.0,,23244.0,531.6,15341.5,21286.8,18177.0,-3176.0,-250.2,-2787.2,-5095.0,459.0,,-5394.3,-11692.0,-2965.3,,-7603.0,-2996.4,-6694.1,1235.1,-8303.2,-9465.7,-5797.6,-1507.7,-2375.5,-396.0,,1838.0,-20874.4,-6064.5,-119.2,-3229.0,True,True,False,True,,False,False,True,,False,True,False,True,False,False,False,True,True,True,,True,False,False,True,False
Hawaii,1141,1156.0,1121.5,1152.2,1135.0,1059.0,,1251.6,311.0,943.5,,,1516.9,1247.4,1246.4,1937.1,1153.6,1038.6,1163.8,1482.2,1094.0,,966.0,987.6,891.6,1061.4,962.0,15.0,-19.5,11.2,-6.0,-82.0,,110.6,-830.0,-197.5,,,375.9,106.4,105.4,796.1,12.6,-102.4,22.8,341.2,-47.0,,-175.0,-153.4,-249.4,-79.6,-179.0,False,True,True,False,,False,False,False,,,False,False,False,False,True,False,False,False,False,,False,False,False,False,False
Idaho,12026,9762.0,8023.1,9727.5,9465.0,9861.0,,8255.3,2634.0,15173.7,,6584.0,9261.4,10793.6,10775.3,4337.9,14931.3,8269.7,10962.0,10179.3,13660.0,,11596.6,1781.5,6894.5,9409.4,10291.0,-2264.0,-4002.9,-2298.5,-2561.0,-2165.0,,-3770.7,-9392.0,3147.7,,-5442.0,-2764.6,-1232.4,-1250.7,-7688.1,2905.3,-3756.3,-1064.0,-1846.7,1634.0,,-429.4,-10244.5,-5131.5,-2616.6,-1735.0,False,False,False,True,,False,False,False,,False,False,True,True,False,False,False,True,True,True,,True,False,False,False,True
Illinois,73161,47870.0,65566.9,47495.1,46996.0,56028.0,,41253.6,13141.0,52217.1,,35012.0,37429.1,37590.3,42181.7,28248.6,55550.7,51628.8,62048.9,38347.4,60853.0,,65495.7,35506.1,38753.9,47149.4,57745.0,-25291.0,-7594.1,-25665.9,-26165.0,-17133.0,,-31907.4,-60020.0,-20943.9,,-38149.0,-35731.9,-35570.7,-30979.3,-44912.4,-17610.3,-21532.2,-11112.1,-34813.6,-12308.0,,-7665.3,-37654.9,-34407.1,-26011.6,-15416.0,True,False,False,True,,False,False,True,,False,False,False,False,False,True,True,True,False,True,,True,False,False,False,True
Indiana,33381,25132.0,34691.1,25199.5,24708.0,31739.0,,22211.7,11237.0,25585.3,,18045.0,20780.9,23016.8,25882.9,19113.0,28943.2,21725.4,28634.6,23032.0,33545.0,,29541.0,18856.4,19757.6,35730.8,32387.0,-8249.0,1310.1,-8181.5,-8673.0,-1642.0,,-11169.3,-22144.0,-7795.7,,-15336.0,-12600.1,-10364.2,-7498.1,-14268.0,-4437.8,-11655.6,-4746.4,-10349.0,164.0,,-3840.0,-14524.6,-13623.4,2349.8,-994.0,True,True,False,True,,False,False,True,,False,False,False,True,False,True,False,True,False,True,,True,False,False,True,True
Iowa,21812,15312.0,13557.6,15251.8,15088.0,16716.0,,14599.2,9452.0,18515.6,,12647.0,16149.0,16947.3,18277.8,6463.2,16644.5,10726.9,15428.6,15669.3,19828.0,,17200.9,3303.0,11030.3,14945.0,17249.0,-6500.0,-8254.4,-6560.2,-6724.0,-5096.0,,-7212.8,-12360.0,-3296.4,,-9165.0,-5663.0,-4864.7,-3534.2,-15348.8,-5167.5,-11085.1,-6383.4,-6142.7,-1984.0,,-4611.1,-18509.0,-10781.7,-6867.0,-4563.0,False,False,False,True,,False,False,True,,False,True,True,True,False,True,False,True,True,True,,True,False,False,False,True
Kansas,14294,9968.0,10878.8,10042.6,9652.0,9830.0,,9078.3,6084.0,11572.6,,11165.0,10383.5,16534.8,11446.8,5549.6,9093.5,6161.4,9552.6,10309.6,12526.0,,11517.2,7644.0,8275.1,10276.1,8903.0,-4326.0,-3415.2,-4251.4,-4642.0,-4464.0,,-5215.7,-8210.0,-2721.4,,-3129.0,-3910.5,2240.8,-2847.2,-8744.4,-5200.5,-8132.6,-4741.4,-3984.4,-1768.0,,-2776.8,-6650.0,-6018.9,-4017.9,-5391.0,True,True,False,False,,False,False,True,,True,True,True,True,False,False,False,False,True,True,,True,False,False,True,False
Kentucky,20422,14704.0,22976.7,14683.8,14730.0,17707.0,,14638.3,13473.0,26617.9,,15195.0,16049.4,14312.6,15214.0,9132.3,19448.4,12211.9,15822.2,16654.4,19132.0,,18170.2,11035.7,10441.1,15615.0,16407.0,-5718.0,2554.7,-5738.2,-5692.0,-2715.0,,-5783.7,-6949.0,6195.9,,-5227.0,-4372.6,-6109.4,-5208.0,-11289.7,-973.6,-8210.1,-4599.8,-3767.6,-1290.0,,-2251.8,-9386.3,-9980.9,-4807.0,-4015.0,True,False,True,True,,False,False,False,,True,True,False,True,False,True,False,True,True,True,,True,False,False,True,True
Louisiana,8923,7520.0,5821.5,7603.4,6437.0,7686.0,,6606.3,2585.0,19646.3,,6628.0,6926.3,6063.4,9836.8,6350.4,5372.3,7488.8,8175.0,8501.1,7205.0,,6125.5,0.0,5637.2,9849.1,5441.0,-1403.0,-3101.5,-1319.6,-2486.0,-1237.0,,-2316.7,-6338.0,10723.3,,-2295.0,-1996.7,-2859.6,913.8,-2572.6,-3550.7,-1434.2,-748.0,-421.9,-1718.0,,-2797.5,-8923.0,-3285.8,926.1,-3482.0,False,True,False,True,,False,False,False,,False,False,False,True,False,False,False,True,True,False,,False,False,False,True,False
Maine,750,434.0,1338.6,434.5,439.0,448.0,,386.7,263.0,531.1,,565.0,483.9,482.8,450.2,731.8,550.8,349.3,434.4,670.1,490.0,,462.5,308.6,372.4,426.4,423.0,-316.0,588.6,-315.5,-311.0,-302.0,,-363.3,-487.0,-218.9,,-185.0,-266.1,-267.2,-299.8,-18.2,-199.2,-400.7,-315.6,-79.9,-260.0,,-287.5,-441.4,-377.6,-323.6,-327.0,False,True,True,True,,False,False,True,,True,True,True,True,True,True,False,True,True,True,,True,False,False,False,False
Maryland,10154,8664.0,11199.4,8690.1,8089.0,9204.0,,7987.8,3022.0,10299.3,,7779.0,8645.0,6392.3,9207.9,8956.4,7619.2,7385.0,9529.6,9274.7,10298.0,,10003.3,7290.4,7528.1,9749.2,9257.0,-1490.0,1045.4,-1463.9,-2065.0,-950.0,,-2166.2,-7132.0,145.3,,-2375.0,-1509.0,-3761.7,-946.1,-1197.6,-2534.8,-2769.0,-624.4,-879.3,144.0,,-150.7,-2863.6,-2625.9,-404.8,-897.0,True,True,False,True,,False,False,True,,False,False,False,True,True,False,False,True,True,True,,True,False,False,True,True
Massachusetts,15646,9180.0,11815.0,9199.4,8710.0,9008.0,,8024.3,2593.0,13644.0,,6575.0,8696.7,7505.1,9173.6,9587.4,11954.0,7506.4,9667.3,9686.2,9765.0,,9275.4,5526.5,7303.1,6946.4,9317.0,-6466.0,-3831.0,-6446.6,-6936.0,-6638.0,,-7621.7,-13053.0,-2002.0,,-9071.0,-6949.3,-8140.9,-6472.4,-6058.6,-3692.0,-8139.6,-5978.7,-5959.8,-5881.0,,-6370.6,-10119.5,-8342.9,-8699.6,-6329.0,True,True,False,False,,False,False,True,,False,False,False,False,True,True,False,True,True,True,,True,False,False,False,True
Michigan,36301,23304.0,35962.0,23174.0,22748.0,30398.0,,19475.1,2283.0,19380.3,,17104.0,18322.4,17966.4,24494.1,28448.8,29195.5,11347.4,24450.1,20614.2,31399.0,,30924.7,20372.1,19375.7,13192.6,28236.0,-12997.0,-339.0,-13127.0,-13553.0,-5903.0,,-16825.9,-34018.0,-16920.7,,-19197.0,-17978.6,-18334.6,-11806.9,-7852.2,-7105.5,-24953.6,-11850.9,-15686.8,-4902.0,,-5376.3,-15928.9,-16925.3,-23108.4,-8065.0,True,False,False,True,,False,False,False,,False,False,False,True,True,True,False,True,False,True,,True,False,False,False,True
Minnesota,27382,20524.0,28396.5,20523.8,20505.0,24294.0,,17735.8,18725.0,21579.8,,19726.0,18899.4,18218.2,22151.1,11272.3,21622.2,21088.4,23629.5,20602.4,27097.0,,22507.8,11908.6,16449.1,23661.9,21909.0,-6858.0,1014.5,-6858.2,-6877.0,-3088.0,,-9646.2,-8657.0,-5802.2,,-7656.0,-8482.6,-9163.8,-5230.9,-16109.7,-5759.8,-6293.6,-3752.5,-6779.6,-285.0,,-4874.2,-15473.4,-10932.9,-3720.1,-5473.0,True,False,False,True,,False,False,True,,False,False,False,True,False,True,True,True,True,True,,True,False,False,True,True
Mississippi,10154,10736.0,12067.2,10871.0,10237.0,11008.0,,8409.7,3463.0,7625.1,,7825.0,9009.3,8760.3,12357.8,4052.6,15211.0,6691.9,10237.7,11020.8,13667.0,,13362.3,728.2,8005.6,10963.8,11020.0,582.0,1913.2,717.0,83.0,854.0,,-1744.3,-6691.0,-2528.9,,-2329.0,-1144.7,-1393.7,2203.8,-6101.4,5057.0,-3462.1,83.7,866.8,3513.0,,3208.3,-9425.8,-2148.4,809.8,866.0,False,False,True,False,,False,False,False,,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False
Missouri,28884,22852.0,26356.7,23092.9,23892.0,23228.0,,23753.8,17434.0,27472.3,,24122.0,24558.0,29961.8,25690.4,11729.0,31567.9,25255.8,24356.1,24950.5,36608.0,,26808.8,16073.9,15498.1,25470.3,24210.0,-6032.0,-2527.3,-5791.1,-4992.0,-5656.0,,-5130.2,-11450.0,-1411.7,,-4762.0,-4326.0,1077.8,-3193.6,-17155.0,2683.9,-3628.2,-4527.9,-3933.5,7724.0,,-2075.2,-12810.1,-13385.9,-3413.7,-4674.0,True,True,True,True,,True,False,True,,True,True,True,True,False,True,True,True,True,False,,True,False,False,True,True
Montana,10576,8216.0,12420.1,8418.4,8419.0,6638.0,,8648.7,5048.0,7892.2,,9030.0,9798.8,19733.5,8643.9,1582.7,8354.9,8046.4,8932.8,8887.1,12700.0,,10493.4,9927.1,5188.1,11714.5,8072.0,-2360.0,1844.1,-2157.6,-2157.0,-3938.0,,-1927.3,-5528.0,-2683.8,,-1546.0,-777.2,9157.5,-1932.1,-8993.3,-2221.1,-2529.6,-1643.2,-1688.9,2124.0,,-82.6,-648.9,-5387.9,1138.5,-2504.0,True,True,True,False,,True,False,False,,True,True,False,True,False,True,False,True,True,True,,True,True,False,True,False
Nebraska,13400,10890.0,16641.4,10918.0,10925.0,11714.0,,10209.0,10363.0,14617.7,,8599.0,9533.1,14561.8,13011.1,6376.5,12932.6,9823.7,12804.9,11689.0,15527.0,,13882.0,3379.7,8499.6,13944.6,13427.0,-2510.0,3241.4,-2482.0,-2475.0,-1686.0,,-3191.0,-3037.0,1217.7,,-4801.0,-3866.9,1161.8,-388.9,-7023.5,-467.4,-3576.3,-595.1,-1711.0,2127.0,,482.0,-10020.3,-4900.4,544.6,27.0,False,True,True,True,,False,False,True,,False,False,True,True,False,True,False,True,True,True,,True,False,False,True,True
Nevada,11109,8506.0,11275.4,8485.4,8117.0,10631.0,,7933.0,2136.0,8096.2,,6055.0,8078.8,7174.1,7559.2,4411.4,12814.3,7976.5,10394.9,10043.0,12327.0,,10066.4,0.0,6295.4,9425.0,9869.0,-2603.0,166.4,-2623.6,-2992.0,-478.0,,-3176.0,-8973.0,-3012.8,,-5054.0,-3030.2,-3934.9,-3549.8,-6697.6,1705.3,-3132.5,-714.1,-1066.0,1218.0,,-1042.6,-11109.0,-4813.6,-1684.0,-1240.0,True,False,False,True,,False,False,False,,False,False,False,False,False,True,False,True,True,True,,True,False,False,True,True
New Hampshire,1459,1066.0,727.5,1111.6,1069.0,1305.0,,1093.1,1525.0,1109.8,,962.0,996.5,1204.1,1220.1,1461.1,1598.2,669.3,913.7,1320.7,1665.0,,1463.4,696.5,877.7,1094.6,1280.0,-393.0,-731.5,-347.4,-390.0,-154.0,,-365.9,66.0,-349.2,,-497.0,-462.5,-254.9,-238.9,2.1,139.2,-789.7,-545.3,-138.3,206.0,,4.4,-762.5,-581.3,-364.4,-179.0,False,True,True,True,,True,True,True,,False,False,True,True,True,True,False,False,True,True,,True,False,False,True,True
New Jersey,19148,11722.0,11747.1,11701.0,11722.0,13621.0,,10714.9,4633.0,17285.9,,11459.0,10845.0,8331.1,12685.9,20052.9,15937.6,10151.6,13545.9,13049.2,11798.0,,13186.4,5965.1,9714.4,8973.3,12505.0,-7426.0,-7400.9,-7447.0,-7426.0,-5527.0,,-8433.1,-14515.0,-1862.1,,-7689.0,-8303.0,-10816.9,-6462.1,904.9,-3210.4,-8996.4,-5602.1,-6098.8,-7350.0,,-5961.6,-13182.9,-9433.6,-10174.7,-6643.0,True,False,False,True,,False,False,True,,False,False,False,True,True,True,False,True,True,True,,True,False,False,False,True
New Mexico,10147,7242.0,9766.9,7371.4,7190.0,8497.0,,6298.8,1063.0,6992.8,,6481.0,5097.2,6853.8,6969.7,3908.0,12248.3,6814.8,8758.2,7388.5,10555.0,,9828.4,2310.1,5064.2,10277.8,8240.0,-2905.0,-380.1,-2775.6,-2957.0,-1650.0,,-3848.2,-9084.0,-3154.2,,-3666.0,-5049.8,-3293.2,-3177.3,-6239.0,2101.3,-3332.2,-1388.8,-2758.5,408.0,,-318.6,-7836.9,-5082.8,130.8,-1907.0,True,True,False,True,,False,False,False,,False,False,False,False,False,True,False,True,True,True,,True,False,False,True,True
New York,25554,19496.0,9910.9,18975.1,18722.0,21563.0,,11207.8,9134.0,26492.5,,13623.0,18446.8,16714.1,19952.9,34311.8,32919.2,17010.1,21891.5,20280.5,21606.0,,20011.7,10813.7,13738.9,15392.3,19143.0,-6058.0,-15643.1,-6578.9,-6832.0,-3991.0,,-14346.2,-16420.0,938.5,,-11931.0,-7107.2,-8839.9,-5601.1,8757.8,7365.2,-8543.9,-3662.5,-5273.5,-3948.0,,-5542.3,-14740.3,-11815.1,-10161.7,-6411.0,False,False,False,True,,False,False,True,,False,False,False,True,False,False,False,True,True,True,,True,False,False,False,False
North Carolina,30910,27946.0,47615.3,27816.5,27946.0,31347.0,,25442.5,12473.0,29100.6,,24216.0,26472.5,26908.2,31317.3,15151.2,31329.4,27234.2,34056.7,27788.3,39841.0,,33111.9,9029.4,20835.7,25748.7,29980.0,-2964.0,16705.3,-3093.5,-2964.0,437.0,,-5467.5,-18437.0,-1809.4,,-6694.0,-4437.5,-4001.8,407.3,-15758.8,419.4,-3675.8,3146.7,-3121.7,8931.0,,2201.9,-21880.6,-10074.3,-5161.3,-930.0,False,False,False,True,,False,False,True,,False,False,False,True,False,True,False,False,False,False,,True,False,False,False,True
North Dakota,12655,9268.0,9438.1,9075.7,9076.0,8055.0,,7792.6,6114.0,10212.5,,7385.0,9061.9,11979.4,9254.3,1886.9,9846.2,9302.0,10752.9,8599.7,12043.0,,11095.3,5025.0,6755.4,10723.6,10768.0,-3387.0,-3216.9,-3579.3,-3579.0,-4600.0,,-4862.4,-6541.0,-2442.5,,-5270.0,-3593.1,-675.6,-3400.7,-10768.1,-2808.8,-3353.0,-1902.1,-4055.3,-612.0,,-1559.7,-7630.0,-5899.6,-1931.4,-1887.0,True,False,False,False,,False,False,True,,False,False,True,False,False,True,True,True,False,True,,True,False,False,True,True
Ohio,35472,25534.0,14266.1,25832.7,24214.0,33123.0,,22621.1,10570.0,25951.2,,21939.0,21217.2,24214.6,25743.1,27252.1,34360.2,21512.7,31442.1,24888.9,35149.0,,33253.5,5439.8,19471.3,27443.2,27293.0,-9938.0,-21205.9,-9639.3,-11258.0,-2349.0,,-12850.9,-24902.0,-9520.8,,-13533.0,-14254.8,-11257.4,-9728.9,-8219.9,-1111.8,-13959.3,-4029.9,-10583.1,-323.0,,-2218.5,-30032.2,-16000.7,-8028.8,-8179.0,False,True,False,True,,False,False,True,,False,False,False,True,True,True,False,True,False,True,,True,False,False,True,True
Oklahoma,16294,15694.0,28755.3,15747.3,16043.0,16325.0,,15224.4,10260.0,18949.8,,16370.0,19377.2,16836.9,16714.0,9516.8,19036.5,12107.7,16487.3,18919.3,20172.0,,17709.5,10081.0,10237.9,16578.5,15242.0,-600.0,12461.3,-546.7,-251.0,31.0,,-1069.6,-6034.0,2655.8,,76.0,3083.2,542.9,420.0,-6777.2,2742.5,-4186.3,193.3,2625.3,3878.0,,1415.5,-6213.0,-6056.1,284.5,-1052.0,False,True,True,True,,False,False,False,,True,False,True,True,False,False,False,True,False,False,,False,False,False,True,False
Oregon,5606,4782.0,3740.3,4824.5,4692.0,5345.0,,4755.4,1697.0,4629.6,,4644.0,5118.8,5895.7,5429.6,5872.0,4152.5,3813.8,4758.7,5784.0,6465.0,,4993.0,2060.3,3218.1,4870.0,5280.0,-824.0,-1865.7,-781.5,-914.0,-261.0,,-850.6,-3909.0,-976.4,,-962.0,-487.2,289.7,-176.4,266.0,-1453.5,-1792.2,-847.3,178.0,859.0,,-613.0,-3545.7,-2387.9,-736.0,-326.0,False,True,False,True,,False,False,False,,False,True,True,True,True,False,False,False,True,False,,True,False,False,True,True
Pennsylvania,27123,19742.0,18849.0,19670.1,19742.0,22947.0,,18568.9,8802.0,25142.4,,18615.0,18505.0,19545.5,21110.5,25286.5,28347.8,15047.3,21327.0,20234.0,26325.0,,22323.0,13307.6,13966.5,18398.1,22242.0,-7381.0,-8274.0,-7452.9,-7381.0,-4176.0,,-8554.1,-18321.0,-1980.6,,-8508.0,-8618.0,-7577.5,-6012.5,-1836.5,1224.8,-12075.7,-5796.0,-6889.0,-798.0,,-4800.0,-13815.4,-13156.5,-8724.9,-4881.0,False,False,False,True,,False,False,True,,False,False,False,True,True,True,False,True,True,True,,True,False,False,False,True
