,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01059,573,512.0,,,,691.0,,346.3,74.5,357.2,,,-61.0,,,,118.0,,-226.7,-498.5,-215.8,,,,,,False,,False,False,False,,
01061,503,160.0,,,,327.0,,169.8,85.1,114.0,,,-343.0,,,,-176.0,,-333.2,-417.9,-389.0,,,,,,True,,True,False,False,,
01063,56,64.0,,,,46.0,,0.2,106.0,33.9,,,8.0,,,,-10.0,,-55.8,50.0,-22.1,,,,,,False,,False,False,False,,
01065,221,72.0,,,,154.0,,1.5,16.9,124.3,,,-149.0,,,,-67.0,,-219.5,-204.1,-96.7,,,,,,True,,False,False,True,,
01067,338,200.0,,,,150.0,,61.6,84.0,199.2,,,-138.0,,,,-188.0,,-276.4,-254.0,-138.8,,,,,,False,,False,False,False,,
01069,2066,800.0,,,,1130.0,,444.5,226.6,537.4,,,-1266.0,,,,-936.0,,-1621.5,-1839.5,-1528.6,,,,,,True,,False,False,False,,
01071,987,440.0,,,,506.0,,199.1,50.1,303.0,,,-547.0,,,,-481.0,,-787.9,-936.9,-684.0,,,,,,True,,False,False,False,,
01073,7313,7160.0,,,,5722.0,,849.0,2064.3,4116.5,,,-153.0,,,,-1591.0,,-6464.0,-5248.7,-3196.5,,,,,,False,,False,False,False,,
01075,232,96.0,,,,195.0,,46.5,20.6,38.5,,,-136.0,,,,-37.0,,-185.5,-211.4,-193.5,,,,,,True,,False,False,False,,
01077,1243,552.0,,,,1338.0,,230.4,103.6,281.2,,,-691.0,,,,95.0,,-1012.6,-1139.4,-961.8,,,,,,True,,False,False,False,,
01079,404,472.0,,,,402.0,,124.2,26.9,352.5,,,68.0,,,,-2.0,,-279.8,-377.1,-51.5,,,,,,True,,False,False,True,,
01081,1645,2128.0,,,,2358.0,,660.4,412.9,1252.9,,,483.0,,,,713.0,,-984.6,-1232.1,-392.1,,,,,,False,,False,False,True,,
01083,1330,640.0,,,,1121.0,,282.3,282.9,359.9,,,-690.0,,,,-209.0,,-1047.7,-1047.1,-970.1,,,,,,True,,False,False,False,,
01085,103,32.0,,,,110.0,,0.5,8.6,22.5,,,-71.0,,,,7.0,,-102.5,-94.4,-80.5,,,,,,True,,False,False,False,,
01087,113,152.0,,,,81.0,,0.0,42.5,113.4,,,39.0,,,,-32.0,,-113.0,-70.5,0.4,,,,,,True,,False,False,True,,
01089,3132,3056.0,,,,2933.0,,439.2,660.2,1318.4,,,-76.0,,,,-199.0,,-2692.8,-2471.8,-1813.6,,,,,,False,,False,False,False,,
01091,409,160.0,,,,274.0,,0.5,36.4,137.3,,,-249.0,,,,-135.0,,-408.5,-372.6,-271.7,,,,,,True,,False,False,False,,
01093,326,168.0,,,,389.0,,83.2,56.3,67.7,,,-158.0,,,,63.0,,-242.8,-269.7,-258.3,,,,,,True,,False,False,False,,
01095,947,168.0,,,,1215.0,,39.6,64.5,443.8,,,-779.0,,,,268.0,,-907.4,-882.5,-503.2,,,,,,True,,False,False,True,,
01097,4812,2624.0,,,,3136.0,,995.1,236.2,5109.5,,,-2188.0,,,,-1676.0,,-3816.9,-4575.8,297.5,,,,,,True,,False,False,True,,
01099,114,0.0,,,,231.0,,27.4,2.4,12.1,,,-114.0,,,,117.0,,-86.6,-111.6,-101.9,,,,,,False,,True,True,True,,
01101,2615,1928.0,,,,2153.0,,215.2,412.9,1812.0,,,-687.0,,,,-462.0,,-2399.8,-2202.1,-803.0,,,,,,True,,False,False,False,,
01103,1531,752.0,,,,1324.0,,192.8,256.9,330.1,,,-779.0,,,,-207.0,,-1338.2,-1274.1,-1200.9,,,,,,True,,False,False,False,,
01105,83,24.0,,,,64.0,,0.0,5.5,26.8,,,-59.0,,,,-19.0,,-83.0,-77.5,-56.2,,,,,,True,,False,False,True,,
01107,354,120.0,,,,253.0,,1.8,6.3,85.5,,,-234.0,,,,-101.0,,-352.2,-347.7,-268.5,,,,,,True,,False,False,False,,
01109,349,232.0,,,,735.0,,0.2,108.8,196.0,,,-117.0,,,,386.0,,-348.8,-240.2,-153.0,,,,,,False,,False,False,False,,
01111,324,248.0,,,,235.0,,40.0,58.8,139.6,,,-76.0,,,,-89.0,,-284.0,-265.1,-184.4,,,,,,False,,False,False,False,,
01113,366,232.0,,,,661.0,,91.3,60.9,282.2,,,-134.0,,,,295.0,,-274.7,-305.1,-83.8,,,,,,False,,False,False,True,,
01115,1290,616.0,,,,735.0,,203.3,65.3,290.1,,,-674.0,,,,-555.0,,-1086.7,-1224.7,-999.9,,,,,,True,,False,False,False,,
01117,2931,2696.0,,,,1806.0,,1126.9,318.8,1234.6,,,-235.0,,,,-1125.0,,-1804.1,-2612.2,-1696.4,,,,,,False,,False,False,False,,
01119,74,64.0,,,,100.0,,0.2,10.2,52.3,,,-10.0,,,,26.0,,-73.8,-63.8,-21.7,,,,,,False,,False,False,False,,
01121,972,112.0,,,,738.0,,274.0,45.6,184.1,,,-860.0,,,,-234.0,,-698.0,-926.4,-787.9,,,,,,True,,True,False,True,,
01123,327,152.0,,,,432.0,,37.6,19.7,121.6,,,-175.0,,,,105.0,,-289.4,-307.3,-205.4,,,,,,True,,False,False,False,,
01125,4559,1616.0,,,,3314.0,,796.3,951.6,1012.0,,,-2943.0,,,,-1245.0,,-3762.7,-3607.4,-3547.0,,,,,,True,,False,False,False,,
01127,945,800.0,,,,818.0,,83.7,392.5,284.2,,,-145.0,,,,-127.0,,-861.3,-552.5,-660.8,,,,,,True,,False,False,False,,
01129,248,32.0,,,,191.0,,0.0,6.4,45.3,,,-216.0,,,,-57.0,,-248.0,-241.6,-202.7,,,,,,True,,False,False,True,,
01131,58,0.0,,,,87.0,,0.3,3.2,27.8,,,-58.0,,,,29.0,,-57.7,-54.8,-30.2,,,,,,True,,True,True,True,,
01133,382,200.0,,,,322.0,,102.2,147.4,141.4,,,-182.0,,,,-60.0,,-279.8,-234.6,-240.6,,,,,,True,,False,False,False,,
02013,6,0.0,,,,,,,0.0,0.5,,,-6.0,,,,,,,-6.0,-5.5,,,,,,,,,False,True,,
02016,5,0.0,,,,,,,0.4,0.5,,,-5.0,,,,,,,-4.6,-4.5,,,,,,,,,True,True,,
02020,4980,2256.0,,,,,,1388.6,952.6,969.0,,,-2724.0,,,,,,-3591.4,-4027.4,-4011.0,,,,,,,,False,False,False,,
02050,414,16.0,,,,,,,35.2,28.6,,,-398.0,,,,,,,-378.8,-385.4,,,,,,,,,True,True,,
02060,0,0.0,,,,,,,8.5,,,,0.0,,,,,,,8.5,,,,,,,,,,False,,,
02068,25,8.0,,,,,,,0.1,,,,-17.0,,,,,,,-24.9,,,,,,,,,,False,,,
02070,34,0.0,,,,,,,0.6,0.7,,,-34.0,,,,,,,-33.4,-33.3,,,,,,,,,True,True,,
02090,1481,880.0,,,,,,638.7,1634.0,398.6,,,-601.0,,,,,,-842.3,153.0,-1082.4,,,,,,,,False,True,False,,
02100,5,0.0,,,,,,,0.0,2.0,,,-5.0,,,,,,,-5.0,-3.0,,,,,,,,,True,True,,
02105,0,0.0,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,True,,,
02110,308,120.0,,,,,,137.0,46.0,84.5,,,-188.0,,,,,,-171.0,-262.0,-223.5,,,,,,,,True,False,False,,
02122,495,96.0,,,,,,264.5,12.5,87.8,,,-399.0,,,,,,-230.5,-482.5,-407.2,,,,,,,,True,False,False,,
02130,22,24.0,,,,,,,0.7,30.0,,,2.0,,,,,,,-21.3,8.0,,,,,,,,,False,False,,
02150,59,24.0,,,,,,,11.9,,,,-35.0,,,,,,,-47.1,,,,,,,,,,False,,,
02158,231,0.0,,,,,,,0.0,0.8,,,-231.0,,,,,,,-231.0,-230.2,,,,,,,,,True,True,,
02164,36,0.0,,,,,,,0.0,,,,-36.0,,,,,,,-36.0,,,,,,,,,,False,,,
02170,934,272.0,,,,,,816.8,102.2,131.5,,,-662.0,,,,,,-117.2,-831.8,-802.5,,,,,,,,True,False,False,,
02180,90,64.0,,,,,,,6.5,,,,-26.0,,,,,,,-83.5,,,,,,,,,,False,,,
02185,219,96.0,,,,,,,54.5,,,,-123.0,,,,,,,-164.5,,,,,,,,,,False,,,
02188,186,40.0,,,,,,,0.4,,,,-146.0,,,,,,,-185.6,,,,,,,,,,False,,,
02195,8,0.0,,,,,,,0.0,0.6,,,-8.0,,,,,,,-8.0,-7.4,,,,,,,,,False,True,,
02198,7,32.0,,,,,,,2.4,,,,25.0,,,,,,,-4.6,,,,,,,,,,True,,,
02220,28,0.0,,,,,,,2.7,5.0,,,-28.0,,,,,,,-25.3,-23.0,,,,,,,,,True,True,,
02230,8,0.0,,,,,,,0.0,,,,-8.0,,,,,,,-8.0,,,,,,,,,,False,,,
02240,54,8.0,,,,,,,1.4,,,,-46.0,,,,,,,-52.6,,,,,,,,,,False,,,
02261,47,16.0,,,,,,,0.5,,,,-31.0,,,,,,,-46.5,,,,,,,,,,False,,,
02275,1,8.0,,,,,,,1.8,,,,7.0,,,,,,,0.8,,,,,,,,,,True,,,
02282,14,16.0,,,,,,,9.1,,,,2.0,,,,,,,-4.9,,,,,,,,,,False,,,
02290,46,8.0,,,,,,,0.5,,,,-38.0,,,,,,,-45.5,,,,,,,,,,False,,,
04001,664,152.0,,,,298.0,,5.3,34.4,283.3,,,-512.0,,,,-366.0,,-658.7,-629.6,-380.7,,,,,,True,,False,False,True,,
04003,367,216.0,,,,362.0,,199.6,43.6,173.7,,,-151.0,,,,-5.0,,-167.4,-323.4,-193.3,,,,,,True,,False,False,False,,
04005,2010,648.0,,,,817.0,,105.4,10.3,338.9,,,-1362.0,,,,-1193.0,,-1904.6,-1999.7,-1671.1,,,,,,True,,False,False,False,,
04007,858,192.0,,,,74.0,,28.6,46.8,94.1,,,-666.0,,,,-784.0,,-829.4,-811.2,-763.9,,,,,,False,,False,False,False,,
04009,491,336.0,,,,142.0,,0.0,157.6,482.3,,,-155.0,,,,-349.0,,-491.0,-333.4,-8.7,,,,,,False,,False,False,True,,
04011,51,0.0,,,,16.0,,,9.5,3.4,,,-51.0,,,,-35.0,,,-41.5,-47.6,,,,,,True,,,True,True,,
04012,114,152.0,,,,88.0,,0.0,3.5,64.7,,,38.0,,,,-26.0,,-114.0,-110.5,-49.3,,,,,,True,,False,False,False,,
04013,22905,19736.0,,,,12776.0,,1809.1,412.2,11012.5,,,-3169.0,,,,-10129.0,,-21095.9,-22492.8,-11892.5,,,,,,False,,False,False,False,,
04015,703,1200.0,,,,1154.0,,255.3,273.0,665.1,,,497.0,,,,451.0,,-447.7,-430.0,-37.9,,,,,,True,,True,True,True,,
04017,896,464.0,,,,328.0,,15.7,34.0,385.5,,,-432.0,,,,-568.0,,-880.3,-862.0,-510.5,,,,,,False,,False,False,False,,
04019,6764,5608.0,,,,3013.0,,2079.5,2210.3,2966.1,,,-1156.0,,,,-3751.0,,-4684.5,-4553.7,-3797.9,,,,,,False,,False,False,False,,
04021,2178,3400.0,,,,1198.0,,410.6,498.9,2201.4,,,1222.0,,,,-980.0,,-1767.4,-1679.1,23.4,,,,,,True,,False,False,True,,
04023,278,408.0,,,,201.0,,2.5,28.2,205.5,,,130.0,,,,-77.0,,-275.5,-249.8,-72.5,,,,,,True,,False,False,True,,
04025,668,536.0,,,,843.0,,463.7,133.3,448.4,,,-132.0,,,,175.0,,-204.3,-534.6,-219.6,,,,,,False,,False,False,False,,
04027,1620,784.0,,,,5011.0,,16.4,130.9,2914.9,,,-836.0,,,,3391.0,,-1603.6,-1489.1,1294.9,,,,,,False,,False,False,False,,
05001,415,136.0,,,,203.0,,28.5,10.1,81.3,,,-279.0,,,,-212.0,,-386.5,-404.9,-333.7,,,,,,True,,False,False,False,,
05003,174,8.0,,,,131.0,,0.1,2.4,142.7,,,-166.0,,,,-43.0,,-173.9,-171.6,-31.3,,,,,,True,,False,False,True,,
05005,602,120.0,,,,258.0,,260.0,26.8,183.3,,,-482.0,,,,-344.0,,-342.0,-575.2,-418.7,,,,,,True,,True,False,True,,
05007,2910,2288.0,,,,3195.0,,268.2,966.1,1617.1,,,-622.0,,,,285.0,,-2641.8,-1943.9,-1292.9,,,,,,True,,False,False,False,,
05009,695,616.0,,,,519.0,,329.0,101.2,365.7,,,-79.0,,,,-176.0,,-366.0,-593.8,-329.3,,,,,,False,,False,False,False,,
05011,70,112.0,,,,88.0,,0.0,104.3,173.9,,,42.0,,,,18.0,,-70.0,34.3,103.9,,,,,,True,,False,True,False,,
05013,34,0.0,,,,8.0,,,20.1,,,,-34.0,,,,-26.0,,,-13.9,,,,,,,True,,,True,,,
05015,553,216.0,,,,384.0,,0.1,114.4,99.6,,,-337.0,,,,-169.0,,-552.9,-438.6,-453.4,,,,,,True,,False,False,False,,
05017,86,88.0,,,,123.0,,0.9,26.4,350.0,,,2.0,,,,37.0,,-85.1,-59.5,264.0,,,,,,False,,False,False,False,,
05019,269,232.0,,,,191.0,,89.8,176.1,174.8,,,-37.0,,,,-78.0,,-179.2,-92.9,-94.2,,,,,,False,,False,False,False,,
05021,307,224.0,,,,181.0,,80.8,116.4,165.3,,,-83.0,,,,-126.0,,-226.2,-190.6,-141.7,,,,,,False,,False,False,False,,
05023,212,64.0,,,,280.0,,85.8,1.3,29.6,,,-148.0,,,,68.0,,-126.2,-210.7,-182.4,,,,,,True,,True,False,False,,
05025,113,48.0,,,,32.0,,10.0,5.6,66.4,,,-65.0,,,,-81.0,,-103.0,-107.4,-46.6,,,,,,False,,False,False,True,,
05027,430,192.0,,,,154.0,,0.0,94.2,120.5,,,-238.0,,,,-276.0,,-430.0,-335.8,-309.5,,,,,,False,,False,False,False,,
05029,143,120.0,,,,389.0,,115.4,60.8,66.3,,,-23.0,,,,246.0,,-27.6,-82.2,-76.7,,,,,,False,,False,False,False,,
05031,2799,1544.0,,,,2004.0,,585.5,1039.2,729.2,,,-1255.0,,,,-795.0,,-2213.5,-1759.8,-2069.8,,,,,,True,,False,False,False,,
05033,1177,488.0,,,,959.0,,435.8,257.6,309.4,,,-689.0,,,,-218.0,,-741.2,-919.4,-867.6,,,,,,True,,False,False,False,,
05035,810,544.0,,,,690.0,,8.4,159.8,636.6,,,-266.0,,,,-120.0,,-801.6,-650.2,-173.4,,,,,,True,,False,False,True,,
05037,309,296.0,,,,256.0,,74.2,52.3,239.9,,,-13.0,,,,-53.0,,-234.8,-256.7,-69.1,,,,,,False,,False,False,False,,
05039,50,160.0,,,,32.0,,0.1,66.0,63.9,,,110.0,,,,-18.0,,-49.9,16.0,13.9,,,,,,True,,True,True,True,,
05041,172,120.0,,,,103.0,,0.0,47.7,60.3,,,-52.0,,,,-69.0,,-172.0,-124.3,-111.7,,,,,,False,,False,False,False,,
05043,131,56.0,,,,193.0,,0.0,3.0,89.6,,,-75.0,,,,62.0,,-131.0,-128.0,-41.4,,,,,,True,,False,False,True,,
05045,1730,968.0,,,,1541.0,,483.3,434.6,386.4,,,-762.0,,,,-189.0,,-1246.7,-1295.4,-1343.6,,,,,,True,,False,False,False,,
05047,388,176.0,,,,274.0,,79.0,17.0,88.3,,,-212.0,,,,-114.0,,-309.0,-371.0,-299.7,,,,,,True,,False,False,False,,
05049,259,136.0,,,,69.0,,,50.5,214.0,,,-123.0,,,,-190.0,,,-208.5,-45.0,,,,,,False,,,False,True,,
05051,1119,808.0,,,,1027.0,,498.1,409.5,420.2,,,-311.0,,,,-92.0,,-620.9,-709.5,-698.8,,,,,,True,,False,False,False,,
05053,178,152.0,,,,101.0,,127.7,32.5,63.0,,,-26.0,,,,-77.0,,-50.3,-145.5,-115.0,,,,,,False,,False,False,False,,
05055,968,280.0,,,,594.0,,220.5,121.5,284.1,,,-688.0,,,,-374.0,,-747.5,-846.5,-683.9,,,,,,True,,False,False,True,,
05057,249,48.0,,,,120.0,,0.3,24.1,184.0,,,-201.0,,,,-129.0,,-248.7,-224.9,-65.0,,,,,,True,,False,False,True,,
05059,535,224.0,,,,316.0,,7.8,251.3,60.4,,,-311.0,,,,-219.0,,-527.2,-283.7,-474.6,,,,,,True,,False,True,False,,
05061,183,112.0,,,,91.0,,0.7,66.6,79.1,,,-71.0,,,,-92.0,,-182.3,-116.4,-103.9,,,,,,False,,False,False,False,,
05063,687,408.0,,,,620.0,,204.1,58.0,689.1,,,-279.0,,,,-67.0,,-482.9,-629.0,2.1,,,,,,True,,False,False,True,,
05065,512,88.0,,,,137.0,,38.7,23.5,113.3,,,-424.0,,,,-375.0,,-473.3,-488.5,-398.7,,,,,,True,,False,False,True,,
05067,705,96.0,,,,285.0,,0.5,8.2,138.1,,,-609.0,,,,-420.0,,-704.5,-696.8,-566.9,,,,,,True,,False,False,True,,
05069,2048,1272.0,,,,712.0,,10.8,936.0,1049.9,,,-776.0,,,,-1336.0,,-2037.2,-1112.0,-998.1,,,,,,False,,False,False,False,,
05071,278,192.0,,,,564.0,,3.4,54.2,97.5,,,-86.0,,,,286.0,,-274.6,-223.8,-180.5,,,,,,False,,False,False,False,,
05073,118,64.0,,,,16.0,,,7.1,43.1,,,-54.0,,,,-102.0,,,-110.8,-74.9,,,,,,False,,,False,False,,
05075,610,120.0,,,,181.0,,71.8,45.5,107.5,,,-490.0,,,,-429.0,,-538.2,-564.5,-502.5,,,,,,True,,False,False,False,,
05077,103,72.0,,,,100.0,,1.7,27.0,100.8,,,-31.0,,,,-3.0,,-101.3,-76.0,-2.2,,,,,,True,,False,False,True,,
05079,581,1472.0,,,,250.0,,3.5,635.7,960.7,,,891.0,,,,-331.0,,-577.5,54.7,379.7,,,,,,True,,True,True,True,,
05081,178,192.0,,,,63.0,,0.0,20.9,237.9,,,14.0,,,,-115.0,,-178.0,-157.1,59.9,,,,,,False,,False,False,False,,
05083,244,40.0,,,,313.0,,17.1,37.5,346.1,,,-204.0,,,,69.0,,-226.9,-206.5,102.1,,,,,,True,,False,False,True,,
05085,1098,496.0,,,,688.0,,464.1,388.4,359.5,,,-602.0,,,,-410.0,,-633.9,-709.6,-738.5,,,,,,True,,False,False,False,,
05087,134,104.0,,,,262.0,,29.3,7.3,60.6,,,-30.0,,,,128.0,,-104.7,-126.7,-73.4,,,,,,False,,False,False,False,,
05089,125,56.0,,,,86.0,,,10.2,22.8,,,-69.0,,,,-39.0,,,-114.8,-102.2,,,,,,True,,,False,False,,
05091,937,376.0,,,,329.0,,77.4,89.8,162.0,,,-561.0,,,,-608.0,,-859.6,-847.2,-775.0,,,,,,False,,False,False,False,,
05093,986,480.0,,,,800.0,,4.3,46.2,505.0,,,-506.0,,,,-186.0,,-981.7,-939.8,-481.0,,,,,,True,,False,False,True,,
05095,128,64.0,,,,55.0,,11.9,9.9,55.7,,,-64.0,,,,-73.0,,-116.1,-118.1,-72.3,,,,,,False,,False,False,False,,
05097,70,200.0,,,,61.0,,48.2,16.4,,,,130.0,,,,-9.0,,-21.8,-53.6,,,,,,,True,,True,True,,,
05099,167,24.0,,,,32.0,,7.2,56.6,22.4,,,-143.0,,,,-135.0,,-159.8,-110.4,-144.6,,,,,,True,,False,True,False,,
05101,184,168.0,,,,89.0,,10.7,165.0,,,,-16.0,,,,-95.0,,-173.3,-19.0,,,,,,,False,,False,False,,,
05103,221,232.0,,,,86.0,,148.9,27.3,167.2,,,11.0,,,,-135.0,,-72.1,-193.7,-53.8,,,,,,False,,False,False,False,,
05105,87,8.0,,,,67.0,,,6.7,7.1,,,-79.0,,,,-20.0,,,-80.3,-79.9,,,,,,True,,,False,False,,
05107,363,136.0,,,,188.0,,0.0,55.1,79.7,,,-227.0,,,,-175.0,,-363.0,-307.9,-283.3,,,,,,True,,False,False,False,,
05109,91,88.0,,,,78.0,,0.0,31.3,116.4,,,-3.0,,,,-13.0,,-91.0,-59.7,25.4,,,,,,False,,False,False,False,,
05111,655,264.0,,,,302.0,,3.3,81.2,538.2,,,-391.0,,,,-353.0,,-651.7,-573.9,-116.8,,,,,,True,,False,False,True,,
05113,139,88.0,,,,153.0,,110.0,69.6,65.8,,,-51.0,,,,14.0,,-29.0,-69.4,-73.2,,,,,,True,,True,False,False,,
05115,979,928.0,,,,934.0,,408.5,564.6,758.9,,,-51.0,,,,-45.0,,-570.5,-414.4,-220.1,,,,,,True,,False,False,False,,
05117,119,56.0,,,,40.0,,28.1,9.5,144.4,,,-63.0,,,,-79.0,,-90.9,-109.5,25.4,,,,,,False,,False,False,True,,
05119,4909,3600.0,,,,3154.0,,852.7,1499.6,2098.2,,,-1309.0,,,,-1755.0,,-4056.3,-3409.4,-2810.8,,,,,,False,,False,False,False,,
05121,367,88.0,,,,268.0,,86.6,33.0,85.2,,,-279.0,,,,-99.0,,-280.4,-334.0,-281.8,,,,,,True,,False,False,False,,
05123,421,168.0,,,,566.0,,3.5,142.0,58.5,,,-253.0,,,,145.0,,-417.5,-279.0,-362.5,,,,,,True,,False,False,False,,
05125,1338,1032.0,,,,919.0,,614.0,235.6,562.1,,,-306.0,,,,-419.0,,-724.0,-1102.3,-775.9,,,,,,False,,False,False,False,,
05127,143,24.0,,,,98.0,,,7.4,41.6,,,-119.0,,,,-45.0,,,-135.6,-101.4,,,,,,True,,,False,True,,
05129,94,152.0,,,,57.0,,9.5,34.9,207.4,,,58.0,,,,-37.0,,-84.5,-59.1,113.4,,,,,,True,,False,False,False,,
05131,2062,1128.0,,,,2441.0,,10.3,237.3,629.0,,,-934.0,,,,379.0,,-2051.7,-1824.7,-1433.0,,,,,,True,,False,False,False,,
05133,227,112.0,,,,188.0,,9.9,101.3,109.5,,,-115.0,,,,-39.0,,-217.1,-125.7,-117.5,,,,,,True,,False,False,False,,
05135,227,64.0,,,,102.0,,94.8,39.7,101.4,,,-163.0,,,,-125.0,,-132.2,-187.3,-125.6,,,,,,True,,True,False,True,,
05137,180,320.0,,,,120.0,,5.0,162.3,368.4,,,140.0,,,,-60.0,,-175.0,-17.7,188.4,,,,,,True,,False,True,False,,
