,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Maine,1828,1407.0,,1156.1,327.0,,2715.0,1856.7,2352.0,770.8,710.8,1275.8,2595.0,1130.0,-421.0,,-671.9,-1501.0,,887.0,28.7,524.0,-1057.2,-1117.2,-552.2,767.0,-698.0,,False,False,,False,True,False,False,False,False,False,False
Maryland,29748,27482.0,,33002.1,1395.0,,23626.0,30506.1,21240.6,15108.4,15798.3,22245.3,24269.7,21941.0,-2266.0,,3254.1,-28353.0,,-6122.0,758.1,-8507.4,-14639.6,-13949.7,-7502.7,-5478.3,-7807.0,,False,False,,False,True,False,False,False,False,False,False
Massachusetts,34036,16408.0,,4585.8,259.0,,11232.0,16271.8,867.9,9501.1,3895.1,11133.3,97804.1,14689.0,-17628.0,,-29450.2,-33777.0,,-22804.0,-17764.2,-33168.1,-24534.9,-30140.9,-22902.7,63768.1,-19347.0,,False,False,,False,False,False,False,False,False,False,False
Michigan,74348,41069.0,,36067.1,12970.0,,35139.0,45043.8,33913.7,16679.5,3828.5,57438.8,30194.2,46326.0,-33279.0,,-38280.9,-61378.0,,-39209.0,-29304.2,-40434.3,-57668.5,-70519.5,-16909.2,-44153.8,-28022.0,,False,False,,False,True,False,False,False,True,False,True
Minnesota,64884,25956.0,,32616.4,2950.0,,36353.0,14883.3,31822.6,13154.1,16188.8,15422.8,16095.4,10708.0,-38928.0,,-32267.6,-61934.0,,-28531.0,-50000.7,-33061.4,-51729.9,-48695.2,-49461.2,-48788.6,-54176.0,,True,False,,True,False,True,False,False,False,False,False
Mississippi,30540,21994.0,,17741.1,12443.0,,24866.0,10624.2,17905.7,9873.5,8746.5,10889.5,8757.5,8552.0,-8546.0,,-12798.9,-18097.0,,-5674.0,-19915.8,-12634.3,-20666.5,-21793.5,-19650.5,-21782.5,-21988.0,,False,False,,True,False,False,False,False,False,False,False
Missouri,83702,63833.0,,65841.1,48443.0,,48732.0,73281.9,78757.0,52603.2,29860.8,32632.8,72989.7,38587.0,-19869.0,,-17860.9,-35259.0,,-34970.0,-10420.1,-4945.0,-31098.8,-53841.2,-51069.2,-10712.3,-45115.0,,True,False,,False,True,True,False,False,False,True,False
Montana,23876,5327.0,,5613.5,3742.0,,8237.0,6424.2,9502.9,3041.7,2112.5,1339.2,4077.6,3254.0,-18549.0,,-18262.5,-20134.0,,-15639.0,-17451.8,-14373.1,-20834.3,-21763.5,-22536.8,-19798.4,-20622.0,,True,False,,True,True,True,False,False,False,False,False
Nebraska,32612,16205.0,,14585.4,572.0,,13619.0,17766.8,20650.7,7923.6,5491.0,12483.7,10339.7,13010.0,-16407.0,,-18026.6,-32040.0,,-18993.0,-14845.2,-11961.3,-24688.4,-27121.0,-20128.3,-22272.3,-19602.0,,False,False,,False,True,True,False,False,False,False,False
Nevada,27541,14826.0,,14399.7,9616.0,,12100.0,5737.3,12303.2,7172.6,5488.4,10026.6,6638.4,6114.0,-12715.0,,-13141.3,-17925.0,,-15441.0,-21803.7,-15237.8,-20368.4,-22052.7,-17514.4,-20902.6,-21427.0,,False,False,,False,False,False,False,False,False,False,False
New Hampshire,3432,1596.0,,1855.2,4.0,,1487.0,2491.7,1611.4,1050.1,1005.0,1400.0,5877.0,4486.0,-1836.0,,-1576.8,-3428.0,,-1945.0,-940.3,-1820.6,-2381.9,-2427.0,-2032.0,2445.0,1054.0,,True,False,,False,True,True,False,False,False,False,True
New Jersey,41549,18130.0,,10739.7,126.0,,16993.0,24348.1,11334.0,9466.0,17435.0,21161.1,12234.8,19893.0,-23419.0,,-30809.3,-41423.0,,-24556.0,-17200.9,-30215.0,-32083.0,-24114.0,-20387.9,-29314.2,-21656.0,,False,False,,False,True,False,False,False,True,False,True
New Mexico,19829,4291.0,,5045.1,1726.0,,5318.0,3679.3,5277.1,2457.2,1648.1,2481.6,3229.3,2086.0,-15538.0,,-14783.9,-18103.0,,-14511.0,-16149.7,-14551.9,-17371.8,-18180.9,-17347.4,-16599.7,-17743.0,,True,False,,True,False,True,False,False,False,False,False
New York,65733,34076.0,,14265.0,58.0,,15744.0,47254.9,30551.0,18147.7,25678.0,39801.9,40249.4,27418.0,-31657.0,,-51468.0,-65675.0,,-49989.0,-18478.1,-35182.0,-47585.3,-40055.0,-25931.1,-25483.6,-38315.0,,False,False,,False,True,False,False,False,True,True,False
North Carolina,85690,55461.0,,48891.8,76413.0,,63411.0,37348.6,67206.6,33538.1,33056.9,27409.3,29965.0,22936.0,-30229.0,,-36798.2,-9277.0,,-22279.0,-48341.4,-18483.4,-52151.9,-52633.1,-58280.7,-55725.0,-62754.0,,False,True,,True,False,True,False,False,False,False,False
North Dakota,28765,12719.0,,20467.6,42.0,,10896.0,14710.1,12393.3,13156.6,11652.2,9138.3,15216.1,7795.0,-16046.0,,-8297.4,-28723.0,,-17869.0,-14054.9,-16371.7,-15608.4,-17112.8,-19626.7,-13548.9,-20970.0,,True,False,,False,True,False,True,False,False,True,False
Ohio,79129,47481.0,,50022.1,33896.0,,44882.0,56142.9,52994.1,28645.7,16541.8,22057.6,40680.7,34234.0,-31648.0,,-29106.9,-45233.0,,-34247.0,-22986.1,-26134.9,-50483.3,-62587.2,-57071.4,-38448.3,-44895.0,,True,False,,False,True,True,False,False,False,False,False
Oklahoma,54103,38304.0,,38486.8,23396.0,,35734.0,45219.3,55122.6,23203.4,19052.6,17872.3,35596.0,24442.0,-15799.0,,-15616.2,-30707.0,,-18369.0,-8883.7,1019.6,-30899.6,-35050.4,-36230.7,-18507.0,-29661.0,,True,False,,False,True,True,False,False,False,False,False
Oregon,15765,9100.0,,9260.6,6536.0,,7684.0,9572.7,12721.5,5203.3,4084.1,4557.5,8992.2,7366.0,-6665.0,,-6504.4,-9229.0,,-8081.0,-6192.3,-3043.5,-10561.7,-11680.9,-11207.5,-6772.8,-8399.0,,True,False,,False,True,True,False,False,False,False,False
Pennsylvania,64156,37485.0,,42120.5,1684.0,,30862.0,52043.0,33944.3,12317.4,4762.4,20207.2,22022.9,41418.0,-26671.0,,-22035.5,-62472.0,,-33294.0,-12113.0,-30211.7,-51838.6,-59393.6,-43948.8,-42133.1,-22738.0,,True,False,,False,True,False,False,False,False,False,True
Rhode Island,10099,4634.0,,2489.0,0.0,,7808.0,2557.4,2638.1,1439.4,1808.2,4660.4,2588.6,2655.0,-5465.0,,-7610.0,-10099.0,,-2291.0,-7541.6,-7460.9,-8659.6,-8290.8,-5438.6,-7510.4,-7444.0,,False,False,,True,False,False,False,False,True,False,False
South Carolina,46634,39823.0,,38717.2,13187.0,,33777.0,43791.2,36489.8,42985.2,15090.6,17268.8,78383.8,21404.0,-6811.0,,-7916.8,-33447.0,,-12857.0,-2842.8,-10144.2,-3648.8,-31543.4,-29365.2,31749.8,-25230.0,,False,False,,False,True,False,True,False,False,False,False
South Dakota,29555,10836.0,,12350.2,195.0,,12977.0,13188.0,12347.6,7039.5,4698.2,6649.9,6442.7,3527.0,-18719.0,,-17204.8,-29360.0,,-16578.0,-16367.0,-17207.4,-22515.5,-24856.8,-22905.1,-23112.3,-26028.0,,True,False,,True,True,True,False,False,False,False,False
Tennessee,89781,59703.0,,55556.3,29163.0,,52599.0,58475.7,85483.4,27832.2,20016.5,23733.0,37442.6,28772.0,-30078.0,,-34224.7,-60618.0,,-37182.0,-31305.3,-4297.6,-61948.8,-69764.5,-66048.0,-52338.4,-61009.0,,False,False,,False,False,True,False,False,False,False,False
Texas,260607,153307.0,,115283.5,94147.0,,223226.0,81836.4,157889.2,101146.8,58148.7,89039.1,107457.5,61790.0,-107300.0,,-145323.5,-166460.0,,-37381.0,-178770.6,-102717.8,-159460.2,-202458.3,-171567.9,-153149.5,-198817.0,,False,False,,True,False,True,False,False,False,False,False
Utah,57409,20825.0,,27386.3,7539.0,,18719.0,25277.4,20257.5,14859.5,15966.4,11355.5,34445.1,20552.0,-36584.0,,-30022.7,-49870.0,,-38690.0,-32131.6,-37151.5,-42549.5,-41442.6,-46053.5,-22963.9,-36857.0,,True,False,,False,True,False,False,False,False,True,False
Vermont,502,210.0,,342.2,63.0,,411.0,184.8,1243.7,139.0,134.9,357.2,255.8,113.0,-292.0,,-159.8,-439.0,,-91.0,-317.2,741.7,-363.0,-367.1,-144.8,-246.2,-389.0,,True,False,,True,False,False,False,False,True,True,False
Virginia,48322,50309.0,,55332.1,6131.0,,30083.0,55954.9,67478.1,27619.6,26334.0,34551.7,49681.2,0.0,1987.0,,7010.1,-42191.0,,-18239.0,7632.9,19156.1,-20702.4,-21988.0,-13770.3,1359.2,-48322.0,,False,False,,False,False,False,False,False,False,True,False
Washington,30070,18480.0,,22079.1,34261.0,,12501.0,20741.9,16852.7,11864.7,8548.4,13551.6,16548.8,14627.0,-11590.0,,-7990.9,4191.0,,-17569.0,-9328.1,-13217.3,-18205.3,-21521.6,-16518.4,-13521.2,-15443.0,,True,True,,False,True,False,False,False,False,False,False
West Virginia,11932,8645.0,,15296.1,6367.0,,7376.0,13831.9,16203.6,6594.5,6375.9,6399.5,15031.9,7891.0,-3287.0,,3364.1,-5565.0,,-4556.0,1899.9,4271.6,-5337.5,-5556.1,-5532.5,3099.9,-4041.0,,False,False,,False,True,False,False,False,False,True,False
Wisconsin,150266,51121.0,,67285.2,30440.0,,43291.0,66896.5,76025.5,45574.8,42304.9,35027.5,127164.0,44211.0,-99145.0,,-82980.8,-119826.0,,-106975.0,-83369.5,-74240.5,-104691.2,-107961.1,-115238.5,-23102.0,-106055.0,,True,False,,False,True,True,False,False,False,True,False
Wyoming,9001,2149.0,,1582.4,822.0,,1955.0,2402.7,11612.1,1345.9,1746.6,1534.2,4787.5,2127.0,-6852.0,,-7418.6,-8179.0,,-7046.0,-6598.3,2611.1,-7655.1,-7254.4,-7466.8,-4213.5,-6874.0,,False,False,,False,True,True,False,False,False,True,False
US,2661498,1681708.0,1667641.0,1221380.1,895675.0,1492002.0,1817782.0,1607494.2,1785393.1,946154.3,749351.4,905810.2,1472174.4,986380.0,-979790.0,-993857.0,-1440117.9,-1765823.0,-1169496.0,-843716.0,-1054003.8,-876104.9,-1715343.7,-1912146.6,-1755687.8,-1189323.6,-1675118.0,False,False,False,False,True,False,True,False,False,False,False,False
