,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01021,66,90.0,,93.0,,86.0,69.0,,,,,,89.6,,,76.0,,86.3,,31.4,78.0,,67.2,95.8,,85.0,21.0,,,,87.2,,,,91.0,85.1,24.0,,27.0,,20.0,3.0,,,,,,23.6,,,10.0,,20.3,,-34.6,12.0,,1.2,29.8,,19.0,-45.0,,,,21.2,,,,25.0,19.1,,False,,True,True,,,,,,True,,,True,,True,,False,True,,True,False,,True,False,,,,True,,,,False,True
01023,4,4.0,,3.7,,5.0,6.0,,,,,,4.8,,,31.0,,18.4,,4.4,,,3.2,7.5,,8.0,0.0,,,,,,,,12.0,8.0,0.0,,-0.3,,1.0,2.0,,,,,,0.8,,,27.0,,14.4,,0.4,,,-0.8,3.5,,4.0,-4.0,,,,,,,,8.0,4.0,,False,,False,False,,,,,,False,,,False,,False,,False,,,False,False,,False,False,,,,,,,,False,False
01025,55,84.0,,79.2,,69.0,58.0,,,,,,85.4,,,69.0,,48.2,,10.2,,,63.1,68.6,,94.0,199.0,,,,79.7,,,,52.0,58.7,29.0,,24.2,,14.0,3.0,,,,,,30.4,,,14.0,,-6.8,,-44.8,,,8.1,13.6,,39.0,144.0,,,,24.7,,,,-3.0,3.7,,True,,True,True,,,,,,False,,,True,,True,,False,,,True,True,,False,False,,,,True,,,,True,True
01027,31,44.0,,42.1,,38.0,37.0,,,,,,44.9,,,20.0,,66.6,,8.7,,,16.0,38.1,,58.0,8.0,,,,,,,,58.0,26.0,13.0,,11.1,,7.0,6.0,,,,,,13.9,,,-11.0,,35.6,,-22.3,,,-15.0,7.1,,27.0,-23.0,,,,,,,,27.0,-5.0,,True,,True,True,,,,,,False,,,True,,False,,False,,,False,True,,False,False,,,,,,,,False,True
01029,23,41.0,,39.8,,40.0,32.0,,,,,,43.6,,,28.0,,63.7,,8.2,,,40.0,55.9,,59.0,9.0,,,,,,,,53.0,51.8,18.0,,16.8,,17.0,9.0,,,,,,20.6,,,5.0,,40.7,,-14.8,,,17.0,32.9,,36.0,-14.0,,,,,,,,30.0,28.8,,True,,True,True,,,,,,False,,,True,,False,,True,,,True,False,,False,True,,,,,,,,False,False
01031,108,148.0,,162.7,,122.0,142.0,,,,,,198.9,,,71.0,,121.2,,63.0,116.0,,103.0,121.6,,147.0,30.0,,,,136.2,,,,121.0,,40.0,,54.7,,14.0,34.0,,,,,,90.9,,,-37.0,,13.2,,-45.0,8.0,,-5.0,13.6,,39.0,-78.0,,,,28.2,,,,13.0,,,False,,True,True,,,,,,False,,,True,,True,,False,True,,True,True,,True,False,,,,True,,,,True,
01033,284,122.0,,125.4,,122.0,128.0,,,,,,145.2,,,130.0,,94.7,,31.4,104.0,,101.1,123.9,,120.0,0.0,,,,113.4,,,,124.0,105.2,-162.0,,-158.6,,-162.0,-156.0,,,,,,-138.8,,,-154.0,,-189.3,,-252.6,-180.0,,-182.9,-160.1,,-164.0,-284.0,,,,-170.6,,,,-160.0,-178.8,,True,,False,True,,,,,,True,,,True,,False,,False,False,,False,True,,False,False,,,,False,,,,True,False
01035,16,7.0,,7.2,,6.0,0.0,,,,,,10.2,,,18.0,,8.1,,4.1,,,0.8,5.6,0.0,7.0,21.0,,,,,,,,9.0,12.1,-9.0,,-8.8,,-10.0,-16.0,,,,,,-5.8,,,2.0,,-7.9,,-11.9,,,-15.2,-10.4,-16.0,-9.0,5.0,,,,,,,,-7.0,-3.9,,True,,False,False,,,,,,True,,,True,,True,,False,,,False,False,False,False,True,,,,,,,,True,True
01037,19,7.0,,7.0,,7.0,5.0,,,,,,7.1,,,10.0,,11.7,,3.7,,,3.3,7.0,0.0,8.0,0.0,,,,,,,,12.0,,-12.0,,-12.0,,-12.0,-14.0,,,,,,-11.9,,,-9.0,,-7.3,,-15.3,,,-15.7,-12.0,-19.0,-11.0,-19.0,,,,,,,,-7.0,,,True,,False,False,,,,,,True,,,True,,True,,False,,,False,True,False,True,False,,,,,,,,True,
01039,148,100.0,,99.2,,79.0,101.0,,,,,,177.1,,,68.0,,76.7,,33.0,88.0,,68.7,89.6,0.1,119.0,4.0,,,,80.0,,,,70.0,100.8,-48.0,,-48.8,,-69.0,-47.0,,,,,,29.1,,,-80.0,,-71.3,,-115.0,-60.0,,-79.3,-58.4,-147.9,-29.0,-144.0,,,,-68.0,,,,-78.0,-47.2,,False,,False,True,,,,,,True,,,False,,False,,False,False,,False,False,False,True,False,,,,False,,,,False,True
01041,15,23.0,,24.5,,19.0,6.0,,,,,,22.1,,,19.0,,35.9,,8.6,,,8.7,18.9,0.0,28.0,8.0,,,,,,,,28.0,17.1,8.0,,9.5,,4.0,-9.0,,,,,,7.1,,,4.0,,20.9,,-6.4,,,-6.3,3.9,-15.0,13.0,-7.0,,,,,,,,13.0,2.1,,False,,True,False,,,,,,True,,,True,,False,,True,,,True,True,False,False,True,,,,,,,,False,True
01043,351,228.0,,236.5,,211.0,323.0,,,,,,248.9,,,177.0,,188.1,,33.1,182.5,,230.2,269.3,1.9,271.0,75.0,,,,194.9,,,,174.0,73.3,-123.0,,-114.5,,-140.0,-28.0,,,,,,-102.1,,,-174.0,,-162.9,,-317.9,-168.5,,-120.8,-81.7,-349.1,-80.0,-276.0,,,,-156.1,,,,-177.0,-277.7,,True,,False,True,,,,,,True,,,False,,False,,False,False,,True,True,False,True,False,,,,False,,,,False,False
01045,167,147.0,,167.7,,83.0,69.0,,,,,,367.6,,,68.0,,70.4,,30.3,84.5,,121.7,95.4,0.2,150.0,28.0,,,,131.7,,,,2.0,,-20.0,,0.7,,-84.0,-98.0,,,,,,200.6,,,-99.0,,-96.6,,-136.7,-82.5,,-45.3,-71.6,-166.8,-17.0,-139.0,,,,-35.3,,,,-165.0,,,True,,False,False,,,,,,False,,,False,,False,,False,False,,False,False,False,True,False,,,,False,,,,False,
01047,46,20.0,,21.8,,17.0,14.0,,,,,,16.0,,,65.0,,29.7,,12.5,21.0,,4.2,17.7,0.0,17.0,0.0,,,,17.1,,,,19.0,41.7,-26.0,,-24.2,,-29.0,-32.0,,,,,,-30.0,,,19.0,,-16.3,,-33.5,-25.0,,-41.8,-28.3,-46.0,-29.0,-46.0,,,,-28.9,,,,-27.0,-4.3,,True,,False,False,,,,,,False,,,True,,True,,False,True,,False,False,False,False,False,,,,False,,,,False,True
01049,266,293.0,,294.2,,276.0,383.0,,,,,,240.5,,,187.0,,330.2,,45.7,310.0,,268.0,283.1,127.3,362.0,15.0,,,,235.0,,,,311.0,,27.0,,28.2,,10.0,117.0,,,,,,-25.5,,,-79.0,,64.2,,-220.3,44.0,,2.0,17.1,-138.7,96.0,-251.0,,,,-31.0,,,,45.0,,,False,,True,False,,,,,,True,,,False,,False,,False,False,,True,True,False,False,False,,,,False,,,,False,
01051,110,126.0,,125.6,,115.0,117.0,,,,,,171.8,,,91.0,,113.4,,48.2,128.0,,93.3,122.7,1.0,132.0,22.0,,,,119.8,,,,116.0,,16.0,,15.6,,5.0,7.0,,,,,,61.8,,,-19.0,,3.4,,-61.8,18.0,,-16.7,12.7,-109.0,22.0,-88.0,,,,9.8,,,,6.0,,,True,,True,True,,,,,,False,,,False,,True,,False,False,,False,True,False,False,False,,,,True,,,,True,
01053,44,23.0,,23.1,,22.0,0.0,,,,,,27.8,,,99.0,,31.7,,16.8,29.0,,7.1,21.4,0.0,21.0,0.0,,,,22.0,,,,31.0,40.5,-21.0,,-20.9,,-22.0,-44.0,,,,,,-16.2,,,55.0,,-12.3,,-27.2,-15.0,,-36.9,-22.6,-44.0,-23.0,-44.0,,,,-22.0,,,,-13.0,-3.5,,True,,False,False,,,,,,True,,,False,,True,,False,True,,False,False,False,False,False,,,,False,,,,True,True
01055,257,314.0,,307.1,,266.0,401.0,,,,,,354.8,,,233.0,,263.9,,62.2,233.0,,245.7,267.9,2.3,301.0,58.0,,,,278.9,,,,295.0,171.9,57.0,,50.1,,9.0,144.0,,,,,,97.8,,,-24.0,,6.9,,-194.8,-24.0,,-11.3,10.9,-254.7,44.0,-199.0,,,,21.9,,,,38.0,-85.1,,True,,True,False,,,,,,False,,,True,,True,,False,True,,True,True,False,True,False,,,,True,,,,True,False
01057,31,38.0,,42.0,,31.0,22.0,,,,,,40.6,,,31.0,,47.7,,12.5,,,16.8,30.7,0.2,40.0,9.0,,,,,,,,43.0,27.5,7.0,,11.0,,0.0,-9.0,,,,,,9.6,,,0.0,,16.7,,-18.5,,,-14.2,-0.3,-30.8,9.0,-22.0,,,,,,,,12.0,-3.5,,False,,True,False,,,,,,False,,,True,,False,,False,,,False,True,False,False,False,,,,,,,,False,True
01059,127,78.0,,81.2,,72.0,51.0,,,,,,101.7,,,88.0,,97.2,,29.5,82.0,,40.2,66.4,62.1,104.0,18.0,,,,65.7,,,,99.0,,-49.0,,-45.8,,-55.0,-76.0,,,,,,-25.3,,,-39.0,,-29.8,,-97.5,-45.0,,-86.8,-60.6,-64.9,-23.0,-109.0,,,,-61.3,,,,-28.0,,,True,,False,False,,,,,,True,,,True,,True,,False,True,,False,False,False,True,False,,,,False,,,,True,
01061,70,77.0,,78.7,,51.0,54.0,,,,,,176.5,,,44.0,,47.9,,27.5,,,50.9,56.4,0.0,80.0,26.0,,,,,,,,9.0,,7.0,,8.7,,-19.0,-16.0,,,,,,106.5,,,-26.0,,-22.1,,-42.5,,,-19.1,-13.6,-70.0,10.0,-44.0,,,,,,,,-61.0,,,False,,False,False,,,,,,False,,,False,,False,,False,,,False,False,False,False,False,,,,,,,,False,
01063,10,13.0,,11.4,,5.0,0.0,,,,,,4.7,,,11.0,,16.0,,3.0,,,0.7,5.1,0.0,8.0,,,,,,,,,12.0,11.2,3.0,,1.4,,-5.0,-10.0,,,,,,-5.3,,,1.0,,6.0,,-7.0,,,-9.3,-4.9,-10.0,-2.0,,,,,,,,,2.0,1.2,,True,,False,False,,,,,,False,,,True,,False,,False,,,False,False,False,True,,,,,,,,,True,True
01065,30,33.0,,33.2,,26.0,14.0,,,,,,47.2,,,33.0,,38.1,,13.2,,,9.2,26.4,0.1,38.0,36.0,,,,,,,,16.0,,3.0,,3.2,,-4.0,-16.0,,,,,,17.2,,,3.0,,8.1,,-16.8,,,-20.8,-3.6,-29.9,8.0,6.0,,,,,,,,-14.0,,,False,,False,False,,,,,,False,,,False,,False,,False,,,False,False,False,False,False,,,,,,,,False,
01067,31,87.0,,91.4,,37.0,17.0,,,,,,256.7,,,19.0,,36.5,,16.9,,,58.3,45.9,29.2,83.0,1.0,,,,,,,,0.0,,56.0,,60.4,,6.0,-14.0,,,,,,225.7,,,-12.0,,5.5,,-14.1,,,27.3,14.9,-1.8,52.0,-30.0,,,,,,,,-31.0,,,False,,True,True,,,,,,False,,,True,,True,,True,,,True,True,True,True,True,,,,,,,,True,
01069,144,549.0,,572.3,,241.0,54.0,,,,,,1717.8,,,166.0,,106.2,,100.9,225.0,,470.7,204.2,216.5,531.0,0.0,,,,477.5,,,,0.0,233.8,405.0,,428.3,,97.0,-90.0,,,,,,1573.8,,,22.0,,-37.8,,-43.1,81.0,,326.7,60.2,72.5,387.0,-144.0,,,,333.5,,,,-144.0,89.8,,False,,True,True,,,,,,False,,,True,,True,,True,True,,True,True,True,True,True,,,,True,,,,True,True
01071,195,185.0,,185.9,,152.0,225.0,,,,,,195.3,,,151.0,,189.7,,33.3,178.0,,148.6,151.4,80.6,239.0,30.0,,,,152.6,,,,175.0,,-10.0,,-9.1,,-43.0,30.0,,,,,,0.3,,,-44.0,,-5.3,,-161.7,-17.0,,-46.4,-43.6,-114.4,44.0,-165.0,,,,-42.4,,,,-20.0,,,True,,False,False,,,,,,True,,,False,,True,,False,False,,False,False,False,False,False,,,,False,,,,False,
01073,1186,935.0,,902.8,943.7,920.0,977.0,,,,,,1069.0,,,905.0,,877.5,,349.8,889.5,,940.3,1087.6,82.0,948.0,16.0,,,,840.2,983.0,,,940.0,938.2,-251.0,,-283.2,-242.3,-266.0,-209.0,,,,,,-117.0,,,-281.0,,-308.5,,-836.2,-296.5,,-245.7,-98.4,-1104.0,-238.0,-1170.0,,,,-345.8,-203.0,,,-246.0,-247.8,,False,True,False,True,,,,,,True,,,False,,False,,False,False,,True,True,False,True,False,,,,False,True,,,True,True
01075,39,44.0,,43.5,,31.0,24.0,,,,,,87.8,,,28.0,,43.4,,10.2,,,30.7,37.6,16.8,49.0,8.0,,,,,,,,31.0,39.1,5.0,,4.5,,-8.0,-15.0,,,,,,48.8,,,-11.0,,4.4,,-28.8,,,-8.3,-1.4,-22.2,10.0,-31.0,,,,,,,,-8.0,0.1,,True,,False,False,,,,,,False,,,False,,True,,False,,,False,True,False,False,False,,,,,,,,False,True
01077,447,233.0,,232.9,,208.0,184.0,,,,,,384.0,,,210.0,,184.9,,43.3,169.0,,243.3,236.8,109.0,242.0,0.0,,,,206.1,,,,150.0,134.5,-214.0,,-214.1,,-239.0,-263.0,,,,,,-63.0,,,-237.0,,-262.1,,-403.7,-278.0,,-203.7,-210.2,-338.0,-205.0,-447.0,,,,-240.9,,,,-297.0,-312.5,,False,,False,False,,,,,,True,,,False,,False,,False,False,,True,True,False,True,False,,,,False,,,,False,False
01079,82,68.0,,68.5,,68.0,77.0,,,,,,87.8,,,70.0,,73.2,,17.8,67.0,,57.1,68.9,29.2,99.0,19.0,,,,,,,,0.0,49.9,-14.0,,-13.5,,-14.0,-5.0,,,,,,5.8,,,-12.0,,-8.8,,-64.2,-15.0,,-24.9,-13.1,-52.8,17.0,-63.0,,,,,,,,-82.0,-32.1,,True,,False,True,,,,,,True,,,True,,True,,False,False,,False,True,False,False,False,,,,,,,,False,False
01081,179,113.0,,114.1,,94.0,77.0,,,,,,174.8,,,193.0,,94.2,,103.6,138.0,,90.1,119.2,2.9,121.0,94.0,,,,124.1,68.0,,,133.0,419.9,-66.0,,-64.9,,-85.0,-102.0,,,,,,-4.2,,,14.0,,-84.8,,-75.4,-41.0,,-88.9,-59.8,-176.1,-58.0,-85.0,,,,-54.9,-111.0,,,-46.0,240.9,,True,,False,False,,,,,,True,,,True,,False,,False,True,,False,True,False,True,False,,,,True,False,,,True,False
01083,218,184.0,,184.3,,184.0,172.0,,,,,,244.1,,,199.0,,157.9,,49.0,190.0,,191.8,205.0,167.2,201.0,55.0,,,,159.6,,,,123.0,,-34.0,,-33.7,,-34.0,-46.0,,,,,,26.1,,,-19.0,,-60.1,,-169.0,-28.0,,-26.2,-13.0,-50.8,-17.0,-163.0,,,,-58.4,,,,-95.0,,,True,,False,False,,,,,,True,,,True,,False,,False,True,,True,True,False,True,False,,,,False,,,,False,
01085,15,13.0,,11.3,,9.0,0.0,,,,,,20.2,,,9.0,,16.1,,5.5,,,7.8,18.0,0.0,16.0,,,,,,,,,0.0,,-2.0,,-3.7,,-6.0,-15.0,,,,,,5.2,,,-6.0,,1.1,,-9.5,,,-7.2,3.0,-15.0,1.0,,,,,,,,,-15.0,,,False,,False,False,,,,,,False,,,False,,True,,False,,,False,False,False,True,,,,,,,,,False,
01087,29,7.0,,5.4,,7.0,7.0,,,,,,17.2,,,17.0,,21.1,,7.1,,,3.5,12.0,0.0,11.0,0.0,,,,,,,,2.0,16.7,-22.0,,-23.6,,-22.0,-22.0,,,,,,-11.8,,,-12.0,,-7.9,,-21.9,,,-25.5,-17.0,-29.0,-18.0,-29.0,,,,,,,,-27.0,-12.3,,False,,False,False,,,,,,True,,,True,,True,,True,,,False,True,False,True,False,,,,,,,,False,True
01089,471,387.0,,380.5,417.9,386.0,398.0,,,,,,367.0,,,542.0,,353.0,,187.3,382.0,,385.4,443.0,25.9,426.0,212.0,,,,327.2,394.0,,,357.0,403.0,-84.0,,-90.5,-53.1,-85.0,-73.0,,,,,,-104.0,,,71.0,,-118.0,,-283.7,-89.0,,-85.6,-28.0,-445.1,-45.0,-259.0,,,,-143.8,-77.0,,,-114.0,-68.0,,False,True,False,True,,,,,,False,,,True,,False,,False,False,,False,True,False,True,False,,,,False,True,,,False,True
01091,51,52.0,,71.3,,52.0,4.0,,,,,,51.8,,,52.0,,74.1,,10.6,,,41.3,59.4,0.1,85.0,1.0,,,,,,,,44.0,62.2,1.0,,20.3,,1.0,-47.0,,,,,,0.8,,,1.0,,23.1,,-40.4,,,-9.7,8.4,-50.9,34.0,-50.0,,,,,,,,-7.0,11.2,,False,,False,False,,,,,,True,,,False,,False,,False,,,False,False,False,False,False,,,,,,,,False,False
01093,49,39.0,,37.8,,33.0,21.0,,,,,,54.2,,,59.0,,29.6,,12.2,35.0,,26.6,38.5,0.1,35.0,40.0,,,,35.4,,,,39.0,,-10.0,,-11.2,,-16.0,-28.0,,,,,,5.2,,,10.0,,-19.4,,-36.8,-14.0,,-22.4,-10.5,-48.9,-14.0,-9.0,,,,-13.6,,,,-10.0,,,False,,False,False,,,,,,True,,,False,,False,,False,False,,False,False,False,False,True,,,,False,,,,False,
01095,180,141.0,,141.2,,130.0,155.0,,,,,,118.3,,,229.0,,123.5,,42.7,136.0,,108.7,135.9,2.6,144.0,127.0,,,,121.7,,,,187.0,142.0,-39.0,,-38.8,,-50.0,-25.0,,,,,,-61.7,,,49.0,,-56.5,,-137.3,-44.0,,-71.3,-44.1,-177.4,-36.0,-53.0,,,,-58.3,,,,7.0,-38.0,,True,,False,True,,,,,,False,,,False,,False,,False,False,,False,False,False,True,False,,,,False,,,,True,True
