,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Maryland,14486,11928.0,11868.9,10774.0,13196.0,,11121.7,1770.0,12238.9,10298.1,,10154.0,14353.7,9358.0,14617.1,11118.8,9673.1,13513.7,15142.0,,8513.6,11796.5,9176.1,14248.0,13797.8,13546.0,-2558.0,-2617.1,-3712.0,-1290.0,,-3364.3,-12716.0,-2247.1,-4187.9,,-4332.0,-132.3,-5128.0,131.1,-3367.2,-4812.9,-972.3,656.0,,-5972.4,-2689.5,-5309.9,-238.0,-688.2,-940.0,False,False,True,,False,False,True,False,,False,True,False,True,False,False,True,True,,False,False,False,True,True,True
Massachusetts,20236,12111.0,11781.3,11280.0,10964.0,,13099.1,10030.0,16961.3,11720.6,,9507.0,16477.5,9936.3,12926.1,16713.1,8941.1,13907.7,15456.0,,8549.0,8307.4,8671.4,9420.6,14137.6,11866.0,-8125.0,-8454.7,-8956.0,-9272.0,,-7136.9,-10206.0,-3274.7,-8515.4,,-10729.0,-3758.5,-10299.7,-7309.9,-3522.9,-11294.9,-6328.3,-4780.0,,-11687.0,-11928.6,-11564.6,-10815.4,-6098.4,-8370.0,False,False,False,,True,False,True,False,,False,True,False,True,True,False,True,True,,False,False,False,False,True,False
Michigan,47953,24546.0,25137.7,21487.0,33912.0,,22346.4,10654.0,19639.8,19690.5,,21051.0,34068.8,21148.3,26593.4,25898.1,13033.0,25901.0,36181.0,,22517.4,29976.5,19919.8,14271.3,20582.5,30557.0,-23407.0,-22815.3,-26466.0,-14041.0,,-25606.6,-37299.0,-28313.2,-28262.5,,-26902.0,-13884.2,-26804.7,-21359.6,-22054.9,-34920.0,-22052.0,-11772.0,,-25435.6,-17976.5,-28033.2,-33681.7,-27370.5,-17396.0,True,False,True,,False,False,False,False,,False,True,False,True,True,False,True,True,,False,True,False,False,False,True
Minnesota,37644,24123.0,24304.2,23993.0,27795.0,,22297.4,25303.0,25972.0,20409.5,,23663.0,29443.8,21129.6,12558.3,28273.5,23782.5,28491.7,33708.0,,20013.0,18295.3,20042.9,25004.1,35788.7,26199.0,-13521.0,-13339.8,-13651.0,-9849.0,,-15346.6,-12341.0,-11672.0,-17234.5,,-13981.0,-8200.2,-16514.4,-25085.7,-9370.5,-13861.5,-9152.3,-3936.0,,-17631.0,-19348.7,-17601.1,-12639.9,-1855.3,-11445.0,True,False,True,,False,True,True,False,,False,True,False,False,True,False,True,True,,False,False,False,True,True,True
Mississippi,15522,13413.0,13123.9,11297.0,14105.0,,9778.1,4412.0,10293.5,6140.5,,9385.0,17933.8,11679.7,5468.3,12491.9,9117.0,14046.0,17309.0,,14441.7,1451.3,10834.2,14213.9,12360.8,14867.0,-2109.0,-2398.1,-4225.0,-1417.0,,-5743.9,-11110.0,-5228.5,-9381.5,,-6137.0,2411.8,-3842.3,-10053.7,-3030.1,-6405.0,-1476.0,1787.0,,-1080.3,-14070.7,-4687.8,-1308.1,-3161.2,-655.0,False,False,True,,False,False,False,False,,False,False,False,False,False,False,True,True,,True,False,False,True,False,True
Missouri,40310,39156.0,38487.3,29750.0,31832.0,,28248.0,28437.0,32004.9,37873.7,,25750.0,32173.9,30836.1,16824.8,29242.5,20632.9,30293.6,57548.0,,27267.6,24858.7,30047.1,38720.6,50032.7,38536.0,-1154.0,-1822.7,-10560.0,-8478.0,,-12062.0,-11873.0,-8305.1,-2436.3,,-14560.0,-8136.1,-9473.9,-23485.2,-11067.5,-19677.1,-10016.4,17238.0,,-13042.4,-15451.3,-10262.9,-1589.4,9722.7,-1774.0,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Montana,14684,11283.0,11748.8,11526.0,13038.0,,10143.5,5642.0,12776.8,9589.4,,10428.0,15203.2,17251.0,1928.8,11793.0,12848.4,14039.6,18340.0,,15926.1,13481.9,6885.5,27987.7,17415.6,11392.0,-3401.0,-2935.2,-3158.0,-1646.0,,-4540.5,-9042.0,-1907.2,-5094.6,,-4256.0,519.2,2567.0,-12755.2,-2891.0,-1835.6,-644.4,3656.0,,1242.1,-1202.1,-7798.5,13303.7,2731.6,-3292.0,True,True,True,,False,False,True,False,,False,True,True,False,True,True,True,False,,True,True,False,False,True,True
Nebraska,18845,13452.0,13364.0,12584.0,15008.0,,10823.2,11416.0,15651.8,11735.3,,9435.0,10256.2,10064.9,8379.9,15195.4,12497.9,14464.5,20881.0,,19447.3,5216.7,10028.2,14463.7,19483.0,14911.0,-5393.0,-5481.0,-6261.0,-3837.0,,-8021.8,-7429.0,-3193.2,-7109.7,,-9410.0,-8588.8,-8780.1,-10465.1,-3649.6,-6347.1,-4380.5,2036.0,,602.3,-13628.3,-8816.8,-4381.3,638.0,-3934.0,False,False,True,,False,False,True,False,,False,False,False,False,True,False,True,True,,True,False,False,True,True,True
Nevada,15362,11073.0,11134.0,10093.0,11479.0,,10965.5,3276.0,10258.9,3769.7,,5602.0,15814.5,9180.3,6884.5,19747.7,8501.2,13347.1,17811.0,,11486.2,0.0,7439.7,13966.8,12714.7,12243.0,-4289.0,-4228.0,-5269.0,-3883.0,,-4396.5,-12086.0,-5103.1,-11592.3,,-9760.0,452.5,-6181.7,-8477.5,4385.7,-6860.8,-2014.9,2449.0,,-3875.8,-15362.0,-7922.3,-1395.2,-2647.3,-3119.0,True,False,True,,False,False,False,False,,False,True,False,False,False,False,True,True,,True,False,False,True,True,True
New Hampshire,1992,1485.0,1566.6,1422.0,3252.0,,1286.1,1367.0,1663.2,1001.0,,1164.0,1195.2,1314.9,1824.7,2078.8,1256.2,1557.3,2803.0,,1550.3,52.0,1047.2,1526.7,3160.2,2800.0,-507.0,-425.4,-570.0,1260.0,,-705.9,-625.0,-328.8,-991.0,,-828.0,-796.8,-677.1,-167.3,86.8,-735.8,-434.7,811.0,,-441.7,-1940.0,-944.8,-465.3,1168.2,808.0,True,False,False,,False,False,True,False,,False,False,False,True,True,False,True,False,,True,False,False,True,False,False
