,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01021,225,219.0,252.4,,187.0,149.0,,,,,582.5,,128.0,,177.8,96.1,,108.7,193.6,,137.0,,,,221.4,,,,170.0,221.1,,-6.0,27.4,,-38.0,-76.0,,,,,357.5,,-97.0,,-47.2,-128.9,,-116.3,-31.4,,-88.0,,,,-3.6,,,,-55.0,-3.9,,False,,False,False,,,,,False,,False,,False,False,,False,False,,False,,,,True,,,,False,True,
01023,20,42.0,38.3,,34.0,21.0,,,,,147.2,,43.0,,36.1,15.6,,8.1,31.3,,22.0,,,,,,,,69.0,20.7,,22.0,18.3,,14.0,1.0,,,,,127.2,,23.0,,16.1,-4.4,,-11.9,11.3,,2.0,,,,,,,,49.0,0.7,,True,,True,True,,,,,False,,False,,True,True,,True,True,,True,,,,,,,,False,True,
01025,178,219.0,218.6,,156.0,167.0,,,,,176.7,,110.0,,170.2,28.6,,127.9,149.3,,223.0,,,,198.3,,,,129.0,113.7,,41.0,40.6,,-22.0,-11.0,,,,,-1.3,,-68.0,,-7.8,-149.4,,-50.1,-28.7,,45.0,,,,20.3,,,,-49.0,-64.3,,True,,True,True,,,,,True,,False,,True,False,,False,True,,False,,,,True,,,,False,False,
01027,131,99.0,57.1,,83.0,91.0,,,,,130.8,,31.0,,80.3,29.3,,49.8,87.4,,87.0,,,,,,,,91.0,467.1,,-32.0,-73.9,,-48.0,-40.0,,,,,-0.2,,-100.0,,-50.7,-101.7,,-81.2,-43.6,,-44.0,,,,,,,,-40.0,336.1,,False,,False,False,,,,,True,,False,,False,False,,False,False,,False,,,,,,,,False,False,
01029,116,129.0,120.7,,92.0,93.0,,,,,149.6,,43.0,,92.0,30.3,,52.1,91.1,,106.0,,,,,,,,47.0,143.4,,13.0,4.7,,-24.0,-23.0,,,,,33.6,,-73.0,,-24.0,-85.7,,-63.9,-24.9,,-10.0,,,,,,,,-69.0,27.4,,True,,False,False,,,,,False,,False,,False,False,,False,False,,True,,,,,,,,False,False,
01031,344,207.0,304.8,,199.0,276.0,,,,,253.1,,135.0,,210.6,140.5,,111.6,186.7,,202.0,,,,145.1,,,,292.0,1382.3,,-137.0,-39.2,,-145.0,-68.0,,,,,-90.9,,-209.0,,-133.4,-203.5,,-232.4,-157.3,,-142.0,,,,-198.9,,,,-52.0,1038.3,,True,,False,True,,,,,True,,False,,True,False,,False,False,,False,,,,False,,,,True,False,
01033,347,246.0,255.3,,237.0,327.0,,,,,268.2,,232.0,,188.1,80.7,,130.7,246.7,,350.0,,,,228.4,,,,245.0,1848.0,,-101.0,-91.7,,-110.0,-20.0,,,,,-78.8,,-115.0,,-158.9,-266.3,,-216.3,-100.3,,3.0,,,,-118.6,,,,-102.0,1501.0,,True,,False,True,,,,,True,,False,,False,False,,False,True,,True,,,,False,,,,False,False,
01035,31,21.0,48.2,,19.0,0.0,,,,,108.4,,28.0,,17.8,10.7,,3.4,16.3,0.0,9.0,,,,,,,,10.0,34.8,,-10.0,17.2,,-12.0,-31.0,,,,,77.4,,-3.0,,-13.2,-20.3,,-27.6,-14.7,-31.0,-22.0,,,,,,,,-21.0,3.8,,False,,False,False,,,,,False,,True,,False,False,,False,False,False,False,,,,,,,,False,True,
01037,35,24.0,30.7,,20.0,9.0,,,,,133.0,,16.0,,26.9,15.9,,6.2,18.5,0.0,13.0,,,,,,,,35.0,1255.7,,-11.0,-4.3,,-15.0,-26.0,,,,,98.0,,-19.0,,-8.1,-19.1,,-28.8,-16.5,-35.0,-22.0,,,,,,,,0.0,1220.7,,True,,False,False,,,,,False,,False,,True,False,,False,False,False,False,,,,,,,,True,False,
01039,345,192.0,54.1,,171.0,260.0,,,,,256.8,,129.0,,210.4,98.2,,170.3,202.0,0.2,174.0,,,,111.8,,,,217.0,1168.5,,-153.0,-290.9,,-174.0,-85.0,,,,,-88.2,,-216.0,,-134.6,-246.8,,-174.7,-143.0,-344.8,-171.0,,,,-233.2,,,,-128.0,823.5,,False,,False,True,,,,,True,,False,,True,False,,False,True,False,False,,,,False,,,,True,False,
01041,59,48.0,90.6,,36.0,2.0,,,,,122.3,,34.0,,37.0,22.9,,24.5,48.0,0.0,20.0,,,,,,,,27.0,51.9,162.0,-11.0,31.6,,-23.0,-57.0,,,,,63.3,,-25.0,,-22.0,-36.1,,-34.5,-11.0,-59.0,-39.0,,,,,,,,-32.0,-7.1,103.0,False,,False,False,,,,,False,,False,,False,False,,False,False,False,False,,,,,,,,False,True,False
01043,745,270.0,496.3,,248.0,363.0,,,,,416.3,,358.0,,227.5,109.6,,120.4,230.1,106.9,240.0,,,,199.4,,,,310.0,292.2,,-475.0,-248.7,,-497.0,-382.0,,,,,-328.7,,-387.0,,-517.5,-635.4,,-624.6,-514.9,-638.1,-505.0,,,,-545.6,,,,-435.0,-452.8,,True,,False,True,,,,,True,,True,,False,False,,False,False,False,False,,,,False,,,,True,True,
01045,364,114.0,198.5,,110.0,370.0,,,,,305.8,,118.0,,109.1,90.9,,43.8,97.6,0.3,,,,,107.7,,,,283.0,174.2,,-250.0,-165.5,,-254.0,6.0,,,,,-58.2,,-246.0,,-254.9,-273.1,,-320.2,-266.4,-363.7,,,,,-256.3,,,,-81.0,-189.8,,True,,False,True,,,,,True,,True,,False,False,,False,False,False,,,,,False,,,,True,True,
01047,77,69.0,101.3,,60.0,47.0,,,,,262.6,,95.0,,62.7,36.6,,23.1,53.5,0.2,37.0,,,,52.0,,,,43.0,202.8,,-8.0,24.3,,-17.0,-30.0,,,,,185.6,,18.0,,-14.3,-40.4,,-53.9,-23.5,-76.8,-40.0,,,,-25.0,,,,-34.0,125.8,,False,,False,False,,,,,False,,False,,False,False,,False,False,False,False,,,,False,,,,False,False,
01049,855,726.0,736.3,,587.0,1606.0,,,,,427.3,,355.0,,654.0,109.7,,620.9,625.0,20.3,1105.0,,,,539.0,,,,953.0,319.6,,-129.0,-118.7,,-268.0,751.0,,,,,-427.7,,-500.0,,-201.0,-745.3,,-234.1,-230.0,-834.7,250.0,,,,-316.0,,,,98.0,-535.4,,True,,False,False,,,,,False,,False,,False,False,,False,False,False,False,,,,False,,,,True,False,
01051,364,384.0,474.0,,322.0,465.0,,,,,882.5,,152.0,,321.5,116.7,,288.8,327.6,5.6,378.0,,,,294.6,,,,383.0,365.3,,20.0,110.0,,-42.0,101.0,,,,,518.5,,-212.0,,-42.5,-247.3,,-75.2,-36.4,-358.4,14.0,,,,-69.4,,,,19.0,1.3,,False,,False,False,,,,,False,,False,,False,False,,False,False,False,True,,,,False,,,,True,True,
01053,85,102.0,102.5,,81.0,1.0,,,,,210.1,,155.0,,105.3,62.7,,38.2,69.3,0.1,84.0,,,,58.7,,,,140.0,224.2,,17.0,17.5,,-4.0,-84.0,,,,,125.1,,70.0,,20.3,-22.3,,-46.8,-15.7,-84.9,-1.0,,,,-26.3,,,,55.0,139.2,,False,,True,False,,,,,False,,False,,False,False,,False,True,False,True,,,,False,,,,False,False,
01055,743,300.0,214.3,,264.0,186.0,,,,,620.0,,442.0,,263.3,224.3,,244.1,315.9,5.0,202.0,,,,230.5,,,,250.0,399.9,,-443.0,-528.7,,-479.0,-557.0,,,,,-123.0,,-301.0,,-479.7,-518.7,,-498.9,-427.1,-738.0,-541.0,,,,-512.5,,,,-493.0,-343.1,,False,,False,False,,,,,True,,True,,False,False,,False,True,False,False,,,,False,,,,False,True,
01057,111,63.0,71.3,,54.0,49.0,,,,,126.0,,56.0,,34.3,32.9,,44.4,78.7,0.3,26.0,,,,,,,,18.0,95.3,,-48.0,-39.7,,-57.0,-62.0,,,,,15.0,,-55.0,,-76.7,-78.2,,-66.6,-32.3,-110.7,-85.0,,,,,,,,-93.0,-15.7,,True,,False,False,,,,,True,,False,,False,False,,False,True,False,False,,,,,,,,False,True,
01059,234,150.0,139.9,,116.0,94.0,,,,,280.3,,164.0,,102.8,48.3,,54.7,132.6,7.3,195.0,,,,115.4,,,,195.0,392.3,,-84.0,-94.1,,-118.0,-140.0,,,,,46.3,,-70.0,,-131.2,-185.7,,-179.3,-101.4,-226.7,-39.0,,,,-118.6,,,,-39.0,158.3,,False,,False,False,,,,,True,,True,,False,False,,False,False,False,True,,,,False,,,,True,False,
01061,186,165.0,202.6,,129.0,329.0,,,,,169.1,,83.0,,220.1,84.6,,69.9,128.9,0.1,245.0,,,,,,,,276.0,88.5,,-21.0,16.6,,-57.0,143.0,,,,,-16.9,,-103.0,,34.1,-101.4,,-116.1,-57.1,-185.9,59.0,,,,,,,,90.0,-97.5,,True,,False,False,,,,,True,,False,,False,False,,False,False,False,False,,,,,,,,False,False,
01063,27,57.0,46.2,,21.0,0.0,,,,,122.0,,15.0,,49.5,7.8,,15.8,26.7,0.0,18.0,,,,,,,,100.0,22.2,,30.0,19.2,,-6.0,-27.0,,,,,95.0,,-12.0,,22.5,-19.2,,-11.2,-0.3,-27.0,-9.0,,,,,,,,73.0,-4.8,,True,,True,True,,,,,False,,True,,True,True,,True,True,True,True,,,,,,,,False,True,
01065,97,93.0,103.7,,52.0,28.0,,,,,140.6,,47.0,,86.0,23.5,,28.3,67.8,0.6,87.0,,,,,,,,79.0,51.1,,-4.0,6.7,,-45.0,-69.0,,,,,43.6,,-50.0,,-11.0,-73.5,,-68.7,-29.2,-96.4,-10.0,,,,,,,,-18.0,-45.9,,False,,False,False,,,,,False,,False,,False,False,,False,False,False,False,,,,,,,,False,False,
01067,151,108.0,142.2,,79.0,77.0,,,,,136.7,,39.0,,124.6,38.2,,31.2,79.5,0.1,146.0,,,,,,,,181.0,292.8,,-43.0,-8.8,,-72.0,-74.0,,,,,-14.3,,-112.0,,-26.4,-112.8,,-119.8,-71.5,-150.9,-5.0,,,,,,,,30.0,141.8,,True,,False,False,,,,,True,,False,,True,False,,False,False,False,True,,,,,,,,True,False,
01069,818,453.0,331.5,,328.0,452.0,,,,,904.9,,264.0,,636.3,280.5,,194.0,306.5,1.0,,,,,330.2,,,,1329.0,418.3,,-365.0,-486.5,,-490.0,-366.0,,,,,86.9,,-554.0,,-181.7,-537.5,,-624.0,-511.5,-817.0,,,,,-487.8,,,,511.0,-399.7,,False,,False,False,,,,,True,,False,,True,False,,False,False,False,,,,,False,,,,False,False,
01071,522,387.0,424.9,,321.0,554.0,,,,,241.3,,291.0,,333.7,93.5,,335.6,359.7,1.5,636.0,,,,245.0,,,,427.0,254.2,,-135.0,-97.1,,-201.0,32.0,,,,,-280.7,,-231.0,,-188.3,-428.5,,-186.4,-162.3,-520.5,114.0,,,,-277.0,,,,-95.0,-267.8,,True,,False,True,,,,,False,,False,,False,False,,False,False,False,True,,,,False,,,,True,False,
01073,2950,2253.0,1835.4,2060.2,1888.0,2564.0,,,,,3684.7,,1618.0,,1687.8,1120.6,,1895.8,2170.9,195.0,2105.0,,,,1624.7,1588.0,,,1787.0,2018.0,,-697.0,-1114.6,-889.8,-1062.0,-386.0,,,,,734.7,,-1332.0,,-1262.2,-1829.4,,-1054.2,-779.1,-2755.0,-845.0,,,,-1325.3,-1362.0,,,-1163.0,-932.0,,False,False,False,True,,,,,False,,False,,False,False,,False,False,False,False,,,,False,False,,,False,False,
01075,118,48.0,37.1,,43.0,29.0,,,,,137.7,,51.0,,33.0,20.7,,34.3,65.7,0.2,41.0,,,,,,,,32.0,94.3,,-70.0,-80.9,,-75.0,-89.0,,,,,19.7,,-67.0,,-85.0,-97.3,,-83.7,-52.3,-117.8,-77.0,,,,,,,,-86.0,-23.7,,False,,False,False,,,,,True,,True,,False,False,,False,True,False,False,,,,,,,,False,True,
01077,551,321.0,297.7,,283.0,386.0,,,,,421.0,,381.0,,274.0,108.9,,172.0,294.8,141.5,426.0,,,,270.6,,,,334.0,134.1,,-230.0,-253.3,,-268.0,-165.0,,,,,-130.0,,-170.0,,-277.0,-442.1,,-379.0,-256.2,-409.5,-125.0,,,,-280.4,,,,-217.0,-416.9,,False,,False,True,,,,,True,,True,,False,False,,False,False,False,True,,,,False,,,,True,False,
01079,205,177.0,182.0,,142.0,152.0,,,,,535.2,,130.0,,148.4,55.0,,105.2,149.6,70.5,285.0,,,,,,,,71.0,93.7,,-28.0,-23.0,,-63.0,-53.0,,,,,330.2,,-75.0,,-56.6,-150.0,,-99.8,-55.4,-134.5,80.0,,,,,,,,-134.0,-111.3,,True,,False,False,,,,,False,,False,,False,False,,False,False,False,False,,,,,,,,False,False,
01081,421,492.0,447.8,,401.0,633.0,,,,,3487.9,,357.0,,447.8,413.7,,335.8,386.9,3.7,269.0,,,,408.2,153.0,,,409.0,1656.2,,71.0,26.8,,-20.0,212.0,,,,,3066.9,,-64.0,,26.8,-7.3,,-85.2,-34.1,-417.3,-152.0,,,,-12.8,-268.0,,,-12.0,1235.2,,True,,True,False,,,,,False,,True,,True,True,,False,True,False,False,,,,True,False,,,True,False,
01083,553,747.0,696.3,,608.0,972.0,,,,,499.0,,363.0,,669.3,115.2,,606.2,648.7,420.6,1190.0,,,,449.7,,,,901.0,746.0,,194.0,143.3,,55.0,419.0,,,,,-54.0,,-190.0,,116.3,-437.8,,53.2,95.7,-132.4,637.0,,,,-103.3,,,,348.0,193.0,,True,,True,False,,,,,True,,True,,True,False,,True,True,True,False,,,,True,,,,False,True,
01085,47,51.0,23.6,,24.0,0.0,,,,,134.6,,14.0,,36.1,8.1,,14.5,45.4,0.1,21.0,,,,,,,,0.0,33.4,,4.0,-23.4,,-23.0,-47.0,,,,,87.6,,-33.0,,-10.9,-38.9,,-32.5,-1.6,-46.9,-26.0,,,,,,,,-47.0,-13.6,,False,,False,False,,,,,False,,False,,False,False,,False,True,False,False,,,,,,,,False,False,
01087,48,63.0,43.6,,33.0,21.0,,,,,154.4,,20.0,,49.8,19.1,,15.4,50.7,0.0,101.0,,,,,,,,107.0,33.1,216.3,15.0,-4.4,,-15.0,-27.0,,,,,106.4,,-28.0,,1.8,-28.9,,-32.6,2.7,-48.0,53.0,,,,,,,,59.0,-14.9,168.3,True,,False,False,,,,,False,,False,,True,False,,False,True,False,False,,,,,,,,False,True,False
01089,1197,903.0,858.1,1047.9,858.0,949.0,,,,,1378.2,,983.0,,749.7,616.2,,794.4,1078.8,144.0,712.0,,,,571.1,714.0,,,704.0,817.2,,-294.0,-338.9,-149.1,-339.0,-248.0,,,,,181.2,,-214.0,,-447.3,-580.8,,-402.6,-118.2,-1053.0,-485.0,,,,-625.9,-483.0,,,-493.0,-379.8,,False,True,False,True,,,,,True,,True,,False,False,,False,True,False,False,,,,False,False,,,False,False,
01091,185,405.0,402.7,,178.0,4.0,,,,,199.3,,74.0,,297.0,21.2,,327.7,143.2,55.2,487.0,,,,,,,,235.0,380.7,,220.0,217.7,,-7.0,-181.0,,,,,14.3,,-111.0,,112.0,-163.8,,142.7,-41.8,-129.8,302.0,,,,,,,,50.0,195.7,,True,,True,True,,,,,True,,True,,True,True,,True,True,True,False,,,,,,,,True,True,
01093,102,84.0,19.9,,61.0,59.0,,,,,241.7,,108.0,,79.1,47.2,,27.2,58.6,0.2,51.0,,,,,,,,100.0,148.7,,-18.0,-82.1,,-41.0,-43.0,,,,,139.7,,6.0,,-22.9,-54.8,,-74.8,-43.4,-101.8,-51.0,,,,,,,,-2.0,46.7,,False,,False,False,,,,,False,,True,,False,False,,False,False,False,False,,,,,,,,True,False,
01095,400,336.0,313.7,,291.0,432.0,,,,,505.7,,435.0,,278.5,159.9,,263.4,308.8,8.3,320.0,,,,245.7,,,,343.0,240.2,,-64.0,-86.3,,-109.0,32.0,,,,,105.7,,35.0,,-121.5,-240.1,,-136.6,-91.2,-391.7,-80.0,,,,-154.3,,,,-57.0,-159.8,,False,,False,True,,,,,False,,True,,False,False,,False,False,False,False,,,,False,,,,True,False,
01097,3341,684.0,738.5,694.4,653.0,570.0,,,,,1266.1,,1473.0,,517.7,537.5,,531.2,689.9,18.8,495.0,,,,633.7,545.0,,,455.0,1185.8,,-2657.0,-2602.5,-2646.6,-2688.0,-2771.0,,,,,-2074.9,,-1868.0,,-2823.3,-2803.5,,-2809.8,-2651.1,-3322.2,-2846.0,,,,-2707.3,-2796.0,,,-2886.0,-2155.2,,True,True,False,False,,,,,True,,True,,False,False,,False,True,False,False,,,,False,False,,,False,True,
01099,59,39.0,13.3,,29.0,0.0,,,,,153.8,,62.0,,34.8,15.0,,5.4,27.9,0.0,15.0,,,,,,,,34.0,38.3,53.4,-20.0,-45.7,,-30.0,-59.0,,,,,94.8,,3.0,,-24.2,-44.0,,-53.6,-31.1,-59.0,-44.0,,,,,,,,-25.0,-20.7,-5.6,False,,False,False,,,,,False,,True,,False,False,,False,False,False,False,,,,,,,,False,False,True
01101,1444,666.0,810.4,586.5,523.0,658.0,,,,,1227.0,,411.0,,460.2,246.3,,415.0,735.0,28.2,830.0,,,,587.8,460.0,,,691.0,475.3,,-778.0,-633.6,-857.5,-921.0,-786.0,,,,,-217.0,,-1033.0,,-983.8,-1197.7,,-1029.0,-709.0,-1415.8,-614.0,,,,-856.2,-984.0,,,-753.0,-968.7,,True,False,False,False,,,,,True,,False,,False,False,,False,True,False,True,,,,False,False,,,True,False,
01103,842,636.0,649.9,,484.0,1083.0,,,,,633.1,,439.0,,517.3,135.1,,418.5,604.5,19.8,951.0,,,,413.0,,,,811.0,271.2,,-206.0,-192.1,,-358.0,241.0,,,,,-208.9,,-403.0,,-324.7,-706.9,,-423.5,-237.5,-822.2,109.0,,,,-429.0,,,,-31.0,-570.8,,True,,False,False,,,,,False,,False,,False,False,,False,False,False,True,,,,False,,,,True,False,
01105,39,69.0,22.7,,33.0,0.0,,,,,104.0,,14.0,,57.6,4.9,,35.2,38.3,0.0,20.0,,,,,,,,199.0,41.5,,30.0,-16.3,,-6.0,-39.0,,,,,65.0,,-25.0,,18.6,-34.1,,-3.8,-0.7,-39.0,-19.0,,,,,,,,160.0,2.5,,True,,True,False,,,,,False,,True,,True,False,,True,True,False,True,,,,,,,,False,True,
01107,204,99.0,105.6,,75.0,42.0,,,,,187.6,,63.0,,66.2,35.8,,81.9,97.2,0.5,101.0,,,,,,,,58.0,75.8,,-105.0,-98.4,,-129.0,-162.0,,,,,-16.4,,-141.0,,-137.8,-168.2,,-122.1,-106.8,-203.5,-103.0,,,,,,,,-146.0,-128.2,,True,,False,False,,,,,True,,False,,False,False,,False,False,False,True,,,,,,,,False,False,
01109,113,96.0,34.0,,75.0,94.0,,,,,352.0,,88.0,,72.1,51.4,,20.9,71.9,0.0,53.0,,,,78.7,,,,55.0,305.6,,-17.0,-79.0,,-38.0,-19.0,,,,,239.0,,-25.0,,-40.9,-61.6,,-92.1,-41.1,-113.0,-60.0,,,,-34.3,,,,-58.0,192.6,,False,,False,False,,,,,False,,False,,False,False,,False,False,False,False,,,,False,,,,False,False,
