,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
North Dakota,30582,14800.0,,21756.5,,15727.0,13233.1,7072.7,9814.3,14165.4,10743.0,-15782.0,,-8825.5,,-14855.0,-17348.9,-23509.3,-20767.7,-16416.6,-19839.0,,True,,True,False,False,False,False,False
Ohio,85912,67720.0,,61658.3,,64086.0,57161.2,16534.1,42693.7,72793.5,60869.0,-18192.0,,-24253.7,,-21826.0,-28750.8,-69377.9,-43218.3,-13118.5,-25043.0,,False,,False,False,False,False,True,False
Oklahoma,59575,46672.0,,44365.7,,45286.0,32264.0,16994.9,27064.5,42000.8,34548.0,-12903.0,,-15209.3,,-14289.0,-27311.0,-42580.1,-32510.5,-17574.2,-25027.0,,False,,False,False,False,False,False,False
Oregon,17065,12504.0,,11618.0,,9548.0,9840.7,5993.4,6663.2,12515.1,10706.0,-4561.0,,-5447.0,,-7517.0,-7224.3,-11071.6,-10401.8,-4549.9,-6359.0,,False,,False,False,False,False,True,False
Pennsylvania,69511,45632.0,,49344.9,,31995.0,38303.9,15293.7,46859.0,62927.3,56862.0,-23879.0,,-20166.1,,-37516.0,-31207.1,-54217.3,-22652.0,-6583.7,-12649.0,,True,,False,False,False,True,True,True
Rhode Island,10761,4480.0,,2416.3,,4755.0,3296.2,242.2,5271.2,3208.6,1430.0,-6281.0,,-8344.7,,-6006.0,-7464.8,-10518.8,-5489.8,-7552.4,-9331.0,,False,,True,False,False,True,False,False
South Carolina,52323,56320.0,,43793.7,,41559.0,38701.0,16009.7,35693.0,43703.9,36500.0,3997.0,,-8529.3,,-10764.0,-13622.0,-36313.3,-16630.0,-8619.1,-15823.0,,False,,False,False,False,False,False,False
South Dakota,31103,15576.0,,19875.3,,16191.0,18353.4,6917.0,21173.4,7452.0,8134.0,-15527.0,,-11227.7,,-14912.0,-12749.6,-24186.0,-9929.6,-23651.0,-22969.0,,True,,True,True,False,True,False,False
Tennessee,98310,80656.0,,81268.8,,67832.0,54788.1,38110.9,39118.9,64131.3,36457.0,-17654.0,,-17041.2,,-30478.0,-43521.9,-60199.1,-59191.1,-34178.7,-61853.0,,True,,False,False,False,False,False,False
Texas,282947,232512.0,,172653.6,,259941.0,139744.4,77149.2,123247.2,107194.5,124364.0,-50435.0,,-110293.4,,-23006.0,-143202.6,-205797.8,-159699.8,-175752.5,-158583.0,,False,,True,False,False,False,False,False
Utah,60384,22928.0,,24013.3,,19978.0,19079.7,7427.8,14117.9,22082.7,17312.0,-37456.0,,-36370.7,,-40406.0,-41304.3,-52956.2,-46266.1,-38301.3,-43072.0,,True,,False,False,False,False,False,False
Vermont,532,336.0,,213.3,,390.0,487.9,156.5,450.2,146.4,257.0,-196.0,,-318.7,,-142.0,-44.1,-375.5,-81.8,-385.6,-275.0,,False,,True,True,False,True,False,False
Virginia,55463,55096.0,,53516.2,,35097.0,43616.5,33698.0,40529.3,58689.1,0.0,-367.0,,-1946.8,,-20366.0,-11846.5,-21765.0,-14933.7,3226.1,-55463.0,,False,,False,False,False,False,False,False
Washington,32829,23656.0,,15972.2,,14823.0,19643.4,11498.2,15493.1,16380.3,17777.0,-9173.0,,-16856.8,,-18006.0,-13185.6,-21330.8,-17335.9,-16448.7,-15052.0,,False,,False,False,False,False,False,False
West Virginia,13167,10584.0,,15332.7,,7608.0,11800.7,5030.2,4958.3,23906.6,15834.0,-2583.0,,2165.7,,-5559.0,-1366.3,-8136.8,-8208.7,10739.6,2667.0,,True,,False,True,False,False,False,False
Wisconsin,157569,44000.0,,48669.1,,40519.0,29955.0,27915.6,36045.1,79126.1,33484.0,-113569.0,,-108899.9,,-117050.0,-127614.0,-129653.4,-121523.9,-78442.9,-124085.0,,True,,False,False,False,False,True,False
Wyoming,9308,1560.0,,1371.7,,3356.0,1274.8,1146.8,1039.0,2274.9,419.0,-7748.0,,-7936.3,,-5952.0,-8033.2,-8161.1,-8269.0,-7033.1,-8889.0,,False,,True,False,False,False,True,False
US,2902069,2271008.0,2567455.0,1451433.9,1983956.9,2332310.0,1649450.9,900819.5,1323346.4,1791872.0,1402438.0,-631061.0,-334614.0,-1450635.1,-918112.1,-569759.0,-1252618.1,-2001249.5,-1578722.6,-1110197.0,-1499631.0,True,False,False,True,False,False,False,False,False
