,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,46917,44260.0,60128.0,,37718.5,30151.0,,50297.0,37209.2,38438.3,31490.2,37456.0,20901.2,,22755.2,27802.1,29089.5,30346.0,-2657.0,13211.0,,-9198.5,-16766.0,,3380.0,-9707.8,-8478.7,-15426.8,-9461.0,-26015.8,,-24161.8,-19114.9,-17827.5,-16571.0,False,,False,False,,False,False,False,False,False,False,,False,False,False,False
Hawaii,3079,3460.0,9575.0,,3096.0,1730.0,,,1230.4,3277.9,5891.5,3100.4,2738.3,,1254.5,2730.3,3525.1,2382.0,381.0,6496.0,,17.0,-1349.0,,,-1848.6,198.9,2812.5,21.4,-340.7,,-1824.5,-348.7,446.1,-697.0,False,,True,False,,,False,True,False,True,True,,False,True,False,False
Idaho,24312,15245.0,33192.0,,12654.9,6211.0,,9432.0,18549.8,19071.4,9113.6,10058.6,8872.0,,4566.4,8483.6,15369.8,12054.0,-9067.0,8880.0,,-11657.1,-18101.0,,-14880.0,-5762.2,-5240.6,-15198.4,-14253.4,-15440.0,,-19745.6,-15828.4,-8942.2,-12258.0,True,,False,False,,False,True,True,False,False,False,,False,False,True,False
Illinois,127774,68660.0,107066.0,,54331.6,9561.0,,58104.0,78361.4,56308.8,57775.9,52396.8,43274.6,,42947.5,69315.6,68640.7,55255.0,-59114.0,-20708.0,,-73442.4,-118213.0,,-69670.0,-49412.6,-71465.2,-69998.1,-75377.2,-84499.4,,-84826.5,-58458.4,-59133.3,-72519.0,True,,False,False,,False,True,False,False,False,False,,False,True,False,False
Indiana,62809,28950.0,50118.0,,28330.5,21162.0,,17925.0,27413.9,22962.6,33902.3,33198.8,22651.3,,16457.9,21236.2,35785.8,25004.0,-33859.0,-12691.0,,-34478.5,-41647.0,,-44884.0,-35395.1,-39846.4,-28906.7,-29610.2,-40157.7,,-46351.1,-41572.8,-27023.2,-37805.0,True,,False,False,,False,False,False,True,True,False,,False,False,True,False
Iowa,42602,30520.0,33589.0,,26092.1,22395.0,,32630.0,29352.7,34081.8,18661.0,39394.1,20314.1,,13769.7,25291.4,27725.0,17593.0,-12082.0,-9013.0,,-16509.9,-20207.0,,-9972.0,-13249.3,-8520.2,-23941.0,-3207.9,-22287.9,,-28832.3,-17310.6,-14877.0,-25009.0,True,,False,False,,True,False,True,False,True,False,,False,False,False,False
Kansas,28838,20835.0,20045.0,,16985.0,17730.0,,17533.0,14475.3,27300.8,14867.6,22046.4,10833.5,,5818.8,20696.9,14736.5,21229.0,-8003.0,-8793.0,,-11853.0,-11108.0,,-11305.0,-14362.7,-1537.2,-13970.4,-6791.6,-18004.5,,-23019.2,-8141.1,-14101.5,-7609.0,False,,False,False,,False,False,True,False,True,False,,False,False,False,True
Kentucky,41183,24650.0,60503.0,,21594.0,21311.0,,26117.0,26762.0,26010.7,21058.2,24649.5,15303.6,,12670.3,19189.0,26212.9,22893.0,-16533.0,19320.0,,-19589.0,-19872.0,,-15066.0,-14421.0,-15172.3,-20124.8,-16533.5,-25879.4,,-28512.7,-21994.0,-14970.1,-18290.0,False,,False,False,,True,True,True,False,False,False,,False,False,True,False
Louisiana,21497,18225.0,23049.0,,12244.6,9306.0,,26783.0,15611.2,14666.6,22290.6,14015.8,11479.9,,9259.1,9734.1,10918.2,9507.0,-3272.0,1552.0,,-9252.4,-12191.0,,5286.0,-5885.8,-6830.4,793.6,-7481.2,-10017.1,,-12237.9,-11762.9,-10578.8,-11990.0,True,,False,False,,False,False,False,True,False,False,,False,False,False,False
Maine,1404,1120.0,2343.0,,1035.8,310.0,,917.0,1425.7,1497.9,1945.0,1298.5,611.1,,564.2,1171.1,961.7,1353.0,-284.0,939.0,,-368.2,-1094.0,,-487.0,21.7,93.9,541.0,-105.5,-792.9,,-839.8,-232.9,-442.3,-51.0,False,,False,False,,False,True,True,False,True,False,,False,True,False,True
Maryland,22309,16140.0,12918.0,,14604.0,834.0,,15777.0,16643.4,11711.0,32822.3,20571.6,10474.2,,7092.6,10185.7,11606.4,11551.0,-6169.0,-9391.0,,-7705.0,-21475.0,,-6532.0,-5665.6,-10598.0,10513.3,-1737.4,-11834.8,,-15216.4,-12123.3,-10702.6,-10758.0,False,,False,False,,False,True,False,False,True,False,,False,False,False,False
Massachusetts,28526,14345.0,19167.0,,12080.1,300.0,,8753.0,20931.4,9311.8,16288.2,13896.6,12177.7,,14914.3,13715.6,26639.1,19779.0,-14181.0,-9359.0,,-16445.9,-28226.0,,-19773.0,-7594.6,-19214.2,-12237.8,-14629.4,-16348.3,,-13611.7,-14810.4,-1886.9,-8747.0,True,,False,False,,False,True,False,True,False,False,,True,False,True,True
Michigan,63033,31430.0,66858.0,,24195.3,3709.0,,33439.0,38513.0,28341.9,46843.1,30422.2,14111.1,,2553.7,38659.5,21078.4,27677.0,-31603.0,3825.0,,-38837.7,-59324.0,,-29594.0,-24520.0,-34691.1,-16189.9,-32610.8,-48921.9,,-60479.3,-24373.5,-41954.6,-35356.0,True,,False,False,,True,True,False,True,False,False,,False,True,False,False
Minnesota,52813,34690.0,145683.0,,23562.4,3402.0,,43330.0,24911.0,28390.0,20701.5,25846.6,27236.7,,24061.5,28993.1,62403.8,35806.0,-18123.0,92870.0,,-29250.6,-49411.0,,-9483.0,-27902.0,-24423.0,-32111.5,-26966.4,-25576.3,,-28751.5,-23819.9,9590.8,-17007.0,False,,False,False,,True,False,False,False,False,False,,False,False,True,True
Mississippi,23483,17950.0,20932.0,,14198.6,7377.0,,15441.0,14864.8,15796.8,9637.9,9365.8,10210.1,,7390.3,12647.9,13698.4,11489.0,-5533.0,-2551.0,,-9284.4,-16106.0,,-8042.0,-8618.2,-7686.2,-13845.1,-14117.2,-13272.9,,-16092.7,-10835.1,-9784.6,-11994.0,True,,False,False,,False,False,False,False,False,False,,False,False,False,False
Missouri,62486,53210.0,71106.0,,53147.3,38477.0,,38426.0,60515.8,54266.4,30846.4,47419.9,39120.9,,26705.2,31166.3,52863.3,34561.0,-9276.0,8620.0,,-9338.7,-24009.0,,-24060.0,-1970.2,-8219.6,-31639.6,-15066.1,-23365.1,,-35780.8,-31319.7,-9622.7,-27925.0,True,,False,False,,False,True,True,False,False,False,,False,False,False,False
Montana,20894,8720.0,9517.0,,7436.4,2462.0,,10784.0,9244.8,13405.7,3468.5,7471.4,7110.5,,4266.4,4513.2,17035.0,9378.0,-12174.0,-11377.0,,-13457.6,-18432.0,,-10110.0,-11649.2,-7488.3,-17425.5,-13422.6,-13783.5,,-16627.6,-16380.8,-3859.0,-11516.0,True,,False,False,,True,True,True,False,False,False,,False,False,True,True
Nebraska,27136,13995.0,55965.0,,14334.7,1743.0,,10564.0,18925.4,16065.4,13814.0,15492.9,10347.1,,7635.2,10232.1,16401.4,9870.0,-13141.0,28829.0,,-12801.3,-25393.0,,-16572.0,-8210.6,-11070.6,-13322.0,-11643.1,-16788.9,,-19500.8,-16903.9,-10734.6,-17266.0,False,,True,False,,False,True,True,False,True,False,,False,False,True,False
Nevada,22406,14680.0,31141.0,,10500.6,4800.0,,6752.0,13327.9,11790.8,7311.5,5653.3,10431.4,,7185.5,9531.2,20650.3,13867.0,-7726.0,8735.0,,-11905.4,-17606.0,,-15654.0,-9078.1,-10615.2,-15094.5,-16752.7,-11974.6,,-15220.5,-12874.8,-1755.7,-8539.0,False,,False,False,,False,False,False,False,False,False,,False,False,True,False
New Hampshire,2963,1005.0,1205.0,,1126.1,1.0,,1196.0,1450.0,959.3,2723.3,2989.2,800.2,,609.0,957.8,1567.8,840.0,-1958.0,-1758.0,,-1836.9,-2962.0,,-1767.0,-1513.0,-2003.7,-239.7,26.2,-2162.8,,-2354.0,-2005.2,-1395.2,-2123.0,True,,True,False,,True,True,False,True,True,False,,False,False,True,False
New Jersey,35036,17705.0,82173.0,,10291.2,46.0,,12347.0,19303.8,10945.9,59647.2,16142.3,13188.3,,15055.0,17110.9,29510.7,23409.0,-17331.0,47137.0,,-24744.8,-34990.0,,-22689.0,-15732.2,-24090.1,24611.2,-18893.7,-21847.7,,-19981.0,-17925.1,-5525.3,-11627.0,False,,False,False,,False,True,False,False,False,False,,False,False,True,True
New Mexico,17798,5900.0,14619.0,,4487.9,1371.0,,8937.0,6826.2,5858.1,8803.8,4297.5,4614.8,,,4030.9,15536.7,7790.0,-11898.0,-3179.0,,-13310.1,-16427.0,,-8861.0,-10971.8,-11939.9,-8994.2,-13500.5,-13183.2,,,-13767.1,-2261.3,-10008.0,True,,False,False,,True,True,False,True,False,False,,,False,True,True
New York,52783,28610.0,41899.0,,10646.8,27.0,,12234.0,33548.4,19890.0,59290.9,24875.7,18286.5,,18158.0,17582.7,33607.4,30552.0,-24173.0,-10884.0,,-42136.2,-52756.0,,-40549.0,-19234.6,-32893.0,6507.9,-27907.3,-34496.5,,-34624.9,-35200.3,-19175.6,-22231.0,True,,False,False,,False,True,False,True,False,False,,False,False,True,True
North Carolina,66861,69065.0,88896.0,,51128.2,50735.0,,47039.0,43648.1,68953.0,51888.4,34465.5,37277.6,,27703.5,43119.6,162397.0,69740.0,2204.0,22035.0,,-15732.8,-16126.0,,-19822.0,-23212.9,2092.0,-14972.6,-32395.5,-29583.4,,-39157.5,-23741.4,95536.0,2879.0,False,,False,False,,False,False,True,False,False,False,,False,False,False,False
North Dakota,23536,13865.0,11645.0,,12222.3,13.0,,17103.0,17008.3,17130.2,4094.4,22734.9,10847.4,,7792.8,10923.9,10935.1,6149.0,-9671.0,-11891.0,,-11313.7,-23523.0,,-6433.0,-6527.7,-6405.8,-19441.6,-801.1,-12688.6,,-15743.2,-12612.1,-12600.9,-17387.0,False,,False,False,,True,True,True,False,True,False,,False,False,False,False
Ohio,65688,32310.0,50305.0,,27020.7,27113.0,,24427.0,27104.0,28139.2,43193.2,30165.2,21232.6,,14917.1,17769.1,29382.9,25383.0,-33378.0,-15383.0,,-38667.3,-38575.0,,-41261.0,-38584.0,-37548.8,-22494.8,-35522.8,-44455.4,,-50770.8,-47918.9,-36305.1,-40305.0,True,,False,False,,False,False,False,True,False,False,,False,False,False,False
Oklahoma,39252,38530.0,47220.0,,35334.7,25839.0,,32210.0,47968.1,52215.0,23546.3,44944.8,22382.2,,17621.4,19769.8,27202.8,25986.0,-722.0,7968.0,,-3917.3,-13413.0,,-7042.0,8716.1,12963.0,-15705.7,5692.8,-16869.8,,-21630.6,-19482.2,-12049.2,-13266.0,False,,False,False,,False,False,False,False,False,False,,False,False,False,False
Oregon,12340,9910.0,24207.0,,8129.0,4517.0,,8248.0,10109.8,11532.0,13350.9,5215.6,6671.9,,5870.8,5892.8,18115.2,12562.0,-2430.0,11867.0,,-4211.0,-7823.0,,-4092.0,-2230.2,-808.0,1010.9,-7124.4,-5668.1,,-6469.2,-6447.2,5775.2,222.0,False,,False,False,,False,True,True,True,False,False,,False,False,False,True
Pennsylvania,52858,28485.0,32495.0,,23923.5,3026.0,,20184.0,32773.0,26135.5,65375.2,24061.7,18278.3,,13994.3,26018.0,30097.0,23774.0,-24373.0,-20363.0,,-28934.5,-49832.0,,-32674.0,-20085.0,-26722.5,12517.2,-28796.3,-34579.7,,-38863.7,-26840.0,-22761.0,-29084.0,True,,False,False,,False,True,False,True,False,False,,False,False,True,False
Rhode Island,8693,2805.0,3726.0,,3082.0,0.0,,5430.0,4839.2,2490.4,4433.1,4681.3,1015.7,,331.0,2542.4,1979.7,1113.0,-5888.0,-4967.0,,-5611.0,-8693.0,,-3263.0,-3853.8,-6202.6,-4259.9,-4011.7,-7677.3,,-8362.0,-6150.6,-6713.3,-7580.0,True,,True,False,,True,True,False,True,True,False,,False,False,False,False
South Carolina,31339,40165.0,41935.0,,28215.5,12448.0,,29460.0,34535.5,36634.6,10446.5,43363.3,19774.5,,,23376.2,25898.7,25287.0,8826.0,10596.0,,-3123.5,-18891.0,,-1879.0,3196.5,5295.6,-20892.5,12024.3,-11564.5,,,-7962.8,-5440.3,-6052.0,False,,True,False,,True,True,True,False,False,False,,,True,True,True
South Dakota,24859,13445.0,11369.0,,10257.9,96.0,,12390.0,13701.1,18336.4,2025.5,8980.7,12305.0,,9795.7,11955.6,18466.0,7808.0,-11414.0,-13490.0,,-14601.1,-24763.0,,-12469.0,-11157.9,-6522.6,-22833.5,-15878.3,-12554.0,,-15063.3,-12903.4,-6393.0,-17051.0,False,,False,False,,False,True,True,False,False,False,,False,False,True,False
Tennessee,69781,47260.0,52335.0,,43000.7,25037.0,,43066.0,36303.8,42901.5,26216.4,32932.7,41994.6,,29943.5,21448.1,41092.4,31046.0,-22521.0,-17446.0,,-26780.3,-44744.0,,-26715.0,-33477.2,-26879.5,-43564.6,-36848.3,-27786.4,,-39837.5,-48332.9,-28688.6,-38735.0,True,,False,False,,False,False,False,False,False,False,,False,False,False,False
Texas,182443,231855.0,123327.0,,169577.0,63992.0,,246140.0,141622.7,193383.9,85229.8,206791.7,80771.6,,38019.5,171058.7,121255.3,114125.0,49412.0,-59116.0,,-12866.0,-118451.0,,63697.0,-40820.3,10940.9,-97213.2,24348.7,-101671.4,,-144423.5,-11384.3,-61187.7,-68318.0,False,,True,False,,False,True,True,False,True,False,,False,True,False,False
Utah,45109,33475.0,28673.0,,33588.7,11533.0,,31824.0,50935.5,30683.7,14523.0,48837.9,27938.4,,21878.2,16412.7,42156.5,36306.0,-11634.0,-16436.0,,-11520.3,-33576.0,,-13285.0,5826.5,-14425.3,-30586.0,3728.9,-17170.6,,-23230.8,-28696.3,-2952.5,-8803.0,False,,True,False,,False,True,False,False,True,False,,False,False,True,True
Vermont,440,145.0,167.0,,204.4,57.0,,43.0,69.7,657.8,493.7,163.6,77.3,,59.7,220.2,123.8,105.0,-295.0,-273.0,,-235.6,-383.0,,-397.0,-370.3,217.8,53.7,-276.4,-362.7,,-380.3,-219.8,-316.2,-335.0,True,,True,False,,False,False,True,True,True,False,,False,True,False,False
Virginia,35782,28605.0,26677.0,,23557.3,4466.0,,26843.0,28073.7,32716.0,28442.2,30503.1,17674.4,,15214.4,21017.5,21482.7,0.0,-7177.0,-9105.0,,-12224.7,-31316.0,,-8939.0,-7708.3,-3066.0,-7339.8,-5278.9,-18107.6,,-20567.6,-14764.5,-14299.3,-35782.0,False,,False,False,,False,False,True,False,True,False,,False,False,False,False
Washington,21671,18155.0,80032.0,,12773.6,23953.0,,8872.0,18074.0,17492.7,19949.8,10034.3,13201.6,,6759.5,12747.3,42516.5,25724.0,-3516.0,58361.0,,-8897.4,2282.0,,-12799.0,-3597.0,-4178.3,-1721.2,-11636.7,-8469.4,,-14911.5,-8923.7,20845.5,4053.0,False,,False,True,,False,False,False,True,False,False,,False,False,False,False
West Virginia,9293,6390.0,7353.0,,6213.6,6705.0,,3675.0,8533.6,9531.4,7519.5,7145.2,4522.2,,2890.5,2910.1,6402.0,4974.0,-2903.0,-1940.0,,-3079.4,-2588.0,,-5618.0,-759.4,238.4,-1773.5,-2147.8,-4770.8,,-6402.5,-6382.9,-2891.0,-4319.0,True,,False,True,,False,True,True,True,True,False,,False,False,True,False
Wisconsin,124224,70415.0,153624.0,,72943.8,32075.0,,59914.0,104716.7,91374.3,31530.3,89023.2,60198.7,,43760.9,69051.8,94887.1,69194.0,-53809.0,29400.0,,-51280.2,-92149.0,,-64310.0,-19507.3,-32849.7,-92693.7,-35200.8,-64025.3,,-80463.1,-55172.2,-29336.9,-55030.0,True,,True,False,,False,True,True,False,True,False,,False,False,True,False
Wyoming,7833,3420.0,5275.0,,4115.7,518.0,,5905.0,4002.3,6359.0,1488.0,2872.6,3395.5,,2270.0,2222.4,8343.2,5125.0,-4413.0,-2558.0,,-3717.3,-7315.0,,-1928.0,-3830.7,-1474.0,-6345.0,-4960.4,-4437.5,,-5563.0,-5610.6,510.2,-2708.0,True,,True,False,,True,True,True,False,False,False,,False,False,True,True
US,2068498,1549850.0,2187650.0,1950883.0,946575.5,622180.0,1411257.0,1388522.0,1495822.8,1452443.4,1253449.5,1344893.8,842523.7,1792553.9,,1114868.6,1492833.8,1281766.0,-518648.0,119152.0,-117615.0,-1121922.5,-1446318.0,-657241.0,-679976.0,-572675.2,-616054.6,-815048.5,-723604.2,-1225974.3,-275944.1,,-953629.4,-575664.2,-786732.0,True,True,False,False,False,False,False,False,False,False,False,True,,False,False,False
