,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01133,378,715.0,961.0,,,,,745.0,448.2,359.7,,647.0,60.9,,,,,,337.0,583.0,,,,,367.0,70.2,-18.3,,269.0,-317.1,,,,,,False,,,,,False,True,True,,True,True,,,,,
02013,221,0.0,0.0,,,,,,1138.7,1.2,,0.0,,,,,,,-221.0,-221.0,,,,,,917.7,-219.8,,-221.0,,,,,,,False,,,,,,False,True,,False,,,,,,
02016,155,100.0,,,,,,,496.8,150.8,,69.0,0.0,,,,,,-55.0,,,,,,,341.8,-4.2,,-86.0,-155.0,,,,,,,,,,,,False,True,,False,False,,,,,
02020,2491,4330.0,10961.0,,,,,,2688.0,2414.9,,2374.0,0.0,,,7642.8,0.0,,1839.0,8470.0,,,,,,197.0,-76.1,,-117.0,-2491.0,,,5151.8,-2491.0,,False,,,,,,True,True,,True,False,,,False,False,
02050,907,1860.0,0.0,,,,,,4215.1,419.5,,831.0,0.3,,,,,,953.0,-907.0,,,,,,3308.1,-487.5,,-76.0,-906.7,,,,,,True,,,,,,False,True,,True,True,,,,,
02060,0,0.0,0.0,,,,,,1.5,0.0,,,,,,,,,0.0,0.0,,,,,,1.5,0.0,,,,,,,,,True,,,,,,False,True,,,,,,,,
02068,8,0.0,0.0,,,,,,0.0,5.0,,14.0,,,,,,,-8.0,-8.0,,,,,,-8.0,-3.0,,6.0,,,,,,,False,,,,,,True,True,,True,,,,,,
02070,54,55.0,,,,,,,1427.3,25.5,,24.0,0.0,,,,,,1.0,,,,,,,1373.3,-28.5,,-30.0,-54.0,,,,,,,,,,,,False,False,,False,False,,,,,
02090,903,1320.0,,,,,,,1621.5,652.0,,886.0,0.0,,,1174.6,,,417.0,,,,,,,718.5,-251.0,,-17.0,-903.0,,,271.6,,,,,,,,,False,True,,True,False,,,True,,
02100,4,0.0,0.0,,,,,,0.0,5.5,,5.0,,,,,,,-4.0,-4.0,,,,,,-4.0,1.5,,1.0,,,,,,,False,,,,,,True,True,,True,,,,,,
02105,0,0.0,0.0,,,,,,1.1,0.0,,,,,,,,,0.0,0.0,,,,,,1.1,0.0,,,,,,,,,True,,,,,,False,True,,,,,,,,
02110,142,155.0,35.0,,,,,,138.4,137.3,,63.0,0.0,,,,,,13.0,-107.0,,,,,,-3.6,-4.7,,-79.0,-142.0,,,,,,False,,,,,,True,True,,False,False,,,,,
02122,276,360.0,79.0,,,,,,110.2,235.3,,33.0,0.0,,,305.7,,,84.0,-197.0,,,,,,-165.8,-40.7,,-243.0,-276.0,,,29.7,,,False,,,,,,False,True,,False,False,,,True,,
02130,48,60.0,,,,,,,1154.5,35.0,,14.0,0.0,,,,,,12.0,,,,,,,1106.5,-13.0,,-34.0,-48.0,,,,,,,,,,,,False,False,,False,False,,,,,
02150,117,190.0,,,,,,,85.7,144.5,,97.0,0.0,,,,,,73.0,,,,,,,-31.3,27.5,,-20.0,-117.0,,,,,,,,,,,,True,True,,True,False,,,,,
02158,313,730.0,0.0,,,,,,2359.0,283.2,,220.0,,,,,,,417.0,-313.0,,,,,,2046.0,-29.8,,-93.0,,,,,,,True,,,,,,False,True,,True,,,,,,
02164,14,15.0,0.0,,,,,,29.1,9.4,,16.0,0.0,,,,,,1.0,-14.0,,,,,,15.1,-4.6,,2.0,-14.0,,,,,,False,,,,,,False,False,,False,False,,,,,
02170,1198,1930.0,1601.0,,,,,,2144.2,890.5,,1627.0,0.0,,,1911.4,,,732.0,403.0,,,,,,946.2,-307.5,,429.0,-1198.0,,,713.4,,,True,,,,,,False,True,,True,False,,,True,,
02180,34,45.0,,,,,,,178.7,34.9,,3.0,0.0,,,,,,11.0,,,,,,,144.7,0.9,,-31.0,-34.0,,,,,,,,,,,,False,True,,False,False,,,,,
02185,169,120.0,0.0,,,,,,56.2,139.5,,40.0,0.0,,,,,,-49.0,-169.0,,,,,,-112.8,-29.5,,-129.0,-169.0,,,,,,False,,,,,,False,True,,False,False,,,,,
02188,169,30.0,,,,,,,51.5,26.6,,5.0,0.0,,,,,,-139.0,,,,,,,-117.5,-142.4,,-164.0,-169.0,,,,,,,,,,,,True,False,,False,False,,,,,
02195,18,10.0,0.0,,,,,,392.6,4.6,,5.0,,,,,,,-8.0,-18.0,,,,,,374.6,-13.4,,-13.0,,,,,,,False,,,,,,False,False,,False,,,,,,
02198,4,5.0,0.0,,,,,,2.4,16.5,,20.0,,,,,,,1.0,-4.0,,,,,,-1.6,12.5,,16.0,,,,,,,False,,,,,,False,False,,False,,,,,,
02220,40,0.0,0.0,,,,,,5.3,26.9,,1.0,0.0,,,,,,-40.0,-40.0,,,,,,-34.7,-13.1,,-39.0,-40.0,,,,,,False,,,,,,True,True,,True,False,,,,,
02230,0,5.0,0.0,,,,,,10.8,9.3,,5.0,,,,,,,5.0,0.0,,,,,,10.8,9.3,,5.0,,,,,,,True,,,,,,False,False,,False,,,,,,
02240,40,35.0,,,,,,,14.8,21.2,,1.0,0.0,,,,,,-5.0,,,,,,,-25.2,-18.8,,-39.0,-40.0,,,,,,,,,,,,False,False,,False,False,,,,,
02261,96,155.0,,,,,,,461.1,102.3,,59.0,9.0,,,,,,59.0,,,,,,,365.1,6.3,,-37.0,-87.0,,,,,,,,,,,,False,True,,True,False,,,,,
02275,2,5.0,0.0,,,,,,6.1,15.5,,5.0,,,,,,,3.0,-2.0,,,,,,4.1,13.5,,3.0,,,,,,,True,,,,,,False,False,,False,,,,,,
02282,13,10.0,0.0,,,,,,184.6,3.1,,0.0,,,,,,,-3.0,-13.0,,,,,,171.6,-9.9,,-13.0,,,,,,,False,,,,,,False,False,,False,,,,,,
02290,63,15.0,0.0,,,,,,9.8,16.8,,0.0,0.0,,,,,,-48.0,-63.0,,,,,,-53.2,-46.2,,-63.0,-63.0,,,,,,False,,,,,,False,True,,False,False,,,,,
04001,2174,2345.0,2755.0,,,,,1947.0,2261.3,1540.0,,2057.5,0.0,,,942.9,,,171.0,581.0,,,,,-227.0,87.3,-634.0,,-116.5,-2174.0,,,-1231.1,,,False,,,,,False,True,False,,True,False,,,False,,
04003,2935,3105.0,1710.0,,,,,2783.0,2309.1,2834.1,,3596.5,1027.3,,,3021.2,,,170.0,-1225.0,,,,,-152.0,-625.9,-100.9,,661.5,-1907.7,,,86.2,,,False,,,,,True,False,True,,False,False,,,True,,
04005,4213,3830.0,3587.0,,,,,2103.0,3357.4,2493.2,,4058.0,1455.3,,,2196.5,1663.0,,-383.0,-626.0,,,,,-2110.0,-855.6,-1719.8,,-155.0,-2757.7,,,-2016.5,-2550.0,,False,,,,,False,False,False,,True,False,,,False,False,
04007,1550,1730.0,1867.0,,,,,1594.0,1429.8,1111.4,,1512.5,442.8,,,967.5,,,180.0,317.0,,,,,44.0,-120.2,-438.6,,-37.5,-1107.2,,,-582.5,,,False,,,,,True,True,False,,True,False,,,False,,
04009,1797,1420.0,1811.0,,,,,1170.0,1330.3,771.4,,1293.5,188.5,,,689.3,,,-377.0,14.0,,,,,-627.0,-466.7,-1025.6,,-503.5,-1608.5,,,-1107.7,,,True,,,,,False,False,False,,False,False,,,False,,
04011,126,165.0,,,,,,295.0,351.1,81.9,,124.0,0.0,,,,,,39.0,,,,,,169.0,225.1,-44.1,,-2.0,-126.0,,,,,,,,,,,False,False,False,,True,False,,,,,
04012,778,1045.0,1465.0,,,,,1141.0,1299.1,571.0,,1026.0,0.0,,,,,,267.0,687.0,,,,,363.0,521.1,-207.0,,248.0,-778.0,,,,,,False,,,,,False,False,True,,True,False,,,,,
04013,154826,142965.0,251020.0,,,,,103247.0,201224.4,120265.3,,164660.0,38600.4,,,110336.4,0.0,,-11861.0,96194.0,,,,,-51579.0,46398.4,-34560.7,,9834.0,-116225.6,,,-44489.6,-154826.0,,False,,,,,False,False,False,,True,False,,,False,False,
04015,6998,8540.0,8181.0,,,,,4224.0,9412.6,6488.4,,9788.5,946.2,,,6197.6,9710.0,,1542.0,1183.0,,,,,-2774.0,2414.6,-509.6,,2790.5,-6051.8,,,-800.4,2712.0,,True,,,,,False,False,True,,False,False,,,True,False,
04017,3295,3540.0,2118.0,,,,,2714.0,3388.1,2496.8,,3733.5,346.2,,,2193.4,,,245.0,-1177.0,,,,,-581.0,93.1,-798.2,,438.5,-2948.8,,,-1101.6,,,False,,,,,False,True,False,,False,False,,,False,,
04019,32603,31230.0,43324.0,,,,,25070.0,28023.8,27301.1,,38683.0,7918.1,,,21775.0,28905.0,,-1373.0,10721.0,,,,,-7533.0,-4579.2,-5301.9,,6080.0,-24684.9,,,-10828.0,-3698.0,,False,,,,,False,False,False,,False,False,,,False,False,
04021,15301,13175.0,8539.0,,,,,12173.0,11944.0,11165.8,,16894.0,1930.7,,,6069.9,12176.0,,-2126.0,-6762.0,,,,,-3128.0,-3357.0,-4135.2,,1593.0,-13370.3,,,-9231.1,-3125.0,,False,,,,,False,False,False,,True,False,,,False,False,
04023,1326,2225.0,1627.0,,,,,1664.0,1426.1,1031.7,,1536.0,197.0,,,1397.9,,,899.0,301.0,,,,,338.0,100.1,-294.3,,210.0,-1129.0,,,71.9,,,True,,,,,True,True,True,,True,False,,,True,,
04025,4861,6160.0,4959.0,,,,,3877.0,5155.3,4736.6,,6073.0,1293.0,,,2263.6,4702.0,,1299.0,98.0,,,,,-984.0,294.3,-124.4,,1212.0,-3568.0,,,-2597.4,-159.0,,True,,,,,True,True,True,,True,False,,,False,True,
04027,7195,9060.0,4069.0,,,,,6404.0,6489.1,5980.3,,9718.5,0.1,,,3168.8,6489.0,,1865.0,-3126.0,,,,,-791.0,-705.9,-1214.7,,2523.5,-7194.9,,,-4026.2,-706.0,,False,,,,,True,True,True,,False,False,,,False,True,
05001,539,425.0,386.0,,,,,455.0,401.9,245.5,,336.0,45.8,,,,,,-114.0,-153.0,,,,,-84.0,-137.1,-293.5,,-203.0,-493.2,,,,,,False,,,,,True,False,False,,False,False,,,,,
