,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Georgia,75244,104990.0,107715.5,105786.6,101987.0,110755.0,,106982.5,131825.0,89632.4,,111567.9,,100295.1,114894.0,73984.7,96204.0,78821.5,87923.5,100157.6,83137.5,81854.7,151041.7,113421.8,107115.5,122653.0,95783.0,,94314.4,,85695.6,,102637.9,167659.6,78470.6,104490.3,103566.0,134032.4,,29746.0,32471.5,30542.6,26743.0,35511.0,,31738.5,56581.0,14388.4,,36323.9,,25051.1,39650.0,-1259.3,20960.0,3577.5,12679.5,24913.6,7893.5,6610.7,75797.7,38177.8,31871.5,47409.0,20539.0,,19070.4,,10451.6,,27393.9,92415.6,3226.6,29246.3,28322.0,58788.4,,False,False,True,False,,False,False,True,,False,,True,False,True,True,True,True,True,True,True,False,False,False,False,True,,True,,True,,True,False,True,True,True,False,
Hawaii,1375,1524.0,1612.1,1508.6,1690.0,1297.0,,1786.9,3122.0,1823.0,,2276.9,,1723.5,,1116.7,1518.0,2866.8,1992.5,2449.5,1190.0,1537.9,2051.6,1992.9,1923.2,1882.0,1980.0,,1935.7,,2806.4,,1284.8,2960.7,1453.1,1584.7,1388.0,1947.2,,149.0,237.1,133.6,315.0,-78.0,,411.9,1747.0,448.0,,901.9,,348.5,,-258.3,143.0,1491.8,617.5,1074.5,-185.0,162.9,676.6,617.9,548.2,507.0,605.0,,560.7,,1431.4,,-90.2,1585.7,78.1,209.7,13.0,572.2,,False,True,False,True,,False,False,False,,False,,False,,False,True,False,False,False,False,False,False,False,False,False,False,,False,,False,,True,False,True,False,True,False,
Idaho,5884,8098.0,7411.7,8057.5,7762.0,5980.0,,9051.3,5440.0,18048.6,,8030.9,,6700.1,8934.0,4598.7,8017.0,7771.2,8918.5,7722.2,3799.0,5912.6,6042.2,10517.0,8743.1,9064.0,9909.0,,6051.4,,6888.5,,6786.2,12336.8,6113.2,10563.1,8611.0,13072.1,,2214.0,1527.7,2173.5,1878.0,96.0,,3167.3,-444.0,12164.6,,2146.9,,816.1,3050.0,-1285.3,2133.0,1887.2,3034.5,1838.2,-2085.0,28.6,158.2,4633.0,2859.1,3180.0,4025.0,,167.4,,1004.5,,902.2,6452.8,229.2,4679.1,2727.0,7188.1,,True,True,True,True,,False,True,False,,True,,True,False,True,True,True,False,True,True,True,True,False,False,False,False,,True,,True,,True,False,True,False,False,False,
Illinois,45754,67720.0,58295.2,65769.8,58511.0,57959.0,,68303.7,17954.0,46722.0,,72249.6,,60612.7,64565.0,34554.1,58495.0,58595.7,66492.5,53927.8,45027.0,54192.1,31175.4,47193.1,69886.1,66953.0,74190.0,,64620.9,,19549.6,,54921.9,95193.2,59374.0,71481.8,58338.0,94714.1,,21966.0,12541.2,20015.8,12757.0,12205.0,,22549.7,-27800.0,968.0,,26495.6,,14858.7,18811.0,-11199.9,12741.0,12841.7,20738.5,8173.8,-727.0,8438.1,-14578.6,1439.1,24132.1,21199.0,28436.0,,18866.9,,-26204.4,,9167.9,49439.2,13620.0,25727.8,12584.0,48960.1,,True,True,True,True,,False,False,True,,False,,True,True,True,True,True,True,True,True,True,True,True,False,True,False,,True,,False,,True,False,True,False,True,False,
Indiana,29468,42940.0,42839.4,43834.8,41359.0,32782.0,,44685.1,31964.0,37562.4,,48114.6,,34617.9,43870.0,18535.3,43114.0,35011.4,44430.0,45276.9,25205.0,31490.1,20124.8,31672.2,50088.6,43108.0,45843.0,,37302.1,,19384.2,,53719.8,65563.9,34268.8,37266.0,37381.0,65550.7,,13472.0,13371.4,14366.8,11891.0,3314.0,,15217.1,2496.0,8094.4,,18646.6,,5149.9,14402.0,-10932.7,13646.0,5543.4,14962.0,15808.9,-4263.0,2022.1,-9343.2,2204.2,20620.6,13640.0,16375.0,,7834.1,,-10083.8,,24251.8,36095.9,4800.8,7798.0,7913.0,36082.7,,True,False,True,True,,False,True,True,,False,,True,False,True,False,True,False,False,True,True,True,True,False,False,False,,True,,True,,False,False,True,True,True,False,
Iowa,11684,15748.0,10738.1,15311.5,13686.0,13521.0,,15747.6,136218.0,10759.5,,18035.1,,13769.8,12518.0,5730.8,15631.0,13011.7,11439.5,16374.2,11600.0,11985.5,9866.3,7872.9,15035.2,15493.0,20784.0,,14276.0,,4631.5,,13345.9,20597.1,14324.7,18811.7,13215.0,16111.2,,4064.0,-945.9,3627.5,2002.0,1837.0,,4063.6,124534.0,-924.5,,6351.1,,2085.8,834.0,-5953.2,3947.0,1327.7,-244.5,4690.2,-84.0,301.5,-1817.7,-3811.1,3351.2,3809.0,9100.0,,2592.0,,-7052.5,,1661.9,8913.1,2640.7,7127.7,1531.0,4427.2,,True,True,True,True,,True,False,True,,False,,True,True,False,True,True,True,False,True,True,True,True,True,True,False,,True,,False,,True,False,True,False,True,False,
Kansas,15018,21108.0,20068.8,20020.2,19917.0,17354.0,,22493.5,19471.0,9186.1,,24843.1,,24348.9,20369.0,14944.2,20316.0,16387.9,15402.0,20376.2,16789.0,13034.3,15328.0,22388.1,25855.5,22416.0,21465.0,,22181.0,,7432.0,,15485.5,31927.7,16629.8,26145.6,14773.0,22155.4,,6090.0,5050.8,5002.2,4899.0,2336.0,,7475.5,4453.0,-5831.9,,9825.1,,9330.9,5351.0,-73.8,5298.0,1369.9,384.0,5358.2,1771.0,-1983.7,310.0,7370.1,10837.5,7398.0,6447.0,,7163.0,,-7586.0,,467.5,16909.7,1611.8,11127.6,-245.0,7137.4,,True,True,True,True,,False,True,True,,False,,False,True,True,True,True,True,True,True,True,True,False,False,False,False,,False,,False,,True,False,True,False,True,False,
Kentucky,31686,40486.0,36896.8,40942.9,39268.0,39928.0,,45059.6,24752.0,59422.6,,37227.7,,40628.3,41271.0,27968.8,39845.0,29977.5,39788.0,40618.9,27059.5,29534.5,42688.3,56884.8,40295.1,48438.0,38241.0,,38350.9,,18930.9,,32138.3,59785.5,29161.2,46906.1,36591.0,50590.4,,8800.0,5210.8,9256.9,7582.0,8242.0,,13373.6,-6934.0,27736.6,,5541.7,,8942.3,9585.0,-3717.2,8159.0,-1708.5,8102.0,8932.9,-4626.5,-2151.5,11002.3,25198.8,8609.1,16752.0,6555.0,,6664.9,,-12755.1,,452.3,28099.5,-2524.8,15220.1,4905.0,18904.4,,True,False,True,True,,False,True,False,,True,,False,False,True,True,True,True,False,True,True,False,False,True,False,True,,True,,False,,True,False,True,False,True,False,
Louisiana,29606,30804.0,35189.8,28961.7,31724.0,22383.0,,35202.4,30848.0,567653.0,,34616.9,,33093.5,34947.0,24569.7,29788.0,28477.5,31314.5,26695.6,23762.5,24886.4,38236.3,29644.1,36986.7,34449.0,32100.0,,28891.7,,33059.8,,29714.9,64755.6,23675.4,37352.2,19569.0,41151.1,,1198.0,5583.8,-644.3,2118.0,-7223.0,,5596.4,1242.0,538047.0,,5010.9,,3487.5,5341.0,-5036.3,182.0,-1128.5,1708.5,-2910.4,-5843.5,-4719.6,8630.3,38.1,7380.7,4843.0,2494.0,,-714.3,,3453.8,,108.9,35149.6,-5930.6,7746.2,-10037.0,11545.1,,False,True,False,False,,False,False,False,,False,,False,False,False,True,True,False,False,False,False,False,True,False,False,False,,True,,False,,True,False,False,False,False,False,
Maine,4467,6758.0,7032.9,6824.7,7182.0,5343.0,,7515.2,6038.0,5555.9,,9037.8,,8240.0,7725.0,6902.8,8183.0,7418.3,8147.0,8084.4,6122.0,5007.6,7511.3,7851.9,8217.9,9727.0,7247.0,,5885.6,,9700.6,,6457.3,11221.1,4372.0,7961.6,5886.0,8783.8,,2291.0,2565.9,2357.7,2715.0,876.0,,3048.2,1571.0,1088.9,,4570.8,,3773.0,3258.0,2435.8,3716.0,2951.3,3680.0,3617.4,1655.0,540.6,3044.3,3384.9,3750.9,5260.0,2780.0,,1418.6,,5233.6,,1990.3,6754.1,-95.0,3494.6,1419.0,4316.8,,False,False,False,True,,False,True,True,,False,,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,True,,False,,True,False,True,False,True,False,
Maryland,22777,30552.0,31401.3,29936.3,30444.0,23427.0,,34101.0,159315.0,28039.8,,31876.1,,28784.2,31373.0,22083.0,30607.0,30435.5,35498.5,36610.1,22155.5,27200.8,34779.0,26860.7,37006.2,34830.0,30326.0,,32545.0,,35752.6,,28137.4,51554.6,24480.7,35796.2,28736.0,40141.6,,7775.0,8624.3,7159.3,7667.0,650.0,,11324.0,136538.0,5262.8,,9099.1,,6007.2,8596.0,-694.0,7830.0,7658.5,12721.5,13833.1,-621.5,4423.8,12002.0,4083.7,14229.2,12053.0,7549.0,,9768.0,,12975.6,,5360.4,28777.6,1703.7,13019.2,5959.0,17364.6,,False,True,True,True,,False,False,True,,False,,True,False,True,False,True,False,False,True,True,False,True,False,False,True,,False,,False,,True,False,True,False,True,False,
Massachusetts,44734,60734.0,62419.4,58313.1,58571.0,53854.0,,65922.4,55279.0,63796.0,,47829.2,,59929.5,67416.0,40226.4,56989.0,35690.4,62092.5,56850.2,41397.0,53059.7,58546.8,48128.5,72578.7,68310.0,54113.0,,61857.8,,59113.6,,74150.7,105802.6,35886.7,81492.7,54908.0,69898.5,,16000.0,17685.4,13579.1,13837.0,9120.0,,21188.4,10545.0,19062.0,,3095.2,,15195.5,22682.0,-4507.6,12255.0,-9043.6,17358.5,12116.2,-3337.0,8325.7,13812.8,3394.5,27844.7,23576.0,9379.0,,17123.8,,14379.6,,29416.7,61068.6,-8847.3,36758.7,10174.0,25164.5,,False,True,True,True,,False,True,False,,True,,True,False,True,True,True,False,True,True,True,True,True,False,False,True,,False,,True,,False,False,True,False,True,False,
Michigan,23939,29922.0,28790.7,30667.4,27920.0,27932.0,,30092.6,13019.0,59394.9,,38089.3,,26877.0,33436.0,14959.2,29154.0,34188.4,30686.0,23342.8,20873.5,24373.1,13805.6,21281.1,29538.1,30626.0,35470.0,,31096.6,,11041.4,,34387.5,38780.3,30347.3,28020.3,24468.0,43724.8,,5983.0,4851.7,6728.4,3981.0,3993.0,,6153.6,-10920.0,35455.9,,14150.3,,2938.0,9497.0,-8979.8,5215.0,10249.4,6747.0,-596.2,-3065.5,434.1,-10133.4,-2657.9,5599.1,6687.0,11531.0,,7157.6,,-12897.6,,10448.5,14841.3,6408.3,4081.3,529.0,19785.8,,True,False,True,True,,False,False,False,,False,,True,False,False,True,False,False,True,True,True,False,True,True,False,False,,False,,False,,False,False,False,True,True,False,
Minnesota,13409,17522.0,14442.4,16574.1,15578.0,16249.0,,17672.6,4051.0,14986.9,,23309.2,,15034.9,19479.0,7166.7,16815.0,16917.7,17123.5,14203.9,11761.5,13535.1,13868.8,12979.4,16842.6,16476.0,22722.0,,17251.8,,4785.1,,14624.0,18292.8,14904.7,21693.4,15067.0,21891.2,,4113.0,1033.4,3165.1,2169.0,2840.0,,4263.6,-9358.0,1577.9,,9900.2,,1625.9,6070.0,-6242.3,3406.0,3508.7,3714.5,794.9,-1647.5,126.1,459.8,-429.6,3433.6,3067.0,9313.0,,3842.8,,-8623.9,,1215.0,4883.8,1495.7,8284.4,1658.0,8482.2,,True,True,True,True,,False,False,True,,False,,True,False,False,True,True,True,True,True,True,True,True,True,True,False,,True,,False,,True,False,True,False,True,False,
Mississippi,17755,24308.0,24052.0,25216.1,23382.0,20418.0,,25937.4,22058.0,24112.5,,25812.1,,22442.2,24353.0,17525.0,24878.0,18750.7,25200.0,22102.6,14275.5,17749.4,21329.9,15060.0,25511.0,26380.0,22763.0,,20525.8,,15628.3,,19355.9,37521.8,20293.0,24675.0,25413.0,28309.8,,6553.0,6297.0,7461.1,5627.0,2663.0,,8182.4,4303.0,6357.5,,8057.1,,4687.2,6598.0,-230.0,7123.0,995.7,7445.0,4347.6,-3479.5,-5.6,3574.9,-2695.0,7756.0,8625.0,5008.0,,2770.8,,-2126.7,,1600.9,19766.8,2538.0,6920.0,7658.0,10554.8,,True,False,True,True,,False,True,True,,False,,True,False,True,False,True,False,True,True,True,True,True,False,False,True,,True,,True,,True,False,True,False,False,False,
Missouri,26918,23614.0,24846.7,24017.2,24309.0,14744.0,,24839.7,20191.0,24750.3,,22289.0,,21882.4,25572.0,9980.4,21604.0,21838.9,26990.5,24647.6,16534.0,20938.7,35181.1,26660.3,29906.6,24254.0,31569.0,,22730.2,,16835.0,,24662.7,38241.4,21470.0,27180.2,20148.0,30465.7,,-3304.0,-2071.3,-2900.8,-2609.0,-12174.0,,-2078.3,-6727.0,-2167.7,,-4629.0,,-5035.6,-1346.0,-16937.6,-5314.0,-5079.1,72.5,-2270.4,-10384.0,-5979.3,8263.1,-257.7,2988.6,-2664.0,4651.0,,-4187.8,,-10083.0,,-2255.3,11323.4,-5448.0,262.2,-6770.0,3547.7,,True,True,True,False,,True,False,True,,False,,False,True,False,False,False,True,True,False,False,False,True,True,True,False,,False,,False,,True,False,False,True,False,False,
