,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Georgia,31544,43700.0,45875.1,42318.7,42319.0,37877.0,39407.0,,46338.1,58713.0,41910.4,,36759.8,44660.8,,38574.3,45974.0,48361.3,44120.0,34256.2,36985.5,35490.9,30888.0,34768.5,46442.3,43118.4,38141.1,48740.0,34836.0,,37879.1,46023.0,45218.2,,42846.3,38222.5,48715.8,44423.0,40932.9,,12156.0,14331.1,10774.7,10775.0,6333.0,7863.0,,14794.1,27169.0,10366.4,,5215.8,13116.8,,7030.3,14430.0,16817.3,12576.0,2712.2,5441.5,3946.9,-656.0,3224.5,14898.3,11574.4,6597.1,17196.0,3292.0,,6335.1,14479.0,13674.2,,11302.3,6678.5,17171.8,12879.0,9388.9,,False,True,True,True,True,,False,False,True,,True,False,,True,False,False,False,True,True,True,True,True,False,True,True,False,True,,True,False,False,,True,True,False,False,True,
Hawaii,617,758.0,759.9,786.3,726.0,916.0,709.0,,763.4,1395.0,586.2,,708.0,769.4,,628.4,,531.3,829.0,1251.8,727.0,634.4,583.0,574.6,934.6,1139.1,699.3,797.0,986.0,,600.4,795.0,1183.2,,709.4,783.0,726.0,678.0,693.8,,141.0,142.9,169.3,109.0,299.0,92.0,,146.4,778.0,-30.8,,91.0,152.4,,11.4,,-85.7,212.0,634.8,110.0,17.4,-34.0,-42.4,317.6,522.1,82.3,180.0,369.0,,-16.6,178.0,566.2,,92.4,166.0,109.0,61.0,76.8,,False,False,True,False,True,,False,False,True,,True,False,,True,,True,False,False,True,True,True,True,False,False,True,False,False,,True,False,False,,True,False,True,True,True,
Idaho,2526,3358.0,3297.1,3457.2,3104.0,3057.0,2814.0,,3519.2,2426.0,9223.2,,1855.8,2627.2,,2651.1,3223.0,2927.4,2998.0,3457.3,3252.5,3415.1,2091.5,2305.2,2953.1,3722.1,2853.7,3392.0,2992.0,,3364.3,3275.0,3092.2,,3118.0,2899.8,3986.3,3045.0,3035.8,,832.0,771.1,931.2,578.0,531.0,288.0,,993.2,-100.0,6697.2,,-670.2,101.2,,125.1,697.0,401.4,472.0,931.3,726.5,889.1,-434.5,-220.8,427.1,1196.1,327.7,866.0,466.0,,838.3,749.0,566.2,,592.0,373.8,1460.3,519.0,509.8,,True,False,True,True,True,,False,True,False,,True,True,,True,True,True,True,False,True,False,True,True,True,False,True,False,True,,False,True,True,,True,True,False,True,True,
Illinois,20408,25346.0,24399.3,26154.0,23363.0,23473.0,22333.0,,28348.0,10927.0,19674.2,,22169.4,22360.1,,21612.6,28194.0,17916.4,23189.0,26145.4,25119.0,25388.1,16853.0,19813.5,29664.9,18174.2,22471.7,23886.0,24555.0,,25689.3,20607.0,10199.0,,23111.2,25526.0,22814.4,25210.0,20059.3,,4938.0,3991.3,5746.0,2955.0,3065.0,1925.0,,7940.0,-9481.0,-733.8,,1761.4,1952.1,,1204.6,7786.0,-2491.6,2781.0,5737.4,4711.0,4980.1,-3555.0,-594.5,9256.9,-2233.8,2063.7,3478.0,4147.0,,5281.3,199.0,-10209.0,,2703.2,5118.0,2406.4,4802.0,-348.7,,True,False,True,True,True,,False,False,True,,True,True,,True,False,True,True,False,True,False,True,True,False,True,True,True,True,,False,True,False,,True,False,True,True,True,
Indiana,13028,16440.0,15370.7,17449.7,13794.0,14422.0,13503.0,,17319.4,14477.0,14046.5,,11440.6,15533.2,,13221.1,17628.0,10512.1,14599.0,14985.7,15043.0,12859.4,10036.5,12489.1,11797.6,11131.8,14298.4,16418.0,14238.0,,13323.4,12210.0,9695.4,,20515.6,15151.4,13860.3,15799.0,11152.5,,3412.0,2342.7,4421.7,766.0,1394.0,475.0,,4291.4,1449.0,1018.5,,-1587.4,2505.2,,193.1,4600.0,-2515.9,1571.0,1957.7,2015.0,-168.6,-2991.5,-538.9,-1230.4,-1896.2,1270.4,3390.0,1210.0,,295.4,-818.0,-3332.6,,7487.6,2123.4,832.3,2771.0,-1875.5,,True,False,True,True,True,,False,True,True,,True,True,,True,False,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,False,True,True,True,True,
Iowa,5196,6488.0,5036.7,6309.7,5447.0,6992.0,5590.0,,6860.0,15553.0,4560.0,,5253.8,6235.2,,5446.7,6073.0,4743.4,5980.0,6271.2,4815.5,5551.2,4043.0,5216.6,4384.7,3434.9,5263.7,6632.0,8081.0,,5808.2,5241.0,1161.6,,5392.5,6260.3,8162.7,6076.0,5755.2,,1292.0,-159.3,1113.7,251.0,1796.0,394.0,,1664.0,10357.0,-636.0,,57.8,1039.2,,250.7,877.0,-452.6,784.0,1075.2,-380.5,355.2,-1153.0,20.6,-811.3,-1761.1,67.7,1436.0,2885.0,,612.2,45.0,-4034.4,,196.5,1064.3,2966.7,880.0,559.2,,True,True,True,False,True,,False,False,True,,True,True,,True,True,True,True,True,True,True,True,True,True,False,True,False,False,,True,True,False,,True,True,False,True,True,
Kansas,6970,8048.0,8025.1,8023.2,6986.0,8225.0,6335.0,,8509.8,5663.0,4637.8,,6155.0,6339.4,,8156.6,9045.0,4895.3,6944.0,7092.0,5510.5,6390.9,4828.0,5655.0,6353.4,6985.6,8173.2,8408.0,8548.0,,7322.3,8048.0,4001.6,,7732.5,7066.1,9880.7,6664.0,7229.7,,1078.0,1055.1,1053.2,16.0,1255.0,-635.0,,1539.8,-1307.0,-2332.2,,-815.0,-630.6,,1186.6,2075.0,-2074.7,-26.0,122.0,-1459.5,-579.1,-2142.0,-1315.0,-616.6,15.6,1203.2,1438.0,1578.0,,352.3,1078.0,-2968.4,,762.5,96.1,2910.7,-306.0,259.7,,True,True,True,False,True,,False,False,False,,True,True,,False,False,False,True,True,False,True,False,False,True,True,False,False,False,,True,False,False,,True,True,False,True,True,
Kentucky,15138,16548.0,16776.2,16696.9,16072.0,15750.0,15840.0,,18276.1,10924.0,36008.8,,12580.0,16673.1,,14495.3,16993.0,14503.0,16583.0,13062.0,15034.5,15297.5,11877.0,13265.2,18224.8,21511.8,14294.3,18604.0,16095.0,,15850.6,19575.0,8283.8,,14749.6,13848.3,21044.8,17218.0,15691.8,,1410.0,1638.2,1558.9,934.0,612.0,702.0,,3138.1,-4214.0,20870.8,,-2558.0,1535.1,,-642.7,1855.0,-635.0,1445.0,-2076.0,-103.5,159.5,-3261.0,-1872.8,3086.8,6373.8,-843.7,3466.0,957.0,,712.6,4437.0,-6854.2,,-388.4,-1289.7,5906.8,2080.0,553.8,,False,False,True,True,True,,False,False,False,,False,False,,True,False,True,False,False,True,True,False,False,False,False,True,False,True,,True,False,False,,True,True,False,False,True,
Louisiana,12585,17021.0,13892.6,16975.9,15105.0,15196.0,15054.0,,16523.8,15105.0,155344.4,,10932.0,13604.1,,13345.3,15774.0,9182.9,18260.0,12653.3,14735.0,12085.2,12176.0,13150.5,15971.4,13003.7,14830.7,15719.0,15530.0,,13043.4,17021.0,15813.2,,18040.1,14514.2,16769.9,14752.0,15834.8,,4436.0,1307.6,4390.9,2520.0,2611.0,2469.0,,3938.8,2520.0,142759.4,,-1653.0,1019.1,,760.3,3189.0,-3402.1,5675.0,68.3,2150.0,-499.8,-409.0,565.5,3386.4,418.7,2245.7,3134.0,2945.0,,458.4,4436.0,3228.2,,5455.1,1929.2,4184.9,2167.0,3249.8,,True,True,True,True,True,,True,True,False,,True,True,,True,True,True,False,True,True,True,True,True,True,True,True,True,True,,True,False,True,,False,True,True,True,True,
Maine,1897,2570.0,3056.7,2553.2,2702.0,2828.0,2226.0,,2917.1,2430.0,2122.2,,1515.0,2646.2,,2129.2,3346.0,3519.6,2501.0,2550.9,3150.0,2262.8,2464.0,2194.9,3048.6,2779.9,2651.1,3388.0,2846.0,,3226.6,2160.0,4318.8,,2500.2,1890.3,2748.3,2783.0,2701.6,,673.0,1159.7,656.2,805.0,931.0,329.0,,1020.1,533.0,225.2,,-382.0,749.2,,232.2,1449.0,1622.6,604.0,653.9,1253.0,365.8,567.0,297.9,1151.6,882.9,754.1,1491.0,949.0,,1329.6,263.0,2421.8,,603.2,-6.7,851.3,886.0,804.6,,False,True,False,False,True,,False,True,True,,True,False,,True,False,False,True,True,False,True,True,True,False,False,False,False,False,,False,True,False,,True,True,False,False,False,
Maryland,9358,13419.0,13035.6,13420.2,12962.0,12139.0,12831.0,,13912.0,36133.0,12629.8,,11545.3,12499.7,,11728.2,14098.0,9797.8,13433.0,12124.2,14994.5,11927.4,9906.0,11343.2,12784.8,11095.1,11857.4,13879.0,11338.0,,13389.3,13366.0,14525.9,,12962.4,12413.9,14871.8,13836.0,13120.1,,4061.0,3677.6,4062.2,3604.0,2781.0,3473.0,,4554.0,26775.0,3271.8,,2187.3,3141.7,,2370.2,4740.0,439.8,4075.0,2766.2,5636.5,2569.4,548.0,1985.2,3426.8,1737.1,2499.4,4521.0,1980.0,,4031.3,4008.0,5167.9,,3604.4,3055.9,5513.8,4478.0,3762.1,,True,False,True,True,True,,False,False,True,,True,True,,True,False,True,False,True,False,True,True,True,True,True,True,False,True,,True,True,False,,True,True,False,False,True,
Massachusetts,19467,25267.0,24717.9,23822.0,23444.0,22265.0,21733.0,,26891.4,24645.0,32681.0,,19741.9,21457.2,,21718.2,24824.0,18831.2,23591.0,14248.1,24781.0,20851.7,16274.0,19206.3,23711.5,27920.2,21552.1,26299.0,21269.0,,23245.1,23444.0,27728.9,,31563.2,18374.8,33099.3,24203.0,21572.0,,5800.0,5250.9,4355.0,3977.0,2798.0,2266.0,,7424.4,5178.0,13214.0,,274.9,1990.2,,2251.2,5357.0,-635.8,4124.0,-5218.9,5314.0,1384.7,-3193.0,-260.7,4244.5,8453.2,2085.1,6832.0,1802.0,,3778.1,3977.0,8261.9,,12096.2,-1092.2,13632.3,4736.0,2105.0,,True,True,True,True,True,,False,True,False,,True,True,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,,True,True,False,,False,True,False,True,True,
Michigan,10547,13392.0,11368.5,13922.4,11598.0,11488.0,12700.0,,13605.1,5208.0,50434.7,,11439.4,11122.8,,10679.7,14169.0,8828.4,14101.0,13106.9,11753.5,11313.9,9413.0,10535.5,10488.5,12092.3,11555.2,13104.0,11317.0,,9867.5,12462.0,5830.8,,15594.5,14637.4,13903.5,12493.0,10707.6,,2845.0,821.5,3375.4,1051.0,941.0,2153.0,,3058.1,-5339.0,39887.7,,892.4,575.8,,132.7,3622.0,-1718.6,3554.0,2559.9,1206.5,766.9,-1134.0,-11.5,-58.5,1545.3,1008.2,2557.0,770.0,,-679.5,1915.0,-4716.2,,5047.5,4090.4,3356.5,1946.0,160.6,,True,False,True,True,True,,False,False,False,,True,True,,True,False,True,False,True,True,True,True,True,True,True,True,True,True,,True,True,False,,False,False,False,True,True,
Minnesota,6398,7011.0,5619.0,6585.6,6058.0,6897.0,6572.0,,7403.8,2841.0,7155.1,,4989.8,7348.0,,5915.0,9053.0,3789.6,6155.0,8345.4,6454.5,5606.0,4847.0,5735.9,6057.6,5482.5,6150.4,6894.0,7578.0,,6958.3,6059.0,2436.9,,6782.0,6193.7,5847.6,7251.0,5233.4,,613.0,-779.0,187.6,-340.0,499.0,174.0,,1005.8,-3557.0,757.1,,-1408.2,950.0,,-483.0,2655.0,-2608.4,-243.0,1947.4,56.5,-792.0,-1551.0,-662.1,-340.4,-915.5,-247.6,496.0,1180.0,,560.3,-339.0,-3961.1,,384.0,-204.3,-550.4,853.0,-1164.6,,False,True,True,True,True,,False,False,False,,False,False,,True,False,False,True,False,True,False,False,False,True,False,True,True,False,,True,True,False,,True,True,True,False,False,
Mississippi,6588,11167.0,10107.6,11117.6,10271.0,10019.0,9344.0,,11096.2,10271.0,10924.1,,10772.8,9808.0,,9436.3,11022.0,9724.4,10953.0,8332.5,10698.0,10578.8,7252.0,8629.9,10861.4,8974.1,9479.0,11328.0,10056.0,,8755.1,11500.0,7294.6,,9946.6,9924.0,11518.3,11238.0,10432.4,,4579.0,3519.6,4529.6,3683.0,3431.0,2756.0,,4508.2,3683.0,4336.1,,4184.8,3220.0,,2848.3,4434.0,3136.4,4365.0,1744.5,4110.0,3990.8,664.0,2041.9,4273.4,2386.1,2891.0,4740.0,3468.0,,2167.1,4912.0,706.6,,3358.6,3336.0,4930.3,4650.0,3844.4,,True,True,True,True,True,,True,True,True,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,False,True,,True,False,True,,True,True,False,False,True,
