,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
02070,73,16.0,,,,,,3.7,,,,,-57.0,,,,,,-69.3,,,,,,,,,,False,,,,
02090,1704,4136.0,,,,,,3821.5,,2017.1,,,2432.0,,,,,,2117.5,,313.1,,,,,,,,True,,True,,
02100,7,16.0,,,,,,620.0,,,,,9.0,,,,,,613.0,,,,,,,,,,False,,,,
02105,0,0.0,,,,,,0.0,,,,,0.0,,,,,,0.0,,,,,,,,,,True,,,,
02110,248,376.0,,,,,,189.5,,,,,128.0,,,,,,-58.5,,,,,,,,,,True,,,,
02122,726,2088.0,,,,,,1006.8,,716.1,,,1362.0,,,,,,280.8,,-9.9,,,,,,,,True,,True,,
02130,71,72.0,,,,,,50.7,,,,,1.0,,,,,,-20.3,,,,,,,,,,False,,,,
02150,383,1832.0,,,,,,5511.9,,,,,1449.0,,,,,,5128.9,,,,,,,,,,False,,,,
02158,548,1168.0,,,,,,2726.1,,,,,620.0,,,,,,2178.1,,,,,,,,,,False,,,,
02164,23,40.0,,,,,,11.7,,,,,17.0,,,,,,-11.3,,,,,,,,,,True,,,,
02170,2334,5032.0,,,,,,26533.8,,3686.1,,,2698.0,,,,,,24199.8,,1352.1,,,,,,,,False,,True,,
02180,62,48.0,,,,,,11.0,,,,,-14.0,,,,,,-51.0,,,,,,,,,,False,,,,
02185,348,792.0,,,,,,1991.0,,,,,444.0,,,,,,1643.0,,,,,,,,,,False,,,,
02188,191,104.0,,,,,,17.6,,,,,-87.0,,,,,,-173.4,,,,,,,,,,False,,,,
02195,21,24.0,,,,,,1220.2,,,,,3.0,,,,,,1199.2,,,,,,,,,,False,,,,
02198,13,48.0,,,,,,629.8,,,,,35.0,,,,,,616.8,,,,,,,,,,False,,,,
02220,78,72.0,,,,,,35.2,,,,,-6.0,,,,,,-42.8,,,,,,,,,,False,,,,
02230,6,0.0,,,,,,0.6,,,,,-6.0,,,,,,-5.4,,,,,,,,,,True,,,,
02240,92,240.0,,,,,,96.0,,,,,148.0,,,,,,4.0,,,,,,,,,,True,,,,
02261,157,160.0,,,,,,102.0,,,,,3.0,,,,,,-55.0,,,,,,,,,,False,,,,
02275,5,8.0,,,,,,965.7,,,,,3.0,,,,,,960.7,,,,,,,,,,False,,,,
02282,15,16.0,,,,,,0.1,,,,,1.0,,,,,,-14.9,,,,,,,,,,False,,,,
02290,85,56.0,,,,,,43.2,,,,,-29.0,,,,,,-41.8,,,,,,,,,,False,,,,
04001,3423,4712.0,,,,5513.0,,1684.8,,1951.4,,,1289.0,,,,2090.0,,-1738.2,,-1471.6,,,,,,False,,False,,False,,
04003,5553,6424.0,,,,3450.0,,11746.9,,4627.2,,,871.0,,,,-2103.0,,6193.9,,-925.8,,,,,,False,,False,,False,,
04005,6681,7064.0,,,,4424.0,,6643.4,,2476.7,9177.0,,383.0,,,,-2257.0,,-37.6,,-4204.3,2496.0,,,,,False,,True,,False,False,
04007,2555,2632.0,,,,2356.0,,1298.7,,1680.9,,,77.0,,,,-199.0,,-1256.3,,-874.1,,,,,,False,,False,,False,,
04009,2624,1624.0,,,,1725.0,,436.0,,710.7,,,-1000.0,,,,-899.0,,-2188.0,,-1913.3,,,,,,True,,False,,False,,
04011,215,272.0,,,,335.0,,212.1,,,,,57.0,,,,120.0,,-2.9,,,,,,,,False,,True,,,,
04012,1232,816.0,,,,1259.0,,2167.9,,,,,-416.0,,,,27.0,,935.9,,,,,,,,True,,False,,,,
04013,235740,196296.0,,,,182460.0,,314191.1,,147362.0,413501.0,,-39444.0,,,,-53280.0,,78451.1,,-88378.0,177761.0,,,,,False,,False,,False,False,
04015,11724,9736.0,,,,7569.0,,21694.0,,7608.4,17771.0,,-1988.0,,,,-4155.0,,9970.0,,-4115.6,6047.0,,,,,False,,False,,False,False,
04017,5306,6912.0,,,,7391.0,,8304.6,,6381.0,,,1606.0,,,,2085.0,,2998.6,,1075.0,,,,,,False,,False,,True,,
04019,53645,55376.0,,,,44481.0,,87815.3,,32559.7,145471.0,,1731.0,,,,-9164.0,,34170.3,,-21085.3,91826.0,,,,,False,,False,,False,False,
04021,22692,21240.0,,,,21737.0,,24315.1,,13944.1,47065.0,,-1452.0,,,,-955.0,,1623.1,,-8747.9,24373.0,,,,,True,,False,,False,False,
04023,2663,4136.0,,,,2198.0,,3944.5,,2658.3,,,1473.0,,,,-465.0,,1281.5,,-4.7,,,,,,True,,True,,True,,
04025,8796,11096.0,,,,7832.0,,13375.4,,5388.6,23041.0,,2300.0,,,,-964.0,,4579.4,,-3407.4,14245.0,,,,,True,,False,,False,False,
04027,13996,21168.0,,,,11397.0,,24188.8,,9425.4,18746.0,,7172.0,,,,-2599.0,,10192.8,,-4570.6,4750.0,,,,,True,,False,,True,True,
05001,777,512.0,,,,784.0,,141.3,,,,,-265.0,,,,7.0,,-635.7,,,,,,,,True,,False,,,,
05003,640,880.0,,,,813.0,,355.6,,,,,240.0,,,,173.0,,-284.4,,,,,,,,True,,False,,,,
05005,1067,944.0,,,,1098.0,,279.1,,,,,-123.0,,,,31.0,,-787.9,,,,,,,,True,,False,,,,
05007,11682,8624.0,,,,9091.0,,6121.3,,8924.5,5840.0,,-3058.0,,,,-2591.0,,-5560.7,,-2757.5,-5842.0,,,,,True,,False,,True,False,
05009,1314,1352.0,,,,1089.0,,478.8,,,,,38.0,,,,-225.0,,-835.2,,,,,,,,False,,False,,,,
05011,612,760.0,,,,400.0,,1249.5,,,,,148.0,,,,-212.0,,637.5,,,,,,,,False,,False,,,,
05013,194,112.0,,,,168.0,,30.7,,,,,-82.0,,,,-26.0,,-163.3,,,,,,,,True,,False,,,,
05015,922,1208.0,,,,619.0,,709.8,,,,,286.0,,,,-303.0,,-212.2,,,,,,,,False,,True,,,,
05017,274,352.0,,,,431.0,,285.6,,,,,78.0,,,,157.0,,11.6,,,,,,,,False,,True,,,,
05019,860,1096.0,,,,796.0,,1292.9,,,,,236.0,,,,-64.0,,432.9,,,,,,,,True,,False,,,,
05021,521,800.0,,,,668.0,,568.2,,,,,279.0,,,,147.0,,47.2,,,,,,,,True,,True,,,,
05023,936,616.0,,,,906.0,,415.0,,,,,-320.0,,,,-30.0,,-521.0,,,,,,,,True,,False,,,,
05025,410,456.0,,,,261.0,,444.3,,,,,46.0,,,,-149.0,,34.3,,,,,,,,False,,True,,,,
05027,705,1064.0,,,,900.0,,321.8,,,,,359.0,,,,195.0,,-383.2,,,,,,,,True,,False,,,,
05029,1155,1088.0,,,,931.0,,622.5,,,,,-67.0,,,,-224.0,,-532.5,,,,,,,,False,,False,,,,
