,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01021,256,348.0,,368.2,,370.0,161.0,,,,,625.9,472.1,,,642.0,413.5,362.8,,322.0,324.2,,,,427.0,356.0,575.3,,,,,,313.6,,,,394.9,459.2,92.0,,112.2,,114.0,-95.0,,,,,369.9,216.1,,,386.0,157.5,106.8,,66.0,68.2,,,,171.0,100.0,319.3,,,,,,57.6,,,,138.9,203.2,,False,,False,False,,,,,False,False,,,False,False,False,,True,True,,,,False,False,False,,,,,,True,,,,False,False
01023,28,36.0,,34.2,,35.0,9.0,,,,,92.8,51.6,,,183.0,23.0,38.2,,6.0,28.2,,,,20.0,62.0,35.7,,,,,,,,,,38.3,84.6,8.0,,6.2,,7.0,-19.0,,,,,64.8,23.6,,,155.0,-5.0,10.2,,-22.0,0.2,,,,-8.0,34.0,7.7,,,,,,,,,,10.3,56.6,,True,,True,False,,,,,False,False,,,False,True,False,,False,True,,,,False,False,True,,,,,,,,,,False,False
01025,531,531.0,,529.3,,490.0,832.0,,,,,607.7,568.2,,,351.0,373.0,299.2,,572.0,451.4,,,,716.0,391.0,636.9,,,,,,345.9,,,,492.5,512.2,0.0,,-1.7,,-41.0,301.0,,,,,76.7,37.2,,,-180.0,-158.0,-231.8,,41.0,-79.6,,,,185.0,-140.0,105.9,,,,,,-185.1,,,,-38.5,-18.8,,False,,False,False,,,,,False,False,,,False,False,False,,False,False,,,,False,False,False,,,,,,False,,,,False,False
01027,93,114.0,,119.4,,121.0,64.0,,,,,241.6,180.9,,,187.0,128.7,84.8,,87.0,115.3,,,,136.0,127.0,165.0,,,,,,,,,,166.2,127.4,21.0,,26.4,,28.0,-29.0,,,,,148.6,87.9,,,94.0,35.7,-8.2,,-6.0,22.3,,,,43.0,34.0,72.0,,,,,,,,,,73.2,34.4,,False,,False,False,,,,,False,False,,,False,False,True,,True,False,,,,False,False,False,,,,,,,,,,False,False
01029,146,165.0,,148.1,,155.0,63.0,,,,,209.5,237.4,,,235.0,198.1,142.7,,139.0,150.9,,,,204.0,153.0,194.9,,,,,,,,,,260.7,135.5,19.0,,2.1,,9.0,-83.0,,,,,63.5,91.4,,,89.0,52.1,-3.3,,-7.0,4.9,,,,58.0,7.0,48.9,,,,,,,,,,114.7,-10.5,,True,,True,False,,,,,False,False,,,False,False,True,,True,True,,,,False,True,False,,,,,,,,,,False,True
01031,690,825.0,,873.8,,806.0,1119.0,,,,,886.7,918.0,,,713.0,1362.9,628.0,,771.0,702.9,,,,1124.0,679.0,810.3,,,,,,593.7,,,,1158.0,940.7,135.0,,183.8,,116.0,429.0,,,,,196.7,228.0,,,23.0,672.9,-62.0,,81.0,12.9,,,,434.0,-11.0,120.3,,,,,,-96.3,,,,468.0,250.7,,False,,True,False,,,,,False,False,,,True,False,True,,True,True,,,,False,True,True,,,,,,True,,,,False,False
01033,569,732.0,,743.1,,646.0,590.0,,,,,965.7,911.7,,,983.0,513.7,657.1,,598.0,574.2,,,,857.0,673.0,474.8,,,,,,394.6,,,,910.8,758.7,163.0,,174.1,,77.0,21.0,,,,,396.7,342.7,,,414.0,-55.3,88.1,,29.0,5.2,,,,288.0,104.0,-94.2,,,,,,-174.4,,,,341.8,189.7,,False,,True,True,,,,,False,False,,,False,True,True,,True,True,,,,False,True,True,,,,,,False,,,,False,False
01035,89,111.0,,114.4,,113.0,133.0,,,,,167.8,161.1,,,131.0,107.8,76.4,,89.0,93.4,,,,174.0,107.0,112.8,,,,,,,,,,118.8,121.0,22.0,,25.4,,24.0,44.0,,,,,78.8,72.1,,,42.0,18.8,-12.6,,0.0,4.4,,,,85.0,18.0,23.8,,,,,,,,,,29.8,32.0,,False,,False,False,,,,,False,False,,,False,True,True,,True,True,,,,False,True,False,,,,,,,,,,False,False
01037,141,81.0,,66.5,,81.0,58.0,,,,,109.8,110.2,,,109.0,103.8,67.4,,16.0,79.5,,,,65.0,77.0,106.3,,,,,,,,,,113.0,75.4,-60.0,,-74.5,,-60.0,-83.0,,,,,-31.2,-30.8,,,-32.0,-37.2,-73.6,,-125.0,-61.5,,,,-76.0,-64.0,-34.7,,,,,,,,,,-28.0,-65.6,,False,,False,False,,,,,True,True,,,True,True,False,,False,False,,,,False,False,True,,,,,,,,,,True,False
01039,463,372.0,,417.7,,377.0,297.0,,,,,619.2,441.2,,,520.0,536.3,290.1,,309.5,342.7,,,,395.0,407.0,423.9,,,,,,298.4,,,,486.1,370.1,-91.0,,-45.3,,-86.0,-166.0,,,,,156.2,-21.8,,,57.0,73.3,-172.9,,-153.5,-120.3,,,,-68.0,-56.0,-39.1,,,,,,-164.6,,,,23.1,-92.9,,True,,True,False,,,,,False,True,,,True,True,False,,False,False,,,,True,True,True,,,,,,False,,,,True,False
01041,165,201.0,,278.5,,199.0,108.0,,,,,260.3,228.8,,,160.0,649.2,203.1,,51.0,194.8,,,,291.0,192.0,141.7,,,,,,,,,,314.0,232.0,36.0,,113.5,,34.0,-57.0,,,,,95.3,63.8,,,-5.0,484.2,38.1,,-114.0,29.8,,,,126.0,27.0,-23.3,,,,,,,,,,149.0,67.0,,False,,True,False,,,,,False,False,,,True,False,False,,False,True,,,,False,True,True,,,,,,,,,,False,False
01043,724,999.0,,1036.4,,953.0,1229.0,,,,,1370.2,1248.3,,,1732.0,545.6,821.2,,683.0,765.4,,,,962.0,838.0,574.6,,,,,,859.8,,,,1006.7,994.0,275.0,,312.4,,229.0,505.0,,,,,646.2,524.3,,,1008.0,-178.4,97.2,,-41.0,41.4,,,,238.0,114.0,-149.4,,,,,,135.8,,,,282.7,270.0,,False,,True,False,,,,,False,False,,,False,True,True,,True,True,,,,True,True,True,,,,,,True,,,,False,True
01045,452,768.0,,779.4,,712.0,949.0,,,,,791.6,814.0,,,695.0,743.9,558.4,,779.0,646.6,,,,905.0,633.0,413.5,,,,,,454.4,,,,1008.1,650.5,316.0,,327.4,,260.0,497.0,,,,,339.6,362.0,,,243.0,291.9,106.4,,327.0,194.6,,,,453.0,181.0,-38.5,,,,,,2.4,,,,556.1,198.5,,False,,True,False,,,,,False,False,,,True,True,True,,False,True,,,,False,True,True,,,,,,True,,,,False,True
01047,240,336.0,,339.6,,316.0,323.0,,,,,527.9,462.8,,,448.0,79.1,286.4,,245.0,283.7,,,,289.0,347.0,336.1,,,,,,217.7,,,,388.4,307.8,96.0,,99.6,,76.0,83.0,,,,,287.9,222.8,,,208.0,-160.9,46.4,,5.0,43.7,,,,49.0,107.0,96.1,,,,,,-22.3,,,,148.4,67.8,,False,,True,True,,,,,False,False,,,False,False,True,,True,True,,,,True,False,False,,,,,,True,,,,False,True
01049,589,957.0,,1017.8,,901.0,2159.0,,,,,1338.8,1136.2,,,1536.0,757.0,633.5,,724.0,777.5,,,,981.0,837.0,1347.2,,,,,,557.0,,,,1055.1,773.6,368.0,,428.8,,312.0,1570.0,,,,,749.8,547.2,,,947.0,168.0,44.5,,135.0,188.5,,,,392.0,248.0,758.2,,,,,,-32.0,,,,466.1,184.6,,False,,True,False,,,,,False,False,,,False,True,True,,True,True,,,,False,True,False,,,,,,True,,,,False,True
01051,1086,1347.0,,1347.5,,1137.0,852.0,,,,,1749.2,1462.2,,,1011.0,1106.6,1136.4,,1086.0,1112.2,,,,1691.0,1103.0,1151.4,,,,,,921.8,,,,2382.7,1564.2,261.0,,261.5,,51.0,-234.0,,,,,663.2,376.2,,,-75.0,20.6,50.4,,0.0,26.2,,,,605.0,17.0,65.4,,,,,,-164.2,,,,1296.7,478.2,,False,,True,True,,,,,False,False,,,True,True,True,,True,True,,,,False,True,True,,,,,,True,,,,False,False
01053,466,624.0,,612.4,,590.0,280.0,,,,,692.6,689.2,,,546.0,597.4,530.7,,630.5,500.7,,,,893.0,526.0,569.2,,,,,,387.1,,,,713.2,582.9,158.0,,146.4,,124.0,-186.0,,,,,226.6,223.2,,,80.0,131.4,64.7,,164.5,34.7,,,,427.0,60.0,103.2,,,,,,-78.9,,,,247.2,116.9,,True,,True,False,,,,,False,False,,,True,True,True,,False,True,,,,False,True,True,,,,,,True,,,,False,True
01055,1093,1887.0,,1920.1,,1745.0,3104.0,,,,,2159.4,2156.8,,,1831.0,1594.8,1304.5,,1282.0,1487.1,,,,1616.0,1560.0,1612.3,,,,,,860.3,,,,1963.9,1939.6,794.0,,827.1,,652.0,2011.0,,,,,1066.4,1063.8,,,738.0,501.8,211.5,,189.0,394.1,,,,523.0,467.0,519.3,,,,,,-232.7,,,,870.9,846.6,,False,,True,False,,,,,False,False,,,True,True,True,,True,True,,,,True,True,True,,,,,,True,,,,False,False
01057,245,330.0,,323.9,,301.0,377.0,,,,,310.3,333.8,,,282.0,323.2,189.5,,381.5,267.0,,,,368.0,242.0,168.6,,,,,,,,,,318.5,265.1,85.0,,78.9,,56.0,132.0,,,,,65.3,88.8,,,37.0,78.2,-55.5,,136.5,22.0,,,,123.0,-3.0,-76.4,,,,,,,,,,73.5,20.1,,True,,True,False,,,,,True,False,,,True,True,True,,False,True,,,,False,True,True,,,,,,,,,,True,True
01059,251,414.0,,433.8,,403.0,351.0,,,,,659.5,477.5,,,710.0,417.4,326.3,,258.0,338.7,,,,360.0,369.0,488.3,,,,,,274.1,,,,499.1,410.7,163.0,,182.8,,152.0,100.0,,,,,408.5,226.5,,,459.0,166.4,75.3,,7.0,87.7,,,,109.0,118.0,237.3,,,,,,23.1,,,,248.1,159.7,,False,,True,True,,,,,False,False,,,False,False,True,,True,True,,,,True,True,False,,,,,,True,,,,False,True
01061,323,339.0,,311.8,,335.0,248.0,,,,,403.8,410.1,,,413.0,407.7,279.5,,479.0,319.1,,,,313.0,275.0,339.2,,,,,,,,,,400.7,339.6,16.0,,-11.2,,12.0,-75.0,,,,,80.8,87.1,,,90.0,84.7,-43.5,,156.0,-3.9,,,,-10.0,-48.0,16.2,,,,,,,,,,77.7,16.6,,True,,True,False,,,,,False,False,,,False,False,False,,False,True,,,,True,False,False,,,,,,,,,,False,False
01063,69,93.0,,97.2,,85.0,44.0,,,,,148.6,111.6,,,85.0,41.2,76.9,,77.0,75.1,,,,107.0,79.0,126.2,,,,,,,,,,169.5,130.3,24.0,,28.2,,16.0,-25.0,,,,,79.6,42.6,,,16.0,-27.8,7.9,,8.0,6.1,,,,38.0,10.0,57.2,,,,,,,,,,100.5,61.3,,False,,True,False,,,,,False,False,,,True,False,True,,True,True,,,,False,True,False,,,,,,,,,,False,False
01065,248,294.0,,317.7,,254.0,237.0,,,,,367.6,330.5,,,217.0,447.1,231.9,,229.0,227.5,,,,444.0,229.0,259.4,,,,,,,,,,416.8,297.5,46.0,,69.7,,6.0,-11.0,,,,,119.6,82.5,,,-31.0,199.1,-16.1,,-19.0,-20.5,,,,196.0,-19.0,11.4,,,,,,,,,,168.8,49.5,,False,,True,True,,,,,False,False,,,True,False,True,,True,True,,,,False,True,True,,,,,,,,,,False,False
01067,215,309.0,,300.2,,265.0,155.0,,,,,329.7,354.0,,,232.0,275.5,190.2,,275.0,262.2,,,,437.0,233.0,226.1,,,,,,,,,,395.4,259.8,94.0,,85.2,,50.0,-60.0,,,,,114.7,139.0,,,17.0,60.5,-24.8,,60.0,47.2,,,,222.0,18.0,11.1,,,,,,,,,,180.4,44.8,,True,,True,True,,,,,False,False,,,True,True,True,,True,True,,,,False,True,True,,,,,,,,,,False,True
01069,1144,1332.0,,1454.6,,1337.0,834.0,,,,,1633.1,1680.8,,,1403.0,1197.2,1058.9,,1041.0,1191.0,,,,1182.0,1170.0,1688.2,,,,,,1448.7,,,,1855.8,1402.0,188.0,,310.6,,193.0,-310.0,,,,,489.1,536.8,,,259.0,53.2,-85.1,,-103.0,47.0,,,,38.0,26.0,544.2,,,,,,304.7,,,,711.8,258.0,,False,,False,False,,,,,False,False,,,False,True,True,,True,True,,,,True,True,False,,,,,,False,,,,False,False
01071,564,663.0,,603.9,,653.0,885.0,,,,,1004.2,880.3,,,965.0,542.1,495.8,,286.0,499.0,,,,728.0,599.0,533.1,,,,,,660.6,,,,1024.4,804.6,99.0,,39.9,,89.0,321.0,,,,,440.2,316.3,,,401.0,-21.9,-68.2,,-278.0,-65.0,,,,164.0,35.0,-30.9,,,,,,96.6,,,,460.4,240.6,,True,,True,False,,,,,False,False,,,False,True,True,,False,True,,,,False,True,True,,,,,,True,,,,False,False
01073,6567,10083.0,,9821.3,11460.6,8672.0,7697.0,,,,,12185.1,10331.6,,8933.1,10366.0,8646.7,7759.3,,7205.5,7664.8,,,,10319.0,8014.0,5325.7,,,,,,6663.7,6504.0,,,9701.5,9178.8,3516.0,,3254.3,4893.6,2105.0,1130.0,,,,,5618.1,3764.6,,2366.1,3799.0,2079.7,1192.3,,638.5,1097.8,,,,3752.0,1447.0,-1241.3,,,,,,96.7,-63.0,,,3134.5,2611.8,,True,False,True,True,,,,,False,False,,True,False,True,True,,True,True,,,,False,True,True,,,,,,True,True,,,True,True
01075,92,129.0,,122.0,,122.0,80.0,,,,,218.2,184.0,,,220.0,114.4,98.2,,104.0,118.3,,,,142.0,127.0,116.1,,,,,,,,,,172.8,151.6,37.0,,30.0,,30.0,-12.0,,,,,126.2,92.0,,,128.0,22.4,6.2,,12.0,26.3,,,,50.0,35.0,24.1,,,,,,,,,,80.8,59.6,,True,,True,True,,,,,False,False,,,False,True,True,,True,True,,,,False,True,True,,,,,,,,,,False,False
01077,822,1137.0,,1158.7,,1004.0,866.0,,,,,1512.4,1506.8,,,1676.0,788.5,941.8,,783.0,852.1,,,,1363.0,1120.0,982.1,,,,,,570.5,,,,1122.0,1315.4,315.0,,336.7,,182.0,44.0,,,,,690.4,684.8,,,854.0,-33.5,119.8,,-39.0,30.1,,,,541.0,298.0,160.1,,,,,,-251.5,,,,300.0,493.4,,False,,True,True,,,,,False,False,,,False,True,True,,True,True,,,,False,True,True,,,,,,True,,,,True,False
01079,292,330.0,,328.3,,331.0,140.0,,,,,508.6,480.4,,,633.0,436.6,345.5,,280.0,311.8,,,,494.0,331.0,289.6,,,,,,190.9,,,,459.4,446.8,38.0,,36.3,,39.0,-152.0,,,,,216.6,188.4,,,341.0,144.6,53.5,,-12.0,19.8,,,,202.0,39.0,-2.4,,,,,,-101.1,,,,167.4,154.8,,True,,False,False,,,,,False,False,,,False,False,False,,True,True,,,,False,False,True,,,,,,False,,,,False,False
01081,1884,2685.0,,2580.0,,2605.0,1831.0,,,,,2741.2,2807.0,,3475.7,2096.0,3232.0,1799.2,,2928.0,2321.0,,,,3751.0,1979.0,2089.8,,,,,,1940.8,4022.0,,,3603.5,2953.8,801.0,,696.0,,721.0,-53.0,,,,,857.2,923.0,,1591.7,212.0,1348.0,-84.8,,1044.0,437.0,,,,1867.0,95.0,205.8,,,,,,56.8,2138.0,,,1719.5,1069.8,,True,,True,True,,,,,False,False,,False,True,False,True,,False,True,,,,False,True,True,,,,,,True,False,,,False,False
01083,952,1242.0,,1164.7,,1185.0,1641.0,,,,,1667.4,1490.0,,,1563.0,1089.5,867.0,,905.0,996.6,,,,1439.0,1119.0,882.0,,,,,,997.9,,,,1296.4,1236.6,290.0,,212.7,,233.0,689.0,,,,,715.4,538.0,,,611.0,137.5,-85.0,,-47.0,44.6,,,,487.0,167.0,-70.0,,,,,,45.9,,,,344.4,284.6,,True,,True,False,,,,,False,False,,,False,True,True,,True,True,,,,False,True,True,,,,,,True,,,,False,True
01085,173,147.0,,127.8,,146.0,156.0,,,,,190.4,164.1,,,81.0,425.6,134.5,,162.0,144.8,,,,244.0,126.0,99.9,,,,,,,,,,212.7,184.1,-26.0,,-45.2,,-27.0,-17.0,,,,,17.4,-8.9,,,-92.0,252.6,-38.5,,-11.0,-28.2,,,,71.0,-47.0,-73.1,,,,,,,,,,39.7,11.1,,False,,False,True,,,,,True,True,,,False,False,False,,True,False,,,,False,False,False,,,,,,,,,,False,True
01087,188,183.0,,181.0,,167.0,181.0,,,,,210.5,224.8,,,151.0,167.7,130.6,,162.0,159.1,,,,217.0,163.0,132.5,,,,,,,,,,200.7,153.2,-5.0,,-7.0,,-21.0,-7.0,,,,,22.5,36.8,,,-37.0,-20.3,-57.4,,-26.0,-28.9,,,,29.0,-25.0,-55.5,,,,,,,,,,12.7,-34.8,,False,,False,False,,,,,False,False,,,False,False,False,,False,False,,,,False,False,False,,,,,,,,,,False,False
