,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Georgia,188550,254920.0,280506.5,253435.8,273665.0,358098.0,,309416.6,290169.0,388865.6,247028.2,,407632.4,250858.0,250743.2,246818.0,144242.5,202293.5,329703.5,322591.5,325804.3,247285.8,270775.9,240343.0,,282532.5,,152068.3,,233997.8,315383.4,222353.5,268103.0,288026.5,,66370.0,91956.5,64885.8,85115.0,169548.0,,120866.6,101619.0,200315.6,58478.2,,219082.4,62308.0,62193.2,58268.0,-44307.5,13743.5,141153.5,134041.5,137254.3,58735.8,82225.9,51793.0,,93982.5,,-36481.7,,45447.8,126833.4,33803.5,79553.0,99476.5,,False,True,False,False,,False,False,False,True,,False,True,True,True,True,True,False,False,False,True,False,True,,False,,True,,True,False,True,False,False,
Hawaii,3203,4908.0,4756.6,4944.4,5146.0,6573.0,,4546.2,4172.0,8628.6,6713.3,,8757.8,,6018.7,5433.0,12805.0,5189.0,4564.6,5740.0,6303.7,4628.4,6236.1,4629.0,,4825.0,,3912.7,,3347.4,4963.7,6767.9,5015.0,4669.5,,1705.0,1553.6,1741.4,1943.0,3370.0,,1343.2,969.0,5425.6,3510.3,,5554.8,,2815.7,2230.0,9602.0,1986.0,1361.6,2537.0,3100.7,1425.4,3033.1,1426.0,,1622.0,,709.7,,144.4,1760.7,3564.9,1812.0,1466.5,,True,False,False,False,,True,True,False,False,,False,,False,False,False,False,True,False,False,True,False,True,,True,,True,,True,False,False,False,True,
Idaho,15974,28144.0,32822.8,27354.7,25296.0,49346.0,,24380.2,11776.0,66585.0,34549.2,,21540.3,25176.0,14431.0,30107.0,18659.2,22902.0,19493.8,23230.0,29318.2,20172.1,28869.0,26936.0,,17294.0,,17030.2,,21318.7,19870.1,34124.7,22419.0,29717.5,,12170.0,16848.8,11380.7,9322.0,33372.0,,8406.2,-4198.0,50611.0,18575.2,,5566.3,9202.0,-1543.0,14133.0,2685.2,6928.0,3519.8,7256.0,13344.2,4198.1,12895.0,10962.0,,1320.0,,1056.2,,5344.7,3896.1,18150.7,6445.0,13743.5,,False,True,True,False,,True,True,False,False,,True,True,True,False,True,True,True,True,False,True,False,True,,True,,True,,True,True,False,True,False,
Illinois,120242,194748.0,191310.9,190972.7,179334.0,339569.0,,172498.0,24421.0,201526.3,238843.1,,194703.1,173060.0,130963.2,182489.0,115301.8,145704.5,111962.1,190999.0,226161.6,97976.5,194655.6,191865.0,,152857.4,,46776.9,,155587.1,125490.6,182136.6,172598.0,285866.2,,74506.0,71068.9,70730.7,59092.0,219327.0,,52256.0,-95821.0,81284.3,118601.1,,74461.1,52818.0,10721.2,62247.0,-4940.2,25462.5,-8279.9,70757.0,105919.6,-22265.5,74413.6,71623.0,,32615.4,,-73465.1,,35345.1,5248.6,61894.6,52356.0,165624.2,,True,True,True,False,,True,False,False,False,,True,True,True,True,True,True,True,True,False,True,True,True,,True,,True,,True,True,True,True,False,
Indiana,79427,141880.0,150917.0,143685.9,140856.0,227393.0,,129717.2,55090.0,190072.2,171840.6,,157021.3,137065.0,110717.6,163025.0,78938.7,122185.0,105282.5,152165.5,181037.4,95742.3,141325.0,120945.0,,147723.2,,45253.3,,154324.0,106326.5,145783.1,123432.0,172822.8,,62453.0,71490.0,64258.9,61429.0,147966.0,,50290.2,-24337.0,110645.2,92413.6,,77594.3,57638.0,31290.6,83598.0,-488.3,42758.0,25855.5,72738.5,101610.4,16315.3,61898.0,41518.0,,68296.2,,-34173.7,,74897.0,26899.5,66356.1,44005.0,93395.8,,False,False,True,False,,True,True,False,False,,False,True,True,False,True,True,True,False,False,True,True,True,,False,,True,,False,True,False,True,False,
Iowa,28135,49104.0,41887.8,47777.9,44763.0,80581.0,,42988.0,345933.0,43817.3,59503.1,,48906.6,44777.0,26492.4,61696.0,29082.5,26748.5,44822.2,44017.5,55965.6,32066.1,47348.6,57622.0,,36946.6,,12051.1,,50910.9,24853.4,48608.2,35146.0,44868.8,,20969.0,13752.8,19642.9,16628.0,52446.0,,14853.0,317798.0,15682.3,31368.1,,20771.6,16642.0,-1642.6,33561.0,947.5,-1386.5,16687.2,15882.5,27830.6,3931.1,19213.6,29487.0,,8811.6,,-16083.9,,22775.9,-3281.6,20473.2,7011.0,16733.8,,True,True,True,False,,True,False,True,False,,True,True,True,False,True,True,True,True,False,True,True,False,,True,,True,,False,True,True,True,True,
Kansas,39343,53336.0,62932.2,48323.5,51384.0,44227.0,,52051.3,183771.0,16233.4,104582.8,,94987.8,60161.0,116303.7,56499.0,35262.6,37566.5,40993.1,1506.5,50205.7,50559.7,53806.8,40833.0,,45150.1,,15737.2,,48183.6,64840.2,77498.0,48789.0,60087.7,,13993.0,23589.2,8980.5,12041.0,4884.0,,12708.3,144428.0,-23109.6,65239.8,,55644.8,20818.0,76960.7,17156.0,-4080.4,-1776.5,1650.1,-37836.5,10862.7,11216.7,14463.8,1490.0,,5807.1,,-23605.8,,8840.6,25497.2,38155.0,9446.0,20744.7,,False,True,True,True,,True,False,False,False,,False,False,False,False,True,True,True,False,True,True,False,True,,True,,False,,True,False,False,True,False,
Kentucky,75856,105708.0,104254.1,102340.9,103959.0,168768.0,,98135.1,41269.0,376605.0,133650.5,,149089.5,98262.0,161289.9,153380.0,58702.6,83025.5,68905.0,130898.0,113898.6,74915.4,103107.4,93576.0,,107667.2,,38114.8,,81566.4,62775.8,112790.1,87283.0,119332.6,,29852.0,28398.1,26484.9,28103.0,92912.0,,22279.1,-34587.0,300749.0,57794.5,,73233.5,22406.0,85433.9,77524.0,-17153.4,7169.5,-6951.0,55042.0,38042.6,-940.6,27251.4,17720.0,,31811.2,,-37741.2,,5710.4,-13080.2,36934.1,11427.0,43476.6,,True,True,True,False,,True,False,False,False,,False,True,False,False,True,True,True,False,False,True,True,True,,False,,False,,True,True,False,True,False,
Louisiana,68430,104624.0,77793.4,104920.0,101794.0,173472.0,,106306.7,58503.0,856078.2,113612.4,,150401.5,104388.0,134002.0,121754.0,57127.1,85593.5,90316.7,87149.5,103851.3,86041.1,102970.6,106555.0,,103875.9,,70560.3,,92571.0,83846.7,96728.1,85786.0,100036.2,,36194.0,9363.4,36490.0,33364.0,105042.0,,37876.7,-9927.0,787648.2,45182.4,,81971.5,35958.0,65572.0,53324.0,-11302.9,17163.5,21886.7,18719.5,35421.3,17611.1,34540.6,38125.0,,35445.9,,2130.3,,24141.0,15416.7,28298.1,17356.0,31606.2,,True,False,True,False,,False,True,False,False,,False,True,False,False,True,True,True,True,True,True,True,False,,True,,True,,True,True,True,True,True,
Maine,12046,15096.0,14511.0,15422.5,16530.0,19327.0,,15209.8,11491.0,18747.0,25781.7,,18746.0,14060.0,18896.2,18658.0,19967.8,17162.5,27690.4,13369.5,15867.2,20408.4,18838.4,11759.0,,15334.8,,21537.4,,13327.8,21351.0,18246.5,18771.0,16735.8,,3050.0,2465.0,3376.5,4484.0,7281.0,,3163.8,-555.0,6701.0,13735.7,,6700.0,2014.0,6850.2,6612.0,7921.8,5116.5,15644.4,1323.5,3821.2,8362.4,6792.4,-287.0,,3288.8,,9491.4,,1281.8,9305.0,6200.5,6725.0,4689.8,,True,False,False,False,,False,True,False,False,,False,True,False,False,False,False,False,True,False,False,False,True,,False,,False,,True,False,False,False,False,
Maryland,58720,80772.0,76989.7,83057.2,84305.0,101610.0,,79665.0,423217.0,103535.8,102797.2,,131461.3,79180.0,84005.0,80403.0,70112.5,77158.0,76639.1,96078.5,114485.8,61102.4,91056.3,79386.0,,86476.9,,94442.4,,90282.8,94936.7,107564.9,81112.0,95048.1,,22052.0,18269.7,24337.2,25585.0,42890.0,,20945.0,364497.0,44815.8,44077.2,,72741.3,20460.0,25285.0,21683.0,11392.5,18438.0,17919.1,37358.5,55765.8,2382.4,32336.3,20666.0,,27756.9,,35722.4,,31562.8,36216.7,48844.9,22392.0,36328.1,,True,False,False,False,,True,False,False,False,,False,True,False,True,True,True,True,False,False,True,False,True,,False,,False,,False,False,False,False,False,
Massachusetts,113692,171816.0,148089.0,169371.7,173473.0,287982.0,,157395.3,106587.0,183850.2,193397.9,,242367.4,159811.0,178211.7,181276.0,102117.2,152742.5,155113.4,186785.0,203337.2,105218.9,181056.0,139239.0,,194403.9,,148216.7,,210675.6,197559.3,184130.0,171337.0,225229.8,,58124.0,34397.0,55679.7,59781.0,174290.0,,43703.3,-7105.0,70158.2,79705.9,,128675.4,46119.0,64519.7,67584.0,-11574.8,39050.5,41421.4,73093.0,89645.2,-8473.1,67364.0,25547.0,,80711.9,,34524.7,,96983.6,83867.3,70438.0,57645.0,111537.8,,True,True,False,False,,True,True,False,False,,False,True,False,False,True,True,True,False,False,True,False,True,,False,,True,,False,False,False,True,False,
Michigan,58132,97728.0,112293.5,100324.8,95945.0,213499.0,,82391.6,20931.0,223688.8,113746.1,,98865.1,104920.0,101314.0,125359.0,137834.7,70009.0,52908.0,86180.0,91256.7,70079.2,88483.2,85539.0,,74126.5,,25139.3,,128509.6,32102.2,87125.7,91930.0,115128.8,,39596.0,54161.5,42192.8,37813.0,155367.0,,24259.6,-37201.0,165556.8,55614.1,,40733.1,46788.0,43182.0,67227.0,79702.7,11877.0,-5224.0,28048.0,33124.7,11947.2,30351.2,27407.0,,15994.5,,-32992.7,,70377.6,-26029.8,28993.7,33798.0,56996.8,,False,False,True,False,,True,True,False,False,,False,False,False,False,False,True,True,True,True,True,True,True,,True,,True,,False,True,True,True,False,
Minnesota,32804,66324.0,77233.0,72392.4,61216.0,153964.0,,56690.1,10369.0,66947.0,69817.3,,56752.4,64226.0,39035.1,79992.0,57269.0,41725.5,16711.2,58761.5,66408.5,38519.7,63476.7,73187.0,,54797.9,,13970.1,,67498.3,3111.9,66362.4,49333.0,70048.7,,33520.0,44429.0,39588.4,28412.0,121160.0,,23886.1,-22435.0,34143.0,37013.3,,23948.4,31422.0,6231.1,47188.0,24465.0,8921.5,-16092.8,25957.5,33604.5,5715.7,30672.7,40383.0,,21993.9,,-18833.9,,34694.3,-29692.1,33558.4,16529.0,37244.7,,False,False,True,False,,True,True,False,False,,True,True,True,False,True,True,True,True,False,True,True,False,,True,,True,,False,True,False,True,False,
Mississippi,43910,66364.0,57942.2,65959.4,67028.0,83747.0,,60055.7,48511.0,99501.4,74275.9,,88814.3,68530.0,73008.7,60574.0,39713.2,64862.0,78804.3,82454.5,82999.3,58665.2,67211.5,54941.0,,76241.2,,35625.0,,55755.5,80632.0,65261.7,54602.0,75073.1,,22454.0,14032.2,22049.4,23118.0,39837.0,,16145.7,4601.0,55591.4,30365.9,,44904.3,24620.0,29098.7,16664.0,-4196.8,20952.0,34894.3,38544.5,39089.3,14755.2,23301.5,11031.0,,32331.2,,-8285.0,,11845.5,36722.0,21351.7,10692.0,31163.1,,True,True,False,False,,True,True,False,False,,False,False,False,True,True,True,False,False,False,True,False,True,,False,,True,,True,False,True,True,False,
Missouri,65775,86552.0,97238.4,84205.6,85559.0,129098.0,,80896.7,37416.0,122478.2,112300.2,,107381.6,93887.0,64460.3,86103.0,52694.9,73303.0,56811.0,80158.5,114356.6,85336.0,87630.2,93404.0,,86447.7,,45470.8,,86011.7,68684.3,94105.9,75627.0,88288.3,,20777.0,31463.4,18430.6,19784.0,63323.0,,15121.7,-28359.0,56703.2,46525.2,,41606.6,28112.0,-1314.7,20328.0,-13080.1,7528.0,-8964.0,14383.5,48581.6,19561.0,21855.2,27629.0,,20672.7,,-20304.2,,20236.7,2909.3,28330.9,9852.0,22513.3,,False,True,True,False,,True,False,False,False,,False,False,True,True,True,True,True,True,False,True,False,False,,True,,True,,True,True,False,True,False,
Montana,9615,16632.0,18050.0,15977.0,14874.0,25215.0,,12377.2,3033.0,20198.9,16579.9,,14905.0,15569.0,10492.8,20070.0,7181.6,10837.5,6997.0,9228.5,16792.8,11322.4,15779.1,20484.0,,13515.2,,6932.4,,11243.4,1707.3,16891.1,11209.0,14758.5,,7017.0,8435.0,6362.0,5259.0,15600.0,,2762.2,-6582.0,10583.9,6964.9,,5290.0,5954.0,877.8,10455.0,-2433.4,1222.5,-2618.0,-386.5,7177.8,1707.4,6164.1,10869.0,,3900.2,,-2682.6,,1628.4,-7907.7,7276.1,1594.0,5143.5,,False,True,True,False,,True,True,False,True,,True,True,True,False,True,True,True,True,False,True,True,False,,True,,True,,True,False,False,True,True,
Nebraska,17801,29432.0,34166.5,28486.6,27198.0,27400.0,,27285.3,3448.0,25304.9,40184.1,,27266.6,29617.0,21526.5,32716.0,23656.0,22904.5,14215.1,22895.0,30257.8,19391.8,30547.8,29659.0,,25959.2,,17785.1,,36238.4,13127.5,28770.5,24586.0,28923.1,,11631.0,16365.5,10685.6,9397.0,9599.0,,9484.3,-14353.0,7503.9,22383.1,,9465.6,11816.0,3725.5,14915.0,5855.0,5103.5,-3585.9,5094.0,12456.8,1590.8,12746.8,11858.0,,8158.2,,-15.9,,18437.4,-4673.5,10969.5,6785.0,11122.1,,False,True,True,True,,True,False,True,False,,True,False,True,False,True,True,True,True,False,True,False,False,,True,,True,,False,True,True,True,True,
Nevada,37082,69752.0,59660.8,68609.0,63231.0,157726.0,,60033.0,27363.0,104003.9,69705.5,,79590.7,61759.0,44234.3,70265.0,31669.5,60825.0,51015.5,69908.5,74199.9,56668.9,62094.0,62310.0,,57231.9,,35554.2,,71830.3,49785.5,73475.5,57866.0,71805.1,,32670.0,22578.8,31527.0,26149.0,120644.0,,22951.0,-9719.0,66921.9,32623.5,,42508.7,24677.0,7152.3,33183.0,-5412.5,23743.0,13933.5,32826.5,37117.9,19586.9,25012.0,25228.0,,20149.9,,-1527.8,,34748.3,12703.5,36393.5,20784.0,34723.1,,True,True,True,False,,True,True,False,True,,False,True,True,False,True,True,True,False,False,True,True,True,,True,,True,,False,True,False,True,False,
New Hampshire,15889,22660.0,22946.5,23303.6,22506.0,45142.0,,20816.6,10122.0,27714.1,24087.8,,22867.5,22719.0,41887.4,23596.0,18985.1,23247.5,19035.1,18331.5,19181.0,27643.9,22876.3,16123.0,,21429.7,,37359.9,,17002.9,30695.9,20673.6,23513.0,25693.4,,6771.0,7057.5,7414.6,6617.0,29253.0,,4927.6,-5767.0,11825.1,8198.8,,6978.5,6830.0,25998.4,7707.0,3096.1,7358.5,3146.1,2442.5,3292.0,11754.9,6987.3,234.0,,5540.7,,21470.9,,1113.9,14806.9,4784.6,7624.0,9804.4,,False,False,True,False,,True,True,False,False,,False,False,False,False,True,False,True,True,True,False,False,True,,True,,False,,True,False,True,False,False,
