,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Georgia,127739,182433.0,206804.2,184339.7,194748.0,159560.0,,206717.0,220483.0,209416.8,170673.1,,210657.8,204204.0,147734.9,191589.0,128070.4,227697.0,187684.0,148320.1,247897.6,182427.8,195755.9,241634.0,167352.0,,184622.0,,109754.2,,168325.6,260280.4,198597.5,199212.0,207372.4,,54694.0,79065.2,56600.7,67009.0,31821.0,,78978.0,92744.0,81677.8,42934.1,,82918.8,76465.0,19995.9,63850.0,331.4,99958.0,59945.0,20581.1,120158.6,54688.8,68016.9,113895.0,39613.0,,56883.0,,-17984.8,,40586.6,132541.4,70858.5,71473.0,79633.4,,False,False,False,True,,False,False,False,True,,False,False,True,False,True,False,False,True,False,True,False,False,True,,False,,True,,True,False,False,False,False,
Hawaii,2137,3198.0,3176.9,3171.4,3430.0,2056.0,,3798.2,6555.0,3160.2,4258.0,,4142.5,,5246.5,3990.0,6472.5,3652.8,3277.5,3186.3,3452.3,3576.8,3286.8,4496.0,3115.0,,3381.2,,4076.7,,2687.7,4465.7,2833.9,3692.0,3932.4,,1061.0,1039.9,1034.4,1293.0,-81.0,,1661.2,4418.0,1023.2,2121.0,,2005.5,,3109.5,1853.0,4335.5,1515.8,1140.5,1049.3,1315.3,1439.8,1149.8,2359.0,978.0,,1244.2,,1939.7,,550.7,2328.7,696.9,1555.0,1795.4,,True,True,False,True,,False,False,True,False,,False,,False,False,False,False,False,True,False,False,False,False,True,,False,,False,,True,False,True,False,False,
Idaho,9933,18123.0,14929.9,18163.4,16628.0,17825.0,,17230.6,7543.0,30653.9,22586.2,,16704.7,19753.0,11306.7,18453.0,14224.9,13156.4,13342.0,16251.1,11160.0,18586.7,16078.6,19207.0,19378.0,,14376.1,,11501.1,,13189.1,17971.1,23925.2,16466.0,22804.4,,8190.0,4996.9,8230.4,6695.0,7892.0,,7297.6,-2390.0,20720.9,12653.2,,6771.7,9820.0,1373.7,8520.0,4291.9,3223.4,3409.0,6318.1,1227.0,8653.7,6145.6,9274.0,9445.0,,4443.1,,1568.1,,3256.1,8038.1,13992.2,6533.0,12871.4,,True,False,True,True,,True,True,False,False,,True,False,True,False,True,True,True,True,True,False,True,False,False,,True,,True,,True,True,False,True,False,
Illinois,79614,121884.0,110523.2,119719.4,115421.0,121579.0,,120499.1,16488.0,96089.3,151472.0,,121842.3,128632.0,113134.9,132285.0,92192.5,82479.6,104801.5,109503.5,92147.5,72863.1,121609.5,122363.0,108238.0,,105275.4,,34485.1,,88789.5,156767.5,122065.1,113582.0,186038.3,,42270.0,30909.2,40105.4,35807.0,41965.0,,40885.1,-63126.0,16475.3,71858.0,,42228.3,49018.0,33520.9,52671.0,12578.5,2865.6,25187.5,29889.5,12533.5,-6750.9,41995.5,42749.0,28624.0,,25661.4,,-45128.9,,9175.5,77153.5,42451.1,33968.0,106424.3,,True,True,True,True,,True,False,True,False,,True,False,True,False,True,True,True,True,True,True,True,False,True,,True,,False,,True,False,False,True,False,
Indiana,50938,85467.0,88114.4,85812.8,77288.0,71192.0,,88967.5,46074.0,80663.9,108952.4,,85579.5,93228.0,69128.3,79847.0,61009.9,74973.6,66044.5,74006.9,27671.4,62809.6,87862.5,90984.0,62272.0,,66120.5,,34851.0,,54246.5,109890.2,58857.1,83448.0,130507.3,,34529.0,37176.4,34874.8,26350.0,20254.0,,38029.5,-4864.0,29725.9,58014.4,,34641.5,42290.0,18190.3,28909.0,10071.9,24035.6,15106.5,23068.9,-23266.6,11871.6,36924.5,40046.0,11334.0,,15182.5,,-16087.0,,3308.5,58952.2,7919.1,32510.0,79569.3,,False,False,True,True,,False,True,True,False,,False,False,True,True,True,True,True,True,True,True,False,False,True,,True,,True,,True,False,True,True,False,
Iowa,19558,25731.0,21034.8,23590.7,24664.0,19743.0,,27932.7,310026.0,20109.9,44854.6,,21960.3,28529.0,17100.8,28263.0,22338.0,24088.2,15840.5,24602.3,28463.9,12744.9,26247.7,28157.0,28889.0,,20995.2,,3682.8,,20285.4,34179.8,60407.6,23448.0,28333.3,,6173.0,1476.8,4032.7,5106.0,185.0,,8374.7,290468.0,551.9,25296.6,,2402.3,8971.0,-2457.2,8705.0,2780.0,4530.2,-3717.5,5044.3,8905.9,-6813.1,6689.7,8599.0,9331.0,,1437.2,,-15875.2,,727.4,14621.8,40849.6,3890.0,8775.3,,True,True,True,True,,False,False,True,False,,True,False,True,False,True,True,True,True,False,False,False,False,False,,True,,False,,True,False,False,True,False,
Kansas,25572,41313.0,42209.2,39909.9,40742.0,33110.0,,42146.8,58537.0,8941.8,47035.7,,56422.0,47761.0,30143.4,46341.0,29119.9,31170.0,8272.0,33479.7,17303.8,39781.3,45941.7,44334.0,36062.0,,23850.3,,13361.9,,41368.1,49806.4,45012.4,35809.0,42962.9,,15741.0,16637.2,14337.9,15170.0,7538.0,,16574.8,32965.0,-16630.2,21463.7,,30850.0,22189.0,4571.4,20769.0,3547.9,5598.0,-17300.0,7907.7,-8268.2,14209.3,20369.7,18762.0,10490.0,,-1721.7,,-12210.1,,15796.1,24234.4,19440.4,10237.0,17390.9,,False,True,True,True,,False,False,False,False,,False,False,True,False,True,True,False,True,True,True,False,False,True,,True,,True,,False,False,False,True,False,
Kentucky,51929,71781.0,70921.6,74005.3,70982.0,62910.0,,80341.5,40231.0,278547.2,81887.2,,90524.7,78165.0,126729.5,74762.0,49406.1,60557.7,45988.5,63096.2,65984.8,68708.6,71517.5,92866.0,56274.0,,80033.2,,31998.5,,46716.0,85452.4,65776.8,76317.0,88944.3,,19852.0,18992.6,22076.3,19053.0,10981.0,,28412.5,-11698.0,226618.2,29958.2,,38595.7,26236.0,74800.5,22833.0,-2522.9,8628.7,-5940.5,11167.2,14055.8,16779.6,19588.5,40937.0,4345.0,,28104.2,,-19930.5,,-5213.0,33523.4,13847.8,24388.0,37015.3,,True,False,True,True,,False,True,False,False,,False,False,False,False,True,True,True,True,True,True,True,False,True,,False,,False,,True,False,True,False,False,
Louisiana,45008,70266.0,63919.2,69941.9,68922.0,72740.0,,74058.6,43110.0,444663.8,65985.9,,76863.7,73156.0,68921.2,65476.0,49557.2,72063.5,56507.5,62469.7,74623.0,53013.1,74345.0,78574.0,62910.0,,71444.1,,51906.2,,49999.7,99883.8,50723.5,64312.0,87929.9,,25258.0,18911.2,24933.9,23914.0,27732.0,,29050.6,-1898.0,399655.8,20977.9,,31855.7,28148.0,23913.2,20468.0,4549.2,27055.5,11499.5,17461.7,29615.0,8005.1,29337.0,33566.0,17902.0,,26436.1,,6898.2,,4991.7,54875.8,5715.5,19304.0,42921.9,,True,True,True,False,,False,True,False,True,,False,False,True,True,True,False,True,True,False,True,False,False,True,,False,,True,,True,False,True,True,False,
Maine,7846,12600.0,12953.0,12440.6,12897.0,14104.0,,12531.4,7914.0,14089.8,20645.7,,15490.6,12023.0,8060.8,15579.0,13786.9,18534.1,12884.0,11634.4,12757.8,17657.7,14091.8,19104.0,11099.0,,10895.6,,14406.0,,11201.7,16226.8,15572.3,15019.0,14391.4,,4754.0,5107.0,4594.6,5051.0,6258.0,,4685.4,68.0,6243.8,12799.7,,7644.6,4177.0,214.8,7733.0,5940.9,10688.1,5038.0,3788.4,4911.8,9811.7,6245.8,11258.0,3253.0,,3049.6,,6560.0,,3355.7,8380.8,7726.3,7173.0,6545.4,,False,True,False,False,,True,True,False,False,,False,True,True,False,False,False,False,True,False,False,False,False,True,,True,,False,,True,False,False,False,False,
Maryland,38053,62001.0,55300.6,62229.5,61884.0,50433.0,,64058.7,561716.0,55354.5,68015.6,,72461.5,68272.0,52952.8,64380.0,52044.2,59420.2,62484.0,56310.9,44477.3,46774.4,64129.8,72033.0,62471.0,,56931.6,,63303.2,,52554.9,74689.6,56049.6,64161.0,81578.7,,23948.0,17247.6,24176.5,23831.0,12380.0,,26005.7,523663.0,17301.5,29962.6,,34408.5,30219.0,14899.8,26327.0,13991.2,21367.2,24431.0,18257.9,6424.3,8721.4,26076.8,33980.0,24418.0,,18878.6,,25250.2,,14501.9,36636.6,17996.6,26108.0,43525.7,,True,False,True,True,,False,False,True,False,,False,False,True,False,True,True,False,True,True,True,False,False,False,,True,,False,,True,False,True,False,False,
Massachusetts,75101,115773.0,115341.1,111769.9,118745.0,110009.0,,123742.5,75661.0,132105.4,138119.6,,127682.8,131763.0,131131.3,125201.0,71228.1,124685.8,107839.0,100483.1,123576.2,89140.9,122310.3,136035.0,81801.0,,112120.3,,93688.6,,71180.6,162351.0,137041.4,124998.0,211323.7,,40672.0,40240.1,36668.9,43644.0,34908.0,,48641.5,560.0,57004.4,63018.6,,52581.8,56662.0,56030.3,50100.0,-3872.9,49584.8,32738.0,25382.1,48475.2,14039.9,47209.3,60934.0,6700.0,,37019.3,,18587.6,,-3920.4,87250.0,61940.4,49897.0,136222.7,,True,True,False,True,,False,True,False,False,,False,False,False,False,True,False,True,True,False,True,False,False,True,,True,,True,,True,False,False,False,False,
Michigan,38900,57696.0,60224.6,55413.5,54830.0,56710.0,,55257.5,12179.0,106996.5,87703.0,,56165.8,69947.0,65602.8,63001.0,65092.4,35802.7,35333.5,54645.1,62531.7,74768.3,51391.6,60112.0,43549.0,,37674.0,,20084.3,,62838.5,57769.7,40038.0,56381.0,70627.1,,18796.0,21324.6,16513.5,15930.0,17810.0,,16357.5,-26721.0,68096.5,48803.0,,17265.8,31047.0,26702.8,24101.0,26192.4,-3097.3,-3566.5,15745.1,23631.7,35868.3,12491.6,21212.0,4649.0,,-1226.0,,-18815.7,,23938.5,18869.7,1138.0,17481.0,31727.1,,False,True,True,True,,True,False,False,False,,True,False,False,False,False,True,True,True,False,False,True,False,True,,True,,False,,False,False,True,True,False,
Minnesota,22170,31902.0,32734.7,33207.2,30798.0,22573.0,,33372.1,5776.0,32374.8,55335.8,,27514.9,43192.0,30600.9,43640.0,28226.5,23865.1,16422.0,25669.3,41941.0,24255.8,30567.7,32384.0,32305.0,,28085.5,,8984.0,,20145.5,32439.6,49963.0,30921.0,45694.3,,9732.0,10564.7,11037.2,8628.0,403.0,,11202.1,-16394.0,10204.8,33165.8,,5344.9,21022.0,8430.9,21470.0,6056.5,1695.1,-5748.0,3499.3,19771.0,2085.8,8397.7,10214.0,10135.0,,5915.5,,-13186.0,,-2024.5,10269.6,27793.0,8751.0,23524.3,,False,False,True,True,,False,False,False,False,,True,False,True,False,True,True,True,True,False,True,True,False,False,,True,,False,,True,False,False,True,False,
Mississippi,29909,42003.0,43320.4,41883.2,41445.0,38887.0,,45795.3,35199.0,47607.4,52006.6,,44058.8,53219.0,36900.7,46593.0,30845.2,56473.3,34815.5,35931.8,38970.8,39871.2,44091.1,49619.0,36003.0,,38021.1,,25143.7,,33786.4,63530.3,41499.8,41179.0,49278.0,,12094.0,13411.4,11974.2,11536.0,8978.0,,15886.3,5290.0,17698.4,22097.6,,14149.8,23310.0,6991.7,16684.0,936.2,26564.3,4906.5,6022.8,9061.8,9962.2,14182.1,19710.0,6094.0,,8112.1,,-4765.3,,3877.4,33621.3,11590.8,11270.0,19369.0,,False,True,True,True,,False,True,False,False,,False,False,True,False,True,False,True,True,True,True,False,False,True,,True,,True,,True,False,True,True,False,
Missouri,31364,47994.0,54923.3,46639.3,46873.0,30596.0,,54275.5,25163.0,47079.2,49024.0,,44481.0,60717.0,46103.8,53292.0,38955.7,39639.6,35559.0,38936.2,64251.6,47637.3,51518.7,52238.0,48353.0,,42481.1,,20591.4,,36296.5,68801.4,47677.4,49451.0,56523.4,,16630.0,23559.3,15275.3,15509.0,-768.0,,22911.5,-6201.0,15715.2,17660.0,,13117.0,29353.0,14739.8,21928.0,7591.7,8275.6,4195.0,7572.2,32887.6,16273.3,20154.7,20874.0,16989.0,,11117.1,,-10772.6,,4932.5,37437.4,16313.4,18087.0,25159.4,,False,True,True,True,,False,True,True,False,,True,False,True,False,True,True,True,True,False,True,False,False,False,,True,,True,,True,False,True,False,False,
Montana,6661,8862.0,8281.6,7913.0,8531.0,9188.0,,9317.7,2298.0,7785.6,13833.1,,10551.9,11433.0,18800.2,11610.0,5895.1,6359.1,7631.5,9049.1,2424.0,7250.9,8796.1,10471.0,10345.0,,8171.7,,4106.6,,5299.0,6820.1,10421.6,8506.0,9227.5,,2201.0,1620.6,1252.0,1870.0,2527.0,,2656.7,-4363.0,1124.6,7172.1,,3890.9,4772.0,12139.2,4949.0,-765.9,-301.9,970.5,2388.1,-4237.0,589.9,2135.1,3810.0,3684.0,,1510.7,,-2554.4,,-1362.0,159.1,3760.6,1845.0,2566.5,,True,True,True,False,,False,False,True,False,,False,False,False,False,True,True,True,False,False,True,True,False,False,,True,,False,,True,True,False,True,False,
Nebraska,12511,15870.0,13633.2,16013.8,15874.0,9509.0,,18731.6,1952.0,15281.0,22316.7,,16199.6,19807.0,14902.8,18409.0,16065.1,10149.4,18973.0,17754.8,23260.3,14260.0,18201.2,16411.0,17037.0,,14935.0,,5702.7,,15288.3,15923.7,15590.6,15669.0,19280.6,,3359.0,1122.2,3502.8,3363.0,-3002.0,,6220.6,-10559.0,2770.0,9805.7,,3688.6,7296.0,2391.8,5898.0,3554.1,-2361.6,6462.0,5243.8,10749.3,1749.0,5690.2,3900.0,4526.0,,2424.0,,-6808.3,,2777.3,3412.7,3079.6,3158.0,6769.6,,True,False,False,True,,False,False,True,False,,False,False,True,False,False,True,False,False,False,True,False,False,False,,True,,False,,True,False,True,True,False,
Nevada,23301,41343.0,41670.7,43841.9,39506.0,70886.0,,43727.3,20600.0,45141.3,43400.3,,40437.7,48894.0,47411.2,49214.0,28669.9,34738.4,33428.5,33819.9,30075.7,41682.3,37905.4,40805.0,32635.0,,33991.4,,23967.5,,34562.7,53084.4,39619.0,40300.0,37529.9,,18042.0,18369.7,20540.9,16205.0,47585.0,,20426.3,-2701.0,21840.3,20099.3,,17136.7,25593.0,24110.2,25913.0,5368.9,11437.4,10127.5,10518.9,6774.7,18381.3,14604.4,17504.0,9334.0,,10690.4,,666.5,,11261.7,29783.4,16318.0,16999.0,14228.9,,False,False,True,False,,False,True,False,False,,True,False,False,False,True,True,True,True,True,False,True,True,True,,True,,True,,True,False,True,True,True,
