,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
12125,56,44.0,,42.1,,44.0,32.0,,,,,97.6,,56.7,,,115.0,31.6,81.5,,,32.0,44.1,,,,63.0,73.0,123.1,,,,,,,55.0,,,,39.8,131.0,-12.0,,-13.9,,-12.0,-24.0,,,,,41.6,,0.7,,,59.0,-24.4,25.5,,,-24.0,-11.9,,,,7.0,17.0,67.1,,,,,,,-1.0,,,,-16.2,75.0,,False,,False,False,,,,,False,,True,,,False,False,False,,,False,True,,,,True,False,False,,,,,,,True,,,,False,False
12127,3005,3602.0,,3814.2,5528.6,3644.0,3775.0,,,,,2060.8,,3019.8,,3792.8,3414.0,2364.9,3772.7,3806.0,,3021.0,3021.3,,,,4501.0,3123.0,3273.6,,,,,,3394.4,2739.8,4018.0,,,6814.2,4195.7,597.0,,809.2,2523.6,639.0,770.0,,,,,-944.2,,14.8,,787.8,409.0,-640.1,767.7,801.0,,16.0,16.3,,,,1496.0,118.0,268.6,,,,,,389.4,-265.2,1013.0,,,3809.2,1190.7,,False,False,False,False,,,,,False,,True,,False,True,False,False,False,,True,True,,,,False,True,True,,,,,,True,True,False,,,False,False
12129,222,332.0,,328.7,,276.0,222.0,,,,,252.8,,243.8,,,210.0,217.8,284.8,275.0,,315.0,259.0,,,,414.0,284.0,359.6,,,,,,213.4,214.5,,,,845.5,385.0,110.0,,106.7,,54.0,0.0,,,,,30.8,,21.8,,,-12.0,-4.2,62.8,53.0,,93.0,37.0,,,,192.0,62.0,137.6,,,,,,-8.6,-7.5,,,,623.5,163.0,,True,,True,True,,,,,True,,True,,,True,True,True,True,,True,True,,,,False,True,False,,,,,,True,True,,,,False,False
12131,593,456.0,,475.8,,418.0,293.0,,,,,462.5,,377.4,,,535.0,304.4,412.1,483.0,,312.0,343.9,,,,556.0,493.0,362.1,,,,,,433.8,249.2,,,,624.9,549.3,-137.0,,-117.2,,-175.0,-300.0,,,,,-130.5,,-215.6,,,-58.0,-288.6,-180.9,-110.0,,-281.0,-249.1,,,,-37.0,-100.0,-230.9,,,,,,-159.2,-343.8,,,,31.9,-43.7,,True,,False,False,,,,,True,,False,,,True,False,False,True,,False,False,,,,True,True,False,,,,,,False,False,,,,True,True
12133,176,168.0,,169.9,,172.0,113.0,,,,,177.9,,144.4,,,210.0,109.8,168.0,,,201.0,150.8,,,,217.0,171.0,268.6,,,,,,111.5,106.7,,,,259.4,382.1,-8.0,,-6.1,,-4.0,-63.0,,,,,1.9,,-31.6,,,34.0,-66.2,-8.0,,,25.0,-25.2,,,,41.0,-5.0,92.6,,,,,,-64.5,-69.3,,,,83.4,206.1,,True,,True,False,,,,,True,,False,,,False,False,False,,,False,False,,,,False,True,False,,,,,,False,False,,,,False,False
13001,122,120.0,,107.7,,118.0,111.0,,,,,140.3,,99.1,,,238.0,57.3,116.1,,,68.0,86.9,,,,135.0,126.0,159.7,,,,,,,104.0,,,,156.3,126.7,-2.0,,-14.3,,-4.0,-11.0,,,,,18.3,,-22.9,,,116.0,-64.7,-5.9,,,-54.0,-35.1,,,,13.0,4.0,37.7,,,,,,,-18.0,,,,34.3,4.7,,False,,False,False,,,,,False,,False,,,False,False,False,,,False,False,,,,False,False,False,,,,,,,False,,,,False,False
13003,34,62.0,,59.3,,52.0,39.0,,,,,59.9,,50.0,,,85.0,23.1,59.2,,,46.0,42.9,,,,72.0,55.0,82.8,,,,,,,64.9,,,,78.7,44.7,28.0,,25.3,,18.0,5.0,,,,,25.9,,16.0,,,51.0,-10.9,25.2,,,12.0,8.9,,,,38.0,21.0,48.8,,,,,,,30.9,,,,44.7,10.7,,True,,True,True,,,,,True,,True,,,False,True,True,,,True,True,,,,False,True,False,,,,,,,False,,,,False,True
13005,76,96.0,,79.0,,80.0,69.0,,,,,95.1,,68.0,,,141.0,32.2,87.9,,,40.0,62.1,,,,105.0,87.0,141.5,,,,,,,77.9,,,,87.7,121.0,20.0,,3.0,,4.0,-7.0,,,,,19.1,,-8.0,,,65.0,-43.8,11.9,,,-36.0,-13.9,,,,29.0,11.0,65.5,,,,,,,1.9,,,,11.7,45.0,,True,,True,True,,,,,True,,True,,,False,False,True,,,False,True,,,,False,True,False,,,,,,,True,,,,True,False
13007,8,30.0,,30.2,,19.0,5.0,,,,,12.9,,18.6,,,30.0,15.5,12.8,,,12.0,15.5,,,,24.0,23.0,23.0,,,,,,,40.4,,,,25.5,25.9,22.0,,22.2,,11.0,-3.0,,,,,4.9,,10.6,,,22.0,7.5,4.8,,,4.0,7.5,,,,16.0,15.0,15.0,,,,,,,32.4,,,,17.5,17.9,,False,,True,True,,,,,True,,True,,,False,True,True,,,True,True,,,,True,True,True,,,,,,,False,,,,True,True
13009,276,260.0,,262.6,,254.0,138.0,,,,,291.2,,250.4,,,482.0,204.1,248.3,349.0,,202.0,209.1,,,,337.0,248.0,347.0,,,,,,223.4,232.4,,,,366.5,477.5,-16.0,,-13.4,,-22.0,-138.0,,,,,15.2,,-25.6,,,206.0,-71.9,-27.7,73.0,,-74.0,-66.9,,,,61.0,-28.0,71.0,,,,,,-52.6,-43.6,,,,90.5,201.5,,True,,False,False,,,,,True,,False,,,False,False,False,False,,False,False,,,,False,False,False,,,,,,False,False,,,,False,False
13011,90,130.0,,132.9,,129.0,91.0,,,,,118.5,,107.1,,,246.0,87.6,106.2,,,97.0,104.5,,,,134.0,132.0,175.4,,,,,,,105.7,,,,142.0,140.8,40.0,,42.9,,39.0,1.0,,,,,28.5,,17.1,,,156.0,-2.4,16.2,,,7.0,14.5,,,,44.0,42.0,85.4,,,,,,,15.7,,,,52.0,50.8,,False,,True,True,,,,,True,,True,,,False,True,True,,,True,True,,,,False,False,False,,,,,,,True,,,,False,False
13013,811,1306.0,,1332.6,,1051.0,1056.0,,,,,654.9,,1089.8,,,1047.0,973.5,854.4,1096.0,,1283.0,954.6,,,,1484.0,985.0,1217.8,,,,,,968.7,910.7,,,,1832.3,1153.7,495.0,,521.6,,240.0,245.0,,,,,-156.1,,278.8,,,236.0,162.5,43.4,285.0,,472.0,143.6,,,,673.0,174.0,406.8,,,,,,157.7,99.7,,,,1021.3,342.7,,False,,True,True,,,,,True,,True,,,True,True,True,True,,True,True,,,,False,True,True,,,,,,True,True,,,,False,True
13015,1151,1342.0,,1312.0,,1028.0,791.0,,,,,846.8,,1132.2,,1159.9,1387.0,790.4,1029.8,1424.0,,991.0,936.1,,,,1430.0,1122.0,1464.0,,,,,,744.3,828.7,,,,1194.7,1296.1,191.0,,161.0,,-123.0,-360.0,,,,,-304.2,,-18.8,,8.9,236.0,-360.6,-121.2,273.0,,-160.0,-214.9,,,,279.0,-29.0,313.0,,,,,,-406.7,-322.3,,,,43.7,145.1,,True,,True,False,,,,,False,,True,,True,False,False,True,False,,True,False,,,,False,True,False,,,,,,False,False,,,,True,True
13017,82,180.0,,173.8,,158.0,168.0,,,,,157.9,,138.3,,,167.0,121.2,150.6,,,89.0,128.0,,,,203.0,161.0,152.5,,,,,,,195.7,,,,345.2,,98.0,,91.8,,76.0,86.0,,,,,75.9,,56.3,,,85.0,39.2,68.6,,,7.0,46.0,,,,121.0,79.0,70.5,,,,,,,113.7,,,,263.2,,,True,,True,True,,,,,True,,True,,,True,True,True,,,True,True,,,,False,True,True,,,,,,,False,,,,False,
13019,133,152.0,,166.4,,123.0,82.0,,,,,111.4,,125.9,,,225.0,79.6,120.1,,,101.0,109.3,,,,180.0,142.0,101.7,,,,,,,132.4,,,,216.7,150.3,19.0,,33.4,,-10.0,-51.0,,,,,-21.6,,-7.1,,,92.0,-53.4,-12.9,,,-32.0,-23.7,,,,47.0,9.0,-31.3,,,,,,,-0.6,,,,83.7,17.3,,False,,True,False,,,,,False,,True,,,False,False,True,,,False,False,,,,False,True,False,,,,,,,True,,,,False,True
13021,958,1426.0,,1410.3,,1269.0,1452.0,,,,,1058.6,,1182.4,,,1565.0,1024.1,1073.4,1372.0,,1276.5,1058.6,,,,1674.0,1103.0,1696.2,,,,,,850.7,1187.5,1327.0,,,1360.7,1683.3,468.0,,452.3,,311.0,494.0,,,,,100.6,,224.4,,,607.0,66.1,115.4,414.0,,318.5,100.6,,,,716.0,145.0,738.2,,,,,,-107.3,229.5,369.0,,,402.7,725.3,,True,,True,False,,,,,True,,True,,,False,True,True,True,,True,True,,,,False,True,False,,,,,,True,True,True,,,True,False
13023,73,124.0,,111.0,,107.0,72.0,,,,,94.2,,84.3,,,167.0,91.9,109.2,,,91.5,83.4,,,,160.0,117.0,183.8,,,,,,,161.4,,,,105.0,101.9,51.0,,38.0,,34.0,-1.0,,,,,21.2,,11.3,,,94.0,18.9,36.2,,,18.5,10.4,,,,87.0,44.0,110.8,,,,,,,88.4,,,,32.0,28.9,,True,,True,True,,,,,True,,True,,,False,True,True,,,True,True,,,,False,True,False,,,,,,,False,,,,True,True
13025,138,190.0,,188.9,,155.0,185.0,,,,,81.1,,146.7,,,161.0,62.1,94.2,,,245.0,129.9,,,,212.0,150.0,165.9,,,,,,,113.7,,,,230.8,160.6,52.0,,50.9,,17.0,47.0,,,,,-56.9,,8.7,,,23.0,-75.9,-43.8,,,107.0,-8.1,,,,74.0,12.0,27.9,,,,,,,-24.3,,,,92.8,22.6,,True,,True,True,,,,,False,,True,,,True,False,True,,,False,True,,,,False,True,True,,,,,,,True,,,,False,True
13027,67,80.0,,86.1,,81.0,61.0,,,,,82.4,,78.7,,,140.0,70.3,69.8,,,85.0,67.1,,,,104.0,92.0,109.8,,,,,,,71.0,,,,92.8,78.1,13.0,,19.1,,14.0,-6.0,,,,,15.4,,11.7,,,73.0,3.3,2.8,,,18.0,0.1,,,,37.0,25.0,42.8,,,,,,,4.0,,,,25.8,11.1,,False,,False,True,,,,,False,,True,,,False,True,True,,,False,True,,,,False,False,False,,,,,,,True,,,,False,True
13029,264,364.0,,356.4,,348.0,334.0,,,,,205.7,,335.5,,,392.0,275.4,248.4,403.0,,392.0,293.5,,,,480.0,278.0,443.3,,,,,,284.0,282.1,,,,431.7,339.5,100.0,,92.4,,84.0,70.0,,,,,-58.3,,71.5,,,128.0,11.4,-15.6,139.0,,128.0,29.5,,,,216.0,14.0,179.3,,,,,,20.0,18.1,,,,167.7,75.5,,True,,True,True,,,,,True,,True,,,False,True,True,False,,False,True,,,,False,True,False,,,,,,True,True,,,,False,True
13031,569,610.0,,615.5,,589.0,501.0,,,,,402.2,,548.4,,,888.0,296.3,412.8,625.5,,721.0,531.5,,,,774.0,557.0,690.8,,,,,,511.5,443.1,,,,1038.5,802.5,41.0,,46.5,,20.0,-68.0,,,,,-166.8,,-20.6,,,319.0,-272.7,-156.2,56.5,,152.0,-37.5,,,,205.0,-12.0,121.8,,,,,,-57.5,-125.9,,,,469.5,233.5,,False,,True,False,,,,,False,,True,,,False,False,False,False,,False,True,,,,False,True,False,,,,,,False,False,,,,False,False
13033,180,306.0,,305.9,,263.0,349.0,,,,,178.4,,191.5,,,292.0,279.4,176.2,,,257.0,212.2,,,,370.0,236.0,273.4,,,,,,,225.5,,,,658.9,215.9,126.0,,125.9,,83.0,169.0,,,,,-1.6,,11.5,,,112.0,99.4,-3.8,,,77.0,32.2,,,,190.0,56.0,93.4,,,,,,,45.5,,,,478.9,35.9,,True,,True,False,,,,,True,,True,,,True,True,True,,,True,True,,,,False,True,True,,,,,,,True,,,,False,True
13035,225,286.0,,284.6,,208.0,225.0,,,,,186.6,,250.9,,,274.0,158.2,202.3,,,211.5,174.2,,,,325.0,236.0,150.2,,,,,,205.8,185.9,,,,348.5,212.8,61.0,,59.6,,-17.0,0.0,,,,,-38.4,,25.9,,,49.0,-66.8,-22.7,,,-13.5,-50.8,,,,100.0,11.0,-74.8,,,,,,-19.2,-39.1,,,,123.5,-12.2,,True,,True,True,,,,,True,,True,,,True,False,True,,,True,True,,,,False,True,False,,,,,,True,True,,,,False,True
13037,46,74.0,,76.7,,50.0,73.0,,,,,35.6,,40.9,,,62.0,59.5,47.2,,,27.0,30.8,,,,109.0,56.0,47.6,,,,,,,71.7,,,,43.4,33.6,28.0,,30.7,,4.0,27.0,,,,,-10.4,,-5.1,,,16.0,13.5,1.2,,,-19.0,-15.2,,,,63.0,10.0,1.6,,,,,,,25.7,,,,-2.6,-12.4,,False,,True,True,,,,,True,,True,,,True,True,True,,,True,True,,,,False,True,True,,,,,,,True,,,,True,True
13039,243,392.0,,387.3,,352.0,419.0,,,,,254.8,,338.5,,,403.0,263.6,243.7,422.5,,272.0,307.1,,,,447.0,348.0,560.6,,,,,,267.6,318.5,,,,608.4,354.2,149.0,,144.3,,109.0,176.0,,,,,11.8,,95.5,,,160.0,20.6,0.7,179.5,,29.0,64.1,,,,204.0,105.0,317.6,,,,,,24.6,75.5,,,,365.4,111.2,,True,,True,False,,,,,True,,True,,,False,True,True,False,,True,True,,,,False,True,False,,,,,,True,True,,,,False,True
13043,18,92.0,,96.1,,76.0,94.0,,,,,56.6,,77.5,,,144.0,58.4,61.3,,,68.0,66.3,,,,118.0,85.0,110.9,,,,,,,101.8,,,,97.4,57.0,74.0,,78.1,,58.0,76.0,,,,,38.6,,59.5,,,126.0,40.4,43.3,,,50.0,48.3,,,,100.0,67.0,92.9,,,,,,,83.8,,,,79.4,39.0,,False,,True,False,,,,,True,,True,,,False,True,True,,,True,True,,,,False,True,False,,,,,,,False,,,,False,True
13045,785,862.0,,850.6,,897.0,1017.0,,,,,642.3,,797.6,,1022.6,1392.0,639.1,626.4,783.0,,1026.0,757.1,,,,940.0,865.0,956.9,,,,,,690.6,728.5,,,,1001.8,973.6,77.0,,65.6,,112.0,232.0,,,,,-142.7,,12.6,,237.6,607.0,-145.9,-158.6,-2.0,,241.0,-27.9,,,,155.0,80.0,171.9,,,,,,-94.4,-56.5,,,,216.8,188.6,,True,,False,False,,,,,False,,True,,False,False,False,False,True,,False,True,,,,False,False,False,,,,,,False,True,,,,False,False
13047,520,566.0,,525.3,,462.0,387.0,,,,,363.6,,592.2,,,982.0,330.2,415.6,607.5,,493.0,452.2,,,,642.0,469.0,393.8,,,,,,519.8,359.8,,,,532.3,595.0,46.0,,5.3,,-58.0,-133.0,,,,,-156.4,,72.2,,,462.0,-189.8,-104.4,87.5,,-27.0,-67.8,,,,122.0,-51.0,-126.2,,,,,,-0.2,-160.2,,,,12.3,75.0,,True,,False,False,,,,,False,,False,,,False,False,False,False,,True,False,,,,False,False,False,,,,,,True,False,,,,True,False
13049,63,68.0,,76.3,,69.0,47.0,,,,,73.4,,53.9,,,99.0,54.8,65.8,,,53.0,53.0,,,,99.0,69.0,130.0,,,,,,,74.6,,,,85.1,115.9,5.0,,13.3,,6.0,-16.0,,,,,10.4,,-9.1,,,36.0,-8.2,2.8,,,-10.0,-10.0,,,,36.0,6.0,67.0,,,,,,,11.6,,,,22.1,52.9,,False,,False,False,,,,,False,,False,,,False,False,True,,,False,False,,,,False,False,False,,,,,,,False,,,,False,False
13051,1747,2372.0,,2351.2,,2137.0,2721.0,,,,,1333.7,,2042.3,,,2995.0,1904.5,2031.4,2343.5,,2465.5,1854.4,,,,2903.0,1864.0,2642.6,,,,,,2140.9,2028.4,1972.0,,,2308.2,2136.7,625.0,,604.2,,390.0,974.0,,,,,-413.3,,295.3,,,1248.0,157.5,284.4,596.5,,718.5,107.4,,,,1156.0,117.0,895.6,,,,,,393.9,281.4,225.0,,,561.2,389.7,,True,,True,False,,,,,True,,True,,,False,True,True,True,,False,True,,,,False,True,False,,,,,,True,True,True,,,True,True
13053,341,358.0,,374.3,,168.0,92.0,,,,,156.6,,285.4,,,145.0,124.6,102.0,,,328.5,245.2,,,,178.0,148.0,691.4,,,,,,238.9,208.9,,,,202.5,287.1,17.0,,33.3,,-173.0,-249.0,,,,,-184.4,,-55.6,,,-196.0,-216.4,-239.0,,,-12.5,-95.8,,,,-163.0,-193.0,350.4,,,,,,-102.1,-132.1,,,,-138.5,-53.9,,False,,False,False,,,,,False,,False,,,False,False,False,,,True,False,,,,False,False,False,,,,,,False,False,,,,False,False
13055,134,220.0,,225.1,,201.0,136.0,,,,,185.3,,192.4,,,328.0,133.3,190.7,,,197.0,165.7,,,,236.0,203.0,353.8,,,,,,211.3,179.8,,,,254.1,246.1,86.0,,91.1,,67.0,2.0,,,,,51.3,,58.4,,,194.0,-0.7,56.7,,,63.0,31.7,,,,102.0,69.0,219.8,,,,,,77.3,45.8,,,,120.1,112.1,,False,,True,True,,,,,True,,True,,,False,True,True,,,True,True,,,,False,True,False,,,,,,True,True,,,,False,False
13057,2234,3120.0,,3255.6,,2542.0,3156.0,,,,,1967.4,,2705.2,,2937.2,3214.0,2112.0,2259.2,3229.0,,1904.5,2225.2,,,,3702.0,2523.0,3522.3,,,,,,2222.2,2084.0,2649.0,,,2385.9,2516.0,886.0,,1021.6,,308.0,922.0,,,,,-266.6,,471.2,,703.2,980.0,-122.0,25.2,995.0,,-329.5,-8.8,,,,1468.0,289.0,1288.3,,,,,,-11.8,-150.0,415.0,,,151.9,282.0,,False,,True,False,,,,,True,,True,,True,False,True,True,False,,True,True,,,,False,True,False,,,,,,True,True,True,,,True,True
13059,924,1244.0,,1299.9,,1150.0,1157.0,,,,,969.8,,1032.8,,1293.0,1374.0,686.1,819.6,1220.0,,1020.5,950.5,,,,1498.0,987.0,1377.7,,,,,,1043.4,1028.5,862.0,,,1634.4,1401.3,320.0,,375.9,,226.0,233.0,,,,,45.8,,108.8,,369.0,450.0,-237.9,-104.4,296.0,,96.5,26.5,,,,574.0,63.0,453.7,,,,,,119.4,104.5,-62.0,,,710.4,477.3,,False,,True,True,,,,,True,,True,,False,False,True,True,True,,True,True,,,,False,True,False,,,,,,True,True,True,,,False,False
13061,12,14.0,,12.5,,11.0,5.0,,,,,13.5,,8.4,,,25.0,5.8,9.2,,,5.0,7.7,,,,14.0,14.0,29.6,,,,,,,29.7,,,,20.8,10.0,2.0,,0.5,,-1.0,-7.0,,,,,1.5,,-3.6,,,13.0,-6.2,-2.8,,,-7.0,-4.3,,,,2.0,2.0,17.6,,,,,,,17.7,,,,8.8,-2.0,,True,,True,False,,,,,True,,False,,,False,False,False,,,False,False,,,,False,False,False,,,,,,,False,,,,False,False
13063,2370,2304.0,,2367.3,,2163.0,2142.0,,,,,1549.3,,2312.2,,2805.6,2930.0,2156.2,1745.5,2646.0,,2124.5,1893.4,,,,2930.0,1832.0,2383.6,,,,,,2089.6,1793.7,2173.0,,,2706.5,2026.8,-66.0,,-2.7,,-207.0,-228.0,,,,,-820.7,,-57.8,,435.6,560.0,-213.8,-624.5,276.0,,-245.5,-476.6,,,,560.0,-538.0,13.6,,,,,,-280.4,-576.3,-197.0,,,336.5,-343.2,,True,,False,False,,,,,False,,True,,False,False,False,False,False,,False,False,,,,False,False,True,,,,,,False,False,False,,,False,False
13065,66,72.0,,72.0,,66.0,0.0,,,,,51.3,,45.0,,,65.0,40.5,59.6,,,84.0,53.3,,,,101.0,61.0,93.5,,,,,,,94.7,,,,90.9,84.5,6.0,,6.0,,0.0,-66.0,,,,,-14.7,,-21.0,,,-1.0,-25.5,-6.4,,,18.0,-12.7,,,,35.0,-5.0,27.5,,,,,,,28.7,,,,24.9,18.5,,False,,True,False,,,,,False,,False,,,True,False,False,,,False,False,,,,False,True,False,,,,,,,False,,,,False,False
13067,5776,7706.0,,7950.6,7508.3,6968.0,9377.0,,,,,4973.3,,6618.8,,7134.3,8226.0,5249.5,6419.2,8420.5,,5499.0,6076.4,,,,9085.0,6118.0,7424.5,,,,,,6597.2,6016.3,6183.0,,,15738.6,7181.1,1930.0,,2174.6,1732.3,1192.0,3601.0,,,,,-802.7,,842.8,,1358.3,2450.0,-526.5,643.2,2644.5,,-277.0,300.4,,,,3309.0,342.0,1648.5,,,,,,821.2,240.3,407.0,,,9962.6,1405.1,,False,True,True,False,,,,,True,,True,,True,False,True,True,False,,True,True,,,,False,True,True,,,,,,True,True,True,,,False,True
13069,214,188.0,,235.8,,188.0,92.0,,,,,348.0,,230.7,,,441.0,94.2,238.2,252.0,,135.0,164.5,,,,210.0,231.0,321.5,,,,,,241.3,171.0,,,,162.1,334.0,-26.0,,21.8,,-26.0,-122.0,,,,,134.0,,16.7,,,227.0,-119.8,24.2,38.0,,-79.0,-49.5,,,,-4.0,17.0,107.5,,,,,,27.3,-43.0,,,,-51.9,120.0,,True,,False,False,,,,,False,,True,,,False,False,True,False,,False,False,,,,True,True,False,,,,,,False,False,,,,False,False
13071,295,384.0,,408.2,,362.0,336.0,,,,,319.0,,342.8,,,492.0,246.8,315.1,407.5,,426.0,276.6,,,,580.0,364.0,396.9,,,,,,281.7,265.1,,,,325.8,380.0,89.0,,113.2,,67.0,41.0,,,,,24.0,,47.8,,,197.0,-48.2,20.1,112.5,,131.0,-18.4,,,,285.0,69.0,101.9,,,,,,-13.3,-29.9,,,,30.8,85.0,,False,,True,True,,,,,True,,True,,,False,True,True,False,,False,True,,,,False,True,False,,,,,,True,True,,,,True,True
13073,1282,1758.0,,1835.3,,1568.0,1130.0,,,,,1249.8,,1423.6,,,2195.0,1293.4,1291.0,1691.5,,1765.0,1367.0,,,,2051.0,1560.0,1925.9,,,,,,1515.4,1271.1,1447.0,,,1949.6,1566.0,476.0,,553.3,,286.0,-152.0,,,,,-32.2,,141.6,,,913.0,11.4,9.0,409.5,,483.0,85.0,,,,769.0,278.0,643.9,,,,,,233.4,-10.9,165.0,,,667.6,284.0,,False,,True,True,,,,,True,,True,,,False,True,True,True,,False,True,,,,False,True,False,,,,,,True,True,True,,,False,True
13075,86,106.0,,113.7,,105.0,55.0,,,,,108.1,,85.4,,,199.0,84.6,95.8,,,97.0,81.9,,,,126.0,104.0,133.6,,,,,,,98.2,,,,143.6,116.4,20.0,,27.7,,19.0,-31.0,,,,,22.1,,-0.6,,,113.0,-1.4,9.8,,,11.0,-4.1,,,,40.0,18.0,47.6,,,,,,,12.2,,,,57.6,30.4,,False,,True,False,,,,,False,,True,,,False,True,True,,,True,True,,,,False,True,False,,,,,,,True,,,,False,False
13077,1118,1234.0,,1224.9,,1082.0,1008.0,,,,,815.2,,1196.9,,1137.3,1633.0,735.4,1013.3,1197.5,,1055.0,922.8,,,,1459.0,1125.0,1457.8,,,,,,1004.2,886.8,1136.0,,,2086.8,1030.3,116.0,,106.9,,-36.0,-110.0,,,,,-302.8,,78.9,,19.3,515.0,-382.6,-104.7,79.5,,-63.0,-195.2,,,,341.0,7.0,339.8,,,,,,-113.8,-231.2,18.0,,,968.8,-87.7,,True,,True,True,,,,,False,,True,,True,False,False,True,True,,True,False,,,,False,True,False,,,,,,True,False,True,,,False,True
13079,53,54.0,,51.6,,49.0,30.0,,,,,39.6,,44.7,,,114.0,42.5,44.4,,,35.0,45.0,,,,72.0,60.0,55.5,,,,,,,58.9,,,,79.4,53.8,1.0,,-1.4,,-4.0,-23.0,,,,,-13.4,,-8.3,,,61.0,-10.5,-8.6,,,-18.0,-8.0,,,,19.0,7.0,2.5,,,,,,,5.9,,,,26.4,0.8,,False,,False,False,,,,,False,,False,,,False,False,False,,,False,False,,,,False,False,False,,,,,,,False,,,,False,True
13081,166,184.0,,182.8,,176.0,188.0,,,,,134.9,,178.0,,,245.0,139.6,128.3,,,199.0,138.7,,,,230.0,167.0,205.7,,,,,,,163.5,,,,286.3,175.5,18.0,,16.8,,10.0,22.0,,,,,-31.1,,12.0,,,79.0,-26.4,-37.7,,,33.0,-27.3,,,,64.0,1.0,39.7,,,,,,,-2.5,,,,120.3,9.5,,True,,True,False,,,,,False,,True,,,False,False,False,,,False,False,,,,False,True,False,,,,,,,True,,,,False,True
13083,106,108.0,,120.9,,88.0,65.0,,,,,73.7,,93.3,,,220.0,45.1,93.5,,,52.0,75.9,,,,118.0,100.0,96.4,,,,,,,98.5,,,,101.6,103.7,2.0,,14.9,,-18.0,-41.0,,,,,-32.3,,-12.7,,,114.0,-60.9,-12.5,,,-54.0,-30.1,,,,12.0,-6.0,-9.6,,,,,,,-7.5,,,,-4.4,-2.3,,False,,False,False,,,,,False,,False,,,False,False,False,,,False,False,,,,False,False,False,,,,,,,False,,,,False,False
