,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Georgia,308614,278928.0,245495.0,,310434.0,169115.0,,319928.0,409933.9,263395.5,193222.3,356519.0,,204633.2,191426.0,-29686.0,-63119.0,,1820.0,-139499.0,,11314.0,101319.9,-45218.5,-115391.7,47905.0,,-103980.8,-117188.0,False,,True,False,,True,False,False,False,False,,False,False
Hawaii,5355,5286.0,4316.0,,5470.9,1635.0,,,7259.0,4912.4,17516.3,5323.0,,3445.4,3598.0,-69.0,-1039.0,,115.9,-3720.0,,,1904.0,-442.6,12161.3,-32.0,,-1909.6,-1757.0,False,,False,False,,,False,False,False,True,,False,False
Idaho,29422,40308.0,21694.0,,46151.1,20054.0,,47988.0,53745.6,23373.9,31641.0,39937.5,,25629.8,23553.0,10886.0,-7728.0,,16729.1,-9368.0,,18566.0,24323.6,-6048.1,2219.0,10515.5,,-3792.2,-5869.0,True,,False,True,,False,False,True,True,True,,True,True
Illinois,210139,238650.0,147808.0,,203861.2,82170.0,,248352.0,326221.1,95702.5,205655.9,209432.5,,163809.3,159422.0,28511.0,-62331.0,,-6277.8,-127969.0,,38213.0,116082.1,-114436.5,-4483.1,-706.5,,-46329.7,-50717.0,False,,True,False,,False,False,False,True,True,,False,False
Indiana,145966,204900.0,118582.0,,197068.3,103860.0,,210685.0,242966.5,80187.3,124965.5,135680.5,,90038.8,125555.0,58934.0,-27384.0,,51102.3,-42106.0,,64719.0,97000.5,-65778.7,-21000.5,-10285.5,,-55927.2,-20411.0,True,,True,True,,False,False,False,True,True,,True,True
Iowa,49513,47004.0,24650.0,,51418.0,34134.0,,69309.0,62112.1,20264.6,46462.0,57986.5,,32579.6,31071.0,-2509.0,-24863.0,,1905.0,-15379.0,,19796.0,12599.1,-29248.4,-3051.0,8473.5,,-16933.4,-18442.0,False,,True,False,,False,False,False,False,False,,False,False
Kansas,71345,56040.0,22472.0,,65520.1,84216.0,,80359.0,124576.3,44840.5,48331.7,146727.0,,63550.2,33485.0,-15305.0,-48873.0,,-5824.9,12871.0,,9014.0,53231.3,-26504.5,-23013.3,75382.0,,-7794.8,-37860.0,False,,True,True,,True,False,False,False,False,,True,False
Kentucky,120691,89994.0,59156.0,,95283.4,41668.0,,101602.0,129302.1,64750.6,84037.9,86411.5,,60566.6,65995.0,-30697.0,-61535.0,,-25407.6,-79023.0,,-19089.0,8611.1,-55940.4,-36653.1,-34279.5,,-60124.4,-54696.0,False,,True,False,,True,True,False,False,False,,False,False
Louisiana,113362,84390.0,55398.0,,98857.7,114493.0,,115854.0,100729.7,60426.5,80907.9,85644.0,,75229.3,52123.0,-28972.0,-57964.0,,-14504.3,1131.0,,2492.0,-12632.3,-52935.5,-32454.1,-27718.0,,-38132.7,-61239.0,False,,True,True,,True,True,False,False,True,,False,False
Maine,19518,16854.0,14488.0,,24008.2,18608.0,,21385.0,37197.1,36250.8,27646.8,26322.0,,18304.5,14064.0,-2664.0,-5030.0,,4490.2,-910.0,,1867.0,17679.1,16732.8,8128.8,6804.0,,-1213.5,-5454.0,False,,False,True,,True,False,False,False,False,,True,False
Maryland,96644,100116.0,102679.0,,96081.4,89033.0,,97457.0,116308.2,50141.4,114254.8,74914.5,,107526.2,60158.0,3472.0,6035.0,,-562.6,-7611.0,,813.0,19664.2,-46502.6,17610.8,-21729.5,,10882.2,-36486.0,False,,True,False,,True,False,False,False,False,,False,False
Massachusetts,191225,181992.0,120618.0,,199451.6,148491.0,,209484.0,290408.6,118142.1,166687.6,162846.0,,128317.1,141708.0,-9233.0,-70607.0,,8226.6,-42734.0,,18259.0,99183.6,-73082.9,-24537.4,-28379.0,,-62907.9,-49517.0,False,,True,False,,False,False,False,False,False,,False,False
Michigan,104359,121620.0,50494.0,,99796.1,71956.0,,155196.0,122879.7,38239.6,118353.5,94600.0,,277998.0,84499.0,17261.0,-53865.0,,-4562.9,-32403.0,,50837.0,18520.7,-66119.4,13994.5,-9759.0,,173639.0,-19860.0,False,,True,False,,False,False,False,True,True,,False,False
Minnesota,60672,71460.0,33680.0,,67571.0,77700.0,,103681.0,72261.2,17477.9,88194.4,54952.5,,49889.5,54225.0,10788.0,-26992.0,,6899.0,17028.0,,43009.0,11589.2,-43194.1,27522.4,-5719.5,,-10782.5,-6447.0,False,,True,False,,False,False,False,False,True,,True,True
Mississippi,75755,77472.0,46138.0,,84250.4,103033.0,,91692.0,91751.0,56512.8,56701.0,87829.5,,68034.6,53023.0,1717.0,-29617.0,,8495.4,27278.0,,15937.0,15996.0,-19242.2,-19054.0,12074.5,,-7720.4,-22732.0,False,,False,False,,False,False,False,False,False,,False,False
Missouri,90311,107550.0,64367.0,,108708.6,80871.0,,123429.0,127521.9,49558.3,80741.9,109300.0,,107010.7,65075.0,17239.0,-25944.0,,18397.6,-9440.0,,33118.0,37210.9,-40752.7,-9569.1,18989.0,,16699.7,-25236.0,False,,False,True,,False,False,False,True,False,,True,False
Montana,16284,16884.0,8130.0,,16415.3,5542.0,,22304.0,17371.2,7077.6,12874.2,17362.5,,10257.7,11304.0,600.0,-8154.0,,131.3,-10742.0,,6020.0,1087.2,-9206.4,-3409.8,1078.5,,-6026.3,-4980.0,False,,True,False,,False,False,False,False,False,,False,False
Nebraska,32084,35532.0,30300.0,,35312.2,19713.0,,39441.0,44989.0,10603.7,30836.5,30160.0,,50008.8,22222.0,3448.0,-1784.0,,3228.2,-12371.0,,7357.0,12905.0,-21480.3,-1247.5,-1924.0,,17924.8,-9862.0,True,,True,False,,False,False,False,True,True,,False,False
Nevada,67738,82770.0,45093.0,,78943.5,55952.0,,91503.0,115946.4,44972.5,46406.5,87615.5,,75532.1,52744.0,15032.0,-22645.0,,11205.5,-11786.0,,23765.0,48208.4,-22765.5,-21331.5,19877.5,,7794.1,-14994.0,False,,True,True,,False,False,False,False,False,,True,True
New Hampshire,28128,25944.0,15953.0,,29165.3,27046.0,,31455.0,46831.9,26021.3,29744.5,31044.0,,25960.8,23760.0,-2184.0,-12175.0,,1037.3,-1082.0,,3327.0,18703.9,-2106.7,1616.5,2916.0,,-2167.2,-4368.0,False,,True,True,,False,False,True,True,False,,True,False
New Jersey,211111,188904.0,167321.0,,176128.5,211409.0,,180217.0,248058.2,94328.5,220653.0,154598.5,,144371.4,122589.0,-22207.0,-43790.0,,-34982.5,298.0,,-30894.0,36947.2,-116782.5,9542.0,-56512.5,,-66739.6,-88522.0,False,,False,True,,False,False,False,True,False,,False,False
New Mexico,39988,49776.0,23148.0,,43080.9,22167.0,,58322.0,64899.7,19629.1,33958.7,41571.0,,22438.3,29794.0,9788.0,-16840.0,,3092.9,-17821.0,,18334.0,24911.7,-20358.9,-6029.3,1583.0,,-17549.7,-10194.0,False,,True,False,,False,False,False,True,True,,False,False
New York,546287,458622.0,477286.0,,442713.9,773619.0,,408058.0,620027.8,404172.9,597178.2,412481.5,,416815.0,293434.0,-87665.0,-69001.0,,-103573.1,227332.0,,-138229.0,73740.8,-142114.1,50891.2,-133805.5,,-129472.0,-252853.0,True,,False,False,,False,True,False,True,False,,False,False
North Carolina,277591,249972.0,214716.0,,238608.9,329004.0,,280775.0,337845.4,210174.2,212607.3,255930.0,,232291.1,136564.0,-27619.0,-62875.0,,-38982.1,51413.0,,3184.0,60254.4,-67416.8,-64983.7,-21661.0,,-45299.9,-141027.0,False,,False,False,,True,False,False,False,True,,False,False
North Dakota,6752,9420.0,1985.0,,8457.8,2204.0,,15867.0,9052.8,2519.2,10116.4,5214.5,,16233.0,5684.0,2668.0,-4767.0,,1705.8,-4548.0,,9115.0,2300.8,-4232.8,3364.4,-1537.5,,9481.0,-1068.0,False,,True,False,,False,True,False,False,True,,False,True
Ohio,253411,301434.0,198216.0,,310937.8,467960.0,,365237.0,533658.5,155237.1,205511.7,263505.0,,248380.5,246472.0,48023.0,-55195.0,,57526.8,214549.0,,111826.0,280247.5,-98173.9,-47899.3,10094.0,,-5030.5,-6939.0,False,,False,False,,False,False,False,True,True,,True,True
Oklahoma,125272,123840.0,79351.0,,127044.6,187855.0,,151707.0,186611.4,88838.5,89330.7,153875.0,,92198.4,99412.0,-1432.0,-45921.0,,1772.6,62583.0,,26435.0,61339.4,-36433.5,-35941.3,28603.0,,-33073.6,-25860.0,False,,False,False,,False,False,False,False,False,,False,False
Oregon,38415,39072.0,21349.0,,40663.9,60658.0,,45922.0,52371.2,22292.7,52135.3,38477.0,,32743.9,35359.0,657.0,-17066.0,,2248.9,22243.0,,7507.0,13956.2,-16122.3,13720.3,62.0,,-5671.1,-3056.0,False,,False,False,,False,False,False,False,True,,False,False
Pennsylvania,260455,335232.0,231448.0,,328007.4,681423.0,,364631.0,520923.8,238277.9,290874.5,307719.5,,259191.2,234735.0,74777.0,-29007.0,,67552.4,420968.0,,104176.0,260468.8,-22177.1,30419.5,47264.5,,-1263.8,-25720.0,True,,True,False,,False,False,True,True,True,,True,True
Rhode Island,35825,25524.0,19586.0,,26324.7,14919.0,,27207.0,31523.4,13812.6,25118.5,23325.5,,18179.4,12136.0,-10301.0,-16239.0,,-9500.3,-20906.0,,-8618.0,-4301.6,-22012.4,-10706.5,-12499.5,,-17645.6,-23689.0,False,,True,False,,True,True,False,False,False,,False,False
South Carolina,174089,110130.0,70740.0,,137574.9,110715.0,,128583.0,190648.4,121324.6,87101.1,153270.5,,120791.8,77123.0,-63959.0,-103349.0,,-36514.1,-63374.0,,-45506.0,16559.4,-52764.4,-86987.9,-20818.5,,-53297.2,-96966.0,False,,True,True,,True,True,True,False,True,,True,False
South Dakota,12169,15762.0,5671.0,,15784.2,6281.0,,20520.0,17292.2,5060.5,11150.8,12043.5,,22718.2,10984.0,3593.0,-6498.0,,3615.2,-5888.0,,8351.0,5123.2,-7108.5,-1018.2,-125.5,,10549.2,-1185.0,False,,False,False,,False,False,False,True,True,,False,True
Tennessee,181321,343446.0,185796.0,,334189.1,359080.0,,351009.0,594347.0,395882.4,166692.9,478533.5,,290231.7,226489.0,162125.0,4475.0,,152868.1,177759.0,,169688.0,413026.0,214561.4,-14628.1,297212.5,,108910.7,45168.0,True,,True,False,,False,False,False,True,False,,True,True
Texas,816150,503586.0,627472.0,,554867.9,461916.0,,752228.0,853486.3,545836.9,586236.6,677962.0,,378766.1,332249.0,-312564.0,-188678.0,,-261282.1,-354234.0,,-63922.0,37336.3,-270313.1,-229913.4,-138188.0,,-437383.9,-483901.0,True,,True,False,,True,True,True,True,True,,False,False
Utah,89622,90648.0,65807.0,,94654.6,107595.0,,109867.0,114433.7,34078.4,46841.1,78076.0,,57402.2,61295.0,1026.0,-23815.0,,5032.6,17973.0,,20245.0,24811.7,-55543.6,-42780.9,-11546.0,,-32219.8,-28327.0,False,,False,False,,False,False,False,False,False,,False,False
Vermont,5800,3738.0,2354.0,,3448.7,9876.0,,4359.0,4854.3,3032.3,7090.8,3826.0,,3988.1,2837.0,-2062.0,-3446.0,,-2351.3,4076.0,,-1441.0,-945.7,-2767.7,1290.8,-1974.0,,-1811.9,-2963.0,False,,False,False,,True,True,False,True,True,,True,False
Virginia,196599,159630.0,172652.0,,154227.2,130775.0,,175047.0,218568.8,154414.3,173286.1,161014.0,,103990.7,91910.0,-36969.0,-23947.0,,-42371.8,-65824.0,,-21552.0,21969.8,-42184.7,-23312.9,-35585.0,,-92608.3,-104689.0,True,,False,False,,True,True,False,True,True,,False,False
Washington,83427,84714.0,121007.0,,68580.6,67026.0,,90267.0,144360.4,35620.5,84707.8,93165.5,,76655.7,61436.0,1287.0,37580.0,,-14846.4,-16401.0,,6840.0,60933.4,-47806.5,1280.8,9738.5,,-6771.3,-21991.0,False,,False,False,,False,False,False,True,False,,False,False
West Virginia,44013,53772.0,39603.0,,57976.1,77564.0,,51610.0,84203.1,42597.2,38549.4,50455.0,,40574.0,35301.0,9759.0,-4410.0,,13963.1,33551.0,,7597.0,40190.1,-1415.8,-5463.6,6442.0,,-3439.0,-8712.0,True,,False,False,,True,False,True,True,True,,True,True
Wisconsin,93994,92058.0,40329.0,,88811.1,30226.0,,132489.0,150648.4,40344.1,70254.8,90199.5,,84931.4,55875.0,-1936.0,-53665.0,,-5182.9,-63768.0,,38495.0,56654.4,-53649.9,-23739.2,-3794.5,,-9062.6,-38119.0,False,,False,False,,False,False,False,False,False,,False,False
Wyoming,9472,9948.0,3652.0,,10170.3,4967.0,,13501.0,13065.1,4612.7,7253.6,7445.0,,9599.2,5779.0,476.0,-5820.0,,698.3,-4505.0,,4029.0,3593.1,-4859.3,-2218.4,-2027.0,,127.2,-3693.0,False,,False,False,,False,False,False,False,False,,True,False
US,7851411,7962258.0,6276369.0,8638160.0,6999597.1,8010804.0,7718704.0,8122695.0,12429333.1,7524339.2,6846372.7,7689528.0,7904730.0,6073185.1,5620727.0,110847.0,-1575042.0,786749.0,-851813.9,159393.0,-132707.0,271284.0,4577922.1,-327071.8,-1005038.3,-161883.0,53319.0,-1778225.9,-2230684.0,False,False,False,False,False,False,False,False,False,False,True,False,False
