,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01021,78,88.0,,92.0,,70.0,90.0,67.0,,,,,78.1,,,22.9,,,187.0,50.2,,93.6,72.5,,52.0,70.4,,,,79.0,63.0,158.1,,,,,,78.2,60.2,,,,87.0,127.1,10.0,,14.0,,-8.0,12.0,-11.0,,,,,0.1,,,-55.1,,,109.0,-27.8,,15.6,-5.5,,-26.0,-7.6,,,,1.0,-15.0,80.1,,,,,,0.2,-17.8,,,,9.0,49.1,,False,,True,False,False,,,,,True,,,False,,,False,False,,False,True,,False,True,,,,True,False,False,,,,,,True,False,,,,True,False
01023,10,11.0,,10.8,,11.0,15.0,7.0,,,,,11.4,,,0.0,,,48.0,6.2,,10.6,,,17.0,14.7,,,,5.0,7.0,,,,,,,,24.5,,,,9.3,19.0,1.0,,0.8,,1.0,5.0,-3.0,,,,,1.4,,,-10.0,,,38.0,-3.8,,0.6,,,7.0,4.7,,,,-5.0,-3.0,,,,,,,,14.5,,,,-0.7,9.0,,True,,False,False,False,,,,,False,,,False,,,False,False,,True,,,False,False,,,,False,False,,,,,,,,False,,,,True,False
01025,145,202.0,,203.7,,194.0,202.0,224.0,,,,,97.4,,,0.0,,,97.0,218.9,,110.2,,,211.0,191.7,,,,232.0,133.0,165.0,,,,,,170.7,149.7,,,,194.3,291.3,57.0,,58.7,,49.0,57.0,79.0,,,,,-47.6,,,-145.0,,,-48.0,73.9,,-34.8,,,66.0,46.7,,,,87.0,-12.0,20.0,,,,,,25.7,4.7,,,,49.3,146.3,,False,,True,False,False,,,,,True,,,False,,,True,False,,True,,,False,True,,,,False,True,True,,,,,,True,True,,,,True,False
01027,31,26.0,,26.4,,27.0,30.0,26.0,,,,,26.6,,,5.5,,,55.0,40.1,,22.7,,,19.0,22.2,,,,23.0,21.0,54.5,,,,,,,19.2,,,,28.5,37.3,-5.0,,-4.6,,-4.0,-1.0,-5.0,,,,,-4.4,,,-25.5,,,24.0,9.1,,-8.3,,,-12.0,-8.8,,,,-8.0,-10.0,23.5,,,,,,,-11.8,,,,-2.5,6.3,,True,,True,True,False,,,,,True,,,False,,,False,False,,False,,,False,False,,,,False,False,False,,,,,,,False,,,,True,False
01029,52,51.0,,48.5,,49.0,49.0,27.0,,,,,26.8,,,4.8,,,65.0,43.8,,34.3,,,59.0,52.6,,,,46.0,36.0,56.0,,,,,,,49.4,,,,50.3,49.9,-1.0,,-3.5,,-3.0,-3.0,-25.0,,,,,-25.2,,,-47.2,,,13.0,-8.2,,-17.7,,,7.0,0.6,,,,-6.0,-16.0,4.0,,,,,,,-2.6,,,,-1.7,-2.1,,False,,False,False,False,,,,,False,,,False,,,False,False,,False,,,False,True,,,,False,False,False,,,,,,,False,,,,False,False
01031,214,250.0,,257.0,,214.0,231.0,191.0,,,,,123.8,,,0.8,,,204.0,160.4,,164.1,156.5,,238.0,241.5,,,,231.0,185.0,286.4,,,,,,224.6,199.2,,,,239.9,255.9,36.0,,43.0,,0.0,17.0,-23.0,,,,,-90.2,,,-213.2,,,-10.0,-53.6,,-49.9,-57.5,,24.0,27.5,,,,17.0,-29.0,72.4,,,,,,10.6,-14.8,,,,25.9,41.9,,False,,True,True,True,,,,,False,,,False,,,True,False,,False,False,,True,True,,,,True,True,False,,,,,,True,True,,,,True,False
01033,157,224.0,,232.2,,164.0,172.0,219.0,,,,,124.2,,,33.9,,,251.0,153.5,,153.3,95.0,,129.0,165.9,,,,190.0,156.0,190.3,,,,,,200.6,194.3,,,,194.0,210.7,67.0,,75.2,,7.0,15.0,62.0,,,,,-32.8,,,-123.1,,,94.0,-3.5,,-3.7,-62.0,,-28.0,8.9,,,,33.0,-1.0,33.3,,,,,,43.6,37.3,,,,37.0,53.7,,False,,True,True,True,,,,,True,,,False,,,False,True,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,,True,True
01035,30,23.0,,24.0,,28.0,27.0,31.0,,,,,22.1,,,5.6,,,40.0,39.1,,22.6,,,31.0,25.6,,,,32.0,18.0,35.2,,,,,,,29.1,,,,24.4,27.7,-7.0,,-6.0,,-2.0,-3.0,1.0,,,,,-7.9,,,-24.4,,,10.0,9.1,,-7.4,,,1.0,-4.4,,,,2.0,-12.0,5.2,,,,,,,-0.9,,,,-5.6,-2.3,,True,,True,True,True,,,,,False,,,False,,,False,False,,False,,,True,True,,,,True,False,True,,,,,,,True,,,,True,True
01037,72,40.0,,39.5,,28.0,29.0,35.0,,,,,14.8,,,2.9,,,34.0,25.4,,20.7,,,28.0,26.9,,,,42.0,24.0,28.4,,,,,,,32.4,,,,37.6,34.0,-32.0,,-32.5,,-44.0,-43.0,-37.0,,,,,-57.2,,,-69.1,,,-38.0,-46.6,,-51.3,,,-44.0,-45.1,,,,-30.0,-48.0,-43.6,,,,,,,-39.6,,,,-34.4,-38.0,,False,,False,False,False,,,,,False,,,False,,,False,False,,False,,,False,False,,,,True,False,False,,,,,,,False,,,,False,False
01039,200,147.0,,160.2,,120.0,137.0,170.0,,,,,83.5,,,5.3,,,147.0,83.4,,105.1,65.0,,164.0,158.7,,,,128.0,102.0,112.1,,,,,,143.8,105.3,,,,131.3,161.7,-53.0,,-39.8,,-80.0,-63.0,-30.0,,,,,-116.5,,,-194.7,,,-53.0,-116.6,,-94.9,-135.0,,-36.0,-41.3,,,,-72.0,-98.0,-87.9,,,,,,-56.2,-94.7,,,,-68.7,-38.3,,True,,False,False,True,,,,,False,,,False,,,False,False,,False,False,,True,True,,,,False,False,False,,,,,,False,False,,,,False,True
01041,58,56.0,,70.1,,53.0,57.0,50.0,,,,,33.0,,,0.9,,,51.0,28.5,,45.1,,,56.0,58.4,,,,50.0,37.0,44.2,,,,,,,47.6,,,,55.3,78.8,-2.0,,12.1,,-5.0,-1.0,-8.0,,,,,-25.0,,,-57.1,,,-7.0,-29.5,,-12.9,,,-2.0,0.4,,,,-8.0,-21.0,-13.8,,,,,,,-10.4,,,,-2.7,20.8,,False,,False,True,False,,,,,False,,,False,,,False,False,,False,,,False,True,,,,False,False,False,,,,,,,False,,,,False,False
01043,219,247.0,,258.0,,216.0,230.0,242.0,,,,,165.4,,,53.9,,,440.0,185.7,,208.2,155.0,,213.5,229.6,,,,209.0,169.0,244.4,,,,,,263.8,173.8,,,,178.0,295.8,28.0,,39.0,,-3.0,11.0,23.0,,,,,-53.6,,,-165.1,,,221.0,-33.3,,-10.8,-64.0,,-5.5,10.6,,,,-10.0,-50.0,25.4,,,,,,44.8,-45.2,,,,-41.0,76.8,,False,,True,True,True,,,,,False,,,False,,,False,False,,True,False,,True,True,,,,True,False,True,,,,,,False,False,,,,False,False
01045,134,165.0,,170.5,,145.0,159.0,141.0,,,,,103.9,,,21.5,,,194.0,98.5,,120.8,111.0,,157.0,148.5,,,,144.0,117.0,147.1,,,,,,143.9,134.1,,,,164.3,213.4,31.0,,36.5,,11.0,25.0,7.0,,,,,-30.1,,,-112.5,,,60.0,-35.5,,-13.2,-23.0,,23.0,14.5,,,,10.0,-17.0,13.1,,,,,,9.9,0.1,,,,30.3,79.4,,False,,True,True,True,,,,,True,,,False,,,False,False,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,,True,False
01047,73,66.0,,66.9,,72.0,83.0,70.0,,,,,64.9,,,9.6,,,123.0,175.1,,63.9,64.0,,72.0,100.9,,,,73.0,46.0,89.3,,,,,,66.0,71.0,,,,71.6,110.3,-7.0,,-6.1,,-1.0,10.0,-3.0,,,,,-8.1,,,-63.4,,,50.0,102.1,,-9.1,-9.0,,-1.0,27.9,,,,0.0,-27.0,16.3,,,,,,-7.0,-2.0,,,,-1.4,37.3,,True,,True,False,True,,,,,False,,,False,,,False,False,,False,False,,True,False,,,,True,False,False,,,,,,False,True,,,,True,False
01049,171,218.0,,215.0,,200.0,204.0,197.0,,,,,160.3,,,33.2,,,353.0,137.6,,158.1,129.5,,175.0,202.4,,,,176.0,148.0,247.6,,,,,,175.4,154.6,,,,262.2,258.1,47.0,,44.0,,29.0,33.0,26.0,,,,,-10.7,,,-137.8,,,182.0,-33.4,,-12.9,-41.5,,4.0,31.4,,,,5.0,-23.0,76.6,,,,,,4.4,-16.4,,,,91.2,87.1,,True,,True,True,True,,,,,True,,,False,,,False,True,,True,True,,True,True,,,,True,True,False,,,,,,True,True,,,,False,False
01051,335,351.0,,353.0,,316.0,384.0,313.0,,,,,224.3,,,0.0,,,307.0,308.5,,239.1,75.0,,431.0,318.3,,,,333.0,269.0,398.7,,,,,,279.2,272.4,,,,358.7,506.3,16.0,,18.0,,-19.0,49.0,-22.0,,,,,-110.7,,,-335.0,,,-28.0,-26.5,,-95.9,-260.0,,96.0,-16.7,,,,-2.0,-66.0,63.7,,,,,,-55.8,-62.6,,,,23.7,171.3,,False,,False,False,False,,,,,False,,,False,,,False,False,,False,False,,False,False,,,,True,False,False,,,,,,False,False,,,,False,False
01053,135,147.0,,144.1,,144.0,152.0,115.0,,,,,92.6,,,21.8,,,152.0,188.6,,110.9,125.5,,147.0,146.8,,,,176.0,112.0,205.2,,,,,,118.9,116.2,,,,143.0,177.9,12.0,,9.1,,9.0,17.0,-20.0,,,,,-42.4,,,-113.2,,,17.0,53.6,,-24.1,-9.5,,12.0,11.8,,,,41.0,-23.0,70.2,,,,,,-16.1,-18.8,,,,8.0,42.9,,True,,True,False,False,,,,,False,,,False,,,False,False,,False,True,,False,True,,,,False,False,False,,,,,,False,False,,,,True,False
01055,356,354.0,,397.8,,339.0,394.0,363.0,,,,,265.5,,,61.0,,,469.0,230.9,,365.0,169.0,,307.0,355.4,,,,293.0,275.0,518.1,,,,,,333.7,343.5,,,,323.0,540.5,-2.0,,41.8,,-17.0,38.0,7.0,,,,,-90.5,,,-295.0,,,113.0,-125.1,,9.0,-187.0,,-49.0,-0.6,,,,-63.0,-81.0,162.1,,,,,,-22.3,-12.5,,,,-33.0,184.5,,False,,False,False,False,,,,,False,,,False,,,False,False,,False,False,,False,True,,,,False,False,False,,,,,,False,False,,,,False,False
01057,68,70.0,,73.1,,70.0,72.0,74.0,,,,,40.5,,,12.9,,,79.0,111.4,,54.6,,,41.0,59.4,,,,70.0,55.0,118.4,,,,,,,62.5,,,,66.0,91.4,2.0,,5.1,,2.0,4.0,6.0,,,,,-27.5,,,-55.1,,,11.0,43.4,,-13.4,,,-27.0,-8.6,,,,2.0,-13.0,50.4,,,,,,,-5.5,,,,-2.0,23.4,,False,,False,False,False,,,,,False,,,False,,,False,False,,False,,,False,False,,,,False,False,False,,,,,,,False,,,,False,False
01059,71,91.0,,92.4,,69.0,79.0,73.0,,,,,77.2,,,21.6,,,168.0,49.0,,84.0,69.0,,42.0,65.9,,,,78.0,63.0,102.1,,,,,,80.2,81.2,,,,80.5,118.7,20.0,,21.4,,-2.0,8.0,2.0,,,,,6.2,,,-49.4,,,97.0,-22.0,,13.0,-2.0,,-29.0,-5.1,,,,7.0,-8.0,31.1,,,,,,9.2,10.2,,,,9.5,47.7,,False,,True,True,True,,,,,True,,,False,,,False,False,,True,True,,False,True,,,,True,True,False,,,,,,True,True,,,,True,False
01061,86,130.0,,126.0,,97.0,109.0,95.0,,,,,60.3,,,0.9,,,110.0,97.0,,80.8,,,120.0,111.7,,,,112.0,90.0,87.2,,,,,,113.9,100.4,,,,108.5,126.0,44.0,,40.0,,11.0,23.0,9.0,,,,,-25.7,,,-85.1,,,24.0,11.0,,-5.2,,,34.0,25.7,,,,26.0,4.0,1.2,,,,,,27.9,14.4,,,,22.5,40.0,,True,,True,True,True,,,,,True,,,False,,,True,True,,True,,,True,True,,,,True,True,True,,,,,,True,True,,,,True,True
01063,31,16.0,,16.1,,15.0,22.0,12.0,,,,,17.9,,,2.5,,,26.0,9.6,,16.7,,,10.0,18.4,,,,19.0,12.0,48.7,,,,,,,15.1,,,,13.4,27.5,-15.0,,-14.9,,-16.0,-9.0,-19.0,,,,,-13.1,,,-28.5,,,-5.0,-21.4,,-14.3,,,-21.0,-12.6,,,,-12.0,-19.0,17.7,,,,,,,-15.9,,,,-17.6,-3.5,,True,,False,True,False,,,,,True,,,False,,,True,False,,True,,,False,True,,,,True,False,False,,,,,,,False,,,,False,True
01065,72,81.0,,87.0,,72.0,82.0,65.0,,,,,49.1,,,1.3,,,63.0,62.7,,59.7,,,85.0,90.5,,,,80.0,56.0,59.3,,,,,,,69.3,,,,79.7,110.7,9.0,,15.0,,0.0,10.0,-7.0,,,,,-22.9,,,-70.7,,,-9.0,-9.3,,-12.3,,,13.0,18.5,,,,8.0,-16.0,-12.7,,,,,,,-2.7,,,,7.7,38.7,,False,,True,False,True,,,,,False,,,False,,,False,False,,False,,,False,False,,,,True,False,False,,,,,,,True,,,,True,False
01067,86,61.0,,62.9,,56.0,69.0,31.0,,,,,42.5,,,2.9,,,61.0,46.0,,49.0,,,87.0,66.1,,,,61.0,44.0,52.1,,,,,,,52.6,,,,60.0,88.7,-25.0,,-23.1,,-30.0,-17.0,-55.0,,,,,-43.5,,,-83.1,,,-25.0,-40.0,,-37.0,,,1.0,-19.9,,,,-25.0,-42.0,-33.9,,,,,,,-33.4,,,,-26.0,2.7,,True,,False,True,False,,,,,False,,,False,,,False,False,,False,,,True,True,,,,False,False,False,,,,,,,False,,,,False,True
01069,331,381.0,,391.4,,389.0,427.0,387.0,,,,,245.2,,,37.9,,,408.0,988.2,,284.0,264.5,,502.5,394.2,,,,386.0,282.0,511.0,,,,,,312.6,318.9,,,,350.2,484.0,50.0,,60.4,,58.0,96.0,56.0,,,,,-85.8,,,-293.1,,,77.0,657.2,,-47.0,-66.5,,171.5,63.2,,,,55.0,-49.0,180.0,,,,,,-18.4,-12.1,,,,19.2,153.0,,False,,False,False,False,,,,,False,,,False,,,False,False,,True,False,,False,False,,,,False,True,False,,,,,,True,True,,,,True,False
01071,152,209.0,,193.1,,171.0,216.0,224.0,,,,,127.1,,,29.3,,,234.0,160.8,,141.9,46.0,,175.0,191.0,,,,210.0,150.0,427.1,,,,,,198.4,146.4,,,,144.7,238.2,57.0,,41.1,,19.0,64.0,72.0,,,,,-24.9,,,-122.7,,,82.0,8.8,,-10.1,-106.0,,23.0,39.0,,,,58.0,-2.0,275.1,,,,,,46.4,-5.6,,,,-7.3,86.2,,True,,True,False,False,,,,,True,,,False,,,False,True,,True,False,,True,True,,,,False,True,False,,,,,,True,True,,,,True,False
