,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01021,797,816.0,458.0,,,,,1446.0,,569.3,537.4,1057.0,,,446.8,,,19.0,-339.0,,,,,649.0,,-227.7,-259.6,260.0,,,-350.2,,,False,,,,,False,,False,False,False,,,False,,
01023,55,78.0,18.0,,,,,429.0,,154.1,100.9,114.0,,,,,,23.0,-37.0,,,,,374.0,,99.1,45.9,59.0,,,,,,False,,,,,False,,False,False,False,,,,,
01025,1044,654.0,410.0,,,,,690.0,,1057.4,485.2,931.0,,,424.0,,,-390.0,-634.0,,,,,-354.0,,13.4,-558.8,-113.0,,,-620.0,,,False,,,,,True,,True,False,True,,,False,,
01027,253,306.0,334.0,,,,,410.0,,208.0,170.8,365.0,,,,,,53.0,81.0,,,,,157.0,,-45.0,-82.2,112.0,,,,,,False,,,,,False,,True,False,False,,,,,
01029,326,300.0,5.0,,,,,514.0,,329.8,193.6,368.0,,,,,,-26.0,-321.0,,,,,188.0,,3.8,-132.4,42.0,,,,,,False,,,,,False,,True,False,False,,,,,
01031,1677,1434.0,1178.0,,,,,1313.0,,1429.8,918.1,1951.5,,,1141.3,,,-243.0,-499.0,,,,,-364.0,,-247.2,-758.9,274.5,,,-535.7,,,False,,,,,False,,False,False,False,,,False,,
01033,1466,1866.0,1024.0,,,,,2148.0,,762.3,1238.8,2309.0,,,880.8,,,400.0,-442.0,,,,,682.0,,-703.7,-227.2,843.0,,,-585.2,,,False,,,,,False,,False,True,False,,,False,,
01035,207,126.0,86.0,,,,,300.0,,39.2,132.9,148.0,0.0,,,,,-81.0,-121.0,,,,,93.0,,-167.8,-74.1,-59.0,-207.0,,,,,False,,,,,False,,False,True,True,False,,,,
01037,269,138.0,18.0,,,,,238.0,,43.8,121.8,120.0,0.0,,,,,-131.0,-251.0,,,,,-31.0,,-225.2,-147.2,-149.0,-269.0,,,,,False,,,,,True,,False,False,False,False,,,,
01039,942,558.0,149.0,,,,,1013.0,,580.7,437.0,890.0,184.0,,510.2,,,-384.0,-793.0,,,,,71.0,,-361.3,-505.0,-52.0,-758.0,,-431.8,,,False,,,,,True,,True,False,True,False,,False,,
01041,452,420.0,412.0,,,,,316.0,,856.3,238.7,633.0,46.5,,,,,-32.0,-40.0,,,,,-136.0,,404.3,-213.3,181.0,-405.5,,,,,False,,,,,False,,False,False,False,False,,,,
01043,1998,2904.0,1860.0,,,,,3608.0,,1846.1,1664.8,3700.0,717.9,,2126.2,,,906.0,-138.0,,,,,1610.0,,-151.9,-333.2,1702.0,-1280.1,,128.2,,,True,,,,,False,,True,True,False,False,,True,,
01045,1233,1032.0,1010.0,,,,,1313.0,,1341.0,862.3,1866.5,306.8,,471.8,,,-201.0,-223.0,,,,,80.0,,108.0,-370.7,633.5,-926.2,,-761.2,,,False,,,,,True,,True,False,False,False,,False,,
01047,585,546.0,476.0,,,,,910.0,,298.7,505.3,786.0,0.0,,259.3,,,-39.0,-109.0,,,,,325.0,,-286.3,-79.7,201.0,-585.0,,-325.7,,,False,,,,,False,,False,False,False,False,,False,,
01049,1550,2100.0,1577.0,,,,,3165.0,,2011.7,1319.7,2900.5,515.9,,1428.5,,,550.0,27.0,,,,,1615.0,,461.7,-230.3,1350.5,-1034.1,,-121.5,,,True,,,,,False,,True,True,False,False,,True,,
01051,2928,2814.0,2191.0,,,,,2131.0,,3308.3,1680.6,4479.0,337.2,,1823.1,,,-114.0,-737.0,,,,,-797.0,,380.3,-1247.4,1551.0,-2590.8,,-1104.9,,,False,,,,,False,,False,False,False,False,,False,,
01053,1108,840.0,10.0,,,,,1099.0,,710.2,714.8,1183.5,95.9,,691.6,,,-268.0,-1098.0,,,,,-9.0,,-397.8,-393.2,75.5,-1012.1,,-416.4,,,False,,,,,True,,False,False,True,False,,False,,
01055,3161,4776.0,3140.0,,,,,4154.0,,2974.1,2694.0,5031.0,756.3,,2100.0,,,1615.0,-21.0,,,,,993.0,,-186.9,-467.0,1870.0,-2404.7,,-1061.0,,,True,,,,,True,,True,True,False,False,,True,,
01057,535,522.0,199.0,,,,,569.0,,254.6,348.6,594.0,65.5,,,,,-13.0,-336.0,,,,,34.0,,-280.4,-186.4,59.0,-469.5,,,,,False,,,,,False,,False,False,False,False,,,,
01059,768,744.0,210.0,,,,,1433.0,,414.1,598.0,856.0,104.2,,334.2,,,-24.0,-558.0,,,,,665.0,,-353.9,-170.0,88.0,-663.8,,-433.8,,,False,,,,,False,,False,False,False,False,,False,,
01061,733,612.0,484.0,,,,,792.0,,334.0,374.3,650.0,113.9,,,,,-121.0,-249.0,,,,,59.0,,-399.0,-358.7,-83.0,-619.1,,,,,False,,,,,True,,False,False,True,False,,,,
01063,201,252.0,6.0,,,,,189.0,,138.7,162.6,234.0,0.0,,,,,51.0,-195.0,,,,,-12.0,,-62.3,-38.4,33.0,-201.0,,,,,False,,,,,True,,False,True,True,False,,,,
01065,629,678.0,204.0,,,,,405.0,,1096.8,396.5,965.0,55.4,,,,,49.0,-425.0,,,,,-224.0,,467.8,-232.5,336.0,-573.6,,,,,False,,,,,False,,False,False,False,False,,,,
01067,582,474.0,1.0,,,,,406.0,,792.4,337.7,922.0,83.6,,,,,-108.0,-581.0,,,,,-176.0,,210.4,-244.3,340.0,-498.4,,,,,False,,,,,False,,False,False,False,False,,,,
01069,2829,2064.0,938.0,,,,,2537.0,,2182.5,1653.6,2866.0,550.8,,1168.3,,,-765.0,-1891.0,,,,,-292.0,,-646.5,-1175.4,37.0,-2278.2,,-1660.7,,,False,,,,,True,,True,False,True,False,,False,,
01071,1468,1458.0,669.0,,,,,2133.0,,350.7,972.8,1087.0,0.0,,874.4,,,-10.0,-799.0,,,,,665.0,,-1117.3,-495.2,-381.0,-1468.0,,-593.6,,,False,,,,,False,,False,False,False,False,,False,,
01073,19044,25116.0,11740.0,,,,,24963.0,,23365.6,15677.9,34942.5,6563.1,,14215.7,13473.0,,6072.0,-7304.0,,,,,5919.0,,4321.6,-3366.1,15898.5,-12480.9,,-4828.3,-5571.0,,False,,,,,True,,True,True,False,False,,True,True,
01075,260,408.0,161.0,,,,,437.0,,439.3,246.9,591.0,35.6,,,,,148.0,-99.0,,,,,177.0,,179.3,-13.1,331.0,-224.4,,,,,True,,,,,False,,False,True,False,False,,,,
01077,2311,3048.0,2343.0,,,,,3669.0,,1820.7,1974.9,3675.5,898.8,,1212.9,,,737.0,32.0,,,,,1358.0,,-490.3,-336.1,1364.5,-1412.2,,-1098.1,,,True,,,,,False,,True,True,False,False,,False,,
01079,793,1110.0,931.0,,,,,1410.0,,1111.1,530.0,1670.0,75.5,,,,,317.0,138.0,,,,,617.0,,318.1,-263.0,877.0,-717.5,,,,,True,,,,,False,,False,True,False,False,,,,
01081,4477,3102.0,1410.0,,,,,3667.0,,3942.5,2581.2,4937.0,1.3,,2448.2,1932.0,,-1375.0,-3067.0,,,,,-810.0,,-534.5,-1895.8,460.0,-4475.7,,-2028.8,-2545.0,,False,,,,,True,,True,False,True,False,,False,False,
01083,2435,3336.0,2646.0,,,,,3252.0,,3655.6,2046.0,4699.5,596.2,,2797.9,,,901.0,211.0,,,,,817.0,,1220.6,-389.0,2264.5,-1838.8,,362.9,,,True,,,,,True,,False,True,False,False,,True,,
01085,351,138.0,,,,,,154.0,,98.2,116.6,213.0,0.0,,,,,-213.0,,,,,,-197.0,,-252.8,-234.4,-138.0,-351.0,,,,,,,,,,True,,False,False,True,False,,,,
01087,371,378.0,369.0,,,,,339.0,,300.6,256.3,384.0,35.0,,,,,7.0,-2.0,,,,,-32.0,,-70.4,-114.7,13.0,-336.0,,,,,True,,,,,False,,False,False,False,False,,,,
01089,9588,11856.0,8565.0,,,,,11835.0,,11446.2,8389.2,16395.0,2643.4,,12139.4,6567.0,,2268.0,-1023.0,,,,,2247.0,,1858.2,-1198.8,6807.0,-6944.6,,2551.4,-3021.0,,True,,,,,True,,True,True,False,False,,False,False,
01091,473,864.0,0.0,,,,,607.0,,946.6,419.9,1095.5,113.8,,,,,391.0,-473.0,,,,,134.0,,473.6,-53.1,622.5,-359.2,,,,,False,,,,,True,,False,True,False,True,,,,
01093,664,894.0,769.0,,,,,1063.0,,849.5,591.3,1370.0,98.4,,,,,230.0,105.0,,,,,399.0,,185.5,-72.7,706.0,-565.6,,,,,True,,,,,False,,True,True,False,False,,,,
01095,2128,3042.0,1716.0,,,,,4051.0,,1126.8,2274.2,3358.5,335.9,,1495.5,,,914.0,-412.0,,,,,1923.0,,-1001.2,146.2,1230.5,-1792.1,,-632.5,,,True,,,,,False,,False,True,False,False,,True,,
01097,9328,8664.0,6270.0,,,,,10355.0,,5697.6,7009.9,9188.0,0.7,,5859.9,14473.0,,-664.0,-3058.0,,,,,1027.0,,-3630.4,-2318.1,-140.0,-9327.3,,-3468.1,5145.0,,False,,,,,False,,False,False,True,False,,False,False,
01099,519,480.0,482.0,,,,,546.0,,958.7,389.6,996.0,60.2,,,,,-39.0,-37.0,,,,,27.0,,439.7,-129.4,477.0,-458.8,,,,,True,,,,,True,,False,False,False,False,,,,
01101,5979,4458.0,2715.0,,,,,5360.0,,6150.3,3579.2,6244.0,1113.1,,4993.3,2750.0,,-1521.0,-3264.0,,,,,-619.0,,171.3,-2399.8,265.0,-4865.9,,-985.7,-3229.0,,False,,,,,True,,True,False,True,False,,True,False,
01103,3093,5088.0,3604.0,,,,,4882.0,,2829.1,2515.6,5634.0,1184.8,,1908.4,,,1995.0,511.0,,,,,1789.0,,-263.9,-577.4,2541.0,-1908.2,,-1184.6,,,True,,,,,True,,True,True,False,True,,True,,
01105,254,228.0,0.0,,,,,192.0,,438.9,154.1,406.0,0.0,,,,,-26.0,-254.0,,,,,-62.0,,184.9,-99.9,152.0,-254.0,,,,,False,,,,,False,,False,False,False,False,,,,
01107,490,612.0,323.0,,,,,620.0,,1034.0,395.0,835.0,91.0,,,,,122.0,-167.0,,,,,130.0,,544.0,-95.0,345.0,-399.0,,,,,False,,,,,False,,False,True,False,False,,,,
01109,919,498.0,477.0,,,,,799.0,,378.9,395.5,644.0,122.2,,,,,-421.0,-442.0,,,,,-120.0,,-540.1,-523.5,-275.0,-796.8,,,,,False,,,,,True,,False,False,True,False,,,,
01111,345,252.0,124.0,,,,,682.0,,132.8,189.7,288.0,49.0,,,,,-93.0,-221.0,,,,,337.0,,-212.2,-155.3,-57.0,-296.0,,,,,False,,,,,False,,False,False,True,False,,,,
01113,1173,612.0,496.0,,,,,1406.0,,323.8,618.8,657.5,0.0,,601.8,,,-561.0,-677.0,,,,,233.0,,-849.2,-554.2,-515.5,-1173.0,,-571.2,,,False,,,,,True,,False,True,True,False,,False,,
01115,2226,2826.0,2483.0,,,,,2608.0,,1626.7,1597.6,2971.0,418.4,,1051.5,,,600.0,257.0,,,,,382.0,,-599.3,-628.4,745.0,-1807.6,,-1174.5,,,True,,,,,True,,True,False,False,False,,False,,
01117,5914,6702.0,5532.0,,,,,6963.0,,4043.6,5084.7,6560.0,1520.4,,3318.7,4071.0,,788.0,-382.0,,,,,1049.0,,-1870.4,-829.3,646.0,-4393.6,,-2595.3,-1843.0,,True,,,,,False,,False,False,True,False,,False,False,
01119,140,468.0,562.0,,,,,290.0,,1224.5,295.4,762.0,46.7,,,,,328.0,422.0,,,,,150.0,,1084.5,155.4,622.0,-93.3,,,,,False,,,,,True,,False,True,False,True,,,,
01121,2222,1746.0,230.0,,,,,2681.0,,855.1,1133.5,2046.0,237.8,,1639.4,,,-476.0,-1992.0,,,,,459.0,,-1366.9,-1088.5,-176.0,-1984.2,,-582.6,,,False,,,,,True,,False,False,True,False,,False,,
01123,1107,780.0,18.0,,,,,1089.0,,271.2,653.0,591.0,63.4,,312.9,,,-327.0,-1089.0,,,,,-18.0,,-835.8,-454.0,-516.0,-1043.6,,-794.1,,,False,,,,,True,,False,False,False,False,,False,,
01125,5322,6714.0,5829.0,,,,,7073.0,,4980.8,4560.0,8499.0,2354.4,,5152.4,2528.0,,1392.0,507.0,,,,,1751.0,,-341.2,-762.0,3177.0,-2967.6,,-169.6,-2794.0,,True,,,,,False,,True,True,False,False,,True,False,
01127,1229,1938.0,965.0,,,,,2454.0,,1058.2,1000.0,2119.5,164.6,,1180.0,,,709.0,-264.0,,,,,1225.0,,-170.8,-229.0,890.5,-1064.4,,-49.0,,,True,,,,,False,,True,True,False,False,,True,,
01129,347,378.0,0.0,,,,,562.0,,623.4,245.2,699.0,0.0,,,,,31.0,-347.0,,,,,215.0,,276.4,-101.8,352.0,-347.0,,,,,False,,,,,False,,False,False,False,False,,,,
01131,315,240.0,23.0,,,,,171.0,,329.5,193.1,243.0,0.0,,,,,-75.0,-292.0,,,,,-144.0,,14.5,-121.9,-72.0,-315.0,,,,,False,,,,,False,,True,False,True,False,,,,
01133,524,906.0,313.0,,,,,923.0,,262.2,463.0,784.5,105.6,,,,,382.0,-211.0,,,,,399.0,,-261.8,-61.0,260.5,-418.4,,,,,True,,,,,False,,True,True,True,False,,,,
02013,221,0.0,0.0,,,,,,,0.0,1.9,24.0,,,,,,-221.0,-221.0,,,,,,,-221.0,-219.1,-197.0,,,,,,False,,,,,,,True,True,True,,,,,
02016,175,96.0,,,,,,,,18.9,262.8,30.0,0.0,,,,,-79.0,,,,,,,,-156.1,87.8,-145.0,-175.0,,,,,,,,,,,,False,False,False,False,,,,
02020,3357,5046.0,1466.0,,,,,,,1957.7,3264.0,5323.0,0.1,,9503.1,1275.0,,1689.0,-1891.0,,,,,,,-1399.3,-93.0,1966.0,-3356.9,,6146.1,-2082.0,,False,,,,,,,True,True,False,False,,False,False,
02050,1279,546.0,,,,,,,,140.1,236.1,397.5,0.0,,,,,-733.0,,,,,,,,-1138.9,-1042.9,-881.5,-1279.0,,,,,,,,,,,,False,False,False,False,,,,
02060,0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,True,,,,,,,True,True,,,,,,
02068,8,0.0,0.0,,,,,,,5.3,11.4,24.0,,,,,,-8.0,-8.0,,,,,,,-2.7,3.4,16.0,,,,,,False,,,,,,,True,True,False,,,,,
02070,65,24.0,0.0,,,,,,,3.5,14.1,36.0,0.0,,,,,-41.0,-65.0,,,,,,,-61.5,-50.9,-29.0,-65.0,,,,,False,,,,,,,False,False,True,False,,,,
02090,1167,1092.0,453.0,,,,,,,683.7,925.3,1403.0,0.0,,825.4,,,-75.0,-714.0,,,,,,,-483.3,-241.7,236.0,-1167.0,,-341.6,,,False,,,,,,,False,False,False,False,,False,,
02100,4,0.0,0.0,,,,,,,15.9,15.8,6.0,,,,,,-4.0,-4.0,,,,,,,11.9,11.8,2.0,,,,,,False,,,,,,,False,False,True,,,,,
02105,0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,True,,,,,,,True,True,,,,,,
02110,173,252.0,40.0,,,,,,,60.0,207.8,127.0,0.0,,,,,79.0,-133.0,,,,,,,-113.0,34.8,-46.0,-173.0,,,,,False,,,,,,,False,True,True,False,,,,
02122,348,780.0,443.0,,,,,,,198.4,376.7,663.0,0.0,,442.8,,,432.0,95.0,,,,,,,-149.6,28.7,315.0,-348.0,,94.8,,,True,,,,,,,True,True,True,True,,True,,
02130,60,18.0,0.0,,,,,,,4.8,41.2,14.0,0.0,,,,,-42.0,-60.0,,,,,,,-55.2,-18.8,-46.0,-60.0,,,,,False,,,,,,,False,True,False,False,,,,
02150,155,534.0,,,,,,,,190.2,305.5,304.0,0.0,,,,,379.0,,,,,,,,35.2,150.5,149.0,-155.0,,,,,,,,,,,,True,True,True,True,,,,
02158,461,114.0,0.0,,,,,,,109.5,151.8,33.0,,,,,,-347.0,-461.0,,,,,,,-351.5,-309.2,-428.0,,,,,,False,,,,,,,False,True,False,,,,,
02164,17,0.0,0.0,,,,,,,4.5,8.5,24.0,0.0,,,,,-17.0,-17.0,,,,,,,-12.5,-8.5,7.0,-17.0,,,,,False,,,,,,,True,True,True,False,,,,
02170,1584,1644.0,952.0,,,,,,,221.5,856.0,915.5,0.0,,1933.6,,,60.0,-632.0,,,,,,,-1362.5,-728.0,-668.5,-1584.0,,349.6,,,False,,,,,,,False,False,False,False,,False,,
02180,43,36.0,,,,,,,,1.3,37.7,0.0,0.0,,,,,-7.0,,,,,,,,-41.7,-5.3,-43.0,-43.0,,,,,,,,,,,,False,True,False,False,,,,
02185,197,270.0,,,,,,,,125.2,255.9,232.0,0.0,,,,,73.0,,,,,,,,-71.8,58.9,35.0,-197.0,,,,,,,,,,,,True,True,True,False,,,,
02188,176,66.0,,,,,,,,6.8,40.5,6.0,0.0,,,,,-110.0,,,,,,,,-169.2,-135.5,-170.0,-176.0,,,,,,,,,,,,False,False,False,False,,,,
02195,20,6.0,0.0,,,,,,,0.1,5.3,6.0,,,,,,-14.0,-20.0,,,,,,,-19.9,-14.7,-14.0,,,,,,False,,,,,,,False,False,False,,,,,
02198,7,18.0,0.0,,,,,,,5.5,41.1,3.0,,,,,,11.0,-7.0,,,,,,,-1.5,34.1,-4.0,,,,,,True,,,,,,,True,False,True,,,,,
02220,41,78.0,0.0,,,,,,,14.3,52.2,42.0,0.0,,,,,37.0,-41.0,,,,,,,-26.7,11.2,1.0,-41.0,,,,,False,,,,,,,True,True,True,False,,,,
02230,1,6.0,0.0,,,,,,,0.1,15.4,6.0,,,,,,5.0,-1.0,,,,,,,-0.9,14.4,5.0,,,,,,True,,,,,,,True,False,False,,,,,
02240,48,114.0,,,,,,,,25.5,44.1,67.0,0.0,,,,,66.0,,,,,,,,-22.5,-3.9,19.0,-48.0,,,,,,,,,,,,True,True,True,True,,,,
02261,127,102.0,,,,,,,,22.9,84.2,28.0,0.0,,,,,-25.0,,,,,,,,-104.1,-42.8,-99.0,-127.0,,,,,,,,,,,,False,False,False,False,,,,
02275,3,0.0,0.0,,,,,,,2.7,17.5,6.0,,,,,,-3.0,-3.0,,,,,,,-0.3,14.5,3.0,,,,,,False,,,,,,,True,False,False,,,,,
02282,15,0.0,0.0,,,,,,,0.0,1.7,12.0,,,,,,-15.0,-15.0,,,,,,,-15.0,-13.3,-3.0,,,,,,False,,,,,,,True,True,True,,,,,
02290,66,0.0,0.0,,,,,,,21.1,32.8,7.0,0.0,,,,,-66.0,-66.0,,,,,,,-44.9,-33.2,-59.0,-66.0,,,,,False,,,,,,,True,True,True,False,,,,
04001,2643,2394.0,2310.0,,,,,2063.0,,861.1,1581.7,1534.5,0.0,,1140.6,,,-249.0,-333.0,,,,,-580.0,,-1781.9,-1061.3,-1108.5,-2643.0,,-1502.4,,,False,,,,,False,,False,False,False,False,,False,,
04003,3556,6384.0,4277.0,,,,,2771.0,,4705.1,5092.5,6384.5,1654.2,,4666.1,,,2828.0,721.0,,,,,-785.0,,1149.1,1536.5,2828.5,-1901.8,,1110.1,,,True,,,,,True,,True,True,False,True,,True,,
04005,4979,4884.0,3852.0,,,,,2949.0,,2936.8,3384.2,5067.5,2128.8,,2239.5,3288.0,,-95.0,-1127.0,,,,,-2030.0,,-2042.2,-1594.8,88.5,-2850.2,,-2739.5,-1691.0,,False,,,,,False,,False,False,True,False,,False,False,
04007,1896,1740.0,1254.0,,,,,1383.0,,1064.8,1269.6,2169.0,691.1,,1210.2,,,-156.0,-642.0,,,,,-513.0,,-831.2,-626.4,273.0,-1204.9,,-685.8,,,False,,,,,False,,False,False,False,False,,False,,
04009,2081,1908.0,1129.0,,,,,858.0,,773.0,1033.8,1271.5,280.4,,1047.9,,,-173.0,-952.0,,,,,-1223.0,,-1308.0,-1047.2,-809.5,-1800.6,,-1033.1,,,False,,,,,False,,False,False,False,False,,False,,
04011,159,132.0,,,,,,185.0,,25.5,130.0,66.0,0.0,,,,,-27.0,,,,,,26.0,,-133.5,-29.0,-93.0,-159.0,,,,,,,,,,True,,False,False,False,False,,,,
04012,987,948.0,978.0,,,,,1057.0,,433.9,666.0,424.0,0.0,,,,,-39.0,-9.0,,,,,70.0,,-553.1,-321.0,-563.0,-987.0,,,,,True,,,,,False,,False,False,False,False,,,,
04013,183419,153414.0,124570.0,,,,,125305.0,,99022.5,156648.7,136695.0,63081.4,,117026.9,60624.0,,-30005.0,-58849.0,,,,,-58114.0,,-84396.5,-26770.3,-46724.0,-120337.6,,-66392.1,-122795.0,,False,,,,,False,,False,True,False,False,,False,False,
04015,8706,9504.0,9262.0,,,,,5968.0,,9081.7,7673.3,11419.0,1244.4,,6604.9,7802.0,,798.0,556.0,,,,,-2738.0,,375.7,-1032.7,2713.0,-7461.6,,-2101.1,-904.0,,True,,,,,False,,True,False,False,False,,False,False,
04017,4003,4062.0,442.0,,,,,3313.0,,2011.0,3095.0,3610.5,602.1,,2699.6,,,59.0,-3561.0,,,,,-690.0,,-1992.0,-908.0,-392.5,-3400.9,,-1303.4,,,False,,,,,False,,False,False,False,False,,False,,
04019,38849,45612.0,24993.0,,,,,31981.0,,35433.1,35124.0,43297.5,10251.9,,39812.8,19372.0,,6763.0,-13856.0,,,,,-6868.0,,-3415.9,-3725.0,4448.5,-28597.1,,963.8,-19477.0,,False,,,,,False,,True,True,True,False,,True,False,
04021,17936,14184.0,8355.0,,,,,15805.0,,8475.3,13665.2,12851.0,2608.7,,8774.8,6660.0,,-3752.0,-9581.0,,,,,-2131.0,,-9460.7,-4270.8,-5085.0,-15327.3,,-9161.2,-11276.0,,False,,,,,True,,False,False,False,False,,False,False,
04023,1771,2508.0,0.0,,,,,1733.0,,1024.2,1392.4,2017.0,315.1,,1214.1,,,737.0,-1771.0,,,,,-38.0,,-746.8,-378.6,246.0,-1455.9,,-556.9,,,False,,,,,True,,False,True,True,False,,True,,
04025,6093,7854.0,4586.0,,,,,6090.0,,4778.9,5857.4,7874.0,2145.9,,2546.2,4633.0,,1761.0,-1507.0,,,,,-3.0,,-1314.1,-235.6,1781.0,-3947.1,,-3546.8,-1460.0,,True,,,,,True,,True,True,False,False,,False,True,
04027,9007,13332.0,3672.0,,,,,6787.0,,7377.1,8977.8,12081.5,4734.3,,5337.3,6606.0,,4325.0,-5335.0,,,,,-2220.0,,-1629.9,-29.2,3074.5,-4272.7,,-3669.7,-2401.0,,False,,,,,True,,True,True,True,True,,True,True,
05001,624,402.0,271.0,,,,,625.0,,315.6,265.5,432.0,76.7,,,,,-222.0,-353.0,,,,,1.0,,-308.4,-358.5,-192.0,-547.3,,,,,False,,,,,True,,False,False,True,False,,,,
05003,464,468.0,748.0,,,,,689.0,,238.7,350.4,437.0,116.4,,,,,4.0,284.0,,,,,225.0,,-225.3,-113.6,-27.0,-347.6,,,,,False,,,,,False,,False,False,False,False,,,,
05005,774,786.0,495.0,,,,,939.0,,509.3,552.6,1032.0,246.4,,,,,12.0,-279.0,,,,,165.0,,-264.7,-221.4,258.0,-527.6,,,,,False,,,,,False,,False,False,False,False,,,,
