,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,IHME-CurveFit,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-IHME-CurveFit,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-IHME-CurveFit,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Montana,9467,6464.0,,6365.2,3242.0,4897.1,4609.0,-3003.0,,-3101.8,-6225.0,-4569.9,-4858.0,,False,False,False,False
Nebraska,19158,14832.0,,15723.8,23761.1,7417.1,7126.0,-4326.0,,-3434.2,4603.1,-11740.9,-12032.0,,True,False,False,False
Nevada,26289,50760.0,,170711.4,32031.3,18914.2,22434.0,24471.0,,144422.4,5742.3,-7374.8,-3855.0,,False,True,True,True
New Hampshire,1779,1632.0,,6110.6,1428.9,1522.1,1497.0,-147.0,,4331.6,-350.1,-256.9,-282.0,,False,False,False,False
New Jersey,23147,19200.0,,23320.4,52815.8,57061.9,6963.0,-3947.0,,173.4,29668.8,33914.9,-16184.0,,True,False,False,False
New Mexico,8181,10552.0,,33582.8,13156.0,4280.3,4104.0,2371.0,,25401.8,4975.0,-3900.7,-4077.0,,False,False,False,False
New York,43015,36624.0,,49142.4,36637.5,30223.7,29969.0,-6391.0,,6127.4,-6377.5,-12791.3,-13046.0,,True,True,False,False
North Carolina,78659,87536.0,,274198.3,72501.7,41510.8,49903.0,8877.0,,195539.3,-6157.3,-37148.2,-28756.0,,False,True,False,False
North Dakota,15626,7248.0,,4561.0,9099.1,7248.4,5952.0,-8378.0,,-11065.0,-6526.9,-8377.6,-9674.0,,False,True,True,False
Ohio,57997,63056.0,,205314.7,47064.0,38273.0,41407.0,5059.0,,147317.7,-10933.0,-19724.0,-16590.0,,False,False,False,False
Oklahoma,47668,42792.0,,92812.3,29325.2,16355.5,19170.0,-4876.0,,45144.3,-18342.8,-31312.5,-28498.0,,False,False,False,False
Oregon,13501,17544.0,,88571.4,13503.1,13364.2,12532.0,4043.0,,75070.4,2.1,-136.8,-969.0,,False,True,True,True
Pennsylvania,43573,41576.0,,59580.0,30214.6,25208.8,18292.0,-1997.0,,16007.0,-13358.4,-18364.2,-25281.0,,False,False,False,False
Rhode Island,5468,5728.0,,3531.8,6001.8,4528.1,2783.0,260.0,,-1936.2,533.8,-939.9,-2685.0,,False,False,False,False
South Carolina,51431,70888.0,,75103.2,44661.0,28193.9,30131.0,19457.0,,23672.2,-6770.0,-23237.1,-21300.0,,False,True,False,False
South Dakota,14509,4880.0,,4824.6,10689.8,10497.2,5645.0,-9629.0,,-9684.4,-3819.2,-4011.8,-8864.0,,False,True,True,True
Tennessee,79010,99208.0,,74308.3,100850.9,54420.6,31614.0,20198.0,,-4701.7,21840.9,-24589.4,-47396.0,,True,False,False,False
Texas,289793,423152.0,,1713135.2,309685.4,201556.4,207834.0,133359.0,,1423342.2,19892.4,-88236.6,-81959.0,,False,True,True,True
Utah,32474,24392.0,,43479.2,23383.4,13084.4,12221.0,-8082.0,,11005.2,-9090.6,-19389.6,-20253.0,,False,False,False,False
Vermont,324,264.0,,165.3,467.2,234.9,167.0,-60.0,,-158.7,143.2,-89.1,-157.0,,False,False,False,False
Virginia,51614,67104.0,,196096.2,94747.8,77419.1,0.0,15490.0,,144482.2,43133.8,25805.1,-51614.0,,False,False,False,False
Washington,26896,39856.0,,126359.9,39032.7,27768.7,26127.0,12960.0,,99463.9,12136.7,872.7,-769.0,,False,True,True,True
West Virginia,8918,6600.0,,4584.7,4333.9,5316.3,6654.0,-2318.0,,-4333.3,-4584.1,-3601.7,-2264.0,,False,False,False,True
Wisconsin,70865,47448.0,,85414.2,38651.9,38702.5,34899.0,-23417.0,,14549.2,-32213.1,-32162.5,-35966.0,,True,False,False,False
Wyoming,3366,1968.0,,26.9,2066.3,726.2,1576.0,-1398.0,,-3339.1,-1299.7,-2639.8,-1790.0,,False,True,False,False
US,2388259,3018696.0,1579299.0,7076251.6,2067523.0,1735292.6,1410212.0,630437.0,-808960.0,4687992.6,-320736.0,-652966.4,-978047.0,False,False,True,False,False
