,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01037,26,15.0,16.3,,13.0,0.0,,,,,,25.0,,11.2,21.0,,6.9,15.4,6.4,,,44.1,,,,,,,5.7,141.7,-11.0,-9.7,,-13.0,-26.0,,,,,,-1.0,,-14.8,-5.0,,-19.1,-10.6,-19.6,,,18.1,,,,,,,-20.3,115.7,True,,False,False,,,,,,True,,False,True,,False,True,False,,,False,,,,,,,False,False
01039,240,69.0,76.7,,66.0,22.0,,,,,,85.0,,137.1,116.4,,34.1,62.5,28.2,,,35.0,,,,,,,14.1,560.6,-171.0,-163.3,,-174.0,-218.0,,,,,,-155.0,,-102.9,-123.6,,-205.9,-177.5,-211.8,,,-205.0,,,,,,,-225.9,320.6,True,,False,False,,,,,,True,,True,True,,False,False,False,,,False,,,,,,,False,False
01041,41,54.0,54.4,,32.0,0.0,,,,,,52.0,,110.9,41.6,,20.6,37.0,0.0,,,1.2,,,,,,,23.9,229.6,13.0,13.4,,-9.0,-41.0,,,,,,11.0,,69.9,0.6,,-20.4,-4.0,-41.0,,,-39.8,,,,,,,-17.1,188.6,False,,True,False,,,,,,True,,False,True,,False,True,False,,,False,,,,,,,False,False
01043,212,156.0,118.7,,144.0,225.0,,,,,,246.0,,223.9,211.6,,63.8,160.3,96.5,166.0,,5.6,,146.5,,,,,117.7,412.2,-56.0,-93.3,,-68.0,13.0,,,,,,34.0,,11.9,-0.4,,-148.2,-51.7,-115.5,-46.0,,-206.4,,-65.5,,,,,-94.3,200.2,False,,False,True,,,,,,True,,True,True,,False,True,False,True,,False,,False,,,,,False,False
01045,266,189.0,233.2,,122.0,629.0,,,,,,125.0,,198.6,124.9,,119.9,112.2,94.7,205.0,,35.8,,139.8,,,,,51.3,557.4,-77.0,-32.8,,-144.0,363.0,,,,,,-141.0,,-67.4,-141.1,,-146.1,-153.8,-171.3,-61.0,,-230.2,,-126.2,,,,,-214.7,291.4,True,,False,False,,,,,,False,,True,False,,False,False,False,True,,False,,False,,,,,False,False
01047,96,102.0,99.3,,79.0,62.0,,,,,,83.0,,175.1,64.3,,31.3,75.0,0.9,137.0,,69.7,,94.1,,,,,57.5,326.6,6.0,3.3,,-17.0,-34.0,,,,,,-13.0,,79.1,-31.7,,-64.7,-21.0,-95.1,41.0,,-26.3,,-1.9,,,,,-38.5,230.6,True,,False,False,,,,,,False,,False,False,,False,False,False,False,,False,,True,,,,,False,False
01049,338,114.0,110.9,,114.0,82.0,,,,,,206.0,,226.9,141.5,,99.6,150.5,54.9,127.0,,74.7,,141.8,,,,,85.9,551.8,-224.0,-227.1,,-224.0,-256.0,,,,,,-132.0,,-111.1,-196.5,,-238.4,-187.5,-283.1,-211.0,,-263.3,,-196.2,,,,,-252.1,213.8,False,,False,False,,,,,,True,,True,True,,False,True,False,True,,False,,True,,,,,False,True
01051,404,279.0,282.6,,250.0,620.0,,,,,,163.0,,368.8,134.5,,193.2,264.7,106.9,357.0,,198.5,,249.4,,,,,184.9,443.1,-125.0,-121.4,,-154.0,216.0,,,,,,-241.0,,-35.2,-269.5,,-210.8,-139.3,-297.1,-47.0,,-205.5,,-154.6,,,,,-219.1,39.1,True,,False,False,,,,,,False,,True,False,,False,False,False,True,,False,,False,,,,,False,True
01053,136,129.0,129.1,,92.0,29.0,,,,,,123.0,,192.2,110.8,,63.5,128.3,0.4,169.0,,45.3,,90.2,,,,,78.7,1015.8,-7.0,-6.9,,-44.0,-107.0,,,,,,-13.0,,56.2,-25.2,,-72.5,-7.7,-135.6,33.0,,-90.7,,-45.8,,,,,-57.3,879.8,True,,False,False,,,,,,False,,False,False,,False,False,False,False,,False,,False,,,,,False,False
01055,490,324.0,282.8,,296.0,1178.0,,,,,,284.0,,406.4,380.9,,292.5,346.3,187.3,356.0,,198.0,,272.0,,,,,215.5,1274.3,-166.0,-207.2,,-194.0,688.0,,,,,,-206.0,,-83.6,-109.1,,-197.5,-143.7,-302.7,-134.0,,-292.0,,-218.0,,,,,-274.5,784.3,False,,False,False,,,,,,False,,True,True,,False,True,False,True,,False,,False,,,,,False,False
01057,78,90.0,96.1,,78.0,33.0,,,,,,35.0,,160.1,71.7,,98.2,96.6,47.7,212.0,,65.8,,,,,,,40.1,385.5,12.0,18.1,,0.0,-45.0,,,,,,-43.0,,82.1,-6.3,,20.2,18.6,-30.3,134.0,,-12.2,,,,,,,-37.9,307.5,False,,True,False,,,,,,False,,False,True,,False,False,False,False,,False,,,,,,,False,False
01059,159,150.0,142.7,,135.0,152.0,,,,,,140.0,,206.8,62.9,,121.6,173.8,12.0,176.0,,82.9,,116.4,,,,,110.2,233.2,-9.0,-16.3,,-24.0,-7.0,,,,,,-19.0,,47.8,-96.1,,-37.4,14.8,-147.0,17.0,,-76.1,,-42.6,,,,,-48.8,74.2,False,,False,True,,,,,,False,,False,False,,False,False,False,False,,False,,False,,,,,False,False
01061,230,48.0,69.4,,61.0,48.0,,,,,,63.0,,100.0,97.4,,23.1,60.2,71.6,,,32.2,,,,,,,40.9,330.8,-182.0,-160.6,,-169.0,-182.0,,,,,,-167.0,,-130.0,-132.6,,-206.9,-169.8,-158.4,,,-197.8,,,,,,,-189.1,100.8,True,,True,False,,,,,,True,,True,True,,False,True,True,,,False,,,,,,,False,True
01063,13,0.0,3.4,,2.0,0.0,,,,,,12.0,,15.2,10.9,,0.2,1.9,0.0,71.0,,8.7,,,,,,,10.5,48.9,-13.0,-9.6,,-11.0,-13.0,,,,,,-1.0,,2.2,-2.1,,-12.8,-11.1,-13.0,58.0,,-4.3,,,,,,,-2.5,35.9,True,,True,False,,,,,,True,,True,True,,True,True,True,False,,True,,,,,,,True,False
01065,71,45.0,46.9,,29.0,16.0,,,,,,40.0,,105.1,21.8,,13.5,44.1,0.9,,,1.9,,,,,,,29.2,116.2,-26.0,-24.1,,-42.0,-55.0,,,,,,-31.0,,34.1,-49.2,,-57.5,-26.9,-70.1,,,-69.1,,,,,,,-41.8,45.2,True,,False,False,,,,,,False,,False,False,,False,False,False,,,False,,,,,,,False,False
01067,131,45.0,40.3,,37.0,21.0,,,,,,36.0,,92.2,45.5,,18.6,42.8,32.4,,,37.0,,,,,,,22.9,183.9,-86.0,-90.7,,-94.0,-110.0,,,,,,-95.0,,-38.8,-85.5,,-112.4,-88.2,-98.6,,,-94.0,,,,,,,-108.1,52.9,False,,False,False,,,,,,False,,True,True,,False,False,False,,,False,,,,,,,False,True
01069,885,261.0,238.5,,257.0,82.0,,,,,,257.0,,291.7,365.0,,204.4,252.4,232.8,228.0,,101.0,,309.0,,,,,152.8,808.8,-624.0,-646.5,,-628.0,-803.0,,,,,,-628.0,,-593.3,-520.0,,-680.6,-632.6,-652.2,-657.0,,-784.0,,-576.0,,,,,-732.2,-76.2,False,,False,False,,,,,,False,,True,True,,False,False,False,False,,False,,True,,,,,False,True
01071,277,123.0,140.4,,110.0,41.0,,,,,,129.0,,195.8,152.2,,74.9,126.8,100.4,97.0,,47.6,,100.9,,,,,86.9,789.2,-154.0,-136.6,,-167.0,-236.0,,,,,,-148.0,,-81.2,-124.8,,-202.1,-150.2,-176.6,-180.0,,-229.4,,-176.1,,,,,-190.1,512.2,True,,False,False,,,,,,True,,True,True,,False,True,False,False,,False,,False,,,,,False,False
01073,2571,2373.0,2220.2,1820.9,1858.0,1772.0,,,,,,1415.0,,2289.8,1663.2,,2240.1,2236.5,581.8,2190.0,,866.9,,1842.4,1827.0,,,,1597.5,6172.2,-198.0,-350.8,-750.1,-713.0,-799.0,,,,,,-1156.0,,-281.2,-907.8,,-330.9,-334.5,-1989.2,-381.0,,-1704.1,,-728.6,-744.0,,,,-973.5,3601.2,False,False,False,False,,,,,,False,,False,False,,False,False,False,False,,False,,False,False,,,,False,False
01075,89,27.0,25.1,,24.0,0.0,,,,,,36.0,,85.2,32.3,,12.5,29.0,19.7,,,1.5,,,,,,,14.6,63.5,-62.0,-63.9,,-65.0,-89.0,,,,,,-53.0,,-3.8,-56.7,,-76.5,-60.0,-69.3,,,-87.5,,,,,,,-74.4,-25.5,False,,False,False,,,,,,True,,True,True,,False,True,False,,,False,,,,,,,False,True
01077,257,153.0,160.3,,152.0,340.0,,,,,,257.0,,230.6,187.4,,102.6,155.1,132.6,131.0,,124.0,,110.2,,,,,103.8,377.8,-104.0,-96.7,,-105.0,83.0,,,,,,0.0,,-26.4,-69.6,,-154.4,-101.9,-124.4,-126.0,,-133.0,,-146.8,,,,,-153.2,120.8,True,,False,True,,,,,,True,,True,True,,False,True,False,False,,False,,False,,,,,False,False
01079,90,84.0,89.9,,75.0,93.0,,,,,,72.0,,191.0,89.7,,48.9,68.4,75.5,79.0,,42.8,,,,,,,39.0,656.4,-6.0,-0.1,,-15.0,3.0,,,,,,-18.0,,101.0,-0.3,,-41.1,-21.6,-14.5,-11.0,,-47.2,,,,,,,-51.0,566.4,True,,False,True,,,,,,False,,False,True,,False,False,False,False,,False,,,,,,,False,False
01081,678,381.0,353.1,,314.0,414.0,,,,,,567.0,,550.3,480.8,,240.7,316.1,247.5,258.0,,11.0,,262.4,260.0,,,,367.1,2088.2,-297.0,-324.9,,-364.0,-264.0,,,,,,-111.0,,-127.7,-197.2,,-437.3,-361.9,-430.5,-420.0,,-667.0,,-415.6,-418.0,,,,-310.9,1410.2,False,,False,True,,,,,,True,,True,True,,False,False,False,False,,False,,False,False,,,,False,False
01083,415,234.0,231.2,,217.0,102.0,,,,,,276.0,,294.2,157.1,,226.3,275.1,154.2,361.0,,128.9,,177.9,,,,,94.4,1157.1,-181.0,-183.8,,-198.0,-313.0,,,,,,-139.0,,-120.8,-257.9,,-188.7,-139.9,-260.8,-54.0,,-286.1,,-237.1,,,,,-320.6,742.1,False,,False,False,,,,,,True,,True,False,,False,True,False,True,,False,,False,,,,,False,False
01085,32,3.0,1.0,,4.0,0.0,,,,,,28.0,,18.2,9.8,,0.2,6.4,0.2,,,6.3,,,,,,,10.3,90.4,-29.0,-31.0,,-28.0,-32.0,,,,,,-4.0,,-13.8,-22.2,,-31.8,-25.6,-31.8,,,-25.6,,,,,,,-21.7,58.4,False,,True,False,,,,,,True,,True,True,,False,True,False,,,True,,,,,,,True,False
01087,27,33.0,33.1,,27.0,37.0,,,,,,25.0,,206.0,37.5,,4.9,30.0,0.0,,,17.8,,,,,,,20.3,277.7,6.0,6.1,,0.0,10.0,,,,,,-2.0,,179.0,10.5,,-22.1,3.0,-27.0,,,-9.2,,,,,,,-6.7,250.7,False,,True,False,,,,,,True,,False,False,,False,True,False,,,False,,,,,,,False,False
01089,1137,738.0,644.3,756.8,719.0,460.0,,,,,,888.0,,989.7,924.6,,718.3,815.2,338.4,1009.0,,64.9,,476.6,863.0,,,,509.4,3186.5,-399.0,-492.7,-380.2,-418.0,-677.0,,,,,,-249.0,,-147.3,-212.4,,-418.7,-321.8,-798.6,-128.0,,-1072.1,,-660.4,-274.0,,,,-627.6,2049.5,False,True,False,False,,,,,,True,,True,True,,False,True,False,True,,False,,False,True,,,,False,False
01091,57,39.0,40.4,,33.0,2.0,,,,,,49.0,,113.3,34.0,,17.8,44.9,0.2,,,26.1,,,,,,,18.8,115.4,-18.0,-16.6,,-24.0,-55.0,,,,,,-8.0,,56.3,-23.0,,-39.2,-12.1,-56.8,,,-30.9,,,,,,,-38.2,58.4,True,,False,False,,,,,,True,,False,False,,False,True,False,,,False,,,,,,,False,False
01093,121,147.0,138.9,,78.0,26.0,,,,,,66.0,,204.5,94.4,,80.2,112.2,43.7,163.0,,28.0,,,,,,,87.8,236.5,26.0,17.9,,-43.0,-95.0,,,,,,-55.0,,83.5,-26.6,,-40.8,-8.8,-77.3,42.0,,-93.0,,,,,,,-33.2,115.5,True,,False,False,,,,,,False,,False,False,,False,True,False,False,,False,,,,,,,False,False
01095,335,132.0,149.6,,119.0,16.0,,,,,,319.0,,219.4,153.2,,54.2,118.9,12.4,96.0,,29.0,,191.0,,,,,141.9,1040.4,-203.0,-185.4,,-216.0,-319.0,,,,,,-16.0,,-115.6,-181.8,,-280.8,-216.1,-322.6,-239.0,,-306.0,,-144.0,,,,,-193.1,705.4,True,,False,False,,,,,,True,,True,True,,False,False,False,False,,False,,True,,,,,True,False
01097,958,687.0,707.1,753.9,717.0,1179.0,,,,,,969.0,,943.1,877.1,,695.9,675.7,501.3,457.0,,78.9,,1288.0,532.0,,,,574.9,1700.0,-271.0,-250.9,-204.1,-241.0,221.0,,,,,,11.0,,-14.9,-80.9,,-262.1,-282.3,-456.7,-501.0,,-879.1,,330.0,-426.0,,,,-383.1,742.0,True,True,True,True,,,,,,True,,True,True,,True,False,False,False,,False,,False,False,,,,False,False
01099,28,24.0,30.9,,16.0,0.0,,,,,,44.0,,74.9,30.6,,2.6,14.3,10.3,,,2.7,,,,,,,10.0,202.7,-4.0,2.9,,-12.0,-28.0,,,,,,16.0,,46.9,2.6,,-25.4,-13.7,-17.7,,,-25.3,,,,,,,-18.0,174.7,True,,False,False,,,,,,False,,False,True,,False,False,False,,,False,,,,,,,False,False
01101,634,615.0,612.4,597.9,550.0,317.0,,,,,,528.0,,656.4,344.4,,466.0,639.5,61.4,590.0,,207.8,,391.0,560.0,,,,517.9,1387.3,-19.0,-21.6,-36.1,-84.0,-317.0,,,,,,-106.0,,22.4,-289.6,,-168.0,5.5,-572.6,-44.0,,-426.2,,-243.0,-74.0,,,,-116.1,753.3,False,False,False,False,,,,,,False,,False,False,,False,True,False,False,,False,,False,False,,,,False,False
01103,381,219.0,180.9,,185.0,186.0,,,,,,302.0,,338.9,217.5,,134.6,216.2,118.6,169.0,,140.3,,194.9,,,,,168.6,1001.7,-162.0,-200.1,,-196.0,-195.0,,,,,,-79.0,,-42.1,-163.5,,-246.4,-164.8,-262.4,-212.0,,-240.7,,-186.1,,,,,-212.4,620.7,False,,False,False,,,,,,True,,True,False,,False,False,False,False,,False,,False,,,,,False,False
01105,12,15.0,14.8,,9.0,0.0,,,,,,16.0,,21.4,15.4,,3.1,11.9,0.0,,,3.5,,,,,,,15.3,78.6,3.0,2.8,,-3.0,-12.0,,,,,,4.0,,9.4,3.4,,-8.9,-0.1,-12.0,,,-8.5,,,,,,,3.3,66.6,True,,False,False,,,,,,False,,False,False,,False,True,False,,,False,,,,,,,False,False
01107,75,60.0,68.0,,45.0,56.0,,,,,,45.0,,119.6,51.0,,33.3,46.0,0.9,,,22.7,,,,,,,26.8,197.6,-15.0,-7.0,,-30.0,-19.0,,,,,,-30.0,,44.6,-24.0,,-41.7,-29.0,-74.1,,,-52.3,,,,,,,-48.2,122.6,True,,False,False,,,,,,False,,False,False,,False,False,False,,,False,,,,,,,False,False
01109,124,99.0,78.0,,82.0,92.0,,,,,,203.0,,168.1,74.3,,34.6,90.5,0.1,99.0,,48.7,,,,,,,57.3,626.0,-25.0,-46.0,,-42.0,-32.0,,,,,,79.0,,44.1,-49.7,,-89.4,-33.5,-123.9,-25.0,,-75.3,,,,,,,-66.7,502.0,False,,False,False,,,,,,False,,False,False,,False,False,False,False,,False,,,,,,,False,False
01111,138,33.0,25.9,,32.0,2.0,,,,,,61.0,,119.4,59.3,,10.0,37.0,24.8,,,29.3,,,,,,,32.3,115.0,-105.0,-112.1,,-106.0,-136.0,,,,,,-77.0,,-18.6,-78.7,,-128.0,-101.0,-113.2,,,-108.7,,,,,,,-105.7,-23.0,False,,False,False,,,,,,True,,True,True,,False,True,False,,,False,,,,,,,False,True
01113,149,45.0,49.7,,48.0,38.0,,,,,,156.0,,151.8,75.9,,12.1,41.2,28.4,,,28.6,,76.2,,,,,57.4,282.6,-104.0,-99.3,,-101.0,-111.0,,,,,,7.0,,2.8,-73.1,,-136.9,-107.8,-120.6,,,-120.4,,-72.8,,,,,-91.6,133.6,True,,True,False,,,,,,True,,True,True,,False,False,False,,,False,,True,,,,,True,False
