,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01029,157,128.0,102.4,,95.0,150.0,,,,,,63.0,,451.6,47.2,,68.2,85.8,,,14.2,130.2,,,,,157.6,1169.0,-29.0,-54.6,,-62.0,-7.0,,,,,,-94.0,,294.6,-109.8,,-88.8,-71.2,,,-142.8,-26.8,,,,,0.6,1012.0,False,,False,True,,,,,,False,,False,False,,False,False,,,False,True,,,,,True,False
01031,328,88.0,127.9,,119.0,103.0,,,,,,379.0,,219.0,210.1,,21.6,114.2,,,25.5,117.0,,,,,163.4,385.9,-240.0,-200.1,,-209.0,-225.0,,,,,,51.0,,-109.0,-117.9,,-306.4,-213.8,,,-302.5,-211.0,,,,,-164.6,57.9,True,,True,True,,,,,,True,,True,True,,False,True,,,False,True,,,,,True,True
01033,229,224.0,236.1,,213.0,246.0,,,,,,413.0,,344.2,154.9,,82.5,191.4,,,14.4,201.0,,,,,402.1,376.3,-5.0,7.1,,-16.0,17.0,,,,,,184.0,,115.2,-74.1,,-146.5,-37.6,,,-214.6,-28.0,,,,,173.1,147.3,False,,False,False,,,,,,False,,False,False,,False,False,,,False,False,,,,,False,False
01035,44,0.0,5.2,,11.0,5.0,,,,,,63.0,,9.0,36.3,,58.1,22.4,0.0,,16.8,8.0,,,,,31.3,87.7,-44.0,-38.8,,-33.0,-39.0,,,,,,19.0,,-35.0,-7.7,,14.1,-21.6,-44.0,,-27.2,-36.0,,,,,-12.7,43.7,True,,True,True,,,,,,True,,True,True,,True,True,True,,True,True,,,,,True,True
01037,37,0.0,3.2,,6.0,0.0,,,,,,42.0,,5.3,29.4,,0.0,3.4,11.9,,7.7,11.5,,,,,9.1,294.6,-37.0,-33.8,,-31.0,-37.0,,,,,,5.0,,-31.7,-7.6,,-37.0,-33.6,-25.1,,-29.3,-25.5,,,,,-27.9,257.6,True,,True,False,,,,,,True,,True,True,,True,True,True,,True,True,,,,,True,False
01039,305,24.0,39.0,,54.0,55.0,,,,,,270.0,,151.2,173.2,,26.0,59.0,49.4,,15.3,36.5,,,,,31.1,1281.0,-281.0,-266.0,,-251.0,-250.0,,,,,,-35.0,,-153.8,-131.8,,-279.0,-246.0,-255.6,,-289.7,-268.5,,,,,-273.9,976.0,True,,True,True,,,,,,True,,True,True,,True,True,True,,False,True,,,,,True,False
01041,63,44.0,44.0,,42.0,29.0,,,,,,122.0,,177.8,60.9,,1.6,25.6,0.0,,1.6,126.2,,,,,72.1,492.0,-19.0,-19.0,,-21.0,-34.0,,,,,,59.0,,114.8,-2.1,,-61.4,-37.4,-63.0,,-61.4,63.2,,,,,9.1,429.0,True,,False,False,,,,,,False,,False,True,,False,False,False,,False,False,,,,,True,False
01043,286,120.0,43.3,,137.0,151.0,,,,,,584.0,,251.0,307.8,,6.2,132.2,131.0,,54.2,155.7,,,,,273.1,914.4,-166.0,-242.7,,-149.0,-135.0,,,,,,298.0,,-35.0,21.8,,-279.8,-153.8,-155.0,,-231.8,-130.3,,,,,-12.9,628.4,False,,True,True,,,,,,False,,True,True,,False,True,True,,False,True,,,,,True,False
01045,348,88.0,141.3,,102.0,97.0,,,,,,299.0,,146.4,185.7,,8.4,86.1,131.6,,65.0,97.3,,,,,158.7,615.4,-260.0,-206.7,,-246.0,-251.0,,,,,,-49.0,,-201.6,-162.3,,-339.6,-261.9,-216.4,,-283.0,-250.7,,,,,-189.3,267.4,True,,True,True,,,,,,True,,True,True,,False,False,True,,False,True,,,,,True,False
01047,147,108.0,106.9,,87.0,85.0,,,,,,266.0,,213.3,91.4,,12.1,83.7,1.3,,62.0,87.7,,,,,148.9,312.9,-39.0,-40.1,,-60.0,-62.0,,,,,,119.0,,66.3,-55.6,,-134.9,-63.3,-145.7,,-85.0,-59.3,,,,,1.9,165.9,False,,False,False,,,,,,False,,False,False,,False,False,False,,False,False,,,,,True,False
01049,389,240.0,219.2,,192.0,175.0,,,,,,411.0,,498.2,193.1,,96.1,191.4,88.5,,96.0,284.8,,,,,477.9,1038.3,-149.0,-169.8,,-197.0,-214.0,,,,,,22.0,,109.2,-195.9,,-292.9,-197.6,-300.5,,-293.0,-104.2,,,,,88.9,649.3,False,,False,False,,,,,,True,,True,False,,False,False,False,,False,True,,,,,True,False
01051,530,412.0,424.0,,397.0,562.0,,,,,,421.0,,593.3,224.9,,170.0,314.3,134.6,,237.9,402.1,,,,,607.4,759.4,-118.0,-106.0,,-133.0,32.0,,,,,,-109.0,,63.3,-305.1,,-360.0,-215.7,-395.4,,-292.1,-127.9,,,,,77.4,229.4,True,,False,True,,,,,,True,,True,False,,False,False,False,,False,False,,,,,True,False
01053,199,144.0,145.9,,105.0,49.0,,,,,,314.0,,276.9,150.7,,5.9,104.2,0.6,,65.8,100.2,,,,,218.0,2512.8,-55.0,-53.1,,-94.0,-150.0,,,,,,115.0,,77.9,-48.3,,-193.1,-94.8,-198.4,,-133.2,-98.8,,,,,19.0,2313.8,True,,False,False,,,,,,False,,False,True,,False,False,False,,False,False,,,,,True,False
01055,626,412.0,355.1,,325.0,191.0,,,,,,578.0,,644.8,566.6,,160.5,328.2,251.8,,264.7,273.9,,,,,754.0,1012.1,-214.0,-270.9,,-301.0,-435.0,,,,,,-48.0,,18.8,-59.4,,-465.5,-297.8,-374.2,,-361.3,-352.1,,,,,128.0,386.1,False,,False,False,,,,,,True,,True,True,,False,False,False,,False,False,,,,,True,False
01057,125,108.0,112.9,,88.0,58.0,,,,,,98.0,,254.6,89.5,,69.5,87.5,63.7,,63.7,115.2,,,,,134.6,508.8,-17.0,-12.1,,-37.0,-67.0,,,,,,-27.0,,129.6,-35.5,,-55.5,-37.5,-61.3,,-61.3,-9.8,,,,,9.6,383.8,True,,False,False,,,,,,False,,False,False,,False,False,False,,False,True,,,,,True,False
01059,229,256.0,254.0,,240.0,259.0,,,,,,367.0,,346.9,84.9,,103.0,214.4,219.0,,68.5,204.5,,,,,344.7,532.7,27.0,25.0,,11.0,30.0,,,,,,138.0,,117.9,-144.1,,-126.0,-14.6,-10.0,,-160.5,-24.5,,,,,115.7,303.7,True,,True,False,,,,,,False,,False,False,,False,True,True,,False,True,,,,,False,False
01061,257,80.0,120.0,,81.0,83.0,,,,,,167.0,,107.0,165.2,,12.8,74.3,110.1,,55.8,65.0,,,,,121.6,955.1,-177.0,-137.0,,-176.0,-174.0,,,,,,-90.0,,-150.0,-91.8,,-244.2,-182.7,-146.9,,-201.2,-192.0,,,,,-135.4,698.1,True,,True,True,,,,,,True,,True,True,,False,False,True,,False,False,,,,,True,False
01063,15,32.0,35.3,,18.0,4.0,,,,,,26.0,,13.9,20.5,,2.3,21.3,0.1,,53.9,22.3,,,,,39.4,72.1,17.0,20.3,,3.0,-11.0,,,,,,11.0,,-1.1,5.5,,-12.7,6.3,-14.9,,38.9,7.3,,,,,24.4,57.1,False,,True,True,,,,,,True,,True,True,,True,True,True,,False,True,,,,,False,False
01065,95,36.0,37.5,,35.0,29.0,,,,,,88.0,,117.2,34.0,,2.4,35.7,1.3,,11.1,59.9,,,,,62.1,93.0,-59.0,-57.5,,-60.0,-66.0,,,,,,-7.0,,22.2,-61.0,,-92.6,-59.3,-93.7,,-83.9,-35.1,,,,,-32.9,-2.0,True,,False,False,,,,,,True,,True,False,,False,False,False,,False,True,,,,,True,True
01067,155,100.0,96.1,,76.0,98.0,,,,,,76.0,,195.0,70.1,,15.1,62.5,42.4,,59.2,106.7,,,,,136.1,335.7,-55.0,-58.9,,-79.0,-57.0,,,,,,-79.0,,40.0,-84.9,,-139.9,-92.5,-112.6,,-95.8,-48.3,,,,,-18.9,180.7,False,,False,False,,,,,,False,,True,False,,False,False,False,,False,True,,,,,True,False
01069,1093,400.0,370.2,,340.0,210.0,,,,,,578.0,,554.2,557.1,,139.2,259.4,285.3,,114.9,341.8,,,,,626.9,1523.5,-693.0,-722.8,,-753.0,-883.0,,,,,,-515.0,,-538.8,-535.9,,-953.8,-833.6,-807.7,,-978.1,-751.2,,,,,-466.1,430.5,False,,False,False,,,,,,True,,True,True,,False,False,False,,False,False,,,,,True,True
01071,322,220.0,236.7,,193.0,119.0,,,,,,270.0,,420.4,265.3,,95.7,163.1,141.7,,45.8,194.3,,,,,403.0,2097.9,-102.0,-85.3,,-129.0,-203.0,,,,,,-52.0,,98.4,-56.7,,-226.3,-158.9,-180.3,,-276.2,-127.7,,,,,81.0,1775.9,True,,False,False,,,,,,True,,True,True,,False,False,False,,False,False,,,,,True,False
01073,3464,3580.0,3259.1,2909.1,2688.0,2055.0,,,,,,3024.0,,3344.4,2662.1,,2217.9,3070.9,678.6,,1435.4,2645.9,2566.0,,,,6281.8,7168.9,116.0,-204.9,-554.9,-776.0,-1409.0,,,,,,-440.0,,-119.6,-801.9,,-1246.1,-393.1,-2785.4,,-2028.6,-818.1,-898.0,,,,2817.8,3704.9,False,False,False,False,,,,,,False,,False,False,,False,False,False,,False,False,False,,,,False,False
01075,98,48.0,43.3,,37.0,28.0,,,,,,102.0,,138.0,49.9,,7.1,42.0,33.1,,11.6,26.9,,,,,76.0,45.0,-50.0,-54.7,,-61.0,-70.0,,,,,,4.0,,40.0,-48.1,,-90.9,-56.0,-64.9,,-86.4,-71.1,,,,,-22.0,-53.0,False,,False,False,,,,,,True,,True,True,,False,False,False,,False,False,,,,,True,False
01077,310,276.0,288.8,,262.0,291.0,,,,,,676.0,,455.3,324.3,,139.5,261.4,155.0,,82.2,191.1,,,,,454.6,520.2,-34.0,-21.2,,-48.0,-19.0,,,,,,366.0,,145.3,14.3,,-170.5,-48.6,-155.0,,-227.8,-118.9,,,,,144.6,210.2,True,,False,True,,,,,,False,,False,True,,False,False,False,,False,False,,,,,False,False
01079,117,236.0,246.1,,196.0,558.0,,,,,,206.0,,341.7,156.4,,98.5,159.1,88.6,,21.8,201.8,,,,,343.3,1409.9,119.0,129.1,,79.0,441.0,,,,,,89.0,,224.7,39.4,,-18.5,42.1,-28.4,,-95.2,84.8,,,,,226.3,1292.9,False,,True,False,,,,,,True,,False,True,,True,True,True,,True,True,,,,,False,False
01081,1033,1064.0,1018.3,,932.0,1530.0,,,,,,1207.0,,1073.3,651.2,,393.5,775.0,421.2,,406.7,799.2,1474.0,,,,1542.1,5333.3,31.0,-14.7,,-101.0,497.0,,,,,,174.0,,40.3,-381.8,,-639.5,-258.0,-611.8,,-626.3,-233.8,441.0,,,,509.1,4300.3,True,,False,False,,,,,,False,,False,False,,False,False,False,,False,False,False,,,,False,False
01083,518,320.0,306.6,,265.0,333.0,,,,,,569.0,,395.5,208.2,,112.6,255.4,189.5,,192.6,235.8,,,,,512.9,1364.9,-198.0,-211.4,,-253.0,-185.0,,,,,,51.0,,-122.5,-309.8,,-405.4,-262.6,-328.5,,-325.4,-282.2,,,,,-5.1,846.9,False,,False,True,,,,,,True,,True,False,,False,False,False,,False,False,,,,,True,False
01085,37,16.0,8.9,,10.0,0.0,,,,,,60.0,,33.9,14.3,,1.1,26.4,0.4,,7.2,14.2,,,,,29.7,161.3,-21.0,-28.1,,-27.0,-37.0,,,,,,23.0,,-3.1,-22.7,,-35.9,-10.6,-36.6,,-29.8,-22.8,,,,,-7.3,124.3,False,,False,False,,,,,,False,,True,False,,False,True,False,,False,False,,,,,True,False
01087,39,76.0,70.7,,62.0,80.0,,,,,,47.0,,355.0,64.0,,8.2,66.6,0.0,,28.9,67.4,,,,,107.4,718.6,37.0,31.7,,23.0,41.0,,,,,,8.0,,316.0,25.0,,-30.8,27.6,-39.0,,-10.1,28.4,,,,,68.4,679.6,True,,True,False,,,,,,True,,False,True,,True,True,False,,True,True,,,,,False,False
01089,1464,1528.0,1402.5,1348.2,1392.0,2422.0,,,,,,1520.0,,1713.9,1535.1,,1095.0,1404.6,319.4,,444.3,924.2,1478.0,,,,2149.3,3451.2,64.0,-61.5,-115.8,-72.0,958.0,,,,,,56.0,,249.9,71.1,,-369.0,-59.4,-1144.6,,-1019.7,-539.8,14.0,,,,685.3,1987.2,True,False,False,False,,,,,,True,,False,False,,False,True,False,,False,False,True,,,,False,False
01091,80,80.0,83.5,,54.0,32.0,,,,,,146.0,,182.1,46.1,,15.4,54.0,0.4,,28.5,80.5,,,,,117.0,199.9,0.0,3.5,,-26.0,-48.0,,,,,,66.0,,102.1,-33.9,,-64.6,-26.0,-79.6,,-51.5,0.5,,,,,37.0,119.9,False,,False,False,,,,,,False,,False,False,,False,False,False,,False,False,,,,,False,False
01093,183,84.0,69.8,,79.0,95.0,,,,,,201.0,,151.7,130.3,,24.6,102.4,59.4,,41.5,50.6,,,,,149.1,126.1,-99.0,-113.2,,-104.0,-88.0,,,,,,18.0,,-31.3,-52.7,,-158.4,-80.6,-123.6,,-141.4,-132.4,,,,,-33.9,-56.9,False,,False,True,,,,,,True,,True,True,,False,True,False,,False,False,,,,,True,True
01095,401,84.0,124.5,,101.0,27.0,,,,,,645.0,,283.1,209.4,,19.8,124.8,32.9,,58.6,240.1,,,,,257.1,1211.2,-317.0,-276.5,,-300.0,-374.0,,,,,,244.0,,-117.9,-191.6,,-381.2,-276.2,-368.1,,-342.4,-160.9,,,,,-143.9,810.2,True,,True,False,,,,,,True,,True,True,,False,True,False,,False,True,,,,,True,False
01097,1245,1312.0,1279.1,1253.5,1224.0,1549.0,,,,,,1668.0,,1524.1,1541.7,,667.8,988.9,739.3,,209.6,2552.6,499.0,,,,2488.3,2670.2,67.0,34.1,8.5,-21.0,304.0,,,,,,423.0,,279.1,296.7,,-577.2,-256.1,-505.7,,-1035.4,1307.6,-746.0,,,,1243.3,1425.2,True,True,True,False,,,,,,False,,False,False,,False,False,False,,False,False,False,,,,False,False
01099,44,0.0,0.0,,6.0,0.0,,,,,,122.0,,89.8,48.2,,0.0,11.6,18.5,,2.4,4.0,,,,,17.4,234.1,-44.0,-44.0,,-38.0,-44.0,,,,,,78.0,,45.8,4.2,,-44.0,-32.4,-25.5,,-41.6,-40.0,,,,,-26.6,190.1,False,,True,False,,,,,,False,,False,True,,True,True,True,,True,True,,,,,True,False
01101,894,964.0,961.2,916.5,828.0,1191.0,,,,,,1110.0,,935.3,503.1,,334.7,632.5,167.4,,309.2,988.6,474.0,,,,1594.0,1383.4,70.0,67.2,22.5,-66.0,297.0,,,,,,216.0,,41.3,-390.9,,-559.3,-261.5,-726.6,,-584.8,94.6,-420.0,,,,700.0,489.4,True,True,True,False,,,,,,False,,True,False,,False,False,False,,False,False,False,,,,False,False
01103,473,376.0,334.9,,229.0,214.0,,,,,,687.0,,608.2,272.2,,114.6,369.0,142.4,,173.8,224.0,,,,,690.2,1901.2,-97.0,-138.1,,-244.0,-259.0,,,,,,214.0,,135.2,-200.8,,-358.4,-104.0,-330.6,,-299.2,-249.0,,,,,217.2,1428.2,False,,False,False,,,,,,False,,False,False,,False,False,False,,False,False,,,,,False,False
01105,20,12.0,11.7,,12.0,0.0,,,,,,38.0,,21.6,23.4,,4.0,26.0,0.0,,5.0,17.9,,,,,25.4,93.6,-8.0,-8.3,,-8.0,-20.0,,,,,,18.0,,1.6,3.4,,-16.0,6.0,-20.0,,-15.0,-2.1,,,,,5.4,73.6,False,,False,False,,,,,,False,,True,True,,False,True,False,,False,True,,,,,True,False
01107,104,60.0,66.1,,55.0,72.0,,,,,,136.0,,184.0,60.8,,21.8,55.7,1.5,,6.2,53.5,,,,,99.8,283.7,-44.0,-37.9,,-49.0,-32.0,,,,,,32.0,,80.0,-43.2,,-82.2,-48.3,-102.5,,-97.8,-50.5,,,,,-4.2,179.7,True,,False,True,,,,,,True,,False,True,,False,False,False,,False,False,,,,,True,False
01109,189,116.0,65.1,,105.0,107.0,,,,,,374.0,,200.3,100.8,,17.9,119.6,0.2,,71.7,105.9,,,,,196.0,1051.1,-73.0,-123.9,,-84.0,-82.0,,,,,,185.0,,11.3,-88.2,,-171.1,-69.4,-188.8,,-117.3,-83.1,,,,,7.0,862.1,False,,False,False,,,,,,False,,True,False,,False,True,False,,False,False,,,,,True,False
01111,161,124.0,120.0,,99.0,104.0,,,,,,124.0,,222.9,94.4,,23.0,97.4,30.3,,54.0,88.8,,,,,189.0,104.5,-37.0,-41.0,,-62.0,-57.0,,,,,,-37.0,,61.9,-66.6,,-138.0,-63.6,-130.7,,-107.0,-72.2,,,,,28.0,-56.5,False,,False,False,,,,,,False,,False,False,,False,False,False,,False,False,,,,,True,False
01113,167,116.0,106.2,,105.0,96.0,,,,,,340.0,,293.7,154.7,,9.4,92.0,70.6,,48.1,163.2,,,,,195.9,581.4,-51.0,-60.8,,-62.0,-71.0,,,,,,173.0,,126.7,-12.3,,-157.6,-75.0,-96.4,,-118.9,-3.8,,,,,28.9,414.4,False,,False,False,,,,,,False,,False,True,,False,False,False,,False,True,,,,,True,False
01115,510,308.0,306.7,,283.0,343.0,,,,,,391.0,,536.3,391.5,,99.1,269.3,152.9,,53.4,203.5,,,,,533.4,3933.1,-202.0,-203.3,,-227.0,-167.0,,,,,,-119.0,,26.3,-118.5,,-410.9,-240.7,-357.1,,-456.6,-306.5,,,,,23.4,3423.1,False,,False,True,,,,,,True,,True,True,,False,False,False,,False,False,,,,,True,False
01117,1493,1348.0,1332.7,,997.0,1603.0,,,,,,946.0,,1399.2,857.2,,525.7,908.8,692.9,,235.9,836.3,1496.0,,,,1708.7,6408.4,-145.0,-160.3,,-496.0,110.0,,,,,,-547.0,,-93.8,-635.8,,-967.3,-584.2,-800.1,,-1257.1,-656.7,3.0,,,,215.7,4915.4,False,,False,True,,,,,,False,,True,False,,False,False,False,,False,False,True,,,,False,False
01119,28,32.0,29.4,,28.0,28.0,,,,,,57.0,,36.3,14.6,,2.0,26.6,0.2,,7.3,30.0,,,,,38.3,43.1,4.0,1.4,,0.0,0.0,,,,,,29.0,,8.3,-13.4,,-26.0,-1.4,-27.8,,-20.7,2.0,,,,,10.3,15.1,True,,True,True,,,,,,False,,False,False,,False,True,False,,False,True,,,,,False,False
