,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,17148,24232.0,24145.7,20910.0,18503.0,,21002.9,17554.0,25972.2,,26149.0,26265.0,25133.7,23946.2,13648.5,19939.9,18274.7,22053.4,25309.0,,12909.4,21635.9,24745.8,20404.1,20384.0,7084.0,6997.7,3762.0,1355.0,,3854.9,406.0,8824.2,,9001.0,9117.0,7985.7,6798.2,-3499.5,2791.9,1126.7,4905.4,8161.0,,-4238.6,4487.9,7597.8,3256.1,3236.0,True,True,True,,True,True,False,,False,False,False,True,True,True,True,True,False,,True,True,False,True,True
Hawaii,1436,1476.0,1608.9,1330.0,902.0,,1389.5,1410.0,1351.5,,,,1198.6,1537.2,2193.4,1978.4,1212.1,1031.1,913.0,,703.3,1764.6,1298.8,1113.7,1071.0,40.0,172.9,-106.0,-534.0,,-46.5,-26.0,-84.5,,,,-237.4,101.2,757.4,542.4,-223.9,-404.9,-523.0,,-732.7,328.6,-137.2,-322.3,-365.0,False,False,False,,False,True,False,,,,False,False,False,False,False,False,False,,False,False,False,False,False
Idaho,6455,4160.0,4139.6,3775.0,3199.0,,3638.6,2894.0,7864.5,,4210.0,4224.0,4147.2,5171.7,3451.0,2854.8,3433.2,4507.6,5738.0,,3080.8,3529.4,3701.9,4639.0,3862.0,-2295.0,-2315.4,-2680.0,-3256.0,,-2816.4,-3561.0,1409.5,,-2245.0,-2231.0,-2307.8,-1283.3,-3004.0,-3600.2,-3021.8,-1947.4,-717.0,,-3374.2,-2925.6,-2753.1,-1816.0,-2593.0,False,False,False,,False,False,True,,True,True,False,True,False,False,False,True,True,,False,False,False,True,False
Illinois,27741,26084.0,26390.2,23620.0,28720.0,,23808.9,8563.0,28609.5,,27486.0,23738.0,27446.0,24641.1,20972.1,22905.8,20980.4,23145.0,25530.0,,19728.2,25420.8,22319.2,25929.0,23016.0,-1657.0,-1350.8,-4121.0,979.0,,-3932.1,-19178.0,868.5,,-255.0,-4003.0,-295.0,-3099.9,-6768.9,-4835.2,-6760.6,-4596.0,-2211.0,,-8012.8,-2320.2,-5421.8,-1812.0,-4725.0,True,False,True,,False,False,True,,True,False,True,False,False,False,False,False,False,,False,False,False,False,False
Indiana,13300,12396.0,12198.3,11484.0,12325.0,,11579.8,9693.0,12503.7,,12923.0,8642.0,12667.1,14179.5,11260.0,13685.7,9904.4,10414.3,13171.0,,8702.1,11867.8,11682.0,12263.1,11786.0,-904.0,-1101.7,-1816.0,-975.0,,-1720.2,-3607.0,-796.3,,-377.0,-4658.0,-632.9,879.5,-2040.0,385.7,-3395.6,-2885.7,-129.0,,-4597.9,-1432.2,-1618.0,-1036.9,-1514.0,False,False,False,,False,False,True,,True,False,True,True,False,True,False,False,True,,False,False,False,False,False
Iowa,12497,11198.0,10915.6,10500.0,11163.0,,9617.5,10697.0,10487.8,,12626.0,10500.0,10584.4,12455.0,6051.4,12916.7,9846.0,9780.2,13184.0,,9279.9,10371.5,8220.7,13949.9,9389.0,-1299.0,-1581.4,-1997.0,-1334.0,,-2879.5,-1800.0,-2009.2,,129.0,-1997.0,-1912.6,-42.0,-6445.6,419.7,-2651.0,-2716.8,687.0,,-3217.1,-2125.5,-4276.3,1452.9,-3108.0,False,False,False,,False,False,False,,True,False,False,True,False,True,False,False,True,,False,False,False,False,False
Kansas,10141,7656.0,7440.8,7143.0,7147.0,,6241.3,7308.0,7939.5,,8097.0,7278.0,6504.0,9975.4,5509.7,8399.7,5170.5,6860.7,8030.0,,3196.3,8028.6,7035.1,6398.2,6418.0,-2485.0,-2700.2,-2998.0,-2994.0,,-3899.7,-2833.0,-2201.5,,-2044.0,-2863.0,-3637.0,-165.6,-4631.3,-1741.3,-4970.5,-3280.3,-2111.0,,-6944.7,-2112.4,-3105.9,-3742.8,-3723.0,False,False,False,,False,False,True,,True,False,False,True,False,True,False,False,True,,False,True,False,False,False
Kentucky,10895,9382.0,9542.8,8926.0,8848.0,,8795.7,8708.0,21755.5,,10800.0,11652.0,9534.3,10985.3,7871.3,9513.6,7626.0,8894.0,11027.0,,6862.9,9050.4,7149.6,9249.2,8798.0,-1513.0,-1352.2,-1969.0,-2047.0,,-2099.3,-2187.0,10860.5,,-95.0,757.0,-1360.7,90.3,-3023.7,-1381.4,-3269.0,-2001.0,132.0,,-4032.1,-1844.6,-3745.4,-1645.8,-2097.0,True,False,False,,False,False,False,,True,True,True,True,False,True,False,False,True,,False,False,False,False,False
Louisiana,7504,8218.0,8464.2,7615.0,7650.0,,7388.6,5770.0,16528.4,,6097.0,12528.0,6495.7,7597.2,4499.1,6814.6,7078.2,7266.1,7307.0,,4883.6,8307.7,11032.4,5906.4,7348.0,714.0,960.2,111.0,146.0,,-115.4,-1734.0,9024.4,,-1407.0,5024.0,-1008.3,93.2,-3004.9,-689.4,-425.8,-237.9,-197.0,,-2620.4,803.7,3528.4,-1597.6,-156.0,False,True,True,,True,False,False,,False,False,False,True,False,True,True,True,True,,False,False,False,False,True
Maine,450,400.0,399.0,405.0,464.0,,355.6,163.0,492.1,,407.0,951.0,430.3,703.5,608.5,428.7,379.6,478.9,491.0,,182.7,348.6,382.8,586.5,473.0,-50.0,-51.0,-45.0,14.0,,-94.4,-287.0,42.1,,-43.0,501.0,-19.7,253.5,158.5,-21.3,-70.4,28.9,41.0,,-267.3,-101.4,-67.2,136.5,23.0,False,True,True,,False,False,True,,True,False,True,False,False,True,False,True,True,,False,False,False,False,True
Maryland,7075,8422.0,8369.4,7861.0,9178.0,,7746.3,557.0,7729.8,,8317.0,8534.0,8619.0,7741.1,7772.1,9127.1,6229.4,7590.2,9710.0,,4666.6,8202.3,9374.1,8094.4,7763.0,1347.0,1294.4,786.0,2103.0,,671.3,-6518.0,654.8,,1242.0,1459.0,1544.0,666.1,697.1,2052.1,-845.6,515.2,2635.0,,-2408.4,1127.3,2299.1,1019.4,688.0,True,True,False,,True,False,True,,True,False,False,True,True,False,True,True,False,,False,True,False,True,True
Massachusetts,7122,5282.0,8744.8,4794.0,5482.0,,1426.9,85.0,5061.2,,3230.0,4027.0,5030.5,4122.3,4764.7,6463.4,4944.4,6223.6,1887.0,,2175.7,5036.2,5753.8,8999.3,6451.0,-1840.0,1622.8,-2328.0,-1640.0,,-5695.1,-7037.0,-2060.8,,-3892.0,-3095.0,-2091.5,-2999.7,-2357.3,-658.6,-2177.6,-898.4,-5235.0,,-4946.3,-2085.8,-1368.2,1877.3,-671.0,True,False,True,,False,False,False,,False,False,False,False,False,True,False,True,False,,False,False,True,False,True
Michigan,13184,10058.0,9654.1,9716.0,11969.0,,10220.1,4213.0,12275.1,,9517.0,13978.0,11046.2,10640.8,12800.4,11701.1,5161.0,8520.2,11813.0,,2572.2,8430.7,9062.8,7447.8,6428.0,-3126.0,-3529.9,-3468.0,-1215.0,,-2963.9,-8971.0,-908.9,,-3667.0,794.0,-2137.8,-2543.2,-383.6,-1482.9,-8023.0,-4663.8,-1371.0,,-10611.8,-4753.3,-4121.2,-5736.2,-6756.0,False,False,True,,True,False,True,,False,True,True,True,True,True,False,False,True,,False,False,False,False,False
Minnesota,14066,10266.0,10780.9,10235.0,8410.0,,8627.7,2764.0,13801.0,,10819.0,10351.0,10118.4,10472.1,7485.7,7220.1,13562.5,11616.5,10667.0,,8844.1,10258.4,9051.1,22496.5,13731.0,-3800.0,-3285.1,-3831.0,-5656.0,,-5438.3,-11302.0,-265.0,,-3247.0,-3715.0,-3947.6,-3593.9,-6580.3,-6845.9,-503.5,-2449.5,-3399.0,,-5221.9,-3807.6,-5014.9,8430.5,-335.0,True,False,False,,False,False,True,,True,True,False,True,False,False,True,True,True,,False,False,False,False,True
Mississippi,7080,6934.0,6673.9,5781.0,4244.0,,5596.8,4432.0,6921.7,,7726.0,7391.0,7304.0,6361.6,4431.5,5096.4,5765.0,6038.5,7003.0,,3279.4,5975.3,7813.1,5967.7,5555.0,-146.0,-406.1,-1299.0,-2836.0,,-1483.2,-2648.0,-158.3,,646.0,311.0,224.0,-718.4,-2648.5,-1983.6,-1315.0,-1041.5,-77.0,,-3800.6,-1104.7,733.1,-1112.3,-1525.0,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,True,,False,False,False,False,False
Missouri,20953,21148.0,20946.5,18732.0,20621.0,,20702.9,15766.0,26354.3,,22678.0,16938.0,20049.8,23258.2,12878.6,17722.7,16825.1,18582.2,24665.0,,13589.9,18532.4,21332.0,19786.1,19681.0,195.0,-6.5,-2221.0,-332.0,,-250.1,-5187.0,5401.3,,1725.0,-4015.0,-903.2,2305.2,-8074.4,-3230.3,-4127.9,-2370.8,3712.0,,-7363.1,-2420.6,379.0,-1166.9,-1272.0,True,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Montana,4193,2476.0,2375.4,2375.0,896.0,,1994.1,1199.0,3394.5,,2483.0,2532.0,2039.0,2802.0,1490.5,1821.9,2557.5,2556.0,3245.0,,1584.9,1954.0,2094.7,4007.8,2642.0,-1717.0,-1817.6,-1818.0,-3297.0,,-2198.9,-2994.0,-798.5,,-1710.0,-1661.0,-2154.0,-1391.0,-2702.5,-2371.1,-1635.5,-1637.0,-948.0,,-2608.1,-2239.0,-2098.3,-185.2,-1551.0,False,False,False,,False,False,True,,True,True,False,True,False,False,True,True,True,,False,False,False,True,True
Nebraska,6606,5354.0,5380.3,5087.0,5100.0,,4964.5,1102.0,5077.6,,5533.0,3862.0,6153.0,6392.8,3111.1,5411.4,4526.1,5836.5,7250.0,,3102.6,5216.4,3882.9,5945.6,4620.0,-1252.0,-1225.7,-1519.0,-1506.0,,-1641.5,-5504.0,-1528.4,,-1073.0,-2744.0,-453.0,-213.2,-3494.9,-1194.6,-2079.9,-769.5,644.0,,-3503.4,-1389.6,-2723.1,-660.4,-1986.0,True,False,False,,False,False,False,,True,False,True,True,False,True,False,True,True,,False,False,False,True,False
Nevada,6289,4398.0,4447.5,4037.0,3665.0,,3966.4,3279.0,5591.1,,4526.0,2968.0,4054.2,4069.0,2644.6,3357.4,4042.6,4434.2,3773.0,,3739.1,4152.3,5258.0,4413.5,4677.0,-1891.0,-1841.5,-2252.0,-2624.0,,-2322.6,-3010.0,-697.9,,-1763.0,-3321.0,-2234.8,-2220.0,-3644.4,-2931.6,-2246.4,-1854.8,-2516.0,,-2549.9,-2136.7,-1031.0,-1875.5,-1612.0,True,False,False,,False,False,True,,True,False,False,False,False,False,False,True,False,,False,False,True,True,True
New Hampshire,677,536.0,537.8,529.0,884.0,,531.3,2.0,496.1,,511.0,391.0,516.3,575.0,665.5,783.9,439.1,535.5,787.0,,372.9,527.6,571.0,754.1,521.0,-141.0,-139.2,-148.0,207.0,,-145.7,-675.0,-180.9,,-166.0,-286.0,-160.7,-102.0,-11.5,106.9,-237.9,-141.5,110.0,,-304.1,-149.4,-106.0,77.1,-156.0,True,False,False,,False,False,False,,False,False,False,True,True,True,False,False,True,,False,False,True,True,False
New Jersey,9441,5944.0,5898.3,6291.0,5997.0,,4547.7,60.0,7027.7,,3625.0,5996.0,6012.8,4877.7,8984.7,5988.3,5196.1,7201.9,6454.0,,9931.2,6883.5,5720.9,8127.3,6681.0,-3497.0,-3542.7,-3150.0,-3444.0,,-4893.3,-9381.0,-2413.3,,-5816.0,-3445.0,-3428.2,-4563.3,-456.3,-3452.7,-4244.9,-2239.1,-2987.0,,490.2,-2557.5,-3720.1,-1313.7,-2760.0,False,True,True,,False,False,True,,False,True,True,False,True,True,False,True,True,,True,True,False,True,True
New Mexico,2784,1702.0,1642.2,1502.0,1185.0,,1408.3,756.0,1487.6,,1756.0,2691.0,1643.7,1771.1,1716.9,851.2,1431.0,1697.5,1914.0,,830.0,1578.3,2148.4,1716.0,1625.0,-1082.0,-1141.8,-1282.0,-1599.0,,-1375.7,-2028.0,-1296.4,,-1028.0,-93.0,-1140.3,-1012.9,-1067.1,-1932.8,-1353.0,-1086.5,-870.0,,-1954.0,-1205.7,-635.6,-1068.0,-1159.0,False,False,False,,False,False,False,,True,True,False,True,True,False,False,False,True,,False,False,True,True,False
New York,14652,10796.0,10311.9,10197.0,9441.0,,6785.3,21.0,14388.4,,5909.0,6069.0,11191.2,9754.4,13788.6,9499.0,9277.2,11937.1,10672.0,,11610.8,10251.9,11709.4,10243.7,11447.0,-3856.0,-4340.1,-4455.0,-5211.0,,-7866.7,-14631.0,-263.6,,-8743.0,-8583.0,-3460.8,-4897.6,-863.4,-5153.0,-5374.8,-2714.9,-3980.0,,-3041.2,-4400.1,-2942.6,-4408.3,-3205.0,False,False,False,,False,False,True,,False,False,True,False,True,False,False,True,False,,True,False,True,False,True
North Carolina,18620,17018.0,16971.4,16413.0,14541.0,,15772.0,24324.0,21056.8,,18047.0,18035.0,17492.2,18633.0,14084.7,15240.4,15418.9,15901.5,16808.0,,11879.5,15643.1,18296.0,18605.4,15113.0,-1602.0,-1648.6,-2207.0,-4079.0,,-2848.0,5704.0,2436.8,,-573.0,-585.0,-1127.8,13.0,-4535.3,-3379.6,-3201.1,-2718.5,-1812.0,,-6740.5,-2976.9,-324.0,-14.6,-3507.0,False,False,False,,False,False,False,,True,True,True,True,False,False,False,False,False,,False,False,True,True,False
North Dakota,5527,4912.0,4861.3,4545.0,2463.0,,4564.0,17.0,5261.3,,5725.0,4106.0,4448.8,5204.6,1517.4,6445.7,4708.5,4545.1,6325.0,,3389.1,3943.4,5806.0,5741.1,4399.0,-615.0,-665.7,-982.0,-3064.0,,-963.0,-5510.0,-265.7,,198.0,-1421.0,-1078.2,-322.4,-4009.6,918.7,-818.5,-981.9,798.0,,-2137.9,-1583.6,279.0,214.1,-1128.0,False,False,False,,False,False,True,,True,False,False,True,False,False,False,False,False,,False,False,True,True,False
Ohio,14419,13958.0,13901.6,12778.0,12728.0,,14035.7,12163.0,16688.4,,14191.0,11721.0,14241.9,15980.7,15218.2,13016.8,10288.2,12636.2,14371.0,,7982.6,12481.5,13410.5,12350.0,12644.0,-461.0,-517.4,-1641.0,-1691.0,,-383.3,-2256.0,2269.4,,-228.0,-2698.0,-177.1,1561.7,799.2,-1402.2,-4130.8,-1782.8,-48.0,,-6436.4,-1937.5,-1008.5,-2069.0,-1775.0,False,False,False,,True,False,False,,True,False,True,False,False,False,False,False,True,,False,False,False,False,False
Oklahoma,14944,14290.0,14285.8,13584.0,13087.0,,12531.0,10111.0,18179.1,,15308.0,11157.0,15103.2,17356.6,9101.7,13326.3,13238.9,15224.0,18266.0,,11211.8,11049.7,10974.1,17674.6,13932.0,-654.0,-658.2,-1360.0,-1857.0,,-2413.0,-4833.0,3235.1,,364.0,-3787.0,159.2,2412.6,-5842.3,-1617.7,-1705.1,280.0,3322.0,,-3732.2,-3894.3,-3969.9,2730.6,-1012.0,False,False,False,,False,False,False,,True,False,True,False,False,False,False,True,False,,False,False,False,False,False
Oregon,3912,2372.0,2353.5,2623.0,1684.0,,2754.3,2158.0,3259.8,,2534.0,2886.0,2901.2,3493.8,4389.1,2375.3,3033.2,3011.4,2235.0,,2078.1,1895.6,2769.1,4075.7,3010.0,-1540.0,-1558.5,-1289.0,-2228.0,,-1157.7,-1754.0,-652.2,,-1378.0,-1026.0,-1010.8,-418.2,477.1,-1536.7,-878.8,-900.6,-1677.0,,-1833.9,-2016.4,-1142.9,163.7,-902.0,False,True,False,,True,False,True,,True,True,True,True,True,True,True,True,False,,False,False,True,True,True
Pennsylvania,12002,11202.0,11347.2,11067.0,15549.0,,11688.9,1542.0,12206.5,,10534.0,10567.0,11614.5,12156.7,12994.0,9673.3,8168.6,11335.4,12778.0,,6627.6,10003.3,11086.3,10749.6,10785.0,-800.0,-654.8,-935.0,3547.0,,-313.1,-10460.0,204.5,,-1468.0,-1435.0,-387.5,154.7,992.0,-2328.7,-3833.4,-666.6,776.0,,-5374.4,-1998.7,-915.7,-1252.4,-1217.0,True,False,False,,True,False,True,,False,False,True,True,False,False,False,True,True,,False,False,False,False,False
Rhode Island,1586,1430.0,1487.2,1247.0,615.0,,1322.1,0.0,1699.3,,1073.0,3150.0,1545.4,1289.9,1754.7,1743.7,725.8,1275.7,987.0,,349.4,1416.8,1679.0,843.3,1058.0,-156.0,-98.8,-339.0,-971.0,,-263.9,-1586.0,113.3,,-513.0,1564.0,-40.6,-296.1,168.7,157.7,-860.2,-310.3,-599.0,,-1236.6,-169.2,93.0,-742.7,-528.0,True,False,False,,False,False,True,,False,False,True,False,False,False,False,False,False,,False,False,True,False,False
South Carolina,13651,14524.0,14302.2,12181.0,12354.0,,13511.8,5981.0,15236.0,,13789.0,13137.0,12587.7,14765.6,4057.8,15065.3,8448.6,10453.5,16862.0,,3441.9,12106.9,14287.6,10059.1,12166.0,873.0,651.2,-1470.0,-1297.0,,-139.2,-7670.0,1585.0,,138.0,-514.0,-1063.3,1114.6,-9593.1,1414.3,-5202.4,-3197.5,3211.0,,-10209.1,-1544.1,636.6,-3591.9,-1485.0,True,False,False,,True,False,False,,True,True,False,False,False,False,False,False,False,,False,False,True,False,False
South Dakota,5542,4014.0,4166.3,3752.0,2944.0,,3499.0,75.0,2899.1,,4305.0,4086.0,4202.8,4386.9,751.2,5199.4,4052.5,3701.3,4876.0,,3005.9,3600.0,2709.6,5791.0,3720.0,-1528.0,-1375.7,-1790.0,-2598.0,,-2043.0,-5467.0,-2642.9,,-1237.0,-1456.0,-1339.2,-1155.1,-4790.8,-342.6,-1489.5,-1840.7,-666.0,,-2536.1,-1942.0,-2832.4,249.0,-1822.0,True,False,False,,False,False,False,,True,True,True,True,False,True,True,False,True,,False,False,False,True,False
Tennessee,18156,21096.0,20546.3,19222.0,19166.0,,18217.4,12350.0,31718.9,,20559.0,18311.0,15116.8,26496.1,12267.6,12668.8,21405.1,21821.1,22401.0,,16598.6,16656.4,19023.7,21655.5,21604.0,2940.0,2390.3,1066.0,1010.0,,61.4,-5806.0,13562.9,,2403.0,155.0,-3039.2,8340.1,-5888.4,-5487.2,3249.1,3665.1,4245.0,,-1557.4,-1499.6,867.7,3499.5,3448.0,True,True,True,,True,False,False,,True,True,False,False,False,False,False,False,False,,True,True,True,False,False
